,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2011-12,-7.872B,,,,,512.00M,,,,1.887B,1.02B,-817.00M,,,-130.00M,1.96B,,-4.069B,,2011-12,1.366B,,,-250.00M,-139.00M,1.168B,,2011-12,,,,,,,-373.00M,,-168.00M,-3.452B,,2011-12,1.775B,-6.353B,4.009B,,2011-12,,,,-871.00M,399.00M,,2011-12,AOR
2011-09,851.00M,,,,,340.00M,,,,-405.00M,-178.00M,201.00M,,,169.00M,-213.00M,,978.00M,,2011-09,-741.00M,,,70.00M,36.00M,-635.00M,,2011-09,,,,,,,-82.00M,,79.00M,-3.00M,,2011-09,1.438B,340.00M,1.775B,,2011-09,,,,335.00M,124.00M,,2011-09,AOR
2011-06,741.00M,,,,,331.00M,,,,-305.00M,-131.00M,177.00M,,,10.00M,-249.00M,,823.00M,,2011-06,-719.00M,,,393.00M,,-326.00M,,2011-06,,,,,,,-83.00M,-66.00M,73.00M,-76.00M,,2011-06,1.03B,421.00M,1.438B,,2011-06,,,,440.00M,2.00M,,2011-06,AOR
2011-03,511.00M,,,,,320.00M,,,,-278.00M,-159.00M,220.00M,,,-49.00M,-266.00M,,565.00M,,2011-03,-704.00M,,,-213.00M,,-917.00M,,2011-03,,,,,,,-82.00M,66.00M,7.00M,-9.00M,,2011-03,1.398B,-361.00M,1.03B,,2011-03,,,,96.00M,134.00M,,2011-03,AOR
2010-12,627.00M,,,142.00M,,302.00M,,,70.00M,-186.00M,-51.00M,44.00M,,,-222.00M,-415.00M,,850.00M,,2010-12,-657.00M,,-140.00M,225.00M,-155.00M,-500.00M,,2010-12,,,,,,,-82.00M,24.00M,171.00M,-818.00M,,2010-12,1.875B,-468.00M,1.398B,,2010-12,,,,275.00M,21.00M,,2010-12,AOR
2010-09,485.00M,,,-48.00M,,284.00M,,,,-169.00M,-118.00M,-10.00M,,,130.00M,-167.00M,,554.00M,,2010-09,-557.00M,,-193.00M,1.05B,40.00M,340.00M,,2010-09,,,,,,,-82.00M,38.00M,-134.00M,-178.00M,,2010-09,1.16B,716.00M,1.875B,,2010-09,,,,168.00M,134.00M,,2010-09,AOR
2010-06,690.00M,,,-47.00M,,272.00M,,,-207.00M,-283.00M,-108.00M,109.00M,,,65.00M,-217.00M,,491.00M,,2010-06,-451.00M,,-77.00M,-179.00M,82.00M,-625.00M,,2010-06,,,,,,,-82.00M,6.00M,-5.00M,-81.00M,,2010-06,1.383B,-215.00M,1.16B,,2010-06,,,,265.00M,22.00M,,2010-06,AOR
2010-03,,,,-47.00M,,261.00M,,,207.00M,-264.00M,-54.00M,187.00M,,,27.00M,-104.00M,,317.00M,,2010-03,-404.00M,,-113.00M,-453.00M,,-970.00M,,2010-03,,,,,,,-81.00M,34.00M,10.00M,-37.00M,,2010-03,2.082B,-690.00M,1.383B,,2010-03,,,,96.00M,133.00M,,2010-03,AOR
2009-12,253.00M,,,,,254.00M,110.00M,,369.00M,132.00M,118.00M,-7.00M,,,-36.00M,207.00M,,776.00M,,2009-12,-474.00M,,-18.00M,198.00M,61.00M,-233.00M,,2009-12,-31.00M,,,,,,-81.00M,,9.00M,-120.00M,,2009-12,1.675B,423.00M,2.082B,,2009-12,,,,48.00M,25.00M,,2009-12,AOR
2009-09,266.00M,,,,,238.00M,11.00M,,337.00M,98.00M,116.00M,39.00M,,,-493.00M,-240.00M,,612.00M,,2009-09,-440.00M,,-23.00M,0.00,31.00M,-432.00M,,2009-09,0.00,,,,,162.00M,-81.00M,,11.00M,-70.00M,,2009-09,1.568B,110.00M,1.675B,,2009-09,,,,93.00M,135.00M,,2009-09,AOR
