,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2003-06,-43.31M,,82.93M,19.00M,28.82M,47.82M,47.82M,,,,,5.914M,-2.479M,,45.49M,,-10.33M,,38.59M,126.02M,-7.141M,,-7.141M,,240.81M,,233.67M,,,-280.92M,53.04M,,53.04M,,-227.88M,495.77M,131.82M,14.14M,641.73M,53.04M,,,,,
2003-03,-10.12M,,53.45M,19.75M,-26.99M,-7.243M,-7.243M,,,,,27.23M,30.62M,,-226.60M,,-119.12M,,-287.87M,-251.78M,-6.394M,,-6.394M,,-24.10M,,-30.49M,,,-3.221M,38.56M,,38.56M,,35.33M,738.25M,-246.94M,4.461M,495.77M,38.56M,,,,,
2002-12,2.651M,,113.64M,-62.41M,93.18M,113.04M,113.04M,,,,-24.81M,-31.70M,-48.37M,31.42M,262.84M,,-45.58M,,168.60M,372.58M,-15.52M,-400.53M,-416.05M,,379.77M,,-36.28M,,,-2.674M,65.38M,,65.38M,,62.70M,327.56M,399.00M,11.69M,738.25M,65.38M,,,,,
2002-09,-35.08M,,-20.08M,20.50M,-96.53M,-76.03M,-76.03M,,,,24.81M,16.75M,-24.03M,-31.42M,49.41M,,133.78M,,144.49M,38.11M,-11.35M,400.53M,389.18M,,-378.10M,,11.08M,,,-4.126M,6.038M,,6.038M,,1.912M,270.44M,51.10M,6.024M,327.56M,6.038M,,,,,
2002-06,-93.55M,,101.86M,20.97M,38.71M,59.68M,59.68M,,,,-7.061M,-16.75M,16.42M,3.32M,-27.42M,,-31.86M,,-56.28M,4.637M,-7.44M,,-7.44M,,-86.54M,,-93.98M,,,-3.432M,42.87M,,42.87M,,39.43M,296.69M,-49.91M,23.66M,270.44M,42.87M,,,,,
2002-03,-23.15M,,5.982M,20.94M,-35.35M,-14.41M,-14.41M,,,,7.061M,,4.674M,-3.32M,-128.29M,,-89.58M,,-216.51M,-241.03M,-4.854M,,-4.854M,,2.348M,,-2.506M,,,-4.563M,7.409M,,7.409M,,2.846M,540.28M,-240.69M,-2.90M,296.69M,7.409M,,,,,
2001-12,5.087M,,-12.72M,21.05M,-2.871M,18.18M,18.18M,,,,9.393M,,-13.81M,2.641M,209.55M,,130.81M,,329.18M,349.12M,-7.534M,,-7.534M,,-218.90M,,-232.63M,,,-4.44M,2.047M,,2.047M,,-2.393M,432.31M,114.10M,-6.122M,540.28M,2.047M,,,,,
2001-09,-169.87M,,64.69M,19.80M,11.74M,31.53M,31.53M,,,,8.715M,,-0.659M,2.96M,-22.59M,,20.83M,,0.537M,-64.40M,-12.92M,,-12.92M,,-82.09M,,-95.02M,,,-6.466M,100.93M,,100.93M,,94.47M,462.95M,-64.96M,34.31M,432.31M,100.93M,,,,,
2001-06,-168.36M,,-32.32M,20.79M,18.92M,39.72M,39.72M,,,,47.10M,,25.28M,15.13M,-1.632M,-27.33M,104.91M,,116.35M,2.485M,-10.42M,,-10.42M,,40.23M,,29.80M,,,-4.094M,7.644M,,7.644M,,3.55M,446.94M,35.84M,-19.83M,462.95M,7.644M,,,,,
2001-03,-234.13M,,26.64M,23.07M,17.44M,40.51M,40.51M,,,,34.72M,,19.82M,,-229.76M,27.33M,-92.12M,,-274.72M,-406.98M,-19.44M,,-19.44M,,63.99M,,44.55M,,,5.425M,5.833M,,5.833M,,11.26M,822.44M,-351.18M,-24.32M,446.94M,5.833M,,,,,
2000-12,-545.14M,,182.66M,22.74M,35.44M,58.19M,58.19M,,,,145.20M,,-10.68M,-9.289M,180.67M,,246.05M,,406.76M,247.65M,-37.33M,,-37.33M,,-64.90M,-0.691M,-102.93M,,,-3.93M,4.98M,,4.98M,0.00,1.05M,647.05M,145.78M,29.61M,822.44M,4.98M,,,,,
2000-09,-240.52M,,124.21M,22.86M,54.99M,77.85M,77.85M,,,,21.96M,,8.48M,-6.034M,18.47M,,8.211M,,29.13M,12.62M,-41.95M,,-41.95M,,27.66M,-5.76M,-20.04M,,,-3.277M,4.564M,,4.564M,0.00,1.287M,720.38M,-6.138M,-67.19M,647.05M,4.564M,,,,,
2000-06,-317.18M,,90.55M,20.68M,83.45M,104.13M,104.13M,,,,0.251M,,-0.103M,6.738M,30.44M,-2.634M,17.48M,,51.92M,-70.34M,-28.88M,,-28.88M,,47.02M,-8.595M,9.546M,,,-3.572M,13.79M,,13.79M,-0.227M,9.995M,755.13M,-50.79M,16.04M,720.38M,13.79M,,,,,
2000-03,-308.42M,,107.22M,18.18M,64.47M,82.65M,82.65M,,,,,,48.39M,,-207.23M,2.634M,-45.61M,,-201.82M,-320.38M,-26.60M,,-26.60M,,351.49M,-47.49M,277.40M,,,675.35M,21.36M,,21.36M,-15.90M,680.82M,133.31M,637.84M,-16.01M,755.13M,21.36M,,,,,
1999-12,-323.20M,,116.60M,,,236.80M,236.80M,,,,-201.40M,,-82.80M,,208.40M,-22.20M,99.30M,,202.70M,31.50M,117.70M,,117.70M,,238.00M,-369.70M,-14.00M,,,-1.20M,27.60M,,27.60M,0.00,26.40M,43.10M,43.90M,0.20M,133.30M,27.60M,,,,,
1999-09,-197.10M,,-1.30M,,,21.40M,21.40M,,,,105.10M,,-59.40M,,70.30M,-1.20M,-13.40M,,-3.70M,-75.60M,-186.30M,,-186.30M,,238.80M,0.10M,52.60M,,,8.40M,15.30M,,15.30M,-0.20M,23.50M,42.50M,0.50M,0.20M,43.10M,15.30M,,,,,
1999-06,-138.00M,,3.20M,,,12.80M,12.80M,,,,63.50M,,-14.20M,,31.80M,-15.90M,27.20M,,28.90M,-29.60M,-199.40M,,-199.40M,,352.20M,,152.80M,,,-101.30M,15.10M,,15.10M,0.00,-86.20M,5.20M,37.00M,0.30M,42.50M,15.10M,,,,,
1999-03,-61.70M,,4.20M,,,5.30M,5.30M,,,,32.80M,,-15.70M,,19.70M,-15.60M,13.80M,,2.20M,-17.20M,-19.10M,,-19.10M,,-1.124B,,-1.143B,,,1.169B,6.50M,,6.50M,-34.90M,1.140B,25.60M,-20.20M,-0.20M,5.20M,6.50M,,,,,
1998-12,-46.40M,,13.30M,,,23.50M,23.50M,,,,-0.10M,,-9.70M,,53.30M,-4.30M,9.10M,,48.40M,38.70M,-13.90M,,-13.90M,,-78.70M,-0.30M,-92.90M,,,-0.70M,3.00M,,3.00M,0.10M,2.40M,14.90M,-51.80M,0.40M,71.60M,3.00M,,,,,
1998-09,-47.60M,,8.40M,,,21.50M,21.50M,,,,-0.10M,,-2.80M,,11.80M,-4.40M,9.90M,,14.50M,-3.30M,8.30M,,8.30M,,16.10M,-18.90M,5.50M,,,-0.20M,10.40M,,10.40M,-0.20M,10.00M,2.60M,12.20M,-0.40M,14.90M,10.40M,,,,,
1998-06,-20.10M,,7.10M,,,7.40M,7.40M,,,,,,-5.30M,,12.00M,-6.90M,8.70M,,8.50M,2.90M,-20.50M,,-20.50M,,-211.00M,0.10M,-231.40M,,,248.80M,-0.40M,,-0.40M,-7.70M,240.70M,99.10M,12.20M,,2.60M,-0.40M,,,,,
