,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2004-06,701.15M,450.20M,1.151B,125.65M,125.65M,,284.19M,,,,1.561B,,,,,,,363.32M,-147.45M,215.87M,,69.12M,69.12M,,41.93M,326.92M,1.888B,585.12M,585.12M,249.84M,834.97M,2.402M,2.402M,39.49M,39.49M,39.50M,916.35M,1.763B,,1.763B,,,,1.763B,2.679B,4.067M,-2.787B,1.964B,,27.54M,-790.86M
2004-03,768.59M,229.55M,998.14M,125.88M,125.88M,,281.55M,,,,1.406B,,,,,,,364.93M,-147.45M,217.48M,,69.12M,69.12M,,46.39M,332.99M,1.739B,567.56M,567.56M,244.40M,811.96M,2.473M,2.473M,37.05M,37.05M,14.42M,865.91M,1.778B,,1.778B,,,,1.778B,2.644B,4.049M,-2.863B,1.923B,,31.09M,-905.05M
2003-12,1.102B,292.55M,1.395B,131.47M,131.47M,,293.92M,,0.596M,,1.821B,,,,,,,371.74M,-147.45M,224.28M,,69.12M,69.12M,4.142M,43.68M,341.22M,2.162B,819.81M,819.81M,317.73M,1.138B,4.216M,4.216M,37.84M,37.84M,73.10M,1.253B,1.945B,,1.945B,,,,1.945B,3.198B,4.034M,-2.974B,1.899B,,34.89M,-1.036B
2003-09,666.42M,398.24M,1.065B,103.87M,103.87M,,241.67M,,,,1.410B,,,,,,,464.80M,-243.34M,221.46M,,69.78M,69.78M,,48.25M,339.48M,1.750B,499.19M,499.19M,236.18M,735.37M,6.058M,6.058M,40.84M,40.84M,44.48M,826.75M,2.081B,,2.081B,,,,2.081B,2.908B,4.004M,-3.048B,1.852B,,33.24M,-1.158B
2003-06,641.73M,347.04M,988.77M,84.38M,84.38M,,178.11M,,,,1.251B,,,,,,,465.01M,-243.34M,221.67M,,72.45M,72.45M,,51.48M,345.60M,1.597B,445.10M,445.10M,232.23M,677.33M,8.143M,8.143M,38.73M,38.73M,45.18M,769.38M,2.074B,,2.074B,,,,2.074B,2.844B,3.967M,-3.063B,1.791B,,21.51M,-1.247B
2003-03,495.77M,586.78M,1.083B,88.91M,88.91M,,173.03M,,,,1.344B,,,,471.62M,,,471.62M,-243.34M,228.28M,,73.36M,73.36M,,59.80M,361.44M,1.706B,393.70M,393.70M,234.19M,627.89M,11.08M,11.08M,42.98M,42.98M,16.63M,698.58M,2.296B,,2.296B,,,,2.296B,2.995B,3.916M,-3.020B,1.715B,,12.24M,-1.289B
2002-12,738.25M,562.72M,1.301B,112.28M,112.28M,,202.42M,,,,1.616B,,,,482.74M,,,482.74M,-243.34M,239.40M,,74.27M,74.27M,,61.10M,374.77M,1.990B,618.13M,618.13M,314.94M,933.06M,13.32M,13.32M,47.92M,47.92M,71.66M,1.066B,2.277B,,2.277B,,,,2.277B,3.343B,3.879M,-3.010B,1.650B,,3.071M,-1.353B
2002-09,327.56M,538.24M,865.80M,,,,151.51M,102.29M,,,1.120B,,,,,,,405.63M,-166.39M,239.24M,,75.18M,75.18M,,63.38M,377.80M,1.497B,347.52M,347.52M,241.67M,589.19M,13.13M,13.13M,65.88M,65.88M,42.79M,711.00M,2.265B,,2.265B,,,,2.265B,2.976B,3.812M,-3.012B,1.550B,,-20.01M,-1.478B
2002-06,270.44M,553.14M,823.58M,,,,126.79M,93.20M,,,1.044B,,,,,,,415.84M,-166.39M,249.45M,,76.40M,76.40M,,65.62M,391.47M,1.435B,296.37M,296.37M,280.63M,577.00M,14.41M,14.41M,69.13M,69.13M,,660.53M,2.218B,,2.218B,,,,2.218B,2.879B,3.803M,-2.977B,1.547B,,-17.37M,-1.444B
2002-03,296.69M,448.57M,745.26M,,,,139.00M,70.02M,,,954.27M,,,,,,,422.80M,-166.39M,256.40M,,77.77M,77.77M,,73.48M,407.66M,1.362B,314.62M,314.62M,232.90M,547.51M,13.96M,13.96M,79.36M,79.36M,16.20M,657.03M,2.152B,,2.152B,,,,2.152B,2.809B,3.751M,-2.884B,1.481B,,-48.33M,-1.447B
2001-12,540.28M,456.30M,996.58M,,,,143.72M,67.61M,,,1.208B,,,,205.69M,207.61M,24.85M,438.14M,-166.39M,271.75M,,79.75M,79.75M,,78.13M,429.63M,1.638B,444.75M,444.75M,305.06M,749.81M,14.99M,14.99M,87.98M,87.98M,68.63M,921.41M,2.156B,,2.156B,,,,2.156B,3.078B,3.732M,-2.861B,1.463B,,-45.92M,-1.44B
2001-09,432.31M,235.79M,668.10M,,,,130.74M,71.44M,,,870.28M,0.0,,103.89M,284.52M,56.27M,2.797M,447.48M,-159.10M,288.37M,,111.06M,111.06M,,76.66M,476.09M,1.346B,236.99M,236.99M,243.23M,480.22M,16.05M,16.05M,,,131.92M,628.20M,2.172B,,2.172B,,,,2.172B,2.800B,3.718M,-2.866B,1.456B,,-47.74M,-1.454B
2001-06,462.95M,146.02M,608.97M,,,,129.04M,71.35M,,,809.36M,0.0,,102.92M,270.59M,54.34M,2.33M,430.19M,-137.77M,292.42M,,152.90M,152.90M,,90.36M,535.68M,1.345B,257.98M,257.98M,241.15M,499.12M,18.34M,18.34M,,,130.78M,648.24M,2.127B,,2.127B,,,,2.127B,2.775B,3.622M,-2.696B,1.356B,,-93.98M,-1.430B
2001-03,446.94M,196.03M,642.97M,,,,155.56M,57.18M,,,855.71M,0.0,,101.96M,266.47M,54.18M,2.572M,425.17M,-120.99M,304.18M,,204.42M,204.42M,,105.85M,614.44M,1.470B,257.41M,257.41M,217.61M,475.02M,19.30M,19.30M,,,110.38M,604.71M,2.119B,,2.119B,,,,2.119B,2.724B,3.588M,-2.527B,1.344B,,-73.65M,-1.253B
2000-12,822.44M,278.09M,1.101B,,,,174.56M,86.04M,,,1.361B,0.0,,107.37M,317.81M,51.97M,4.122M,481.26M,-114.85M,366.42M,,255.32M,255.32M,,152.30M,774.04M,2.135B,485.38M,485.38M,272.68M,758.07M,16.58M,16.58M,,,200.31M,974.96M,2.127B,,2.127B,,,,2.127B,3.102B,3.571M,-2.293B,1.338B,,-15.82M,-967.25M
2000-09,647.05M,252.98M,900.02M,,,,163.88M,99.18M,,,1.163B,,,,,,,459.90M,-107.61M,352.29M,,520.47M,520.47M,,218.78M,1.092B,2.255B,304.71M,304.71M,160.07M,464.78M,17.21M,17.21M,,,177.10M,659.10M,2.083B,,2.083B,,,,2.083B,2.742B,3.561M,-1.748B,1.343B,,-85.14M,-487.17M
2000-06,720.38M,187.24M,907.62M,,,,172.36M,86.66M,,,1.167B,,,,,,,429.48M,-85.44M,344.04M,,596.78M,596.78M,,353.27M,1.294B,2.461B,286.24M,286.24M,146.87M,433.11M,17.73M,17.73M,,,156.78M,607.62M,2.132B,,2.132B,,,,2.132B,2.739B,3.554M,-1.508B,1.336B,,-110.07M,-278.42M
2000-03,84.09M,924.79M,1.009B,,,,172.26M,89.81M,,,1.271B,,,,,,,400.25M,-65.85M,334.40M,,647.19M,647.19M,,477.21M,1.459B,2.730B,255.80M,255.80M,144.82M,400.61M,15.98M,15.98M,,,150.57M,567.16M,2.137B,,2.137B,,,,2.137B,2.704B,3.50M,-1.190B,1.294B,,-81.19M,25.62M
1999-12,133.30M,572.90M,706.20M,,,,220.60M,,,79.70M,1.006B,,,,,,,367.00M,-49.40M,317.60M,,730.10M,730.10M,,411.70M,1.459B,2.466B,463.00M,463.00M,,463.00M,14.30M,14.30M,,,255.90M,733.20M,1.466B,,1.466B,,,0.10M,1.466B,2.200B,3.50M,-882.00M,1.194B,,-49.50M,266.30M
1999-09,43.15M,862.54M,905.68M,,,,118.79M,55.59M,,,1.080B,0.0,,29.32M,68.03M,50.86M,108.67M,256.87M,-35.63M,221.24M,,705.93M,705.93M,,232.56M,1.160B,2.240B,236.71M,236.71M,24.57M,261.28M,12.78M,12.78M,,,83.62M,357.67M,1.462B,,1.462B,,,,1.462B,1.820B,3.393M,-558.82M,1.028B,,-52.31M,419.92M
1999-06,42.54M,1.102B,1.144B,,,,59.39M,53.33M,,,1.257B,,,,,,,183.23M,-26.90M,156.33M,,741.86M,741.86M,,143.06M,1.041B,2.298B,165.98M,165.98M,22.36M,188.35M,9.873M,9.873M,,,79.72M,277.94M,1.449B,,1.449B,,,,1.449B,1.727B,1.682M,-361.74M,979.42M,,-48.32M,571.05M
1999-03,5.248M,1.438B,1.443B,,,,45.24M,37.08M,,,1.525B,,,,,,,79.38M,-18.78M,60.60M,,187.19M,187.19M,,39.91M,287.71M,1.813B,133.02M,133.02M,16.19M,149.20M,7.186M,7.186M,,,45.19M,201.58M,1.534B,,1.534B,,,,1.534B,1.735B,1.614M,-223.73M,306.41M,,-6.764M,77.54M
1998-12,25.60M,,25.60M,,,,29.50M,,,369.20M,424.30M,,,,,,,43.60M,-13.80M,29.80M,,187.00M,187.00M,,7.40M,224.20M,648.50M,113.30M,113.30M,,113.30M,0.80M,0.80M,,,47.50M,161.60M,348.10M,,348.10M,,,0.10M,348.20M,509.80M,3.20M,-162.10M,298.50M,,-0.90M,138.70M
1998-09,14.86M,322.40M,337.26M,,,,19.77M,17.62M,,,374.66M,,,,,,,29.02M,-5.197M,23.82M,,213.06M,213.06M,,8.172M,245.06M,619.71M,60.05M,60.05M,11.86M,71.90M,0.684M,0.684M,,,26.87M,99.46M,340.50M,,340.50M,,,,340.50M,439.95M,0.527M,-115.63M,298.32M,,-3.452M,179.76M
1998-06,2.523M,337.40M,339.92M,,,,17.04M,12.49M,,,369.44M,,,,,,,19.21M,-5.197M,14.01M,,52.40M,52.40M,,7.906M,74.32M,443.76M,47.56M,47.56M,9.971M,57.53M,0.684M,0.684M,,,13.71M,71.92M,332.41M,,332.41M,,,,332.41M,404.33M,0.497M,-64.10M,104.37M,,-1.336M,39.43M
