,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2002-09,851.30M,851.30M,635.13M,216.17M,117.07M,17.87M,134.94M,52.91M,,1.212M,-31.31M,,,,,189.06M,27.11M,,,,-31.87M,,,,-35.08M,,-35.08M,-16.29M,28.32M,-76.03M,27.11M,-0.09,0.0,,-0.0405,-0.09,-0.09,0.0,,-0.0405,-0.09,379.65M,379.65M
2002-06,805.60M,805.60M,587.44M,218.17M,114.58M,42.57M,157.16M,58.16M,,1.374M,-63.86M,,,,,216.70M,1.472M,,,,-65.02M,,,,-93.55M,,-93.55M,-55.24M,61.15M,59.68M,1.472M,-0.25,0.0,,-0.1484,-0.25,-0.25,0.0,,-0.1484,-0.25,376.94M,376.94M
2002-03,847.42M,847.42M,624.30M,223.12M,,,153.90M,55.50M,,1.979M,-4.363M,,,,,211.38M,11.75M,,,,-6.107M,,,,-23.95M,0.801M,-23.15M,-21.33M,13.73M,-14.41M,11.75M,-0.06,0.0,0.0,-0.053,-0.06,-0.06,0.0,0.0021,-0.053,-0.06,373.03M,373.03M
2001-12,1.115B,1.115B,841.12M,274.05M,143.47M,21.51M,164.98M,52.32M,,37.54M,17.00M,,,,,254.84M,19.21M,,,,15.14M,,,,5.087M,0.00,5.087M,-5.111M,56.74M,18.18M,19.21M,0.02,0.0,0.0,-0.0074,0.02,0.0136,,0.0,-0.0137,0.0136,371.50M,373.22M
2001-09,639.28M,639.28M,477.09M,162.19M,113.94M,18.91M,132.85M,53.85M,,41.84M,-69.82M,,,,,228.53M,-66.34M,,,,-74.80M,,,,-169.87M,,-169.87M,-127.98M,-24.50M,31.53M,-66.34M,-0.46,0.0,,-0.3462,-0.46,-0.46,0.0,,-0.3462,-0.46,368.05M,368.05M
2001-06,667.62M,667.62M,487.90M,179.72M,120.24M,25.13M,145.37M,64.71M,,50.83M,-48.51M,,,,,260.91M,-81.19M,,,,-58.83M,,,,-168.36M,,-168.36M,-139.25M,-30.36M,39.72M,-81.19M,-0.47,0.0,,-0.3891,-0.47,-0.47,0.0,,-0.3891,-0.47,359.75M,359.75M
2001-03,700.36M,700.36M,517.76M,182.60M,134.89M,28.94M,163.83M,70.28M,,50.83M,-84.29M,,,,114.26M,399.20M,-216.61M,,,,-97.46M,,,,-223.61M,-10.52M,-234.13M,-173.04M,-165.78M,40.51M,-216.61M,-0.63,-0.03,0.0,-0.4885,-0.66,-0.63,-0.03,-0.0294,-0.4885,-0.66,357.42M,357.42M
2000-12,972.36M,972.36M,748.06M,224.30M,186.22M,27.12M,213.34M,69.79M,,79.21M,-344.42M,,,,,562.66M,-338.36M,,,,-381.98M,,,,-545.14M,,-545.14M,-338.49M,-259.14M,58.19M,-338.36M,-1.54,0.0,,-0.9591,-1.54,-1.54,,,-0.9614,-1.54,355.72M,357.14M
2000-09,637.86M,637.86M,470.58M,167.28M,138.34M,30.31M,168.65M,71.16M,,79.19M,3.928M,,,,,319.00M,-151.72M,,,,-64.39M,,,,-240.52M,,-240.52M,-242.88M,-72.53M,77.85M,-151.72M,-0.68,0.0,,-0.6867,-0.68,-0.68,0.0,,-0.6867,-0.68,353.95M,353.95M
2000-06,577.88M,577.88M,441.81M,136.06M,129.81M,36.63M,166.45M,67.13M,,80.41M,-5.721M,,,,,313.99M,-177.93M,,,,-116.17M,,,,-317.18M,,-317.18M,-313.75M,-73.80M,104.13M,-177.93M,-0.91,0.0,,-0.9002,-0.91,-0.91,0.0,,-0.9002,-0.91,349.89M,349.89M
2000-03,573.89M,573.89M,427.58M,146.31M,,,179.81M,61.24M,18.18M,82.96M,-95.06M,,,,,342.19M,-195.87M,,,,-95.06M,,,,-308.42M,,-308.42M,-251.39M,-94.74M,82.65M,-195.87M,-0.9,0.0,,-0.7341,-0.9,-0.9,0.0,,-0.7341,-0.9,343.88M,343.88M
1999-12,676.00M,676.00M,566.10M,109.90M,,,219.80M,57.40M,,,90.10M,,,,,514.00M,-404.10M,,,,90.10M,,,,-323.20M,,-323.20M,-377.26M,-167.30M,236.80M,-404.10M,-0.97,0.0,,-1.13,-0.97,-0.97,0.0,,-1.13,-0.97,337.82M,337.82M
1999-09,355.80M,355.80M,263.90M,91.90M,,,116.90M,44.60M,,,-97.30M,,,,,182.90M,-91.00M,,,,-97.30M,,,,-197.10M,,-197.10M,-138.72M,-69.60M,21.40M,-91.00M,-0.59,0.0,,-0.4144,-0.59,-0.59,0.0,,-0.4144,-0.59,332.49M,332.49M
1999-06,314.38M,314.38M,234.00M,80.38M,,,105.10M,34.30M,,,-37.70M,,,,,152.20M,-71.82M,,,,-37.70M,,,,-138.00M,,-138.00M,-115.38M,-59.02M,12.80M,-71.82M,-0.43,0.0,,-0.3598,-0.43,-0.43,0.0,,-0.3598,-0.43,322.34M,322.34M
1999-03,293.64M,293.64M,223.50M,70.14M,,,71.90M,23.50M,,,-14.40M,,,,,100.70M,-30.56M,,,,-14.40M,,,,-61.70M,,-61.70M,-53.06M,-25.26M,5.30M,-30.56M,-0.2,0.0,,-0.172,-0.2,-0.2,0.0,,-0.172,-0.2,308.50M,308.50M
1998-12,252.80M,252.80M,192.70M,60.10M,,,55.40M,16.90M,,,-16.20M,,,,,95.80M,-35.70M,,,,-16.20M,,,,-46.40M,,-46.40M,-36.68M,-12.20M,23.50M,-35.70M,-0.15,0.0,,-0.1194,-0.15,-0.15,,,-0.1195,-0.15,317.60M,318.53M
1998-09,153.60M,153.60M,117.80M,35.80M,,,42.50M,13.40M,,,4.80M,,,,,77.40M,-41.60M,,,,4.80M,,,,-45.20M,,-45.20M,-48.08M,-20.10M,21.50M,-41.60M,-0.15,0.0,,-0.1596,-0.15,-0.15,0.0,,-0.1596,-0.15,301.33M,301.33M
1998-06,116.00M,116.00M,87.80M,28.20M,,,29.70M,8.10M,,,3.30M,,,,,45.20M,-17.00M,,,,3.30M,,,,-21.20M,,-21.20M,-23.18M,-9.60M,7.40M,-17.00M,-0.08,0.0,,-0.0875,-0.08,-0.08,0.0,,-0.0875,-0.08,265.00M,265.00M
