,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-09,825.82M,825.82M,561.73M,264.09M,,136.71M,,,,-2.477M,,,,,136.71M,127.38M,,,,-2.477M,,109.45M,43.26M,66.20M,,13.31M,66.20M,67.70M,168.83M,41.45M,127.38M,0.35,0.0,0.3589,0.35,0.31,0.0,0.317,0.31,167.88M,215.11M,
2002-06,786.28M,786.28M,526.33M,259.95M,,131.30M,,,,-0.97M,,,,,131.30M,128.65M,,,,-0.97M,,111.17M,45.17M,66.00M,,13.56M,66.00M,66.59M,170.62M,41.97M,128.65M,0.33,0.0,0.3335,0.33,0.305,0.0,0.3077,0.305,167.85M,216.01M,
2002-03,746.10M,746.10M,495.50M,250.60M,,127.70M,,,,-2.90M,,,,,127.70M,122.90M,,,,-2.90M,,103.30M,42.80M,60.50M,,,60.50M,62.24M,163.80M,40.90M,122.90M,0.28,0.0,0.2904,0.28,0.28,0.0,0.2904,0.28,167.68M,167.81M,
2001-12,781.39M,781.39M,523.11M,258.28M,,127.90M,,14.55M,,-23.92M,,,,,142.45M,115.83M,,,,-23.92M,,75.27M,36.80M,38.46M,,13.66M,38.46M,52.82M,169.92M,54.09M,115.83M,0.15,0.0,0.2661,0.15,0.15,0.0,0.2379,0.15,123.64M,163.23M,
2001-09,766.22M,766.22M,516.62M,249.60M,,126.34M,,14.09M,,-4.801M,,,,,140.43M,109.17M,,,,-4.801M,,83.50M,39.10M,44.41M,,13.80M,44.41M,47.29M,162.72M,53.54M,109.17M,0.2,0.0,0.2172,0.2,0.185,0.0,0.2022,0.185,167.42M,167.81M,
2001-06,761.60M,761.60M,519.44M,242.15M,,126.68M,,14.10M,,-7.457M,,,,,140.79M,101.37M,,,,-7.457M,,75.03M,35.77M,39.26M,,13.80M,39.26M,43.74M,157.66M,56.30M,101.37M,0.15,0.0,0.1767,0.15,0.15,0.0,0.1767,0.15,167.32M,167.32M,
2001-03,758.27M,758.27M,518.03M,240.24M,,132.16M,,14.26M,,-10.16M,,,,,146.42M,93.82M,,,,-10.16M,,63.65M,29.09M,34.56M,,13.75M,34.56M,40.66M,151.07M,57.25M,93.82M,0.15,0.0,0.1864,0.15,0.125,0.0,0.1614,0.125,167.30M,167.46M,
2000-12,796.15M,796.15M,358.06M,438.09M,,127.54M,,,,5.074M,,,,,309.37M,128.72M,,,,5.074M,,113.38M,51.59M,61.79M,,2.451M,61.79M,58.75M,310.55M,55.14M,128.72M,0.3547,,0.3365,0.3547,0.285,0.0,0.2668,0.285,167.29M,167.29M,
2000-09,773.26M,773.26M,519.82M,253.43M,,129.79M,,13.44M,,7.269M,,,,,143.23M,110.21M,,,,7.269M,,100.39M,45.68M,54.71M,,24.90M,54.71M,50.35M,165.57M,55.37M,110.21M,0.285,0.0,0.259,0.285,0.23,0.0,0.2044,0.23,167.45M,170.23M,
2000-06,756.84M,756.84M,502.87M,253.97M,,129.23M,,12.38M,,0.329M,,,,,141.61M,112.37M,,,,0.329M,,98.77M,44.94M,53.83M,,17.00M,53.83M,53.63M,166.64M,54.28M,112.37M,0.22,0.0,0.2188,0.22,0.22,0.0,0.2188,0.22,167.35M,167.66M,
2000-03,741.46M,741.46M,428.38M,313.08M,,129.76M,55.09M,12.31M,,-1.946M,,,,-55.09M,142.07M,171.01M,,,,-1.946M,,100.89M,45.90M,54.98M,,17.10M,54.98M,56.15M,238.41M,55.17M,171.01M,0.245,0.0,0.252,0.245,0.225,0.0,0.2319,0.225,167.26M,168.76M,
1999-12,843.10M,843.10M,527.70M,315.40M,,135.80M,,,,1.80M,,,,,191.40M,124.00M,,,,1.80M,,111.70M,51.70M,60.00M,,17.70M,60.00M,58.92M,179.60M,55.60M,124.00M,0.26,0.0,0.2533,0.26,0.255,0.0,0.2485,0.255,161.66M,165.60M,
1999-09,714.80M,714.80M,413.70M,301.10M,,130.70M,,,,0.80M,,,,,186.90M,114.20M,,,,0.80M,,100.40M,46.70M,53.70M,,17.90M,53.70M,53.22M,170.40M,56.00M,114.20M,0.215,0.0,0.2121,0.215,0.215,0.0,0.2121,0.215,166.51M,166.51M,
1999-06,695.12M,695.12M,397.60M,297.52M,,132.00M,,,,1.10M,,,,,188.20M,109.32M,,,,1.10M,,95.70M,44.50M,51.20M,,17.90M,51.20M,50.54M,165.52M,56.20M,109.32M,0.2,0.0,0.196,0.2,0.2,0.0,0.196,0.2,166.50M,166.50M,
1999-03,678.90M,678.90M,389.70M,289.20M,,128.60M,,,,-2.20M,,,,,184.40M,104.80M,,,,-2.20M,,87.90M,41.30M,46.60M,,17.90M,46.60M,47.92M,160.60M,55.80M,104.80M,0.17,0.0,0.1778,0.17,0.17,0.0,0.1778,0.17,168.82M,168.82M,
1998-12,794.90M,794.90M,489.80M,305.10M,,136.70M,,,,22.40M,,,,,193.40M,111.70M,,,,22.40M,,120.10M,55.60M,64.50M,,35.90M,64.50M,51.06M,168.40M,56.70M,111.70M,0.1716,,0.091,0.1716,0.1716,,0.091,0.1716,166.62M,166.62M,
1998-09,684.30M,684.30M,401.70M,282.60M,,131.00M,,,,-114.40M,,,,,184.30M,98.30M,,,,-114.40M,,-35.10M,19.00M,-54.10M,,18.00M,-54.10M,14.54M,151.60M,53.30M,98.30M,-0.425,0.0,-0.0204,-0.425,-0.425,0.0,-0.0204,-0.425,169.65M,169.65M,
1998-06,670.00M,670.00M,398.20M,271.80M,,124.10M,,,,-1.50M,,,,,180.80M,91.00M,,,,-1.50M,,68.80M,33.20M,35.60M,,,35.60M,36.50M,147.70M,56.70M,91.00M,0.105,0.0,0.1104,0.105,0.105,0.0,0.1104,0.105,166.54M,166.54M,
