,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2009-12,694.50M,,694.50M,,,,666.70M,90.10M,97.20M,326.30M,469.40M,66.70M,176.10M,,2.073B,0.0,49.70M,604.10M,2.332B,124.10M,42.70M,3.153B,-2.142B,1.011B,1.949B,,1.949B,,146.00M,241.30M,3.347B,5.420B,214.20M,,214.20M,762.60M,976.80M,,,,34.70M,,34.70M,8.00M,8.00M,414.30M,1.434B,1.626B,,1.626B,6.40M,6.40M,,0.70M,,153.30M,1.786B,3.220B,18.70M,1.531B,1.127B,364.60M,,8.50M,-70.40M,-50.80M,,-112.70M,2.200B
2009-09,487.10M,,487.10M,690.50M,,,690.50M,92.30M,112.60M,357.50M,513.20M,,,252.90M,1.944B,0.0,50.00M,608.10M,2.334B,132.10M,53.10M,3.177B,-2.139B,1.038B,1.950B,,1.950B,13.80M,147.70M,240.00M,3.389B,5.333B,228.10M,,228.10M,756.00M,984.10M,,,,34.00M,,34.00M,,,435.40M,1.454B,1.565B,,1.565B,,,,1.20M,,141.40M,1.707B,3.160B,18.70M,1.486B,1.110B,363.70M,,8.40M,-54.70M,-33.80M,,-80.10M,2.171B
2009-06,789.20M,,789.20M,677.80M,,,677.80M,92.70M,115.80M,371.00M,529.30M,,,305.70M,2.302B,0.0,48.30M,578.30M,2.264B,129.00M,83.90M,3.104B,-2.067B,1.037B,1.949B,,1.949B,17.00M,,330.80M,3.334B,5.636B,218.60M,,218.60M,752.60M,971.20M,,,,483.40M,,483.40M,,,409.20M,1.864B,1.565B,,1.565B,,,,1.70M,,136.10M,1.701B,3.565B,18.60M,1.445B,1.102B,363.60M,,8.30M,-56.60M,-84.10M,,-132.40M,2.069B
2009-03,426.20M,,426.20M,637.90M,,,637.90M,97.10M,118.10M,390.70M,549.00M,,,295.40M,1.908B,0.0,44.50M,554.50M,2.139B,127.50M,111.80M,2.977B,-1.968B,1.010B,1.933B,,1.933B,10.70M,,319.40M,3.272B,5.181B,216.40M,,216.40M,755.10M,971.50M,,,,186.40M,,186.40M,,,378.90M,1.537B,1.590B,,1.590B,,,,2.10M,,134.30M,1.724B,3.261B,18.60M,1.403B,1.095B,363.40M,,4.70M,-58.40M,-181.30M,,-235.00M,1.918B
2008-12,128.90M,,128.90M,682.80M,,,682.80M,98.70M,116.60M,405.00M,564.30M,66.20M,230.50M,,1.673B,0.0,45.40M,565.10M,2.179B,130.40M,123.90M,3.044B,-1.992B,1.051B,1.938B,,1.938B,,84.10M,239.70M,3.313B,4.986B,277.20M,,277.20M,757.20M,1.034B,,,,189.10M,,189.10M,11.30M,11.30M,387.40M,1.622B,1.290B,,1.290B,5.80M,5.80M,,1.00M,,141.50M,1.437B,3.059B,18.60M,1.364B,1.102B,383.20M,,5.00M,-60.20M,-122.40M,,-177.60M,1.925B
2008-09,274.40M,,274.40M,689.30M,,,689.30M,124.20M,137.50M,434.00M,635.90M,,,95.20M,1.695B,0.0,50.80M,580.80M,2.260B,136.70M,147.60M,3.176B,-2.070B,1.105B,1.963B,,1.963B,,,520.20M,3.588B,5.283B,306.30M,,306.30M,,306.30M,,,,286.70M,,286.70M,,,1.147B,1.740B,1.374B,,1.374B,,,,,,151.70M,1.526B,3.266B,16.80M,1.336B,1.099B,383.10M,,,,-4.90M,-50.90M,-55.80M,2.018B
2008-06,267.00M,,267.00M,716.70M,,,716.70M,122.20M,147.30M,440.90M,655.10M,,,139.20M,1.778B,0.0,54.40M,602.90M,2.305B,143.00M,163.20M,3.269B,-2.128B,1.140B,1.975B,,1.975B,,,488.20M,3.604B,5.382B,319.40M,,319.40M,,319.40M,,,,295.40M,,295.40M,,,1.098B,1.713B,1.366B,,1.366B,,,,,,168.40M,1.534B,3.247B,16.80M,1.346B,1.095B,372.70M,,,,99.40M,-49.80M,49.60M,2.134B
2008-03,430.90M,,430.90M,796.20M,,,796.20M,115.00M,145.10M,434.20M,642.40M,,,145.50M,2.015B,0.0,53.90M,579.70M,2.261B,147.60M,187.40M,3.230B,-2.114B,1.115B,1.976B,,1.976B,,,452.70M,3.544B,5.559B,313.70M,,313.70M,,313.70M,,,,350.80M,,350.80M,,,1.065B,1.730B,1.531B,,1.531B,,,,,,164.80M,1.696B,3.425B,16.80M,1.302B,1.090B,316.70M,,,,94.00M,-53.40M,40.60M,2.134B
2007-12,430.30M,,430.30M,789.80M,,,789.80M,114.60M,132.20M,389.00M,581.70M,21.90M,112.40M,,1.936B,0.0,54.30M,554.70M,2.158B,139.30M,192.20M,3.099B,-2.018B,1.080B,1.970B,,1.970B,,163.20M,289.20M,3.502B,5.438B,316.30M,,316.30M,552.50M,868.80M,,,,340.20M,,340.20M,12.10M,12.10M,520.50M,1.742B,1.532B,,1.532B,9.90M,9.90M,,,,135.60M,1.677B,3.419B,16.80M,1.261B,1.086B,286.90M,,,,-4.00M,-53.20M,-57.20M,2.020B
2007-09,374.50M,44.70M,419.20M,792.00M,,,792.00M,117.30M,135.00M,404.80M,604.20M,,,123.90M,1.939B,0.0,49.20M,544.60M,2.126B,137.80M,194.80M,3.052B,-1.994B,1.058B,1.987B,,1.987B,,,365.30M,3.411B,5.350B,312.20M,,312.20M,,312.20M,,,,336.30M,,336.30M,,,1.046B,1.694B,1.533B,,1.533B,,,,,,155.70M,1.688B,3.383B,16.80M,1.197B,1.081B,286.60M,,,,7.50M,-48.30M,-40.80M,1.967B
2007-06,379.20M,39.70M,418.90M,748.10M,,,748.10M,116.60M,122.80M,385.90M,572.60M,,,120.90M,1.860B,0.0,48.40M,532.80M,2.070B,133.20M,172.80M,2.958B,-1.930B,1.028B,1.971B,,1.971B,,,338.90M,3.338B,5.198B,295.70M,,295.70M,,295.70M,,,,332.90M,,332.90M,,,1.021B,1.649B,1.533B,,1.533B,,,,,,152.10M,1.686B,3.335B,16.80M,1.141B,1.076B,284.20M,,,,-36.60M,-50.10M,-86.70M,1.863B
2007-03,415.90M,39.90M,455.80M,704.20M,,,704.20M,116.70M,123.00M,357.70M,545.60M,,,119.50M,1.825B,0.0,39.10M,520.70M,2.021B,136.10M,164.10M,2.881B,-1.890B,991.60M,1.967B,,1.967B,,,333.10M,3.292B,5.117B,292.90M,,292.90M,,292.90M,,,,22.40M,,22.40M,,,1.027B,1.342B,1.827B,,1.827B,,,,,,154.40M,1.982B,3.324B,16.70M,1.083B,1.071B,278.90M,,,,-48.00M,-51.00M,-99.00M,1.793B
2006-12,373.10M,33.90M,407.00M,721.30M,,,721.30M,108.70M,107.70M,341.70M,509.40M,18.20M,100.80M,,1.757B,0.0,35.70M,516.20M,2.054B,135.90M,139.60M,2.882B,-1.912B,970.10M,1.957B,,1.957B,,175.40M,161.60M,3.264B,5.021B,283.90M,,283.90M,490.00M,773.90M,,,,25.70M,,25.70M,7.80M,7.80M,598.70M,1.406B,1.827B,,1.827B,7.60M,7.60M,,,,125.80M,1.96B,3.366B,8.60M,972.40M,1.076B,278.20M,,,,-70.70M,-53.20M,-123.90M,1.655B
2006-09,227.20M,84.70M,311.90M,699.10M,,,699.10M,114.40M,103.90M,288.60M,470.60M,,,119.50M,1.601B,0.0,33.60M,505.40M,2.002B,129.30M,123.10M,2.793B,-1.858B,934.90M,1.959B,,1.959B,,,349.60M,3.244B,4.845B,276.90M,,276.90M,,276.90M,,,,19.50M,,19.50M,,,1.043B,1.339B,1.824B,,1.824B,,,,,,129.80M,1.954B,3.294B,8.60M,869.30M,1.070B,273.10M,,,,-125.50M,1.80M,-123.70M,1.551B
2006-06,531.00M,47.80M,578.80M,673.30M,,,673.30M,107.50M,99.30M,269.30M,440.20M,,,121.70M,1.814B,0.0,33.60M,505.10M,1.994B,128.60M,87.40M,2.749B,-1.824B,924.60M,1.947B,,1.947B,,,345.60M,3.217B,5.031B,257.60M,,257.60M,,257.60M,,,,271.50M,,271.50M,,,1.029B,1.558B,1.832B,,1.832B,,,,,,134.70M,1.967B,3.525B,8.60M,804.10M,1.066B,229.90M,,,,-145.80M,2.90M,-142.90M,1.506B
2006-03,438.20M,42.50M,480.70M,657.90M,,,657.90M,106.50M,96.70M,263.50M,429.70M,,,115.30M,1.684B,0.0,33.20M,498.00M,2.054B,,70.80M,2.656B,-1.743B,913.10M,1.940B,,1.940B,,,345.00M,3.198B,4.882B,248.10M,,248.10M,,248.10M,,,,261.70M,,261.70M,,,995.90M,1.506B,1.812B,,1.812B,,,,,,128.30M,1.94B,3.446B,9.50M,758.60M,1.062B,222.20M,,,,-173.30M,1.40M,-171.90M,1.436B
2005-12,455.80M,44.10M,499.90M,674.00M,,,674.00M,97.90M,90.10M,256.70M,409.10M,11.40M,101.00M,,1.695B,0.0,32.80M,508.60M,2.045B,,66.70M,2.653B,-1.742B,911.20M,,1.909B,1.909B,,130.40M,218.40M,3.169B,4.864B,250.30M,,250.30M,,250.30M,,,,21.80M,,21.80M,,,1.261B,1.534B,1.813B,,1.813B,23.90M,23.90M,,,,101.70M,1.939B,3.472B,8.60M,715.10M,1.076B,222.00M,,,,-169.70M,-15.40M,-185.10M,1.392B
2005-09,417.00M,37.00M,454.00M,,669.20M,,669.20M,100.10M,101.20M,265.80M,434.40M,,,114.90M,1.672B,0.0,33.20M,507.90M,1.909B,128.90M,74.20M,2.653B,-1.729B,924.30M,,1.945B,1.945B,,,283.50M,3.153B,4.826B,241.10M,,241.10M,,241.10M,,,,26.60M,,26.60M,,,1.248B,1.516B,1.814B,,1.814B,,,,,,120.40M,1.934B,3.450B,9.50M,642.00M,1.070B,179.50M,,,,-150.90M,-15.80M,-166.70M,1.376B
2005-06,455.10M,,455.10M,,642.50M,,642.50M,99.30M,108.60M,279.30M,454.00M,,,117.90M,1.670B,0.0,33.30M,508.60M,1.912B,129.80M,58.90M,2.642B,-1.703B,939.40M,,1.947B,1.947B,,,272.40M,3.159B,4.829B,271.80M,,271.80M,,271.80M,,,,29.80M,,29.80M,,,994.80M,1.296B,2.060B,,2.060B,21.00M,21.00M,,,,95.30M,2.176B,3.472B,8.60M,577.80M,1.066B,140.80M,,,,-142.10M,-13.30M,-155.40M,1.356B
2005-03,377.70M,37.00M,414.70M,,634.20M,,634.20M,106.80M,101.80M,278.70M,453.60M,,,117.30M,1.620B,0.0,34.20M,518.10M,1.941B,132.80M,53.10M,2.679B,-1.706B,972.50M,,1.949B,1.949B,,,278.70M,3.200B,4.820B,239.50M,,239.50M,,239.50M,,,,28.10M,,28.10M,,,987.90M,1.256B,2.073B,,2.073B,25.00M,25.00M,,,,107.70M,2.205B,3.461B,8.60M,515.00M,1.066B,105.60M,,,,-108.60M,-16.10M,-124.70M,1.359B
2004-12,358.00M,54.10M,412.10M,,662.50M,,662.50M,106.10M,87.20M,249.50M,417.90M,,,118.70M,1.611B,0.0,35.50M,524.90M,1.970B,137.00M,46.50M,2.714B,-1.705B,1.009B,,1.953B,1.953B,,,281.80M,3.244B,4.855B,248.50M,,248.50M,,248.50M,,,,23.60M,,23.60M,,,1.032B,1.304B,2.088B,,2.088B,,,,,,129.70M,2.218B,3.522B,8.60M,459.30M,1.060B,103.70M,,,,-77.80M,-12.70M,-90.50M,1.334B
2004-09,517.30M,,517.30M,,613.60M,,613.60M,96.10M,92.40M,240.80M,406.00M,,,74.30M,1.611B,0.0,535.10M,,1.896B,132.10M,67.80M,2.631B,-1.628B,1.003B,,1.944B,1.944B,,,287.40M,3.235B,4.846B,217.20M,,217.20M,,217.20M,,,,16.40M,,16.40M,,,982.20M,1.216B,2.272B,,2.272B,33.60M,33.60M,,,,93.10M,2.399B,3.614B,8.60M,428.90M,1.057B,103.40M,,,,,,-159.50M,1.232B
2004-06,475.80M,,475.80M,,589.90M,,589.90M,91.80M,93.40M,231.90M,392.80M,,,73.70M,1.532B,0.0,522.20M,,1.860B,133.20M,75.10M,2.591B,-1.582B,1.009B,,1.942B,1.942B,,,280.10M,3.231B,4.763B,200.80M,,200.80M,,200.80M,,,,16.60M,,16.60M,,,967.80M,1.185B,2.262B,,2.262B,33.10M,33.10M,,,,98.10M,2.393B,3.578B,8.60M,365.20M,1.054B,78.60M,,,,-153.60M,-11.40M,-165.00M,1.185B
2004-03,412.80M,,412.80M,,578.80M,,578.80M,92.60M,87.30M,234.30M,390.30M,,,73.00M,1.455B,0.0,516.40M,,1.832B,133.10M,98.40M,2.580B,-1.554B,1.027B,,1.942B,1.942B,,,289.70M,3.259B,4.714B,185.50M,,185.50M,,185.50M,,,,22.00M,,22.00M,,,959.80M,1.167B,2.264B,,2.264B,33.50M,33.50M,,,,87.20M,2.385B,3.552B,8.60M,303.90M,1.050B,44.60M,,,,-146.90M,-9.70M,-156.60M,1.161B
2003-12,365.00M,,365.00M,,615.20M,,615.20M,88.10M,82.10M,223.60M,371.20M,18.80M,57.60M,,1.428B,0.0,31.90M,485.50M,1.824B,131.70M,93.50M,2.566B,-1.524B,1.042B,,1.940B,1.940B,,85.00M,209.40M,3.276B,4.704B,191.70M,,191.70M,,191.70M,,,,20.60M,,20.60M,5.80M,5.80M,972.30M,1.190B,2.260B,,2.260B,34.90M,34.90M,,,,95.40M,2.390B,3.580B,8.60M,243.70M,1.047B,19.60M,,,,-147.00M,-9.00M,-156.00M,1.124B
2003-09,511.20M,,511.20M,,588.70M,,588.70M,84.10M,90.20M,221.90M,375.50M,,,71.90M,1.547B,0.0,506.40M,,1.864B,,88.90M,2.460B,-1.447B,1.013B,,1.932B,1.932B,,,298.00M,3.243B,4.79B,169.70M,,169.70M,,169.70M,,,,36.20M,,36.20M,,,965.20M,1.171B,2.461B,,2.461B,41.10M,41.10M,,,,87.80M,2.590B,3.761B,8.50M,196.80M,1.041B,19.60M,,,,-190.10M,-7.30M,-197.40M,1.029B
2003-06,450.30M,,450.30M,,570.00M,,570.00M,87.20M,86.80M,228.70M,381.60M,,,62.30M,1.464B,0.0,506.20M,,1.721B,129.10M,81.00M,2.438B,-1.411B,1.027B,,1.932B,1.932B,,,277.90M,3.237B,4.701B,165.30M,,165.30M,,165.30M,,,,43.50M,,43.50M,,,929.50M,1.138B,1.179B,,1.179B,41.80M,41.80M,,,,83.30M,1.304B,2.443B,1.298B,133.10M,1.047B,19.60M,1.290B,,,-193.00M,-7.10M,-200.10M,2.258B
2003-03,150.50M,,150.50M,,553.60M,,553.60M,79.00M,77.90M,219.80M,355.60M,,,54.90M,1.115B,0.0,485.10M,,1.651B,123.20M,80.30M,2.340B,-1.332B,1.008B,,1.926B,1.926B,,267.60M,,3.201B,4.316B,168.60M,,168.60M,,168.60M,,,,46.90M,,46.90M,,,918.00M,1.134B,869.10M,,869.10M,32.30M,32.30M,,,,78.00M,979.40M,2.113B,1.336B,80.30M,1.039B,19.60M,1.327B,,,-220.00M,-12.30M,-232.30M,2.203B
2002-12,126.80M,,126.80M,,546.80M,,546.80M,76.90M,71.30M,198.40M,329.40M,,,53.30M,1.056B,0.0,477.30M,,1.616B,119.60M,79.60M,2.292B,-1.280B,1.013B,,1.926B,1.926B,,265.30M,,3.204B,4.261B,167.00M,,167.00M,,167.00M,,,,55.40M,,55.40M,,,930.40M,1.153B,868.00M,,868.00M,31.00M,31.00M,,,,69.00M,968.00M,2.121B,1.336B,31.90M,1.037B,31.10M,1.327B,,,-222.20M,-11.20M,-233.40M,2.14B
2002-09,77.23M,,77.23M,535.58M,,,535.58M,77.09M,71.67M,184.86M,317.17M,,,56.31M,986.29M,0.0,459.84M,,1.661B,,118.10M,2.239B,-1.227B,1.012B,,1.922B,1.922B,,,173.89M,3.108B,4.094B,156.19M,,156.19M,,156.19M,,,,66.19M,,66.19M,,,409.02M,631.39M,861.47M,,861.47M,213.13M,213.13M,,,1.331B,70.18M,2.475B,3.107B,8.466M,547.01M,715.24M,31.14M,,,,-240.03M,-12.06M,-252.09M,987.48M
2002-06,15.20M,,15.20M,543.30M,,,543.30M,75.76M,69.40M,188.59M,317.15M,,,57.75M,933.39M,0.0,466.73M,,1.647B,,133.00M,2.247B,-1.204B,1.042B,,1.921B,1.921B,,,176.60M,3.140B,4.074B,158.41M,,158.41M,,158.41M,,,,95.56M,,95.56M,,,385.62M,639.59M,868.71M,,868.71M,213.82M,213.82M,,,1.343B,71.56M,2.497B,3.137B,8.466M,494.11M,708.92M,31.14M,,,,-229.31M,-14.14M,-243.45M,936.92M
2002-03,28.98M,,28.98M,499.71M,,,499.71M,70.72M,62.90M,176.44M,293.30M,,,54.91M,876.90M,0.0,438.30M,,1.576B,,141.02M,2.155B,-1.130B,1.025B,1.912B,,1.912B,,,168.82M,3.105B,3.982B,132.21M,,132.21M,,132.21M,,,,95.62M,,95.62M,,,372.95M,600.78M,856.20M,,856.20M,210.28M,210.28M,,,1.364B,67.72M,2.499B,3.099B,8.461M,441.67M,703.53M,31.14M,,,,-224.24M,-15.26M,-239.50M,883.02M
2001-12,13.80M,,13.80M,418.16M,,,418.16M,69.31M,65.15M,174.97M,288.57M,10.17M,45.64M,,776.35M,0.0,29.78M,413.32M,1.578B,,139.45M,2.160B,-1.110B,1.050B,,1.913B,1.913B,,5.686M,162.43M,3.132B,3.908B,135.53M,,135.53M,,135.53M,,,,137.49M,,137.49M,5.097M,5.097M,348.86M,626.98M,788.11M,,788.11M,210.83M,210.83M,,,1.366B,65.68M,2.431B,3.058B,8.449M,394.80M,699.09M,31.13M,,,,-207.71M,-13.34M,-221.05M,850.15M
2001-09,51.53M,,51.53M,486.04M,,,486.04M,71.83M,63.77M,185.83M,299.31M,,,59.95M,896.83M,0.0,434.88M,,1.450B,108.72M,130.08M,2.124B,-1.085B,1.039B,1.915B,,1.915B,,,168.05M,3.122B,4.019B,142.88M,,142.88M,,142.88M,15.18M,,177.16M,192.34M,,192.34M,,,316.07M,651.29M,894.52M,,894.52M,206.75M,206.75M,,,1.368B,73.29M,2.542B,3.194B,8.444M,370.00M,699.04M,31.13M,,,,-209.08M,-12.33M,-221.41M,824.94M
2001-06,64.68M,,64.68M,460.61M,,,460.61M,72.90M,64.51M,191.98M,307.43M,,,58.12M,890.83M,0.0,433.08M,,1.402B,112.05M,120.73M,2.067B,-1.046B,1.022B,1.927B,,1.927B,,,173.60M,3.122B,4.013B,153.66M,,153.66M,,153.66M,1.072M,,207.98M,209.06M,,209.06M,75.52M,75.52M,185.54M,623.78M,933.72M,,933.72M,205.34M,205.34M,,,1.380B,73.50M,2.593B,3.217B,8.438M,339.39M,693.76M,31.12M,,,,-201.59M,-12.39M,-213.99M,796.48M
2001-03,102.36M,,102.36M,473.69M,,,473.69M,71.85M,62.81M,200.81M,313.51M,,,56.24M,945.79M,0.0,430.91M,,1.384B,110.17M,108.04M,2.034B,-1.018B,1.015B,1.943B,,1.943B,,,172.28M,3.131B,4.076B,162.36M,,162.36M,,162.36M,1.285M,,221.66M,222.95M,,222.95M,75.46M,75.46M,179.80M,640.57M,1.002B,,1.002B,210.31M,210.31M,,,,73.24M,1.286B,1.926B,1.389B,313.93M,693.11M,31.12M,1.380B,,,-199.45M,-15.43M,-214.88M,2.150B
2000-12,11.23M,,11.23M,548.72M,,,548.72M,72.54M,63.80M,193.17M,309.12M,8.136M,42.66M,,919.86M,,,,,,,2.043B,-1.011B,1.032B,,1.960B,1.960B,,7.367M,171.60M,3.171B,4.091B,140.53M,,140.53M,,140.53M,,,,291.85M,,291.85M,4.818M,4.818M,280.16M,717.35M,944.45M,,944.45M,210.58M,210.58M,,,1.392B,72.99M,2.620B,3.338B,8.435M,293.13M,689.08M,31.14M,,,,-187.78M,-18.59M,-206.37M,753.13M
2000-09,6.251M,,6.251M,,,,491.34M,,,,298.63M,,,75.50M,871.71M,,,,,,,1.984B,-965.29M,1.018B,,1.919B,1.919B,,,180.23M,3.118B,3.990B,160.65M,,160.65M,,160.65M,,,,176.29M,,176.29M,,,271.44M,608.38M,884.70M,,884.70M,210.54M,210.54M,,,,73.05M,1.168B,1.777B,1.544B,245.51M,651.62M,27.73M,1.536B,,,-182.01M,-18.69M,-200.70M,2.213B
2000-06,18.77M,,18.77M,,,,483.42M,,,,272.29M,,,74.36M,848.83M,,,,,,,1.953B,-957.30M,995.59M,,1.844B,1.844B,,,176.71M,3.016B,3.865B,159.30M,,159.30M,,159.30M,,,,149.44M,,149.44M,,,242.11M,550.86M,690.28M,,690.28M,209.61M,209.61M,,,,79.14M,979.02M,1.530B,1.707B,206.79M,638.86M,23.50M,1.698B,,,-175.10M,-18.69M,-193.79M,2.335B
2000-03,17.72M,,17.72M,,,,473.06M,,,,265.68M,,,74.53M,830.98M,,,,,,,1.944B,-937.92M,1.006B,,1.858B,1.858B,,,176.72M,3.041B,3.872B,173.02M,,173.02M,,173.02M,,,,135.84M,,135.84M,,,262.52M,571.38M,706.90M,,706.90M,212.66M,212.66M,,,,77.88M,997.44M,1.569B,1.710B,169.96M,636.58M,22.40M,1.701B,,,,,-190.79M,2.303B
1999-12,13.70M,,13.70M,,,,470.00M,,,,245.90M,,,73.60M,803.20M,,,,,,,1.946B,-922.70M,1.023B,,1.86B,1.86B,,,168.60M,3.052B,3.855B,175.20M,,175.20M,,175.20M,,,,159.60M,,159.60M,,,247.30M,582.10M,665.10M,,665.10M,214.90M,214.90M,,,,80.40M,960.40M,1.542B,1.770B,132.10M,632.20M,23.70M,1.762B,,,,,-198.00M,2.313B
1999-09,74.40M,,74.40M,,,,465.40M,,,,263.40M,,,70.30M,873.50M,,,,,,,1.934B,-903.80M,1.031B,,1.873B,1.873B,,,178.90M,3.083B,3.956B,168.80M,,168.80M,,168.80M,,,,238.10M,,238.10M,,,271.60M,678.50M,701.20M,,701.20M,206.60M,206.60M,,,,84.20M,992.00M,1.670B,1.796B,89.90M,627.20M,,1.788B,,,-175.50M,-52.10M,-227.60M,2.286B
1999-06,60.00M,,60.00M,,,,450.10M,,,,269.10M,,,72.20M,851.40M,,,,,,,1.902B,-858.80M,1.043B,,1.884B,1.884B,,,177.90M,3.105B,3.957B,164.00M,,164.00M,,164.00M,,,,148.70M,,148.70M,,,252.00M,564.70M,845.30M,,845.30M,206.30M,206.30M,,,,81.90M,1.134B,1.698B,1.788B,54.10M,,,1.788B,,,,,,2.258B
1999-03,85.30M,,85.30M,,,,449.20M,,,,269.50M,,,71.60M,875.60M,,,,,,,1.907B,-836.00M,1.071B,,1.895B,1.895B,,,177.30M,3.143B,4.019B,167.10M,,167.10M,,167.10M,,,,278.90M,,278.90M,,,257.30M,703.30M,805.80M,,805.80M,207.00M,207.00M,,,,74.80M,1.088B,1.791B,1.790B,20.70M,,,1.790B,,,,,,2.228B
1998-12,45.00M,,45.00M,,,,453.10M,,,,275.30M,,,71.20M,844.60M,,,,,,,1.946B,-829.50M,1.117B,,1.908B,1.908B,,,171.00M,3.195B,4.040B,176.60M,,176.60M,,176.60M,,,,85.20M,,85.20M,,,273.20M,535.00M,996.50M,,996.50M,200.70M,200.70M,,,,79.70M,1.277B,1.812B,1.799B,-8.00M,610.50M,-17.20M,1.791B,,,,,-156.60M,2.228B
1998-09,39.90M,,39.90M,,,,438.40M,,,,301.30M,,,50.30M,829.90M,,,,,,,1.912B,-793.90M,1.118B,,1.870B,1.870B,,,196.70M,3.186B,4.016B,170.20M,,170.20M,,170.20M,,,,94.10M,,94.10M,,,278.40M,542.70M,1.039B,,1.039B,147.60M,147.60M,,,,88.40M,1.275B,1.817B,1.797B,-54.50M,,,1.797B,,,,,,2.198B
1998-06,34.10M,,34.10M,,,,423.50M,,,,301.50M,,,41.90M,801.00M,,,,,,,1.942B,-761.90M,1.181B,,1.894B,1.894B,,,179.60M,3.255B,4.056B,163.20M,,163.20M,,163.20M,,,,164.10M,,164.10M,,,205.80M,533.10M,1.040B,,1.040B,127.10M,127.10M,,,,86.90M,1.254B,1.787B,1.801B,17.60M,,,1.801B,,,,,,2.269B
