,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-12,18.30B,4.31B,13.99B,7.687B,6.302B,,,1.887B,2.00M,,-566.00M,,,,3.113B,3.189B,,,-566.00M,,2.817B,998.00M,1.687B,,,-132.00M,1.768B,2.052B,3.544B,355.00M,3.189B,0.87,0.0,,1.047,0.87,0.87,0.0,,1.047,0.87,2.065B,2.065B,0.64
2002-09,20.00B,4.758B,15.24B,7.674B,7.564B,,,3.005B,1.00M,,2.653B,,,,3.006B,4.558B,,,2.653B,,6.932B,2.461B,4.359B,,,-112.00M,4.359B,2.648B,4.87B,312.00M,4.558B,2.07,0.0,,1.2570000000000001,2.07,2.06,0.0,,1.251,2.06,2.106B,2.116B,0.64
2002-06,21.10B,4.583B,16.52B,8.501B,8.019B,,,3.276B,2.00M,,-114.00M,,,114.00M,3.392B,4.627B,,,-114.00M,,4.318B,1.533B,2.61B,,,-175.00M,2.61B,2.684B,4.957B,330.00M,4.627B,1.22,0.0,,1.254,1.22,1.21,0.0,,1.244,1.21,2.135B,2.159B,0.58
2002-03,20.54B,4.575B,15.96B,8.532B,7.428B,,,3.255B,2.00M,,,,,,3.257B,4.171B,,,,,3.878B,1.376B,2.365B,,,-137.00M,2.365B,2.365B,4.505B,334.00M,4.171B,1.1,0.0,,1.1,1.1,1.09,0.0,,1.09,1.09,2.15B,2.170B,0.58
2001-12,19.88B,4.049B,15.83B,8.47B,7.363B,,,3.09B,256.00M,,-93.00M,,,93.00M,3.439B,3.924B,,,-93.00M,,3.671B,1.389B,2.164B,,0.00,-118.00M,2.164B,2.222B,4.537B,613.00M,3.924B,1.01,-0.01,0.0,1.037,1.0,0.99,-0.01,-0.0,1.016,0.99,2.157B,2.186B,0.58
2001-09,20.25B,4.35B,15.90B,8.299B,7.60B,,,3.141B,252.00M,,,,,,3.393B,4.207B,,,,,3.931B,1.492B,2.328B,,,-111.00M,2.328B,2.328B,4.768B,561.00M,4.207B,1.07,0.0,,1.07,1.07,1.06,0.0,,1.06,1.06,2.175B,2.202B,0.58
2001-06,20.79B,4.377B,16.41B,8.761B,7.651B,,,3.194B,253.00M,,,,,,3.447B,4.204B,,,,,3.766B,1.431B,2.288B,,,-47.00M,2.288B,2.288B,4.779B,575.00M,4.204B,1.04,0.0,,1.04,1.04,1.03,0.0,,1.03,1.03,2.191B,2.221B,0.53
2001-03,19.96B,4.433B,15.53B,8.37B,7.156B,,,3.536B,253.00M,,,,,,3.789B,3.367B,,,,,2.916B,1.095B,1.786B,,-6.00M,-35.00M,1.78B,1.786B,3.955B,588.00M,3.367B,0.81,0.0,0.0,0.81,0.81,0.8,0.0,-0.0027,0.8,0.8,2.201B,2.229B,0.53
2000-12,12.56B,4.098B,8.463B,8.433B,30.00M,,,-2.62B,,,,,,,-3.582B,3.612B,,,,,3.302B,1.291B,2.011B,,,,2.011B,2.011B,4.05B,438.00M,3.612B,0.9926,,,0.9926,0.9926,0.88,,,0.88,0.88,2.272B,2.285B,0.53
2000-09,20.06B,4.301B,15.76B,7.002B,8.755B,,,4.373B,,,,,,,4.791B,3.964B,,,,,3.806B,1.487B,2.319B,,,,2.319B,2.319B,4.382B,418.00M,3.964B,1.04,0.0,,1.04,1.04,1.03,0.0,,1.03,1.03,2.230B,2.251B,0.53
2000-06,20.84B,4.421B,16.42B,7.231B,9.192B,,,5.007B,,,,,,,5.44B,3.752B,,,,,3.559B,1.388B,2.171B,,,,2.171B,2.171B,4.185B,433.00M,3.752B,0.96,0.0,,0.96,0.96,0.95,0.0,,0.95,0.95,2.261B,2.285B,0.48
2000-03,20.04B,4.45B,15.59B,7.021B,8.569B,,,4.663B,,,,,,,5.091B,3.478B,,,,,3.293B,1.284B,2.009B,,,,2.009B,2.009B,3.906B,428.00M,3.478B,0.87,0.0,,0.87,0.87,0.87,0.0,,0.87,0.87,2.309B,2.309B,0.48
1999-12,19.41B,3.853B,15.56B,7.063B,8.495B,,,4.811B,,,,,,,5.259B,3.236B,,,,,3.068B,1.211B,1.857B,,,,1.857B,1.857B,3.684B,448.00M,3.236B,0.79,0.0,,0.79,0.79,0.78,0.0,,0.78,0.78,2.346B,2.373B,0.48
1999-09,19.88B,4.386B,15.49B,7.163B,8.329B,,,4.383B,,,,,,,4.813B,3.516B,,,,,3.317B,1.316B,2.001B,,,,2.001B,2.001B,3.946B,430.00M,3.516B,0.84,0.0,,0.84,0.84,0.84,0.0,,0.84,0.84,2.386B,2.396B,0.48
1999-06,19.81B,4.243B,15.57B,7.211B,8.356B,,,4.358B,,,,,,,4.779B,3.577B,,,,,3.355B,1.325B,2.03B,,,,2.03B,2.03B,3.998B,421.00M,3.577B,0.84,0.0,,0.84,0.84,0.84,0.0,,0.84,0.84,2.406B,2.417B,0.44
1999-03,19.50B,4.363B,15.13B,7.004B,8.13B,,,4.566B,,,,,,,4.969B,3.161B,,,,,2.955B,1.168B,1.787B,,,,1.787B,1.787B,3.564B,403.00M,3.161B,0.74,0.0,,0.74,0.74,0.73,0.0,,0.73,0.73,2.424B,2.439B,0.44
1998-12,18.44B,3.943B,14.50B,6.453B,8.047B,,,4.611B,,,-2.265B,,,,5.01B,3.037B,,,-2.265B,,564.00M,290.00M,274.00M,,,,274.00M,1.633B,3.436B,399.00M,3.037B,0.11,0.0,,0.6672,0.11,0.11,0.0,,0.6672,0.11,2.439B,2.439B,0.44
1998-09,18.59B,4.216B,14.37B,6.244B,8.127B,,,4.086B,,,-111.00M,,,,4.514B,3.613B,,,-111.00M,,3.302B,1.322B,1.98B,,,,1.98B,2.047B,4.041B,428.00M,3.613B,0.81,0.0,,0.8374,0.81,0.81,0.0,,0.8372,0.81,2.43B,2.448B,0.44
1998-06,18.98B,4.192B,14.79B,6.598B,8.188B,,,4.42B,,,-199.00M,,,,4.849B,3.339B,,,-199.00M,,2.902B,1.166B,1.736B,,,,1.736B,1.855B,3.787B,448.00M,3.339B,0.72,0.0,,0.7692,0.72,0.71,0.0,,0.7589,0.71,2.428B,2.443B,0.4
