,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-09,7.309B,7.309B,2.523B,,2.523B,1.228B,,3.463B,4.241B,8.932B,,1.983B,20.75B,,,,,,16.17B,-8.097B,8.074B,6.70B,1.874B,8.574B,,14.33B,30.98B,51.73B,1.166B,,,1.166B,10.70B,11.87B,4.485B,4.485B,2.83B,19.18B,3.54B,3.54B,6.834B,6.834B,,,,4.931B,15.30B,34.49B,935.00M,33.82B,6.839B,23.52B,,,-836.00M,17.24B
2007-06,6.156B,6.156B,2.525B,,2.525B,1.247B,,2.976B,4.04B,8.263B,,1.552B,18.50B,,,,,,22.13B,-7.832B,14.29B,6.794B,1.938B,8.732B,,7.973B,31.00B,49.50B,1.072B,,,1.072B,9.596B,10.67B,4.004B,4.004B,2.408B,17.08B,4.304B,4.304B,6.891B,6.891B,,,,5.031B,16.23B,33.31B,935.00M,32.77B,6.797B,23.55B,,,-767.00M,16.19B
2007-03,2.189B,2.189B,2.725B,,2.725B,1.012B,,3.377B,4.173B,8.562B,,1.181B,14.66B,,,,,,15.18B,-7.464B,7.719B,6.597B,1.903B,8.50B,,13.73B,29.95B,44.61B,1.074B,,,1.074B,7.079B,8.153B,579.00M,579.00M,1.89B,10.62B,7.952B,7.952B,6.675B,6.675B,,,,4.85B,19.48B,30.10B,935.00M,32.01B,6.726B,23.62B,84.00M,-1.628B,-1.544B,14.51B
2006-12,4.781B,4.781B,2.808B,,2.808B,1.109B,,3.188B,4.383B,8.68B,,9.883B,26.15B,,,,,,14.88B,-7.301B,7.581B,6.197B,1.908B,8.105B,,62.43B,78.12B,104.27B,1.414B,,,1.414B,19.39B,20.81B,1.068B,1.068B,3.552B,25.43B,6.298B,6.298B,1.391B,1.391B,,,,31.54B,39.22B,64.65B,935.00M,59.88B,6.356B,23.74B,,,-3.808B,39.62B
2006-09,5.695B,5.695B,5.826B,,5.826B,6.772B,,4.993B,,11.76B,,2.913B,26.20B,,,,,,31.78B,-14.74B,17.04B,33.14B,11.87B,45.01B,,19.53B,81.58B,107.78B,3.589B,,,3.589B,13.73B,17.32B,6.415B,6.415B,3.585B,27.32B,13.22B,13.22B,13.08B,13.08B,,3.796B,,9.175B,35.47B,62.79B,935.00M,58.72B,6.239B,23.79B,,,-917.00M,41.19B
2006-06,5.613B,5.613B,5.808B,,5.808B,6.298B,,4.841B,,11.14B,,2.871B,25.43B,,,,,,31.21B,-14.33B,16.88B,32.15B,12.19B,44.35B,,20.11B,81.33B,106.76B,3.176B,,,3.176B,11.64B,14.82B,6.116B,6.116B,4.251B,25.19B,15.50B,15.50B,13.32B,13.32B,,3.886B,,9.184B,38.00B,63.19B,935.00M,57.65B,6.091B,23.95B,,,-1.041B,39.69B
2006-03,2.491B,2.491B,5.324B,,5.324B,6.357B,,5.223B,,11.58B,,2.729B,22.12B,,,,,,30.38B,-13.66B,16.72B,31.63B,12.20B,43.84B,,22.14B,82.69B,104.81B,3.098B,,,3.098B,10.54B,13.64B,7.386B,7.386B,2.365B,23.39B,16.06B,16.06B,14.17B,14.17B,,3.946B,,9.104B,39.33B,62.72B,935.00M,56.62B,5.98B,24.03B,,,-1.361B,38.14B
2005-12,6.258B,6.258B,5.361B,,5.361B,6.292B,,4.292B,,10.58B,,3.578B,25.78B,0.0,989.00M,7.428B,20.05B,1.489B,29.96B,-13.28B,16.68B,31.22B,12.20B,43.42B,,22.08B,82.17B,107.95B,3.645B,,,3.645B,13.18B,16.83B,6.266B,6.266B,3.065B,26.16B,17.87B,17.87B,14.23B,14.23B,,4.141B,,9.846B,41.94B,68.10B,935.00M,54.67B,6.061B,24.10B,,,-1.853B,35.71B
2005-09,6.195B,6.195B,5.503B,,5.503B,6.346B,,4.572B,,10.92B,,2.906B,25.52B,,,,,,29.60B,-13.28B,16.32B,,43.20B,43.20B,,21.05B,80.57B,106.09B,3.279B,,,3.279B,12.87B,16.15B,5.567B,5.567B,3.276B,24.99B,19.15B,19.15B,12.74B,12.74B,,4.464B,,10.24B,42.13B,67.12B,935.00M,54.01B,5.621B,24.21B,,,-1.848B,34.51B
2005-06,8.499B,8.499B,5.737B,,5.737B,6.199B,,4.668B,,10.87B,,2.405B,27.51B,,,,,,29.30B,-13.06B,16.25B,,43.44B,43.44B,,21.01B,80.70B,108.20B,3.153B,,,3.153B,12.36B,15.51B,8.762B,8.762B,3.801B,28.08B,19.03B,19.03B,12.65B,12.65B,,4.639B,,10.42B,42.10B,70.18B,935.00M,52.76B,5.538B,24.38B,1.026B,-2.492B,-1.466B,33.39B
2005-03,4.208B,4.208B,6.08B,,6.08B,5.716B,,4.408B,,10.12B,,3.564B,23.98B,,,,,,29.24B,-13.05B,16.19B,,39.08B,39.08B,,23.04B,78.30B,102.28B,3.072B,,,3.072B,11.12B,14.20B,6.969B,6.969B,1.781B,22.94B,18.22B,18.22B,13.54B,13.54B,,4.768B,,10.39B,42.16B,65.10B,935.00M,51.57B,5.487B,24.55B,543.00M,-1.581B,-1.038B,32.41B
2004-12,5.744B,5.744B,5.754B,,5.754B,5.813B,,4.228B,,10.04B,,4.362B,25.90B,0.0,889.00M,7.366B,19.57B,1.266B,29.09B,-12.78B,16.30B,,39.11B,39.11B,,20.33B,75.75B,101.65B,3.466B,,,3.466B,13.32B,16.79B,4.297B,4.297B,2.488B,23.57B,18.68B,18.68B,13.55B,13.55B,,4.764B,,10.36B,42.60B,66.17B,935.00M,50.60B,5.176B,24.85B,,,-1.141B,30.71B
2004-09,6.669B,6.669B,5.492B,,5.492B,5.586B,,4.061B,,9.647B,,2.49B,24.30B,,,,,,27.90B,-12.07B,15.83B,,39.91B,39.91B,,20.20B,75.95B,100.24B,2.926B,,,2.926B,12.47B,15.39B,4.303B,4.303B,3.298B,22.99B,19.58B,19.58B,13.41B,13.41B,,4.684B,,10.49B,43.48B,66.48B,935.00M,50.12B,5.079B,25.08B,1.507B,-3.482B,-1.975B,29.08B
2004-06,5.031B,5.031B,5.672B,,5.672B,5.407B,,3.809B,,9.216B,,2.228B,22.15B,,,,,,27.55B,-11.78B,15.77B,,39.76B,39.76B,,20.24B,75.77B,97.92B,2.877B,,,2.877B,11.17B,14.05B,4.325B,4.325B,2.68B,21.05B,20.56B,20.56B,13.30B,13.30B,,4.685B,,10.55B,44.41B,65.46B,935.00M,48.95B,5.112B,25.10B,1.641B,-3.766B,-2.125B,27.78B
2004-03,3.204B,3.204B,5.592B,,5.592B,5.537B,,4.006B,,9.543B,,1.98B,20.32B,,,,,,27.64B,-11.63B,16.01B,,39.68B,39.68B,,19.56B,75.25B,95.56B,2.78B,,,2.78B,9.854B,12.63B,4.022B,4.022B,2.167B,18.82B,21.37B,21.37B,13.01B,13.01B,,4.762B,,10.76B,45.14B,63.96B,935.00M,47.70B,5.072B,25.15B,-1.166B,-545.00M,-1.711B,26.84B
2003-12,3.777B,3.777B,5.256B,,5.256B,5.60B,,3.94B,,9.54B,,2.809B,21.38B,0.0,840.00M,6.917B,18.23B,1.246B,27.23B,-11.17B,16.07B,,39.54B,39.54B,,19.18B,74.79B,96.18B,3.198B,,,3.198B,12.12B,15.31B,3.376B,3.376B,2.703B,21.39B,21.16B,21.16B,13.11B,13.11B,,4.76B,,10.67B,44.94B,66.34B,935.00M,47.01B,4.813B,25.55B,1.578B,-3.703B,-2.125B,25.08B
2003-09,6.048B,6.048B,5.161B,,5.161B,5.514B,,3.638B,,9.152B,,2.498B,22.86B,,,,,,26.15B,-10.78B,15.38B,,38.56B,38.56B,,17.63B,71.57B,94.43B,2.639B,,,2.639B,11.67B,14.31B,5.937B,5.937B,2.879B,23.12B,20.79B,20.79B,12.22B,12.22B,,4.826B,,10.65B,43.65B,66.77B,935.00M,46.29B,4.753B,25.78B,-2.366B,-1.003B,-3.369B,22.83B
2003-06,4.832B,4.832B,5.596B,,5.596B,5.607B,,3.875B,,9.482B,,2.319B,22.23B,,,,,,26.42B,-10.80B,15.62B,,38.44B,38.44B,,17.86B,71.92B,94.15B,2.65B,,,2.65B,10.86B,13.51B,7.411B,7.411B,2.49B,23.41B,21.09B,21.09B,11.84B,11.84B,,4.628B,,10.95B,43.88B,67.29B,935.00M,45.17B,4.748B,25.82B,-1.871B,-925.00M,-2.796B,22.24B
2003-03,1.391B,1.391B,5.465B,,5.465B,5.53B,,3.917B,,9.447B,,2.888B,19.19B,,,,,,25.34B,-10.24B,15.10B,,38.11B,38.11B,,17.50B,70.71B,89.90B,2.726B,,,2.726B,11.82B,14.55B,1.931B,1.931B,3.375B,19.85B,22.91B,22.91B,11.61B,11.61B,,4.445B,,10.94B,45.45B,65.31B,935.00M,44.02B,4.776B,25.96B,-2.636B,-978.00M,-3.614B,20.15B
2002-12,565.00M,565.00M,5.139B,,5.139B,1.935B,,3.587B,3.605B,9.127B,,2.61B,17.44B,0.0,710.00M,6.219B,16.13B,1.497B,24.55B,-9.707B,14.85B,,37.87B,37.87B,,17.38B,70.10B,87.54B,3.088B,,,3.088B,11.62B,14.70B,1.965B,1.965B,2.413B,19.08B,21.36B,21.36B,11.63B,11.63B,,4.86B,,11.13B,44.12B,63.20B,935.00M,43.26B,4.642B,25.40B,,,-3.956B,19.48B
2002-09,455.00M,455.00M,5.03B,,5.03B,5.701B,,3.63B,,9.331B,,2.295B,17.11B,,,,,,24.05B,-9.487B,14.56B,,37.57B,37.57B,,16.74B,68.87B,85.98B,2.739B,,,2.739B,12.33B,15.06B,1.304B,1.304B,3.276B,19.64B,18.39B,18.39B,11.15B,11.15B,,4.235B,,11.22B,40.76B,60.40B,935.00M,42.80B,4.658B,23.77B,-3.087B,-189.00M,-3.276B,21.34B
2002-06,1.38B,1.38B,5.567B,,5.567B,5.671B,,3.416B,,9.087B,,2.119B,18.15B,,,,,,26.46B,-11.07B,15.39B,,37.88B,37.88B,,14.76B,68.03B,86.18B,2.878B,,,2.878B,10.89B,13.77B,3.681B,3.681B,3.066B,20.51B,18.67B,18.67B,10.48B,10.48B,,4.198B,,11.78B,40.93B,61.44B,935.00M,39.77B,4.646B,21.55B,-2.998B,-267.00M,-3.265B,20.54B
2002-03,383.00M,383.00M,5.275B,,5.275B,5.624B,,3.251B,,8.875B,,1.936B,16.47B,,,,25.74B,,25.74B,-10.68B,15.06B,,37.48B,37.48B,,14.53B,67.08B,83.54B,2.927B,,,2.927B,9.221B,12.15B,3.511B,3.511B,2.255B,17.91B,19.77B,19.77B,10.46B,10.46B,,4.038B,,11.68B,41.91B,59.82B,935.00M,38.45B,4.457B,17.09B,-3.493B,-3.585B,-7.078B,19.68B
2001-12,453.00M,453.00M,5.148B,,5.148B,1.909B,,3.187B,3.827B,8.923B,,2.751B,17.28B,0.0,796.00M,6.347B,17.15B,1.33B,25.62B,-10.49B,15.14B,,37.55B,37.55B,,15.01B,67.69B,84.97B,3.60B,,,3.60B,11.33B,14.93B,2.939B,2.939B,2.272B,20.14B,17.16B,17.16B,5.238B,5.238B,,4.013B,,18.80B,41.19B,61.34B,935.00M,37.27B,4.503B,19.71B,,,-3.373B,19.62B
2001-09,459.00M,459.00M,5.292B,,5.292B,5.757B,,3.306B,,9.063B,,2.578B,17.39B,,,,,,25.38B,-10.32B,15.06B,,33.13B,33.13B,,14.76B,62.95B,80.34B,2.685B,,,2.685B,11.58B,14.26B,5.484B,5.484B,4.901B,24.64B,14.25B,14.25B,6.879B,6.879B,,3.966B,,10.71B,31.85B,56.49B,935.00M,36.28B,4.517B,18.79B,-2.924B,-137.00M,-3.061B,19.88B
2001-06,395.00M,395.00M,5.329B,,5.329B,5.58B,,3.144B,,8.724B,,2.283B,16.73B,,,,,,25.10B,-10.04B,15.06B,,33.04B,33.04B,,14.63B,62.74B,79.47B,2.758B,,,2.758B,11.54B,14.30B,5.639B,5.639B,3.68B,23.62B,14.79B,14.79B,6.855B,6.855B,,3.884B,,10.78B,32.43B,56.05B,935.00M,35.18B,4.365B,17.85B,-3.018B,-83.00M,-3.101B,19.54B
2001-03,426.00M,426.00M,5.148B,,5.148B,5.67B,,3.355B,,9.025B,,2.007B,16.61B,,,,,,25.10B,-9.845B,15.26B,,33.16B,33.16B,,14.47B,62.89B,79.50B,2.847B,,,2.847B,10.92B,13.76B,11.75B,11.75B,2.745B,28.26B,18.71B,18.71B,6.536B,6.536B,,,,11.16B,36.41B,64.67B,935.00M,34.06B,,17.06B,-3.041B,-54.00M,-3.095B,14.83B
2000-12,937.00M,937.00M,5.019B,,5.019B,,,,,8.765B,,2.517B,17.24B,,,,,,24.91B,-9.603B,15.30B,,33.09B,33.09B,,13.44B,61.83B,79.07B,3.787B,,,3.787B,,3.787B,9.968B,9.968B,13.22B,26.98B,19.15B,19.15B,6.665B,6.665B,,,,11.27B,37.09B,64.06B,935.00M,33.48B,,16.46B,-2.864B,-86.00M,-2.95B,15.00B
2000-09,4.779B,4.779B,4.549B,,4.549B,,,,,8.10B,,2.171B,19.60B,,,,,,21.75B,-9.501B,12.25B,,16.38B,16.38B,,12.05B,40.68B,60.28B,2.703B,,,2.703B,,2.703B,2.736B,2.736B,13.86B,19.30B,10.22B,10.22B,6.089B,6.089B,,,,9.77B,26.08B,45.38B,935.00M,32.62B,,15.65B,-2.945B,-52.00M,-2.997B,14.90B
2000-06,4.224B,4.224B,4.71B,,4.71B,,,,,8.113B,,1.922B,18.97B,,,,,,21.88B,-9.521B,12.36B,,16.69B,16.69B,,11.78B,40.82B,59.79B,2.426B,,,2.426B,,2.426B,2.024B,2.024B,12.96B,17.41B,11.26B,11.26B,5.933B,5.933B,,,,10.11B,27.30B,44.71B,935.00M,31.47B,,14.76B,-2.51B,-52.00M,-2.562B,15.08B
2000-03,4.226B,4.226B,4.621B,,4.621B,,,,,8.686B,,2.47B,20.00B,,,,,,21.79B,-9.412B,12.38B,,16.91B,16.91B,,11.35B,40.64B,60.65B,2.493B,,,2.493B,,2.493B,1.337B,1.337B,14.06B,17.89B,11.76B,11.76B,5.73B,5.73B,,,,10.15B,27.64B,45.53B,935.00M,30.38B,,13.90B,-2.25B,-52.00M,-2.302B,15.12B
1999-12,5.10B,5.10B,4.313B,,4.313B,,,,,9.028B,,2.454B,20.90B,,,,,,21.60B,-9.328B,12.27B,,16.88B,16.88B,,11.34B,40.49B,61.38B,3.351B,,,3.351B,,3.351B,2.242B,2.242B,12.42B,18.02B,12.23B,12.23B,5.68B,5.68B,,,,10.15B,28.06B,46.08B,935.00M,29.56B,,13.08B,-2.056B,-52.00M,-2.108B,15.30B
1999-09,5.876B,5.876B,4.711B,,4.711B,,,,,8.937B,,2.369B,21.89B,,,,,,21.44B,-9.272B,12.17B,,17.14B,17.14B,,11.12B,40.43B,62.32B,2.318B,,,2.318B,,2.318B,1.608B,1.608B,14.10B,18.02B,13.12B,13.12B,5.335B,5.335B,,,,9.944B,28.40B,46.42B,935.00M,28.82B,,12.00B,-1.83B,-25.00M,-1.855B,15.90B
1999-06,4.408B,4.408B,4.865B,,4.865B,,,,,9.104B,,2.095B,20.47B,,,,,,21.28B,-9.105B,12.17B,,17.27B,17.27B,,10.54B,39.98B,60.45B,2.63B,,,2.63B,,2.63B,1.32B,1.32B,12.60B,16.55B,13.05B,13.05B,5.173B,5.173B,,,,9.739B,27.96B,44.51B,935.00M,27.96B,,11.24B,-1.684B,-25.00M,-1.709B,15.94B
1999-03,3.194B,3.194B,4.941B,,4.941B,,,,,9.61B,,1.914B,19.66B,,,,,,21.11B,-8.941B,12.17B,,17.04B,17.04B,,9.916B,39.12B,58.78B,2.493B,,,2.493B,,2.493B,1.834B,1.834B,11.92B,16.24B,11.96B,11.96B,5.095B,5.095B,,,,9.643B,26.70B,42.94B,935.00M,26.99B,,10.50B,-1.556B,-25.00M,-1.581B,15.84B
1998-12,4.081B,4.081B,4.691B,,4.691B,,,,,9.445B,,2.013B,20.23B,,,,,,21.23B,-8.899B,12.34B,,17.57B,17.57B,,9.789B,39.69B,59.92B,3.359B,,,3.359B,,3.359B,2.047B,2.047B,10.97B,16.38B,12.62B,12.62B,5.08B,5.08B,,,,9.649B,27.34B,43.72B,,26.26B,,,,,,16.20B
1998-09,5.524B,5.524B,5.122B,,5.122B,,,,,9.246B,,1.846B,21.74B,,,,,,21.16B,-9.045B,12.11B,,17.65B,17.65B,,9.371B,39.14B,60.88B,2.692B,,,2.692B,,2.692B,2.304B,2.304B,11.10B,16.09B,13.29B,13.29B,4.902B,4.902B,,,,9.355B,27.55B,43.64B,,27.03B,,,,,,17.23B
1998-06,4.605B,4.605B,5.293B,,5.293B,,,,,9.119B,,1.84B,20.86B,,,,,,20.60B,-8.74B,11.86B,,17.56B,17.56B,,9.094B,38.51B,59.36B,2.505B,,,2.505B,,2.505B,2.527B,2.527B,11.05B,16.08B,13.13B,13.13B,4.853B,4.853B,,,,9.282B,27.26B,43.34B,,26.11B,,,,,,16.02B
