,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-09,2.49B,,,,,-10.00M,370.00M,370.00M,119.00M,,,312.00M,147.00M,26.00M,1.294B,,1.779B,,4.748B,-454.00M,25.00M,-429.00M,-525.00M,,559.00M,-395.00M,,,-1.505B,50.00M,-40.00M,10.00M,,-1.298B,-132.00M,-2.925B,4.832B,1.428B,-212.00M,6.048B,50.00M,,,-40.00M
2003-06,2.437B,,,,,-145.00M,339.00M,339.00M,885.00M,,472.00M,98.00M,277.00M,-173.00M,-3.008B,797.00M,-2.009B,,1.979B,-476.00M,,-476.00M,-78.00M,,-229.00M,-783.00M,,,3.403B,86.00M,-7.00M,79.00M,,-1.298B,-98.00M,2.086B,1.391B,3.282B,159.00M,4.832B,86.00M,,,-7.00M
2003-03,2.186B,,,,,134.00M,341.00M,341.00M,-167.00M,,-472.00M,-271.00M,-187.00M,-420.00M,1.826B,-797.00M,151.00M,,2.173B,-423.00M,,-423.00M,-5.00M,,-16.00M,-444.00M,,,1.284B,52.00M,-856.00M,-804.00M,,-1.309B,-104.00M,-933.00M,565.00M,796.00M,30.00M,1.391B,52.00M,,,-856.00M
2002-12,1.768B,,,,,-244.00M,355.00M,355.00M,390.00M,,-546.00M,210.00M,300.00M,85.00M,-817.00M,-821.00M,-1.043B,,680.00M,-660.00M,135.00M,-525.00M,-15.00M,,-494.00M,-1.034B,,,3.556B,9.00M,-1.768B,-1.759B,,-1.339B,-26.00M,432.00M,455.00M,78.00M,32.00M,565.00M,9.00M,,,-1.768B
2002-09,4.359B,,,,,-2.022B,312.00M,312.00M,539.00M,,-157.00M,-34.00M,-381.00M,339.00M,420.00M,821.00M,1.165B,,4.196B,-515.00M,0.00,-515.00M,-60.00M,,-226.00M,-801.00M,,,-698.00M,64.00M,-2.402B,-2.338B,,-1.236B,-62.00M,-4.334B,1.38B,-939.00M,14.00M,455.00M,64.00M,,,-2.402B
2002-06,2.61B,,,,,434.00M,330.00M,330.00M,-65.00M,,-470.00M,-15.00M,53.00M,-307.00M,292.00M,1.774B,1.797B,,4.636B,-470.00M,5.00M,-465.00M,-10.00M,,129.00M,-346.00M,,,-1.347B,345.00M,-1.133B,-788.00M,,-1.245B,-26.00M,-3.406B,383.00M,884.00M,113.00M,1.38B,345.00M,,,-1.133B
2002-03,2.365B,,,,,27.00M,334.00M,334.00M,721.00M,,418.00M,-322.00M,66.00M,-757.00M,22.00M,-1.774B,-2.765B,,1.10B,-364.00M,81.00M,-283.00M,-62.00M,,55.00M,-290.00M,,,1.245B,306.00M,-1.087B,-781.00M,,-1.248B,-73.00M,-857.00M,453.00M,-47.00M,-23.00M,383.00M,306.00M,,,-1.087B
2001-12,2.164B,,,,,28.00M,613.00M,613.00M,258.00M,,-174.00M,4.00M,53.00M,876.00M,-2.811B,,-1.878B,,1.011B,-703.00M,-9.00M,-712.00M,-87.00M,,-393.00M,-1.192B,,,2.404B,107.00M,-1.008B,-901.00M,,-1.265B,-12.00M,226.00M,459.00M,45.00M,-51.00M,453.00M,107.00M,,,-1.008B
2001-09,2.328B,,,,,-1.167B,561.00M,561.00M,28.00M,,-280.00M,-2.00M,-292.00M,-69.00M,1.792B,357.00M,1.786B,,3.256B,-429.00M,0.00,-429.00M,-10.00M,,9.00M,-430.00M,,,-672.00M,62.00M,-981.00M,-919.00M,,-1.162B,-46.00M,-2.799B,395.00M,27.00M,37.00M,459.00M,62.00M,,,-981.00M
2001-06,2.288B,,,,,-508.00M,575.00M,575.00M,-73.00M,,-109.00M,-219.00M,165.00M,-47.00M,2.354B,-357.00M,1.896B,,4.069B,-470.00M,9.00M,-461.00M,-99.00M,,-100.00M,-660.00M,,,-9.863B,8.684B,-985.00M,7.699B,,-1.171B,-74.00M,-3.409B,426.00M,0.00,-31.00M,395.00M,8.684B,,,-985.00M
2001-03,1.78B,,,,,535.00M,588.00M,588.00M,472.00M,,43.00M,-220.00M,-219.00M,-952.00M,-1.47B,,-2.861B,,557.00M,-320.00M,,-320.00M,-255.00M,,-59.00M,-634.00M,,,1.359B,351.00M,-986.00M,-635.00M,,-1.171B,-11.00M,-458.00M,937.00M,-535.00M,24.00M,426.00M,351.00M,,,-986.00M
2000-12,2.011B,,,,,-100.00M,438.00M,438.00M,276.00M,,-119.00M,432.00M,125.00M,649.00M,-1.783B,,-577.00M,,1.929B,-564.00M,131.00M,-433.00M,-15.18B,,-202.00M,-15.82B,,,12.20B,75.00M,-887.00M,-812.00M,,-1.184B,-166.00M,10.04B,4.779B,-3.85B,8.00M,937.00M,75.00M,,,-887.00M
2000-09,2.319B,,,,,-139.00M,418.00M,418.00M,-37.00M,,-349.00M,98.00M,-146.00M,316.00M,786.00M,,1.054B,,3.266B,-418.00M,251.00M,-167.00M,-33.00M,,-111.00M,-311.00M,,,-202.00M,8.00M,-903.00M,-895.00M,,-1.087B,-44.00M,-2.228B,4.224B,727.00M,-172.00M,4.779B,8.00M,,,-903.00M
2000-06,2.171B,,,,,-7.00M,433.00M,433.00M,760.00M,,-134.00M,-124.00M,481.00M,-40.00M,-1.034B,,-717.00M,,2.506B,-395.00M,19.00M,-376.00M,0.00,,-248.00M,-624.00M,,,264.00M,24.00M,-891.00M,-867.00M,,-1.104B,-90.00M,-1.797B,4.226B,85.00M,-87.00M,4.224B,24.00M,,,-891.00M
2000-03,2.009B,,,,,-28.00M,428.00M,428.00M,7.00M,,175.00M,-399.00M,281.00M,-841.00M,1.711B,,752.00M,,3.343B,-305.00M,32.00M,-273.00M,-358.00M,,-120.00M,-751.00M,,,-1.329B,5.00M,-916.00M,-911.00M,,-1.125B,7.00M,-3.358B,5.10B,-766.00M,-108.00M,4.226B,5.00M,,,-916.00M
1999-12,1.857B,,,,,-42.00M,448.00M,448.00M,44.00M,,31.00M,375.00M,-228.00M,1.065B,-1.419B,,-207.00M,,2.131B,-598.00M,127.00M,-471.00M,-88.00M,,90.00M,-469.00M,,,-45.00M,-34.00M,-1.116B,-1.15B,,-1.143B,-25.00M,-2.363B,5.876B,-701.00M,-75.00M,5.10B,-34.00M,,,-1.116B
1999-09,2.001B,,,,,0.00,430.00M,430.00M,7.00M,,59.00M,103.00M,136.00M,-305.00M,1.362B,,1.296B,,3.793B,-427.00M,19.00M,-408.00M,-49.00M,,-407.00M,-864.00M,,,349.00M,39.00M,-738.00M,-699.00M,,-1.058B,-56.00M,-1.464B,4.408B,1.465B,3.00M,5.876B,39.00M,,,-738.00M
1999-06,2.03B,,,,,-20.00M,421.00M,421.00M,40.00M,,-309.00M,24.00M,385.00M,165.00M,762.00M,,1.336B,,3.498B,-401.00M,27.00M,-374.00M,-333.00M,,-217.00M,-924.00M,,,657.00M,31.00M,-862.00M,-831.00M,,-1.067B,-66.00M,-1.307B,3.194B,1.267B,-53.00M,4.408B,31.00M,,,-862.00M
1999-03,1.787B,,,,,,403.00M,403.00M,53.00M,,213.00M,-407.00M,-332.00M,-803.00M,1.039B,,-503.00M,,1.953B,-323.00M,2.00M,-321.00M,-52.00M,,-52.00M,-425.00M,,,-730.00M,38.00M,-613.00M,-575.00M,,-1.07B,12.00M,-2.363B,4.081B,-835.00M,-52.00M,3.194B,38.00M,,,-613.00M
1998-12,274.00M,,,,,,399.00M,399.00M,30.00M,,-46.00M,523.00M,-164.00M,661.00M,163.00M,-136.00M,1.047B,,1.704B,-593.00M,10.00M,-583.00M,13.00M,,-354.00M,-924.00M,,,-1.294B,108.00M,,108.00M,,-1.071B,-34.00M,-2.291B,5.524B,-1.511B,68.00M,4.081B,108.00M,,,
1998-09,1.98B,,,,,,428.00M,428.00M,66.00M,,12.00M,258.00M,35.00M,140.00M,480.00M,-642.00M,271.00M,,2.757B,-422.00M,6.00M,-416.00M,-13.00M,,-221.00M,-650.00M,,,-257.00M,59.00M,,59.00M,,-971.00M,-93.00M,-1.262B,4.605B,845.00M,74.00M,5.524B,59.00M,,,
1998-06,1.736B,,,,,,448.00M,448.00M,113.00M,,260.00M,-358.00M,568.00M,-252.00M,-105.00M,778.00M,631.00M,,3.188B,-465.00M,,-465.00M,,,-35.00M,-500.00M,,,427.00M,27.00M,,27.00M,,-972.00M,-19.00M,-537.00M,2.454B,2.151B,0.00,4.605B,27.00M,,,
