,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-06,1.820B,1.912B,888.96M,1.023B,495.60M,134.51M,,104.59M,,,,700.91M,321.69M,,,,104.59M,,348.35M,131.68M,216.67M,,,216.67M,151.62M,392.49M,70.80M,321.69M,,0.03,0.00,,-0.0793,0.03,,0.02,0.00,,-0.0884,0.02,,595.19M,599.87M,0.12,,,
2003-03,1.807B,1.906B,796.58M,1.109B,412.79M,123.40M,,8.168M,,,,603.70M,505.50M,,,,8.168M,,533.00M,203.61M,329.39M,,,329.39M,324.34M,573.00M,67.50M,505.50M,,0.55,0.00,,0.5416,0.55,,0.54,0.00,,0.5317,0.54,,600.22M,605.34M,0.12,,,
2002-12,1.595B,1.683B,702.72M,980.28M,402.00M,121.38M,,35.26M,,,,592.08M,388.20M,,,,35.26M,,423.45M,161.76M,261.69M,,,261.69M,239.90M,456.89M,68.70M,388.20M,,0.44,0.00,,0.4034,0.44,,0.43,0.00,,0.3942,0.43,,594.75M,608.58M,0.12,,,
2002-09,1.557B,1.647B,708.47M,938.22M,447.95M,119.90M,,37.72M,,,,635.54M,302.68M,,,,37.72M,,340.40M,130.00M,210.40M,,,210.40M,187.09M,370.37M,67.68M,302.68M,,0.35,0.00,,0.3112,0.35,,0.34,0.00,,0.3023,0.34,,601.14M,618.82M,0.115,,,
2002-06,1.745B,1.845B,829.83M,1.015B,387.35M,125.09M,,29.94M,,,,580.40M,435.08M,,,,29.94M,,465.02M,177.71M,287.31M,,,287.31M,268.81M,503.04M,67.96M,435.08M,,0.47,0.00,,0.4398,0.47,,0.46,0.00,,0.4307,0.46,,612.54M,630.55M,0.115,,,
2002-03,1.762B,1.870B,772.49M,1.098B,369.22M,116.39M,,33.11M,,,,558.81M,538.74M,,,,33.11M,,571.85M,219.59M,352.26M,,,352.26M,331.86M,611.94M,73.20M,538.74M,,0.57,0.00,,0.5370,0.57,,0.56,0.00,,0.5276,0.56,,618.00M,629.04M,0.115,,,
2001-12,1.571B,1.681B,691.97M,989.06M,393.56M,117.54M,,20.39M,,,,579.55M,409.51M,,,,20.39M,,429.90M,165.30M,264.60M,,,264.60M,252.05M,477.96M,68.45M,409.51M,,0.43,0.00,,0.4098,0.43,,0.42,0.00,,0.4001,0.42,,620.27M,630.00M,0.115,,,
2001-09,1.495B,1.608B,676.35M,931.53M,456.56M,115.83M,,30.52M,,,,641.85M,289.68M,,,,30.52M,,320.20M,123.60M,196.60M,,,196.60M,177.86M,359.14M,69.46M,289.68M,,0.32,0.00,,0.2898,0.32,,0.31,0.00,,0.2804,0.31,,620.56M,632.58M,0.1025,,,
2001-06,1.850B,1.980B,808.76M,1.171B,401.28M,141.14M,,-113.43M,,,,623.30M,547.79M,,,,-113.43M,,420.10M,165.10M,255.00M,,,255.00M,323.85M,628.67M,80.87M,547.79M,,0.41,0.00,,0.5203,0.41,,0.40,0.00,,0.5080,0.40,,624.13M,637.60M,0.1025,,,
2001-03,1.710B,1.854B,754.30M,1.099B,418.10M,126.56M,,0.514M,,,,624.58M,474.89M,,,,0.514M,,475.40M,186.52M,288.88M,,,288.88M,288.57M,554.80M,79.91M,474.89M,,0.46,0.00,,0.4595,0.46,,0.45,0.00,,0.4495,0.45,,629.90M,645.67M,0.1025,,,
2000-12,1.510B,1.640B,677.10M,962.72M,410.63M,127.50M,,-3.166M,,,,616.65M,346.07M,,,,-3.166M,,342.90M,135.46M,207.44M,,,207.44M,209.36M,424.59M,78.52M,346.07M,,0.33,0.00,,0.3330,0.33,,0.32,0.00,,0.3229,0.32,,632.08M,651.81M,0.1025,,,
2000-09,1.428B,1.544B,659.96M,884.17M,435.44M,119.07M,,-0.607M,,,,636.05M,248.12M,,,,-0.607M,,286.61M,113.21M,173.40M,,,173.40M,173.77M,329.66M,81.54M,248.12M,,0.28,0.00,,0.2806,0.28,,0.27,0.00,,0.2706,0.27,,629.99M,649.10M,0.0875,,,
2000-06,1.376B,1.376B,737.69M,637.91M,396.34M,127.65M,,,,,,602.24M,35.67M,,,,,,348.76M,124.97M,223.79M,,,223.79M,223.79M,113.92M,78.25M,35.67M,,0.35,0.00,,0.35,0.35,,0.35,0.00,,0.35,0.35,,637.34M,656.24M,0.0875,,,
2000-03,1.720B,1.720B,661.94M,1.058B,446.93M,119.75M,,,,,,639.53M,418.27M,,,,,,415.45M,144.14M,271.31M,,,271.31M,271.31M,491.12M,72.83M,418.27M,,0.43,0.00,,0.43,0.43,,0.42,0.00,,0.42,0.42,,630.95M,645.98M,0.0875,,,
1999-12,1.492B,1.492B,613.80M,878.70M,395.10M,109.20M,,,,,,571.80M,306.90M,,,,,,303.20M,103.70M,199.50M,,,199.50M,199.50M,374.50M,67.60M,306.90M,,0.32,0.00,,0.32,0.32,,0.31,0.00,,0.31,0.31,,625.66M,645.66M,0.0875,,,
1999-09,1.351B,1.351B,551.10M,800.00M,405.00M,103.70M,,,,,,574.30M,225.70M,,,,,,222.20M,76.00M,146.20M,,,146.20M,146.20M,291.30M,65.60M,225.70M,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,624.39M,642.82M,0.0763,,,
1999-06,1.471B,1.471B,650.90M,819.70M,351.40M,103.10M,,,,,,523.40M,296.30M,,,,,,292.60M,100.90M,191.70M,,,191.70M,191.70M,365.20M,68.90M,296.30M,,0.31,0.00,,0.31,0.31,,0.30,0.00,,0.30,0.30,,620.74M,642.18M,0.0763,,,
1999-03,1.514B,1.514B,611.20M,902.90M,379.50M,102.50M,,,,,,547.40M,355.50M,,,,,,351.70M,126.00M,225.70M,,,225.70M,225.70M,420.90M,65.40M,355.50M,,0.37,0.00,,0.37,0.37,,0.36,0.00,,0.36,0.36,,617.36M,637.10M,0.0763,,,
1998-12,1.310B,1.310B,560.80M,749.40M,314.80M,105.70M,,,,,,489.30M,260.10M,,,,,,254.50M,100.50M,154.00M,,,154.00M,154.00M,328.90M,68.80M,260.10M,,0.25,0.00,,0.25,0.25,,0.24,0.00,,0.24,0.24,,616.00M,641.67M,0.0763,,,
1998-09,1.245B,1.245B,553.30M,691.80M,329.60M,101.10M,,,,,,500.40M,191.40M,,,,,,185.80M,60.40M,125.40M,,,125.40M,125.40M,261.10M,69.70M,191.40M,,0.20,0.00,,0.20,0.20,,0.20,0.00,,0.20,0.20,,627.00M,627.00M,0.0663,,,
1998-06,1.336B,1.336B,343.50M,992.90M,303.20M,,,,,,,747.90M,245.00M,,,,,,240.30M,76.40M,163.90M,,,163.90M,163.90M,313.20M,68.20M,245.00M,,0.27,0.00,,0.27,0.27,,0.26,0.00,,0.26,0.26,,601.59M,661.12M,0.0663,,,
1998-03,1.341B,1.341B,651.70M,689.60M,341.10M,,,,,,,403.30M,286.30M,,,,,,281.50M,89.50M,192.00M,,,192.00M,192.00M,350.10M,63.80M,286.30M,,0.32,0.00,,0.32,0.32,,0.31,0.00,,0.31,0.31,,600.00M,619.35M,0.0662,,,
1997-12,1.148B,1.148B,581.60M,566.40M,286.40M,,,,,,,344.50M,221.90M,,,,,,214.60M,67.20M,147.40M,,,147.40M,147.40M,280.10M,58.20M,221.90M,,0.25,0.00,,0.25,0.25,,0.24,0.00,,0.24,0.24,,589.60M,614.17M,0.0663,,,
1997-09,1.038B,1.038B,443.40M,595.10M,289.40M,87.30M,,,,,,434.10M,161.00M,,,,,,153.40M,48.00M,105.40M,,,105.40M,105.40M,218.40M,57.40M,161.00M,,0.18,0.00,,0.18,0.18,,0.18,0.00,,0.18,0.18,,585.56M,585.56M,0.0575,,,
1997-06,1.161B,1.161B,516.30M,644.50M,319.50M,83.80M,,,,,,460.70M,183.80M,,,,,,176.90M,47.50M,129.40M,,,129.40M,129.40M,241.20M,57.40M,183.80M,,0.22,0.00,,0.22,0.22,,0.20,0.00,,0.20,0.20,,588.18M,643.86M,0.0575,,,
1997-03,1.126B,1.126B,440.30M,686.00M,308.10M,74.80M,,,,,,442.10M,243.90M,,,,,,236.60M,71.70M,164.90M,,,164.90M,164.90M,303.10M,59.10M,243.90M,,0.28,0.00,,0.28,0.28,,0.28,0.00,,0.28,0.28,,588.93M,588.93M,0.0575,,,
1996-12,995.60M,995.60M,418.00M,577.60M,261.50M,73.10M,,,,,,389.90M,187.70M,,,,,,180.70M,53.10M,127.60M,,,127.60M,127.60M,243.00M,55.30M,187.70M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,580.00M,580.00M,0.0575,,,
1996-09,910.70M,910.70M,391.50M,519.20M,260.80M,66.10M,,,,,,380.00M,139.20M,,,,,,132.10M,38.80M,93.30M,,,93.30M,93.30M,192.30M,53.10M,139.20M,,0.16,0.00,,0.16,0.16,,0.16,0.00,,0.16,0.16,,583.12M,583.12M,0.05,,,
1996-06,967.90M,967.90M,428.60M,539.30M,54.90M,,,,,,,357.70M,181.60M,,,,,,174.10M,54.10M,120.00M,,,120.00M,120.00M,234.80M,53.20M,181.60M,,0.21,0.00,,0.21,0.21,,0.19,0.00,,0.19,0.19,,571.07M,630.87M,0.05,,,
1996-03,1.032B,1.032B,428.40M,603.50M,340.50M,,,,,,,395.80M,207.70M,,,,,,199.90M,56.00M,143.90M,,,143.90M,143.90M,263.00M,55.30M,207.70M,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,575.60M,575.60M,0.05,,,
1995-12,819.70M,819.70M,342.70M,477.00M,210.30M,58.90M,,,,,,317.80M,159.20M,,,,,,150.60M,41.70M,108.90M,,,108.90M,108.90M,207.80M,48.60M,159.20M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,573.16M,573.16M,0.05,,,
1995-09,747.10M,747.10M,316.80M,430.30M,215.00M,54.20M,,,,,,313.70M,116.60M,,,,,,110.80M,28.90M,81.90M,,,81.90M,81.90M,161.10M,44.50M,116.60M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,546.00M,546.00M,0.0438,,,
1995-06,799.80M,799.80M,346.90M,452.90M,195.20M,54.30M,,,,,,302.40M,150.50M,,,,,,144.50M,38.60M,105.90M,,,105.90M,105.90M,203.40M,52.90M,150.50M,,0.1825,0.00,,0.1825,0.1825,,0.1825,0.00,,0.1825,0.1825,,581.48M,581.48M,0.0438,,,
1995-03,799.00M,799.00M,309.60M,489.40M,224.10M,48.10M,,,,,,314.30M,175.10M,,,,,,169.10M,43.80M,125.30M,,,125.30M,125.30M,217.20M,42.10M,175.10M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,569.55M,569.55M,0.0375,,,
1994-12,672.60M,672.60M,268.10M,404.50M,183.90M,46.50M,,,,,,270.20M,134.30M,,,,,,128.10M,33.20M,94.90M,,,94.90M,94.90M,174.10M,39.70M,134.30M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,558.24M,558.24M,0.0375,,,
1994-09,622.30M,622.30M,252.70M,369.60M,188.90M,44.40M,,,,,,271.10M,98.50M,,,,,,92.60M,23.90M,68.70M,,,68.70M,68.70M,136.30M,37.80M,98.50M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,528.46M,528.46M,0.0375,,,
1994-06,665.00M,665.00M,297.10M,367.90M,157.70M,44.90M,,,,,,242.00M,125.90M,,,,,,120.40M,30.00M,90.40M,,-7.50M,82.90M,90.40M,165.30M,39.40M,125.90M,,0.1525,-0.0175,0.00,0.1525,0.135,,0.1525,-0.0175,-0.0134,0.1525,0.135,,611.57M,611.57M,0.0375,,,
1994-03,674.40M,674.40M,266.10M,408.30M,184.30M,41.80M,,,,,,262.70M,145.60M,,,,,,140.50M,35.50M,105.00M,,,105.00M,105.00M,182.20M,36.60M,145.60M,,0.19,0.00,,0.19,0.19,,0.19,0.00,,0.19,0.19,,552.63M,552.63M,0.0325,,,
1993-12,577.70M,577.70M,270.60M,307.10M,158.70M,,,,,,,195.40M,111.70M,,,,,,106.60M,26.40M,80.20M,,,80.20M,80.20M,148.40M,36.70M,111.70M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,534.67M,534.67M,0.0325,,,
1993-09,552.00M,552.00M,266.70M,285.30M,165.50M,,,,,,,201.10M,84.20M,,,,,,78.90M,20.40M,58.50M,,2.70M,61.20M,58.50M,119.80M,35.60M,84.20M,,0.11,0.01,0.00,0.11,0.12,,0.11,0.01,0.0053,0.11,0.12,,510.00M,510.00M,0.0325,,,
1993-06,596.70M,596.70M,269.90M,326.80M,178.90M,,,,,,,217.20M,109.60M,,,,,,104.30M,24.60M,79.70M,,,79.70M,79.70M,147.90M,38.30M,109.60M,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,569.66M,569.66M,0.0325,,,
1993-03,613.00M,613.00M,236.60M,376.40M,214.10M,,,,,,,249.80M,126.60M,,,,,,121.70M,29.20M,92.50M,,,92.50M,92.50M,162.40M,35.80M,126.60M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,544.12M,544.12M,0.0288,,,
1992-12,518.50M,518.50M,212.60M,305.90M,175.60M,,,,,,,208.90M,97.00M,,,,,,92.30M,22.20M,70.10M,,,70.10M,70.10M,130.30M,33.20M,97.00M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,539.23M,539.23M,0.0288,,,
1992-09,495.30M,495.30M,208.10M,287.20M,180.90M,,,,,,,213.80M,73.40M,,,,,,68.30M,16.40M,51.90M,,,51.90M,51.90M,106.30M,32.90M,73.40M,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,519.00M,519.00M,0.0288,,,
1992-06,516.90M,516.90M,228.20M,288.70M,159.80M,,,,,,,189.90M,98.80M,,,,,,93.50M,23.20M,70.30M,,,70.30M,70.30M,128.90M,30.10M,98.80M,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,587.53M,587.53M,0.0288,,,
1992-03,545.30M,545.30M,216.70M,328.60M,189.10M,,,,,,,218.10M,110.50M,,,,,,106.80M,27.00M,79.80M,,,79.80M,79.80M,139.50M,28.90M,110.50M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,532.00M,532.00M,0.025,,,
1991-12,449.30M,449.30M,187.50M,261.80M,151.10M,,,,,,,179.90M,81.90M,,,,,,80.30M,19.90M,60.40M,,,60.40M,60.40M,110.70M,28.80M,81.90M,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,549.09M,549.09M,0.025,,,
1991-09,429.10M,429.10M,183.80M,245.30M,154.40M,,,,,,,182.70M,62.60M,,,,,,61.00M,15.20M,45.80M,,,45.80M,45.80M,90.90M,28.30M,62.60M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,508.89M,508.89M,0.025,,,
1991-06,441.60M,441.60M,192.30M,249.30M,134.70M,,,,,,,164.40M,84.90M,,,,,,82.50M,19.50M,63.00M,,,63.00M,63.00M,114.60M,29.70M,84.90M,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,574.46M,574.46M,0.025,,,
1991-03,490.90M,490.90M,195.10M,295.80M,172.20M,,,,,,,201.80M,94.00M,,,,,,91.70M,22.00M,69.70M,,,69.70M,69.70M,123.60M,29.50M,94.00M,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,536.15M,536.15M,0.0219,,,
1990-12,425.10M,425.10M,186.00M,239.10M,138.90M,,,,,,,167.00M,72.10M,,,,,,70.10M,16.90M,53.20M,,,53.20M,53.20M,100.20M,28.10M,72.10M,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,532.00M,532.00M,0.0219,,,
1990-09,414.30M,414.30M,183.30M,231.00M,147.00M,,,,,,,174.20M,56.80M,,,,,,55.20M,13.50M,41.70M,,,41.70M,41.70M,84.00M,27.20M,56.80M,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,521.25M,521.25M,0.0219,,,
1990-06,425.80M,425.80M,189.40M,236.40M,125.40M,,,,,,,155.90M,80.50M,,,,,,78.40M,18.70M,59.70M,,,59.70M,59.70M,111.00M,30.50M,80.50M,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,598.38M,598.38M,0.0219,,,
1990-03,470.80M,470.80M,189.40M,281.40M,162.50M,,,,,,,192.10M,89.30M,,,,,,86.50M,21.50M,65.00M,,,65.00M,65.00M,118.90M,29.60M,89.30M,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,590.91M,590.91M,0.0188,,,
1989-12,414.00M,414.00M,180.60M,233.40M,137.60M,,,,,,,163.30M,70.10M,,,,,,67.80M,17.80M,50.00M,,,50.00M,50.00M,95.80M,25.70M,70.10M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,555.56M,555.56M,0.0188,,,
1989-09,403.40M,403.40M,,,,,,,,,,,403.40M,,,,,,,,37.10M,,,37.10M,,403.40M,,403.40M,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,582.18M,582.18M,0.0188,,,
1989-06,418.10M,418.10M,193.60M,224.50M,111.30M,,,,,,,142.80M,81.70M,,,,,,76.10M,23.10M,53.00M,,,53.00M,53.00M,113.20M,31.50M,81.70M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,589.35M,589.35M,0.0188,,,
1989-03,454.00M,454.00M,190.90M,263.10M,145.30M,,,,,,,178.10M,85.00M,,,,,,80.70M,24.50M,56.20M,,,56.20M,56.20M,117.80M,32.80M,85.00M,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,562.00M,562.00M,0.0163,,,
1988-12,409.50M,409.50M,,,,,,,,,,,409.50M,,,,,,,,44.00M,,,44.00M,,409.50M,,409.50M,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,594.00M,594.00M,0.0163,,,
1988-09,396.10M,396.10M,,,,,,,,,,,396.10M,,,,,,,,34.40M,,,34.40M,,396.10M,,396.10M,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,605.78M,605.78M,0.0163,,,
1988-06,393.20M,393.20M,,,,,,,,,,,-883.90M,,,,,,,,48.60M,,,48.60M,,-883.90M,,-883.90M,,,,,,,,,,,,,,618.05M,618.05M,0.0163,,,
1988-03,418.00M,418.00M,,,,,,,,,,,418.00M,,,,,,,,51.20M,,,51.20M,,418.00M,,418.00M,,0.09,0.00,,0.09,0.09,,0.08,0.00,,0.08,0.08,,616.61M,616.61M,0.0138,,,
1987-12,376.70M,376.70M,,,,,,,,,,,376.70M,,,,,,,,40.10M,,,40.10M,,376.70M,,376.70M,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,616.61M,616.61M,0.0138,,,
1987-09,361.30M,361.30M,,,,,,,,,,,361.30M,,,,,,,,30.40M,,,30.40M,,361.30M,,361.30M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,613.32M,613.32M,0.0138,,,
1987-06,355.20M,355.20M,,,,,,,,,,,-787.00M,,,,,,,,40.00M,,,40.00M,,-787.00M,,-787.00M,,,,,,,,,,,,,,620.14M,620.14M,0.0138,,,
1987-03,373.70M,373.70M,,,,,,,,,,,373.70M,,,,,,,,39.30M,,,39.30M,,373.70M,,373.70M,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,615.78M,615.78M,0.0119,,,
1986-12,334.20M,334.20M,,,,,,,,,,,334.20M,,,,,,,,30.00M,,,30.00M,,334.20M,,334.20M,,0.06,0.00,,0.06,0.06,,0.05,0.00,,0.05,0.05,,589.98M,589.98M,0.0119,,,
1986-09,321.10M,321.10M,,,,,,,,,,,321.10M,,,,,,,,22.70M,,,22.70M,,321.10M,,321.10M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,585.20M,585.20M,0.0119,,,
1986-06,318.50M,318.50M,,,,,,,,,,,-686.50M,,,,,,,,30.90M,,,30.90M,,-686.50M,,-686.50M,,,,,,,,,,,,,,587.82M,587.82M,0.0119,,,
1986-03,324.30M,324.30M,,,,,,,,,,,324.30M,,,,,,,,31.90M,,,31.90M,,324.30M,,324.30M,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,585.20M,585.20M,0.0107,,,
1985-12,290.30M,290.30M,,,,,,,,,,,290.30M,,,,,,,,24.60M,,,24.60M,,290.30M,,290.30M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,574.59M,574.59M,0.0107,,,
1985-09,271.20M,271.20M,,,,,,,,,,,271.20M,,,,,,,,18.60M,,,18.60M,,271.20M,,271.20M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,287.02M,287.02M,,,,
1985-06,266.30M,266.30M,,,,,,,,,,,-600.60M,,,,,,,,26.20M,,,26.20M,,-600.60M,,-600.60M,,,,,,,,,,,,,,574.59M,574.59M,,,,
1985-03,273.50M,273.50M,,,,,,,,,,,273.50M,,,,,,,,26.10M,,,26.10M,,273.50M,,273.50M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,571.73M,571.73M,,,,
1984-12,253.60M,253.60M,,,,,,,,,,,253.60M,,,,,,,,20.10M,,,20.10M,,253.60M,,253.60M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,564.46M,564.46M,,,,
1984-09,236.60M,236.60M,,,,,,,,,,,236.60M,,,,,,,,15.40M,,,15.40M,,236.60M,,236.60M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,563.10M,563.10M,,,,
1984-06,233.20M,233.20M,,,,,,,,,,,-516.60M,,,,,,,,21.80M,,,21.80M,,-516.60M,,-516.60M,,,,,,,,,,,,,,563.44M,563.44M,,,,
1984-03,234.90M,234.90M,,,,,,,,,,,234.90M,,,,,,,,22.00M,,,22.00M,,234.90M,,234.90M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,563.10M,563.10M,,,,
