,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-08,,1.974B,817.40M,2.791B,2.774B,2.774B,,,2.155B,2.155B,400.90M,220.30M,,8.342B,,,,,,,,3.732B,-2.015B,1.718B,130.80M,409.50M,540.30M,414.10M,,2.672B,11.01B,971.50M,,,971.50M,1.314B,2.285B,,140.20M,5.80M,146.00M,,146.00M,184.00M,2.615B,420.90M,,420.90M,622.30M,622.30M,0.30M,,1.044B,3.659B,2.80M,5.018B,2.13B,,,,204.20M,7.355B
2007-05,,1.857B,990.30M,2.847B,2.495B,2.495B,,,2.122B,2.122B,393.20M,219.70M,,8.076B,0.0,193.80M,1.514B,1.817B,,94.40M,,3.619B,-1.941B,1.678B,130.80M,409.90M,540.70M,392.80M,,2.612B,10.69B,1.040B,,,1.040B,1.303B,2.344B,,100.80M,30.50M,131.30M,,131.30M,109.00M,2.584B,409.90M,,409.90M,668.70M,668.70M,0.30M,,1.079B,3.663B,2.80M,4.885B,1.96B,,234.30M,-56.90M,177.40M,7.025B
2007-02,,1.879B,390.50M,2.270B,2.532B,2.532B,,,2.168B,2.168B,486.20M,184.40M,,7.640B,,,,,,,,3.569B,-1.914B,1.655B,130.80M,406.10M,536.90M,387.00M,,2.578B,10.22B,800.90M,,,800.90M,1.310B,2.111B,,96.00M,30.60M,126.60M,,126.60M,74.70M,2.313B,419.40M,,419.40M,638.20M,638.20M,0.30M,,1.058B,3.371B,2.80M,4.818B,1.881B,,,,146.10M,6.848B
2006-11,,1.103B,804.40M,1.907B,2.388B,2.388B,,,,2.167B,561.30M,186.20M,,7.210B,,,,,,,,3.548B,-1.875B,1.673B,130.80M,406.70M,537.50M,402.10M,,2.613B,9.822B,880.30M,,,880.30M,1.244B,2.124B,,59.20M,30.60M,89.80M,,89.80M,71.00M,2.285B,383.50M,,383.50M,615.10M,615.10M,0.30M,,998.90M,3.284B,2.80M,4.651B,1.741B,,,,142.70M,6.538B
2006-08,,1.031B,693.90M,1.725B,2.569B,2.569B,,,,2.134B,382.30M,188.80M,,6.999B,,,,,,,,3.451B,-1.802B,1.649B,130.80M,407.50M,538.30M,384.40M,,2.571B,9.570B,867.70M,,,867.70M,1.298B,2.165B,,61.30M,30.50M,91.80M,,91.80M,152.50M,2.410B,380.40M,,380.40M,559.20M,559.20M,0.30M,,939.90M,3.350B,2.80M,4.543B,1.538B,,,,137.00M,6.221B
2006-05,,954.20M,1.349B,2.303B,2.396B,2.396B,,,,2.077B,380.10M,203.30M,,7.359B,0.0,195.90M,1.469B,1.662B,,81.40M,,3.408B,-1.751B,1.658B,130.80M,405.50M,536.30M,316.60M,,2.511B,9.870B,952.20M,,,952.20M,1.287B,2.239B,,43.40M,255.30M,298.70M,,298.70M,85.50M,2.623B,410.70M,,410.70M,550.10M,550.10M,0.30M,,961.10M,3.584B,2.80M,4.713B,1.447B,,,,121.70M,6.285B
2006-02,,1.472B,535.00M,2.007B,2.352B,2.352B,,,2.034B,2.034B,536.80M,115.00M,,7.045B,,,,,,,,3.283B,-1.685B,1.598B,,541.50M,541.50M,333.60M,,2.474B,9.518B,785.80M,,,785.80M,1.129B,1.915B,,79.30M,254.70M,334.00M,,334.00M,55.50M,2.304B,411.30M,,411.30M,540.80M,540.80M,0.30M,,952.40M,3.257B,2.80M,4.719B,1.417B,,,,122.60M,6.262B
2005-11,,1.134B,920.00M,2.054B,2.166B,2.166B,,,1.893B,1.893B,496.20M,86.90M,,6.696B,,,,,,,,3.217B,-1.631B,1.586B,,539.30M,539.30M,322.50M,,2.448B,9.144B,797.10M,,,797.10M,959.20M,1.756B,,79.20M,254.50M,333.70M,,333.70M,71.10M,2.161B,408.30M,,408.30M,492.90M,492.90M,0.30M,,901.50M,3.063B,2.80M,4.599B,1.365B,,,,114.10M,6.082B
2005-08,,1.589B,304.20M,1.893B,2.391B,2.391B,,,1.851B,1.851B,425.70M,106.30M,,6.666B,,,,,,,,3.186B,-1.605B,1.581B,,540.10M,540.10M,328.10M,,2.449B,9.116B,768.50M,,,768.50M,996.60M,1.765B,,64.30M,256.00M,320.30M,,320.30M,148.10M,2.234B,428.40M,,428.40M,489.70M,489.70M,0.30M,,918.40M,3.152B,2.80M,4.615B,1.255B,,,,91.40M,5.964B
2005-05,,1.388B,436.60M,1.825B,2.262B,2.262B,2.50M,1.50M,1.807B,1.811B,343.00M,110.20M,,6.351B,0.0,185.40M,1.392B,1.528B,,73.10M,,3.179B,-1.573B,1.606B,,541.50M,541.50M,295.20M,,2.442B,8.794B,843.90M,,,843.90M,984.30M,1.828B,,69.80M,6.20M,76.00M,,76.00M,95.00M,1.999B,687.30M,,687.30M,462.60M,462.60M,0.30M,,1.150B,3.149B,2.80M,4.396B,1.183B,,,,62.00M,5.644B
2005-02,,1.222B,418.30M,1.641B,2.305B,2.305B,2.70M,2.50M,1.722B,1.727B,355.50M,170.50M,,6.199B,,,,,,,,3.306B,-1.68B,1.626B,,538.60M,538.60M,,289.30M,2.453B,8.652B,684.20M,,,684.20M,1.091B,1.776B,,101.30M,6.40M,107.70M,,107.70M,182.70M,2.066B,691.40M,,691.40M,467.30M,467.30M,0.30M,,1.159B,3.225B,2.80M,4.263B,1.156B,,,,5.70M,5.427B
2004-11,,1.182B,476.20M,1.658B,2.126B,2.126B,2.50M,2.80M,1.687B,1.692B,390.30M,184.20M,,6.051B,,,,,,,,3.294B,-1.671B,1.624B,,543.20M,543.20M,340.90M,,2.508B,8.558B,650.70M,,,650.70M,1.021B,1.672B,,144.40M,6.50M,150.90M,,150.90M,180.80M,2.003B,699.00M,,699.00M,513.50M,513.50M,0.30M,,1.213B,3.216B,2.80M,4.252B,1.094B,,,,-7.00M,5.342B
2004-08,,932.10M,365.40M,1.298B,2.176B,2.176B,6.30M,6.50M,1.633B,1.646B,364.20M,137.90M,,5.621B,,,,3.177B,,,,3.177B,-1.598B,1.579B,,545.10M,545.10M,307.90M,,2.432B,8.053B,688.80M,,,688.80M,914.90M,1.604B,,97.80M,6.10M,103.90M,,103.90M,200.30M,1.908B,692.40M,,692.40M,430.20M,430.20M,0.30M,,1.123B,3.031B,2.80M,4.104B,962.90M,,,,-47.60M,5.022B
2004-05,,828.00M,400.80M,1.229B,2.120B,2.120B,13.30M,10.60M,1.626B,1.650B,364.40M,165.00M,,5.529B,0.0,179.50M,1.335B,1.609B,,60.40M,,3.183B,-1.572B,1.612B,,501.70M,501.70M,266.60M,,2.380B,7.909B,780.40M,,,780.40M,979.30M,1.760B,,146.00M,6.60M,152.60M,,152.60M,118.20M,2.030B,682.40M,,682.40M,413.80M,413.80M,0.30M,,1.096B,3.127B,2.80M,3.983B,887.80M,,,,-91.80M,4.782B
2004-02,,914.70M,,914.70M,2.034B,2.034B,17.10M,10.20M,1.640B,1.668B,364.90M,218.50M,,5.200B,,,,,,,,3.163B,-1.551B,1.611B,,500.70M,500.70M,292.60M,,2.405B,7.604B,567.00M,,,567.00M,1.048B,1.615B,,165.20M,6.20M,171.40M,,171.40M,157.90M,1.945B,694.30M,,694.30M,401.90M,401.90M,0.30M,,1.096B,3.041B,2.80M,3.898B,808.10M,,,,-146.10M,4.563B
2003-11,,968.90M,,968.90M,2.010B,2.010B,15.20M,8.00M,1.569B,1.592B,236.80M,212.70M,,5.021B,,,,,,,,3.082B,-1.476B,1.606B,,500.80M,500.80M,248.90M,,2.356B,7.376B,533.10M,,,533.10M,992.70M,1.526B,,142.40M,206.10M,348.50M,,348.50M,121.70M,1.996B,649.60M,,649.60M,363.30M,363.30M,0.30M,,1.013B,3.009B,2.80M,3.804B,727.40M,,,,-166.60M,4.367B
2003-08,,997.80M,,997.80M,2.086B,2.086B,14.70M,11.50M,1.454B,1.480B,309.30M,175.10M,,5.048B,,,,,,,,2.957B,-1.393B,1.564B,,183.60M,183.60M,222.90M,,1.970B,7.019B,520.10M,,,520.10M,879.20M,1.399B,,237.60M,205.60M,443.20M,,443.20M,192.20M,2.035B,532.30M,,532.30M,234.20M,234.20M,0.30M,,766.80M,2.802B,2.80M,3.776B,612.10M,,,,-173.70M,4.217B
2003-05,,634.00M,0.00,634.00M,2.084B,2.084B,,,,1.515B,332.50M,221.80M,,4.787B,,,,,,,,,,1.621B,65.60M,118.20M,183.80M,229.40M,,2.034B,6.821B,572.70M,,130.60M,703.30M,1.036B,1.740B,,75.40M,205.70M,281.10M,,281.10M,,2.021B,551.60M,,551.60M,257.90M,257.90M,0.30M,,809.80M,2.830B,2.80M,3.639B,589.00M,,,,-239.70M,3.991B
2003-02,,443.20M,,443.20M,1.949B,1.949B,14.90M,16.00M,1.488B,1.519B,244.40M,190.80M,,4.347B,,,,,,,,2.906B,-1.291B,1.615B,,183.90M,183.90M,255.00M,,2.054B,6.401B,467.50M,,,467.50M,910.20M,1.378B,,216.60M,205.60M,422.20M,,422.20M,55.30M,1.855B,542.80M,,542.80M,167.50M,167.50M,0.30M,,710.60M,2.566B,2.80M,3.505B,553.10M,,,,-225.80M,3.835B
2002-11,,555.80M,,555.80M,1.891B,1.891B,13.10M,12.30M,1.362B,1.387B,214.80M,164.10M,,4.212B,,,,,,,,2.823B,-1.221B,1.602B,65.60M,118.30M,183.90M,265.30M,,2.051B,6.263B,469.50M,,,469.50M,810.30M,1.280B,,261.70M,5.50M,267.20M,,267.20M,49.70M,1.597B,730.10M,,730.10M,162.80M,162.80M,0.30M,,893.20M,2.490B,2.80M,3.443B,549.90M,,,,-222.50M,3.774B
2002-08,,430.00M,,430.00M,2.028B,2.028B,13.60M,12.80M,1.398B,1.425B,249.90M,171.60M,,4.304B,,,,,,,,2.815B,-1.189B,1.626B,,184.80M,184.80M,241.00M,,2.052B,6.356B,486.60M,,,486.60M,917.50M,1.404B,,217.40M,5.60M,223.00M,,223.00M,159.50M,1.787B,736.30M,,736.30M,160.20M,160.20M,0.30M,,896.80M,2.683B,2.80M,3.371B,543.80M,,,,-245.00M,3.672B
2002-05,,575.50M,,575.50M,1.807B,1.807B,12.60M,13.00M,1.348B,1.374B,260.50M,140.80M,,4.158B,0.0,178.30M,1.134B,1.357B,,72.40M,,2.742B,-1.127B,1.614B,,437.80M,437.80M,233.00M,,2.285B,6.443B,504.40M,,,504.40M,768.30M,1.273B,,425.20M,55.30M,480.50M,,480.50M,83.00M,1.836B,625.90M,,625.90M,141.60M,141.60M,0.30M,,767.80M,2.604B,2.80M,3.495B,538.70M,,,,-197.50M,3.839B
2002-02,,349.60M,,349.60M,1.814B,1.814B,8.50M,17.00M,1.407B,1.433B,260.40M,93.80M,,3.951B,,,,,,,,2.647B,-1.060B,1.587B,,387.20M,387.20M,320.00M,,2.294B,6.245B,372.90M,,,372.90M,670.90M,1.044B,,477.80M,55.00M,532.80M,,532.80M,57.50M,1.634B,615.20M,,615.20M,127.50M,127.50M,0.30M,,743.00M,2.377B,2.90M,3.497B,504.80M,,,,-136.90M,3.868B
2001-11,,459.80M,,459.80M,1.660B,1.660B,8.00M,12.60M,1.415B,1.436B,242.50M,100.90M,,3.899B,,,,,,,,2.649B,-1.022B,1.627B,,391.00M,391.00M,275.80M,,2.294B,6.193B,379.20M,,,379.20M,625.50M,1.005B,,543.60M,55.40M,599.00M,,599.00M,73.60M,1.677B,624.00M,,624.00M,119.40M,119.40M,0.30M,,743.70M,2.421B,2.80M,3.415B,472.20M,,,,-118.20M,3.772B
2001-08,,364.90M,,364.90M,1.784B,1.784B,,,,1.487B,219.90M,125.30M,,3.981B,,,,,,,,2.630B,-991.50M,1.639B,,394.20M,394.20M,264.30M,,2.297B,6.278B,445.00M,,,445.00M,693.30M,1.138B,,550.00M,55.60M,605.60M,,605.60M,110.10M,1.854B,638.00M,,638.00M,104.60M,104.60M,0.30M,,742.90M,2.597B,2.80M,3.342B,466.40M,,,,-129.80M,3.681B
2001-05,,304.00M,,304.00M,1.621B,1.621B,9.10M,15.10M,1.400B,1.424B,162.50M,113.30M,,3.625B,0.0,177.20M,1.087B,1.117B,,171.00M,,2.553B,-934.00M,1.619B,,397.30M,397.30M,178.20M,,2.194B,5.820B,432.00M,,,432.00M,472.10M,904.10M,,855.30M,5.40M,860.70M,,860.70M,21.90M,1.787B,435.90M,,435.90M,102.20M,102.20M,0.30M,,538.40M,2.325B,2.80M,3.194B,459.40M,,,,-162.00M,3.494B
2001-02,,185.90M,,185.90M,1.670B,1.670B,,,,1.505B,,,299.80M,3.661B,,,,,,,,2.537B,-915.40M,1.622B,,400.60M,400.60M,,283.20M,2.305B,5.966B,482.60M,,,482.60M,,482.60M,,,,879.40M,,879.40M,583.00M,1.945B,452.90M,,452.90M,112.30M,112.30M,,,565.20M,2.510B,3.10M,3.160B,428.90M,0.30M,,,-135.90M,3.456B
2000-11,,325.50M,,325.50M,1.509B,1.509B,,,,1.374B,,,296.50M,3.505B,,,,,,,,2.483B,-873.00M,1.610B,,404.20M,404.20M,,258.80M,2.273B,5.778B,335.50M,,,335.50M,,335.50M,,,,924.30M,,924.30M,587.40M,1.847B,466.20M,,466.20M,112.40M,112.40M,,,578.60M,2.426B,3.10M,3.114B,391.70M,0.30M,,,-156.90M,3.352B
2000-08,,407.10M,,407.10M,1.704B,1.704B,,,,1.469B,,,356.00M,3.936B,,,,,,,,2.428B,-840.30M,1.588B,,407.10M,407.10M,,260.10M,2.255B,6.191B,589.60M,,,589.60M,,589.60M,,,,1.032B,,1.032B,694.90M,2.316B,467.10M,,467.10M,104.60M,104.60M,,,571.70M,2.888B,3.10M,3.059B,383.20M,0.30M,-127.60M,-14.60M,-142.20M,3.303B
2000-05,,254.30M,,254.30M,1.569B,1.569B,,,,1.446B,,,326.70M,3.596B,,,,,,,,2.394B,-810.40M,1.583B,,410.90M,410.90M,,266.20M,2.260B,5.857B,543.80M,,,543.80M,,543.80M,,,,974.30M,,974.30M,621.90M,2.14B,470.30M,,470.30M,110.30M,110.30M,,,580.60M,2.721B,3.10M,2.887B,369.00M,0.30M,,,-122.80M,3.136B
2000-02,,159.40M,,159.40M,,1.637B,,,,1.389B,,,297.90M,3.483B,,,,,,,,2.349B,-795.50M,1.553B,,413.60M,413.60M,,327.60M,2.294B,5.778B,474.90M,,,474.90M,,474.90M,,,,852.80M,,852.80M,691.70M,2.019B,462.90M,,462.90M,91.30M,91.30M,,,554.20M,2.574B,3.20M,2.929B,350.80M,0.30M,-78.60M,,-78.60M,3.204B
1999-11,,253.00M,,253.00M,,1.51B,,,,1.252B,,,270.90M,3.286B,,,,,,,,2.355B,-806.00M,1.549B,,417.30M,417.30M,,307.50M,2.274B,5.559B,491.40M,,,491.40M,,491.40M,,,,619.10M,,619.10M,676.30M,1.787B,472.40M,,472.40M,87.60M,87.60M,,,560.00M,2.347B,3.20M,2.941B,352.70M,0.30M,-84.40M,,-84.40M,3.213B
1999-08,,226.20M,,226.20M,,1.701B,,,,1.229B,,,300.50M,3.457B,,,,,,,,2.301B,-775.80M,1.525B,,422.50M,422.50M,,299.10M,2.247B,5.704B,488.00M,,,488.00M,,488.00M,,,,539.60M,,539.60M,780.20M,1.808B,462.20M,,462.20M,81.00M,81.00M,,,543.20M,2.351B,3.20M,3.095B,335.90M,0.30M,-80.40M,,-80.40M,3.353B
1999-05,,198.10M,,198.10M,,1.556B,,,,1.199B,,,311.50M,3.265B,,,,,,,,2.001B,-735.50M,1.266B,,426.60M,426.60M,,290.40M,1.983B,5.248B,373.20M,,,373.20M,,373.20M,,,,420.10M,,420.10M,653.60M,1.447B,386.10M,,386.10M,79.80M,79.80M,,,465.90M,1.913B,3.20M,3.066B,334.10M,0.30M,-68.90M,,-68.90M,3.335B
1999-02,,127.90M,,127.90M,,1.738B,,,,1.147B,,,329.20M,3.342B,,,,,,,,2.007B,-762.60M,1.244B,,431.40M,431.40M,,274.30M,1.95B,5.292B,329.80M,,,329.80M,,329.80M,,,,556.90M,,556.90M,704.30M,1.591B,388.70M,,388.70M,54.10M,54.10M,,,442.80M,2.034B,0.30M,3.043B,,0.30M,,,,3.258B
1998-11,,254.60M,,254.60M,,1.511B,,,,1.198B,,,336.00M,3.300B,,,,,,,,1.968B,-736.80M,1.231B,,435.50M,435.50M,,284.10M,1.950B,5.250B,429.90M,,,429.90M,,429.90M,,,,432.90M,,432.90M,709.90M,1.573B,389.10M,,389.10M,52.30M,52.30M,,,441.40M,2.014B,0.30M,3.016B,,0.30M,,,,3.236B
1998-08,,167.80M,,167.80M,,1.755B,,,,1.160B,,,326.20M,3.409B,,,,,,,,1.879B,-702.10M,1.177B,,436.50M,436.50M,,281.80M,1.896B,5.305B,432.50M,,,432.50M,,432.50M,,,,349.60M,,349.60M,750.80M,1.533B,375.70M,,375.70M,46.60M,46.60M,,,422.30M,1.955B,0.30M,3.131B,,0.30M,,,,3.349B
1998-05,,108.60M,,108.60M,,1.674B,,,,1.397B,,,353.00M,3.533B,,,,,,,,1.820B,-666.50M,1.153B,,435.80M,435.80M,,275.90M,1.865B,5.397B,584.60M,,,584.60M,,584.60M,,,,481.80M,,481.80M,637.40M,1.704B,379.40M,,379.40M,52.30M,52.30M,,,431.70M,2.136B,0.30M,3.043B,,0.30M,,,,3.262B
