,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-12,-2.867B,,,-69.00M,261.00M,261.00M,-230.00M,,,3.508B,168.00M,599.00M,1.00M,104.00M,,,872.00M,,1.655B,,-351.00M,,603.00M,,-287.00M,,44.00M,-594.00M,,,,-497.00M,88.00M,-738.00M,-650.00M,,-246.00M,,-73.00M,-1.466B,,2.914B,-405.00M,37.00M,2.546B,,88.00M,,,-738.00M,,AOR,Restated
2006-09,996.00M,,,-52.00M,252.00M,252.00M,17.00M,,,88.00M,220.00M,-288.00M,144.00M,-16.00M,,,60.00M,,1.361B,,-184.00M,,-184.00M,,-388.00M,372.00M,193.00M,-7.00M,,,,-483.00M,43.00M,-580.00M,-537.00M,,-249.00M,,-86.00M,-1.355B,,2.883B,-1.00M,32.00M,2.914B,,43.00M,,,-580.00M,,,
2006-06,1.103B,,,68.00M,256.00M,256.00M,20.00M,,,-68.00M,-558.00M,-319.00M,342.00M,-32.00M,,,-567.00M,,812.00M,,-218.00M,,-218.00M,,215.00M,-282.00M,-48.00M,-333.00M,,,,360.00M,212.00M,-375.00M,-163.00M,,-249.00M,,15.00M,-37.00M,,2.417B,442.00M,24.00M,2.883B,,212.00M,,,-375.00M,,,
2006-03,768.00M,,,53.00M,264.00M,264.00M,-21.00M,,,85.00M,135.00M,-781.00M,503.00M,-31.00M,,,-174.00M,,975.00M,,-201.00M,,-201.00M,,,-90.00M,-36.00M,-327.00M,,,,87.00M,3.00M,-375.00M,-372.00M,,-207.00M,,8.00M,-484.00M,,2.247B,164.00M,6.00M,2.417B,,3.00M,,,-375.00M,,,
2005-12,-2.443B,,,-323.00M,256.00M,256.00M,49.00M,,,3.372B,71.00M,246.00M,-243.00M,27.00M,-20.00M,,81.00M,,1.145B,,-345.00M,-308.00M,276.00M,,-185.00M,,7.00M,-831.00M,,,,442.00M,62.00M,-421.00M,-359.00M,,-207.00M,,-34.00M,-158.00M,,2.102B,156.00M,-11.00M,2.247B,,62.00M,,,-421.00M,,AOR,Restated
2005-09,821.00M,,,120.00M,265.00M,265.00M,91.00M,,,-15.00M,47.00M,-134.00M,-172.00M,-66.00M,33.00M,165.00M,-127.00M,,1.155B,,-249.00M,3.00M,-246.00M,,-3.57B,2.666B,58.00M,-1.092B,,,,594.00M,58.00M,-385.00M,-327.00M,,-208.00M,,-1.00M,58.00M,,1.985B,121.00M,-4.00M,2.102B,,58.00M,,,-385.00M,,,
2005-06,971.00M,,,108.00M,237.00M,237.00M,84.00M,,,10.00M,-647.00M,-253.00M,745.00M,46.00M,-13.00M,-100.00M,-222.00M,,1.188B,,-183.00M,305.00M,122.00M,,,-2.541B,-133.00M,-2.552B,,,,1.805B,76.00M,-260.00M,-184.00M,,-209.00M,,-1.00M,1.411B,,1.963B,47.00M,-25.00M,1.985B,,76.00M,,,-260.00M,,,
2005-03,651.00M,,,95.00M,226.00M,226.00M,38.00M,,,5.00M,-301.00M,-289.00M,532.00M,-46.00M,,-65.00M,-169.00M,,846.00M,,-152.00M,,-152.00M,,,-125.00M,103.00M,-174.00M,,,,-735.00M,86.00M,-115.00M,-29.00M,,-208.00M,,-4.00M,-976.00M,,2.265B,-304.00M,2.00M,1.963B,,86.00M,,,-115.00M,,,
2004-12,-2.138B,,,-174.00M,234.00M,234.00M,-22.00M,,,2.34B,396.00M,56.00M,-258.00M,-4.00M,,156.00M,346.00M,,755.00M,,-344.00M,-7.00M,444.00M,,,,427.00M,-972.00M,,,,301.00M,91.00M,-304.00M,-213.00M,,-164.00M,,117.00M,41.00M,,2.34B,-176.00M,101.00M,2.265B,,91.00M,,,-304.00M,,AOR,Restated
2004-09,770.00M,,,-15.00M,230.00M,230.00M,134.00M,,,-130.00M,5.00M,-41.00M,-163.00M,19.00M,-24.00M,202.00M,-2.00M,,987.00M,,-180.00M,1.00M,-179.00M,,,209.00M,-379.00M,-349.00M,,,,42.00M,130.00M,-208.00M,-78.00M,,-165.00M,,-135.00M,-336.00M,,2.018B,302.00M,20.00M,2.34B,,130.00M,,,-208.00M,,,
2004-06,817.00M,,,94.00M,252.00M,252.00M,81.00M,,,263.00M,-643.00M,113.00M,128.00M,15.00M,24.00M,-50.00M,-413.00M,,1.094B,,-148.00M,6.00M,-142.00M,,,-165.00M,-38.00M,-345.00M,,,,-20.00M,3.00M,-264.00M,-261.00M,,-165.00M,,1.00M,-445.00M,,1.731B,304.00M,-17.00M,2.018B,,3.00M,,,-264.00M,,,
2004-03,551.00M,,,95.00M,262.00M,262.00M,3.00M,,,-133.00M,-126.00M,-234.00M,665.00M,-15.00M,,-308.00M,-18.00M,,760.00M,,-123.00M,,-123.00M,,,-44.00M,71.00M,-96.00M,,,,-281.00M,119.00M,-216.00M,-97.00M,,-166.00M,,-15.00M,-559.00M,,1.623B,105.00M,3.00M,1.731B,,119.00M,,,-216.00M,,,
2003-12,-1.773B,,,-127.00M,229.00M,229.00M,16.00M,,,1.766B,-46.00M,62.00M,74.00M,95.00M,,502.00M,687.00M,,798.00M,,-208.00M,-10.00M,312.00M,,,,1.115B,-185.00M,,,,-215.00M,150.00M,-100.00M,50.00M,,-164.00M,,-128.00M,-457.00M,,1.421B,156.00M,46.00M,1.623B,,150.00M,,,-100.00M,,AOR,Restated
2003-09,639.00M,,,127.00M,203.00M,203.00M,66.00M,,,409.00M,197.00M,-38.00M,-59.00M,-20.00M,,-502.00M,-422.00M,,1.022B,,-126.00M,10.00M,-116.00M,,,,-1.132B,-1.248B,,,,-581.00M,54.00M,-50.00M,4.00M,,-127.00M,,-64.00M,-768.00M,,2.415B,-994.00M,0.00,1.421B,,54.00M,,,-50.00M,,,
2003-06,632.00M,,,-35.00M,187.00M,187.00M,81.00M,,,63.00M,-126.00M,131.00M,-98.00M,-32.00M,,,-125.00M,,803.00M,,-109.00M,,-109.00M,,,,-111.00M,-220.00M,,,,-25.00M,84.00M,-50.00M,34.00M,,-127.00M,,-30.00M,-148.00M,,1.927B,435.00M,53.00M,2.415B,,84.00M,,,-50.00M,,,
2003-03,502.00M,,,35.00M,180.00M,180.00M,91.00M,,,-472.00M,-51.00M,-114.00M,138.00M,-57.00M,,,-84.00M,,252.00M,,-87.00M,,-87.00M,,,,-21.00M,-108.00M,,,,15.00M,43.00M,-201.00M,-158.00M,,-115.00M,,-65.00M,-323.00M,,2.08B,-179.00M,26.00M,1.927B,,43.00M,,,-201.00M,,,
2002-12,-1.703B,,,,190.00M,190.00M,116.00M,,,1.723B,248.00M,158.00M,-211.00M,10.00M,72.00M,,277.00M,,603.00M,,-181.00M,-8.00M,397.00M,,-376.00M,,327.00M,-238.00M,,,,-134.00M,2.00M,-306.00M,-304.00M,,-114.00M,,-54.00M,-606.00M,,2.301B,-241.00M,20.00M,2.08B,,2.00M,,,-306.00M,,AOR,Restated
2002-09,612.00M,,,,173.00M,173.00M,78.00M,,,-4.00M,184.00M,189.00M,-394.00M,59.00M,-72.00M,,-34.00M,,825.00M,,-130.00M,0.00,-130.00M,,312.00M,,-358.00M,-176.00M,,,,13.00M,71.00M,-168.00M,-97.00M,,-116.00M,,-22.00M,-222.00M,,1.902B,427.00M,-28.00M,2.301B,,71.00M,,,-168.00M,,,
2002-06,624.00M,,,,189.00M,189.00M,50.00M,,,-77.00M,-181.00M,49.00M,208.00M,-10.00M,,,66.00M,,852.00M,,-119.00M,8.00M,-111.00M,,-312.00M,,17.00M,-406.00M,,,,357.00M,3.00M,-126.00M,-123.00M,,-116.00M,,-29.00M,89.00M,,1.337B,535.00M,30.00M,1.902B,,3.00M,,,-126.00M,,,
2002-03,467.00M,,,,175.00M,175.00M,74.00M,,,50.00M,-171.00M,-153.00M,180.00M,-49.00M,,,-193.00M,,573.00M,,-156.00M,,-156.00M,,,,-112.00M,-268.00M,,,,-324.00M,107.00M,-100.00M,7.00M,,-116.00M,,-79.00M,-512.00M,,1.558B,-207.00M,-14.00M,1.337B,,107.00M,,,-100.00M,,,
2001-12,-1.593B,,,,238.00M,238.00M,212.00M,,,1.992B,345.00M,191.00M,-407.00M,46.00M,-72.00M,,103.00M,,952.00M,,-205.00M,-15.00M,573.00M,,,416.00M,9.00M,-217.00M,,,,-285.00M,-48.00M,-61.00M,-109.00M,,-105.00M,,-30.00M,-529.00M,,1.365B,206.00M,-13.00M,1.558B,,-48.00M,,,-61.00M,,AOR,Restated
2001-09,565.00M,,,,220.00M,220.00M,3.00M,,,,36.00M,-77.00M,-155.00M,-12.00M,72.00M,-11.00M,-147.00M,,641.00M,,-174.00M,7.00M,-167.00M,,,-416.00M,366.00M,-217.00M,,,,254.00M,26.00M,-173.00M,-147.00M,,-106.00M,,-19.00M,-18.00M,,957.00M,406.00M,2.00M,1.365B,,26.00M,,,-173.00M,,,
2001-06,588.00M,,,,225.00M,225.00M,50.00M,,,27.00M,-72.00M,-20.00M,-100.00M,41.00M,,11.00M,-140.00M,,750.00M,,-207.00M,0.00,-207.00M,,,,-209.00M,-416.00M,,,,53.00M,246.00M,-165.00M,81.00M,,-106.00M,,-180.00M,-152.00M,,780.00M,182.00M,-5.00M,957.00M,,246.00M,,,-165.00M,,,
2001-03,440.00M,,,,222.00M,222.00M,32.00M,,,-27.00M,-20.00M,-241.00M,256.00M,-29.00M,,,-34.00M,,633.00M,,-207.00M,8.00M,-199.00M,,,,-228.00M,-427.00M,,,,63.00M,,-200.00M,-200.00M,,-106.00M,,82.00M,-161.00M,,748.00M,45.00M,-13.00M,780.00M,,,,,-200.00M,,,
2000-12,426.00M,,,,220.00M,220.00M,-74.00M,,,43.00M,-107.00M,18.00M,152.00M,3.00M,,,66.00M,,681.00M,,-337.00M,,600.00M,,,,449.00M,-1.056B,,,,421.00M,,-127.00M,311.00M,,-105.00M,,-316.00M,311.00M,,818.00M,-64.00M,-6.00M,748.00M,,,,,-127.00M,,,Restated
2000-09,496.00M,,,,210.00M,210.00M,74.00M,,,68.00M,208.00M,-136.00M,-223.00M,-22.00M,,,-173.00M,,675.00M,,-274.00M,,-274.00M,,,,-49.00M,-323.00M,,,,-177.00M,,-151.00M,-151.00M,,-93.00M,,92.00M,-329.00M,,813.00M,23.00M,-18.00M,818.00M,,,,,-151.00M,,,
2000-06,509.00M,,,,217.00M,217.00M,81.00M,,,66.00M,-193.00M,33.00M,-134.00M,42.00M,,,-252.00M,,621.00M,,-177.00M,,-177.00M,,,,-152.00M,-329.00M,,,,167.00M,,-222.00M,-222.00M,,-95.00M,,18.00M,-132.00M,,657.00M,160.00M,-4.00M,813.00M,,,,,-222.00M,,,
2000-03,377.00M,,,,212.00M,212.00M,27.00M,,,-31.00M,23.00M,-99.00M,21.00M,-4.00M,,,-59.00M,,526.00M,,-149.00M,,-149.00M,,,,-244.00M,-393.00M,,,,-51.00M,,-300.00M,-300.00M,,-94.00M,,13.00M,-432.00M,,957.00M,-299.00M,-1.00M,657.00M,,,,,-300.00M,,,
1999-12,56.00M,,,91.00M,230.00M,230.00M,203.00M,,,-288.00M,3.00M,120.00M,325.00M,-24.00M,,,424.00M,0.00,716.00M,,2.335B,0.00,2.335B,,,,-80.00M,-1.292B,,,,758.00M,,-273.00M,81.00M,,-254.00M,,-165.00M,420.00M,,1.115B,-156.00M,-2.00M,957.00M,,,,,-273.00M,,,
1999-09,90.00M,,,0.00,209.00M,209.00M,-263.00M,,,177.00M,106.00M,106.00M,174.00M,-8.00M,,,378.00M,0.00,591.00M,,-736.00M,0.00,-736.00M,,,,-25.00M,-761.00M,,,,731.00M,,-282.00M,-282.00M,,-96.00M,,39.00M,392.00M,,885.00M,222.00M,8.00M,1.115B,,,,,-282.00M,,,
1999-06,1.077B,,,-660.00M,197.00M,197.00M,14.00M,,,81.00M,-257.00M,243.00M,-105.00M,37.00M,,,-82.00M,2.129B,2.756B,,-2.137B,0.00,-2.137B,,,,-35.00M,-2.172B,,,,-173.00M,,-170.00M,-170.00M,,-81.00M,,71.00M,-353.00M,,657.00M,231.00M,-3.00M,885.00M,,,,,-170.00M,,,
1999-03,308.00M,,,-30.00M,183.00M,183.00M,50.00M,,,-19.00M,-108.00M,-138.00M,201.00M,-71.00M,,,-116.00M,30.00M,406.00M,,-224.00M,43.00M,-181.00M,,,,-5.00M,-186.00M,,,,39.00M,,-97.00M,-97.00M,,-81.00M,,55.00M,-84.00M,,550.00M,136.00M,-29.00M,657.00M,,,,,-97.00M,,,
1998-12,287.00M,,,67.00M,186.00M,186.00M,-9.00M,,,260.00M,309.00M,-275.00M,-401.00M,17.00M,,,-350.00M,82.00M,523.00M,,834.00M,,834.00M,,,,-15.00M,-409.00M,,,,86.00M,,-148.00M,72.00M,,-219.00M,,-63.00M,-124.00M,,558.00M,-10.00M,2.00M,550.00M,,,,,-148.00M,,,
1998-09,348.00M,,,-22.00M,184.00M,184.00M,-105.00M,,,-70.00M,78.00M,43.00M,138.00M,75.00M,,,334.00M,-119.00M,550.00M,,-841.00M,,-841.00M,,,,-55.00M,-896.00M,,,,547.00M,,-225.00M,-225.00M,,-81.00M,,13.00M,254.00M,,641.00M,-92.00M,9.00M,558.00M,,,,,-225.00M,,,
1998-06,360.00M,,,-27.00M,179.00M,179.00M,-69.00M,,,67.00M,-86.00M,204.00M,16.00M,44.00M,,,178.00M,-3.00M,685.00M,,-325.00M,,-325.00M,,,,-49.00M,-374.00M,,,,-6.00M,,-188.00M,-188.00M,,-83.00M,,-3.00M,-280.00M,,619.00M,31.00M,-9.00M,641.00M,,,,,-188.00M,,,
1998-03,260.00M,,,-31.00M,181.00M,181.00M,-81.00M,,,70.00M,-257.00M,-85.00M,382.00M,77.00M,,,117.00M,31.00M,547.00M,,-341.00M,,-341.00M,,,,-51.00M,-392.00M,,,,-78.00M,,-89.00M,-89.00M,,-71.00M,,53.00M,-185.00M,,655.00M,-30.00M,-6.00M,619.00M,,,,,-89.00M,,,
1997-12,244.00M,,,,75.00M,75.00M,,,,-102.00M,-117.00M,49.00M,262.00M,,,,593.00M,,275.00M,,-683.00M,36.00M,-647.00M,,,,236.00M,-411.00M,,,,13.00M,,-310.00M,-167.00M,,-167.00M,,-25.00M,-346.00M,,0.00,-482.00M,-17.00M,655.00M,,,,,-310.00M,,,
1997-09,300.00M,,,,202.00M,202.00M,,,,60.00M,114.00M,23.00M,-161.00M,,,,-24.00M,,538.00M,,-71.00M,-35.00M,-106.00M,,,,-188.00M,-294.00M,,,,-55.00M,,-237.00M,-237.00M,,-72.00M,,-4.00M,-368.00M,,0.00,-124.00M,-6.00M,0.00,,,,,-237.00M,,,
1997-06,304.00M,,,,219.00M,219.00M,,,,26.00M,-388.00M,234.00M,188.00M,,,,34.00M,,583.00M,,-244.00M,9.00M,-235.00M,,,,45.00M,-190.00M,,,,-23.00M,,-157.00M,-157.00M,,-73.00M,,10.00M,-243.00M,,0.00,150.00M,-2.00M,0.00,,,,,-157.00M,,,
1997-03,224.00M,,,,211.00M,211.00M,,,,16.00M,209.00M,-193.00M,42.00M,,,,58.00M,,509.00M,,-207.00M,26.00M,-181.00M,,,,71.00M,-110.00M,,,,-40.00M,,-145.00M,-145.00M,,-74.00M,,19.00M,-240.00M,,1.127B,159.00M,-21.00M,0.00,,,,,-145.00M,,,
1996-12,229.00M,,,,206.00M,206.00M,,,,-192.00M,88.00M,-165.00M,295.00M,,,,197.00M,,530.00M,,-420.00M,140.00M,-280.00M,,,,-35.00M,-315.00M,,,,-102.00M,96.00M,-185.00M,-89.00M,,-127.00M,,8.00M,-310.00M,,0.00,-95.00M,-5.00M,998.00M,,96.00M,,,-185.00M,,,
1996-09,254.00M,,,,211.00M,211.00M,,,,-82.00M,-70.00M,22.00M,176.00M,,,,128.00M,,511.00M,,-360.00M,37.00M,-323.00M,,,,207.00M,-116.00M,,,,-56.00M,,-92.00M,-92.00M,,-66.00M,,11.00M,-203.00M,,0.00,192.00M,-8.00M,0.00,,,,,-92.00M,,,
1996-06,259.00M,,,,215.00M,215.00M,,,,168.00M,-257.00M,118.00M,202.00M,,,,63.00M,,705.00M,,-152.00M,-30.00M,-182.00M,,,,-159.00M,-341.00M,,,,-163.00M,-2.00M,-120.00M,-122.00M,,-66.00M,,-30.00M,-381.00M,,0.00,-17.00M,4.00M,0.00,,-2.00M,,,-120.00M,,,
1996-03,164.00M,,,,209.00M,209.00M,,,,172.00M,193.00M,-316.00M,-89.00M,,,,-212.00M,,333.00M,,-155.00M,30.00M,-125.00M,,,,118.00M,-7.00M,,,,-20.00M,2.00M,-62.00M,-60.00M,,-67.00M,,11.00M,-136.00M,,900.00M,190.00M,-2.00M,0.00,,2.00M,,,-62.00M,,,
1995-12,187.00M,,,,223.00M,223.00M,,,,0.00,123.00M,30.00M,210.00M,,-64.00M,,120.00M,,530.00M,,-347.00M,0.00,-347.00M,,,,-99.00M,-446.00M,,,,-6.00M,,-6.00M,95.00M,,-178.00M,,4.00M,-85.00M,,0.00,-1.00M,-3.00M,900.00M,,,,,-6.00M,,,
1995-09,210.00M,,,,200.00M,200.00M,,,,135.00M,-135.00M,184.00M,91.00M,,-16.00M,,124.00M,,669.00M,,-289.00M,15.00M,-274.00M,,,,109.00M,-165.00M,,,,-153.00M,,-125.00M,-125.00M,,-62.00M,,-3.00M,-343.00M,,0.00,161.00M,-12.00M,0.00,,,,,-125.00M,,,
1995-06,218.00M,,,,214.00M,214.00M,,,,101.00M,32.00M,27.00M,162.00M,,-14.00M,,207.00M,,740.00M,,-191.00M,88.00M,-103.00M,,,,115.00M,12.00M,,,,-321.00M,,-73.00M,-73.00M,,-61.00M,,-11.00M,-466.00M,,0.00,286.00M,8.00M,0.00,,,,,-73.00M,,,
1995-03,135.00M,,,,207.00M,207.00M,,,,20.00M,129.00M,-239.00M,-180.00M,,33.00M,,-257.00M,,105.00M,,-157.00M,,-157.00M,,,,102.00M,-55.00M,,,,89.00M,,-17.00M,-17.00M,,-62.00M,,10.00M,20.00M,,386.00M,70.00M,5.00M,0.00,,,,,-17.00M,,,
1994-12,113.00M,,,,217.00M,217.00M,,,,118.00M,-394.00M,290.00M,512.00M,,-473.00M,,96.00M,,457.00M,,-164.00M,60.00M,-104.00M,,,,120.00M,16.00M,,,,-319.00M,,-106.00M,-106.00M,,-131.00M,,-68.00M,-624.00M,,0.00,-151.00M,-7.00M,386.00M,,,,,-106.00M,,,
1994-09,194.00M,,,,208.00M,208.00M,,,,34.00M,134.00M,,134.00M,,58.00M,,326.00M,,762.00M,,-222.00M,11.00M,-211.00M,,,,-63.00M,-274.00M,,,,-385.00M,,-112.00M,-112.00M,,-74.00M,,36.00M,-535.00M,,0.00,-47.00M,24.00M,0.00,,,,,-112.00M,,,
1994-06,211.00M,,,,211.00M,211.00M,,,,118.00M,-576.00M,180.00M,-64.00M,,57.00M,,-403.00M,,137.00M,,-245.00M,227.00M,-18.00M,,,,100.00M,82.00M,,,,88.00M,,-52.00M,-52.00M,,-78.00M,,-4.00M,-46.00M,,0.00,173.00M,-5.00M,0.00,,,,,-52.00M,,,
1994-03,67.00M,,,,204.00M,204.00M,,,,53.00M,80.00M,-180.00M,-343.00M,,120.00M,,-323.00M,,1.00M,,-128.00M,,-128.00M,,,,15.00M,-113.00M,,,,128.00M,,,,,-57.00M,,36.00M,107.00M,,421.00M,-5.00M,-17.00M,0.00,,,,,,,,
1993-12,136.00M,,,,216.00M,216.00M,-15.00M,,,39.00M,-112.00M,112.00M,685.00M,,-368.00M,,262.00M,,638.00M,,-295.00M,,-248.00M,,,,34.00M,-234.00M,,,,-236.00M,,,,,-68.00M,,-24.00M,-218.00M,,0.00,186.00M,-19.00M,421.00M,,,,,,,,
1993-09,157.00M,,,,208.00M,208.00M,-102.00M,,,98.00M,259.00M,197.00M,-174.00M,,-6.00M,,276.00M,,637.00M,,-201.00M,,-201.00M,,,,-176.00M,-377.00M,,,,-272.00M,,,,,-66.00M,,12.00M,-326.00M,,0.00,-66.00M,-10.00M,0.00,,,,,,,,
1993-06,130.00M,,,,191.00M,191.00M,40.00M,,,-13.00M,105.00M,157.00M,-31.00M,,40.00M,,271.00M,,619.00M,,-181.00M,,-181.00M,,,,-45.00M,-226.00M,,,,-346.00M,,,,,-67.00M,,-1.00M,-414.00M,,0.00,-21.00M,0.00,0.00,,,,,,,,
1993-03,64.00M,,,,200.00M,200.00M,77.00M,,,82.00M,-207.00M,-131.00M,-505.00M,,34.00M,,-809.00M,,-386.00M,,-169.00M,,-169.00M,,,,-20.00M,-189.00M,,,,648.00M,,,,,-66.00M,,-3.00M,579.00M,,354.00M,4.00M,-7.00M,0.00,,,,,,,,
1992-12,-382.00M,,,,241.00M,241.00M,,,,-445.00M,593.00M,386.00M,655.00M,,278.00M,,1.777B,,686.00M,,-293.00M,31.00M,-262.00M,,,,11.00M,-251.00M,,,,-323.00M,112.00M,,112.00M,,-70.00M,,-40.00M,-321.00M,,0.00,114.00M,-6.00M,354.00M,,112.00M,,,,,,
1992-09,142.00M,,,,205.00M,205.00M,,,,91.00M,122.00M,-3.00M,-212.00M,,9.00M,,-84.00M,,354.00M,,-215.00M,64.00M,-151.00M,,,,-46.00M,-197.00M,,,,-45.00M,,,,,-64.00M,,5.00M,-104.00M,,0.00,53.00M,-4.00M,0.00,,,,,,,,
1992-06,166.00M,,,,206.00M,206.00M,,,,111.00M,-316.00M,88.00M,120.00M,,-62.00M,,-170.00M,,313.00M,,-201.00M,,-201.00M,,,11.00M,-63.00M,-253.00M,,,,13.00M,-48.00M,,-48.00M,,-66.00M,,29.00M,-72.00M,,0.00,-12.00M,0.00,0.00,,-48.00M,,,,,,
1992-03,109.00M,,,,200.00M,200.00M,,,,4.00M,-160.00M,-143.00M,-204.00M,,44.00M,,-463.00M,,-150.00M,,-211.00M,,-211.00M,,,-11.00M,-3.00M,-225.00M,,,,98.00M,48.00M,,48.00M,,-64.00M,,-20.00M,62.00M,,523.00M,-313.00M,-1.00M,0.00,,48.00M,,,,,,
1991-12,-1.224B,,,,160.10M,160.10M,,,,-25.80M,19.70M,121.70M,725.90M,,-311.60M,,651.70M,,781.90M,,-338.00M,,-274.00M,,,45.90M,-54.50M,-282.60M,,,,-485.10M,,,,,-88.60M,,-43.10M,-543.80M,,0.00,-44.50M,1.30M,0.00,,,,,,,,
1991-09,119.50M,,,,177.00M,177.00M,,,,95.80M,166.00M,150.30M,13.60M,,-59.70M,,270.20M,,662.50M,,-210.60M,,-210.60M,,,-45.90M,24.80M,-231.70M,,,,-211.10M,,,,,-64.20M,,-4.20M,-279.50M,,0.00,151.30M,-4.60M,0.00,,,,,,,,
1991-06,43.40M,,,,196.60M,196.60M,,,,16.10M,6.50M,61.20M,95.40M,,89.80M,,252.90M,,509.00M,,-243.60M,,-243.60M,,,,60.60M,-183.00M,,,,7.20M,,,,,-64.10M,,-20.90M,-77.80M,,0.00,248.20M,-15.70M,0.00,,,,,,,,
1991-03,40.20M,,,,201.30M,201.30M,,,,-32.10M,109.80M,-165.20M,-333.90M,,116.50M,,-272.80M,,-63.40M,,-255.80M,,-255.80M,,,,-74.90M,-330.70M,,,,444.00M,,,,,-64.10M,,4.20M,384.10M,,200.80M,-10.00M,-4.00M,0.00,,,,,,,,
1990-12,168.80M,,,,139.70M,139.70M,,,,-120.40M,-51.20M,100.90M,424.90M,,,,486.90M,,534.00M,,-409.50M,,-330.50M,,,,-163.00M,-493.50M,,,,-126.40M,,-9.70M,67.60M,,-63.90M,,5.30M,-117.40M,,0.00,-76.90M,5.90M,0.00,,,,,-9.70M,,,
1990-09,239.80M,,,,170.40M,170.40M,,,,220.00M,37.70M,-6.60M,236.30M,,,,267.40M,,897.60M,,-266.10M,,-266.10M,,,,33.20M,-232.90M,,,,-610.10M,,0.00,0.00,,-64.10M,,0.80M,-673.40M,,0.00,-8.70M,-3.70M,0.00,,,,,0.00,,,
1990-06,207.50M,,,,184.30M,184.30M,,,,-14.30M,-517.30M,-55.80M,161.50M,,,,-411.60M,,-34.10M,,-285.80M,,-285.80M,,,,246.50M,-39.30M,,,,167.40M,,0.00,0.00,,-59.00M,,3.10M,111.50M,,0.00,38.10M,-1.30M,0.00,,,,,0.00,,,
1990-03,134.50M,,,,180.60M,180.60M,,,,-37.30M,-85.60M,-220.50M,-217.90M,,,,-524.00M,,-246.20M,,-239.00M,,-239.00M,,,,43.90M,-195.10M,,,,-112.30M,,-75.20M,-75.20M,,-66.50M,,678.50M,424.50M,,266.50M,-16.80M,-2.30M,0.00,,,,,-75.20M,,,
