,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,TreasuryStock,PreferredStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-06,4.016B,4.016B,8.522B,,8.522B,1.244B,10.03B,3.591B,,8.539B,,1.593B,966.00M,23.64B,,,,,,,15.08B,-8.898B,6.179B,15.75B,3.456B,19.21B,,,3.451B,4.069B,32.91B,56.54B,,4.599B,,4.599B,11.88B,16.48B,,,2.095B,,2.095B,,,,18.57B,8.721B,,8.721B,,,,6.589B,1.027B,,4.258B,19.57B,38.14B,,11.37B,26.13B,14.66B,,,,,-5.275B,17.38B,,AOR,Restated
2009-03,3.272B,3.272B,8.797B,,8.797B,1.286B,9.561B,3.697B,,8.601B,,1.573B,979.00M,23.22B,,,,,,,14.79B,-8.661B,6.13B,15.23B,3.321B,18.55B,,,3.53B,3.367B,31.58B,54.80B,,4.813B,,4.813B,11.61B,16.43B,,,1.512B,,1.512B,,,,17.94B,9.315B,,9.315B,,,,6.525B,973.00M,,4.233B,20.07B,38.01B,,11.22B,25.52B,14.51B,,,,,-6.221B,15.81B,,AOR,Restated
2008-12,4.327B,4.327B,9.48B,,9.48B,1.271B,9.408B,3.634B,,8.34B,,1.551B,769.00M,24.47B,0.00,334.00M,4.681B,9.486B,,605.00M,15.11B,-8.758B,6.348B,15.36B,3.443B,18.81B,,,3.633B,3.583B,32.37B,56.84B,,5.594B,,5.594B,12.07B,17.66B,,,2.139B,,2.139B,,,,19.80B,9.337B,,9.337B,,,,6.574B,918.00M,245.00M,4.198B,20.35B,40.16B,,11.18B,25.03B,14.32B,,,-641.00M,-5.293B,-5.934B,15.76B,,AOR,Restated
2008-09,3.615B,3.615B,9.346B,,9.346B,1.363B,8.833B,3.996B,,9.011B,,1.311B,898.00M,24.18B,,,,,,,15.42B,-8.976B,6.441B,16.07B,3.484B,19.56B,,,1.276B,5.354B,32.63B,56.81B,,5.104B,,5.104B,12.49B,17.60B,,,2.259B,,2.259B,,,,19.86B,8.113B,,8.113B,,,,2.392B,962.00M,,4.403B,14.91B,34.76B,,10.97B,24.38B,13.82B,,,,,,21.08B,,,Restated
2008-06,3.442B,3.442B,10.10B,,10.10B,1.355B,3.286B,4.15B,5.233B,9.082B,,1.276B,876.00M,24.78B,,,,,,,15.64B,-9.088B,6.55B,16.62B,3.847B,20.47B,,,1.296B,5.395B,33.71B,58.49B,,5.577B,,5.577B,12.30B,17.88B,,,2.624B,,2.624B,,,,20.50B,8.106B,,8.106B,,,,,957.00M,,7.006B,15.11B,35.62B,,10.86B,23.41B,12.90B,,,,,539.00M,21.91B,,,Restated
2008-03,3.139B,3.139B,9.558B,,9.558B,1.396B,3.359B,3.974B,5.18B,9.075B,,1.271B,873.00M,23.92B,,,,,,,15.44B,-8.962B,6.477B,16.42B,3.862B,20.28B,,,1.171B,5.212B,33.14B,57.05B,,5.503B,,5.503B,12.10B,17.60B,,,2.003B,,2.003B,,,,19.60B,8.014B,,8.014B,,,,,984.00M,,6.864B,14.88B,34.48B,,10.71B,22.44B,12.16B,,,,,595.00M,21.59B,,,Restated
2007-12,2.904B,2.904B,8.844B,,8.844B,1.281B,7.536B,3.694B,,8.101B,,1.267B,955.00M,22.07B,0.00,351.00M,4.561B,9.394B,,571.00M,14.88B,-8.581B,6.296B,16.12B,3.757B,19.88B,,,1.126B,5.205B,32.50B,54.58B,,5.059B,,5.059B,11.28B,16.34B,,,1.133B,,1.133B,,,,17.47B,8.015B,,8.015B,,,,2.562B,912.00M,,4.262B,14.84B,32.31B,,10.57B,21.75B,11.34B,,,1.355B,-771.00M,584.00M,21.36B,,AOR,Restated
2007-09,2.81B,2.81B,8.999B,,8.999B,1.274B,2.82B,4.032B,4.731B,8.55B,,1.303B,899.00M,22.56B,,,,,,,14.61B,-8.556B,6.053B,15.87B,3.709B,19.58B,,,1.668B,3.635B,30.94B,53.50B,,4.977B,,4.977B,11.39B,16.37B,,,2.268B,,2.268B,,,,18.63B,7.059B,,7.059B,,,,,864.00M,,6.662B,13.72B,32.36B,,10.42B,21.00B,10.84B,,,,,-310.00M,20.28B,,,
2007-06,3.292B,3.292B,8.428B,,8.428B,1.172B,2.716B,3.892B,4.243B,7.974B,,1.33B,688.00M,21.71B,,,,,,,14.17B,-8.291B,5.875B,14.61B,3.284B,17.89B,,,1.648B,3.428B,28.84B,50.56B,,5.10B,,5.10B,10.32B,15.42B,,,1.548B,,1.548B,,,,16.97B,7.045B,,7.045B,,,,,885.00M,,6.461B,13.51B,30.48B,,10.20B,20.12B,10.34B,,,,,-790.00M,19.20B,,,
2007-03,2.481B,2.481B,7.978B,,7.978B,1.067B,2.592B,3.69B,3.912B,7.508B,,1.348B,872.00M,20.19B,,,,,,,13.86B,-8.097B,5.759B,14.30B,3.229B,17.53B,,,1.657B,3.452B,28.40B,48.58B,,4.786B,,4.786B,10.09B,14.88B,,,1.229B,,1.229B,,,,16.11B,7.035B,,7.035B,,,,,854.00M,,6.48B,13.52B,29.62B,,9.959B,19.24B,9.861B,,,,,-1.235B,18.11B,,,
2006-12,2.546B,2.546B,7.679B,,7.679B,1.082B,6.012B,2.956B,,6.657B,,1.261B,701.00M,18.84B,0.00,344.00M,4.306B,8.561B,,527.00M,13.74B,-8.013B,5.725B,14.15B,3.216B,17.36B,,,1.69B,3.52B,28.30B,47.14B,,4.263B,,4.263B,10.05B,14.31B,,,894.00M,,894.00M,,,,15.21B,7.037B,,7.037B,,,,2.926B,836.00M,,3.837B,13.80B,29.01B,,9.622B,18.75B,9.413B,,,633.00M,-2.072B,-1.439B,17.30B,,AOR,Restated
2006-09,2.914B,2.914B,7.693B,,7.693B,1.063B,2.668B,3.235B,3.572B,7.197B,,1.359B,743.00M,19.91B,,,,,,,13.66B,-8.079B,5.576B,13.83B,3.143B,16.97B,,,872.00M,6.271B,29.69B,49.60B,,4.245B,,4.245B,9.953B,14.20B,,,1.224B,,1.224B,,,,15.42B,7.067B,,7.067B,,,,,850.00M,,7.323B,14.39B,29.81B,,9.416B,18.17B,8.679B,,,,,30.00M,18.93B,,,
2006-06,2.883B,2.883B,7.81B,,7.81B,1.003B,2.58B,3.054B,3.32B,6.856B,,1.372B,700.00M,19.62B,,,,,,,13.56B,-7.969B,5.586B,13.49B,3.114B,16.61B,,,843.00M,6.51B,29.54B,49.17B,,4.34B,,4.34B,9.699B,14.04B,,,1.698B,,1.698B,,,,15.74B,7.061B,,7.061B,,,,,829.00M,,7.091B,14.15B,29.89B,,9.297B,17.43B,8.101B,,,,,-180.00M,18.45B,,,
2006-03,2.417B,2.417B,7.128B,,7.128B,955.00M,2.344B,2.917B,3.151B,6.472B,,1.446B,658.00M,18.12B,,,,,,,13.50B,-7.825B,5.677B,,16.28B,16.28B,,,788.00M,6.161B,28.91B,47.03B,,4.017B,,4.017B,9.657B,13.67B,,,2.319B,,2.319B,,,,15.99B,5.954B,,5.954B,,,,,801.00M,,6.926B,12.88B,28.87B,,8.974B,16.60B,7.789B,,,,,-429.00M,17.36B,,,
2005-12,2.247B,2.247B,7.24B,,7.24B,1.00B,4.723B,2.64B,,5.659B,,1.427B,633.00M,17.21B,0.00,356.00M,4.331B,8.06B,,581.00M,13.33B,-7.705B,5.623B,13.01B,3.059B,16.07B,,,719.00M,6.311B,28.72B,45.92B,,3.82B,,3.82B,9.22B,13.04B,,,2.305B,,2.305B,,,,15.34B,5.935B,,5.935B,,,,2.813B,778.00M,,4.063B,12.81B,28.16B,,8.793B,16.05B,7.418B,,-344.00M,20.00M,130.00M,-194.00M,16.99B,,AOR,Restated
2005-09,2.102B,2.102B,7.338B,,7.338B,1.198B,1.665B,2.804B,3.002B,5.964B,,1.468B,639.00M,17.51B,,,,,,,13.17B,-7.66B,5.513B,,15.86B,15.86B,,,1.091B,6.097B,28.56B,46.07B,,3.68B,,3.68B,9.701B,13.38B,,,1.446B,,1.446B,,,,14.83B,6.366B,,6.366B,,,,,912.00M,,8.219B,14.58B,29.41B,,8.639B,15.66B,6.999B,,,,,-1.554B,15.74B,,,
2005-06,1.985B,1.985B,7.374B,,7.374B,1.055B,1.534B,2.953B,2.855B,5.874B,,1.483B,579.00M,17.30B,,,,,,,12.78B,-7.589B,5.187B,,15.26B,15.26B,,,1.109B,5.937B,27.50B,44.79B,,3.975B,,3.975B,9.614B,13.59B,,,598.00M,,598.00M,,,,14.19B,6.615B,,6.615B,,,,,922.00M,,7.793B,14.41B,28.60B,,8.53B,15.06B,6.616B,,,,,-1.697B,15.27B,,,
2005-03,1.963B,1.963B,6.564B,,6.564B,913.00M,1.271B,2.818B,2.706B,5.298B,,1.423B,498.00M,15.75B,,,,,,,12.74B,-7.585B,5.16B,,11.99B,11.99B,,,1.383B,6.255B,24.79B,40.54B,,3.603B,,3.603B,8.528B,12.13B,,,622.00M,,622.00M,,,,12.75B,4.223B,,4.223B,,,,,927.00M,,7.932B,12.16B,24.91B,,8.283B,14.31B,6.423B,,,,,-1.47B,14.70B,,,
2004-12,2.265B,2.265B,6.315B,,6.315B,844.00M,3.998B,2.603B,,5.078B,,1.441B,571.00M,15.67B,0.00,240.00M,4.143B,7.959B,,394.00M,12.74B,-7.505B,5.231B,10.11B,2.016B,12.13B,,,1.382B,6.031B,24.77B,40.44B,,3.49B,,3.49B,8.245B,11.74B,,,1.36B,,1.36B,,,,13.10B,4.231B,,4.231B,,,,4.595B,910.00M,,3.344B,12.17B,25.26B,,8.106B,13.88B,6.312B,,-1.549B,210.00M,187.00M,-1.152B,14.27B,,AOR,Restated
2004-09,2.34B,2.34B,6.063B,,6.063B,810.00M,1.19B,2.309B,2.553B,4.622B,,1.274B,378.00M,14.68B,,,,,,,12.15B,-7.276B,4.873B,,9.666B,9.666B,,,1.217B,7.198B,22.95B,37.63B,,3.10B,,3.10B,7.765B,10.86B,,,805.00M,,805.00M,,,,11.67B,4.254B,,4.254B,,,,,837.00M,,7.832B,12.09B,23.76B,,6.928B,14.10B,6.019B,,,,,-1.974B,13.04B,,,
2004-06,2.018B,2.018B,6.00B,,6.00B,807.00M,1.08B,2.321B,2.49B,4.442B,,1.342B,361.00M,14.16B,,,,,,,12.10B,-7.253B,4.847B,,9.644B,9.644B,,,1.164B,6.874B,22.53B,36.69B,,3.269B,,3.269B,7.414B,10.68B,,,718.00M,,718.00M,,,,11.40B,4.247B,,4.247B,,,,,812.00M,,7.752B,12.00B,23.40B,,6.80B,13.58B,5.808B,,,,,-2.09B,12.48B,,,
2004-03,1.731B,1.731B,5.365B,,5.365B,819.00M,1.234B,2.38B,2.432B,4.495B,,1.374B,407.00M,13.37B,,,,,,,12.23B,-7.228B,5.003B,,9.515B,9.515B,,,1.29B,6.748B,22.56B,35.93B,,2.991B,,2.991B,7.481B,10.47B,,,744.00M,,744.00M,,,,11.22B,4.261B,,4.261B,,,,,798.00M,,7.568B,11.83B,23.04B,,6.748B,12.92B,5.551B,,,,,-2.027B,12.08B,,,
2003-12,1.623B,1.623B,5.187B,,5.187B,743.00M,3.481B,2.221B,,4.42B,,1.372B,388.00M,12.99B,0.00,217.00M,4.026B,7.597B,,242.00M,12.08B,-7.002B,5.08B,9.329B,1.895B,11.22B,,,1.283B,4.697B,22.28B,35.27B,,2.612B,,2.612B,7.265B,9.877B,,,1.044B,,1.044B,,,,10.92B,4.257B,,4.257B,,,,4.752B,709.00M,,2.928B,11.94B,22.86B,,6.587B,12.53B,5.335B,,-1.581B,-304.00M,86.00M,-1.799B,11.71B,,AOR,Restated
2003-09,1.421B,1.421B,4.971B,,4.971B,756.00M,1.293B,2.221B,2.27B,3.963B,,1.37B,419.00M,12.14B,,,,,,,11.69B,-6.787B,4.899B,,9.135B,9.135B,,,1.494B,6.39B,21.92B,34.06B,,2.695B,,2.695B,6.458B,9.153B,,,806.00M,,806.00M,,,,9.959B,4.65B,,4.65B,,,,,660.00M,426.00M,8.248B,13.32B,23.28B,,5.756B,12.14B,5.241B,,,,,-2.533B,10.12B,,,
2003-06,2.415B,2.415B,4.653B,,4.653B,778.00M,1.089B,2.373B,2.21B,3.911B,,1.378B,352.00M,12.71B,,,,,,,11.23B,-6.712B,4.521B,,7.068B,7.068B,,,1.575B,5.034B,18.20B,30.91B,,2.40B,,2.40B,5.721B,8.121B,,,262.00M,,262.00M,,,,8.383B,4.63B,,4.63B,,,,,637.00M,431.00M,7.30B,12.36B,20.74B,,5.621B,11.67B,5.196B,,,,,-2.572B,9.526B,,,
2003-03,1.927B,1.927B,4.343B,,4.343B,770.00M,1.083B,2.456B,2.141B,3.963B,,1.39B,306.00M,11.93B,,,,,,,10.93B,-6.431B,4.495B,,7.004B,7.004B,,,1.62B,4.671B,17.79B,29.72B,,2.291B,,2.291B,5.679B,7.97B,,,272.00M,,272.00M,,,,8.242B,4.632B,,4.632B,,,,,594.00M,426.00M,7.145B,12.20B,20.44B,,5.512B,11.19B,5.151B,,,,,-2.873B,8.68B,,,
2002-12,2.08B,2.08B,4.277B,,4.277B,740.00M,3.203B,2.329B,,3.803B,,1.431B,244.00M,11.84B,0.00,196.00M,3.552B,6.904B,,217.00M,10.87B,-6.282B,4.587B,6.981B,,6.981B,,,1.678B,4.113B,17.36B,29.19B,,2.095B,,2.095B,5.449B,7.544B,,,241.00M,,241.00M,,,,7.785B,4.632B,,4.632B,,,,5.088B,589.00M,718.00M,2.027B,12.46B,20.25B,,5.447B,10.84B,4.951B,,-2.151B,-832.00M,6.00M,-2.977B,8.355B,,AOR,Restated
2002-09,2.301B,2.301B,4.39B,,4.39B,753.00M,1.044B,2.542B,2.095B,3.967B,,1.287B,284.00M,12.23B,,,,,,,10.72B,-6.20B,4.519B,,6.937B,6.937B,,,,4.807B,16.26B,28.49B,,2.155B,,2.155B,5.782B,7.937B,,,350.00M,,350.00M,,,,8.287B,4.667B,,4.667B,,,,,,426.00M,5.436B,10.53B,18.82B,,5.38B,10.43B,4.648B,,,,,-1.488B,9.676B,,,
2002-06,1.902B,1.902B,4.591B,,4.591B,792.00M,1.205B,2.607B,2.055B,4.17B,,1.331B,319.00M,12.31B,,,,,,,10.78B,-6.189B,4.593B,,6.933B,6.933B,,,,4.543B,16.07B,28.38B,,2.498B,,2.498B,5.855B,8.353B,,,337.00M,,337.00M,,,,8.69B,4.651B,,4.651B,,,,,,426.00M,5.452B,10.53B,19.22B,,5.233B,9.955B,4.625B,,,,,-1.40B,9.163B,,,
2002-03,1.337B,1.337B,4.227B,,4.227B,778.00M,1.195B,2.348B,2.098B,4.143B,,1.348B,304.00M,11.36B,,,,,,,10.50B,-5.965B,4.536B,,6.81B,6.81B,,,,4.302B,15.65B,27.01B,,2.232B,,2.232B,5.605B,7.837B,,,473.00M,,473.00M,,,,8.31B,4.144B,,4.144B,,,,,,428.00M,5.479B,10.05B,18.36B,,5.196B,9.471B,4.502B,,,,,-1.519B,8.646B,,,
2001-12,1.558B,1.558B,4.141B,,4.141B,738.00M,3.314B,2.159B,,3.966B,,1.378B,261.00M,11.30B,0.00,188.00M,3.373B,6.524B,,320.00M,10.40B,-5.856B,4.549B,6.802B,,6.802B,,,1.205B,3.15B,15.71B,27.01B,,2.156B,,2.156B,5.534B,7.69B,,,722.00M,,722.00M,,,,8.412B,4.237B,,4.237B,,,,2.703B,550.00M,429.00M,2.31B,9.679B,18.09B,,5.09B,9.149B,4.404B,,,,,-1.466B,8.369B,,AOR,Restated
2001-09,1.365B,1.365B,4.517B,,4.517B,760.00M,1.261B,2.425B,2.045B,4.205B,,1.354B,308.00M,11.75B,,,,,,,10.54B,-6.016B,4.52B,,6.803B,6.803B,,,,3.538B,14.86B,26.61B,,2.319B,,2.319B,5.715B,8.034B,,,1.367B,,1.367B,,,,9.401B,3.874B,,3.874B,,,,,,425.00M,4.478B,8.777B,18.18B,,4.937B,8.921B,4.482B,,,,,-944.00M,8.432B,,,
2001-06,957.00M,957.00M,4.437B,,4.437B,720.00M,1.317B,2.288B,1.951B,4.042B,,1.363B,297.00M,11.10B,,,,,,,10.58B,-6.012B,4.567B,,6.696B,6.696B,,,,3.664B,14.93B,26.02B,,2.444B,,2.444B,5.669B,8.113B,,,1.066B,,1.066B,,,,9.179B,5.51B,,5.51B,,,,,,424.00M,2.761B,8.695B,17.87B,,4.911B,8.479B,4.311B,,,,,-930.00M,8.149B,,,
2001-03,780.00M,780.00M,4.41B,,4.41B,694.00M,1.278B,2.299B,1.826B,4.005B,,1.42B,347.00M,10.96B,,,,,,,10.43B,-5.919B,4.507B,,6.778B,6.778B,,,,3.44B,14.72B,25.69B,,2.333B,,2.333B,5.905B,8.238B,,,914.00M,,914.00M,,,,9.152B,3.96B,,3.96B,,,,,,427.00M,4.41B,8.797B,17.95B,,4.799B,8.035B,4.149B,,,,,-947.00M,7.738B,,,
2000-12,748.00M,748.00M,4.445B,,4.445B,738.00M,3.028B,2.099B,,3.756B,,1.439B,274.00M,10.66B,0.00,193.00M,3.403B,6.292B,,467.00M,10.36B,-5.868B,4.487B,6.771B,,6.771B,,,1.065B,2.379B,14.70B,25.36B,,2.261B,,2.261B,5.748B,8.009B,,,1.335B,,1.335B,,,,9.344B,3.476B,,3.476B,,,,1.636B,497.00M,432.00M,2.317B,7.861B,17.20B,,4.665B,7.743B,3.955B,,,,,-791.00M,7.662B,,,Restated
2000-09,818.00M,818.00M,4.13B,,4.13B,,,,,3.704B,,,1.561B,10.21B,,,,,,,10.18B,-5.886B,4.293B,,6.071B,6.071B,,,,3.58B,13.94B,24.16B,,2.078B,,2.078B,,2.078B,,,1.01B,,1.01B,,,5.432B,8.52B,3.232B,,3.232B,,,,,,,4.545B,7.777B,16.30B,,4.918B,7.468B,3.836B,437.00M,,,,-690.00M,7.86B,,,
2000-06,813.00M,813.00M,4.382B,,4.382B,,,,,3.599B,,,1.619B,10.41B,,,,,,,10.12B,-5.885B,4.235B,,6.121B,6.121B,,,,3.547B,13.90B,24.32B,,2.13B,,2.13B,,2.13B,,,1.18B,,1.18B,,,5.65B,8.96B,3.242B,,3.242B,,,,,,,4.544B,7.786B,16.75B,,4.804B,7.088B,3.695B,437.00M,,,,-627.00M,7.57B,,,
2000-03,657.00M,657.00M,4.298B,,4.298B,,,,,3.641B,,,1.773B,10.37B,,,,,,,10.24B,-5.895B,4.343B,,5.752B,5.752B,,,,3.737B,13.83B,24.20B,,2.08B,,2.08B,,2.08B,,,1.019B,,1.019B,,,5.859B,8.958B,3.246B,,3.246B,,,,,,,4.518B,7.764B,16.72B,,4.744B,6.707B,3.478B,443.00M,,,,-494.00M,7.479B,,,
1999-12,957.00M,957.00M,4.337B,,4.337B,,,,,3.504B,,,1.829B,10.63B,,,,,,,10.46B,-5.995B,4.46B,,5.641B,5.641B,,,,3.638B,13.74B,24.37B,,1.957B,,1.957B,,1.957B,,,1.235B,,1.235B,,,6.023B,9.215B,3.086B,,3.086B,,,,,527.00M,,3.972B,7.058B,16.27B,,4.676B,6.463B,3.182B,449.00M,,-563.00M,172.00M,-391.00M,7.566B,,,
1999-09,1.115B,1.115B,4.17B,,4.17B,,,,,3.504B,,,1.527B,10.32B,,,,,,,10.18B,-6.009B,4.169B,,5.338B,5.338B,,,,3.257B,12.76B,23.08B,,1.788B,,1.788B,,1.788B,,,678.00M,,678.00M,,,5.675B,8.141B,2.844B,,2.844B,,,,,,,4.544B,7.388B,15.53B,,4.633B,6.516B,2.914B,449.00M,,,,-684.00M,7.551B,,,
1999-06,885.00M,885.00M,4.142B,,4.142B,,,,,3.49B,,,1.472B,9.989B,,,,,,,10.10B,-5.952B,4.145B,,4.839B,4.839B,,,,3.054B,12.04B,22.03B,,1.827B,,1.827B,,1.827B,,,399.00M,,399.00M,,,5.472B,7.698B,2.11B,,2.11B,,,,,,,4.451B,6.561B,14.26B,,451.00M,6.553B,,451.00M,,,,,7.768B,,,
1999-03,657.00M,657.00M,3.418B,,3.418B,,,,,3.302B,,,2.681B,10.06B,,,,,,,9.495B,-6.034B,3.461B,,1.404B,1.404B,,,,2.989B,7.854B,17.91B,,1.648B,,1.648B,,1.648B,,,641.00M,,641.00M,,,5.092B,7.381B,1.553B,,1.553B,,,,,,,4.025B,5.578B,12.96B,,454.00M,5.595B,,454.00M,,,,,4.953B,,,
1998-12,550.00M,550.00M,3.417B,,3.417B,,,,,3.191B,,,2.67B,9.828B,,,,,,,9.549B,-5.994B,3.555B,,1.417B,1.417B,,,,2.968B,7.94B,17.77B,,1.86B,,1.86B,,1.86B,,,603.00M,,603.00M,,,4.719B,7.182B,1.57B,,1.57B,,,,,421.00M,,3.761B,5.331B,12.51B,,3.164B,5.411B,3.117B,456.00M,,-487.00M,-137.00M,-624.00M,4.834B,,,
1998-09,663.00M,663.00M,,,4.351B,,,,,3.11B,,,1.578B,9.702B,,,,,,,10.90B,-6.689B,4.208B,,,,,,,4.378B,8.586B,18.29B,,2.026B,,2.026B,,2.026B,,,500.00M,,500.00M,,,5.563B,8.089B,1.605B,,1.605B,,,,,,,3.762B,5.367B,13.46B,,455.00M,5.229B,,455.00M,,,,,4.832B,,,
1998-06,718.00M,718.00M,,,4.259B,,,,,3.073B,,,1.563B,9.613B,,,,,,,10.62B,-6.491B,4.131B,,,,,,,3.714B,7.845B,17.46B,,2.043B,,2.043B,,2.043B,,,321.00M,,321.00M,,,5.318B,7.682B,1.221B,,1.221B,,,,,,,3.812B,5.033B,12.72B,,452.00M,4.981B,,452.00M,,,,,4.743B,,,
1998-03,703.00M,703.00M,,,4.09B,,,,,3.307B,,,1.499B,9.599B,,,,,,,10.54B,-6.406B,4.129B,,,,,,,3.612B,7.741B,17.34B,,1.984B,,1.984B,,1.984B,,,308.00M,,308.00M,,,5.40B,7.692B,1.255B,,1.255B,,,,,,,3.705B,4.96B,12.65B,,452.00M,4.725B,,452.00M,,,,,4.688B,,,
1997-12,655.00M,655.00M,3.742B,,3.742B,,,,,3.113B,,,1.508B,9.018B,,,,,,,10.47B,-6.345B,4.127B,,982.00M,982.00M,,,,2.313B,7.422B,16.44B,,1.889B,,1.889B,,1.889B,,,312.00M,,312.00M,,,4.912B,7.113B,1.275B,,1.275B,133.00M,,133.00M,,351.00M,,3.045B,4.453B,11.57B,,450.00M,4.558B,,450.00M,,,,,4.523B,,,
1997-09,1.283B,1.283B,,,3.859B,,,,,3.346B,,,1.394B,9.882B,,,,,,,10.77B,-6.541B,4.225B,,,,,,,2.814B,7.039B,16.92B,,1.896B,,1.896B,,1.896B,,,318.00M,,318.00M,,,5.257B,7.471B,1.363B,,1.363B,,,,,,,2.923B,4.286B,11.76B,,866.00M,4.398B,,866.00M,,,,,5.164B,,,
1997-06,1.413B,1.413B,,,3.898B,,,,,3.327B,,,1.423B,10.06B,,,,,,,10.69B,-6.449B,4.245B,,,,,,,2.725B,6.97B,17.03B,,2.032B,,2.032B,,2.032B,,,352.00M,,352.00M,,,5.26B,7.644B,1.381B,,1.381B,,,,,,,3.232B,4.613B,12.26B,,441.00M,4.187B,,441.00M,,,,,4.774B,,,
1997-03,1.265B,1.265B,,,3.532B,,,,,3.565B,,,1.395B,9.757B,,,,,,,10.60B,-6.34B,4.255B,,,,,,,2.677B,6.932B,16.69B,,2.022B,,2.022B,,2.022B,,,347.00M,,347.00M,,,5.096B,7.465B,1.398B,,1.398B,,,,,,,3.148B,4.546B,12.01B,,439.00M,3.973B,,439.00M,,,,,4.678B,,,
1996-12,1.127B,1.127B,3.717B,,3.717B,,,,,3.342B,,,1.425B,9.611B,,,,,,,10.66B,-6.29B,4.371B,,,,,,,2.763B,7.134B,16.74B,,2.186B,,2.186B,,2.186B,,,348.00M,,348.00M,,,4.856B,7.39B,1.437B,,1.437B,155.00M,,155.00M,,478.00M,,2.545B,4.137B,11.53B,,434.00M,3.849B,,434.00M,,,,,4.74B,,,
1996-09,1.259B,1.259B,,,3.853B,,,,,3.154B,,,1.052B,9.318B,,,,,,,10.60B,-6.323B,4.28B,,,,,,,2.816B,7.096B,16.41B,,1.991B,,1.991B,,1.991B,,,374.00M,,374.00M,,,4.639B,7.004B,1.469B,,1.469B,,,,,,,3.255B,4.724B,11.73B,,426.00M,3.699B,,426.00M,,,,,4.686B,,,
1996-06,1.075B,1.075B,,,3.772B,,,,,3.164B,,,1.203B,9.214B,,,,,,,10.46B,-6.174B,4.283B,,,,,,,2.686B,6.969B,16.18B,,1.986B,,1.986B,,1.986B,,,247.00M,,247.00M,,,4.543B,6.776B,1.543B,,1.543B,,,,,,,3.304B,4.847B,11.62B,,417.00M,3.522B,,417.00M,,,,,4.56B,,,
1996-03,1.088B,1.088B,,,3.495B,,,,,3.259B,,,1.327B,9.169B,,,,,,,10.40B,-6.063B,4.34B,,,,,,,2.517B,6.857B,16.03B,,1.951B,,1.951B,,1.951B,,,411.00M,,411.00M,,,4.231B,6.593B,1.641B,,1.641B,,,,,,,3.311B,4.952B,11.54B,,408.00M,3.339B,,408.00M,,,,,4.481B,,,
1995-12,900.00M,900.00M,3.682B,,3.682B,,,,,2.954B,,,1.416B,8.952B,,,,,,,10.33B,-5.906B,4.42B,,,,,,,2.586B,7.006B,15.96B,,2.084B,,2.084B,,2.084B,,,392.00M,,392.00M,,,4.183B,6.659B,1.649B,,1.649B,130.00M,,130.00M,,469.00M,,2.632B,4.411B,11.07B,,398.00M,3.252B,,398.00M,,,,,4.419B,,,
1995-09,904.00M,904.00M,,,3.713B,,,,,2.957B,,,1.062B,8.636B,,,,,,,10.32B,-5.967B,4.349B,,,,,,,2.756B,7.105B,15.74B,,1.851B,,1.851B,,1.851B,,,357.00M,,357.00M,,,4.15B,6.358B,1.707B,,1.707B,,,,,,,3.338B,5.045B,11.40B,,386.00M,3.143B,,386.00M,,,,,4.338B,,,
1995-06,755.00M,755.00M,,,3.566B,,,,,3.148B,,,1.131B,8.60B,,,,,,,10.40B,-5.944B,4.454B,,,,,,,2.772B,7.226B,15.83B,,1.858B,,1.858B,,1.858B,,,486.00M,,486.00M,,,4.096B,6.44B,1.753B,,1.753B,,,,,,,3.334B,5.087B,11.53B,,371.00M,304.00M,,371.00M,,,,,4.299B,,,
