,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2011-09,2.547B,2.547B,1.024B,,1.024B,,79.00M,-79.00M,,1.024B,79.00M,-79.00M,117.00M,-79.00M,155.00M,-6.00M,161.00M,-8.00M,,,,153.00M,161.00M,,234.00M,,0.53,-0.03,,0.53,0.50,,0.50,-0.03,,0.50,0.47,,304.78M,312.00M,0.05,,AOR,Restated
2011-06,2.807B,2.807B,674.00M,,674.00M,,72.00M,-72.00M,,674.00M,72.00M,-72.00M,122.00M,-72.00M,409.00M,105.00M,304.00M,0.00,,,,304.00M,304.00M,,481.00M,,0.98,0.00,,0.98,0.98,,0.95,0.00,,0.95,0.95,,311.39M,319.92M,0.05,,AOR,Restated
2011-03,2.718B,2.718B,,,,,72.00M,-72.00M,,,72.00M,-72.00M,120.00M,-72.00M,429.00M,115.00M,314.00M,0.00,,,,314.00M,314.00M,,501.00M,,1.00,0.00,,1.00,1.00,,0.97,0.00,,0.97,0.97,,315.01M,322.86M,0.05,,AOR,Restated
2010-12,2.67B,2.67B,,,,,79.00M,-113.00M,,,79.00M,-113.00M,-262.00M,-113.00M,153.00M,36.00M,117.00M,0.00,,,-1.00M,117.00M,117.00M,,232.00M,,0.36,0.00,,0.36,0.36,,0.36,0.00,,0.36,0.36,,316.43M,324.31M,0.05,,AOR,Restated
2010-09,2.613B,2.613B,,,,,74.00M,-74.00M,,,74.00M,-74.00M,112.00M,-74.00M,303.00M,55.00M,248.00M,-2.00M,,,,246.00M,248.00M,,377.00M,,0.79,-0.01,,0.79,0.78,,0.76,-0.01,,0.76,0.75,,316.73M,325.68M,0.01,,AOR,Restated
2010-06,2.605B,2.605B,,,,,69.00M,-69.00M,,,69.00M,-69.00M,117.00M,-69.00M,330.00M,78.00M,252.00M,3.00M,,,149.00M,255.00M,252.00M,,399.00M,,0.34,0.01,,0.34,0.35,,0.32,0.01,,0.32,0.33,,304.48M,314.61M,0.01,,AOR,Restated
2010-03,2.527B,2.527B,,,,,68.00M,-68.00M,,,68.00M,-68.00M,108.00M,-68.00M,348.00M,93.00M,255.00M,28.00M,,,18.00M,283.00M,255.00M,,416.00M,,0.79,0.09,,0.79,0.88,,0.76,0.09,,0.76,0.85,,302.22M,312.09M,0.01,,AOR,Restated
2009-12,2.403B,2.403B,,,,-128.00M,68.00M,-68.00M,,-128.00M,68.00M,-68.00M,112.00M,-68.00M,133.00M,35.00M,98.00M,4.00M,,,19.00M,102.00M,192.32M,,201.00M,,0.34,0.02,,0.6521,0.36,,0.34,0.02,,0.6425,0.36,,302.17M,311.79M,0.01,,AOR,Restated
2009-09,2.082B,2.082B,,,,1.00M,68.00M,-68.00M,,1.00M,68.00M,-68.00M,102.00M,-68.00M,62.00M,-19.00M,81.00M,72.00M,,,16.00M,153.00M,80.35M,-19.00M,130.00M,,0.21,0.24,,0.2078,0.45,,0.21,0.23,,0.2079,0.44,,301.80M,310.04M,0.01,,AOR,Restated
2009-06,1.883B,1.883B,,,,1.00M,61.00M,-61.00M,,1.00M,61.00M,-61.00M,104.00M,-61.00M,-53.00M,-46.00M,-7.00M,-154.00M,,,,-161.00M,-7.65M,-18.00M,8.00M,,-0.03,-0.59,,-0.0325,-0.62,,-0.03,-0.59,,-0.0325,-0.62,,260.09M,262.41M,0.01,,AOR,Restated
