,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-09,207.21M,207.21M,449.70M,,449.70M,107.01M,,360.66M,53.60M,521.26M,,36.40M,,1.215B,,,,,,,,2.365B,-1.331B,1.034B,287.50M,175.14M,462.63M,,,,310.57M,1.807B,3.022B,192.21M,,,192.21M,139.89M,332.10M,,24.61M,,24.61M,,,,20.70M,377.41M,,944.03M,,944.03M,123.47M,,123.47M,,,322.92M,1.390B,1.768B,0.912M,1.170B,6.198M,,,76.36M,1.254B
2008-06,168.48M,168.48M,379.76M,61.73M,441.50M,100.48M,,404.94M,53.39M,558.82M,,35.35M,,1.204B,,,,,,,,2.394B,-1.331B,1.063B,296.29M,180.90M,477.19M,,,,324.40M,1.865B,3.069B,215.34M,,,215.34M,167.80M,383.14M,,21.17M,,21.17M,,,,25.67M,429.99M,,869.84M,,869.84M,134.03M,,134.03M,,,326.62M,1.330B,1.760B,0.915M,1.125B,14.77M,,,167.93M,1.309B
2008-03,135.13M,135.13M,472.16M,,472.16M,88.97M,,360.53M,52.40M,501.90M,,34.26M,,1.143B,,,,,,,,2.374B,-1.309B,1.065B,287.88M,171.90M,459.78M,,,,307.40M,1.832B,2.975B,223.00M,,,223.00M,145.16M,368.16M,,19.28M,,19.28M,,,,21.19M,408.64M,,861.06M,,861.06M,125.72M,,125.72M,,,330.65M,1.317B,1.726B,0.914M,1.074B,9.03M,,,164.98M,1.249B
2007-12,130.55M,130.55M,425.36M,,425.36M,73.58M,,348.27M,50.97M,472.83M,15.84M,8.86M,,1.053B,0.00,102.90M,186.70M,1.918B,58.55M,48.85M,,2.315B,-1.276B,1.039B,270.18M,171.35M,441.54M,,,26.94M,269.99M,1.777B,2.830B,198.82M,,,198.82M,155.36M,354.18M,,16.63M,,16.63M,,,,32.11M,402.92M,,707.31M,,707.31M,107.09M,,107.09M,,54.36M,280.47M,1.095B,1.498B,0.947M,1.023B,154.45M,169.82M,-69.93M,99.88M,1.278B
2007-09,101.28M,101.28M,435.19M,,435.19M,73.70M,,325.30M,47.30M,446.30M,,28.61M,,1.011B,,,,,,,,2.276B,-1.252B,1.024B,263.24M,172.76M,436.00M,,,,253.94M,1.714B,2.725B,181.94M,,,181.94M,161.30M,343.24M,,18.77M,,18.77M,,,,39.25M,401.26M,,679.73M,,679.73M,88.64M,,88.64M,,,339.75M,1.108B,1.509B,0.957M,974.35M,197.37M,,,42.92M,1.216B
2007-06,200.41M,200.41M,388.36M,,388.36M,63.47M,,301.41M,45.04M,409.91M,,30.13M,,1.029B,,,,,,,,2.210B,-1.220B,989.88M,248.41M,146.31M,394.72M,,,,251.45M,1.636B,2.665B,176.90M,,,176.90M,132.34M,309.24M,,18.39M,,18.39M,,,,25.91M,353.53M,,776.86M,,776.86M,100.04M,,100.04M,,,322.40M,1.199B,1.553B,0.955M,915.26M,189.61M,,,6.221M,1.112B
2007-03,125.02M,125.02M,350.77M,82.23M,433.00M,64.46M,,280.94M,45.12M,390.52M,,32.58M,,981.10M,,,,,,,,2.182B,-1.195B,986.89M,253.41M,148.67M,402.08M,,,,239.87M,1.629B,2.610B,200.13M,,,200.13M,135.20M,335.33M,,7.181M,,7.181M,,,,26.18M,368.69M,,734.53M,,734.53M,96.87M,,96.87M,,,325.46M,1.157B,1.526B,0.956M,881.47M,204.57M,,,-2.603M,1.084B
2006-12,149.50M,149.50M,400.05M,,400.05M,51.68M,,282.63M,43.99M,378.30M,11.53M,21.47M,,960.85M,0.00,103.19M,167.41M,1.760B,58.06M,80.98M,,2.169B,-1.189B,980.58M,251.10M,151.95M,403.05M,,,13.47M,172.41M,1.570B,2.530B,202.49M,,,202.49M,159.82M,362.31M,,50.73M,,50.73M,,,,69.91M,482.95M,,681.86M,,681.86M,100.87M,,100.87M,,39.53M,197.06M,979.79M,1.463B,0.949M,838.16M,199.04M,88.95M,-99.01M,-10.06M,1.028B
2006-09,89.58M,89.58M,384.72M,45.39M,430.11M,72.55M,,268.63M,44.62M,385.80M,,26.76M,,932.25M,,,,,,,,2.131B,-1.167B,964.35M,242.72M,153.17M,395.89M,,,,320.21M,1.680B,2.613B,209.37M,,,209.37M,139.24M,348.61M,,51.74M,,51.74M,,,,16.55M,416.90M,,733.25M,,733.25M,196.22M,,196.22M,,,236.64M,1.166B,1.583B,0.473M,783.73M,200.06M,,,45.45M,1.030B
2006-06,99.00M,99.00M,372.68M,24.96M,397.65M,70.41M,,296.82M,48.49M,415.72M,,20.74M,,933.10M,,,,,,,,2.269B,-1.283B,986.49M,250.99M,154.11M,405.09M,,,,317.46M,1.709B,2.642B,212.26M,,,212.26M,124.50M,336.76M,,51.56M,,51.56M,,,,31.31M,419.63M,,748.27M,,748.27M,214.11M,,214.11M,,,229.84M,1.192B,1.612B,0.473M,789.96M,198.99M,,,40.86M,1.030B
2006-03,67.10M,67.10M,407.97M,,407.97M,88.69M,,277.93M,37.33M,403.95M,,20.73M,,899.75M,,,,,,,,2.228B,-1.254B,974.07M,243.72M,153.92M,397.64M,,,,310.79M,1.682B,2.582B,208.51M,,,208.51M,114.37M,322.88M,,51.82M,,51.82M,,,,22.58M,397.29M,,776.35M,,776.35M,205.38M,,205.38M,,,231.36M,1.213B,1.610B,0.473M,754.46M,193.83M,,,23.11M,971.86M
2005-12,58.57M,58.57M,351.99M,35.47M,387.46M,72.52M,,292.16M,46.35M,411.02M,,16.61M,,873.66M,0.00,90.09M,167.05M,1.890B,,47.80M,,2.195B,-1.228B,966.82M,238.42M,156.04M,394.47M,,,,320.67M,1.682B,2.556B,222.14M,,,222.14M,118.56M,340.71M,,57.56M,,57.56M,,,,23.65M,421.92M,,775.89M,,775.89M,202.32M,,202.32M,,,225.21M,1.203B,1.625B,0.935M,727.87M,189.42M,,,12.05M,930.28M
2005-09,47.86M,47.86M,319.65M,34.96M,354.61M,95.73M,,298.92M,36.86M,431.52M,,20.73M,,854.72M,,,,,,,,2.194B,-1.212B,982.76M,,409.66M,409.66M,,,,314.79M,1.707B,2.562B,198.30M,,,198.30M,106.77M,305.06M,,59.30M,,59.30M,,,,66.99M,431.35M,,820.61M,,820.61M,175.30M,,175.30M,,,227.05M,1.223B,1.654B,0.466M,703.15M,180.56M,,,23.43M,907.60M
2005-06,98.29M,98.29M,309.71M,37.17M,346.88M,91.22M,,274.78M,30.83M,396.83M,,15.57M,,857.56M,,,,,,,,2.068B,-1.186B,882.31M,,434.96M,434.96M,,,,351.11M,1.668B,2.526B,184.44M,,,184.44M,102.53M,286.96M,,45.05M,,45.05M,,,,68.74M,400.75M,,839.24M,,839.24M,193.66M,,193.66M,,,200.07M,1.233B,1.634B,0.466M,676.86M,178.70M,,,36.19M,892.21M
2005-03,73.78M,73.78M,374.61M,,374.61M,83.96M,,254.66M,31.05M,369.67M,,23.85M,,841.91M,,,,,,,,2.091B,-1.182B,909.46M,,407.79M,407.79M,,,,344.21M,1.661B,2.503B,204.29M,,,204.29M,91.66M,295.95M,,45.05M,,45.05M,,,,50.12M,391.12M,,820.46M,,820.46M,210.89M,,210.89M,,,209.34M,1.241B,1.632B,0.466M,659.25M,175.69M,,,36.16M,871.57M
2004-12,46.39M,46.39M,300.01M,41.54M,341.55M,59.20M,,248.25M,31.31M,338.76M,,20.71M,,747.41M,,,,,,,,2.065B,-1.169B,895.98M,,404.13M,404.13M,,,,395.22M,1.695B,2.443B,202.41M,,,202.41M,88.05M,290.46M,,45.05M,,45.05M,,,,38.24M,373.75M,,899.58M,,899.58M,248.75M,,248.75M,,,209.29M,1.358B,1.731B,0.419M,641.91M,22.84M,,,46.20M,711.38M
2004-09,60.82M,60.82M,373.70M,,373.70M,58.12M,,201.72M,29.55M,289.39M,,,16.46M,740.37M,,,,,,,,2.020B,-1.131B,889.17M,,360.79M,360.79M,,,,438.81M,1.689B,2.429B,191.36M,,,191.36M,98.79M,290.16M,,495.05M,,495.05M,,,,32.19M,817.39M,,458.22M,,458.22M,236.15M,,236.15M,,,253.78M,948.15M,1.766B,0.417M,628.56M,9.432M,,,25.20M,663.60M
2004-06,38.65M,38.65M,238.67M,,238.67M,23.48M,,142.36M,25.98M,191.81M,,13.52M,,482.66M,,,,,,,,1.617B,-1.107B,509.87M,,120.64M,120.64M,,,,267.92M,898.42M,1.381B,118.31M,,,118.31M,74.19M,192.50M,,0.044M,,0.044M,,,,44.70M,237.25M,,176.49M,,176.49M,134.33M,,134.33M,,,178.04M,488.86M,726.10M,0.416M,627.74M,6.906M,,,19.91M,654.98M
2004-03,50.52M,50.52M,233.85M,,233.85M,21.36M,,137.24M,27.87M,186.47M,,16.66M,,487.50M,,,,,,,,1.603B,-1.090B,513.51M,,120.78M,120.78M,,,,263.37M,897.66M,1.385B,108.18M,,,108.18M,70.60M,178.78M,,0.047M,,0.047M,,,,37.96M,216.78M,,217.18M,,217.18M,139.60M,,139.60M,,,171.17M,527.96M,744.74M,0.415M,613.01M,5.136M,,,21.86M,640.42M
2003-12,35.17M,35.17M,226.03M,,226.03M,22.38M,,154.59M,27.72M,204.70M,,15.47M,,481.37M,0.00,61.15M,107.00M,1.413B,,23.99M,,1.605B,-1.078B,527.00M,,118.58M,118.58M,,,,260.33M,905.92M,1.387B,111.43M,,,111.43M,70.61M,182.04M,,0.19M,,0.19M,,,,27.84M,210.07M,,228.39M,,228.39M,143.66M,,143.66M,,,168.94M,541.00M,751.07M,0.412M,611.43M,0.736M,,,23.64M,636.22M
2003-09,20.79M,20.79M,212.83M,9.685M,222.51M,21.65M,,139.94M,24.42M,186.01M,,20.32M,,449.64M,,,,,,,,1.582B,-1.051B,531.54M,,112.32M,112.32M,,,,232.75M,876.61M,1.326B,95.18M,,,95.18M,75.63M,170.81M,,0.178M,,0.178M,,,,29.39M,200.38M,,226.29M,,226.29M,135.86M,,135.86M,,,160.73M,522.88M,723.26M,0.411M,594.29M,0.303M,,,7.987M,602.99M
2003-06,49.99M,49.99M,193.01M,11.28M,204.29M,21.86M,,127.84M,23.95M,173.65M,,15.83M,,443.76M,,,,,,,,1.546B,-1.030B,515.97M,,59.65M,59.65M,,,,229.80M,805.42M,1.249B,85.60M,,,85.60M,62.48M,148.08M,,0.176M,,0.176M,,,,34.33M,182.59M,,175.18M,,175.18M,134.50M,,134.50M,,,162.51M,472.19M,654.78M,0.412M,587.61M,0.128M,,,6.25M,594.40M
2003-03,40.29M,40.29M,190.97M,11.08M,202.06M,21.75M,,117.73M,23.84M,163.32M,,18.69M,,424.35M,,,,,,,,1.521B,-1.005B,516.23M,,60.69M,60.69M,,,,224.50M,801.42M,1.226B,81.98M,,,81.98M,61.27M,143.24M,,0.168M,,0.168M,,,,39.24M,182.65M,,184.41M,,184.41M,130.68M,,130.68M,,1.719M,156.35M,471.44M,654.09M,0.412M,570.80M,0.016M,,,-1.264M,569.96M
2002-12,47.78M,47.78M,193.57M,,193.57M,21.38M,,116.97M,23.26M,161.62M,,17.53M,,420.51M,0.00,55.96M,104.55M,1.322B,,15.23M,,1.498B,-978.92M,519.07M,,35.17M,35.17M,,,,225.65M,779.89M,1.200B,75.09M,,,75.09M,65.05M,140.14M,,0.343M,,0.343M,,,,23.54M,164.02M,,190.28M,,190.28M,122.53M,,122.53M,,,149.22M,462.04M,626.06M,0.417M,576.15M,2.286M,,,-4.514M,574.34M
2002-09,36.09M,36.09M,187.61M,,187.61M,19.31M,,112.04M,27.69M,159.04M,,21.36M,,404.10M,,,,,,,,1.474B,-954.72M,518.82M,28.93M,5.643M,34.57M,,,,198.00M,751.39M,1.155B,74.19M,,,74.19M,67.05M,141.24M,,0.323M,,0.323M,,,,33.99M,175.55M,,177.63M,,177.63M,115.57M,,115.57M,,,131.59M,424.79M,600.34M,0.417M,560.49M,2.16M,,,-7.918M,555.15M
2002-06,33.40M,33.40M,189.61M,,189.61M,20.32M,,117.92M,24.86M,163.10M,,16.66M,,402.78M,,,,,,,,1.472B,-940.18M,531.36M,,35.22M,35.22M,,,,192.62M,759.19M,1.162B,70.54M,,,70.54M,62.33M,132.87M,,198.84M,,198.84M,,,,29.88M,361.58M,,12.07M,,12.07M,115.10M,,115.10M,,,131.82M,258.99M,620.58M,0.417M,545.97M,2.119M,,,-7.12M,541.39M
2002-03,29.50M,29.50M,171.63M,,171.63M,18.81M,,121.80M,25.22M,165.84M,,17.38M,,384.34M,,,,,,,,1.435B,-911.67M,523.30M,27.49M,5.226M,32.71M,,,,190.56M,746.57M,1.131B,65.62M,,,65.62M,60.10M,125.72M,,227.05M,,227.05M,,,,25.31M,378.08M,,12.06M,,12.06M,100.96M,,100.96M,,,127.91M,240.93M,619.01M,0.415M,530.69M,0.171M,,,-19.38M,511.90M
2001-12,30.58M,30.58M,175.16M,,175.16M,19.55M,,114.34M,25.77M,159.66M,,18.26M,,383.66M,0.00,51.02M,90.00M,1.259B,,24.86M,,1.425B,-895.53M,529.67M,,31.75M,31.75M,,,,193.19M,754.61M,1.138B,63.56M,,,63.56M,59.98M,123.54M,,157.86M,,157.86M,,,,22.44M,303.84M,,12.35M,,12.35M,99.71M,,99.71M,,,129.07M,241.13M,544.97M,0.455M,560.28M,51.02M,,,-18.45M,593.30M
2001-09,34.22M,34.22M,185.48M,,185.48M,23.43M,,128.08M,22.43M,173.93M,,18.14M,,411.77M,,,,,,,,1.422B,-882.90M,538.91M,,32.57M,32.57M,,,,183.21M,754.70M,1.166B,68.84M,,,68.84M,69.03M,137.87M,,171.60M,,171.60M,,,,31.41M,340.88M,,12.37M,,12.37M,97.35M,,97.35M,,,121.65M,231.36M,572.24M,0.458M,552.14M,55.85M,,,-14.22M,594.22M
2001-06,7.887M,7.887M,149.35M,,149.35M,11.30M,,90.79M,18.23M,120.33M,,13.35M,,290.91M,,,,,,,,1.337B,-862.77M,474.57M,,20.23M,20.23M,,,,213.40M,708.21M,999.12M,61.79M,,,61.79M,47.52M,109.31M,,0.281M,,0.281M,,,,24.06M,133.65M,,109.44M,,109.44M,91.30M,,91.30M,,,86.44M,287.18M,420.83M,0.459M,541.34M,57.92M,,,-21.43M,578.29M
2001-03,14.56M,14.56M,167.08M,,167.08M,12.34M,,80.92M,18.27M,111.54M,,12.62M,,305.81M,,,,,,,,1.332B,-849.76M,482.40M,,21.35M,21.35M,,,,162.13M,665.88M,971.69M,65.60M,,,65.60M,44.49M,110.09M,,0.29M,,0.29M,,,,29.15M,139.53M,,87.38M,,87.38M,93.07M,,93.07M,,,85.58M,266.03M,405.56M,0.459M,526.54M,57.90M,,,-18.76M,566.14M
2000-12,19.30M,19.30M,174.30M,,174.30M,10.80M,,79.14M,17.47M,107.42M,,14.14M,,315.15M,0.00,49.44M,87.13M,1.169B,,21.36M,,1.327B,-836.46M,490.07M,,22.46M,22.46M,,,,154.12M,666.65M,981.80M,72.30M,,,72.30M,56.93M,129.23M,,0.299M,,0.299M,,,,12.59M,142.12M,,97.68M,,97.68M,99.60M,,99.60M,,,83.50M,280.78M,422.90M,0.458M,515.91M,57.22M,,,-14.69M,558.91M
2000-09,18.85M,18.85M,176.75M,,176.75M,10.96M,,76.28M,17.13M,104.37M,,12.79M,,312.75M,,,,,,,,1.306B,-822.80M,482.82M,,14.68M,14.68M,,,,166.68M,664.18M,976.94M,69.45M,,,69.45M,54.01M,123.46M,,0.286M,,0.286M,,,,19.19M,142.94M,,110.68M,,110.68M,92.68M,,92.68M,,,83.56M,286.93M,429.87M,0.458M,506.16M,57.68M,,,-17.23M,547.07M
2000-06,17.78M,17.78M,159.68M,,159.68M,10.81M,,81.83M,17.07M,109.72M,,11.76M,,298.94M,,,,,,,,1.300B,-818.37M,481.45M,,15.64M,15.64M,,,,173.36M,670.45M,969.39M,61.57M,,,61.57M,48.40M,109.96M,,0.305M,,0.305M,,,,14.18M,124.45M,,133.70M,,133.70M,95.48M,,95.48M,,,83.74M,312.92M,437.37M,0.457M,487.50M,57.01M,,,-12.94M,532.02M
2000-03,21.38M,21.38M,157.84M,,157.84M,9.923M,,78.56M,17.08M,105.56M,,14.46M,,299.25M,,,,,,,,1.291B,-803.70M,486.80M,,16.54M,16.54M,,,,111.72M,615.06M,914.31M,58.40M,,,58.40M,45.83M,104.23M,,0.736M,,0.736M,,,,22.45M,127.42M,,113.69M,,113.69M,87.94M,,87.94M,,,82.34M,283.98M,411.40M,0.458M,458.72M,57.00M,,,-13.28M,502.91M
1999-12,48.60M,48.60M,155.10M,,155.10M,,,,,110.80M,,,18.10M,332.60M,,,,,,,,1.288B,-792.10M,495.40M,,17.90M,17.90M,,,,108.20M,621.50M,954.10M,61.40M,,,61.40M,,61.40M,,0.80M,,0.80M,,,,69.20M,131.40M,,159.00M,,159.00M,92.00M,,92.00M,,,81.10M,332.10M,463.50M,0.50M,435.20M,63.90M,,,-9.00M,490.60M
1999-09,45.66M,45.66M,141.10M,,141.10M,11.06M,,88.86M,16.87M,116.80M,,17.60M,,321.15M,,,,,,,,1.286B,-780.64M,505.30M,,18.03M,18.03M,,,,104.85M,628.18M,949.33M,57.78M,,,57.78M,58.32M,116.10M,,0.821M,,0.821M,,,,20.70M,137.62M,,146.38M,,146.38M,96.69M,,96.69M,,,80.66M,323.73M,461.35M,0.469M,415.94M,76.27M,,,-4.693M,487.98M
1999-06,35.87M,35.87M,134.20M,,134.20M,10.66M,,96.51M,17.33M,124.50M,,15.70M,,310.28M,,,,,,,,1.272B,-762.23M,510.21M,,18.18M,18.18M,,,,98.76M,627.14M,937.42M,56.22M,,,56.22M,58.84M,115.07M,,0.857M,,0.857M,,,,10.16M,126.09M,,156.04M,,156.04M,100.13M,,100.13M,,,78.68M,334.85M,460.94M,0.47M,403.49M,79.11M,,,-6.592M,476.48M
1999-03,38.04M,38.04M,131.14M,,131.14M,12.69M,,97.40M,16.53M,126.63M,,18.94M,,314.75M,,,,,,,,1.263B,-752.72M,509.81M,,19.24M,19.24M,,,,239.24M,768.29M,1.083B,50.00M,,,50.00M,54.30M,104.30M,,0.378M,,0.378M,,,,19.19M,123.87M,,309.25M,,309.25M,105.18M,,105.18M,,,77.31M,491.74M,615.61M,0.47M,383.58M,78.99M,,,4.388M,467.43M
1998-12,21.20M,21.20M,145.20M,,145.20M,,,,,127.20M,,,17.90M,311.50M,,,,,,,,1.259B,-744.70M,514.70M,,21.30M,21.30M,,,,90.30M,626.30M,937.80M,45.10M,,,45.10M,,45.10M,,0.40M,,0.40M,,,,62.40M,107.90M,,192.50M,,192.50M,110.00M,,110.00M,,,75.70M,378.20M,486.10M,0.50M,365.10M,78.70M,,,7.40M,451.70M
1998-09,29.18M,29.18M,130.98M,,130.98M,11.04M,,88.89M,16.49M,116.41M,,18.89M,,295.46M,,,,,,,,1.236B,-730.80M,505.08M,,17.06M,17.06M,,,,86.64M,608.78M,904.24M,45.89M,,,45.89M,55.72M,101.61M,,0.781M,,0.781M,,,,15.34M,117.73M,,176.94M,,176.94M,103.95M,,103.95M,,,73.27M,354.17M,471.90M,0.47M,347.12M,78.72M,,,6.033M,432.34M
1998-06,43.09M,43.09M,132.50M,,132.50M,10.87M,,81.55M,16.88M,109.31M,,18.23M,,303.12M,,,,,,,,1.214B,-718.42M,495.93M,,16.50M,16.50M,,,,84.15M,596.58M,899.70M,48.53M,,,48.53M,53.42M,101.94M,,0.38M,,0.38M,,,,17.32M,119.64M,,83.03M,,83.03M,99.01M,,99.01M,,,72.90M,254.94M,374.58M,0.528M,334.29M,192.42M,,,-2.111M,525.12M
