,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-12,18.51M,,,,,-19.24M,22.25M,22.25M,,,,,,7.401M,-5.837M,,4.908M,,-3.395M,9.252M,42.34M,-10.75M,,-10.75M,106.58M,-9.438M,,-26.96M,,-8.802M,0.219M,0.00,0.219M,,-6.102M,,,-14.68M,20.79M,0.692M,3.544M,35.17M,0.219M,,,0.00
2003-09,7.636M,,,,,2.22M,20.99M,20.99M,,,,,,1.32M,1.593M,,-4.908M,,-6.417M,-9.732M,22.43M,-11.03M,,-11.03M,-80.00M,-0.557M,,-91.59M,,49.78M,1.074M,-4.114M,-3.04M,,-6.961M,,,39.78M,49.99M,-29.38M,0.171M,20.79M,1.074M,,,-4.114M
2003-06,24.23M,,,,,-2.22M,20.64M,20.64M,,,,,,-0.416M,-0.195M,,,,-5.427M,-5.622M,36.61M,-10.42M,,-10.42M,0.00,-4.394M,,-14.82M,,-11.64M,0.372M,-0.261M,0.111M,,-7.247M,,,-18.78M,52.70M,3.022M,4.419M,49.99M,0.372M,,,-0.261M
2003-03,21.57M,,,,,2.22M,20.14M,20.14M,,,,,,0.639M,-11.08M,,,,15.24M,4.156M,48.72M,-8.857M,,-8.857M,-26.58M,2.403M,,-33.03M,,6.531M,,-13.21M,-13.21M,,-5.918M,,,-12.60M,47.78M,3.087M,1.829M,52.70M,,,,-13.21M
2002-12,15.18M,,,,,,19.96M,19.96M,,,,,,5.921M,,,8.929M,,-21.87M,-5.798M,16.85M,-10.48M,,-10.48M,,,-3.722M,-14.20M,,12.08M,-2.196M,-0.131M,-2.327M,,-5.748M,,,6.465M,36.09M,9.117M,2.574M,47.78M,-2.196M,,,-0.131M
2002-09,20.35M,,,,,,20.17M,20.17M,,,,,,1.685M,,,-8.929M,,13.91M,4.985M,47.19M,-8.639M,,-8.639M,,3.164M,-0.646M,-6.121M,,-32.46M,0.04M,0.00,0.04M,,-5.915M,,,-38.33M,33.40M,2.74M,-0.051M,36.09M,0.04M,,,0.00
2002-06,20.69M,,,,,,20.21M,20.21M,,,,,,-0.746M,,,,,6.902M,6.902M,47.06M,-11.08M,,-11.08M,,-3.164M,-0.595M,-14.84M,,-29.91M,1.711M,0.00,1.711M,,-5.398M,,,-33.60M,29.50M,-1.384M,5.858M,33.40M,1.711M,,,0.00
2002-03,16.80M,,,,,,20.27M,20.27M,,,,,,-4.452M,,,,,1.057M,1.057M,33.67M,-8.182M,,-8.182M,,,2.336M,-5.846M,,68.94M,0.445M,-92.94M,-92.50M,,-5.918M,,,-29.48M,31.15M,-1.655M,,29.50M,0.445M,,,-92.94M
2001-12,14.06M,,,,,,22.15M,22.15M,,,,,,0.278M,,,,,14.00M,18.53M,41.87M,-11.98M,,-11.98M,-0.245M,-6.154M,-0.883M,-19.26M,,-12.50M,-0.677M,-5.383M,-6.06M,,-5.65M,,,-23.35M,34.22M,-0.732M,-2.905M,30.58M,-0.677M,,,-5.383M
2001-09,16.76M,,,,,,18.45M,18.45M,,,,,,6.418M,,,,,-8.046M,-8.046M,33.58M,-9.37M,,-9.37M,-67.62M,-0.023M,0.091M,-76.93M,,73.65M,0.079M,-2.202M,-2.123M,,-5.955M,,,65.58M,7.887M,22.23M,4.107M,34.22M,0.079M,,,-2.202M
2001-06,14.80M,,,,,,18.57M,18.57M,,,,,,-5.901M,,,,,9.502M,9.502M,36.98M,-14.09M,,-14.09M,-45.38M,-0.05M,0.654M,-58.86M,,22.20M,0.007M,,0.007M,,-6.283M,,,15.93M,14.56M,-5.959M,-0.719M,7.887M,0.007M,,,
2001-03,22.54M,,,,,,18.44M,18.44M,,,,,,-0.795M,,,,,-8.759M,-8.759M,31.44M,-14.47M,,-14.47M,,-6.143M,0.022M,-20.59M,,-9.216M,0.591M,,0.591M,,-5.956M,,,-14.58M,19.30M,-3.735M,-1.00M,14.56M,0.591M,,,
2000-12,15.71M,,,,,-12.53M,19.44M,19.44M,,,,,,-1.222M,,,,,7.621M,-0.055M,34.75M,-12.03M,,-12.03M,-2.006M,-2.755M,-0.592M,-17.38M,,-12.09M,0.45M,-0.905M,-0.455M,,-5.041M,,,-17.59M,18.85M,-0.221M,0.674M,19.30M,0.45M,,,-0.905M
2000-09,23.71M,,,,,0.00,18.12M,18.12M,,,,,,-3.044M,,,,,5.606M,5.606M,44.39M,-12.44M,,-12.44M,0.00,-0.597M,-1.407M,-14.44M,,-22.70M,0.054M,-0.04M,0.014M,,-5.04M,,,-27.73M,-13.05M,2.223M,-1.161M,18.85M,0.054M,,,-0.04M
2000-06,33.81M,,,,,-15.90M,18.04M,18.04M,,,,,,5.121M,,,,,-7.523M,-7.523M,33.55M,-14.27M,,-14.27M,-33.00M,-7.381M,1.612M,-53.04M,,19.79M,0.793M,-0.881M,-0.088M,,-5.036M,,,14.66M,21.38M,-4.829M,1.236M,-13.05M,0.793M,,,-0.881M
2000-03,28.55M,,,,,,18.15M,18.15M,,,,,,-0.855M,,,,,-3.466M,-3.466M,42.38M,-13.51M,,-13.51M,,,1.187M,-12.32M,,-44.70M,0.016M,-7.972M,-7.956M,,-4.635M,,,-57.29M,48.62M,-27.24M,-0.007M,21.38M,0.016M,,,-7.972M
1999-12,23.88M,,,,,2.973M,18.96M,18.96M,,,,,,5.028M,,,,,-44.78M,-19.58M,28.35M,-16.30M,,-16.30M,,-7.209M,4.645M,-18.87M,,11.98M,-0.045M,-12.40M,-12.44M,,-4.693M,,0.10M,-5.06M,45.66M,4.422M,-1.497M,48.60M,-0.045M,,,-12.40M
1999-09,17.12M,,,,,4.827M,19.04M,19.04M,,,,,,-26.53M,,,,,36.48M,36.48M,50.95M,-14.50M,,-14.50M,,18.81M,-24.94M,-20.63M,,-11.78M,0.245M,-3.102M,-2.857M,,-4.707M,,0.10M,-19.24M,35.90M,11.08M,-1.203M,45.66M,0.245M,,,-3.102M
1999-06,24.63M,,,,,-22.10M,18.91M,18.91M,,,,,,26.08M,,,,,-24.84M,-24.84M,22.68M,-24.63M,,-24.63M,,129.30M,27.54M,132.20M,,-152.51M,0.169M,,0.169M,,-4.699M,,-0.10M,-157.14M,38.04M,-2.261M,,35.90M,0.169M,,,
1999-03,23.17M,,,,,,18.89M,18.89M,,,,,,-4.582M,,,,,24.84M,24.84M,62.32M,-22.17M,,-22.17M,,-129.30M,-7.136M,-158.60M,,117.61M,0.231M,,0.231M,,-4.701M,,,113.14M,21.18M,16.86M,,38.04M,0.231M,,,
1998-12,22.70M,,,,,,19.50M,19.50M,,,,,,-1.70M,,,,,-6.00M,-29.70M,18.50M,-34.70M,,-34.70M,,,0.90M,-33.80M,,12.20M,0.10M,-0.10M,0.00,,-4.80M,,0.20M,7.60M,29.20M,-7.70M,-0.20M,21.20M,0.10M,,,-0.10M
1998-09,17.54M,,,,,,19.26M,19.26M,,,,,,3.991M,,,,,-8.699M,-8.699M,32.09M,-21.54M,,-21.54M,,,0.839M,-20.70M,,93.66M,0.039M,-113.80M,-113.76M,,-4.756M,,-0.10M,-24.96M,43.09M,-13.57M,-0.40M,29.20M,0.039M,,,-113.80M
1998-06,21.81M,,,,,,18.64M,18.64M,,,,,,0.589M,,,,,-6.507M,-6.507M,34.53M,-17.40M,,-17.40M,,,0.676M,-16.72M,,-4.602M,0.094M,-7.669M,-7.575M,,-4.781M,,,-16.96M,42.24M,0.847M,,43.09M,0.094M,,,-7.669M
