,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-03,231.82M,231.82M,176.06M,55.76M,25.70M,4.776M,-0.058M,,,0.85M,31.33M,24.43M,,,-0.058M,,24.00M,7.199M,16.80M,,,,16.80M,16.84M,44.70M,20.27M,24.43M,0.195,0.0,,0.1955,0.195,0.19,0.0,,0.1905,0.19,86.88M,88.38M,0.065
2001-12,265.04M,265.04M,208.58M,56.46M,28.20M,5.106M,-1.562M,,,,35.36M,21.10M,,,-1.562M,,20.22M,6.168M,14.06M,,,,14.06M,15.14M,43.25M,22.15M,21.10M,0.155,0.0,,0.1669,0.155,0.155,0.0,,0.1668,0.155,90.99M,92.31M,0.065
2001-09,242.02M,242.02M,185.34M,56.68M,25.82M,5.603M,0.975M,,,,31.42M,25.26M,,,0.975M,,24.22M,7.457M,16.76M,,,,16.76M,16.09M,43.70M,18.45M,25.26M,0.185,0.0,,0.1776,0.185,0.18,0.0,,0.1728,0.18,90.60M,93.12M,0.065
2001-06,211.29M,211.29M,162.55M,48.74M,22.19M,5.433M,1.236M,,,,27.62M,21.12M,,,1.236M,,21.27M,6.462M,14.80M,,,,14.80M,13.94M,39.69M,18.57M,21.12M,0.16,0.0,,0.1507,0.16,0.16,0.0,,0.1507,0.16,92.53M,92.53M,0.065
2001-03,224.41M,224.41M,164.96M,59.46M,22.70M,5.777M,1.582M,,,,28.48M,30.97M,,,1.582M,,31.49M,8.942M,22.54M,,,,22.54M,21.41M,49.42M,18.44M,30.97M,0.245,0.0,,0.2327,0.245,0.24,0.0,,0.2279,0.24,92.02M,93.94M,0.065
2000-12,218.81M,218.81M,156.79M,62.02M,24.12M,6.745M,-6.929M,,,7.766M,38.63M,23.38M,,,-6.929M,,22.77M,7.057M,15.71M,,,,15.71M,20.49M,42.82M,19.44M,23.38M,0.17,0.0,,0.2222,0.17,0.165,0.0,,0.2163,0.165,91.67M,93.19M,0.065
2000-09,237.05M,237.05M,168.21M,68.84M,27.11M,6.989M,1.164M,,,,34.10M,34.74M,,,1.164M,,34.36M,10.65M,23.71M,,,,23.71M,22.90M,52.87M,18.12M,34.74M,0.26,0.0,,0.2512,0.26,0.255,0.0,,0.2464,0.255,91.63M,93.37M,0.055
2000-06,226.21M,226.21M,160.20M,66.01M,25.82M,6.219M,16.26M,,,-15.90M,16.14M,49.86M,,,16.26M,,49.00M,15.19M,33.81M,,,,33.81M,22.59M,67.90M,18.04M,49.86M,0.37,0.0,,0.2475,0.37,0.365,0.0,,0.2446,0.365,91.59M,93.22M,0.055
2000-03,235.48M,235.48M,160.88M,74.60M,26.19M,6.248M,0.973M,,,,32.43M,42.17M,,,0.973M,,41.37M,12.83M,28.55M,,,,28.55M,27.88M,60.32M,18.15M,42.17M,0.31,0.0,,0.3027,0.31,0.305,0.0,,0.2978,0.305,92.09M,93.60M,0.055
1999-12,224.66M,224.66M,78.35M,146.31M,23.50M,8.181M,-4.083M,,,,100.85M,45.45M,,,-4.083M,,33.22M,9.347M,23.88M,,,,23.88M,26.81M,64.41M,18.96M,45.45M,0.255,0.0,,0.2865,0.255,0.255,0.0,,0.2862,0.255,93.11M,94.20M,0.05
1999-09,212.09M,212.09M,150.92M,61.16M,26.56M,8.603M,-0.872M,,,0.852M,36.01M,25.15M,,,-0.872M,,23.57M,6.427M,17.14M,,,,17.14M,17.77M,44.19M,19.04M,25.15M,0.185,0.0,,0.1918,0.185,0.18,0.0,,0.1867,0.18,93.90M,94.95M,0.05
1999-06,200.80M,200.80M,122.40M,78.40M,26.50M,9.10M,16.50M,,,,54.60M,23.80M,,,16.50M,,37.30M,12.70M,24.60M,,,,24.60M,13.72M,42.80M,18.91M,23.80M,0.26,0.0,,0.1443,0.26,0.26,0.0,,0.146,0.26,94.07M,95.46M,0.05
1999-03,208.34M,208.34M,134.89M,73.46M,28.79M,8.423M,0.813M,,,,37.22M,36.24M,,,0.813M,,34.58M,11.41M,23.17M,,,,23.17M,22.63M,55.13M,18.89M,36.24M,0.245,0.0,,0.2392,0.245,0.245,0.0,,0.2393,0.245,94.03M,95.49M,0.05
1998-12,205.50M,205.50M,116.50M,89.00M,26.40M,7.90M,0.00,,,,53.80M,35.20M,,,0.00,,32.90M,10.20M,22.70M,,,,22.70M,22.70M,54.70M,19.50M,35.20M,0.235,0.0,,0.235,0.235,0.235,0.0,,0.235,0.235,94.52M,96.40M,0.05
1998-09,196.20M,196.20M,119.20M,77.00M,25.40M,7.90M,0.40M,,,,52.80M,24.20M,,,0.40M,,24.10M,6.50M,17.60M,,,,17.60M,17.31M,43.70M,19.26M,24.20M,0.165,0.0,,0.1623,0.165,0.165,0.0,,0.1623,0.165,106.67M,106.67M,0.045
1998-06,204.10M,204.10M,137.92M,66.18M,27.09M,6.889M,0.516M,,,,33.98M,32.20M,,,0.516M,,31.96M,10.15M,21.81M,,,,21.81M,21.46M,50.84M,18.64M,32.20M,0.205,0.0,,0.2017,0.205,0.205,0.0,,0.2017,0.205,106.14M,107.36M,0.045
