,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2002-03,29.01M,29.01M,,,,14.17M,33.74M,0.14M,,,,,47.91M,-18.90M,,,,0.14M,,-13.14M,0.303M,-13.44M,,,-13.44M,-13.52M,-12.07M,6.83M,-18.90M,-0.2,0.0,,,-0.2013,-0.2,-0.2,0.0,,,-0.2013,-0.2,66.86M,66.86M
2001-12,54.77M,54.77M,,,,17.59M,51.56M,-129.98M,,,,,69.15M,-14.38M,,,,-129.98M,,-144.98M,0.225M,-145.20M,,0.00,-145.20M,-67.22M,-5.558M,8.818M,-14.38M,-1.95,-0.27,0.0,-0.0001,-0.7786,-2.19,-2.175,,-0.0001,-0.0001,-1.0070000000000001,-2.19,66.58M,66.75M
2001-09,57.32M,57.32M,,,,17.89M,50.66M,-6.829M,,,,,68.55M,-11.23M,,,,-6.829M,,-17.60M,0.225M,-17.83M,,,-17.83M,-13.73M,2.423M,13.65M,-11.23M,-0.27,0.0,,,-0.2083,-0.27,-0.27,0.0,,,-0.2083,-0.27,66.37M,66.37M
2001-06,56.05M,56.05M,,,,18.59M,55.16M,1.841M,,,,,73.75M,-17.70M,,,,1.841M,,-9.666M,0.225M,-9.891M,,,-9.891M,-11.00M,-5.104M,12.59M,-17.70M,-0.15,0.0,,,-0.1667,-0.15,-0.15,0.0,,,-0.1667,-0.15,66.08M,66.08M
2001-03,51.12M,51.12M,-12.60M,63.72M,,16.56M,55.96M,-0.627M,,,,-12.60M,72.52M,-8.795M,,,,-0.627M,,-14.72M,0.255M,-14.98M,,2.279M,-10.31M,-14.60M,3.809M,12.60M,-8.795M,-0.23,0.07,0.0,0.0363,-0.2243,-0.16,-0.23,0.07,0.0347,0.0363,-0.2243,-0.16,65.74M,65.74M
2000-12,55.42M,55.42M,-8.679M,64.10M,,18.53M,53.94M,0.00,,,,,81.15M,-17.05M,,,,0.00,,,,-10.51M,,,-7.37M,-10.51M,-8.372M,8.679M,-17.05M,-0.16,0.05,,,-0.16,-0.11,-0.16,,,,-0.16,-0.1122,64.37M,65.69M
2000-09,51.98M,51.98M,-9.634M,61.62M,,15.85M,51.88M,,,,,,77.36M,-15.75M,,,,,,,,-7.598M,,,-7.598M,-7.598M,-6.112M,9.634M,-15.75M,-0.12,0.0,,,-0.12,-0.12,-0.12,0.0,,,-0.12,-0.12,64.06M,64.06M
2000-06,46.02M,46.02M,-8.415M,54.43M,,15.00M,45.41M,,,,,,68.82M,-14.39M,,,,,,,,-6.59M,,,-6.59M,-6.59M,-5.977M,8.415M,-14.39M,-0.105,0.0,,,-0.105,-0.105,-0.105,0.0,,,-0.105,-0.105,63.80M,63.80M
2000-03,40.75M,40.75M,-8.114M,48.87M,,14.82M,41.33M,-1.283M,,,,,64.27M,-15.40M,,,,-1.283M,,,,-8.177M,,,-8.177M,-7.407M,-7.287M,8.114M,-15.40M,-0.14,0.0,,,-0.1273,-0.14,-0.14,0.0,,,-0.1273,-0.14,60.61M,60.61M
1999-12,46.06M,46.06M,-7.00M,53.06M,,10.30M,42.60M,-1.20M,,,,,59.90M,-6.838M,,,,-1.20M,,,,-6.40M,,,-6.40M,-5.68M,0.162M,7.00M,-6.838M,-0.11,0.0,,,-0.0979,-0.11,-0.11,0.0,,,-0.0979,-0.11,59.70M,59.70M
1999-09,35.42M,35.42M,-5.90M,41.32M,,9.00M,36.90M,-1.90M,,,,,51.80M,-10.48M,,,,-1.90M,,,,-11.10M,,,-11.10M,-9.96M,-4.585M,5.90M,-10.48M,-0.2,0.0,,,-0.1795,-0.2,-0.2,0.0,,,-0.1795,-0.2,55.50M,55.50M
1999-06,37.90M,37.90M,-6.40M,44.30M,,9.50M,36.10M,0.30M,,,,,52.00M,-7.70M,,,,0.30M,,,,-7.40M,,,-7.40M,-7.58M,-1.30M,6.40M,-7.70M,-0.13,0.0,,,-0.1332,-0.13,-0.13,0.0,,,-0.1332,-0.13,56.92M,56.92M
1999-03,37.63M,37.63M,-5.40M,43.03M,,8.40M,31.20M,0.10M,,,,,45.00M,-1.97M,,,,0.10M,,,,-1.90M,,,-1.90M,-1.96M,3.43M,5.40M,-1.97M,-0.04,0.0,,,-0.0413,-0.04,-0.04,0.0,,,-0.0413,-0.04,47.50M,47.50M
1998-12,36.60M,36.60M,-5.80M,42.40M,,8.20M,27.60M,-6.50M,,,,,41.60M,0.80M,,,,-6.50M,,1.80M,0.30M,1.50M,,,1.50M,6.917M,6.60M,5.80M,0.80M,0.025,0.0,,,0.1079,0.025,0.02,0.0,,,0.0867,0.02,65.37M,81.19M
1998-09,34.70M,34.70M,-4.30M,39.00M,,6.90M,24.80M,-9.20M,,,,,36.00M,3.00M,,,,-9.20M,,-6.10M,0.70M,-6.80M,,,-6.80M,-1.28M,7.30M,4.30M,3.00M,-0.13,0.0,,,-0.0245,-0.13,-0.13,0.0,,,-0.0245,-0.13,52.31M,52.31M
1998-06,33.10M,33.10M,-4.00M,37.10M,,5.70M,23.10M,1.80M,,,,,32.80M,4.30M,,,,1.80M,,6.00M,0.80M,5.20M,,,5.20M,3.64M,8.30M,4.00M,4.30M,0.1,0.0,,,0.07,0.1,0.09,0.0,,,0.063,0.09,52.00M,57.78M
