,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2006-06,35.94M,253.81M,289.75M,1.346M,1.346M,,5.075M,,,,296.17M,,,,,,,,21.91M,-15.66M,6.253M,,9.785M,9.785M,,,62.91M,78.94M,375.11M,5.377M,5.377M,15.51M,20.89M,,91.75M,,91.75M,,91.75M,22.93M,22.93M,5.382M,140.95M,256.93M,,256.93M,,,,,31.96M,288.89M,429.84M,0.084M,-877.17M,824.17M,,,,-1.809M,-54.72M
2006-03,48.80M,272.70M,321.50M,1.584M,1.584M,,6.096M,,,,329.18M,,,,,,,,22.49M,-15.66M,6.837M,,10.41M,10.41M,,,52.33M,69.58M,398.76M,5.909M,5.909M,17.70M,23.61M,,,,91.80M,,91.80M,23.00M,23.00M,1.935M,140.34M,256.83M,,256.83M,,,,,39.36M,296.18M,436.53M,0.084M,-856.65M,821.20M,,,,-2.406M,-37.77M
2005-12,11.49M,333.48M,344.97M,1.423M,1.423M,,7.582M,,,,353.98M,0.0,,2.016M,21.31M,,,,23.32M,-15.66M,7.667M,,11.10M,11.10M,,,1.368M,20.13M,374.11M,3.573M,3.573M,18.30M,21.87M,,,,,,,0.604M,0.604M,5.382M,27.86M,341.86M,,341.86M,,,,,23.79M,365.65M,393.50M,0.084M,-839.35M,818.64M,,,,1.228M,-19.40M
2005-09,49.20M,314.84M,364.04M,1.045M,1.045M,,5.738M,,,,370.82M,,,,,,,,19.85M,-11.73M,8.119M,,11.78M,11.78M,,,7.386M,27.29M,398.11M,4.372M,4.372M,20.24M,24.61M,,,,,,,0.742M,0.742M,1.935M,27.28M,341.92M,,341.92M,,,,,25.39M,367.31M,394.59M,0.083M,-811.79M,818.10M,,,,-2.88M,3.515M
2005-06,37.18M,364.27M,401.45M,0.931M,0.931M,,5.478M,,,,407.86M,,,,,,,,20.61M,-11.73M,8.883M,,12.52M,12.52M,,,7.387M,28.79M,436.65M,4.183M,4.183M,16.55M,20.73M,,,,,,,0.751M,0.751M,5.553M,27.03M,349.51M,,349.51M,,,,,26.36M,375.86M,402.90M,0.083M,-781.58M,818.02M,,,,-2.768M,33.75M
2005-03,104.84M,343.86M,448.69M,2.547M,2.547M,,6.251M,,,,457.49M,,,,,,,,20.74M,-11.73M,9.011M,,13.61M,13.61M,,,7.348M,29.97M,487.46M,2.322M,2.322M,14.82M,17.15M,,,,,,,2.225M,2.225M,2.268M,21.64M,378.69M,,378.69M,,,,,27.26M,405.95M,427.59M,0.083M,-756.44M,817.06M,,,,-0.842M,59.87M
2004-12,132.18M,337.58M,469.76M,2.143M,2.143M,,7.142M,,,2.264M,481.31M,0.0,,1.957M,19.73M,,,,21.69M,-11.73M,9.959M,,14.22M,14.22M,,,11.43M,35.61M,516.92M,2.321M,2.321M,18.59M,20.91M,,,,,,,1.807M,1.807M,8.766M,31.48M,378.77M,,378.77M,,,,,28.16M,406.92M,438.40M,0.083M,-736.30M,817.15M,,,,-2.412M,78.52M
2004-09,78.72M,333.84M,412.56M,2.679M,2.679M,,5.602M,,,,420.84M,0.0,,2.084M,21.48M,,,,23.56M,-13.05M,10.51M,,27.40M,27.40M,,,11.76M,49.66M,470.50M,2.95M,2.95M,51.43M,54.38M,,,,,,,4.172M,4.172M,2.346M,60.90M,378.85M,,378.85M,,,,,,378.85M,439.74M,0.073M,-698.78M,730.93M,,,,-1.468M,30.76M
2004-06,152.93M,320.62M,473.56M,3.336M,3.336M,,6.504M,,,,483.40M,0.0,,2.051M,21.48M,,,,23.53M,-12.00M,11.54M,,30.03M,30.03M,,,13.16M,54.72M,538.12M,5.01M,5.01M,52.30M,57.31M,,,,,,,3.523M,3.523M,7.077M,67.91M,417.58M,,417.58M,,,,,,417.58M,485.49M,0.073M,-672.80M,729.80M,,,,-4.436M,52.63M
2004-03,135.85M,364.86M,500.71M,3.909M,3.909M,,9.503M,,,,514.12M,0.0,,30.48M,21.35M,,,,51.83M,-28.98M,22.85M,,32.23M,32.23M,,,13.27M,68.35M,582.47M,5.49M,5.49M,,5.49M,,,,,,,4.03M,4.03M,37.45M,46.97M,417.68M,,417.68M,,,,,,417.68M,464.65M,0.073M,-609.20M,727.77M,,,,-0.824M,117.82M
2003-12,29.70M,264.11M,293.81M,5.228M,5.228M,,11.29M,,,0.604M,310.93M,0.0,,30.08M,60.53M,,,,90.62M,-63.42M,27.19M,,23.11M,23.11M,,,18.32M,68.62M,379.54M,6.45M,6.45M,25.32M,31.77M,,,,,,,4.534M,4.534M,5.683M,41.99M,167.79M,,167.79M,,,,,15.44M,183.22M,225.21M,0.073M,-571.49M,726.96M,,,,-1.215M,154.33M
2003-09,14.31M,300.79M,315.10M,10.18M,10.18M,,12.56M,,,,337.83M,0.0,,31.17M,93.42M,,,,124.58M,-93.80M,30.79M,,28.61M,28.61M,,,18.21M,77.60M,415.44M,7.157M,7.157M,19.40M,26.56M,,,,,,,8.922M,8.922M,18.00M,53.48M,167.89M,,167.89M,,,,,,167.89M,221.37M,0.072M,-530.72M,726.11M,,,,-1.40M,194.06M
2003-06,22.02M,338.62M,360.64M,7.515M,7.515M,,10.40M,,,,378.55M,0.0,,30.22M,92.88M,,,,123.10M,-91.07M,32.02M,,28.54M,28.54M,,,31.36M,91.92M,470.48M,5.416M,5.416M,19.83M,25.25M,,,,,,,15.07M,15.07M,20.98M,61.30M,171.82M,,171.82M,,,,,,171.82M,233.12M,0.072M,-487.71M,726.67M,,,,-1.68M,237.36M
2003-03,10.64M,365.55M,376.18M,8.024M,8.024M,,17.70M,,,,401.91M,0.0,,30.01M,91.89M,,,,121.90M,-88.12M,33.79M,,27.43M,27.43M,,,33.75M,94.97M,496.88M,7.466M,7.466M,38.86M,46.33M,,,,,,,13.05M,13.05M,1.561M,60.94M,171.93M,,171.93M,,,,,,171.93M,232.87M,0.072M,-460.81M,725.56M,,,,-0.818M,264.01M
2002-12,22.93M,406.09M,429.02M,8.485M,8.485M,,21.27M,,,,458.77M,0.0,,31.01M,100.27M,,,,131.28M,-99.50M,31.79M,,26.07M,26.07M,,,35.52M,93.37M,552.14M,9.073M,9.073M,25.36M,34.44M,,,,,,,11.66M,11.66M,31.60M,77.69M,172.04M,,172.04M,,,,,,172.04M,249.73M,0.067M,-405.02M,708.16M,,,,-0.796M,302.41M
2002-09,15.74M,437.09M,452.83M,14.78M,14.78M,,21.70M,,,,489.31M,,,,,,,,131.93M,-87.50M,44.42M,,24.68M,24.68M,,,44.64M,113.74M,603.05M,7.216M,7.216M,37.70M,44.91M,,,,,,,15.52M,15.52M,,60.43M,172.14M,,172.14M,,,,,,172.14M,232.57M,0.068M,-337.53M,712.72M,,,,-4.774M,370.48M
2002-06,44.19M,431.96M,476.15M,25.13M,25.13M,,26.24M,,,,527.52M,,,,,,,,45.26M,,45.26M,,27.26M,27.26M,,,45.69M,118.22M,645.74M,8.447M,8.447M,18.04M,26.49M,,,,,,,16.86M,16.86M,25.87M,69.21M,172.25M,,172.25M,,,,,,172.25M,241.46M,0.067M,-299.12M,712.10M,,,,-8.772M,404.27M
2002-03,99.16M,392.55M,491.71M,27.69M,27.69M,,28.04M,,,,547.44M,0.0,,33.45M,102.55M,,,,136.00M,-90.69M,45.31M,,2.786M,2.786M,,,71.31M,119.41M,666.85M,6.485M,6.485M,39.28M,45.77M,,,,,,,20.53M,20.53M,,66.30M,179.14M,,179.14M,,,,,,179.14M,245.44M,0.067M,-281.58M,710.31M,,,,-7.382M,421.41M
2001-12,43.37M,464.54M,507.90M,54.04M,54.04M,,29.28M,,,,591.22M,0.0,,33.43M,102.00M,,,,135.43M,-87.50M,47.93M,,21.14M,21.14M,,,45.27M,114.34M,705.56M,7.347M,7.347M,11.87M,19.22M,,,,,,,24.04M,24.04M,42.84M,86.11M,179.25M,,179.25M,,,,,,179.25M,265.36M,0.067M,-268.14M,707.41M,,,,0.863M,440.20M
2001-09,45.49M,472.06M,517.55M,44.12M,44.12M,,31.25M,,,,592.92M,,,,,,,,160.90M,-80.71M,80.19M,,73.97M,73.97M,,,78.56M,232.72M,825.64M,8.212M,8.212M,35.74M,43.96M,,,,,,,18.89M,18.89M,,62.84M,179.36M,,179.36M,,,,,,179.36M,242.20M,0.066M,-122.94M,696.88M,,,,9.427M,583.44M
2001-06,64.40M,475.01M,539.40M,31.58M,31.58M,,21.49M,,,,592.47M,0.0,50.60M,,137.84M,,,,188.44M,-96.27M,92.16M,,76.96M,76.96M,,,90.47M,259.60M,852.07M,8.428M,8.428M,40.14M,48.57M,,,,,,,19.74M,19.74M,,68.31M,179.47M,,179.47M,,,,,,179.47M,247.78M,0.066M,-105.11M,695.92M,,,,13.42M,604.29M
2001-03,114.69M,452.65M,567.34M,21.60M,21.60M,,20.91M,,,,609.85M,0.0,,50.10M,134.37M,,,,184.47M,-88.63M,95.84M,,79.95M,79.95M,,,66.30M,242.09M,851.94M,8.317M,8.317M,30.04M,38.36M,,,,,,,23.95M,23.95M,,62.31M,179.58M,,179.58M,,,,,,179.58M,241.89M,0.066M,-95.22M,690.30M,,,,14.91M,610.06M
2000-12,110.16M,472.02M,582.18M,35.02M,35.02M,,,,,30.69M,647.90M,,,,,,,,179.65M,-80.71M,98.95M,,82.94M,82.94M,,,57.03M,238.92M,886.82M,17.50M,17.50M,,17.50M,,,,,,,,,58.82M,76.31M,187.81M,,187.81M,,,,,,187.81M,264.13M,0.066M,-84.90M,689.39M,,,,18.14M,622.69M
2000-09,328.38M,316.26M,644.63M,,21.02M,,,,,18.93M,684.57M,,,,,,,,169.10M,-72.81M,96.28M,,12.77M,12.77M,,,72.29M,181.35M,865.92M,11.85M,11.85M,,11.85M,,,,,,,,,41.42M,53.27M,203.17M,,203.17M,,,,,,203.17M,256.44M,0.064M,-77.53M,652.74M,,,,34.21M,609.49M
2000-06,438.11M,242.80M,680.92M,14.73M,14.73M,,,,,15.46M,711.11M,,,,,,,,152.93M,-65.00M,87.93M,,13.37M,13.37M,,,64.23M,165.53M,876.64M,13.55M,13.55M,,13.55M,,,,,,,,,57.86M,71.40M,203.29M,,203.29M,,,,,,203.29M,274.69M,0.032M,-69.94M,645.31M,,,,26.54M,601.94M
2000-03,421.33M,270.82M,692.15M,,14.37M,,,,,22.42M,728.94M,,,,,,,,132.07M,-58.51M,73.56M,,13.97M,13.97M,,,59.22M,146.75M,875.69M,11.90M,11.90M,,11.90M,,,,,,,,,56.05M,67.95M,203.42M,,203.42M,,,,,,203.42M,271.37M,0.032M,-63.35M,641.87M,,,,25.76M,604.32M
1999-12,32.20M,34.70M,66.90M,26.60M,26.60M,,,,,16.00M,109.50M,,,,,,,,120.40M,-53.10M,67.30M,,14.60M,14.60M,,,30.50M,112.40M,221.90M,6.50M,6.50M,,6.50M,,,,,,,,,45.00M,51.50M,0.20M,,0.20M,,,,,-0.10M,0.10M,51.60M,0.00,-55.20M,222.80M,,,,2.60M,170.30M
1999-09,41.40M,40.70M,82.10M,,8.00M,,,,,8.80M,98.90M,,,,,,,,118.40M,-51.80M,66.60M,,15.20M,15.20M,,,29.00M,110.80M,209.70M,6.10M,6.10M,,6.10M,,,,,,,,,37.70M,43.80M,0.20M,,0.20M,,,,,0.10M,0.30M,44.10M,0.00,-48.80M,215.40M,,,,-1.00M,165.60M
1999-06,53.30M,,53.30M,,4.60M,,,,,59.50M,117.40M,,,,,,,,110.50M,-46.50M,64.00M,,15.80M,15.80M,,,27.00M,106.80M,224.20M,4.60M,4.60M,,4.60M,,,,,,,,,48.30M,52.90M,0.40M,,0.40M,,,,,,0.40M,53.30M,,-37.70M,,,,,,170.90M
1999-03,83.50M,,83.50M,,9.70M,,,,,55.80M,149.00M,,,,,,,,99.70M,-41.10M,58.60M,,16.40M,16.40M,,,26.80M,101.80M,250.80M,6.50M,6.50M,,6.50M,,,,,,,,,66.10M,72.60M,0.50M,,0.50M,,,,,0.10M,0.60M,73.20M,,-30.30M,,,,,,177.60M
1998-12,50.00M,61.20M,111.20M,,14.30M,,,,,5.90M,131.40M,,,,,,,,90.40M,-36.00M,54.40M,,17.00M,17.00M,,,27.50M,98.90M,230.30M,8.20M,8.20M,,8.20M,,,,,,,,,41.70M,49.90M,0.80M,,0.80M,,,,,,0.80M,50.70M,0.00,-28.40M,209.20M,,,,-1.30M,179.60M
1998-09,45.40M,,45.40M,,4.10M,,,,,88.10M,137.60M,,,,,,,,81.60M,-31.30M,50.30M,,17.60M,17.60M,,,27.50M,95.40M,233.00M,5.70M,5.70M,,5.70M,,,,,,,,,50.00M,55.70M,,,,,,,,,1.60M,57.30M,,-29.90M,,,,,,175.70M
1998-06,32.90M,,32.90M,,11.00M,,,,,103.30M,147.20M,,,,,,,,73.10M,-27.40M,45.70M,,,,,,26.30M,72.00M,219.20M,3.50M,3.50M,,3.50M,,,,,,,,,56.90M,60.40M,,,,,,,,,0.90M,61.30M,,-23.10M,,,,,,157.90M
