,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2009-06,1.160B,361.50M,798.90M,432.60M,366.30M,230.00M,,,-15.40M,19.90M,,-19.90M,,230.00M,136.30M,,19.90M,-19.90M,118.70M,-19.90M,235.10M,47.30M,187.80M,,-0.50M,187.30M,199.60M,299.40M,44.40M,255.00M,1.02,0.0,,1.087,1.02,1.01,0.0,,1.0759999999999998,1.01,184.20M,185.40M,0.24
2009-03,824.20M,265.20M,559.00M,346.10M,212.90M,182.60M,,,-28.70M,19.90M,,-19.90M,,182.60M,30.30M,,19.90M,-19.90M,68.40M,-19.90M,78.80M,-1.30M,80.10M,-3.90M,-0.50M,75.70M,98.26M,143.10M,44.40M,98.70M,0.43,-0.02,,0.5315,0.41,0.43,-0.02,,0.5309,0.41,183.80M,184.90M,0.2
2008-12,1.102B,363.20M,739.10M,447.90M,291.20M,196.60M,,,-12.60M,38.70M,,-21.40M,,196.60M,94.60M,,38.70M,-21.40M,36.50M,-21.40M,109.70M,21.50M,88.20M,6.00M,-0.60M,93.60M,97.73M,197.40M,49.00M,148.40M,0.48,0.03,,0.5352,0.51,0.48,0.03,,0.5346,0.51,183.50M,185.50M,0.2
2008-09,1.374B,452.70M,921.10M,524.40M,396.70M,236.80M,,,-17.10M,25.60M,,-25.60M,,236.80M,159.90M,,25.60M,-25.60M,89.40M,-25.60M,223.70M,54.90M,168.80M,3.20M,-0.70M,171.30M,181.00M,306.50M,57.20M,249.30M,0.91,0.02,,0.9803,0.93,0.9,0.02,,0.9695,0.92,183.50M,185.70M,0.2
2008-06,2.359B,602.00M,1.757B,1.034B,723.80M,463.20M,,,-109.90M,27.00M,,-27.00M,,463.20M,260.60M,,27.00M,-27.00M,-109.90M,-27.00M,123.70M,26.50M,97.20M,-12.40M,-5.40M,79.40M,178.16M,235.60M,84.90M,150.70M,0.5,-0.07,,0.9734,0.43,0.49,-0.07,,0.9543,0.42,182.40M,186.00M,0.2
2008-03,1.816B,459.60M,1.357B,835.00M,521.60M,436.60M,,,-15.10M,27.80M,,-27.80M,,436.60M,85.00M,,27.80M,-27.80M,-15.10M,-27.80M,42.10M,-6.60M,48.70M,-9.00M,-5.40M,34.30M,53.12M,152.20M,82.30M,69.90M,0.24,-0.05,,0.2942,0.19,0.24,-0.05,,0.2932,0.19,181.00M,184.50M,0.16
2007-12,2.167B,566.90M,1.600B,978.50M,621.80M,419.60M,,,-23.70M,59.40M,,-32.80M,,419.60M,202.20M,,59.40M,-32.80M,-23.70M,-32.80M,145.70M,-27.00M,172.70M,-3.00M,-1.70M,168.00M,186.40M,296.00M,90.90M,205.10M,0.95,-0.02,,1.035,0.93,0.94,-0.02,,1.024,0.92,180.20M,183.20M,0.16
2007-09,2.257B,571.80M,1.685B,987.30M,698.10M,461.10M,,,-77.90M,24.20M,,-24.20M,,461.10M,237.00M,,24.20M,-24.20M,-77.90M,-24.20M,134.90M,-5.70M,140.60M,-0.40M,-5.50M,134.70M,185.74M,246.60M,87.50M,159.10M,0.75,0.0,,1.032,0.75,0.74,0.0,,1.0190000000000001,0.74,179.40M,181.70M,0.16
2007-06,2.244B,567.80M,1.676B,966.90M,709.30M,456.90M,,,-10.40M,24.90M,,-24.90M,,456.90M,252.40M,,24.90M,-24.90M,-10.40M,-24.90M,217.10M,28.50M,188.60M,0.60M,-4.30M,184.90M,193.33M,326.00M,84.00M,242.00M,1.03,0.0,,1.081,1.03,1.02,0.0,,1.07,1.02,178.90M,181.20M,0.16
2007-03,1.651B,422.60M,1.229B,770.20M,458.40M,396.80M,,,-7.00M,26.30M,,-26.30M,,396.80M,61.60M,,26.30M,-26.30M,-7.00M,-26.30M,28.30M,5.30M,23.00M,-14.80M,-3.80M,4.40M,24.89M,138.00M,83.40M,54.60M,0.11,-0.08,,0.1423,0.03,0.11,-0.08,,0.1419,0.03,176.10M,178.20M,0.16
