,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2009-03,94.40M,,94.40M,384.80M,,,144.70M,529.50M,88.80M,16.60M,84.10M,,189.50M,,,72.10M,888.50M,,,,,,,,,1.131B,1.276B,3.850B,5.126B,2.500B,50.50M,,0.00,202.90M,9.011B,9.899B,146.90M,,146.90M,507.90M,654.80M,,,,0.10M,,0.10M,122.00M,122.00M,24.40M,801.30M,1.568B,,1.568B,525.70M,525.70M,448.20M,226.90M,4.10M,134.40M,3.022B,3.824B,1.60M,2.224B,4.258B,,,,-411.30M,6.072B
2008-12,216.20M,,216.20M,432.90M,,,166.20M,635.40M,104.40M,13.40M,89.10M,,206.90M,,,47.10M,1.107B,3.00M,117.70M,391.30M,1.414B,,48.90M,1.975B,-673.50M,1.302B,1.298B,3.923B,5.221B,2.419B,,51.80M,75.30M,210.40M,9.280B,10.39B,152.80M,,170.50M,690.80M,861.30M,,,,0.10M,,0.10M,107.80M,107.80M,16.90M,986.10M,1.752B,,1.752B,629.80M,629.80M,581.00M,225.90M,-16.00M,47.60M,3.361B,4.347B,1.60M,2.185B,4.240B,,,,-371.40M,6.055B
2008-09,334.50M,,334.50M,591.40M,,,116.60M,708.00M,103.20M,17.40M,110.80M,,231.40M,,0.00,88.50M,1.364B,,,,,,,,,1.550B,1.587B,4.676B,6.264B,2.698B,69.60M,,196.20M,177.90M,10.96B,12.32B,261.10M,,261.10M,873.80M,1.135B,,,,0.60M,,0.60M,167.00M,167.00M,20.90M,1.323B,1.994B,,1.994B,795.00M,795.00M,400.90M,440.40M,8.90M,63.80M,3.848B,5.172B,1.50M,2.139B,4.159B,,,,839.40M,7.140B
2008-06,284.40M,,284.40M,921.90M,,,125.00M,1.047B,133.70M,49.00M,164.90M,,347.60M,,17.90M,125.50M,1.828B,,,,,,,,,2.639B,3.282B,4.835B,8.116B,,72.90M,,300.10M,202.70M,11.33B,13.16B,405.80M,,405.80M,1.155B,1.561B,,,,21.40M,,21.40M,170.90M,170.90M,44.10M,1.797B,2.057B,,2.057B,821.90M,821.90M,612.40M,460.80M,35.20M,84.50M,4.175B,5.972B,1.50M,2.003B,4.165B,,,,982.90M,7.152B
2008-03,118.70M,,118.70M,684.20M,,,162.10M,846.30M,160.70M,50.60M,171.70M,,383.00M,,18.00M,117.30M,1.489B,,,,,,,,,2.643B,3.258B,4.846B,8.104B,,71.30M,,292.30M,196.00M,11.31B,12.80B,310.50M,,310.50M,1.019B,1.329B,,,,34.40M,,34.40M,146.50M,146.50M,41.10M,1.551B,2.031B,,2.031B,839.00M,839.00M,637.40M,421.70M,45.10M,87.40M,4.143B,5.694B,1.50M,1.959B,4.156B,,,,940.30M,7.057B
2007-12,377.00M,,377.00M,758.50M,,,115.80M,871.10M,199.70M,40.70M,164.00M,,404.40M,,17.90M,100.90M,1.777B,6.00M,233.50M,1.070B,3.992B,,109.70M,5.411B,-2.715B,2.696B,3.346B,5.039B,8.386B,0.00,,71.20M,336.90M,184.60M,11.67B,13.45B,351.60M,,380.70M,1.189B,1.570B,,,,4.30M,,4.30M,120.60M,120.60M,40.80M,1.736B,2.261B,,2.261B,891.30M,891.30M,677.80M,477.40M,43.80M,90.90M,4.523B,6.258B,1.50M,1.950B,4.093B,,,,1.105B,7.150B
2007-09,231.33M,,231.33M,666.50M,,,175.22M,841.72M,160.12M,48.37M,172.78M,,381.27M,,7.368M,103.35M,1.570B,,,,,,,,,2.680B,3.348B,5.020B,8.368B,,72.04M,,302.26M,149.34M,11.57B,13.14B,315.77M,,315.77M,1.073B,1.388B,,,,37.98M,,37.98M,95.77M,95.77M,38.70M,1.561B,2.246B,,2.246B,949.89M,949.89M,712.46M,483.88M,45.86M,93.51M,4.605B,6.166B,1.466M,1.806B,4.044B,,,,1.077B,6.929B
2007-06,679.97M,,679.97M,731.05M,,,136.24M,867.28M,123.99M,50.35M,190.65M,,364.98M,,7.308M,112.74M,2.037B,,,,,,,,,2.646B,3.157B,4.716B,7.873B,,70.67M,,289.54M,144.81M,11.02B,13.06B,325.00M,,325.00M,1.094B,1.419B,,,,660.60M,,660.60M,89.19M,89.19M,36.58M,2.205B,2.164B,,2.164B,917.72M,917.72M,663.92M,375.70M,53.55M,92.82M,4.324B,6.529B,0.73M,1.700B,4.023B,,,,754.79M,6.479B
2007-03,119.36M,,119.36M,595.14M,,,134.31M,729.45M,147.03M,53.14M,165.16M,,365.33M,,6.624M,115.27M,1.341B,,,,,,,,,2.561B,2.983B,4.422B,7.406B,,68.41M,,113.74M,150.84M,10.30B,11.64B,293.96M,,293.96M,978.66M,1.273B,,,,85.79M,,85.79M,74.95M,74.95M,34.14M,1.468B,2.140B,,2.140B,890.29M,890.29M,714.40M,263.87M,49.24M,91.42M,4.202B,5.669B,0.717M,1.544B,3.993B,,,,383.44M,5.921B
2006-12,182.19M,,182.19M,679.51M,,,148.53M,828.60M,175.04M,38.69M,138.45M,,352.18M,,6.477M,84.28M,1.458B,6.012M,208.72M,969.40M,3.462B,,390.40M,5.036B,-2.615B,2.421B,2.969B,4.395B,7.364B,,75.24M,,131.35M,153.01M,10.15B,11.60B,388.28M,428.34M,847.99M,641.56M,1.490B,,,,4.441M,,4.441M,116.33M,116.33M,34.29M,1.800B,2.130B,,2.130B,607.00M,607.00M,753.70M,269.25M,46.78M,93.72M,3.939B,5.739B,1.359M,1.673B,3.826B,,,,316.98M,5.817B
2006-09,179.14M,,179.14M,656.54M,,,139.99M,796.53M,144.94M,38.95M,155.53M,,339.42M,,20.13M,110.83M,1.453B,,,,,,,,,2.404B,3.019B,4.584B,7.603B,,76.04M,,85.12M,164.00M,10.33B,11.78B,369.45M,345.87M,715.32M,824.45M,1.540B,,,,67.92M,,67.92M,151.86M,151.86M,38.64M,1.936B,2.177B,,2.177B,621.37M,621.37M,730.89M,266.72M,46.51M,71.46M,3.930B,5.866B,0.659M,1.602B,3.771B,,,,497.74M,5.872B
2006-06,79.59M,,79.59M,784.99M,,,116.15M,901.13M,140.33M,43.29M,167.87M,,351.49M,,20.13M,118.00M,1.477B,,,,,,,,,2.366B,2.966B,4.563B,7.529B,,71.94M,,69.75M,174.88M,10.21B,11.69B,365.44M,293.09M,658.53M,828.14M,1.487B,,,,310.31M,,310.31M,125.39M,125.39M,45.83M,2.092B,2.163B,,2.163B,588.33M,588.33M,743.21M,247.21M,46.93M,77.35M,3.885B,5.977B,0.649M,1.494B,3.751B,,,,418.89M,5.664B
2006-03,59.29M,,59.29M,559.28M,,,120.02M,679.31M,153.79M,43.63M,137.71M,,335.13M,,18.92M,105.94M,1.199B,,,,,,,,,2.299B,2.853B,4.406B,7.258B,,69.96M,,55.12M,182.37M,9.864B,11.06B,299.36M,,299.36M,1.009B,1.308B,,,,412.17M,,412.17M,102.04M,102.04M,42.91M,1.865B,2.131B,,2.131B,598.38M,598.38M,821.74M,184.43M,48.16M,84.89M,3.873B,5.739B,0.64M,1.365B,3.725B,,,,184.78M,5.276B
2005-12,39.41M,,39.41M,692.64M,,,133.75M,829.70M,181.01M,35.27M,132.61M,,348.89M,,20.13M,78.98M,1.468B,3.608M,207.45M,967.58M,3.524B,,266.46M,4.969B,-2.664B,2.306B,2.871B,4.423B,7.295B,,70.96M,,61.61M,598.24M,10.33B,11.80B,354.77M,,372.32M,1.151B,1.523B,,,,348.10M,,348.10M,106.48M,106.48M,258.61M,2.237B,2.137B,,2.137B,606.13M,606.13M,841.82M,174.76M,83.81M,87.56M,4.154B,6.391B,0.632M,1.423B,3.714B,,,,186.99M,5.325B
2005-09,101.48M,,101.48M,688.68M,,,155.39M,844.07M,176.47M,43.44M,148.04M,,367.95M,,22.95M,242.63M,1.579B,,,,,,,,,2.525B,2.932B,4.550B,7.482B,,,,356.40M,274.38M,10.64B,12.22B,303.11M,,303.11M,1.177B,1.480B,,,,73.66M,,73.66M,96.26M,96.26M,,1.650B,2.590B,,2.590B,1.069B,1.069B,837.15M,,87.76M,627.43M,5.124B,6.774B,0.628M,1.428B,3.709B,,,,224.58M,5.355B
2005-06,45.36M,,45.36M,762.01M,,,275.72M,1.038B,160.26M,47.54M,154.38M,,362.18M,,20.37M,124.19M,1.590B,,,,,,,,,2.513B,2.931B,4.332B,7.264B,,,,270.34M,257.77M,10.30B,11.89B,305.58M,,305.58M,1.150B,1.456B,,,,1.056B,,1.056B,62.73M,62.73M,,2.574B,1.678B,,1.678B,971.42M,971.42M,860.77M,,92.25M,602.16M,4.113B,6.687B,0.618M,1.347B,3.700B,,,,69.45M,5.116B
2005-03,95.55M,,95.55M,659.76M,,,287.31M,947.07M,137.09M,48.70M,146.80M,,332.60M,,3.782M,122.25M,1.501B,,,,,,,,,2.497B,2.720B,4.483B,7.204B,,,,350.09M,291.56M,10.34B,11.84B,295.12M,265.50M,560.62M,895.34M,1.456B,,,,922.13M,,922.13M,46.44M,46.44M,,2.501B,1.722B,,1.722B,897.28M,897.28M,942.30M,222.83M,96.44M,314.80M,4.099B,6.600B,0.567M,1.324B,3.686B,,,,137.24M,5.147B
2004-12,123.01M,,123.01M,692.37M,,,135.59M,833.37M,140.83M,32.56M,90.94M,,264.34M,,3.228M,44.27M,1.268B,3.607M,142.33M,729.72M,3.000B,,53.74M,3.929B,-2.484B,1.446B,890.82M,581.04M,1.472B,,,95.02M,168.30M,208.54M,3.389B,4.658B,320.02M,196.72M,522.75M,526.86M,1.050B,,,,38.53M,,38.53M,5.852M,5.852M,,1.177B,893.68M,,893.68M,149.93M,149.93M,483.26M,237.05M,36.87M,78.69M,1.843B,3.019B,0.377M,1.398B,105.11M,,,,97.90M,1.601B
2004-09,92.49M,,92.49M,588.26M,,,104.15M,692.41M,88.84M,33.78M,90.94M,21.90M,235.46M,,3.433M,98.09M,1.122B,,,,,,,4.092B,-2.695B,1.397B,,1.374B,1.374B,,,,209.10M,374.90M,3.355B,4.477B,258.92M,,258.92M,541.31M,800.22M,,,,143.66M,,143.66M,,,180.65M,1.125B,920.32M,,920.32M,202.11M,202.11M,,,32.22M,684.78M,1.807B,2.932B,0.375M,1.350B,91.15M,,,,71.18M,1.513B
2004-06,36.24M,,36.24M,650.43M,,,103.19M,753.62M,68.35M,31.17M,114.72M,10.46M,224.70M,,11.82M,102.16M,1.129B,,,,,,,4.106B,-2.695B,1.411B,,1.398B,1.398B,,,,212.01M,382.86M,3.403B,4.532B,304.83M,,304.83M,439.70M,744.53M,,,,210.52M,,210.52M,,,220.88M,1.176B,931.62M,,931.62M,201.33M,201.33M,,,29.76M,767.90M,1.901B,3.077B,0.373M,1.294B,80.50M,,,,51.04M,1.425B
2004-03,27.54M,,27.54M,569.74M,,,98.53M,668.26M,85.53M,35.85M,103.97M,8.56M,233.92M,,,80.58M,1.010B,,,,,,,4.208B,-2.695B,1.513B,,1.396B,1.396B,,,,214.25M,357.84M,3.481B,4.492B,301.63M,,301.63M,427.08M,728.71M,,,,218.05M,,218.05M,,,179.45M,1.126B,1.036B,,1.036B,197.75M,197.75M,,,27.66M,742.99M,1.977B,3.103B,0.371M,1.229B,71.14M,,,,60.43M,1.361B
2003-12,19.44M,,19.44M,656.42M,,,94.65M,751.07M,81.07M,29.48M,91.21M,7.723M,209.48M,,,98.85M,1.079B,0.00,176.11M,741.38M,3.188B,,40.67M,4.146B,-2.695B,1.451B,,1.349B,1.349B,,,,204.80M,403.26M,3.407B,4.486B,396.20M,,396.20M,433.87M,830.08M,,,,91.16M,,91.16M,,,212.48M,1.134B,1.160B,,1.160B,195.52M,195.52M,,,,729.77M,2.085B,3.219B,0.365M,1.232B,32.05M,,,,3.16M,1.267B
2003-09,31.25M,,31.25M,577.17M,,,112.34M,689.52M,83.30M,31.31M,81.91M,,196.52M,,11.13M,119.94M,1.048B,,,,,,,3.284B,-1.893B,1.391B,,1.276B,1.276B,,,,184.04M,388.15M,3.239B,4.287B,315.50M,,315.50M,440.78M,756.28M,,,,94.62M,,94.62M,,,168.60M,1.019B,1.276B,,1.276B,180.91M,180.91M,,,,662.53M,2.119B,3.139B,9.624M,1.203B,21.69M,,,,-85.64M,1.149B
2003-06,12.76M,,12.76M,603.27M,,,103.46M,706.73M,52.69M,31.60M,81.02M,,165.30M,,17.32M,96.21M,998.33M,,,,,,,3.284B,-1.893B,1.391B,,1.276B,1.276B,,,,218.70M,385.91M,3.271B,4.270B,278.44M,,278.44M,425.00M,703.43M,,,,83.43M,,83.43M,,,176.35M,963.21M,1.386B,,1.386B,168.14M,168.14M,,,,651.36M,2.206B,3.169B,9.614M,1.149B,20.00M,,,,-78.49M,1.100B
2003-03,9.035M,,9.035M,487.27M,,,95.39M,582.66M,67.53M,35.20M,72.25M,,174.98M,,26.07M,78.78M,871.53M,,,,,,,3.265B,-1.893B,1.371B,,1.227B,1.227B,,,,233.91M,390.07M,3.222B,4.094B,250.61M,,250.61M,431.01M,681.62M,,,,155.51M,,155.51M,,,124.79M,961.92M,1.356B,,1.356B,160.34M,160.34M,,,,616.58M,2.133B,3.095B,9.612M,1.080B,19.80M,,,,-110.80M,998.93M
2002-12,59.17M,,59.17M,621.05M,,,84.38M,705.43M,68.52M,31.85M,86.37M,,184.67M,,20.98M,83.66M,1.054B,0.00,143.83M,681.58M,2.378B,,69.92M,3.274B,-1.893B,1.380B,,1.256B,1.256B,,,,,607.13M,3.244B,4.297B,305.30M,,305.30M,491.15M,796.45M,,,,144.05M,,144.05M,,,207.39M,1.148B,1.383B,,1.383B,156.44M,156.44M,,,,627.84M,2.168B,3.316B,9.612M,1.087B,19.73M,,,,-134.46M,981.85M
2002-09,70.74M,,70.74M,515.42M,,,107.76M,623.18M,69.42M,33.19M,101.75M,11.82M,216.19M,,,89.47M,999.58M,,,,,,,2.993B,-1.663B,1.330B,,1.171B,1.171B,,,,,628.11M,3.129B,4.129B,330.47M,,330.47M,496.15M,826.62M,,,,51.11M,,51.11M,,,132.36M,1.010B,1.447B,,1.447B,266.14M,266.14M,,,,253.72M,1.967B,2.977B,9.585M,1.074B,,,13.29M,55.51M,68.80M,1.152B
2002-06,138.11M,,138.11M,489.39M,101.69M,,,591.08M,48.27M,34.35M,109.40M,12.85M,204.87M,,,96.78M,1.031B,,,,,,,2.984B,-1.663B,1.321B,,1.155B,1.155B,,,,,595.00M,3.072B,4.102B,326.69M,,326.69M,426.82M,753.51M,,,,106.71M,,106.71M,,,144.89M,1.005B,1.513B,,1.513B,231.69M,231.69M,,,,267.39M,2.012B,3.018B,9.578M,1.034B,11.39M,,,,29.49M,1.085B
2002-03,177.40M,,177.40M,427.13M,80.44M,,,507.57M,70.83M,35.72M,98.12M,13.60M,218.28M,,,92.37M,995.63M,,,,,,,2.945B,-1.663B,1.282B,,1.076B,1.076B,,,,,589.01M,2.947B,3.942B,276.62M,,276.62M,441.52M,718.14M,,,,110.00M,,110.00M,,,125.65M,953.79M,1.555B,,1.555B,233.84M,233.84M,,,,224.34M,2.013B,2.967B,9.541M,974.21M,5.646M,,,,-13.86M,975.54M
2001-12,77.13M,232.57M,309.70M,94.98M,,,13.75M,108.73M,41.53M,23.36M,32.44M,19.98M,115.12M,21.72M,27.79M,23.45M,606.53M,0.00,94.32M,506.54M,1.784B,6.798M,141.66M,2.533B,-1.663B,869.71M,,86.29M,86.29M,,,,,177.16M,1.133B,1.740B,222.49M,,222.49M,178.78M,401.27M,,,,85.00M,,85.00M,,,31.27M,517.54M,20.00M,,20.00M,61.64M,61.64M,,,,189.20M,270.84M,788.38M,9.519M,954.98M,,,-0.357M,-12.83M,-13.19M,951.31M
2001-09,47.54M,61.72M,109.26M,154.51M,,,,154.51M,43.32M,22.09M,37.93M,18.86M,122.21M,,,62.97M,448.96M,,,,,,,2.511B,-1.697B,813.85M,,,,,,,,415.92M,1.230B,1.679B,164.19M,,164.19M,231.74M,395.93M,,,,80.00M,,80.00M,,,,475.93M,25.00M,,25.00M,71.09M,71.09M,,,,130.84M,226.94M,702.87M,9.639M,970.86M,,,,,-4.641M,975.86M
2001-06,77.93M,47.44M,125.37M,188.21M,,,,188.21M,14.31M,23.47M,55.47M,9.065M,102.32M,,,60.08M,475.98M,,,,,,,2.465B,-1.697B,767.93M,,,,,,,,439.34M,1.207B,1.683B,210.08M,,210.08M,183.83M,393.91M,,,,,,,,,,393.91M,105.00M,,105.00M,75.84M,75.84M,,,,120.11M,300.94M,694.86M,9.832M,961.76M,14.96M,,,,1.839M,988.39M
2001-03,41.96M,38.03M,80.00M,156.63M,,,,156.63M,25.36M,30.77M,62.18M,11.09M,129.40M,,,63.17M,429.19M,,,,,,,2.433B,-1.697B,736.35M,93.52M,,93.52M,,,,,354.05M,1.184B,1.613B,184.23M,,184.23M,171.11M,355.34M,,,,,,,,,,355.34M,105.00M,,105.00M,86.10M,86.10M,,,,117.63M,308.74M,664.08M,9.843M,919.56M,17.36M,,,,2.266M,949.03M
2000-12,119.76M,72.76M,192.52M,104.48M,,,22.59M,127.08M,37.57M,23.74M,40.04M,8.58M,109.92M,19.85M,24.68M,23.70M,497.75M,0.00,93.51M,508.44M,1.731B,7.373M,91.96M,2.433B,-1.697B,735.79M,29.45M,,29.45M,,,,,366.31M,1.132B,1.629B,197.73M,,197.73M,149.14M,346.87M,,,,,,,,,32.47M,379.34M,105.00M,,105.00M,89.99M,89.99M,,,,122.59M,317.58M,696.92M,9.801M,908.12M,11.20M,,-0.371M,3.633M,3.262M,932.39M
2000-09,74.81M,80.61M,155.42M,167.19M,,,,167.19M,44.52M,20.15M,47.56M,9.321M,121.54M,,,62.39M,506.54M,,,,,,,2.315B,-1.615B,700.78M,,,,,,,,419.93M,1.121B,1.627B,172.82M,,172.82M,210.74M,383.56M,,,,,,,,,,383.56M,105.00M,,105.00M,97.31M,97.31M,,,,124.74M,327.05M,710.61M,9.74M,903.00M,4.035M,,,,-0.148M,916.63M
2000-06,316.88M,24.20M,341.08M,187.79M,,,,187.79M,7.819M,25.55M,43.09M,8.912M,85.37M,,,58.70M,672.94M,,,,,,,2.323B,-1.615B,708.54M,,,,,,,,229.16M,937.70M,1.611B,203.16M,,203.16M,203.40M,406.56M,,,,,,,,,,406.56M,105.00M,,105.00M,84.30M,84.30M,,,,124.03M,313.33M,719.89M,9.732M,875.36M,6.594M,,,,-0.941M,890.75M
2000-03,184.23M,94.32M,278.55M,145.36M,,,,145.36M,21.35M,25.31M,38.54M,8.236M,93.43M,,,54.81M,572.14M,,,,,,,2.323B,-1.615B,708.76M,,,,,,,,227.91M,936.68M,1.509B,155.13M,,155.13M,194.78M,349.91M,,,,,,,,,,349.91M,105.00M,,105.00M,77.42M,77.42M,,,,126.83M,309.25M,659.16M,9.707M,833.83M,6.217M,,,,-0.094M,849.66M
1999-12,163.81M,113.18M,276.99M,123.86M,,,35.80M,159.66M,34.08M,19.04M,44.07M,10.07M,107.26M,24.86M,20.47M,23.58M,612.82M,0.00,94.69M,501.01M,1.681B,7.423M,44.84M,2.329B,-1.615B,714.00M,31.29M,,31.29M,,,,,188.26M,933.56M,1.546B,179.62M,,179.62M,150.68M,330.29M,,,,,,,,,62.41M,392.70M,105.00M,,105.00M,78.73M,78.73M,,,,128.40M,312.13M,704.84M,9.703M,825.07M,5.773M,,-5.885M,6.878M,0.993M,841.54M
1999-09,137.32M,123.41M,260.73M,162.56M,,,,162.56M,32.16M,22.51M,41.66M,10.61M,106.93M,,,85.22M,615.44M,,,,,,,2.228B,-1.515B,712.63M,,,,,,,,221.38M,934.01M,1.549B,209.56M,,209.56M,202.93M,412.49M,,,,,,,,,,412.49M,105.00M,,105.00M,63.04M,63.04M,,,,129.08M,297.12M,709.61M,9.735M,818.92M,12.74M,,,,-1.552M,839.83M
1999-06,215.40M,31.04M,246.44M,190.65M,,,,190.65M,9.998M,26.57M,49.58M,8.753M,94.89M,,,73.41M,605.40M,,,,,,,2.237B,-1.515B,721.81M,,,,,,,,251.59M,973.40M,1.579B,222.91M,,222.91M,226.20M,449.11M,,,,15.00M,,15.00M,,,,464.11M,105.00M,,105.00M,61.02M,61.02M,,,,129.85M,295.87M,759.98M,9.716M,802.99M,10.45M,,,,-4.341M,818.81M
1999-03,139.06M,37.09M,176.14M,138.59M,,,,138.59M,21.52M,29.65M,31.77M,8.146M,91.09M,,,59.04M,464.86M,,,,,,,2.227B,-1.515B,712.07M,,,,,,,,247.39M,959.45M,1.424B,130.61M,,130.61M,181.87M,312.48M,,,,25.00M,,25.00M,,,,337.48M,105.00M,,105.00M,61.85M,61.85M,,,,132.99M,299.85M,637.32M,9.748M,763.01M,18.58M,,,,-4.354M,786.98M
1998-12,160.04M,96.19M,256.23M,106.96M,,,19.65M,126.61M,34.02M,24.53M,38.52M,5.598M,102.66M,12.85M,22.92M,27.73M,548.99M,0.00,94.56M,494.34M,1.581B,8.623M,50.84M,2.230B,-1.515B,714.44M,23.11M,,23.11M,,,,,174.05M,911.61M,1.461B,143.90M,,143.90M,141.55M,285.45M,,,,40.00M,,40.00M,,,58.46M,383.91M,105.00M,,105.00M,65.78M,65.78M,,,,131.11M,301.89M,685.80M,9.688M,756.53M,10.50M,,,,-1.926M,774.80M
1998-09,197.20M,49.54M,246.74M,138.16M,,,,138.16M,31.97M,23.68M,36.12M,5.702M,97.47M,,,63.10M,545.48M,,,,,,,2.119B,-1.412B,707.48M,,,,,,,,164.49M,871.97M,1.417B,136.56M,,136.56M,205.98M,342.54M,,,,40.00M,,40.00M,,,,382.54M,105.00M,,105.00M,69.35M,69.35M,,,,95.02M,269.38M,651.92M,9.645M,752.67M,5.484M,,,,-2.266M,765.53M
1998-06,192.90M,39.03M,231.94M,153.68M,,,,153.68M,14.60M,23.98M,44.81M,6.434M,89.82M,,,65.83M,541.27M,,,,,,,2.124B,-1.412B,711.95M,,,,,,,,153.23M,865.18M,1.406B,140.64M,,140.64M,198.72M,339.36M,,,,25.00M,,25.00M,,,,364.36M,120.00M,,120.00M,72.83M,72.83M,,,,94.09M,286.92M,651.28M,9.601M,749.85M,0.175M,,,,-4.459M,755.17M
