,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2013-03,325.60M,,-6.20M,,-1.10M,-29.70M,-36.90M,,,,139.20M,-218.90M,3.40M,15.90M,19.30M,-69.60M,2.20M,65.30M,-45.70M,,-5.40M,-53.20M,,175.10M,-102.00M,4.70M,4.70M,0.20M,,5.70M,-91.40M,-66.40M,,-66.40M,,4.20M,4.20M,0.00,0.00,-1.30M,-63.50M,31.00M,20.20M,0.10M,51.30M,,67.80M,-134.20M,4.20M,3.80M,42.70M
2012-12,86.90M,,0.70M,,-0.60M,-12.80M,-12.50M,,,,138.10M,50.20M,2.70M,6.80M,9.50M,74.70M,-49.20M,-22.90M,11.00M,,-8.30M,5.30M,,277.50M,-92.00M,2.60M,2.60M,0.40M,,,-89.00M,-159.50M,,-159.50M,,-4.80M,-4.80M,-32.10M,-32.10M,1.80M,-194.60M,37.20M,-6.10M,-0.10M,31.00M,,181.90M,-341.40M,-4.80M,8.40M,9.30M
2012-09,83.40M,,2.90M,0.00,-0.50M,-143.10M,-134.40M,,,,137.60M,32.70M,10.10M,8.10M,18.20M,-8.30M,-1.40M,-41.80M,26.60M,,2.70M,-22.20M,,115.30M,-121.10M,3.40M,-13.60M,-4.90M,,0.00,-122.60M,43.80M,,43.80M,4.80M,0.00,4.80M,-14.10M,-14.10M,-10.50M,24.00M,19.50M,16.70M,1.00M,37.20M,4.80M,1.144B,-1.100B,0.00,13.00M,39.20M
2012-06,59.30M,,-6.90M,0.00,-0.80M,-54.10M,-61.70M,,,,131.40M,29.90M,3.60M,9.30M,12.90M,-9.90M,65.00M,-6.70M,-11.70M,,-4.90M,31.80M,,203.60M,-146.10M,4.50M,4.50M,-32.50M,,10.20M,-163.90M,-43.30M,,-43.30M,0.40M,1.70M,2.10M,-14.20M,-14.20M,1.00M,-54.40M,34.90M,-14.70M,-0.70M,19.50M,0.40M,130.70M,-174.00M,1.70M,3.60M,15.50M
2012-03,32.70M,,-5.40M,0.00,-1.40M,-40.00M,-27.30M,,,,132.60M,17.90M,13.90M,6.50M,20.40M,-58.50M,12.90M,76.60M,-21.80M,,7.20M,16.40M,,192.70M,-120.60M,20.90M,20.90M,0.30M,,,-99.40M,-74.20M,,-74.20M,-2.00M,-1.70M,-3.70M,-14.10M,-14.10M,-10.00M,-102.00M,41.00M,-8.70M,2.60M,34.90M,-2.00M,1.112B,-1.186B,-1.70M,-16.60M,36.50M
2011-12,76.80M,,-0.60M,-2.80M,-0.70M,-68.20M,-72.30M,,,,132.70M,42.90M,1.60M,5.30M,6.90M,132.20M,-69.40M,-102.10M,-10.90M,,8.30M,-41.90M,,145.10M,-81.60M,11.70M,11.70M,-88.40M,,,-158.30M,27.20M,,27.20M,2.00M,,2.00M,-14.10M,-14.10M,-1.30M,13.80M,41.70M,0.60M,-1.30M,41.00M,2.00M,130.40M,-103.20M,,,23.60M
2011-09,84.80M,,1.00M,,-0.30M,-22.70M,-20.30M,,,-147.40M,130.90M,51.20M,27.30M,4.80M,45.80M,-8.60M,-31.10M,-51.20M,,,-91.90M,-149.60M,,122.00M,-91.90M,0.70M,0.70M,1.10M,,0.50M,-89.60M,-25.70M,,-25.70M,25.20M,-24.20M,1.00M,-37.60M,-14.00M,-7.90M,-46.60M,51.60M,-14.20M,4.30M,41.70M,25.20M,439.50M,-465.20M,-24.20M,-19.60M,-42.80M
2011-06,-28.40M,,0.00,,-0.60M,,38.90M,,,73.50M,73.50M,-17.70M,3.50M,7.20M,-1.40M,-11.30M,39.30M,4.50M,,,37.60M,70.10M,,145.70M,-48.70M,7.00M,7.00M,-1.301B,,,-1.343B,1.291B,,1.291B,,27.90M,27.90M,15.70M,-7.90M,-74.20M,1.237B,11.90M,39.30M,0.40M,51.60M,,3.182B,-1.892B,27.90M,3.40M,10.80M
2011-03,38.30M,,-0.30M,,-0.30M,-5.40M,-6.00M,,,73.90M,37.20M,6.70M,0.50M,5.40M,4.30M,-44.70M,7.90M,38.10M,,,-2.20M,-0.90M,,89.70M,-30.30M,0.50M,0.50M,-0.80M,-0.30M,-0.20M,-31.10M,-44.50M,,-44.50M,-0.80M,-3.70M,-4.50M,-15.70M,-7.90M,0.30M,-56.60M,10.00M,2.00M,-0.10M,11.90M,-0.80M,38.10M,-82.60M,-3.70M,11.30M,27.30M
2010-12,51.30M,,0.20M,,-0.30M,5.40M,5.30M,,,,36.70M,19.80M,0.20M,4.00M,4.20M,50.20M,-16.60M,-46.90M,,,0.30M,-13.00M,,104.30M,-28.50M,0.40M,0.40M,0.00,0.30M,0.20M,-27.60M,-71.50M,,-71.50M,0.80M,,0.80M,,-7.80M,-3.40M,-81.90M,15.90M,-5.20M,-0.70M,10.00M,0.80M,20.00M,-91.50M,,4.90M,4.70M
