,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2007-09,10.90M,,10.90M,230.60M,,230.60M,71.90M,,152.10M,34.30M,224.40M,,28.60M,494.50M,0.0,274.80M,5.90M,1.379B,,,1.660B,-822.60M,837.50M,364.50M,67.60M,432.10M,,36.60M,1.306B,1.801B,161.60M,161.60M,73.80M,235.40M,46.00M,46.00M,63.50M,344.90M,676.30M,676.30M,125.70M,125.70M,,,9.90M,,54.90M,856.90M,1.202B,0.40M,357.80M,222.60M,,8.20M,589.00M
2007-06,8.10M,,8.10M,234.90M,,234.90M,63.90M,,151.40M,34.00M,218.30M,,28.50M,489.80M,0.0,270.90M,5.90M,1.354B,,,1.631B,-795.10M,836.10M,362.80M,68.10M,430.90M,,43.10M,1.310B,1.800B,132.70M,132.70M,66.80M,199.50M,135.40M,135.40M,60.40M,395.30M,597.60M,597.60M,113.60M,113.60M,,,10.40M,,71.20M,782.40M,1.178B,0.40M,388.80M,232.00M,,-9.40M,611.80M
2007-03,11.60M,,11.60M,231.70M,,231.70M,66.50M,,151.10M,33.00M,220.60M,,37.10M,501.00M,0.0,267.00M,6.10M,1.336B,,,1.609B,-770.80M,838.00M,364.00M,66.00M,430.00M,,42.40M,1.310B,1.811B,129.70M,129.70M,62.30M,192.00M,125.80M,125.80M,51.70M,369.50M,656.80M,656.80M,108.10M,108.10M,,,11.00M,,87.10M,852.00M,1.222B,0.40M,368.70M,229.20M,,-19.40M,578.90M
2006-12,6.30M,,6.30M,207.90M,,207.90M,77.30M,,144.20M,34.70M,228.90M,,35.30M,478.40M,0.0,266.00M,6.10M,1.317B,,,1.589B,-750.50M,838.40M,355.00M,53.40M,408.40M,,43.80M,1.291B,1.769B,129.40M,129.40M,50.90M,180.30M,125.50M,125.50M,60.30M,366.10M,652.70M,652.70M,104.40M,104.40M,,,19.80M,,87.70M,844.80M,1.211B,0.40M,352.90M,202.80M,,-17.80M,538.30M
2006-09,6.90M,,6.90M,230.80M,,230.80M,70.60M,,140.00M,35.40M,218.90M,,29.00M,485.60M,0.0,266.00M,6.20M,1.310B,,,1.583B,-732.10M,850.60M,356.60M,55.10M,411.70M,,36.10M,1.298B,1.784B,141.80M,141.80M,65.70M,207.50M,40.80M,40.80M,57.70M,306.00M,765.30M,765.30M,99.80M,99.80M,,,18.80M,,85.50M,950.60M,1.257B,0.40M,341.20M,179.60M,,-12.60M,508.60M
2006-06,8.00M,,8.00M,222.30M,,222.30M,71.80M,,136.30M,35.00M,218.30M,,40.60M,489.20M,0.0,266.50M,6.10M,1.313B,,,1.585B,-727.20M,858.00M,355.10M,62.50M,417.60M,,32.50M,1.308B,1.797B,159.00M,159.00M,58.80M,217.80M,111.30M,111.30M,58.50M,387.60M,737.60M,737.60M,82.30M,82.30M,,,18.60M,,102.60M,922.50M,1.310B,0.40M,323.10M,170.80M,,-25.70M,468.60M
2006-03,8.10M,,8.10M,203.60M,,203.60M,70.10M,,129.70M,33.80M,208.50M,,47.20M,467.40M,0.0,265.90M,5.60M,1.302B,,,1.574B,-712.60M,861.40M,352.80M,64.90M,417.70M,,36.50M,1.316B,1.783B,142.40M,142.40M,53.80M,196.20M,92.80M,92.80M,49.10M,338.10M,773.30M,773.30M,90.80M,90.80M,,,18.90M,,109.90M,974.00M,1.312B,0.40M,315.70M,166.70M,,-30.80M,452.00M
2005-12,16.50M,,16.50M,192.75M,,192.75M,65.40M,,125.14M,31.68M,196.65M,,47.19M,453.08M,0.0,265.62M,5.653M,1.303B,,,1.574B,-701.71M,872.62M,,415.52M,415.52M,,40.09M,1.328B,1.781B,114.27M,114.27M,44.10M,158.37M,96.72M,96.72M,54.44M,309.53M,794.42M,794.42M,86.18M,86.18M,,,17.46M,,126.36M,1.007B,1.316B,0.364M,313.79M,164.68M,,-31.46M,447.37M
2005-09,26.80M,,26.80M,199.50M,,199.50M,59.90M,,134.20M,30.70M,202.00M,,33.90M,462.20M,0.0,267.20M,5.60M,1.298B,,,1.571B,-685.80M,885.00M,350.90M,61.90M,412.80M,,38.40M,1.336B,1.798B,116.40M,116.40M,50.90M,167.30M,7.10M,7.10M,49.80M,224.20M,895.70M,895.70M,83.00M,83.00M,,,16.60M,,122.70M,1.101B,1.326B,0.40M,326.00M,162.40M,,-32.60M,456.20M
2005-06,27.30M,,27.30M,201.34M,,201.34M,58.73M,,141.66M,33.47M,208.73M,,33.06M,470.43M,0.0,265.21M,6.125M,1.288B,,,1.559B,-665.37M,893.98M,,418.31M,418.31M,,27.38M,1.340B,1.810B,109.29M,109.29M,49.14M,158.43M,135.40M,135.40M,58.18M,352.01M,801.10M,801.10M,89.23M,89.23M,,,19.31M,,97.91M,988.24M,1.340B,0.361M,324.40M,164.63M,,-38.84M,450.55M
2005-03,28.50M,31.23M,59.74M,161.30M,,161.30M,41.75M,,102.49M,15.01M,128.90M,,26.95M,376.88M,0.0,224.62M,6.045M,966.07M,,,1.197B,-653.28M,543.44M,,314.62M,314.62M,,28.50M,886.56M,1.263B,84.44M,84.44M,40.35M,124.78M,75.09M,75.09M,40.35M,240.23M,390.69M,390.69M,85.16M,85.16M,,,,,104.95M,580.81M,821.03M,0.359M,315.83M,161.84M,,-35.63M,442.40M
2004-12,63.19M,,63.19M,154.97M,,154.97M,46.65M,,100.70M,15.83M,134.06M,,26.20M,378.42M,0.0,223.22M,6.049M,968.06M,,,1.197B,-647.46M,549.87M,,316.56M,316.56M,,29.25M,895.68M,1.274B,82.94M,82.94M,34.88M,117.82M,79.10M,79.10M,54.09M,251.01M,396.50M,396.50M,86.53M,86.53M,,,,,94.47M,577.50M,828.52M,0.358M,318.82M,160.96M,,-34.56M,445.58M
2004-09,28.66M,28.23M,56.89M,177.38M,,177.38M,42.95M,,97.14M,14.46M,127.36M,,23.81M,385.44M,0.0,221.34M,6.043M,964.35M,,,1.192B,-638.93M,552.80M,,316.07M,316.07M,,29.50M,898.37M,1.284B,94.48M,94.48M,48.75M,143.23M,85.76M,85.76M,40.52M,269.52M,381.69M,381.69M,84.95M,84.95M,,,7.452M,,102.60M,569.24M,838.76M,0.356M,321.56M,159.01M,,-43.32M,437.60M
2004-06,46.98M,,46.98M,168.19M,,168.19M,40.76M,96.08M,13.30M,,124.25M,,24.45M,363.87M,0.0,213.94M,5.938M,951.51M,,,1.171B,-624.06M,547.32M,,312.56M,312.56M,,30.81M,890.69M,1.255B,77.04M,77.04M,43.76M,120.80M,0.42M,0.42M,48.39M,169.62M,466.53M,466.53M,90.48M,90.48M,,,,,95.05M,652.06M,821.68M,0.356M,318.00M,157.96M,,-43.44M,432.88M
2004-03,73.22M,,73.22M,168.54M,,168.54M,37.31M,,94.88M,13.39M,120.57M,,13.16M,375.49M,0.0,220.39M,5.769M,976.33M,,,1.202B,-634.68M,567.80M,,314.16M,314.16M,,32.21M,914.17M,1.290B,80.48M,80.48M,42.52M,123.00M,0.414M,0.414M,38.19M,161.60M,513.98M,513.98M,89.41M,89.41M,,,,,86.05M,689.44M,851.05M,0.352M,324.72M,152.69M,,-39.16M,438.61M
2003-12,50.88M,,50.88M,153.99M,,153.99M,37.32M,,95.32M,13.52M,120.56M,,17.22M,342.65M,0.0,228.24M,5.716M,968.77M,,,1.203B,-622.15M,580.58M,,296.22M,296.22M,,50.22M,927.02M,1.270B,65.35M,65.35M,32.50M,97.86M,0.429M,0.429M,51.04M,149.32M,507.10M,507.10M,90.45M,90.45M,,,,,83.63M,681.17M,830.50M,0.351M,324.81M,151.32M,,-37.31M,439.17M
2003-09,14.17M,,14.17M,163.10M,,163.10M,37.68M,91.75M,13.25M,,118.41M,,70.42M,366.10M,0.0,226.15M,5.713M,954.46M,,,1.186B,-606.81M,579.51M,,291.80M,291.80M,,53.98M,925.29M,1.291B,84.15M,84.15M,46.94M,131.09M,12.93M,12.93M,43.47M,187.48M,512.97M,512.97M,93.80M,93.80M,,,,,75.11M,681.88M,869.36M,0.35M,315.90M,149.72M,,-43.94M,422.04M
2003-06,8.205M,,8.205M,160.72M,,160.72M,45.28M,,99.96M,12.50M,131.44M,,28.77M,329.13M,0.0,242.02M,,1.006B,,,1.248B,-629.46M,618.43M,,292.93M,292.93M,,44.95M,956.31M,1.285B,88.75M,88.75M,38.84M,127.60M,18.83M,18.83M,45.84M,192.26M,515.59M,515.59M,107.25M,107.25M,,,,,32.61M,655.45M,847.71M,0.347M,308.74M,146.32M,,-17.66M,437.73M
2003-03,5.422M,,5.422M,151.82M,,151.82M,39.69M,,97.14M,11.49M,123.91M,,17.82M,298.97M,0.0,199.98M,14.14M,991.97M,,,1.206B,-610.20M,595.89M,,287.59M,287.59M,,48.80M,932.29M,1.231B,80.89M,80.89M,35.78M,116.68M,4.335M,4.335M,35.58M,156.59M,511.10M,511.10M,90.94M,90.94M,,,,,52.95M,655.00M,811.58M,0.344M,304.29M,142.79M,,-27.74M,419.68M
2002-12,6.803M,,6.803M,135.04M,,135.04M,39.08M,,85.51M,12.46M,112.19M,,18.43M,272.46M,0.0,190.42M,9.305M,958.76M,,,1.158B,-594.06M,564.42M,,260.45M,260.45M,,50.71M,875.58M,1.148B,62.22M,62.22M,31.66M,93.88M,51.16M,51.16M,45.77M,190.81M,390.26M,390.26M,86.83M,86.83M,,,,,72.10M,549.18M,739.99M,0.343M,299.71M,141.82M,,-33.83M,408.04M
2002-09,6.56M,,6.56M,154.59M,,154.59M,37.64M,,85.01M,13.66M,111.75M,,15.06M,287.96M,0.0,195.58M,,958.50M,9.521M,,1.164B,-591.51M,572.09M,,260.42M,260.42M,,52.58M,885.09M,1.173B,75.13M,75.13M,39.46M,114.59M,62.92M,62.92M,44.33M,221.84M,410.07M,410.07M,84.34M,84.34M,,,,,51.65M,546.07M,767.90M,0.343M,298.28M,141.24M,,-34.71M,405.15M
2002-06,4.255M,,4.255M,157.43M,,157.43M,37.13M,,87.82M,13.25M,115.41M,,12.74M,289.83M,0.0,194.68M,,949.48M,8.829M,,1.153B,-580.29M,572.70M,,261.92M,261.92M,,47.79M,882.41M,1.172B,68.19M,68.19M,39.31M,107.50M,85.89M,85.89M,48.13M,241.53M,398.33M,398.33M,93.86M,93.86M,,,,,11.03M,503.22M,744.75M,0.34M,297.64M,138.63M,,-9.114M,427.50M
2002-03,3.31M,,3.31M,151.94M,,151.94M,37.00M,,82.62M,12.50M,109.03M,,11.00M,275.28M,0.0,204.12M,,934.50M,8.868M,,1.147B,-566.48M,581.02M,,270.07M,270.07M,,35.62M,886.71M,1.162B,65.15M,65.15M,34.38M,99.53M,107.28M,107.28M,37.80M,244.60M,387.56M,387.56M,92.75M,92.75M,,,,,10.34M,490.65M,735.25M,0.339M,300.85M,135.36M,,-9.80M,426.74M
2001-12,5.919M,,5.919M,135.52M,,135.52M,36.41M,,81.36M,11.66M,105.71M,,11.77M,258.91M,0.0,204.88M,,924.32M,9.166M,,1.138B,-555.91M,582.46M,,261.68M,261.68M,,38.60M,882.74M,1.142B,61.11M,61.11M,30.89M,92.00M,91.91M,91.91M,49.64M,233.54M,390.38M,390.38M,90.86M,90.86M,,,,,13.03M,494.27M,727.82M,0.335M,291.79M,131.47M,,-9.761M,413.84M
2001-09,5.191M,,5.191M,157.78M,,157.78M,35.49M,,79.36M,11.63M,102.01M,,6.098M,271.08M,0.0,206.07M,9.159M,914.30M,,,1.130B,-540.87M,588.65M,,259.66M,259.66M,,45.02M,893.33M,1.164B,79.60M,79.60M,35.86M,115.46M,97.15M,97.15M,46.64M,259.25M,388.49M,388.49M,87.99M,87.99M,,,,,25.93M,502.41M,761.65M,0.335M,282.12M,130.64M,,-10.33M,402.76M
2001-06,2.964M,,2.964M,143.67M,,143.67M,39.08M,,76.80M,12.36M,102.41M,,9.832M,258.88M,0.0,209.02M,,900.77M,8.941M,,1.119B,-526.70M,592.03M,,262.04M,262.04M,,34.95M,889.02M,1.148B,70.41M,70.41M,,70.41M,103.14M,103.14M,64.28M,237.84M,407.74M,407.74M,86.66M,86.66M,,,,,18.72M,513.12M,750.96M,0.334M,275.34M,129.94M,,-8.681M,396.94M
2001-03,3.075M,,3.075M,155.36M,,155.36M,38.78M,74.33M,11.67M,,97.68M,,6.83M,262.95M,0.0,205.12M,,888.06M,8.702M,,1.102B,-511.39M,590.50M,,263.95M,263.95M,,34.97M,889.41M,1.152B,77.46M,77.46M,31.33M,108.79M,115.34M,115.34M,30.28M,254.41M,407.83M,407.83M,82.71M,82.71M,,,,,20.46M,510.99M,765.40M,0.333M,268.71M,127.64M,,-9.73M,386.96M
2000-12,8.875M,,8.875M,,,136.98M,,,,,101.22M,,8.965M,256.04M,,,,,,,1.091B,-499.36M,591.95M,,266.40M,266.40M,,31.66M,890.01M,1.146B,72.87M,72.87M,,72.87M,101.63M,101.63M,51.14M,225.64M,434.41M,434.41M,80.29M,80.29M,,,,,22.52M,537.22M,762.86M,0.332M,263.90M,127.05M,,-8.09M,383.19M
2000-09,5.449M,,5.449M,,,156.16M,,,,,99.59M,,8.05M,269.24M,,,,,,,1.078B,-485.40M,592.54M,,268.53M,268.53M,,28.66M,889.72M,1.159B,77.85M,77.85M,,77.85M,20.33M,20.33M,62.20M,160.38M,514.49M,514.49M,81.38M,81.38M,,,,,16.41M,612.28M,772.66M,0.334M,262.87M,127.68M,,-4.585M,386.30M
2000-06,7.354M,,7.354M,,,147.61M,,,,,108.63M,,8.92M,272.51M,,,,,,,1.078B,-492.76M,584.93M,,275.91M,275.91M,,22.74M,883.58M,1.156B,70.68M,70.68M,,70.68M,42.62M,42.62M,63.86M,177.16M,490.60M,490.60M,79.31M,79.31M,,,,,19.51M,589.41M,766.57M,0.339M,263.51M,129.49M,,-3.826M,389.52M
2000-03,3.063M,,3.063M,,,145.26M,,,,,101.63M,,8.263M,258.21M,,,,,,,1.034B,-450.73M,583.05M,,278.23M,278.23M,,20.03M,881.30M,1.140B,61.98M,61.98M,,61.98M,387.00M,387.00M,53.26M,502.23M,141.61M,141.61M,76.44M,76.44M,,,,,20.50M,238.55M,740.78M,0.347M,268.88M,132.16M,,-2.659M,398.73M
1999-12,5.60M,,5.60M,,,130.80M,,,,,105.20M,,5.90M,247.50M,,,,,,,1.046B,-446.00M,600.20M,,306.00M,306.00M,,20.00M,926.20M,1.174B,58.50M,58.50M,,58.50M,42.20M,42.20M,54.80M,155.50M,475.70M,475.70M,86.60M,86.60M,,,,,17.80M,580.10M,735.60M,0.40M,307.90M,132.60M,,-2.80M,438.10M
1999-09,4.50M,,4.50M,,,139.00M,,,,,94.50M,,5.40M,243.40M,,,,,,,1.022B,-429.70M,592.70M,,308.30M,308.30M,,17.10M,918.10M,1.162B,66.30M,66.30M,,66.30M,41.40M,41.40M,61.20M,168.90M,457.40M,457.40M,85.60M,85.60M,,,,,17.40M,560.40M,729.30M,0.40M,303.30M,132.00M,,-3.50M,432.20M
1999-06,3.10M,,3.10M,,,128.30M,,,,,98.30M,,7.00M,236.70M,,,,,,,998.20M,-415.80M,582.40M,,310.60M,310.60M,,16.30M,909.30M,1.146B,61.50M,61.50M,,61.50M,25.50M,25.50M,59.40M,146.40M,476.00M,476.00M,85.10M,85.10M,,,,,17.00M,578.10M,724.50M,,293.60M,,,,421.50M
1999-03,2.00M,,2.00M,,,118.30M,,,,,87.70M,,11.30M,219.30M,,,,,,,975.20M,-402.10M,573.10M,,312.80M,312.80M,,15.80M,901.70M,1.121B,57.50M,57.50M,,57.50M,34.60M,34.60M,50.00M,142.10M,466.10M,466.10M,84.10M,84.10M,,,,,16.10M,566.30M,708.40M,,286.30M,,,,412.60M
1998-12,8.60M,,8.60M,,,102.10M,,,,,91.80M,,5.10M,207.60M,,,,,,,957.30M,-390.10M,567.20M,,315.00M,315.00M,,16.50M,898.70M,1.106B,58.30M,58.30M,,58.30M,40.40M,40.40M,56.80M,155.50M,446.80M,446.80M,83.30M,83.30M,,,,,16.00M,546.10M,701.60M,,280.10M,,,,404.70M
1998-09,5.80M,,5.80M,,,118.20M,,,,,88.00M,,4.20M,216.20M,,,,,,,938.00M,-376.50M,561.50M,,317.40M,317.40M,,16.40M,895.30M,1.112B,45.90M,45.90M,,45.90M,43.50M,43.50M,63.10M,152.50M,464.90M,464.90M,82.20M,82.20M,,,,,14.50M,561.60M,714.10M,,274.00M,,,,397.40M
1998-06,7.60M,,7.60M,,,111.50M,,,,,97.00M,,4.60M,220.70M,,,,,,,927.10M,-361.60M,565.50M,,318.40M,318.40M,,16.20M,900.10M,1.121B,48.70M,48.70M,,48.70M,37.50M,37.50M,59.60M,145.80M,484.00M,484.00M,80.90M,80.90M,,,11.60M,,5.10M,570.00M,715.80M,,268.10M,,,,393.40M
