,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2002-03,16.64M,,,,,,,,,,,,,,,,11.32M,11.32M,,27.96M,-21.43M,0.165M,-21.26M,,,0.553M,-20.71M,,,-3.248M,1.347M,,1.347M,,-1.901M,15.04M,5.35M,,20.39M,1.347M,,,,,
2001-12,15.91M,,,,,,,,,,-21.82M,,,,,,,-64.82M,,-22.24M,-22.06M,1.779M,-20.28M,,,3.175M,-37.64M,,,37.03M,4.619M,,4.619M,-0.014M,41.64M,33.28M,-18.24M,,15.04M,4.619M,,,,,
2001-09,20.14M,,,,,,,,,,21.82M,,,,,,-11.41M,-11.41M,,30.55M,-17.91M,5.854M,-12.06M,,,0.362M,-11.70M,,,-7.554M,5.178M,,5.178M,0.003M,-2.373M,16.80M,16.48M,,33.28M,5.178M,,,,,
2001-06,17.99M,,,,,,,,,,,,,,,,15.17M,15.17M,,33.15M,-16.63M,0.797M,-15.83M,,,-0.296M,-16.13M,,,-17.54M,6.268M,,6.268M,-0.488M,-11.76M,11.54M,5.262M,,16.80M,6.268M,,,,,
2001-03,12.32M,,,,,,,,,,,,,,,,-3.755M,-3.755M,,8.562M,-11.92M,0.104M,-11.82M,,,-0.564M,-12.38M,,,4.62M,1.037M,,1.037M,0.499M,6.156M,9.204M,2.335M,,11.54M,1.037M,,,,,
2000-12,9.216M,,,,,,,,,,25.11M,,,,,,,-79.01M,,-11.55M,-17.46M,51.80M,34.34M,,,-11.08M,23.25M,,,-17.00M,2.225M,,2.225M,,-14.77M,12.27M,-3.065M,,9.204M,2.225M,,,,,
2000-09,16.57M,,,,,,,,,,-25.11M,,,,,,11.50M,11.50M,,2.964M,-21.47M,0.521M,-20.95M,,,-0.584M,-21.54M,,,18.57M,1.29M,,1.29M,-0.001M,19.86M,10.98M,1.284M,,12.27M,1.29M,,,,,
2000-06,14.35M,,,,,,,,,,0.049M,,,,,,-11.50M,-11.50M,,2.897M,-21.07M,0.156M,-20.91M,,,0.112M,-20.80M,,,17.77M,1.688M,,1.688M,0.001M,19.46M,9.432M,1.553M,,10.98M,1.688M,,,,,
2000-03,11.57M,,,,,,,,,,-0.049M,,,,,,,,,11.52M,-21.99M,0.389M,-21.60M,,,0.164M,-21.44M,,,9.407M,0.151M,,0.151M,,9.558M,9.791M,-0.359M,,9.432M,0.151M,,,,,
1999-12,11.80M,,,,,,,,,,0.20M,,,,,,,,,-3.80M,-31.90M,0.20M,-31.70M,,,0.30M,-31.40M,,,41.50M,0.70M,,0.70M,,42.20M,2.70M,7.00M,,9.80M,0.70M,,,,,
1999-09,13.40M,,,,,,,,,,3.40M,,,,,,,,,16.80M,-21.70M,0.10M,-21.60M,,,0.10M,-21.50M,,,2.70M,0.70M,,0.70M,-0.10M,3.30M,4.10M,-1.40M,,2.70M,0.70M,,,,,
1999-06,11.80M,,,,,,,,,,-13.40M,,,,,,,,,-1.60M,-17.10M,0.60M,-16.50M,,,0.20M,-16.30M,,,-0.50M,126.00M,,126.00M,-106.70M,18.80M,3.20M,0.90M,,4.10M,126.00M,,,,,
1999-03,8.60M,,,,,,,,,,9.70M,,,,,,,,,18.30M,-15.30M,6.10M,-9.20M,,,0.60M,-8.60M,,,-120.20M,5.20M,,5.20M,106.80M,-8.20M,1.70M,1.50M,,3.20M,5.20M,,,,,
1998-12,8.90M,,,,,,,,,,38.50M,,,,,,,,,-2.40M,-20.40M,3.40M,-17.00M,,,0.20M,-16.30M,,,17.20M,1.70M,,1.70M,-0.10M,18.80M,0.00,0.10M,,1.70M,1.70M,,,,,
1998-09,8.40M,,,,,,,,,,-21.80M,,,,,,,,,-13.40M,-16.60M,0.20M,-16.40M,,,-0.50M,-16.90M,,,29.80M,0.50M,,0.50M,0.20M,30.50M,0.00,0.20M,,0.00,0.50M,,,,,
1998-06,7.70M,,,,,,,,,,-14.70M,,,,,,,,,-7.00M,-5.30M,2.40M,-2.90M,,,-0.10M,-3.00M,,,9.20M,0.40M,,0.40M,-0.10M,9.50M,0.00,-0.50M,,0.00,0.40M,,,,,
