,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2008-12,,33.27M,85.65M,118.92M,152.68M,,152.68M,50.02M,1.13M,48.43M,0.628M,100.20M,11.70M,1.639M,11.68M,,396.82M,0.00,0.289M,1.844M,149.44M,0.02M,22.51M,10.33M,184.43M,-109.07M,75.36M,151.36M,66.36M,217.72M,,51.25M,5.405M,454.06M,850.88M,,2008-12,38.15M,0.558M,,38.71M,67.91M,106.62M,,,,,,,18.37M,18.37M,,,,,4.903M,4.903M,15.15M,140.14M,,2008-12,0.722M,922.09M,144.86M,344.15M,,,-12.79M,710.74M,,2008-12,AOR,
2008-09,,46.88M,81.65M,128.52M,171.93M,,171.93M,52.99M,1.498M,47.01M,4.762M,106.26M,12.91M,1.763M,14.95M,,436.34M,,,,,,,,175.80M,-105.10M,70.70M,264.65M,114.62M,379.26M,,29.69M,121.84M,601.49M,1.038B,,2008-09,46.74M,,,46.74M,63.06M,109.81M,,,,,,,21.91M,21.91M,2.594M,,,,,,14.39M,148.70M,,2008-09,0.722M,1.039B,143.73M,299.76M,,,4.982M,889.13M,,2008-09,,
2008-06,,41.92M,81.94M,123.85M,179.08M,,179.08M,49.69M,3.978M,47.67M,,101.34M,8.915M,1.87M,14.62M,,429.68M,,,,,,,,184.05M,-105.10M,78.95M,261.52M,119.06M,380.58M,,28.59M,152.67M,640.78M,1.070B,,2008-06,56.88M,,,56.88M,66.66M,123.54M,,,,,,,14.75M,14.75M,2.587M,,,,,,12.09M,152.97M,,2008-06,0.722M,1.014B,144.72M,247.41M,,,5.771M,917.49M,,2008-06,,
2008-03,,56.81M,97.41M,154.22M,171.86M,,171.86M,46.92M,3.026M,39.50M,,89.44M,10.78M,2.738M,14.48M,,443.52M,,,,,,,,174.82M,-105.10M,69.72M,247.67M,115.29M,362.96M,,31.99M,158.42M,623.08M,1.067B,,2008-03,47.12M,,,47.12M,85.23M,132.35M,,,,,,,11.11M,11.11M,13.30M,,,,,,10.69M,167.45M,,2008-03,0.722M,988.16M,143.46M,236.72M,,,3.542M,899.16M,,2008-03,,
2007-12,,38.21M,98.44M,136.65M,150.78M,,150.78M,46.57M,2.124M,36.34M,,85.04M,31.10M,2.497M,14.77M,,420.83M,0.00,1.91M,25.56M,77.14M,56.45M,11.73M,,172.79M,-105.10M,67.69M,246.51M,119.42M,365.93M,,28.41M,151.42M,613.45M,1.034B,,2007-12,42.35M,,,42.35M,69.44M,111.79M,,,,,,,9.633M,9.633M,0.751M,,,,,,9.413M,131.58M,,2007-12,0.722M,960.51M,141.52M,205.06M,,,4.995M,902.69M,,2007-12,,
2007-09,,33.03M,265.81M,298.84M,133.88M,,133.88M,47.20M,3.563M,33.75M,,84.51M,5.975M,,13.53M,,536.73M,,,,,,,,156.11M,-93.49M,62.62M,161.88M,62.24M,224.11M,,31.90M,182.71M,501.34M,1.038B,,2007-09,33.82M,,,33.82M,58.93M,92.75M,,,,,,,,,0.51M,,,,,,12.26M,105.51M,,2007-09,0.722M,929.71M,141.47M,146.36M,,,7.017M,932.56M,,2007-09,,
2007-06,,63.21M,146.10M,209.31M,124.58M,,124.58M,44.03M,1.066M,34.38M,,79.48M,6.242M,,14.62M,,434.23M,,,,,,,,155.05M,-93.49M,61.56M,151.39M,58.49M,209.89M,,29.39M,297.56M,598.40M,1.033B,,2007-06,32.44M,,,32.44M,43.54M,75.98M,,,,,,,,,1.012M,,,,,,12.26M,89.25M,,2007-06,0.722M,902.75M,139.26M,107.32M,9.846M,-1.888M,7.958M,943.37M,,2007-06,,
2007-03,,41.33M,143.91M,185.24M,136.87M,,136.87M,46.05M,1.102M,32.40M,,79.56M,5.973M,,14.18M,,421.81M,,,,,,,,153.09M,-93.49M,59.60M,151.15M,60.84M,211.99M,,28.98M,278.67M,579.24M,1.001B,,2007-03,25.98M,,,25.98M,39.12M,65.10M,,,,,,,,,13.03M,,,,,,11.80M,89.93M,,2007-03,0.722M,877.12M,137.42M,110.87M,,,6.74M,911.13M,,2007-03,,
2006-12,,41.01M,219.93M,260.94M,122.54M,,122.54M,49.17M,1.014M,31.00M,,81.19M,5.552M,,9.464M,,479.69M,0.00,1.91M,23.10M,119.25M,,6.659M,,150.92M,-93.49M,57.43M,70.71M,34.02M,104.74M,,11.92M,309.36M,483.45M,963.14M,,2006-12,28.98M,,,28.98M,43.19M,72.17M,,,,,,,,,2.683M,,,,,,10.61M,85.46M,,2006-12,0.722M,850.40M,139.08M,119.34M,,,6.812M,877.68M,,2006-12,,
2006-09,,39.56M,165.17M,204.73M,116.61M,6.002M,122.61M,52.32M,0.124M,29.62M,,82.07M,6.68M,,9.468M,,425.56M,,,,,,,,136.93M,-81.23M,55.70M,69.10M,34.10M,103.20M,,6.347M,397.26M,562.50M,988.06M,,2006-09,25.16M,,,25.16M,37.10M,62.26M,,,,,,,,,,,,,,,6.786M,69.05M,,2006-09,0.722M,828.95M,137.51M,52.54M,,,4.367M,919.01M,,2006-09,,
2006-06,,27.63M,179.77M,207.40M,115.69M,,115.69M,51.26M,0.049M,26.06M,,77.37M,6.015M,,8.419M,,414.90M,,,,,,,,135.92M,-81.23M,54.68M,69.10M,20.70M,89.80M,,8.459M,418.01M,570.95M,985.85M,,2006-06,24.19M,,,24.19M,32.69M,56.88M,,,,,,,,,1.326M,,,,,,6.569M,64.78M,,2006-06,0.722M,833.22M,136.37M,50.09M,,,0.844M,921.07M,,2006-06,,
2006-03,,17.54M,198.76M,216.30M,116.42M,,116.42M,43.88M,0.113M,22.61M,,66.60M,5.497M,,8.097M,,412.92M,,,,,,,,132.84M,-81.23M,51.61M,69.10M,18.56M,87.65M,,6.22M,394.08M,539.56M,952.48M,,2006-03,22.86M,,,22.86M,28.11M,50.97M,,,,,,,,,7.027M,,,,,,6.47M,64.47M,,2006-03,0.722M,805.54M,135.14M,52.06M,,,-1.336M,888.01M,,2006-03,,
2005-12,,25.62M,518.62M,544.24M,111.55M,,111.55M,39.78M,0.134M,23.72M,,63.64M,5.098M,,8.188M,,732.71M,0.00,1.91M,20.63M,57.24M,44.51M,6.589M,,130.88M,-81.23M,49.64M,69.10M,19.00M,88.10M,,6.216M,41.74M,185.70M,918.42M,,2005-12,24.88M,,,24.88M,26.74M,51.62M,,,,,,,,,0.535M,,,,,,8.283M,60.44M,,2005-12,0.722M,779.45M,139.43M,64.01M,,,2.377M,857.97M,,2005-12,,
2005-09,,18.45M,511.27M,529.72M,98.30M,,98.30M,41.07M,0.128M,22.49M,,63.68M,5.172M,,8.843M,,705.72M,,,,,,,,126.46M,-78.93M,47.52M,,88.90M,88.90M,,,40.16M,176.58M,882.30M,,2005-09,24.12M,,,24.12M,27.87M,51.99M,,,,0.056M,,0.056M,,,2.269M,0.075M,0.075M,1.727M,,1.727M,7.518M,61.83M,,2005-09,0.722M,789.80M,94.00M,68.16M,,,4.111M,820.47M,,2005-09,,
2005-06,,10.10M,563.71M,573.81M,105.00M,,105.00M,,,,,63.57M,5.358M,,8.747M,,756.48M,,,,,,,,126.50M,-78.93M,47.56M,,83.90M,83.90M,,,30.91M,162.38M,918.86M,,2005-06,21.67M,,,21.67M,27.50M,49.18M,,,,0.055M,,0.055M,,,1.969M,0.089M,0.089M,3.468M,,3.468M,9.009M,60.21M,,2005-06,0.721M,760.36M,92.88M,,,,4.698M,858.66M,,2005-06,,
2005-03,,15.35M,557.86M,573.21M,101.08M,,101.08M,40.17M,0.658M,23.08M,,63.90M,4.464M,,7.384M,,750.03M,,,,,,,,125.65M,-78.93M,46.72M,,76.05M,76.05M,,,28.26M,151.03M,901.07M,,2005-03,23.17M,,,23.17M,26.36M,49.53M,,,,0.055M,,0.055M,,,15.55M,0.103M,0.103M,1.156M,,1.156M,6.962M,72.10M,,2005-03,0.72M,733.60M,89.24M,,,,5.409M,828.97M,,2005-03,,
2004-12,,17.98M,540.01M,557.99M,96.88M,,96.88M,34.04M,0.569M,24.64M,,59.26M,3.884M,,6.625M,,724.64M,0.00,1.91M,20.17M,54.84M,42.69M,5.608M,,125.22M,-78.93M,46.28M,,68.31M,68.31M,,,22.99M,137.58M,862.22M,,2004-12,24.13M,,,24.13M,29.25M,53.38M,,,,0.054M,,0.054M,,,6.144M,0.117M,0.117M,0.417M,,0.417M,4.992M,64.57M,,2004-12,0.718M,706.49M,84.18M,,,,6.267M,797.65M,,2004-12,,
2004-09,,10.27M,512.77M,523.04M,95.30M,,95.30M,31.59M,0.515M,22.21M,,54.31M,4.921M,,5.481M,,683.06M,,,,,,,,113.57M,-71.07M,42.50M,,68.30M,68.30M,,,25.91M,136.71M,819.76M,,2004-09,22.03M,,,22.03M,25.92M,47.95M,,,,0.055M,,0.055M,,,4.983M,0.131M,0.131M,1.189M,,1.189M,5.439M,58.42M,,2004-09,0.717M,674.53M,81.69M,,,,4.402M,761.34M,,2004-09,,
2004-06,,9.387M,489.56M,498.94M,95.33M,,95.33M,30.12M,0.569M,16.92M,,47.61M,4.668M,,5.087M,,651.64M,,,,,,,,112.42M,-71.07M,41.35M,,68.95M,68.95M,,,15.67M,125.97M,777.61M,,2004-06,17.22M,,,17.22M,24.84M,42.05M,,,,0.16M,,0.16M,,,4.118M,0.437M,0.437M,0.602M,,0.602M,4.908M,51.24M,,2004-06,0.478M,643.21M,79.11M,,,,3.578M,726.37M,,2004-06,,
2004-03,,17.31M,470.27M,487.58M,82.10M,,82.10M,30.54M,0.546M,16.93M,,48.01M,4.414M,,4.617M,,626.73M,,,,,,,,112.97M,-71.07M,41.90M,,69.51M,69.51M,,,14.57M,125.98M,752.70M,,2004-03,20.77M,,,20.77M,22.12M,42.89M,,,,0.182M,,0.182M,,,11.12M,0.351M,0.351M,1.898M,,1.898M,5.885M,60.07M,,2004-03,0.476M,613.78M,72.24M,,,,6.133M,692.63M,,2004-03,,
2003-12,,14.27M,433.58M,447.85M,81.87M,,81.87M,29.13M,0.645M,13.01M,,42.78M,4.415M,,4.507M,,581.42M,0.00,1.91M,16.79M,51.70M,37.49M,2.473M,,110.36M,-71.07M,39.29M,,70.18M,70.18M,,,10.73M,120.19M,701.61M,,2003-12,16.24M,,,16.24M,26.94M,43.18M,,,,0.153M,,0.153M,,,2.273M,0.452M,0.452M,0.723M,,0.723M,4.094M,49.70M,,2003-12,0.474M,585.85M,62.17M,,,,3.429M,651.92M,,2003-12,,
2003-09,,19.88M,402.74M,422.62M,82.86M,,82.86M,23.81M,1.026M,14.24M,,39.07M,5.645M,,5.324M,,555.52M,,,,,,,,99.62M,-61.15M,38.47M,,56.90M,56.90M,,0.053M,18.81M,114.23M,669.76M,,2003-09,17.53M,,,17.53M,19.54M,37.07M,,,,0.167M,,0.167M,,,8.313M,0.409M,0.409M,,,,3.055M,48.60M,,2003-09,0.473M,561.45M,57.81M,1.142M,,,2.56M,621.16M,,2003-09,,
2003-06,,19.12M,382.23M,401.35M,79.56M,,79.56M,24.32M,1.381M,14.32M,,40.03M,5.855M,,4.899M,,531.69M,,,,,,,,100.31M,-61.15M,39.16M,,57.27M,57.27M,,1.255M,9.742M,107.43M,639.11M,,2003-06,16.49M,,,16.49M,16.92M,33.41M,,0.626M,0.166M,0.792M,,0.792M,,,7.499M,0.379M,0.379M,,,,2.701M,44.40M,,2003-06,0.315M,538.45M,57.60M,2.913M,,,1.259M,594.71M,,2003-06,,
2003-03,,26.51M,349.42M,375.93M,78.28M,,78.28M,24.37M,1.431M,14.42M,,40.22M,5.017M,,4.73M,,504.18M,,,,,,,,99.88M,-61.15M,38.74M,,57.64M,57.64M,,1.168M,9.572M,107.12M,611.29M,,2003-03,18.27M,,,18.27M,16.19M,34.46M,,0.288M,0.158M,0.446M,,0.446M,,,15.94M,0.416M,0.416M,,,,2.09M,52.94M,,2003-03,0.315M,516.19M,55.64M,12.90M,,,-0.885M,558.36M,,2003-03,,
2002-12,,18.42M,330.16M,348.58M,71.30M,,71.30M,21.40M,1.104M,15.56M,,38.07M,2.531M,,4.107M,,464.58M,0.00,1.91M,11.50M,47.86M,38.06M,1.274M,,100.61M,-61.15M,39.46M,,58.01M,58.01M,,1.722M,9.313M,108.51M,573.09M,,2002-12,15.45M,,,15.45M,17.66M,33.11M,,0.275M,0.145M,0.42M,,0.42M,,,3.376M,0.605M,0.605M,,,,2.029M,38.93M,,2002-12,0.315M,494.15M,56.48M,16.76M,,,-0.028M,534.16M,,2002-12,,
2002-09,,12.98M,298.23M,311.20M,78.38M,,78.38M,21.49M,0.565M,14.68M,,36.73M,3.521M,,4.87M,,434.71M,,,,,,,,89.58M,-50.89M,38.69M,,58.40M,58.40M,,1.65M,9.609M,108.35M,543.06M,,2002-09,17.11M,,,17.11M,13.63M,30.74M,,0.287M,0.113M,0.40M,,0.40M,,,5.558M,0.216M,0.216M,,,,1.377M,38.07M,,2002-09,0.315M,473.82M,54.32M,22.51M,,,-0.964M,504.99M,,2002-09,,
2002-06,,17.05M,272.28M,289.33M,73.56M,,73.56M,22.90M,0.952M,16.10M,,39.95M,2.955M,,4.942M,,410.73M,,,,,,,,90.88M,-50.89M,39.99M,,58.69M,58.69M,,2.676M,8.25M,109.61M,520.34M,,2002-06,17.40M,,,17.40M,12.70M,30.10M,,0.287M,0.114M,0.401M,,0.401M,,,5.076M,0.242M,0.803M,,,,1.167M,36.74M,,2002-06,0.315M,453.96M,55.00M,25.03M,,,-0.652M,483.59M,,2002-06,,
2002-03,,20.00M,250.29M,270.29M,72.32M,,72.32M,22.54M,1.045M,13.23M,,36.82M,2.626M,,4.328M,,386.38M,,,,,,,,91.31M,-50.89M,40.42M,54.46M,4.606M,59.06M,,1.742M,9.90M,111.12M,497.50M,,2002-03,15.61M,,,15.61M,11.88M,27.48M,,,,0.387M,,0.387M,,,10.10M,0.233M,0.233M,,,,0.881M,38.85M,,2002-03,0.315M,437.50M,58.22M,33.81M,,,-3.569M,458.65M,,2002-03,,
2001-12,,26.33M,223.02M,249.35M,67.16M,,67.16M,25.41M,1.36M,13.15M,,39.92M,3.611M,,4.295M,,364.34M,0.00,1.91M,12.03M,35.51M,39.48M,2.705M,,91.63M,-50.89M,40.74M,32.74M,26.69M,59.43M,,0.902M,14.15M,115.22M,479.56M,,2001-12,14.41M,,,14.41M,14.99M,29.41M,,,,0.30M,,0.30M,,,4.121M,0.408M,0.408M,,,,0.721M,34.55M,,2001-12,0.315M,422.56M,59.01M,35.48M,,,-1.393M,445.01M,,2001-12,,
2001-09,,9.432M,201.67M,211.10M,82.83M,,82.83M,28.32M,1.982M,12.95M,,43.25M,3.123M,,4.984M,,345.28M,,,,,,,,84.57M,-42.69M,41.88M,33.18M,27.57M,60.75M,,1.235M,13.38M,117.25M,462.54M,,2001-09,18.61M,,,18.61M,13.65M,32.26M,,,,0.39M,,0.39M,,,3.699M,0.292M,0.292M,,,,0.639M,36.99M,,2001-09,0.315M,407.31M,59.50M,40.60M,,,-0.983M,425.54M,,2001-09,,
2001-06,,17.91M,165.67M,183.58M,79.52M,,79.52M,33.96M,2.492M,11.52M,,47.97M,2.295M,,4.773M,,318.14M,,,,,,,,83.94M,-42.69M,41.24M,33.63M,28.42M,62.05M,,2.978M,13.32M,119.59M,437.72M,,2001-06,16.30M,,,16.30M,12.30M,28.60M,,0.285M,0.10M,0.385M,,0.385M,,,2.238M,0.292M,0.292M,,,,0.61M,31.83M,,2001-06,0.315M,392.43M,60.72M,43.57M,,,-3.994M,405.90M,,2001-06,,
2001-03,,35.33M,145.64M,180.97M,76.57M,,76.57M,30.47M,0.592M,24.89M,,55.95M,1.97M,,4.786M,,320.25M,,,,,,,,83.70M,-42.69M,41.01M,34.08M,28.45M,62.53M,,3.759M,7.443M,114.74M,434.98M,,2001-03,18.40M,,,18.40M,12.21M,30.62M,,0.196M,0.102M,0.298M,,0.298M,,,14.34M,,0.319M,,,,0.612M,45.86M,,2001-03,0.315M,377.96M,61.68M,46.04M,,,-4.789M,389.12M,,2001-03,,
2000-12,,24.82M,131.90M,156.71M,,,83.94M,,,,,56.85M,,,,6.179M,303.69M,,,,,,,,84.28M,-42.69M,41.59M,,63.81M,63.81M,,,9.813M,115.21M,418.90M,,2000-12,23.84M,,,23.84M,,23.84M,,,,0.226M,,0.226M,,,22.82M,,0.513M,,,,0.721M,47.61M,,2000-12,0.315M,361.03M,63.49M,50.13M,,,-3.416M,371.29M,,2000-12,,
2000-09,,36.34M,107.01M,143.35M,,,81.01M,,,,,53.77M,,,,6.198M,284.34M,,,,,,,,82.29M,-40.93M,41.36M,,65.11M,65.11M,,,7.613M,114.08M,398.42M,,2000-09,23.39M,,,23.39M,,23.39M,,,,1.288M,,1.288M,,,21.37M,,0.375M,,,,0.621M,46.67M,,2000-09,0.316M,343.87M,62.87M,51.98M,,,-3.334M,351.75M,,2000-09,,
2000-06,,41.19M,134.52M,175.71M,,,78.97M,,,,,55.51M,,,,6.691M,316.88M,,,,,,,,79.97M,-38.86M,41.11M,,66.08M,66.08M,,,7.767M,114.96M,431.84M,,2000-06,32.53M,,,32.53M,,32.53M,,,,35.37M,,35.37M,,,17.85M,,0.446M,,,,0.674M,86.43M,,2000-06,0.315M,321.28M,63.48M,37.84M,,,-1.833M,345.41M,,2000-06,,
2000-03,,134.86M,163.62M,298.48M,,,59.20M,,,,,47.18M,,,,5.21M,410.07M,,,,,,,,78.19M,-36.39M,41.80M,,,,,,6.182M,47.98M,458.06M,,2000-03,20.68M,,,20.68M,,20.68M,,,,50.39M,,50.39M,,,17.00M,,0.466M,2.125M,,2.125M,2.795M,90.86M,,2000-03,0.315M,304.63M,63.17M,,,,-0.92M,367.19M,,2000-03,,
1999-12,,38.50M,197.07M,235.57M,,,62.87M,,,,,42.38M,,,,5.081M,345.90M,,,,,,,,75.69M,-34.00M,41.69M,,0.189M,0.189M,,,6.87M,48.74M,394.64M,,1999-12,23.80M,,,23.80M,,23.80M,,,,0.46M,,0.46M,,,18.84M,,0.571M,1.473M,,1.473M,2.242M,45.34M,,1999-12,0.314M,289.40M,60.07M,,,,-0.483M,349.31M,,1999-12,,
1999-09,,19.80M,196.30M,216.10M,,,70.80M,,,,,36.10M,,,,8.60M,331.60M,,,,,,,,65.50M,-25.90M,39.60M,,,,,,4.50M,44.10M,375.70M,,1999-09,25.60M,,,25.60M,,25.60M,,,,0.20M,,0.20M,,,19.30M,,,2.60M,,2.60M,2.90M,48.00M,,1999-09,0.30M,269.50M,57.60M,,,,0.30M,327.70M,,1999-09,,
1999-06,,28.00M,,28.00M,,,65.10M,,,,,32.20M,,,,172.20M,297.50M,,,,,,,,62.40M,-23.60M,38.80M,,,,,,4.60M,43.40M,340.90M,,1999-06,17.60M,,,17.60M,,17.60M,,,,0.20M,,0.20M,,,19.20M,,,2.10M,,2.10M,2.20M,39.20M,,1999-06,,249.50M,,,,,,301.70M,,1999-06,,
1999-03,,21.30M,,21.30M,,,58.90M,,,,,34.80M,,,,165.00M,280.00M,,,,,,,,60.00M,-21.20M,38.80M,,,,,,4.00M,42.80M,322.80M,,1999-03,17.70M,,,17.70M,,17.70M,,,,0.20M,,0.20M,,,20.10M,,,2.00M,,2.00M,2.20M,40.20M,,1999-03,,232.40M,,,,,,282.60M,,1999-03,,
1998-12,,11.40M,151.30M,162.70M,,,57.70M,,,,,39.70M,,,,6.40M,266.50M,,,,,,,,65.50M,-26.60M,38.90M,,,,,,4.60M,43.50M,310.00M,,1998-12,20.60M,,,20.60M,,20.60M,,,,0.20M,,0.20M,,,16.00M,,,1.90M,,1.90M,2.30M,39.10M,,1998-12,,219.80M,,,,,,270.90M,,1998-12,,
1998-09,,7.10M,,7.10M,,,41.90M,,,,,20.10M,,,,146.80M,215.90M,,,,,,,,37.00M,-18.60M,18.40M,,,,,,4.30M,22.70M,238.60M,,1998-09,12.40M,,,12.40M,,12.40M,,,,0.20M,,0.20M,,,12.20M,,,,,,0.20M,25.00M,,1998-09,,181.70M,,,,,,213.60M,,1998-09,,
1998-06,,9.40M,,9.40M,,,38.20M,,,,,19.90M,,,,138.20M,205.70M,,,,,,,,33.20M,-16.60M,16.60M,,,,,,4.00M,20.60M,226.30M,,1998-06,12.80M,,,12.80M,,12.80M,,,,0.20M,,0.20M,,,10.80M,,,0.60M,,0.60M,0.80M,24.60M,,1998-06,,170.50M,,,,,,201.70M,,1998-06,,
