,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2005-12,25.76M,,,,1.852M,7.954M,0.21M,8.164M,8.164M,-3.482M,,,,,-8.663M,0.065M,2.754M,,1.152M,0.072M,-4.62M,,2005-12,-5.828M,-1.717M,-7.545M,,-169.88M,-0.56M,-177.98M,2005-12,,-0.42M,208.81M,,208.81M,,,208.39M,,2005-12,34.08M,-0.369M,91.79M,,2005-12,,,,,,,2005-12,
2005-09,272.26M,,,,3.929M,7.537M,0.255M,7.792M,7.792M,-255.34M,,,,-1.338M,-4.194M,2.567M,-6.818M,,0.664M,-0.018M,-7.799M,,2005-09,-1.595M,1.717M,0.122M,-1.717M,27.00M,-6.734M,18.67M,2005-09,,-56.78M,1.933M,,1.933M,,,-54.85M,,2005-09,51.03M,-0.259M,34.08M,,2005-09,,,,,,,2005-09,
2005-06,15.90M,,,,-0.321M,4.796M,0.278M,5.074M,5.074M,0.00,,,,1.338M,-1.837M,-1.926M,-1.846M,,-0.294M,0.836M,-5.067M,,2005-06,-11.93M,,-11.93M,1.717M,-1.31M,2.121M,-9.398M,2005-06,,-0.093M,4.145M,,4.145M,,,4.052M,,2005-06,39.88M,-0.431M,51.03M,,2005-06,,,,,,,2005-06,
2005-03,14.08M,,,,0.867M,3.866M,0.274M,4.14M,4.14M,0.158M,,,,,-4.761M,0.777M,4.878M,,-0.071M,-1.365M,-0.542M,,2005-03,-7.598M,,-7.598M,,-5.341M,-2.121M,-15.06M,2005-03,,-0.134M,1.643M,,1.643M,,,1.509M,,2005-03,35.32M,-0.588M,39.88M,,2005-03,,,,,,,2005-03,
2004-12,13.39M,,,,0.282M,,,4.051M,4.051M,0.408M,,,,,-1.411M,-1.441M,0.038M,,0.555M,-0.298M,-2.557M,,2004-12,-4.948M,0.00,-4.948M,,0.226M,-2.19M,-6.912M,2004-12,,-25.02M,3.864M,,3.864M,,,-21.15M,,2004-12,46.22M,1.586M,35.32M,,2004-12,,,,,,,2004-12,
2004-09,11.25M,,,,0.169M,,,4.469M,4.469M,,,,,-0.145M,-2.076M,2.057M,0.281M,,-2.37M,0.914M,-1.194M,,2004-09,0.223M,0.00,0.223M,,59.06M,-5.473M,53.81M,2004-09,,-13.25M,1.095M,,1.095M,,,-12.16M,,2004-09,44.08M,0.357M,46.22M,,2004-09,,,,,,,2004-09,
2004-06,6.803M,,,,1.284M,,,5.189M,5.189M,-0.03M,,,,0.145M,-1.696M,-0.037M,1.755M,,-0.867M,-0.068M,-0.913M,,2004-06,-6.329M,0.00,-6.329M,,-85.52M,1.754M,-90.09M,2004-06,,-68.66M,6.617M,,6.617M,,,-62.04M,,2004-06,129.48M,-0.167M,44.08M,,2004-06,,,,,,,2004-06,
2004-03,2.921M,,,,1.46M,,,6.497M,6.497M,0.03M,,,,,-3.333M,2.474M,-2.204M,,0.723M,0.068M,-2.272M,,2004-03,-1.288M,0.009M,-1.279M,,50.31M,3.246M,52.27M,2004-03,,-38.69M,2.178M,,2.178M,,,-36.51M,,2004-03,105.65M,-0.568M,129.48M,,2004-03,,,,,,,2004-03,
2003-12,-2.079M,,,,3.462M,,,8.332M,8.332M,,,,,,4.495M,-6.204M,-13.24M,,-10.88M,24.09M,-1.735M,,2003-12,4.747M,0.00,4.747M,,-19.90M,,-27.61M,2003-12,,93.89M,8.99M,,8.99M,,,102.88M,,2003-12,83.90M,0.925M,105.65M,,2003-12,,,,,,,2003-12,
2003-09,-3.909M,,,,-0.354M,,,11.30M,11.30M,,,,,,-3.249M,1.528M,11.21M,,8.074M,-23.99M,-6.425M,,2003-09,-2.11M,0.028M,-2.082M,,-8.189M,,-10.27M,2003-09,,1.628M,0.161M,,0.161M,,,1.789M,,2003-09,90.72M,1.049M,83.90M,,2003-09,,,,,,,2003-09,
2003-06,-14.65M,,,,2.949M,,,13.74M,13.74M,,,,,,-0.602M,-0.793M,2.831M,,-29.15M,11.72M,-15.99M,,2003-06,-1.857M,0.042M,-1.815M,,6.188M,,4.373M,2003-06,,-0.852M,1.571M,,1.571M,,,0.719M,,2003-06,98.63M,0.936M,90.72M,,2003-06,,,,,,,2003-06,
2003-03,-8.647M,,,,3.108M,,,17.79M,17.79M,,,,,,-3.444M,2.729M,-13.03M,,0.216M,-11.72M,-25.25M,,2003-03,-2.202M,0.044M,-2.158M,,2.569M,,0.411M,2003-03,,-0.307M,0.164M,,0.164M,,,-0.143M,,2003-03,111.26M,0.103M,98.63M,,2003-03,,,,,,,2003-03,
2002-12,-55.60M,,,,4.082M,,,21.10M,21.10M,,,,,,0.572M,-1.336M,-6.488M,,9.633M,17.67M,20.05M,,2002-12,6.056M,0.028M,6.084M,,-53.66M,,-61.02M,2002-12,,-0.296M,1.131M,,1.131M,,,0.835M,,2002-12,123.49M,0.275M,48.49M,,2002-12,,,,,,,2002-12,
2002-09,-47.53M,,,,9.117M,,,25.08M,25.08M,,,,,,0.788M,2.061M,-0.747M,,2.102M,-2.272M,1.932M,,2002-09,-6.849M,0.078M,-6.771M,,53.47M,,46.70M,2002-09,,-0.498M,0.053M,,0.053M,,,-0.445M,,2002-09,88.14M,0.496M,123.49M,,2002-09,,,,,,,2002-09,
2002-06,-42.24M,,,,6.306M,,,24.42M,24.42M,,,,,,0.556M,1.909M,1.785M,,-4.496M,3.746M,3.50M,,2002-06,-3.665M,0.032M,-3.633M,,35.11M,,31.48M,2002-06,,-0.584M,1.22M,,1.22M,,,0.636M,,2002-06,63.81M,0.226M,88.14M,,2002-06,,,,,,,2002-06,
2002-03,-59.06M,,,,10.78M,,,26.84M,26.84M,,,,,,2.585M,-1.439M,-12.46M,,0.537M,-3.746M,-14.53M,,2002-03,-2.789M,0.189M,-2.60M,,23.47M,,20.87M,2002-03,,-0.267M,0.403M,,0.403M,,,0.136M,,2002-03,78.77M,-0.005M,63.81M,,2002-03,,,,,,,2002-03,
2001-12,-64.76M,,,,16.61M,23.95M,1.757M,25.70M,25.70M,,,,,,-5.761M,1.988M,9.668M,,-0.344M,-16.72M,-11.17M,,2001-12,-7.235M,,-6.946M,,14.58M,,7.639M,2001-12,,-0.281M,1.98M,,1.98M,,,4.392M,,2001-12,100.65M,-0.286M,78.77M,,2001-12,,,,,,,2001-12,
2001-09,-55.36M,,,,8.847M,26.56M,2.166M,28.72M,28.72M,,,,,,5.612M,4.588M,-1.089M,,-0.039M,-2.525M,6.547M,,2001-09,-14.74M,,-14.74M,,6.484M,,-8.259M,2001-09,,-0.286M,0.113M,,0.113M,,,-0.173M,,2001-09,120.25M,0.075M,100.65M,,2001-09,,,,,,,2001-09,
2001-06,-92.61M,,,,12.11M,23.73M,2.36M,26.09M,26.09M,,,,,,-1.296M,2.543M,6.831M,,-3.662M,19.36M,23.78M,,2001-06,-18.22M,,-18.22M,,33.02M,,14.80M,2001-06,,-0.281M,2.174M,,2.174M,,,1.893M,,2001-06,134.15M,0.043M,120.25M,,2001-06,,,,,,,2001-06,
2001-03,-2.223B,,,,1.931B,255.39M,0.738M,256.13M,256.13M,,,,,,-3.195M,-1.639M,-7.824M,,4.66M,,-7.998M,,2001-03,-24.33M,,-24.33M,,49.70M,,25.37M,2001-03,,-0.328M,2.757M,,2.757M,,,2.429M,,2001-03,150.13M,0.001M,134.15M,,2001-03,,,,,,,2001-03,
2000-12,-303.08M,,,,31.17M,253.34M,-17.90M,235.44M,235.44M,,,,,,-11.90M,-3.457M,29.12M,,-0.738M,-0.326M,12.69M,,2000-12,-35.85M,0.00,-35.85M,,-169.81M,,-205.65M,2000-12,,-290.76M,298.57M,,298.57M,,,8.581M,,2000-12,371.20M,-0.222M,150.13M,,2000-12,,,,,,,2000-12,
2000-09,-304.08M,,,,-11.70M,458.36M,25.79M,275.70M,275.70M,,,,,,-5.084M,-14.41M,1.395M,7.638M,0.636M,-0.022M,-9.844M,,2000-09,-40.39M,17.21M,-23.18M,,98.20M,-17.47M,57.56M,2000-09,,0.075M,9.223M,,9.223M,,,9.298M,,2000-09,354.54M,-0.29M,371.20M,,2000-09,,,,,,,2000-09,
2000-06,-243.24M,,,,12.90M,-12.06M,-2.19M,194.20M,194.20M,,,,,,-2.751M,7.742M,3.017M,-7.638M,0.187M,1.065M,1.622M,,2000-06,-33.54M,,-33.54M,11.72M,62.02M,17.47M,57.67M,2000-06,,289.99M,14.80M,,14.80M,,,304.79M,,2000-06,26.61M,-0.01M,354.54M,,2000-06,,,,,,,2000-06,
2000-03,-35.40M,,,,-0.085M,12.06M,2.19M,14.25M,14.25M,,,,,,-1.24M,-7.742M,12.65M,,2.889M,,6.56M,,2000-03,-22.09M,,-22.09M,-11.72M,-191.83M,,-225.64M,2000-03,,-2.813M,0.184M,,0.184M,,,-2.629M,,2000-03,269.55M,-0.006M,26.61M,,2000-03,,,,,,,2000-03,
