,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2003-09,971.07M,971.07M,419.87M,551.20M,105.04M,168.50M,273.54M,38.81M,19.32M,-88.83M,,,,82.54M,414.21M,136.99M,,,,-88.83M,,118.12M,32.31M,85.82M,-17.35M,150.35M,176.57M,39.58M,136.99M,,-0.10,0.00,0.8576,0.39,,-0.10,-0.0988,0.8382,2003-09,175.55M,180.17M,0.03,,2003-09,,
2003-06,581.47M,581.47M,230.81M,350.66M,67.69M,150.42M,218.11M,33.10M,18.41M,-53.43M,,,,52.65M,322.27M,28.39M,,,,-53.43M,,15.64M,4.223M,11.42M,,50.42M,67.60M,39.21M,28.39M,,0.00,,0.3091,0.07,,0.00,,0.2650,2003-06,163.10M,190.28M,0.03,,2003-06,,
2003-03,461.77M,461.77M,172.24M,289.53M,53.18M,139.90M,193.08M,30.50M,16.18M,-33.12M,,,,33.82M,273.58M,15.96M,,,,-33.12M,,1.629M,0.44M,1.189M,,25.37M,46.70M,30.75M,15.96M,,0.00,,0.1498,0.01,,0.00,,0.1453,2003-03,172.92M,178.69M,0.03,,2003-03,,
2002-12,997.44M,997.44M,393.66M,603.78M,108.24M,507.80M,616.04M,47.10M,28.09M,195.86M,,,,,488.86M,114.92M,,,,195.86M,,86.65M,24.50M,62.16M,0.00,-78.33M,164.91M,49.99M,114.92M,,0.00,0.00,-0.4559,0.36,,0.00,-0.0006,-0.4411,2002-12,172.19M,175.37M,0.03,,2002-12,,
2002-09,820.53M,820.53M,342.92M,477.61M,82.91M,153.82M,236.73M,36.69M,22.27M,-88.56M,,,,85.21M,380.90M,96.72M,,,,-88.56M,,75.47M,19.62M,55.85M,,121.38M,146.09M,49.37M,96.72M,,0.00,,0.6955,0.32,,0.00,,0.6955,2002-09,174.52M,174.52M,0.03,,2002-09,,
2002-06,545.99M,545.99M,196.16M,349.82M,58.51M,152.07M,210.58M,36.77M,22.77M,-96.38M,,,,65.71M,335.82M,14.00M,,,,-96.38M,,-34.98M,-9.095M,-25.89M,,45.43M,60.08M,46.07M,14.00M,,0.00,,0.2633,-0.15,,0.00,,0.2633,2002-06,172.59M,172.59M,0.03,,2002-06,,
2002-03,452.27M,452.27M,166.41M,285.85M,46.89M,139.19M,186.08M,84.67M,21.45M,2.835M,,,,,292.20M,-6.345M,,,,2.835M,,-23.05M,-5.994M,-17.06M,,-19.16M,32.05M,38.40M,-6.345M,,0.00,,-0.1123,-0.10,,0.00,,-0.1123,2002-03,170.58M,170.58M,0.03,,2002-03,,
2001-12,988.73M,988.73M,427.52M,561.21M,101.50M,404.35M,505.85M,-98.15M,33.61M,-9.574M,,,,,441.30M,119.91M,,,,-9.574M,,83.97M,31.49M,52.48M,0.00,58.47M,188.39M,68.48M,119.91M,,0.01,0.00,0.3430,0.31,,0.01,-0.0004,0.3359,2001-12,139.13M,166.85M,0.03,,2001-12,,
2001-09,893.35M,893.35M,402.16M,491.20M,90.66M,169.83M,260.48M,97.18M,29.76M,-3.244M,,,,,387.42M,103.77M,,,,-3.244M,,74.41M,23.81M,50.60M,,52.81M,161.29M,57.52M,103.77M,,0.00,,0.3026,0.29,,0.00,,0.3026,2001-09,174.49M,174.49M,0.03,,2001-09,,
2001-06,510.97M,510.97M,204.01M,306.96M,51.06M,157.21M,208.27M,69.87M,28.86M,-1.595M,,,,,307.00M,-0.041M,,,,-1.595M,,-26.96M,-8.626M,-18.33M,,-17.25M,51.33M,51.37M,-0.041M,,0.00,,-0.1035,-0.11,,0.00,,-0.1037,2001-06,166.65M,171.93M,0.03,,2001-06,,
2001-03,463.29M,463.29M,189.80M,273.48M,47.61M,153.82M,201.43M,56.74M,29.42M,4.765M,,,,,287.59M,-14.11M,,,,4.765M,,-35.23M,-11.27M,-23.96M,-1.066M,-27.20M,34.43M,48.53M,-14.11M,,-0.01,0.00,-0.1588,-0.15,,-0.01,-0.0062,-0.1588,2001-03,171.93M,171.93M,0.03,,2001-03,,
2000-12,1.163B,1.163B,694.82M,467.93M,,,835.18M,-217.62M,,-113.13M,,,,,641.92M,-174.00M,,,,-113.13M,,-277.38M,-97.29M,-180.09M,,-106.64M,-87.14M,86.85M,-174.00M,,0.00,,-0.5970,-1.02,,0.00,,-0.5970,2000-12,173.63M,173.63M,0.06,,2000-12,,
2000-09,1.073B,1.073B,429.94M,642.68M,,,357.37M,164.91M,,-6.324M,,,,,585.74M,56.94M,,,,-6.324M,,20.05M,6.214M,13.83M,,18.20M,120.39M,63.46M,56.94M,,0.00,,0.1052,0.08,,0.00,,0.1052,2000-09,172.90M,172.90M,0.06,,2000-09,,
2000-06,778.37M,778.37M,271.34M,507.03M,,,276.71M,135.15M,,1.073M,,,,,470.49M,36.55M,,,,1.073M,,9.421M,2.921M,6.50M,,5.760M,95.18M,58.63M,36.55M,,0.00,,0.0354,0.04,,0.00,,0.0354,2000-06,162.50M,162.50M,0.06,,2000-06,,
2000-03,773.48M,773.48M,277.88M,495.60M,,,274.10M,126.04M,,3.176M,,,,,455.42M,40.19M,,,,3.176M,,21.92M,6.796M,15.13M,,12.94M,95.47M,55.28M,40.19M,,0.00,,0.0684,0.08,,0.00,,0.0684,2000-03,189.56M,189.56M,0.06,,2000-03,,
1999-12,1.591B,1.591B,625.40M,965.70M,,,441.70M,249.30M,,-54.60M,,,,,802.80M,162.90M,,,,-54.60M,,83.60M,25.90M,57.70M,,95.38M,274.70M,111.80M,162.90M,,0.00,,0.4968,0.30,,0.00,,0.4809,1999-12,191.47M,197.43M,0.06,,1999-12,,
1999-09,1.098B,1.098B,415.90M,682.30M,,,311.10M,170.80M,,1.50M,,,,,541.10M,141.20M,,,,1.50M,,123.50M,38.30M,85.20M,,84.17M,200.40M,59.20M,141.20M,,0.00,,0.4347,0.44,,0.00,,0.4248,1999-09,193.64M,198.14M,0.06,,1999-09,,
1999-06,874.60M,874.60M,316.80M,557.80M,,,259.70M,179.80M,,2.20M,,,,,499.60M,58.20M,,,,2.20M,,46.80M,14.50M,32.30M,,30.78M,118.30M,60.10M,58.20M,,0.00,,0.1620,0.17,,0.00,,0.1525,1999-06,190.00M,201.88M,0.06,,1999-06,,
1999-03,668.40M,668.40M,236.20M,432.20M,,,244.40M,111.90M,,2.30M,,,,,402.50M,29.70M,,,,2.30M,,20.00M,6.20M,13.80M,,12.21M,75.90M,46.20M,29.70M,,0.00,,0.0619,0.07,,0.00,,0.0619,1999-03,195.90M,195.90M,0.0533,,1999-03,,
1998-12,1.304B,1.304B,484.80M,819.30M,,,400.20M,161.50M,,2.60M,,,,,612.10M,207.20M,,,,2.60M,,193.80M,62.00M,131.80M,,130.03M,257.60M,50.40M,207.20M,,0.00,,0.6514,0.66,,0.00,,0.6314,1998-12,204.90M,204.90M,0.0533,,1998-12,,
1998-09,945.50M,945.50M,376.80M,568.70M,,,290.80M,113.80M,,-18.40M,,,,,449.50M,119.20M,,,,-18.40M,,89.60M,28.30M,61.30M,,73.89M,164.10M,44.90M,119.20M,,0.00,,0.3737,0.31,,0.00,,0.3616,1998-09,197.74M,204.33M,0.0533,,1998-09,,
1998-06,572.10M,572.10M,222.80M,349.30M,,,214.70M,82.10M,,2.40M,,,,,337.00M,12.30M,,,,2.40M,,8.30M,2.80M,5.50M,,3.910M,52.50M,40.20M,12.30M,,0.00,,0.0213,0.03,,0.00,,0.0213,1998-06,183.33M,183.33M,0.0533,,1998-06,,
