,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2013-03,571.00M,,95.00M,47.00M,142.00M,142.00M,11.00M,31.00M,-12.00M,30.00M,-57.00M,-193.00M,251.00M,,-176.00M,-94.00M,-269.00M,,504.00M,-75.00M,,,,-3.00M,2.00M,-76.00M,,,,,0.00,0.00,0.00,0.00,12.00M,12.00M,24.00M,3.296B,449.00M,3.745B,-3.00M,,,,0.00,26.00M,19.00M
2012-12,-2.179B,,90.00M,42.00M,132.00M,132.00M,-197.00M,10.00M,-5.00M,93.00M,86.00M,-92.00M,-45.00M,,128.00M,473.00M,550.00M,,699.00M,-150.00M,,,426.00M,-216.00M,-34.00M,26.00M,,,,,0.00,0.00,-360.00M,-360.00M,25.00M,-17.00M,-370.00M,2.874B,422.00M,3.296B,67.00M,,,,0.00,-805.00M,-135.00M
2012-09,600.00M,,97.00M,57.00M,154.00M,154.00M,50.00M,35.00M,-2.00M,-202.00M,249.00M,-127.00M,-93.00M,,9.00M,31.00M,69.00M,,704.00M,-110.00M,,,-261.00M,100.00M,109.00M,-162.00M,,,,,-10.00M,-10.00M,-180.00M,-180.00M,10.00M,-26.00M,-206.00M,2.54B,334.00M,2.874B,-2.00M,,,,-10.00M,299.00M,57.00M
2012-06,634.00M,,92.00M,58.00M,150.00M,150.00M,0.00,34.00M,-1.00M,-81.00M,123.00M,-170.00M,-76.00M,,155.00M,21.00M,53.00M,,789.00M,-86.00M,,,-165.00M,91.00M,-82.00M,-242.00M,,,,,-516.00M,-516.00M,-184.00M,-184.00M,33.00M,27.00M,-640.00M,2.632B,-92.00M,2.54B,1.00M,,,,-516.00M,424.00M,21.00M
2012-03,564.00M,,97.00M,57.00M,154.00M,154.00M,3.00M,35.00M,-21.00M,127.00M,-233.00M,48.00M,-199.00M,,-269.00M,205.00M,-448.00M,,414.00M,-90.00M,,,,-191.00M,17.00M,-264.00M,,,,,-76.00M,-76.00M,-169.00M,-169.00M,78.00M,1.00M,-166.00M,2.649B,-17.00M,2.632B,-1.00M,,,,-76.00M,82.00M,57.00M
2011-12,603.00M,,95.00M,62.00M,157.00M,157.00M,-49.00M,32.00M,-2.00M,-93.00M,-254.00M,98.00M,188.00M,252.00M,350.00M,,1.263B,6.00M,2.028B,-185.00M,,,-417.00M,180.00M,-95.00M,-517.00M,0.00,-200.00M,-200.00M,,-19.00M,-19.00M,,-169.00M,12.00M,1.00M,-375.00M,1.54B,1.109B,2.649B,,,-200.00M,0.00,-19.00M,-804.00M,-112.00M
2011-09,665.00M,,87.00M,60.00M,147.00M,147.00M,29.00M,32.00M,-1.00M,-120.00M,242.00M,-122.00M,-68.00M,-120.00M,-547.00M,,-615.00M,-3.00M,134.00M,-121.00M,,,-1.143B,85.00M,-27.00M,-1.206B,747.00M,200.00M,947.00M,,-328.00M,-328.00M,,-171.00M,11.00M,-4.00M,455.00M,2.157B,-617.00M,1.54B,,,1.697B,-750.00M,-328.00M,270.00M,46.00M
2011-06,666.00M,,87.00M,58.00M,145.00M,145.00M,15.00M,32.00M,-6.00M,-30.00M,4.00M,-70.00M,-92.00M,-118.00M,205.00M,,-71.00M,-2.00M,749.00M,-91.00M,,,0.00,-178.00M,156.00M,-113.00M,,,,,-807.00M,-807.00M,,-176.00M,37.00M,-17.00M,-963.00M,2.484B,-327.00M,2.157B,,,,,-807.00M,479.00M,22.00M
2011-03,618.00M,,85.00M,58.00M,143.00M,143.00M,19.00M,32.00M,-15.00M,21.00M,-389.00M,-154.00M,-11.00M,-14.00M,78.00M,,-490.00M,-1.00M,327.00M,-61.00M,,,0.00,-136.00M,59.00M,-138.00M,,,,,-314.00M,-314.00M,,-157.00M,138.00M,15.00M,-318.00M,2.613B,-129.00M,2.484B,,,,,-314.00M,55.00M,44.00M
2010-12,729.00M,,88.00M,57.00M,145.00M,145.00M,-9.00M,30.00M,1.00M,40.00M,26.00M,-506.00M,165.00M,478.00M,290.00M,,483.00M,,1.419B,-151.00M,,,0.00,47.00M,-43.00M,-147.00M,0.00,,0.00,,-459.00M,-459.00M,,-160.00M,118.00M,-3.00M,-504.00M,1.843B,770.00M,2.613B,2.00M,,,0.00,-459.00M,-750.00M,-145.00M
2010-09,649.00M,,86.00M,55.00M,141.00M,141.00M,35.00M,30.00M,0.00,197.00M,-329.00M,-12.00M,175.00M,-64.00M,58.00M,,-172.00M,3.00M,883.00M,-96.00M,,,4.00M,278.00M,-1.00M,185.00M,-700.00M,0.00,-700.00M,,-215.00M,-215.00M,,-161.00M,2.00M,0.00,-1.074B,1.853B,-10.00M,1.843B,-4.00M,,0.00,-700.00M,-215.00M,227.00M,62.00M
2010-06,651.00M,,85.00M,55.00M,140.00M,140.00M,20.00M,29.00M,-2.00M,-285.00M,202.00M,18.00M,-94.00M,-173.00M,-29.00M,,-76.00M,0.00,477.00M,-63.00M,,,-237.00M,66.00M,70.00M,-164.00M,,,,,-311.00M,-311.00M,,-163.00M,-11.00M,0.00,-485.00M,2.025B,-172.00M,1.853B,,,,,-311.00M,488.00M,21.00M
2010-03,599.00M,,86.00M,57.00M,143.00M,143.00M,10.00M,29.00M,-17.00M,79.00M,-51.00M,143.00M,120.00M,-241.00M,-604.00M,,-633.00M,-3.00M,207.00M,-60.00M,,,,-276.00M,54.00M,-282.00M,,,,,-200.00M,-200.00M,,-147.00M,168.00M,16.00M,-163.00M,2.263B,-238.00M,2.025B,,,,,-200.00M,35.00M,62.00M
2009-12,618.00M,,87.00M,57.00M,144.00M,144.00M,38.00M,30.00M,-5.00M,48.00M,173.00M,-16.00M,54.00M,-32.00M,295.00M,64.00M,538.00M,-3.00M,1.495B,-134.00M,,,-6.00M,-355.00M,24.00M,-471.00M,0.00,0.00,0.00,,-100.00M,-100.00M,,-147.00M,74.00M,3.00M,-170.00M,1.409B,854.00M,2.263B,,,747.00M,904.00M,-100.00M,-614.00M,-114.00M
2009-09,575.00M,,86.00M,53.00M,139.00M,139.00M,103.00M,29.00M,1.00M,30.00M,-175.00M,59.00M,-128.00M,-3.00M,137.00M,-143.00M,-253.00M,-3.00M,591.00M,-81.00M,,,-640.00M,152.00M,-65.00M,-634.00M,0.00,-51.00M,-51.00M,,0.00,0.00,,-147.00M,38.00M,-2.00M,-162.00M,1.614B,-205.00M,1.409B,,,-747.00M,-51.00M,0.00,144.00M,63.00M
2009-06,621.00M,,86.00M,54.00M,140.00M,140.00M,46.00M,30.00M,0.00,110.00M,143.00M,-51.00M,-361.00M,-141.00M,-81.00M,210.00M,-281.00M,-3.00M,606.00M,-89.00M,,,3.00M,-107.00M,191.00M,-2.00M,747.00M,-714.00M,33.00M,,0.00,0.00,,-147.00M,3.00M,-5.00M,-116.00M,1.126B,488.00M,1.614B,,,747.00M,-714.00M,0.00,429.00M,22.00M
2009-03,593.00M,,85.00M,54.00M,139.00M,139.00M,40.00M,28.00M,-1.00M,-53.00M,-292.00M,-64.00M,343.00M,64.00M,-512.00M,-131.00M,-592.00M,-6.00M,148.00M,-81.00M,,,-168.00M,0.00,-36.00M,-285.00M,,-139.00M,-139.00M,,-109.00M,-109.00M,,-136.00M,27.00M,-1.00M,-358.00M,1.621B,-495.00M,1.126B,,,,-139.00M,-109.00M,41.00M,29.00M
2008-12,630.00M,,78.00M,43.00M,121.00M,121.00M,113.00M,27.00M,-31.00M,-156.00M,-179.00M,-40.00M,221.00M,73.00M,26.00M,,101.00M,-8.00M,797.00M,-176.00M,,,-2.921B,-90.00M,134.00M,-3.053B,1.145B,904.00M,2.049B,,-475.00M,-475.00M,,-136.00M,-4.00M,-174.00M,1.26B,2.617B,-996.00M,1.621B,,,995.00M,150.00M,-475.00M,-728.00M,-100.00M
2008-09,634.00M,,77.00M,36.00M,113.00M,113.00M,57.00M,28.00M,24.00M,-9.00M,-124.00M,-70.00M,-52.00M,163.00M,99.00M,,16.00M,0.00,863.00M,-114.00M,,,-237.00M,37.00M,0.00,-314.00M,-150.00M,0.00,-150.00M,,-387.00M,-387.00M,,-140.00M,59.00M,-54.00M,-672.00M,2.74B,-123.00M,2.617B,,,,-150.00M,-387.00M,212.00M,34.00M
2008-06,642.00M,-18.00M,77.00M,34.00M,111.00M,111.00M,27.00M,50.00M,-24.00M,-27.00M,55.00M,-31.00M,24.00M,-163.00M,379.00M,,264.00M,-4.00M,1.021B,-115.00M,-31.00M,54.00M,-1.00M,-56.00M,31.00M,-172.00M,-500.00M,0.00,-500.00M,-30.00M,-141.00M,-171.00M,,-140.00M,89.00M,8.00M,-714.00M,2.605B,135.00M,2.74B,,-30.00M,0.00,-500.00M,-141.00M,516.00M,66.00M
2008-03,572.00M,18.00M,69.00M,33.00M,102.00M,102.00M,-1.00M,,,9.00M,-138.00M,-42.00M,-231.00M,,142.00M,,-269.00M,-1.00M,430.00M,-85.00M,31.00M,-54.00M,-65.00M,-5.00M,,-124.00M,,,,30.00M,-519.00M,-489.00M,,-117.00M,,14.00M,-592.00M,2.891B,-286.00M,2.605B,,30.00M,,,-519.00M,,
2007-12,587.00M,,77.00M,34.00M,111.00M,111.00M,72.00M,,,-39.00M,-321.00M,-65.00M,392.00M,-435.00M,729.00M,30.00M,330.00M,-13.00M,1.067B,-180.00M,,294.00M,-31.00M,34.00M,15.00M,-162.00M,,,,-128.00M,-39.00M,-167.00M,,-117.00M,,30.00M,-47.00M,2.033B,858.00M,2.891B,,-128.00M,,,-39.00M,,
2007-09,546.00M,-2.00M,69.00M,36.00M,105.00M,105.00M,-3.00M,,,16.00M,176.00M,30.00M,107.00M,38.00M,-27.00M,-30.00M,294.00M,-17.00M,939.00M,-128.00M,-93.00M,-221.00M,0.00,-213.00M,99.00M,-311.00M,,,,26.00M,-313.00M,-287.00M,,-118.00M,,16.00M,-389.00M,1.794B,239.00M,2.033B,,26.00M,,,-313.00M,,
2007-06,513.00M,21.00M,70.00M,36.00M,106.00M,106.00M,29.00M,,,14.00M,-448.00M,-8.00M,-105.00M,81.00M,197.00M,,-283.00M,6.00M,406.00M,-113.00M,93.00M,-20.00M,-1.00M,,-16.00M,-38.00M,,,,44.00M,0.00,44.00M,,-117.00M,,7.00M,-66.00M,1.492B,302.00M,1.794B,,44.00M,,,0.00,,
2007-03,434.00M,-19.00M,62.00M,39.00M,101.00M,101.00M,24.00M,,,1.00M,74.00M,-92.00M,-54.00M,-119.00M,166.00M,,-25.00M,-3.00M,513.00M,-53.00M,,-53.00M,-298.00M,,10.00M,-341.00M,,,,58.00M,-153.00M,-95.00M,,-93.00M,,-96.00M,-284.00M,1.604B,-112.00M,1.492B,,58.00M,,,-153.00M,,
