,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2001-06,6.066B,6.066B,5.067B,999.00M,837.00M,14.00M,,,,,837.00M,162.00M,,,,-71.00M,,-12.00M,-62.00M,50.00M,,,,50.00M,41.60M,162.00M,,2001-06,0.06,0.00,0.06,,2001-06,0.06,0.00,0.06,,2001-06,0.1875,,2001-06,,
2001-03,5.944B,5.944B,4.973B,971.00M,768.00M,4.00M,,,,,768.00M,203.00M,,,,-99.00M,,-7.00M,-48.00M,41.00M,,,,41.00M,38.60M,203.00M,,2001-03,0.05,0.00,0.05,,2001-03,0.05,0.00,0.05,,2001-03,0.1875,,2001-03,,
2000-12,6.454B,6.454B,5.124B,1.33B,822.00M,-36.00M,,,,,822.00M,508.00M,,,,-75.00M,,362.00M,108.00M,254.00M,,,,254.00M,279.26M,508.00M,,2000-12,0.31,0.00,0.31,,2000-12,0.31,0.00,0.31,,2000-12,0.1875,,2000-12,,
2000-09,6.216B,6.216B,4.845B,1.371B,791.00M,35.00M,,,,,791.00M,580.00M,,,,-33.00M,,422.00M,140.00M,282.00M,,,,282.00M,258.61M,580.00M,,2000-09,0.35,0.00,0.35,,2000-09,0.35,0.00,0.35,,2000-09,0.1875,,2000-09,,
2000-06,6.309B,6.309B,4.671B,1.638B,763.00M,115.00M,,,,,763.00M,875.00M,,,,129.00M,,875.00M,258.00M,617.00M,,,,617.00M,535.91M,875.00M,,2000-06,0.77,0.00,0.77,,2000-06,0.76,0.00,0.76,,2000-06,0.1875,,2000-06,,
2000-03,6.044B,6.044B,4.45B,1.594B,758.00M,10.00M,,,,,758.00M,836.00M,,,,14.00M,,739.00M,233.00M,506.00M,,,,506.00M,499.15M,836.00M,,2000-03,0.64,0.00,0.64,,2000-03,0.63,0.00,0.63,,2000-03,0.1875,,2000-03,,
1999-12,6.159B,6.159B,5.104B,1.055B,1.073B,-18.00M,,,,,1.073B,-18.00M,,,,44.00M,,-17.00M,-24.00M,7.00M,,,,7.00M,17.80M,-18.00M,,1999-12,0.0088,,0.0088,,1999-12,0.0088,,0.0088,,1999-12,0.17,,1999-12,,
1999-09,6.036B,6.036B,4.574B,1.462B,699.00M,104.00M,,,,,699.00M,763.00M,,,,120.00M,,823.00M,269.00M,554.00M,,,,554.00M,483.99M,763.00M,,1999-09,0.70,0.00,0.70,,1999-09,0.68,0.00,0.68,,1999-09,0.17,,1999-09,,
1999-06,5.958B,5.958B,4.625B,1.333B,745.00M,279.00M,,,,,745.00M,588.00M,,,,267.00M,,796.00M,256.00M,540.00M,,,,540.00M,350.73M,588.00M,,1999-06,0.68,0.00,0.68,,1999-06,0.67,0.00,0.67,,1999-06,0.17,,1999-06,,
1999-03,5.582B,5.582B,4.192B,1.39B,699.00M,18.00M,,,,,699.00M,691.00M,,,,28.00M,,646.00M,206.00M,440.00M,,,,440.00M,427.74M,691.00M,,1999-03,0.55,0.00,0.55,,1999-03,0.55,0.00,0.55,,1999-03,0.17,,1999-03,,
1998-12,12.30B,12.30B,9.093B,3.206B,1.808B,16.00M,,,,,1.808B,1.398B,,,,96.00M,,1.343B,419.00M,924.00M,,,,924.00M,912.99M,1.398B,,1998-12,0.64,0.00,0.64,,1998-12,0.64,0.00,0.64,,1998-12,0.15,,1998-12,,
1998-09,3.741B,3.741B,2.838B,903.00M,396.00M,-8.00M,,,,,396.00M,507.00M,,,,11.00M,,480.00M,151.00M,329.00M,,,,329.00M,334.48M,507.00M,,1998-09,0.59,0.00,0.59,,1998-09,0.58,0.00,0.58,,1998-09,0.15,,1998-09,,
1998-06,3.869B,3.869B,2.949B,920.00M,406.00M,,,,,,406.00M,514.00M,,,,29.00M,,511.00M,161.00M,350.00M,,,,350.00M,350.00M,514.00M,,1998-06,0.62,0.00,0.62,,1998-06,0.61,0.00,0.61,,1998-06,0.15,,1998-06,,
