,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2001-09,6.734B,6.92B,4.923B,1.997B,857.00M,318.00M,186.00M,,,,,1.175B,822.00M,,,,186.00M,,694.00M,129.00M,565.00M,,-28.00M,7.00M,565.00M,220.00M,822.00M,,2001-09,0.595,0.595,,2001-09,0.56,0.00,,2001-09,940.00M,,2001-09,,
2001-06,7.332B,7.332B,5.184B,2.148B,821.00M,338.00M,,,,,,1.159B,989.00M,,,,,,880.00M,261.00M,588.00M,,-31.00M,,588.00M,225.00M,989.00M,,2001-06,0.615,0.615,,2001-06,0.58,0.00,,2001-06,942.00M,,2001-06,,
2001-03,6.597B,6.671B,4.59B,2.081B,785.00M,297.00M,74.00M,,,,,1.304B,777.00M,,,,74.00M,,670.00M,204.00M,440.00M,,-26.00M,8.00M,440.00M,222.00M,777.00M,,2001-03,0.46,0.46,,2001-03,0.43,0.00,,2001-03,942.00M,,2001-03,,
2000-12,6.689B,7.066B,5.469B,1.597B,842.00M,350.00M,,,,,,553.00M,1.044B,,,,,,717.00M,194.00M,426.00M,,-19.00M,,426.00M,220.00M,1.044B,,2000-12,0.445,0.445,,2000-12,0.42,0.00,,2000-12,940.80M,,2000-12,,Restated
2000-09,6.339B,6.339B,4.315B,2.024B,761.00M,329.00M,126.00M,,,,,1.30B,724.00M,,,,126.00M,,726.00M,230.00M,496.00M,,-27.00M,8.00M,496.00M,210.00M,724.00M,,2000-09,0.52,0.52,,2000-09,0.49,0.00,,2000-09,936.00M,,2000-09,,
2000-06,6.871B,6.871B,4.77B,2.101B,787.00M,309.00M,90.00M,,,,,1.313B,788.00M,,,,90.00M,,761.00M,252.00M,509.00M,,-24.00M,8.00M,509.00M,217.00M,788.00M,,2000-06,0.535,0.535,,2000-06,0.50,0.00,,2000-06,940.00M,,2000-06,,
2000-03,6.307B,6.307B,4.416B,1.891B,781.00M,314.00M,83.00M,,,,,1.307B,584.00M,,,,83.00M,,554.00M,177.00M,377.00M,,-27.00M,8.00M,377.00M,212.00M,584.00M,,2000-03,0.39,0.39,,2000-03,0.37,0.00,,2000-03,946.00M,,2000-03,,
1999-12,6.41B,6.41B,4.774B,1.636B,953.00M,406.00M,107.00M,,,,,1.589B,47.00M,,,,107.00M,,47.00M,-9.00M,56.00M,0.00,-22.00M,8.00M,56.00M,230.00M,47.00M,,1999-12,0.0506,0.0506,,1999-12,0.0506,0.00,,1999-12,949.09M,,1999-12,,
1999-09,6.068B,6.068B,4.648B,1.42B,786.00M,306.00M,59.00M,,,,,1.301B,119.00M,,,,59.00M,,92.00M,2.00M,90.00M,,-23.00M,9.00M,90.00M,209.00M,119.00M,,1999-09,0.0425,0.0425,,1999-09,0.04,0.00,,1999-09,1.92B,,1999-09,,
1999-06,5.984B,5.984B,4.15B,1.834B,693.00M,306.00M,57.00M,,,,,1.196B,638.00M,,,,57.00M,,613.00M,196.00M,417.00M,660.00M,-25.00M,8.00M,1.077B,197.00M,638.00M,,1999-06,0.2225,0.5825,,1999-06,0.2075,0.33,,1999-06,1.836B,,1999-06,,
1999-03,5.382B,5.382B,3.794B,1.588B,701.00M,274.00M,60.00M,,,,,1.158B,430.00M,,,,60.00M,,414.00M,136.00M,278.00M,30.00M,-21.00M,8.00M,308.00M,183.00M,430.00M,,1999-03,0.075,0.0838,,1999-03,0.0712,0.0075,,1999-03,3.608B,,1999-03,,
1998-12,6.009B,6.009B,4.239B,1.77B,760.00M,324.00M,-22.00M,,,,,1.27B,500.00M,,,,-22.00M,,401.00M,132.00M,269.00M,18.00M,-20.00M,9.00M,287.00M,186.00M,500.00M,,1998-12,0.2888,0.3088,,1998-12,0.2888,0.0200,,1998-12,900.21M,,1998-12,,
1998-09,5.71B,5.71B,3.986B,1.724B,639.00M,288.00M,-27.00M,,,,,1.143B,581.00M,,,,-27.00M,,485.00M,159.00M,326.00M,22.00M,-21.00M,8.00M,348.00M,184.00M,581.00M,,1998-09,0.0875,0.0938,,1998-09,0.0825,0.005,,1998-09,3.632B,,1998-09,,
1998-06,5.848B,5.848B,4.095B,1.753B,677.00M,279.00M,-17.00M,,,,,1.17B,583.00M,,,,-17.00M,,496.00M,163.00M,333.00M,27.00M,-25.00M,8.00M,360.00M,179.00M,583.00M,,1998-06,0.0888,0.0962,,1998-06,0.0838,0.0062,,1998-06,3.664B,,1998-06,,
