,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-01,693.00M,,,,8.00M,280.00M,280.00M,-61.00M,,19.00M,,-206.00M,-369.00M,,,118.00M,-457.00M,,482.00M,,-1.102B,17.00M,-1.085B,,411.00M,4.00M,-670.00M,,,,-584.00M,75.00M,-279.00M,-204.00M,,-46.00M,,,-834.00M,,1.445B,-1.022B,,423.00M,,75.00M,,,-279.00M,,,
2005-10,647.00M,,,,6.00M,263.00M,263.00M,70.00M,,19.00M,,-263.00M,214.00M,,,175.00M,126.00M,,1.131B,,-912.00M,7.00M,-905.00M,,-542.00M,1.00M,-1.446B,,,,980.00M,36.00M,-196.00M,-160.00M,,-47.00M,,,773.00M,,987.00M,458.00M,,1.445B,,36.00M,,,-196.00M,,,
2005-07,839.00M,,,,8.00M,254.00M,254.00M,4.00M,,22.00M,,453.00M,-484.00M,,,-65.00M,-96.00M,,1.031B,,-741.00M,21.00M,-720.00M,,-22.00M,-14.00M,-756.00M,,,,-8.00M,144.00M,-164.00M,-20.00M,,-47.00M,,,-75.00M,,787.00M,200.00M,,987.00M,,144.00M,,,-164.00M,,,
2005-04,586.00M,,,,9.00M,254.00M,254.00M,-50.00M,,16.00M,,-769.00M,776.00M,,,376.00M,383.00M,,1.198B,,-624.00M,16.00M,-608.00M,,-173.00M,-21.00M,-802.00M,,,,-8.00M,35.00M,-135.00M,-100.00M,,-31.00M,,,-139.00M,,530.00M,257.00M,,787.00M,,35.00M,,,-135.00M,,,
2005-01,499.00M,,,,-53.00M,247.00M,247.00M,36.00M,,,-111.00M,-78.00M,99.00M,,-382.00M,618.00M,146.00M,,945.00M,,-823.00M,17.00M,-806.00M,,20.00M,15.00M,-771.00M,,,,-12.00M,50.00M,0.00,50.00M,,-31.00M,,,7.00M,,349.00M,181.00M,,530.00M,,50.00M,,,0.00,,,
2004-10,516.00M,,,,39.00M,236.00M,236.00M,24.00M,,,6.00M,-578.00M,144.00M,-44.00M,58.00M,10.00M,-404.00M,,411.00M,,-796.00M,16.00M,-780.00M,,83.00M,2.00M,-695.00M,,,,-10.00M,25.00M,0.00,25.00M,,-31.00M,,,-16.00M,,696.00M,-300.00M,,349.00M,,25.00M,,,0.00,,,
2004-07,700.00M,,,,31.00M,225.00M,225.00M,42.00M,,,144.00M,437.00M,-1.04B,16.00M,-47.00M,,-490.00M,,508.00M,,-752.00M,30.00M,-722.00M,,573.00M,-12.00M,-161.00M,,,,-52.00M,52.00M,-712.00M,-660.00M,,-30.00M,,,-742.00M,,1.091B,-395.00M,,696.00M,,52.00M,,,-712.00M,,,
2004-04,452.00M,,,,38.00M,218.00M,218.00M,,,,-39.00M,-1.139B,1.28B,28.00M,371.00M,,501.00M,,1.209B,,-568.00M,23.00M,-545.00M,,-185.00M,-5.00M,-735.00M,,,,-8.00M,24.00M,-288.00M,-264.00M,,-24.00M,,,-296.00M,,913.00M,178.00M,,1.091B,,24.00M,,,-288.00M,,,
2004-01,368.00M,,,,41.00M,229.00M,229.00M,70.00M,,,21.00M,385.00M,-122.00M,-42.00M,-40.00M,,202.00M,128.00M,1.038B,,-681.00M,-5.00M,-686.00M,,-153.00M,-8.00M,-847.00M,,,,-8.00M,37.00M,,37.00M,,-23.00M,,,6.00M,,1.196B,197.00M,,913.00M,,37.00M,,,,,,
2003-10,444.00M,,,,36.00M,198.00M,198.00M,50.00M,,,-15.00M,-350.00M,-118.00M,-14.00M,117.00M,,-380.00M,-12.00M,336.00M,,-654.00M,6.00M,-648.00M,,7.00M,-59.00M,-700.00M,,,,-4.00M,38.00M,,38.00M,,-24.00M,,,10.00M,,1.55B,-354.00M,,1.196B,,38.00M,,,,,,
2003-07,598.00M,,,,13.00M,190.00M,190.00M,37.00M,,,-13.00M,209.00M,-477.00M,66.00M,7.00M,,-208.00M,5.00M,635.00M,,-619.00M,25.00M,-594.00M,,-45.00M,-12.00M,-651.00M,,,,-60.00M,45.00M,,45.00M,,-19.00M,,,-34.00M,,1.60B,-50.00M,,1.55B,,45.00M,,,,,,
2003-04,419.00M,,,,23.00M,183.00M,183.00M,,,,-9.00M,-892.00M,1.138B,-20.00M,212.00M,,429.00M,-9.00M,1.045B,,-391.00M,19.00M,-372.00M,,89.00M,-16.00M,-299.00M,,,,-7.00M,28.00M,,28.00M,,-20.00M,,,1.00M,,853.00M,747.00M,,1.60B,,28.00M,,,,,,
2003-01,326.90M,,,,9.731M,187.37M,187.37M,224.78M,,,12.27M,182.76M,-129.43M,-27.51M,-167.85M,,-129.76M,,635.02M,,-886.65M,15.24M,-871.41M,,-126.39M,-10.99M,-1.009B,,,,-18.47M,33.96M,,33.96M,,-19.24M,,,-3.758M,,1.305B,-377.53M,,373.00M,,33.96M,,,,,,
2002-10,339.21M,,,,15.07M,163.84M,163.84M,2.168M,,,13.95M,-163.82M,-59.40M,3.069M,92.78M,,-113.41M,,406.88M,,-539.90M,14.07M,-525.83M,,-39.63M,-5.623M,-571.08M,,,,-15.19M,13.61M,,13.61M,,-15.62M,,,-17.20M,,1.487B,-181.39M,,1.305B,,13.61M,,,,,,
2002-07,467.07M,,,,7.02M,157.86M,157.86M,-9.863M,,,-8.236M,373.34M,-634.93M,84.20M,18.39M,,-167.24M,,454.85M,,-408.26M,10.67M,-397.59M,,5.647M,-7.39M,-399.34M,,,,-72.63M,43.90M,,43.90M,,-15.60M,,,-44.33M,,1.476B,11.19M,,1.487B,,43.90M,,,,,,
2002-04,345.81M,,,,15.18M,149.93M,149.93M,3.92M,,,-26.99M,-749.28M,1.026B,-68.76M,477.68M,,658.41M,,1.173B,,-501.19M,4.024M,-497.17M,,8.373M,-8.998M,-497.79M,,,,-6.707M,23.54M,,23.54M,,-15.54M,,,1.286M,,798.84M,676.74M,,1.476B,,23.54M,,,,,,
2002-01,218.14M,,,,7.077M,140.14M,140.14M,15.68M,,,31.79M,294.49M,-180.45M,31.07M,60.49M,,237.38M,,632.42M,,-521.64M,7.325M,-514.31M,,-25.47M,20.74M,-519.03M,,,,47.19M,43.16M,,43.16M,,-15.62M,,,74.73M,,610.54M,188.12M,,799.00M,,43.16M,,,,,,
2001-10,250.50M,,,,2.589M,138.32M,138.32M,21.94M,,,15.66M,-254.67M,-14.50M,-13.33M,18.70M,,-248.14M,,165.22M,,-610.50M,11.74M,-598.76M,,17.04M,15.40M,-566.32M,,,,392.99M,4.829M,,4.829M,,-15.47M,,,382.36M,,629.29M,-18.75M,,610.54M,,4.829M,,,,,,
2001-07,329.08M,,,,22.26M,132.04M,132.04M,8.22M,,,-16.90M,266.48M,-545.70M,-11.98M,5.629M,,-302.48M,,189.13M,,-552.02M,15.79M,-536.23M,,3.144M,-29.85M,-562.93M,,,,-20.00M,38.59M,,38.59M,,-15.45M,,,3.141M,,999.95M,-370.66M,,629.29M,,38.59M,,,,,,
2001-04,225.28M,,,,29.08M,119.50M,119.50M,-3.845M,,,-35.54M,-632.30M,741.64M,-42.76M,222.19M,,253.23M,,623.24M,,-511.84M,7.14M,-504.70M,,-22.71M,-20.30M,-547.71M,,,,452.81M,29.42M,,29.42M,,-13.46M,,,468.77M,,455.66M,544.30M,,999.95M,,29.42M,,,,,,
2001-01,140.83M,,,,4.721M,112.28M,112.28M,10.64M,,,12.80M,214.83M,-65.81M,16.39M,106.46M,,284.67M,,553.14M,,-717.47M,16.39M,-701.08M,,1.206M,-20.71M,-720.59M,,,,490.11M,17.64M,,17.64M,,-13.39M,,,494.36M,,128.75M,326.91M,,455.66M,,17.64M,,,,,,
2000-10,202.29M,,,,9.664M,104.90M,104.90M,7.536M,,,9.965M,-332.77M,99.53M,-17.80M,-25.26M,,-266.34M,,58.06M,,-640.14M,23.23M,-616.90M,,0.959M,-9.47M,-625.42M,,,,141.24M,-1.997M,,-1.997M,,-13.37M,,,125.87M,,570.23M,-441.49M,,128.75M,,-1.997M,,,,,,
2000-07,279.60M,,,,4.091M,98.71M,98.71M,-0.642M,,,-8.203M,170.89M,-506.07M,-23.90M,44.28M,,-323.01M,,58.75M,,-505.91M,24.54M,-481.36M,,-0.046M,-18.46M,-499.87M,,,,495.42M,6.366M,,6.366M,,-13.37M,,,488.42M,,522.94M,47.30M,,570.23M,,6.366M,,,,,,
2000-04,187.15M,,,,11.72M,93.63M,93.63M,5.748M,,,-27.64M,-525.96M,637.36M,-40.93M,118.70M,,161.52M,,459.77M,,-468.41M,7.236M,-461.17M,,60.42M,-3.032M,-403.79M,,,,-15.82M,5.015M,,5.015M,,-13.36M,,,-24.17M,,491.12M,31.81M,,522.94M,,5.015M,,,,,,
2000-01,148.90M,,,,8.22M,91.22M,91.22M,8.939M,,0.10M,29.83M,7.639M,17.50M,0.196M,13.15M,,68.31M,,325.69M,,-414.35M,33.14M,-381.21M,,14.90M,-46.42M,-412.73M,,,,-45.82M,13.97M,,13.97M,,-13.36M,,,-45.21M,,623.40M,-132.25M,,491.12M,,13.97M,,,,,,
1999-10,168.70M,,,,5.30M,86.60M,86.60M,5.80M,,0.00,3.90M,-191.50M,77.20M,-52.10M,4.40M,,-158.10M,,108.30M,,-440.60M,13.30M,-427.30M,,-29.80M,32.70M,-424.40M,,,,-25.50M,2.80M,,2.80M,,-11.40M,,-0.10M,-34.20M,,973.70M,-350.30M,,623.40M,,2.80M,,,,,,
1999-07,230.20M,,,,12.50M,81.90M,81.90M,2.40M,,-0.10M,-10.20M,185.90M,-243.20M,5.00M,38.40M,,-24.10M,,302.80M,,-328.60M,17.70M,-310.90M,,-32.40M,-5.40M,-348.70M,,,,-20.90M,4.10M,,4.10M,,-11.40M,,0.10M,-28.10M,,1.048B,-74.00M,,973.70M,,4.10M,,,,,,
1999-04,125.00M,,,,25.50M,78.10M,78.10M,-3.70M,,,-27.50M,-429.70M,494.90M,-30.80M,202.30M,,209.20M,,434.10M,,-288.80M,3.70M,-285.10M,,-3.70M,-27.40M,-316.20M,,,,353.90M,358.40M,,358.40M,,-11.40M,,,700.90M,,228.90M,818.80M,,1.048B,,358.40M,,,,,,
1999-01,98.87M,,,,7.418M,76.55M,76.55M,10.13M,,,15.98M,104.34M,-138.84M,33.66M,-44.57M,,-29.42M,,163.54M,,-318.61M,19.80M,-298.80M,,38.55M,-39.04M,-299.30M,,,,17.61M,5.373M,,5.373M,,-10.56M,,0.10M,12.53M,,352.20M,-123.23M,,228.87M,,5.373M,,,,,,
1998-10,120.00M,,,,1.90M,73.00M,73.00M,4.70M,,,-0.30M,-239.40M,71.50M,15.00M,32.10M,,-121.10M,,78.50M,,-337.30M,6.20M,-331.10M,,10.50M,7.90M,-312.70M,,,,-7.00M,0.50M,,0.50M,,-10.50M,,0.00,-17.00M,,603.30M,-251.20M,,352.20M,,0.50M,,,,,,
1998-07,180.80M,,,,2.50M,70.50M,70.50M,1.30M,,,-9.40M,71.40M,-139.10M,-40.30M,17.20M,,-100.20M,,154.90M,,-244.50M,10.30M,-234.20M,,-13.40M,-8.70M,-256.30M,,,,-3.70M,3.70M,,3.70M,,-10.50M,,-0.10M,-10.60M,,0.00,-112.00M,,603.30M,,3.70M,,,,,,
1998-04,100.70M,,,,12.20M,69.00M,69.00M,-7.90M,,,-31.80M,-336.00M,391.10M,-16.30M,163.70M,,170.70M,,344.70M,,-177.70M,1.90M,-175.80M,,-15.80M,0.90M,-190.70M,,,,316.90M,4.90M,,4.90M,,-19.20M,,,302.60M,,258.70M,456.60M,,0.00,,4.90M,,,,,,
1998-01,98.03M,,,,-0.937M,79.99M,79.99M,-4.876M,,0.10M,26.25M,171.05M,-18.94M,19.15M,-24.44M,,173.07M,,345.37M,,-288.05M,12.18M,-275.86M,,94.90M,-6.013M,-186.97M,,,,49.14M,1.888M,,1.888M,,0.047M,,-0.10M,50.98M,,0.00,209.38M,,258.70M,,1.888M,,,,,,
1997-10,88.10M,,,,4.80M,60.50M,60.50M,5.90M,,-0.10M,4.90M,-158.20M,24.30M,-0.30M,13.80M,,-115.50M,,43.70M,,-216.50M,11.40M,-205.10M,,59.50M,-9.50M,-155.10M,,,,113.90M,0.00,,0.00,,-9.60M,,0.00,104.30M,,0.00,-7.10M,,0.00,,0.00,,,,,,
1997-07,126.50M,,,,4.30M,58.70M,58.70M,4.40M,,,-1.70M,70.10M,-49.70M,-13.30M,38.80M,,44.20M,,238.10M,,-200.20M,5.60M,-194.60M,,-116.20M,-2.20M,-313.00M,,,,72.20M,0.00,,0.00,,-9.60M,,0.10M,62.70M,,0.00,-12.20M,,0.00,,0.00,,,,,,
1997-04,70.40M,,,,6.10M,56.70M,56.70M,2.60M,,,-30.30M,-213.20M,102.00M,1.80M,67.70M,,-72.00M,,63.80M,,-121.50M,2.00M,-119.50M,,18.90M,-2.80M,-103.40M,,,,56.50M,0.10M,,0.10M,,-9.50M,,,47.10M,,40.40M,7.50M,,0.00,,0.10M,,,,,,
1997-01,55.70M,,,,11.50M,55.10M,55.10M,12.10M,,-0.20M,26.20M,-32.90M,81.20M,7.10M,8.40M,,90.00M,,224.20M,,-218.70M,-5.60M,-224.30M,,26.80M,-24.70M,-222.20M,,,,11.50M,,,,,-9.50M,,-0.10M,1.90M,,0.00,3.90M,,0.00,,,,,,,,
1996-10,75.20M,,,,-1.20M,50.70M,50.70M,-1.00M,,0.10M,-0.50M,-120.30M,59.80M,2.10M,-10.80M,,-69.70M,,54.10M,,-175.80M,8.50M,-167.30M,,18.00M,-1.00M,-150.30M,,,,36.30M,,,,,-8.60M,,0.00,27.70M,,0.00,-68.50M,,0.00,,,,,,,,
1996-07,114.20M,,,,0.80M,48.50M,48.50M,4.80M,,0.10M,-8.20M,-0.90M,-69.50M,-14.80M,68.80M,,-24.60M,,143.80M,,-138.60M,4.90M,-133.70M,,32.80M,-1.10M,-102.00M,,,,-36.70M,,,,,-8.60M,,0.10M,-45.20M,,0.00,-3.40M,,0.00,,,,,,,,
1996-04,47.10M,,,,-1.20M,45.50M,45.50M,1.10M,,,-21.60M,-184.70M,187.30M,0.80M,46.60M,,28.40M,,120.90M,,-144.10M,3.80M,-140.30M,,33.40M,3.00M,-103.90M,,,,35.50M,,,,,-8.00M,,,27.50M,,63.90M,44.50M,,0.00,,,,,,,,
1996-01,38.10M,,,,0.20M,43.20M,43.20M,17.80M,,0.00,30.80M,97.50M,-58.50M,2.10M,2.60M,,74.50M,,173.80M,,-161.00M,1.70M,-159.30M,,-12.30M,0.50M,-171.10M,,,,21.90M,,,,,-8.10M,,0.10M,13.90M,,0.00,16.60M,,0.00,,,,,,,,
1995-10,44.00M,,,,-0.40M,39.70M,39.70M,5.80M,,0.10M,2.60M,-198.90M,116.70M,2.30M,5.90M,,-71.40M,,17.80M,,-156.10M,6.00M,-150.10M,,-23.40M,48.40M,-125.10M,,,,69.40M,,,,,-8.00M,,-0.10M,61.30M,,0.00,-46.00M,,0.00,,,,,,,,
1995-07,85.00M,,,,-0.20M,36.60M,36.60M,9.30M,,,-2.20M,95.40M,-94.50M,-9.50M,24.50M,,13.70M,,144.40M,,-116.00M,10.10M,-105.90M,,-13.50M,-57.60M,-177.00M,,,,-1.20M,,,,,-14.40M,,,-15.60M,,0.00,-48.20M,,0.00,,,,,,,,
1995-04,58.90M,,,,-0.80M,34.10M,34.10M,,,,-35.50M,-128.80M,16.30M,1.80M,21.30M,,-124.90M,,-32.70M,,-87.30M,3.10M,-84.20M,,67.70M,41.80M,25.30M,,,,-1.50M,,,,,,,,-1.50M,,150.30M,-8.90M,,0.00,,,,,,,,
1995-01,46.30M,,,,2.30M,31.70M,31.70M,9.70M,,-0.10M,51.90M,-92.30M,78.30M,2.30M,21.30M,,61.50M,,151.40M,,-156.50M,3.60M,-152.90M,,128.60M,-41.00M,-65.30M,,,,-2.40M,0.00,0.10M,0.10M,,-7.10M,,-0.10M,-9.50M,,0.00,76.60M,,0.00,,0.00,,,0.10M,,,
1994-10,54.20M,,,,0.80M,29.40M,29.40M,2.80M,,0.10M,-68.20M,-98.30M,81.00M,-0.60M,14.70M,,-71.40M,,15.90M,,-96.50M,6.40M,-90.10M,,-61.50M,-2.60M,-154.20M,,,,-19.60M,-0.30M,0.00,-0.30M,,-14.40M,,0.10M,-34.20M,,0.00,-172.50M,,0.00,,-0.30M,,,0.00,,,
1994-07,71.30M,,,,1.10M,27.00M,27.00M,4.90M,,-0.20M,-22.50M,4.50M,-45.00M,37.00M,34.30M,,8.30M,,112.40M,,-79.30M,2.80M,-76.50M,,-137.30M,-3.80M,-217.60M,,,,-17.90M,316.40M,-0.10M,316.30M,,0.00,,,298.40M,,0.00,193.20M,,0.00,,316.40M,,,-0.10M,,,
1994-04,51.80M,,,,1.70M,24.80M,24.80M,0.70M,,0.10M,-21.90M,-92.50M,93.90M,-7.50M,28.20M,,0.20M,,79.30M,,-81.80M,2.40M,-79.40M,,-13.20M,-0.20M,-92.80M,,,,-1.50M,0.70M,,0.70M,,-5.90M,,,-6.70M,,73.30M,-20.20M,,0.00,,0.70M,,,,,,
1994-01,25.70M,,,,2.20M,22.10M,22.10M,9.70M,,,21.30M,-24.40M,79.80M,-19.70M,-5.10M,,51.90M,,111.60M,,-112.40M,6.40M,-106.00M,,89.40M,-16.10M,-32.70M,,,,-9.40M,0.60M,,0.60M,,-5.90M,,0.10M,-14.60M,,0.00,64.30M,,0.00,,0.60M,,,,,,
1993-10,31.70M,,,,4.90M,20.20M,20.20M,-2.90M,,-0.10M,1.80M,-87.60M,42.40M,7.80M,2.20M,,-33.40M,,20.40M,,-87.10M,13.20M,-73.90M,,-35.80M,6.20M,-103.50M,,,,4.70M,0.30M,,0.30M,,-6.00M,,,-1.00M,,0.00,-84.10M,,0.00,,0.30M,,,,,,
1993-07,45.00M,,,,3.50M,19.50M,19.50M,-0.80M,,-2.70M,-9.50M,-50.30M,-8.50M,2.60M,36.60M,,-29.10M,,35.40M,,-84.30M,2.10M,-82.20M,,-59.70M,-3.10M,-145.00M,,,,181.10M,0.30M,,0.30M,,-5.80M,,-0.10M,175.50M,,0.00,65.90M,,0.00,,0.30M,,,,,,
1993-04,29.40M,,,,,18.70M,18.70M,-0.10M,,2.80M,-13.60M,-97.20M,23.00M,-12.10M,7.40M,,-92.50M,,-41.70M,,-53.10M,5.90M,-47.20M,,-23.20M,-2.50M,-72.90M,,,,98.30M,0.30M,,0.30M,,-5.90M,,0.10M,92.80M,,48.90M,-21.80M,,0.00,,0.30M,,,,,,
1993-01,12.30M,,,,10.60M,18.90M,18.90M,2.90M,,0.10M,-17.40M,65.80M,52.20M,22.60M,-1.80M,,121.40M,,166.20M,,-67.10M,1.70M,-65.40M,,20.60M,-14.90M,-59.70M,,,,-75.30M,0.10M,,0.10M,,-5.90M,,,-81.10M,,0.00,25.40M,,0.00,,0.10M,,,,,,
1992-10,18.90M,,,,-1.70M,17.80M,17.80M,2.50M,,-0.10M,26.30M,0.60M,5.60M,-2.30M,1.10M,,31.30M,,68.70M,,-69.90M,0.80M,-69.10M,,-0.80M,0.00,-69.90M,,,,5.40M,0.10M,,0.10M,,-5.10M,,,0.40M,,0.00,-0.80M,,0.00,,0.10M,,,,,,
1992-07,29.70M,,,,-3.50M,16.90M,16.90M,-0.50M,,0.00,-11.00M,37.30M,-44.90M,-12.10M,-5.00M,,-35.70M,,6.90M,,-47.60M,3.60M,-44.00M,,-11.10M,-0.80M,-55.90M,,,,51.80M,0.50M,,0.50M,,-5.10M,,,47.20M,,0.00,-1.80M,,0.00,,0.50M,,,,,,
1992-04,23.80M,,,,-3.50M,16.20M,16.20M,3.30M,,0.10M,64.60M,-95.10M,3.30M,-28.60M,24.90M,,-30.90M,,9.00M,,-58.70M,3.50M,-55.20M,,-9.90M,1.70M,-63.40M,,,,59.30M,0.30M,,0.30M,,-5.10M,,,54.50M,,26.10M,0.10M,,0.00,,0.30M,,,,,,
1992-01,-43.30M,,,,69.00M,15.60M,15.60M,-23.80M,,,17.80M,-50.50M,73.50M,0.90M,-2.00M,,39.70M,,57.20M,,-50.00M,0.80M,-49.20M,,16.30M,1.20M,-31.70M,,,,-3.70M,0.60M,0.00,0.60M,,-5.10M,,0.10M,-8.10M,,0.00,17.40M,,0.00,,0.60M,,,0.00,,,
1991-10,13.00M,,,,1.00M,14.50M,14.50M,-1.50M,,,-0.20M,-58.10M,12.60M,-3.00M,7.70M,,-41.00M,,-14.00M,,-31.80M,1.20M,-30.60M,,-20.40M,-0.40M,-51.40M,,,,56.20M,0.10M,-1.90M,-1.80M,,-5.10M,,0.10M,49.40M,,0.00,-16.00M,,0.00,,0.10M,,,-1.90M,,,
1991-07,25.30M,,,,0.30M,14.20M,14.20M,,,,-15.30M,22.90M,-16.40M,-1.70M,2.60M,,-7.90M,,31.90M,,-33.20M,1.10M,-32.10M,,25.50M,-0.30M,-6.90M,,,,-13.80M,0.40M,,0.40M,,-5.10M,,-0.10M,-18.60M,,0.00,6.40M,,0.00,,0.40M,,,,,,
1991-04,11.50M,,,,,14.00M,14.00M,,,,-21.70M,-56.30M,51.30M,-1.30M,20.90M,,-7.10M,,18.40M,,-18.80M,0.80M,-18.00M,,-2.40M,-0.60M,-21.00M,,,,10.50M,0.10M,,0.10M,,-4.70M,,,5.90M,,15.00M,3.30M,,0.00,,0.10M,,,,,,
1991-01,5.10M,,,,0.00,13.60M,13.60M,-1.10M,,-0.20M,40.20M,37.30M,0.70M,2.30M,-11.50M,,69.00M,,86.40M,,-22.20M,6.90M,-15.30M,,,-1.00M,-51.40M,,,,-59.50M,0.00,-8.30M,-8.30M,,-4.70M,,,-72.50M,,0.00,-37.50M,,0.00,,0.00,,,-8.30M,,,
1990-10,14.00M,,,,0.90M,13.10M,13.10M,0.00,,0.10M,6.80M,6.10M,-22.30M,-1.60M,-0.10M,,-11.10M,,17.00M,,-23.40M,4.10M,-19.30M,,,-2.50M,-21.80M,,,,25.50M,0.00,-18.20M,-18.20M,,-4.90M,,,2.40M,,0.00,-2.40M,,0.00,,0.00,,,-18.20M,,,
1990-07,30.00M,,,,0.10M,12.50M,12.50M,0.00,,0.00,-5.60M,12.10M,-35.10M,-1.50M,-4.80M,,-34.90M,,7.70M,,-23.40M,0.00,-23.40M,,,-0.20M,-23.60M,,,,33.60M,5.10M,,5.10M,,-4.90M,,,33.80M,,0.00,17.90M,,0.00,,5.10M,,,,,,
1990-04,22.00M,,,,-0.20M,12.20M,12.20M,1.30M,,-0.10M,-15.90M,-108.60M,33.40M,1.70M,22.30M,,-67.10M,,-31.90M,,-22.00M,0.40M,-21.60M,,,0.40M,-21.20M,,,,38.50M,0.90M,,0.90M,,-4.80M,,,34.60M,,55.60M,-18.50M,,0.00,,0.90M,,,,,,
