,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2001-10,5.455B,5.455B,3.864B,1.591B,1.016B,134.05M,0.967M,,,,,,1.151B,440.07M,,,,,,397.61M,147.12M,250.50M,,,250.50M,250.50M,578.39M,138.32M,440.07M,,0.16,0.00,0.16,0.16,,0.16,0.00,0.16,0.16,,1.547B,1.591B,0.01,,,
2001-07,6.127B,6.127B,4.409B,1.718B,1.028B,124.57M,0.724M,,,,,,1.153B,564.24M,,,,,,522.35M,193.26M,329.08M,,,329.08M,329.08M,696.28M,132.04M,564.24M,,0.215,0.00,0.215,0.215,,0.21,0.00,0.21,0.21,,1.543B,1.590B,0.01,,,
2001-04,5.276B,5.276B,3.783B,1.494B,975.54M,119.08M,0.668M,,,,,,1.095B,398.25M,,,,,,357.59M,132.31M,225.28M,,,225.28M,225.28M,517.99M,119.50M,398.25M,,0.1475,0.00,0.1475,0.1475,,0.145,0.00,0.145,0.145,,1.537B,1.575B,0.0088,,,
2001-01,4.543B,4.543B,3.251B,1.292B,915.90M,,,,,,,,1.028B,263.40M,,,,,,222.83M,82.00M,140.83M,,,140.83M,140.83M,375.68M,112.28M,263.40M,,0.0775,0.01,0.0775,0.0875,,0.075,0.01,0.075,0.085,,1.578B,1.616B,0.0088,,,
2000-10,4.504B,4.504B,3.205B,1.300B,846.59M,,,,,,,,951.49M,348.10M,,,,,,320.08M,117.79M,202.29M,,,202.29M,202.29M,453.00M,104.90M,348.10M,,0.1325,0.00,0.1325,0.1325,,0.1325,0.00,0.1325,0.1325,,1.531B,1.538B,0.0088,,,
2000-07,5.264B,5.264B,3.812B,1.452B,884.90M,,,,,,,,983.61M,468.63M,,,,,,442.40M,162.80M,279.60M,,,279.60M,279.60M,567.34M,98.71M,468.63M,,0.1825,0.00,0.1825,0.1825,,0.1825,0.00,0.1825,0.1825,,1.531B,1.537B,0.0088,,,
2000-04,4.467B,4.467B,3.219B,1.248B,832.49M,,,,,,,,926.12M,322.14M,,,,,,296.12M,108.97M,187.15M,,,187.15M,187.15M,415.76M,93.63M,322.14M,,0.1225,0.00,0.1225,0.1225,,0.1225,0.00,0.1225,0.1225,,1.530B,1.539B,0.0088,,,
2000-01,3.789B,3.789B,2.693B,1.097B,749.88M,,,0.022M,,,,,841.10M,255.55M,,,,0.022M,,234.92M,86.02M,148.90M,,,148.90M,148.88M,346.77M,91.22M,255.55M,,0.095,0.00,0.0950,0.095,,0.095,0.00,0.0950,0.095,,1.544B,1.553B,0.0088,,,
1999-10,3.909B,3.909B,2.819B,1.090B,718.10M,,,,,,,,804.70M,285.10M,,,,,,266.10M,97.40M,168.70M,,,168.70M,168.70M,371.70M,86.60M,285.10M,,0.11,0.00,0.11,0.11,,0.11,0.00,0.11,0.11,,1.523B,1.534B,0.0075,,,
1999-07,4.435B,4.435B,3.248B,1.188B,720.30M,,,,,,,,802.20M,385.32M,,,,,,363.20M,133.00M,230.20M,,,230.20M,230.20M,467.22M,81.90M,385.32M,,0.15,0.00,0.15,0.15,,0.15,0.00,0.15,0.15,,1.527B,1.537B,0.0075,,,
1999-04,3.772B,3.772B,2.765B,1.007B,682.60M,,,-24.40M,,,,,760.70M,246.62M,,,,-24.40M,,199.00M,74.00M,125.00M,,,125.00M,140.33M,324.72M,78.10M,246.62M,,0.0825,0.00,0.0926,0.0825,,0.0825,0.00,0.0926,0.0825,,1.515B,1.515B,0.0075,,,
1999-01,3.169B,3.169B,2.294B,874.54M,619.28M,,,,,,,,695.83M,178.71M,,,,,,157.37M,58.49M,98.87M,,,98.87M,98.87M,255.26M,76.55M,178.71M,,0.0675,0.00,0.0675,0.0675,,0.065,0.00,0.065,0.065,,1.472B,1.551B,0.0075,,,
1998-10,3.278B,3.278B,2.396B,882.30M,598.70M,,,,,,,,671.70M,210.60M,,,,,,191.30M,69.40M,121.90M,,,121.90M,121.90M,283.60M,73.00M,210.60M,,0.0825,0.00,0.0825,0.0825,,0.0825,0.00,0.0825,0.0825,,1.478B,1.478B,0.0075,,,
1998-07,3.734B,3.734B,2.748B,985.70M,617.10M,,,,,,,,683.50M,302.20M,,,,,,283.60M,102.90M,180.70M,,,180.70M,180.70M,372.70M,70.50M,302.20M,,0.1225,0.00,0.1225,0.1225,,0.12,0.00,0.12,0.12,,1.475B,1.506B,0.0075,,,
1998-04,3.150B,3.150B,2.319B,830.70M,582.00M,,,,,,,,651.00M,179.70M,,,,,,158.00M,57.30M,100.70M,,,100.70M,100.70M,248.70M,69.00M,179.70M,,0.0675,0.00,0.0675,0.0675,,0.0675,0.00,0.0675,0.0675,,1.492B,1.492B,0.0069,,,
1998-01,3.369B,3.369B,2.442B,927.44M,669.41M,,,,,,,,749.39M,178.05M,,,,,,154.83M,56.80M,98.03M,,,98.03M,98.03M,258.03M,79.99M,178.05M,,0.055,0.00,0.055,0.055,,0.055,0.00,0.055,0.055,,1.722B,1.722B,0.0069,,,
1997-10,2.530B,2.530B,1.860B,670.90M,458.40M,,,,,,,,518.90M,152.00M,,,,,,136.90M,48.80M,88.10M,,,88.10M,88.10M,212.50M,60.50M,152.00M,,0.0625,0.00,0.0625,0.0625,,0.0625,0.00,0.0625,0.0625,,1.410B,1.410B,0.0069,,,
1997-07,2.808B,2.808B,2.077B,731.20M,459.60M,,,,,,,,518.30M,212.90M,,,,,,196.90M,70.40M,126.50M,,,126.50M,126.50M,271.60M,58.70M,212.90M,,0.0925,0.00,0.0925,0.0925,,0.0925,0.00,0.0925,0.0925,,1.368B,1.368B,0.0069,,,
1997-04,2.401B,2.401B,1.777B,623.70M,439.80M,,,,,,,,496.50M,127.20M,,,,,,110.00M,39.60M,70.40M,,,70.40M,70.40M,183.90M,56.70M,127.20M,,0.0525,0.00,0.0525,0.0525,,0.0525,0.00,0.0525,0.0525,,1.341B,1.341B,0.0069,,,
1997-01,2.042B,2.042B,1.489B,552.40M,329.70M,,,,,,,,384.80M,167.60M,,,,,,86.20M,30.50M,55.70M,,,55.70M,55.70M,222.70M,55.10M,167.60M,,0.04,0.00,0.04,0.04,,0.0388,0.00,0.0388,0.0388,,1.369B,1.414B,0.0069,,,
1996-10,2.193B,2.193B,1.627B,566.10M,388.40M,,,,,,,,439.10M,127.00M,,,,,,116.60M,41.40M,75.20M,,,75.20M,75.20M,177.70M,50.70M,127.00M,,0.055,0.00,0.055,0.055,,0.055,0.00,0.055,0.055,,1.367B,1.367B,0.0062,,,
1996-07,2.459B,2.459B,1.830B,629.50M,391.60M,,,,,,,,440.10M,189.40M,,,,,,177.40M,63.10M,114.30M,,,114.30M,114.30M,237.90M,48.50M,189.40M,,0.0875,0.00,0.0875,0.0875,,0.085,0.00,0.085,0.085,,1.306B,1.345B,0.0062,,,
1996-04,1.906B,1.906B,1.429B,477.40M,345.20M,,,,,,,,390.70M,86.70M,,,,,,73.60M,26.50M,47.10M,,,47.10M,47.10M,132.20M,45.50M,86.70M,,0.0375,0.00,0.0375,0.0375,,0.0375,0.00,0.0375,0.0375,,1.256B,1.256B,0.0062,,,
1996-01,1.697B,1.697B,1.277B,419.50M,299.60M,,,-7.80M,,,,,342.80M,76.70M,,,,-7.80M,,58.10M,20.00M,38.10M,,,38.10M,43.21M,119.90M,43.20M,76.70M,,0.0288,0.00,0.0326,0.0288,,0.0275,0.00,0.0313,0.0275,,1.313B,1.362B,0.0062,,,
1995-10,1.766B,1.766B,1.336B,429.80M,301.20M,,,-11.60M,,,,,340.90M,88.90M,,,,-11.60M,,68.20M,24.30M,43.90M,,,43.90M,51.37M,128.60M,39.70M,88.90M,,0.035,0.00,0.0410,0.035,,0.035,0.00,0.0410,0.035,,1.254B,1.254B,0.0062,,,
1995-07,1.978B,1.978B,1.484B,494.40M,302.10M,,,-13.20M,,,,,338.70M,155.70M,,,,-13.20M,,133.50M,48.50M,85.00M,,,85.00M,93.40M,192.30M,36.60M,155.70M,,0.0675,0.00,0.0742,0.0675,,0.065,0.00,0.0714,0.065,,1.259B,1.308B,0.0056,,,
1995-04,1.635B,1.635B,1.211B,423.30M,274.10M,,,-13.50M,,,,,308.20M,115.10M,,,,-13.50M,,92.20M,33.30M,58.90M,,,58.90M,67.52M,149.20M,34.10M,115.10M,,0.0475,0.00,0.0545,0.0475,,0.045,0.00,0.0516,0.045,,1.24B,1.309B,0.0056,,,
1995-01,1.488B,1.488B,1.096B,391.90M,266.50M,,,,,,,,298.20M,93.70M,,,,,,70.70M,24.40M,46.30M,,,46.30M,46.30M,125.40M,31.70M,93.70M,,0.035,0.00,0.035,0.035,,0.0338,0.00,0.0338,0.0338,,1.289B,1.348B,0.0056,,,
1994-10,1.579B,1.579B,1.197B,381.90M,263.10M,,,,,,,,292.50M,89.40M,,,,,,83.60M,29.40M,54.20M,,,54.20M,54.20M,118.80M,29.40M,89.40M,,0.0425,0.00,0.0425,0.0425,,0.0425,0.00,0.0425,0.0425,,1.275B,1.275B,0.0057,,,
1994-07,1.647B,1.647B,1.242B,404.60M,260.20M,,,,,,,,287.20M,117.40M,,,,,,109.80M,38.40M,71.40M,,,71.40M,71.40M,144.40M,27.00M,117.40M,,0.06,0.00,0.06,0.06,,0.0575,0.00,0.0575,0.0575,,1.19B,1.242B,0.0057,,,
1994-04,1.397B,1.397B,1.060B,336.70M,224.70M,,,0.90M,,,,,249.50M,87.20M,,,,0.90M,,79.70M,27.90M,51.80M,,,51.80M,51.22M,112.00M,24.80M,87.20M,,0.045,0.00,0.0445,0.045,,0.0425,0.00,0.0420,0.0425,,1.151B,1.219B,0.005,,,
1994-01,1.146B,1.146B,866.80M,279.00M,173.90M,,,,,,,,196.00M,83.00M,,,,,,38.90M,13.20M,25.70M,,,25.70M,25.70M,105.10M,22.10M,83.00M,,0.0225,0.00,0.0225,0.0225,,0.0225,0.00,0.0225,0.0225,,1.150B,1.150B,0.005,,,
1993-10,1.158B,1.158B,882.80M,275.60M,203.10M,,,,,,,,223.30M,52.30M,,,,,,47.50M,15.90M,31.60M,,,31.60M,31.60M,72.50M,20.20M,52.30M,,0.0275,0.00,0.0275,0.0275,,0.0275,0.00,0.0275,0.0275,,1.149B,1.149B,0.005,,,
1993-07,1.242B,1.242B,949.20M,292.50M,200.90M,,,,,,,,220.40M,72.10M,,,,,,68.60M,23.60M,45.00M,,,45.00M,45.00M,91.60M,19.50M,72.10M,,0.04,0.00,0.04,0.04,,0.04,0.00,0.04,0.04,,1.125B,1.125B,0.005,,,
1993-04,992.10M,992.10M,757.90M,234.20M,168.40M,,,,,,,,187.10M,47.10M,,,,,,43.20M,13.80M,29.40M,,,29.40M,29.40M,65.80M,18.70M,47.10M,,0.025,0.00,0.025,0.025,,0.025,0.00,0.025,0.025,,1.176B,1.176B,0.005,,,
1993-01,910.30M,910.30M,701.00M,209.30M,132.60M,,,,,,,,151.50M,57.80M,,,,,,18.50M,6.20M,12.30M,,,12.30M,12.30M,76.70M,18.90M,57.80M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.198B,1.198B,0.005,,,
1992-10,991.20M,991.20M,759.80M,231.40M,181.40M,,,,,,,,199.10M,32.30M,,,,,,28.20M,9.30M,18.90M,,,18.90M,18.90M,50.10M,17.80M,32.30M,,0.0175,0.00,0.0175,0.0175,,0.0175,0.00,0.0175,0.0175,,1.08B,1.08B,0.0044,,,
1992-07,1.062B,1.062B,814.90M,246.70M,181.20M,,,,,,,,198.10M,48.60M,,,,,,44.40M,14.70M,29.70M,,,29.70M,29.70M,65.50M,16.90M,48.60M,,0.0275,0.00,0.0275,0.0275,,0.0275,0.00,0.0275,0.0275,,1.08B,1.08B,0.0044,,,
1992-04,883.30M,883.30M,670.10M,213.20M,158.60M,,,,,,,,174.80M,38.40M,,,,,,34.70M,10.90M,23.80M,,,23.80M,23.80M,54.60M,16.20M,38.40M,,0.0225,0.00,0.0225,0.0225,,0.0225,0.00,0.0225,0.0225,,1.058B,1.058B,0.0044,,,
1992-01,709.60M,709.60M,539.10M,170.50M,145.30M,,,,,,,,160.90M,9.60M,,,,,,-66.90M,-23.60M,-43.30M,,,-43.30M,-43.30M,25.20M,15.60M,9.60M,,-0.0371,,-0.0371,-0.0371,,-0.0371,,-0.0371,-0.0371,,1.166B,1.166B,0.0044,,,
1991-10,790.30M,790.30M,601.80M,188.50M,150.80M,,,,,,,,165.30M,23.20M,,,,,,19.20M,6.20M,13.00M,,,13.00M,13.00M,37.70M,14.50M,23.20M,,0.0125,0.00,0.0125,0.0125,,0.0125,0.00,0.0125,0.0125,,1.04B,1.04B,0.0044,,,
1991-07,863.00M,863.00M,654.20M,208.80M,154.50M,,,,,,,,168.80M,40.00M,,,,,,36.30M,11.00M,25.30M,,,25.30M,25.30M,54.30M,14.20M,40.00M,,0.0225,0.00,0.0225,0.0225,,0.0225,0.00,0.0225,0.0225,,1.124B,1.124B,0.0044,,,
1991-04,693.40M,693.40M,525.90M,167.50M,133.20M,,,,,,,,147.20M,20.30M,,,,,,16.50M,5.00M,11.50M,,,11.50M,11.50M,34.30M,14.00M,20.30M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.15B,1.15B,0.0041,,,
1991-01,586.00M,586.00M,433.60M,152.40M,99.40M,,,,,,,,113.00M,39.40M,,,,,,7.10M,2.00M,5.10M,,,5.10M,5.10M,53.00M,13.60M,39.40M,,0.005,0.00,0.005,0.005,,0.005,0.00,0.005,0.005,,1.14B,1.14B,0.0041,,,
1990-10,708.10M,708.10M,533.40M,174.70M,137.20M,,,,,,,,150.30M,24.40M,,,,,,19.70M,5.60M,14.10M,,,14.10M,14.10M,37.50M,13.10M,24.40M,,0.0125,0.00,0.0125,0.0125,,0.0125,0.00,0.0125,0.0125,,1.128B,1.128B,0.0041,,,
1990-07,818.10M,818.10M,615.70M,202.40M,143.90M,,,,,,,,156.40M,46.00M,,,,,,41.90M,11.90M,30.00M,,,30.00M,30.00M,58.50M,12.50M,46.00M,,0.025,0.00,0.025,0.025,,0.025,0.00,0.025,0.025,,1.20B,1.20B,0.0041,,,
1990-04,720.90M,720.90M,547.70M,173.20M,125.50M,,,,,,,,137.70M,35.50M,,,,,,31.80M,9.80M,22.00M,,,22.00M,22.00M,47.70M,12.20M,35.50M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,1.10B,1.10B,0.0041,,,
1990-01,599.50M,599.50M,453.50M,146.00M,116.00M,,,,,,,,128.30M,17.70M,,,,,,13.80M,3.70M,10.10M,,,10.10M,10.10M,30.00M,12.30M,17.70M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.075B,1.075B,0.0041,,,
1989-10,702.70M,702.70M,534.30M,168.40M,122.30M,,,,,,,,134.00M,34.40M,,,,,,29.60M,9.30M,20.30M,,,20.30M,20.30M,46.10M,11.70M,34.40M,,0.0175,0.00,0.0175,0.0175,,0.0175,0.00,0.0175,0.0175,,1.16B,1.16B,0.0038,,,
1989-07,746.20M,746.20M,,,,,,,,,,,,746.20M,,,,,,,,29.90M,,,29.90M,,746.20M,,746.20M,,0.025,0.00,0.025,0.025,,0.025,0.00,0.025,0.025,,1.188B,1.188B,0.0038,,,
1989-04,602.10M,602.10M,,,,,,,,,,,,602.10M,,,,,,,,14.60M,,,14.60M,,602.10M,,602.10M,,0.0125,0.00,0.0125,0.0125,,0.0125,0.00,0.0125,0.0125,,1.188B,1.188B,0.0038,,,
1989-01,569.60M,569.60M,,,,,,,,,,,,-1.821B,,,,,,,,11.80M,,,11.80M,,-1.821B,,-1.821B,,,,,,,,,,,,1.188B,1.188B,0.0038,,,
1988-10,652.10M,652.10M,,,,,,,,,,,,652.10M,,,,,,,,15.90M,,,15.90M,,652.10M,,652.10M,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,1.187B,1.187B,0.0038,,,
1988-07,704.60M,704.60M,,,,,,,,,,,,704.60M,,,,,,,,26.40M,,,26.40M,,704.60M,,704.60M,,0.0225,0.00,0.0225,0.0225,,0.0225,0.00,0.0225,0.0225,,1.260B,1.260B,0.0035,,,
1988-04,590.60M,590.60M,,,,,,,,,,,,590.60M,,,,,,,,15.10M,,,15.10M,,590.60M,,590.60M,,0.0125,0.00,0.0125,0.0125,,0.0125,0.00,0.0125,0.0125,,1.268B,1.268B,0.0035,,,
1988-01,502.40M,502.40M,,,,,,,,,,,,-1.829B,,,,,,,,3.70M,,,3.70M,,-1.829B,,-1.829B,,,,,,,,,,,,1.260B,1.260B,0.0035,,,
1987-10,645.60M,645.60M,,,,,,,,,,,,645.60M,,,,,,,,16.60M,,,16.60M,,645.60M,,645.60M,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,1.268B,1.268B,0.0035,,,
1987-07,725.10M,725.10M,,,,,,,,,,,,725.10M,,,,,,,,22.80M,,,22.80M,,725.10M,,725.10M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,1.268B,1.268B,0.0035,,,
1987-04,569.20M,569.20M,,,,,,,,,,,,569.20M,,,,,,,,12.90M,,,12.90M,,569.20M,,569.20M,,0.0125,0.00,0.0125,0.0125,,0.0125,0.00,0.0125,0.0125,,1.268B,1.268B,0.0032,,,
1987-01,497.40M,497.40M,,,,,,,,,,,,-1.664B,,,,,,,,10.00M,,,10.00M,,-1.664B,,-1.664B,,,,,,,,,,,,1.268B,1.268B,0.0032,,,
1986-10,594.30M,594.30M,,,,,,,,,,,,594.30M,,,,,,,,12.40M,,,12.40M,,594.30M,,594.30M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.268B,1.268B,0.0032,,,
1986-07,657.80M,657.80M,,,,,,,,,,,,657.80M,,,,,,,,21.30M,,,21.30M,,657.80M,,657.80M,,0.0175,0.00,0.0175,0.0175,,0.0175,0.00,0.0175,0.0175,,1.251B,1.251B,0.0032,,,
1986-04,534.00M,534.00M,,,,,,,,,,,,534.00M,,,,,,,,11.40M,,,11.40M,,534.00M,,534.00M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.251B,1.251B,0.0032,,,
1986-01,475.60M,475.60M,,,,,,,,,,,,-1.473B,,,,,,,,11.30M,,,11.30M,,-1.473B,,-1.473B,,,,,,,,,,,,1.187B,1.187B,0.0029,,,
1985-10,549.00M,549.00M,,,,,,,,,,,,549.00M,,,,,,,,15.60M,,,15.60M,,549.00M,,549.00M,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,1.160B,1.160B,,,,
1985-07,595.60M,595.60M,,,,,,,,,,,,595.60M,,,,,,,,20.90M,,,20.90M,,595.60M,,595.60M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,1.160B,1.160B,,,,
1985-04,452.30M,452.30M,,,,,,,,,,,,452.30M,,,,,,,,11.90M,,,11.90M,,452.30M,,452.30M,,0.0125,0.00,0.0125,0.0125,,0.0125,0.00,0.0125,0.0125,,1.160B,1.160B,,,,
1985-01,375.90M,375.90M,,,,,,,,,,,,-1.171B,,,,,,,,10.50M,,,10.50M,,-1.171B,,-1.171B,,,,,,,,,,,,1.160B,1.160B,,,,
1984-10,447.70M,447.70M,,,,,,,,,,,,447.70M,,,,,,,,17.70M,,,17.70M,,447.70M,,447.70M,,0.0175,0.00,0.0175,0.0175,,0.0175,0.00,0.0175,0.0175,,1.160B,1.160B,,,,
1984-07,484.90M,484.90M,,,,,,,,,,,,484.90M,,,,,,,,20.50M,,,20.50M,,484.90M,,484.90M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,1.160B,1.160B,,,,
1984-04,380.30M,380.30M,,,,,,,,,,,,380.30M,,,,,,,,12.70M,,,12.70M,,380.30M,,380.30M,,0.0125,0.00,0.0125,0.0125,,0.0125,0.00,0.0125,0.0125,,1.160B,1.160B,,,,
