,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2008-03,104.85M,1.693M,106.55M,53.70M,53.70M,6.372M,16.74M,9.972M,33.08M,24.79M,,,,218.12M,,,,,,,127.59M,-16.37M,111.22M,19.95M,10.49M,30.44M,,4.207M,145.87M,363.99M,6.08M,,,6.08M,28.70M,34.78M,4.50M,,18.28M,22.78M,,22.78M,0.88M,0.88M,,,58.44M,,196.50M,0.427M,196.93M,,,0.593M,197.52M,255.96M,0.004M,-733.53M,844.53M,1.26M,,-1.711M,108.04M
2007-12,95.32M,10.43M,105.75M,46.28M,46.28M,4.985M,17.68M,10.24M,32.91M,13.78M,,,6.64M,205.35M,0.0,0.692M,9.266M,19.39M,,91.30M,120.65M,-16.37M,104.28M,19.95M,,19.95M,,4.769M,129.00M,334.36M,9.072M,,,9.072M,28.32M,37.40M,,,,0.272M,,0.272M,0.041M,0.041M,,,37.71M,,194.00M,0.499M,194.50M,,,0.593M,195.09M,232.80M,0.004M,-729.28M,833.53M,1.26M,,-1.443M,101.56M
2007-09,91.50M,20.41M,111.91M,31.62M,31.62M,3.959M,16.60M,11.65M,32.21M,14.95M,,,,190.70M,,,,,,,108.70M,-15.74M,92.96M,19.95M,,19.95M,,17.48M,130.40M,321.10M,10.55M,,,10.55M,22.45M,33.00M,,,,0.267M,,0.267M,0.018M,0.018M,,,33.29M,,194.00M,0.57M,194.57M,,,0.624M,195.19M,228.48M,0.004M,-716.95M,811.77M,1.26M,,-0.941M,92.62M
2007-06,112.76M,30.13M,142.89M,10.26M,10.26M,0.71M,2.665M,11.57M,14.94M,18.76M,,,,186.86M,,,,,,,92.48M,-15.74M,76.75M,19.95M,,19.95M,,13.33M,110.03M,296.89M,8.041M,,,8.041M,15.64M,23.68M,,,,0.262M,,0.262M,,,,,23.94M,,176.00M,0.638M,176.64M,,,,176.64M,200.58M,0.004M,-696.87M,795.26M,1.26M,,-0.827M,96.31M
2007-03,136.99M,46.70M,183.69M,1.173M,1.173M,,,,3.113M,19.00M,,,,206.98M,,,,,,,70.33M,-15.74M,54.59M,19.95M,,19.95M,,26.22M,100.76M,307.74M,8.761M,,,8.761M,13.70M,22.47M,,,,0.068M,,0.068M,,,,,22.53M,,176.00M,0.264M,176.26M,,,,176.26M,198.80M,0.004M,-669.68M,780.08M,1.26M,,-0.205M,108.94M
2006-12,166.83M,49.73M,216.55M,,1.448M,,,2.314M,2.314M,13.94M,,,2.525M,236.78M,0.0,0.692M,10.16M,15.19M,,28.83M,54.87M,-15.74M,39.14M,19.95M,,19.95M,,37.67M,96.76M,333.54M,10.94M,,,10.94M,16.23M,27.17M,,,,0.067M,,0.067M,0.588M,0.588M,,,27.82M,,176.00M,0.283M,176.28M,,,4.755M,181.04M,208.86M,0.004M,-637.58M,763.69M,1.26M,,-0.177M,124.68M
2006-09,39.98M,70.68M,110.66M,,,,,,,3.65M,33.18M,,,147.50M,,,,,,,42.30M,-13.67M,28.63M,19.95M,,19.95M,,14.92M,63.50M,211.00M,3.479M,,,3.479M,17.32M,20.79M,,,,0.121M,,0.121M,0.588M,0.588M,,,21.50M,,150.00M,,150.00M,,,30.90M,180.90M,202.40M,0.003M,-598.33M,608.00M,0.981M,,-0.091M,8.596M
2006-06,52.64M,111.39M,164.03M,,,,,,,3.539M,1.00M,,,168.57M,,,,,,,25.49M,-13.67M,11.82M,,19.95M,19.95M,,14.24M,46.01M,214.58M,0.508M,,,0.508M,23.95M,24.46M,,,,0.128M,,0.128M,0.588M,0.588M,,,25.17M,,150.00M,0.025M,150.02M,,,5.049M,155.07M,180.24M,0.003M,-566.46M,602.02M,0.981M,,-0.245M,34.34M
2006-03,11.95M,177.32M,189.27M,,,,,,,3.928M,,,,193.20M,,,,,,,24.03M,-13.67M,10.36M,19.95M,,19.95M,,14.41M,44.72M,237.92M,1.319M,,,1.319M,17.42M,18.74M,,,,0.13M,,0.13M,0.588M,0.588M,,,19.46M,,150.00M,0.056M,150.06M,,,5.196M,155.25M,174.71M,0.003M,-533.29M,597.79M,0.981M,,-0.302M,63.22M
2005-10,62.99M,167.53M,230.53M,,,,,,,5.083M,,,,235.61M,,,,,,,23.23M,-12.38M,10.85M,,19.95M,19.95M,,14.69M,45.49M,281.10M,1.869M,,,1.869M,21.15M,23.02M,,,,0.128M,,0.128M,0.81M,0.81M,,,23.96M,,150.00M,0.11M,150.11M,,,5.441M,155.55M,179.51M,0.003M,-483.18M,586.22M,0.981M,,-0.459M,101.59M
2005-07,46.95M,148.45M,195.40M,,1.316M,,,,,4.303M,,,0.139M,201.16M,0.0,,9.721M,14.20M,,,23.92M,-12.38M,11.55M,,19.95M,19.95M,,15.46M,46.96M,248.12M,7.455M,,,7.455M,16.36M,23.82M,,,,0.075M,,0.075M,0.82M,0.82M,,,24.71M,,150.00M,0.149M,150.15M,,,5.588M,155.74M,180.45M,0.003M,-448.11M,518.88M,0.60M,,-2.504M,67.67M
2005-04,35.14M,191.44M,226.58M,,0.953M,,,,,4.387M,,,0.12M,232.04M,,,,,,,24.66M,-12.70M,11.96M,,19.95M,19.95M,,16.63M,48.54M,280.58M,2.878M,,,2.878M,22.53M,25.41M,,,,0.123M,,0.123M,0.826M,0.826M,,,26.36M,,150.00M,0.088M,150.09M,,,5.735M,155.82M,182.18M,0.003M,-415.47M,517.15M,0.60M,,-2.688M,98.40M
2005-01,177.02M,193.97M,370.99M,,0.70M,,,,,3.018M,,,0.823M,375.53M,,,,,,,23.70M,-12.70M,11.00M,,19.95M,19.95M,,18.92M,49.88M,425.41M,1.385M,,,1.385M,15.72M,17.10M,120.00M,,,120.00M,,120.00M,0.828M,0.828M,,0.188M,138.12M,,150.00M,,150.00M,,,6.992M,156.99M,295.11M,0.003M,-383.02M,514.49M,0.60M,,-0.569M,130.30M
2004-10,47.48M,199.31M,246.79M,,0.612M,,,,,3.694M,,,0.709M,251.81M,,,,,,,23.79M,-12.70M,11.09M,,19.95M,19.95M,,14.56M,45.60M,297.41M,6.113M,,,6.113M,9.378M,15.49M,,,,,,,0.588M,0.588M,,0.188M,16.27M,,120.00M,,120.00M,,,7.185M,127.18M,143.45M,0.003M,-358.55M,513.40M,0.60M,,-0.291M,153.96M
2004-07,113.22M,153.28M,266.50M,,5.493M,,,,,3.513M,,,0.826M,276.33M,,,,,,,24.06M,-12.70M,11.37M,,19.95M,19.95M,,11.92M,43.24M,319.58M,3.973M,,,3.973M,11.00M,14.98M,3.92M,,,3.92M,,3.92M,0.588M,0.588M,,0.188M,19.67M,,120.00M,,120.00M,,,7.38M,127.38M,147.05M,0.003M,-339.36M,512.83M,0.60M,,-0.347M,172.52M
2004-04,74.56M,129.61M,204.17M,,1.121M,,,,,3.444M,,,0.064M,208.80M,,,,,,,22.97M,-12.70M,10.27M,,19.95M,19.95M,,14.24M,44.46M,253.26M,4.476M,,,4.476M,4.657M,9.133M,3.92M,,,3.92M,,3.92M,0.589M,0.589M,,0.188M,13.83M,,120.00M,,120.00M,,,7.573M,127.57M,141.40M,0.002M,-319.24M,431.80M,0.60M,,-0.101M,111.86M
2004-01,10.52M,212.69M,223.22M,,0.933M,,,,,2.946M,,,1.309M,228.40M,,,,,,,23.28M,-12.70M,10.58M,,19.95M,19.95M,,13.18M,43.72M,272.12M,7.985M,,,7.985M,9.588M,17.57M,,,,,,,0.589M,0.589M,,0.188M,18.35M,,120.00M,,120.00M,,,7.766M,127.77M,146.12M,0.002M,-304.02M,430.42M,0.60M,,0.207M,126.00M
2003-10,10.92M,226.39M,237.31M,,0.983M,,,,,2.368M,,,,240.66M,,,,,,,25.06M,-12.70M,12.36M,,19.95M,19.95M,,13.34M,45.66M,286.32M,5.095M,,,5.095M,6.02M,11.12M,3.92M,,,3.92M,,3.92M,0.589M,0.589M,,,15.62M,,126.62M,,126.62M,,,,126.62M,142.24M,0.002M,-285.48M,429.81M,0.60M,,0.346M,144.08M
2003-07,24.84M,190.57M,215.41M,,1.012M,,,,,2.948M,,,1.54M,220.91M,,,,,,,24.98M,-12.70M,12.28M,,19.95M,19.95M,,14.09M,46.32M,267.23M,8.71M,,,8.71M,6.958M,15.67M,,,,,,,0.589M,0.589M,,,16.26M,,123.92M,,123.92M,,,6.764M,130.68M,146.94M,0.002M,-265.27M,385.50M,0.60M,,0.652M,120.29M
2003-04,61.21M,169.73M,230.94M,,,,,,,2.406M,,,1.393M,234.73M,,,,,,,21.77M,-9.864M,11.90M,,19.95M,19.95M,,15.45M,47.31M,282.04M,2.246M,,,2.246M,5.981M,8.227M,,,,,,,0.589M,0.589M,,,8.816M,,123.92M,,123.92M,,,6.911M,130.83M,139.65M,0.002M,-243.68M,385.38M,0.60M,,1.294M,142.40M
2003-01,52.30M,200.88M,253.18M,,,,,,,1.972M,,,0.389M,255.54M,,,,,,,24.60M,-9.864M,14.74M,,19.95M,19.95M,,15.60M,50.29M,305.84M,6.289M,,,6.289M,5.637M,11.93M,,,,,,,0.589M,0.589M,,,12.52M,,123.92M,,123.92M,,,7.058M,130.98M,143.49M,0.002M,-223.90M,385.31M,0.60M,,1.532M,162.34M
2002-10,20.20M,263.25M,283.46M,,,,,,,2.326M,,,0.297M,286.08M,,,,,,,24.97M,-9.864M,15.11M,,19.95M,19.95M,,8.558M,43.62M,329.70M,8.262M,,,8.262M,5.747M,14.01M,,,,,,,0.546M,0.546M,,,14.56M,,123.92M,,123.92M,,,7.205M,131.12M,145.68M,0.002M,-202.44M,385.22M,0.60M,,1.838M,184.02M
2002-07,47.57M,261.01M,308.58M,,,,,,,1.337M,,,0.863M,310.78M,0.0,0.364M,10.30M,14.07M,,,24.74M,-9.864M,14.87M,,19.95M,19.95M,,8.457M,43.28M,354.07M,9.843M,,,9.843M,6.93M,16.77M,,,,,,,0.546M,0.546M,,,17.32M,,123.92M,,123.92M,,,7.352M,131.27M,148.59M,0.002M,-180.80M,385.20M,0.60M,,1.678M,205.48M
2002-04,121.43M,203.75M,325.18M,,0.70M,,,,,0.793M,,,0.469M,327.14M,,,,,,,20.65M,-6.911M,13.74M,,20.16M,20.16M,,9.12M,43.02M,370.16M,8.032M,,,8.032M,5.239M,13.27M,,,,,,,0.589M,0.589M,,,13.86M,,123.92M,,123.92M,,,7.499M,131.42M,145.28M,0.002M,-159.96M,385.10M,0.60M,,0.338M,224.88M
2002-01,168.79M,172.14M,340.94M,,0.70M,,,,,1.087M,,,0.935M,343.66M,,,,,,,20.37M,-6.911M,13.46M,20.16M,,20.16M,,6.23M,39.85M,383.52M,3.597M,,,3.597M,5.374M,8.971M,,,,,,,0.61M,0.61M,,,9.581M,,123.92M,,123.92M,,,7.646M,131.57M,141.15M,0.002M,-142.86M,384.43M,,,0.795M,242.37M
2001-10,120.16M,229.34M,349.49M,,,,,,,0.362M,,7.167M,,357.02M,,,,,,,20.30M,-6.911M,13.39M,,20.23M,20.23M,,3.37M,36.99M,394.01M,1.213M,,,1.213M,3.352M,4.565M,,,,,,,1.427M,1.427M,,0.921M,6.913M,,123.92M,,123.92M,,,7.793M,131.71M,138.63M,0.002M,-132.05M,384.20M,,,3.233M,255.38M
2001-07,135.19M,220.09M,355.27M,,,,,,,0.493M,,,6.98M,362.75M,0.0,0.364M,9.088M,1.852M,9.338M,,20.64M,-6.911M,13.73M,,20.27M,20.27M,,3.511M,37.51M,400.26M,1.722M,,,1.722M,2.271M,3.993M,,,,,,,1.351M,1.351M,,2.646M,7.99M,,123.92M,,123.92M,,,7.941M,131.86M,139.85M,0.002M,-124.26M,384.09M,,,0.572M,260.41M
2001-04,231.58M,132.15M,363.73M,,3.90M,,,,,0.51M,,,,368.14M,,,,,,,18.90M,-5.411M,13.49M,,21.12M,21.12M,,3.687M,38.29M,406.43M,1.63M,,,1.63M,3.789M,5.419M,0.092M,,,0.092M,,0.092M,1.446M,1.446M,,,6.957M,,123.92M,,123.92M,,,8.088M,132.01M,138.96M,0.002M,-116.72M,383.82M,,,0.359M,267.46M
2001-01,260.67M,109.24M,369.90M,,5.532M,,,,,0.534M,,,,375.97M,,,,,,,18.04M,-5.411M,12.63M,,21.94M,21.94M,,3.978M,38.54M,414.52M,2.826M,,,2.826M,4.576M,7.402M,,,,0.191M,,0.191M,0.788M,0.788M,,,8.381M,,123.92M,,123.92M,,,,123.92M,132.30M,0.002M,-101.44M,383.60M,,,0.043M,282.21M
2000-10,47.69M,118.91M,166.60M,,3.902M,,,,,0.849M,,,,171.35M,,,,,,,15.82M,-5.411M,10.41M,,22.02M,22.02M,,4.235M,36.66M,208.01M,2.572M,,,2.572M,2.637M,5.209M,,,,0.277M,,0.277M,0.788M,0.788M,,,6.274M,,123.92M,,123.92M,,,,123.92M,130.19M,0.002M,-96.80M,174.70M,,,-0.087M,77.81M
2000-07,91.86M,82.67M,174.53M,,,,,,,,,,5.551M,180.08M,,,,,,,13.03M,-4.816M,8.213M,,,,,4.409M,12.62M,192.70M,2.10M,,,2.10M,,2.10M,0.369M,,,0.369M,,0.369M,,,,4.709M,7.178M,,123.92M,,123.92M,,,,123.92M,131.10M,0.002M,-67.21M,128.84M,,,-0.02M,61.60M
2000-04,168.76M,6.766M,175.53M,,,,,,,,,,6.221M,181.75M,,,,,,,12.86M,-4.365M,8.494M,,,,,4.694M,13.19M,194.94M,1.672M,,,1.672M,,1.672M,,,,0.368M,,0.368M,,,,2.853M,4.893M,,124.11M,,124.11M,,,,124.11M,129.00M,0.002M,-62.12M,128.06M,,,,65.94M
2000-01,53.30M,9.00M,62.30M,,,,,,,,,,9.30M,71.60M,,,,,,,11.80M,-4.00M,7.80M,,,,,0.90M,8.70M,80.30M,2.80M,,,2.80M,,2.80M,,,,0.40M,,0.40M,,,,1.80M,5.00M,,4.20M,,4.20M,,,,4.20M,9.20M,0.00,-55.80M,126.90M,,,,71.10M
1999-10,13.30M,8.10M,21.40M,8.60M,8.60M,,,,,,,,0.30M,30.30M,,,,,,,11.10M,-3.70M,7.40M,,,,,1.20M,8.60M,38.90M,4.40M,,,4.40M,,4.40M,,,,0.40M,,0.40M,,,,1.40M,6.20M,,4.30M,,4.30M,,,,4.30M,10.50M,0.00,-52.20M,80.60M,,,,28.40M
1999-07,24.20M,4.10M,28.30M,,6.90M,,,,,0.50M,,,,35.70M,,,,,,,10.80M,-3.40M,7.40M,,,,,1.30M,8.70M,44.40M,3.50M,,,3.50M,2.30M,5.80M,0.40M,,,0.40M,,0.40M,0.50M,0.50M,,,6.70M,,4.40M,,4.40M,,,,4.40M,11.10M,0.00,-47.00M,80.30M,,,,33.30M
1999-04,28.00M,5.50M,33.50M,,4.60M,,,,,0.30M,,,,38.40M,,,,,,,9.80M,-3.10M,6.70M,,0.30M,0.30M,,1.10M,8.10M,46.50M,2.90M,,,2.90M,0.90M,3.80M,0.40M,,,0.40M,,0.40M,0.50M,0.50M,,-0.10M,4.60M,,4.50M,,4.50M,,,,4.50M,9.10M,0.00,-42.80M,80.20M,,,,37.40M
1999-01,21.70M,7.60M,29.30M,,,,,,,0.50M,,,-0.10M,29.70M,,,,,,,5.30M,-2.90M,2.40M,,0.20M,0.20M,,1.70M,4.30M,34.00M,1.10M,,,1.10M,0.80M,1.90M,0.40M,,,0.40M,,0.40M,,,,,2.30M,,0.60M,,0.60M,,,0.10M,0.70M,3.00M,0.00,-49.10M,80.20M,,,,31.00M
1998-10,29.60M,4.00M,33.60M,,,,,,,0.20M,,,,33.80M,,,,,,,5.50M,-3.10M,2.40M,,0.30M,0.30M,,1.60M,4.30M,38.10M,0.80M,,,0.80M,0.60M,1.40M,,,,0.40M,,0.40M,0.10M,0.10M,,-0.10M,1.80M,,0.70M,,0.70M,,,0.10M,0.80M,2.60M,0.00,-44.30M,79.80M,,,,35.50M
1998-07,31.50M,6.00M,37.50M,,,,,,,,,,0.30M,37.80M,,,,,,,5.40M,-3.00M,2.40M,,,,,1.90M,4.30M,42.10M,0.80M,,,0.80M,,0.80M,,,,0.40M,,0.40M,,,,0.90M,2.10M,,0.80M,,0.80M,,,,0.80M,2.90M,0.00,-40.60M,79.80M,,,,39.20M
1998-04,34.80M,7.50M,42.30M,,,,,,,0.40M,,,,42.70M,,,,,,,4.60M,-2.50M,2.10M,,0.30M,0.30M,,0.10M,2.50M,45.20M,1.10M,,,1.10M,0.50M,1.60M,,,,0.60M,,0.60M,0.10M,0.10M,,,2.30M,,,,,,,,,2.30M,0.00,-36.90M,79.80M,,,,42.90M
