,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2001-07,3.272M,3.272M,,,1.87M,10.19M,0.827M,0.00,,,,,12.88M,-9.612M,,,,0.00,,,,-7.536M,0.0,,-7.536M,-7.536M,-8.002M,1.61M,-9.612M,-0.1,0.0025,0.0,-0.1,-0.0975,-0.104,,0.0,-0.104,-0.104,72.46M,72.48M
2001-04,1.96M,1.96M,,,1.916M,8.362M,0.847M,,,,,,11.12M,-9.165M,,,,,,,,-6.462M,,,-6.462M,-6.462M,-7.669M,1.496M,-9.165M,-0.09,0.0,,-0.09,-0.09,-0.09,0.0,,-0.09,-0.09,72.31M,72.31M
2001-01,3.174M,3.174M,,,1.971M,9.399M,0.878M,,,,,,12.25M,-9.074M,,,,,,,,-4.486M,,,-4.486M,-4.486M,-7.57M,1.504M,-9.074M,-0.0625,0.0,,-0.0625,-0.0625,-0.0625,0.0,,-0.0625,-0.0625,72.00M,72.00M
2000-10,3.252M,3.252M,,,1.378M,10.92M,0.349M,-21.00M,,,,,12.65M,-9.398M,,,,-21.00M,,,,-29.59M,,,-29.59M,-16.99M,-8.487M,0.911M,-9.398M,-0.4825,0.0,,-0.2769,-0.4825,-0.4825,0.0,,-0.2769,-0.4825,61.29M,61.29M
2000-07,3.991M,3.991M,,,1.214M,8.769M,,,,,,,9.983M,-5.992M,,,,,,,,-5.092M,,,-5.092M,-5.092M,-5.316M,0.676M,-5.992M,-0.085,0.0,,-0.085,-0.085,-0.085,0.0,,-0.085,-0.085,58.74M,58.74M
2000-04,4.483M,4.483M,,,1.196M,10.44M,,-0.092M,,,,,11.63M,-7.151M,,,,-0.092M,,,,-6.319M,,,-6.319M,-6.264M,-6.758M,0.393M,-7.151M,-0.105,0.0,,-0.1041,-0.105,-0.105,0.0,,-0.1041,-0.105,60.08M,60.08M
2000-01,6.70M,6.70M,-0.40M,7.10M,1.20M,9.80M,,0.70M,,,,,11.40M,-4.30M,,,,0.70M,,,,-3.60M,,,-3.60M,-4.02M,-3.90M,0.30M,-4.30M,-0.065,0.0,,-0.0724,-0.065,-0.065,0.0,,-0.0724,-0.065,56.96M,56.96M
1999-10,6.30M,6.30M,,,0.60M,11.10M,,0.30M,,,,0.10M,11.80M,-5.50M,,,,0.30M,,,,-5.20M,,,-5.20M,-5.38M,-5.10M,0.40M,-5.50M,-0.115,0.0,,-0.119,-0.115,-0.115,0.0,,-0.119,-0.115,45.20M,45.20M
1999-07,6.00M,6.00M,,,0.90M,9.60M,,0.30M,,,,,9.90M,-4.50M,,,,0.30M,,,,-4.20M,,,-4.20M,-4.38M,-4.20M,0.30M,-4.50M,-0.0925,0.0,,-0.0965,-0.0925,-0.0925,0.0,,-0.0965,-0.0925,45.14M,45.14M
1999-04,12.40M,12.40M,-0.30M,12.70M,0.70M,5.70M,,0.30M,,,,,6.70M,6.00M,,,,0.30M,,,,6.30M,,,6.30M,6.12M,6.30M,0.30M,6.00M,0.14,0.0,,0.136,0.14,0.1325,0.0,,0.1287,0.1325,45.13M,47.56M
1999-01,0.20M,0.20M,,,0.80M,4.70M,,0.40M,,,,,5.50M,-5.30M,,,,0.40M,,,,-4.90M,,,-4.90M,-5.14M,-5.20M,0.10M,-5.30M,-0.1075,0.0,,-0.1128,-0.1075,-0.1075,0.0,,-0.1128,-0.1075,44.91M,44.91M
1998-10,0.30M,0.30M,,,0.60M,3.80M,,0.50M,,,,0.10M,4.50M,-4.20M,,,,0.50M,,,,-3.70M,,,-3.70M,-4.00M,-4.00M,0.20M,-4.20M,-0.0825,0.0,,-0.0892,-0.0825,-0.0825,0.0,,-0.0892,-0.0825,44.90M,44.90M
1998-07,0.50M,0.50M,,,0.80M,4.00M,,0.60M,,,,,5.40M,-4.30M,,,,0.60M,,,,-3.70M,,0.00,-3.70M,-4.06M,-4.10M,0.20M,-4.30M,-0.0875,0.0,,-0.0955,-0.0875,-0.0875,0.0,,-0.0955,-0.0875,44.95M,44.95M
1998-04,0.10M,0.10M,,,0.70M,3.00M,,0.60M,,,,,3.70M,-3.60M,,,,0.60M,,,,-3.00M,,0.20M,-3.00M,-3.36M,-3.50M,0.10M,-3.60M,-0.075,0.0,,-0.0835,-0.075,-0.075,0.0,,-0.0835,-0.075,42.56M,42.56M
