,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-12,3.826B,5.183B,9.009B,943.00M,,943.00M,,,,,458.00M,,299.00M,301.00M,11.01B,0.00,186.00M,1.592B,2.256B,,,,4.034B,-1.772B,2.262B,1.494B,3.08B,4.574B,,996.00M,4.613B,12.44B,23.46B,,376.00M,,,376.00M,,376.00M,,,11.00M,11.00M,403.00M,403.00M,1.292B,2.082B,,,,,,,4.236B,6.318B,,0.00,10.79B,7.413B,-73.00M,-997.00M,-1.07B,17.14B,,,Restated
2008-09,1.84B,4.571B,6.411B,4.038B,,4.038B,27.00M,199.00M,295.00M,,521.00M,,289.00M,464.00M,11.72B,0.00,183.00M,1.493B,2.175B,,,,3.851B,-1.689B,2.162B,1.517B,3.104B,4.621B,,830.00M,5.227B,12.84B,24.56B,,570.00M,,,570.00M,,570.00M,,,173.00M,173.00M,394.00M,394.00M,1.154B,2.291B,,,,,,,4.328B,6.619B,,0.00,10.72B,7.511B,-15.00M,-269.00M,-284.00M,17.94B,,,Restated
2008-06,2.97B,3.644B,6.614B,917.00M,,917.00M,,,,,618.00M,,358.00M,554.00M,9.061B,0.00,124.00M,1.292B,2.092B,,,,3.508B,-1.596B,1.912B,1.52B,,1.52B,,870.00M,6.234B,10.54B,19.60B,,653.00M,,,653.00M,,653.00M,,,,,186.00M,186.00M,1.272B,2.111B,,,,,,,660.00M,2.771B,,0.00,10.10B,6.783B,5.00M,-66.00M,-61.00M,16.83B,,,Restated
2008-03,2.803B,3.325B,6.128B,728.00M,,728.00M,,,,,612.00M,,357.00M,526.00M,8.351B,0.00,124.00M,1.21B,1.993B,,,,3.327B,-1.51B,1.817B,1.52B,,1.52B,,770.00M,5.694B,9.801B,18.15B,,658.00M,,,658.00M,,658.00M,,,,,212.00M,212.00M,1.168B,2.038B,,,,,,,637.00M,2.675B,,0.00,9.616B,5.976B,6.00M,-121.00M,-115.00M,15.48B,,,
2007-12,2.968B,4.383B,7.351B,703.00M,,703.00M,,,,,522.00M,,327.00M,195.00M,9.098B,0.00,124.00M,1.175B,1.921B,,,,3.22B,-1.426B,1.794B,1.499B,,1.499B,,606.00M,5.351B,9.25B,18.35B,,536.00M,,,536.00M,,536.00M,,,,,206.00M,206.00M,1.375B,2.117B,,,,,,,621.00M,2.738B,,0.00,9.076B,6.40B,7.00M,127.00M,134.00M,15.61B,,,
2007-09,2.411B,4.17B,6.581B,715.00M,,715.00M,27.00M,161.00M,281.00M,,469.00M,,435.00M,621.00M,8.821B,0.00,124.00M,1.159B,1.847B,,,,3.13B,-1.342B,1.788B,1.325B,,1.325B,,318.00M,6.243B,9.674B,18.50B,,635.00M,,,635.00M,,635.00M,,,,,218.00M,218.00M,1.405B,2.258B,,,,,,,402.00M,2.66B,,0.00,8.541B,7.057B,-3.00M,240.00M,237.00M,15.84B,,,
2007-06,3.716B,3.592B,7.308B,764.00M,,764.00M,,,,,396.00M,,185.00M,395.00M,9.048B,0.00,72.00M,1.10B,1.727B,,,,2.899B,-1.268B,1.631B,1.322B,,1.322B,,451.00M,5.994B,9.398B,18.45B,,566.00M,,,566.00M,,566.00M,,,,,275.00M,275.00M,1.265B,2.106B,,,,,,,408.00M,2.514B,,0.00,7.64B,8.034B,-6.00M,264.00M,258.00M,15.93B,,,
2007-03,3.353B,3.198B,6.551B,714.00M,,714.00M,,,,,347.00M,,232.00M,234.00M,8.078B,0.00,79.00M,1.095B,1.632B,,,,2.806B,-1.224B,1.582B,1.32B,,1.32B,,486.00M,5.788B,9.176B,17.25B,,566.00M,,,566.00M,,566.00M,,,,,289.00M,289.00M,971.00M,1.826B,,,,,,,398.00M,2.224B,,0.00,7.075B,7.758B,-12.00M,209.00M,197.00M,15.03B,,,
2006-12,2.649B,3.298B,5.947B,693.00M,,693.00M,,,,,330.00M,,229.00M,180.00M,7.379B,0.00,79.00M,1.059B,1.586B,,,,2.724B,-1.165B,1.559B,1.32B,,1.32B,,441.00M,5.639B,8.959B,16.34B,,471.00M,,,471.00M,,471.00M,,,,,253.00M,253.00M,1.034B,1.758B,,,,,,,405.00M,2.163B,,0.00,6.549B,7.427B,-15.00M,214.00M,199.00M,14.18B,,,
2006-09,1.607B,4.114B,5.721B,700.00M,,700.00M,30.00M,13.00M,207.00M,,250.00M,,235.00M,143.00M,7.049B,0.00,76.00M,1.024B,1.466B,,,,2.566B,-1.084B,1.482B,1.23B,,1.23B,,512.00M,4.935B,8.159B,15.21B,,420.00M,,,420.00M,,420.00M,,,,,197.00M,197.00M,805.00M,1.422B,,,,,,,380.00M,1.802B,,0.00,6.10B,7.242B,-23.00M,87.00M,64.00M,13.41B,,,
2006-06,1.155B,4.716B,5.871B,695.00M,,695.00M,,,,,259.00M,,316.00M,133.00M,7.274B,0.00,77.00M,929.00M,1.435B,,,,2.441B,-1.021B,1.42B,1.236B,,1.236B,,483.00M,4.30B,7.439B,14.71B,,501.00M,,,501.00M,,501.00M,,,,,176.00M,176.00M,659.00M,1.336B,,,,,,,379.00M,1.715B,,0.00,5.684B,7.325B,,,-11.00M,13.00B,,,
2006-03,1.779B,5.686B,7.465B,569.00M,,569.00M,,,,,218.00M,,280.00M,130.00M,8.662B,0.00,103.00M,855.00M,1.279B,,,,2.237B,-962.00M,1.275B,,1.018B,1.018B,,548.00M,3.356B,6.197B,14.86B,,459.00M,,,459.00M,,459.00M,,,,,160.00M,160.00M,523.00M,1.142B,,,,,,,317.00M,1.459B,,0.00,5.243B,8.099B,,,58.00M,13.40B,,,
2005-12,1.577B,5.407B,6.984B,728.00M,,728.00M,,,,,195.00M,,351.00M,141.00M,8.399B,0.00,76.00M,792.00M,1.187B,11.00M,,,2.066B,-912.00M,1.154B,,571.00M,571.00M,,405.00M,2.90B,5.03B,13.43B,,431.00M,,,431.00M,,431.00M,,,,,149.00M,149.00M,580.00M,1.16B,,,,,,,297.00M,1.457B,,0.00,4.80B,7.134B,,,38.00M,11.97B,,,
2005-09,2.07B,4.478B,6.548B,544.00M,,544.00M,23.00M,6.00M,148.00M,,177.00M,,343.00M,179.00M,7.791B,0.00,67.00M,721.00M,1.097B,,,,1.885B,-863.00M,1.022B,,571.00M,571.00M,,444.00M,2.651B,4.688B,12.48B,,376.00M,,,376.00M,,376.00M,,,,,163.00M,163.00M,531.00M,1.07B,,,,,,,290.00M,1.36B,,0.00,4.328B,6.753B,,,38.00M,11.12B,,,
2005-06,1.36B,4.357B,5.717B,634.00M,,634.00M,27.00M,5.00M,155.00M,,187.00M,,418.00M,143.00M,7.099B,0.00,65.00M,626.00M,1.04B,,,,1.731B,-826.00M,905.00M,,525.00M,525.00M,,385.00M,2.664B,4.479B,11.58B,,259.00M,,,259.00M,,259.00M,,,,,173.00M,173.00M,401.00M,833.00M,,,,,,,298.00M,1.131B,,0.00,3.938B,6.471B,,,38.00M,10.45B,,,
2005-03,1.638B,4.759B,6.397B,508.00M,,508.00M,26.00M,4.00M,127.00M,,157.00M,,349.00M,142.00M,7.553B,0.00,49.00M,552.00M,985.00M,,,,1.586B,-786.00M,800.00M,,528.00M,528.00M,,494.00M,2.435B,4.257B,11.81B,,245.00M,,,245.00M,,245.00M,,,,,184.00M,184.00M,576.00M,1.005B,,,,,,,279.00M,1.284B,,0.00,3.524B,6.959B,,,43.00M,10.53B,,,
2004-12,1.135B,4.989B,6.124B,659.00M,,659.00M,25.00M,3.00M,128.00M,,156.00M,,359.00M,135.00M,7.433B,0.00,48.00M,515.00M,928.00M,,,,1.491B,-745.00M,746.00M,,527.00M,527.00M,,410.00M,2.45B,4.133B,11.57B,,262.00M,,,262.00M,,262.00M,,,,,179.00M,179.00M,523.00M,964.00M,,,,,,,263.00M,1.227B,,0.00,3.107B,7.144B,,,88.00M,10.34B,,,
2004-09,1.214B,4.768B,5.982B,581.00M,,581.00M,20.00M,3.00M,131.00M,,154.00M,,409.00M,101.00M,7.227B,0.00,47.00M,467.00M,867.00M,,,,1.381B,-706.00M,675.00M,,356.00M,356.00M,,493.00M,2.069B,3.593B,10.82B,,286.00M,,,286.00M,,286.00M,,,,,172.00M,172.00M,436.00M,894.00M,,,,,,,262.00M,1.156B,,0.00,2.709B,6.94B,,,15.00M,9.664B,,,
2004-06,2.009B,3.494B,5.503B,883.74M,13.88M,897.62M,20.96M,3.769M,84.76M,,109.49M,,503.75M,89.18M,7.103B,0.00,46.89M,426.41M,792.91M,,,,1.266B,-675.52M,590.68M,,355.57M,355.57M,,246.18M,1.926B,3.118B,10.22B,,239.82M,,,239.82M,,239.82M,,,,,159.63M,159.63M,406.57M,806.02M,,,,,,,274.31M,1.080B,,0.082M,2.431B,6.687B,,,23.56M,9.141B,,,
2004-03,1.947B,3.660B,5.606B,596.78M,,596.78M,19.14M,2.699M,75.21M,,97.04M,,471.18M,143.03M,6.914B,0.00,46.88M,403.72M,741.99M,,,,1.193B,-642.67M,549.92M,,355.62M,355.62M,,360.14M,1.469B,2.735B,9.649B,,213.10M,,,213.10M,,213.10M,,,,,172.04M,172.04M,427.89M,813.02M,,,,,,,280.16M,1.093B,,0.082M,1.945B,6.557B,,,54.39M,8.556B,,,
2003-12,1.796B,3.271B,5.067B,655.16M,,655.16M,18.70M,3.29M,63.95M,,85.94M,,480.12M,158.80M,6.447B,0.00,46.88M,390.29M,720.34M,,,,1.158B,-620.62M,536.89M,,351.54M,351.54M,,366.62M,1.332B,2.587B,9.033B,,155.19M,,,155.19M,,155.19M,,,0.088M,0.088M,164.95M,164.95M,373.91M,694.14M,116.92M,116.92M,,,,293.25M,410.17M,1.104B,,0.081M,1.537B,6.362B,,,29.77M,7.929B,,,
2003-09,2.045B,2.516B,4.561B,484.00M,6.00M,490.00M,19.00M,3.00M,89.00M,-1.00M,110.00M,,612.00M,176.00M,5.949B,0.00,47.00M,338.00M,850.00M,43.00M,,,1.278B,-656.00M,622.00M,,346.00M,346.00M,,407.00M,1.498B,2.873B,8.822B,,195.00M,,,195.00M,,195.00M,,,103.00M,103.00M,174.00M,174.00M,336.00M,808.00M,123.00M,123.00M,,,,292.00M,415.00M,1.223B,,0.00,1.297B,6.325B,,,-24.00M,7.599B,,,
2003-06,1.795B,2.565B,4.360B,620.08M,3.887M,623.97M,15.69M,3.06M,104.25M,,123.00M,,608.53M,136.24M,5.852B,0.00,47.21M,371.62M,821.28M,,,,1.240B,-620.72M,619.39M,,346.62M,346.62M,,309.31M,1.343B,2.618B,8.470B,,173.09M,,,173.09M,,173.09M,,,98.42M,98.42M,178.12M,178.12M,397.70M,847.33M,107.12M,107.12M,,,0.05M,309.96M,417.08M,1.264B,,0.08M,1.062B,6.185B,,,-40.93M,7.206B,,,
2003-03,1.990B,1.751B,3.740B,534.21M,4.588M,538.80M,15.01M,1.936M,134.13M,,151.08M,,459.24M,135.06M,5.025B,0.00,47.15M,373.70M,749.67M,,,,1.171B,-582.25M,588.27M,,346.91M,346.91M,,603.98M,1.654B,3.194B,8.218B,,185.68M,,,185.68M,,185.68M,,,,,173.45M,173.45M,373.88M,733.00M,151.61M,151.61M,,,0.05M,312.76M,464.37M,1.197B,,0.08M,909.51M,6.176B,,,-64.84M,7.021B,,,
2002-12,1.620B,1.835B,3.456B,661.75M,4.324M,666.08M,16.49M,2.657M,88.46M,,107.60M,,,139.33M,4.369B,0.00,49.67M,373.98M,809.46M,,,,1.233B,-545.30M,687.81M,,346.92M,346.92M,,,1.625B,2.660B,7.028B,,194.74M,,,194.74M,,194.74M,,,,,177.88M,177.88M,282.27M,654.89M,156.89M,156.89M,,,21.82M,293.44M,450.33M,1.105B,,0.08M,845.96M,5.123B,,,-68.17M,5.901B,,,
2002-09,1.407B,1.388B,2.795B,537.00M,388.00M,925.00M,20.00M,4.00M,64.00M,,88.00M,,,133.00M,3.941B,0.00,42.00M,348.00M,820.00M,-1.00M,,,1.209B,-523.00M,686.00M,,345.00M,345.00M,,,1.538B,2.569B,6.51B,,209.00M,,,209.00M,,209.00M,,,,,,,466.00M,675.00M,94.00M,94.00M,,,45.00M,304.00M,398.00M,1.073B,,0.00,605.00M,4.918B,,,-131.00M,5.392B,,,
2002-06,1.281B,1.099B,2.380B,548.10M,3.363M,551.46M,19.46M,3.294M,56.90M,,79.66M,,,171.62M,3.183B,0.00,43.38M,294.33M,863.01M,48.62M,,,1.249B,-506.49M,742.86M,,408.76M,408.76M,,,1.958B,3.110B,6.292B,,142.04M,,,142.04M,,142.04M,,,,,201.93M,201.93M,226.95M,570.92M,,,,,74.75M,401.08M,401.08M,972.00M,,0.078M,414.34M,4.898B,,,-67.38M,5.245B,,,
2002-03,1.268B,943.97M,2.212B,505.56M,3.635M,509.19M,19.10M,2.943M,56.02M,,78.06M,,,163.42M,2.962B,0.00,43.73M,341.12M,854.37M,,,,1.239B,-466.43M,772.80M,467.96M,,467.96M,,,2.186B,3.427B,6.389B,,177.44M,,,177.44M,,177.44M,,,,,199.33M,199.33M,272.84M,649.61M,,,,,104.75M,414.84M,414.84M,1.064B,,0.077M,428.11M,4.902B,,,-109.98M,5.220B,,,
2001-12,1.486B,919.65M,2.406B,575.92M,3.505M,579.43M,20.39M,3.181M,62.48M,,86.06M,,,146.09M,3.217B,0.00,43.30M,335.03M,804.68M,,,,1.183B,-432.48M,750.52M,,528.93M,528.93M,,,1.836B,3.115B,6.332B,,213.71M,,,213.71M,,213.71M,,,,,,,484.49M,698.20M,,,,,104.28M,418.99M,418.99M,1.117B,,0.077M,384.18M,4.862B,,,-135.35M,5.111B,,,
2001-09,1.389B,894.58M,2.283B,517.56M,10.34M,527.90M,18.25M,3.346M,74.27M,,95.86M,,,147.81M,3.055B,0.00,38.09M,325.84M,475.99M,,,,839.92M,-408.52M,431.40M,,585.05M,585.05M,,,1.599B,2.615B,5.670B,,106.43M,,,106.43M,,106.43M,,,,,,,414.56M,520.99M,,,,,5.887M,330.44M,330.44M,851.43M,,0.076M,244.95M,4.792B,,,-224.17M,4.812B,,,
2001-06,965.42M,946.16M,1.912B,544.93M,425.38M,970.31M,16.88M,5.808M,89.94M,,112.63M,,,127.59M,3.122B,,,,,,,,822.53M,-381.60M,440.92M,,646.84M,646.84M,,,1.547B,2.635B,5.757B,,125.48M,,,125.48M,,125.48M,,,,,,,251.60M,377.09M,,,,,49.58M,177.94M,177.94M,555.02M,,0.076M,516.68M,4.758B,,,-122.49M,5.152B,,,
2001-03,1.114B,810.89M,1.925B,539.90M,200.98M,740.87M,15.84M,4.08M,70.95M,,90.87M,,,134.64M,2.892B,,,,,,,,805.82M,-381.60M,424.21M,,705.86M,705.86M,,,1.873B,3.004B,5.895B,,124.84M,,,124.84M,,124.84M,,,,,,,298.49M,423.34M,,,,,48.77M,176.91M,176.91M,600.25M,,0.076M,791.42M,4.556B,-42.39M,-58.75M,-101.14M,5.246B,,,
2000-12,826.34M,1.147B,1.973B,537.67M,131.06M,668.72M,20.70M,4.638M,52.46M,,77.80M,,,129.11M,2.849B,,,,,,,,805.03M,-381.60M,423.43M,,764.47M,764.47M,,,1.544B,2.732B,5.580B,,129.05M,,,129.05M,,129.05M,,,,,,,369.16M,498.22M,,,,,47.87M,24.20M,24.20M,522.41M,,0.075M,642.35M,4.424B,-32.55M,-23.74M,-56.29M,5.010B,,,
2000-09,716.87M,1.056B,1.772B,606.98M,128.52M,735.49M,47.95M,8.37M,29.04M,,85.37M,,,136.73M,2.730B,0.00,37.95M,313.06M,462.29M,,,,813.31M,-381.60M,431.70M,,821.83M,821.83M,,,2.079B,3.333B,6.063B,,112.86M,,,112.86M,,112.86M,,,,,,,359.44M,472.29M,,,,,46.64M,27.72M,27.72M,500.01M,,0.075M,871.09M,4.654B,,,-8.655M,5.516B,,,
2000-06,712.71M,849.88M,1.563B,672.65M,54.17M,726.82M,34.12M,7.78M,32.05M,,73.95M,,,253.09M,2.616B,,,,,,,,877.83M,-440.20M,437.63M,,883.20M,883.20M,,515.86M,1.918B,3.755B,6.372B,,432.70M,,,432.70M,,432.70M,,,,,,,83.92M,516.62M,,,,,46.35M,35.08M,35.08M,551.70M,,0.074M,732.42M,5.080B,,,-39.32M,5.774B,,,
2000-03,772.55M,935.78M,1.708B,659.30M,23.60M,682.89M,,,,,77.90M,,,332.30M,2.801B,,,,,,,,775.00M,-334.80M,440.20M,,942.29M,942.29M,,,1.960B,3.342B,6.144B,,507.53M,,,507.53M,,507.53M,,,0.20M,0.20M,,,81.62M,589.35M,0.343M,0.343M,,,45.70M,49.08M,49.43M,638.78M,,0.074M,577.71M,4.898B,,,-16.50M,5.459B,,,
1999-12,303.98M,1.087B,1.391B,998.20M,24.17M,1.022B,87.68M,35.76M,136.53M,,259.97M,,,201.82M,2.875B,,,,,,,,872.28M,-334.80M,537.48M,,,,,,1.573B,2.110B,4.985B,,715.55M,,,715.55M,,715.55M,,,127.11M,127.11M,,,64.62M,907.28M,,,,,324.80M,64.59M,64.59M,971.87M,,0.07M,378.00M,3.197B,,,113.74M,3.689B,,,
1999-09,660.00M,954.40M,1.614B,910.00M,,910.00M,,,,,257.90M,,,195.90M,2.978B,,,,,,,,890.80M,-334.80M,556.00M,,,,,,1.001B,1.557B,4.535B,,705.20M,,,705.20M,,705.20M,,,115.10M,115.10M,,,56.10M,876.40M,0.80M,0.80M,,,711.20M,74.70M,75.50M,951.90M,,0.00,200.90M,2.588B,,,82.90M,2.872B,,,
1999-06,436.10M,12.07M,448.17M,747.06M,39.78M,786.84M,141.60M,43.99M,27.35M,,212.94M,,,245.24M,1.693B,,,,,,,,870.78M,-329.60M,541.18M,,,,,,743.06M,1.284B,2.977B,,589.15M,,,589.15M,,589.15M,,,101.05M,101.05M,,,60.70M,750.90M,2.304M,2.304M,,,708.39M,106.60M,108.91M,859.80M,,0.015M,64.86M,1.327B,,,17.41M,1.409B,,,
1999-03,121.25M,83.40M,204.65M,814.21M,59.46M,873.67M,152.07M,74.25M,28.16M,,254.48M,,,215.51M,1.548B,,,,,,,,887.50M,-329.60M,557.90M,,,,,,515.19M,1.073B,2.621B,,662.78M,,,662.78M,,662.78M,,,67.06M,67.06M,,,62.86M,792.70M,2.36M,2.36M,,,705.07M,44.41M,46.77M,839.47M,,0.007M,5.91M,1.102B,,,-31.38M,1.077B,,,
1998-12,131.94M,105.48M,237.42M,852.49M,66.46M,918.95M,160.02M,78.46M,96.60M,,335.07M,,,171.42M,1.663B,,,,,,,,960.65M,-329.60M,631.05M,,,,,,468.86M,1.100B,2.763B,,657.34M,,,657.34M,,657.34M,,,291.06M,291.06M,,,58.49M,1.007B,3.116M,3.116M,,,702.06M,36.03M,39.15M,1.046B,,0.007M,48.53M,966.15M,,,,1.015B,,,
1998-09,175.80M,,175.80M,668.40M,,668.40M,,,,,386.50M,,,306.50M,1.537B,,,,,,,,939.30M,-329.60M,609.70M,,21.00M,21.00M,,,398.80M,1.030B,2.567B,,660.40M,,,660.40M,,660.40M,,,154.10M,154.10M,,,67.10M,881.60M,3.90M,3.90M,,,698.50M,25.10M,29.00M,910.60M,,,,,,,,957.60M,,,
1998-06,179.90M,118.45M,298.36M,787.86M,45.24M,833.11M,191.60M,84.45M,117.75M,,393.80M,,,112.83M,1.638B,,,,,,,,858.07M,-292.40M,565.67M,,,,,,431.59M,997.26M,2.635B,,551.78M,,,551.78M,,551.78M,,,140.96M,140.96M,,,92.49M,785.23M,4.734M,4.734M,,,687.20M,23.59M,28.32M,813.56M,,0.007M,186.41M,948.19M,,,,1.135B,,,
1998-03,186.97M,249.09M,436.06M,599.35M,47.72M,647.07M,191.22M,67.48M,100.99M,,359.70M,,,99.38M,1.542B,,,,,,,,776.72M,-258.03M,518.69M,,,,,,394.84M,913.52M,2.456B,,529.21M,,,529.21M,,529.21M,,,58.92M,58.92M,,,52.71M,640.84M,5.53M,5.53M,,,668.50M,20.95M,26.48M,667.32M,,0.007M,180.57M,939.33M,,,,1.120B,,,
1997-12,209.54M,443.66M,653.20M,576.49M,43.71M,620.20M,139.70M,69.39M,72.51M,,281.61M,,,68.89M,1.624B,,,,,,,,700.50M,-225.35M,475.15M,,,,,,327.30M,802.46M,2.426B,,541.59M,,,541.59M,,541.59M,,,81.32M,81.32M,,,45.77M,668.68M,7.087M,7.087M,,,660.00M,17.76M,24.85M,693.52M,,0.007M,154.56M,918.26M,,,,1.073B,,,
1997-09,248.84M,448.24M,697.07M,445.38M,111.50M,556.88M,118.52M,55.09M,51.55M,,225.16M,,,70.48M,1.550B,0.00,32.90M,186.61M,406.51M,,,,626.02M,-200.93M,425.09M,,,,,,300.00M,725.08M,2.275B,,409.16M,,,409.16M,,409.16M,,,113.24M,113.24M,,,45.08M,567.48M,7.729M,7.729M,,,660.00M,15.30M,23.02M,590.50M,,0.007M,117.80M,906.37M,,,,1.024B,,,
1997-06,217.18M,464.48M,681.66M,320.61M,114.82M,435.43M,104.94M,22.97M,100.81M,,228.72M,,,39.15M,1.385B,,,,,,,,498.20M,-117.30M,380.90M,,,,,,284.43M,665.33M,2.050B,,301.40M,,,301.40M,,301.40M,,,74.36M,74.36M,,,25.84M,401.60M,8.492M,8.492M,,,660.00M,15.34M,23.84M,425.44M,,0.007M,87.68M,877.17M,,,,964.85M,,,
1997-03,406.30M,468.73M,875.03M,357.67M,87.06M,444.73M,98.45M,27.91M,80.92M,,207.27M,,,16.01M,1.543B,,,,,,,,479.37M,-117.30M,362.07M,,,,,,134.88M,496.95M,2.040B,,314.80M,,,314.80M,,314.80M,,,143.08M,143.08M,,,17.47M,475.36M,9.283M,9.283M,,,660.00M,6.864M,16.15M,491.50M,,0.007M,51.74M,836.75M,,,,888.49M,,,
1996-12,126.74M,162.57M,289.31M,327.17M,,327.17M,98.24M,47.51M,99.10M,,244.85M,,,17.19M,878.51M,,,,,,,,467.93M,-117.30M,350.63M,,,,,,82.76M,433.39M,1.312B,,286.53M,,,286.53M,,286.53M,,,140.00M,140.00M,,,15.90M,442.44M,10.10M,10.10M,,,,4.083M,14.19M,456.62M,,0.007M,34.99M,820.28M,,,,855.28M,,,
1996-09,110.10M,,110.10M,217.40M,,217.40M,,,,,171.50M,,,252.20M,751.20M,,,,,,,,470.00M,-117.30M,352.70M,,,,,,81.40M,434.10M,1.185B,,229.80M,,,229.80M,,229.80M,,,82.90M,82.90M,,,13.30M,326.00M,10.90M,10.90M,,,,3.50M,14.40M,340.40M,,,25.90M,,,,,844.90M,,,
1996-06,99.40M,,99.40M,,,193.40M,,,,,129.70M,,,226.00M,648.50M,,,,,,,,364.10M,-66.40M,297.70M,,,,,,88.40M,386.10M,1.035B,,153.80M,,,153.80M,,153.80M,,,1.30M,1.30M,,,10.50M,165.60M,37.30M,37.30M,,,,2.00M,39.30M,204.90M,,,17.90M,,,,,829.70M,,,
1996-03,220.20M,,220.20M,,,132.90M,,,,,108.50M,,,163.90M,625.50M,,,,,,,,327.80M,-66.40M,261.40M,,,,,,87.20M,348.60M,974.10M,,108.80M,,,108.80M,,108.80M,,,1.00M,1.00M,,,12.80M,122.60M,29.20M,29.20M,,,,2.10M,31.30M,153.90M,,,16.40M,,,,,820.20M,,,
1995-12,307.70M,,307.70M,,,107.70M,,,,,71.30M,,,167.90M,654.60M,,,,,,,,307.10M,-66.40M,240.70M,,,,,,66.10M,306.80M,961.40M,,109.20M,,,109.20M,,109.20M,,,0.50M,0.50M,,,11.20M,120.90M,27.60M,27.60M,,,,2.00M,29.60M,150.50M,,,15.00M,,,,,810.90M,,,
1995-09,500.60M,,500.60M,,,82.70M,,,,,44.00M,,,77.30M,704.60M,,,,,,,,251.90M,-66.40M,185.50M,,,,,,50.60M,236.10M,940.70M,,95.80M,,,95.80M,,95.80M,,,1.00M,1.00M,,,8.20M,105.00M,33.50M,33.50M,,,,2.60M,36.10M,141.10M,,,4.80M,,,,,799.60M,,,
1995-06,65.20M,,65.20M,,,69.40M,,,,,31.70M,,,30.90M,197.20M,,,,,,,,194.90M,-41.60M,153.30M,,,,,,48.70M,202.00M,399.20M,,68.10M,,,68.10M,,68.10M,,,1.50M,1.50M,,,8.00M,77.60M,29.00M,29.00M,,,,3.50M,32.50M,110.10M,,,-6.10M,,,,,289.10M,,,
1995-03,27.00M,,27.00M,,,73.20M,,,,,19.70M,,,71.10M,191.00M,,,,,,,,178.90M,-41.60M,137.30M,,,,,,39.30M,176.60M,367.60M,,47.90M,,,47.90M,,47.90M,,,2.10M,2.10M,,,8.70M,58.70M,27.10M,27.10M,,,,3.30M,30.40M,89.10M,,,-13.30M,,,,,278.50M,,,
1994-12,27.90M,,27.90M,,,63.40M,,,,,22.10M,,,76.00M,189.40M,,,,,,,,162.70M,-41.60M,121.10M,,,,,,39.90M,161.00M,350.40M,,41.10M,,,41.10M,,41.10M,,,3.50M,3.50M,,,8.10M,52.70M,25.00M,25.00M,,,,3.60M,28.60M,81.30M,,,-19.40M,,,,,269.10M,,,
1994-09,45.00M,,45.00M,,,62.90M,,,,,15.60M,,,97.10M,220.60M,,,,,,,,155.30M,-41.60M,113.70M,,,,,,23.60M,137.30M,357.90M,,59.00M,,,59.00M,,59.00M,,,3.70M,3.70M,,,6.50M,69.20M,23.70M,23.70M,,,,2.80M,26.50M,95.70M,,,-25.30M,,,,,262.20M,,,
1994-06,33.80M,,33.80M,,,47.30M,,,,,19.50M,,,118.70M,219.30M,,,,,,,,133.50M,-26.90M,106.60M,,,,,,12.30M,118.90M,338.20M,,41.60M,,,41.60M,,41.60M,,,4.00M,4.00M,,,4.90M,50.50M,23.20M,23.20M,,,,3.70M,26.90M,77.40M,,,-23.60M,,,,,260.80M,,,
1994-03,61.70M,,61.70M,,,46.90M,,,,,19.30M,,,111.30M,239.20M,,,,,,,,105.40M,-26.90M,78.50M,,,,,,9.80M,88.30M,327.50M,,38.90M,,,38.90M,,38.90M,,,4.30M,4.30M,,,6.40M,49.60M,23.40M,23.40M,,,,3.50M,26.90M,76.50M,,,-30.00M,,,,,251.00M,,,
1993-12,47.90M,,47.90M,,,37.00M,,,,,17.80M,,,124.20M,226.90M,,,,,,,,99.70M,-26.90M,72.80M,,,,,,11.00M,83.80M,310.70M,,29.80M,,,29.80M,,29.80M,,,4.60M,4.60M,,,5.90M,40.30M,24.00M,24.00M,,,,3.40M,27.40M,67.70M,,,-35.50M,,,,,243.00M,,,
