,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2012-09,4.87B,4.87B,1.841B,3.029B,627.00M,1.114B,,19.00M,-19.00M,16.00M,178.00M,162.00M,54.00M,1.795B,1.234B,178.00M,16.00M,162.00M,129.00M,162.00M,1.525B,286.00M,1.239B,23.00M,,9.00M,1.271B,1.140B,1.798B,257.00M,1.541B,,0.73,0.02,,0.6665,0.75,,0.72,0.01,,0.6580,0.73,,1.703B,1.744B,0.25,,AOR,Restated
2012-06,4.626B,4.626B,1.719B,2.907B,544.00M,974.00M,,21.00M,-21.00M,18.00M,156.00M,138.00M,7.00M,1.525B,1.382B,156.00M,18.00M,138.00M,61.00M,138.00M,1.581B,375.00M,1.206B,-3.00M,,4.00M,1.207B,1.163B,1.82B,221.00M,1.599B,,0.70,0.00,,0.6724,0.70,,0.69,0.00,,0.6631,0.69,,1.715B,1.758B,0.25,,AOR,Restated
2012-03,4.943B,4.943B,1.783B,3.16B,595.00M,954.00M,,24.00M,-24.00M,29.00M,146.00M,117.00M,97.00M,1.646B,1.514B,146.00M,29.00M,117.00M,103.00M,117.00M,1.734B,296.00M,1.438B,761.00M,,31.00M,2.23B,1.382B,1.974B,211.00M,1.763B,,0.86,0.45,,0.8087,1.31,,0.84,0.44,,0.79,1.28,,1.698B,1.743B,0.215,,AOR,Restated
2011-12,4.681B,4.681B,1.754B,2.927B,503.00M,873.00M,,20.00M,-20.00M,27.00M,130.00M,103.00M,,1.376B,1.551B,130.00M,27.00M,103.00M,67.00M,103.00M,1.721B,321.00M,1.40B,-5.00M,,6.00M,1.401B,1.350B,1.956B,208.00M,1.748B,,0.83,0.00,,0.7968,0.83,,0.81,0.00,,0.7775,0.81,,1.684B,1.721B,0.215,,AOR,Restated
2011-09,4.117B,4.117B,1.497B,2.62B,532.00M,851.00M,,,-216.00M,30.00M,116.00M,86.00M,,1.497B,1.123B,116.00M,30.00M,86.00M,115.00M,86.00M,1.324B,270.00M,1.054B,-6.00M,,8.00M,1.056B,968.86M,1.595B,241.00M,1.354B,,0.63,0.00,,0.5746,0.63,,0.61,0.00,,0.5558,0.62,,1.682B,1.718B,0.215,,AOR,Restated
2011-06,3.623B,3.623B,1.278B,2.345B,475.00M,757.00M,,,63.00M,29.00M,127.00M,98.00M,,1.232B,1.113B,127.00M,29.00M,98.00M,63.00M,98.00M,1.274B,289.00M,985.00M,44.00M,,6.00M,1.035B,942.49M,1.488B,185.00M,1.303B,,0.59,0.03,,0.5610,0.62,,0.58,0.03,,0.5516,0.61,,1.673B,1.709B,0.215,,AOR,Restated
2011-03,3.87B,3.87B,1.059B,2.811B,529.00M,738.00M,,,-17.00M,30.00M,126.00M,96.00M,,1.267B,1.544B,126.00M,30.00M,96.00M,-21.00M,96.00M,1.619B,355.00M,1.264B,-269.00M,,4.00M,999.00M,1.281B,2.083B,434.00M,1.649B,,0.76,-0.16,,0.7680,0.60,,0.75,-0.16,,0.7579,0.59,,1.654B,1.689B,0.19,,AOR,Restated
2010-12,3.348B,3.348B,1.043B,2.305B,409.00M,649.00M,,,116.00M,24.00M,131.00M,107.00M,,1.058B,1.247B,131.00M,24.00M,107.00M,116.00M,107.00M,1.47B,218.00M,1.252B,-82.00M,,0.00,1.17B,1.153B,1.695B,201.00M,1.494B,,0.77,-0.05,,0.7091,0.72,,0.76,-0.05,,0.7000,0.71,,1.623B,1.648B,0.19,,AOR,Restated
2010-09,2.952B,2.952B,926.00M,2.026B,440.00M,629.00M,,,-297.00M,24.00M,125.00M,101.00M,,1.069B,957.00M,125.00M,24.00M,101.00M,113.00M,101.00M,1.171B,233.00M,938.00M,-73.00M,,0.00,865.00M,846.68M,1.366B,171.00M,1.195B,,0.59,-0.05,,0.5333,0.54,,0.57,-0.05,,0.5137,0.53,,1.61B,1.622B,0.19,,AOR,Restated
2010-06,2.70B,2.70B,852.00M,1.848B,332.00M,623.00M,,,63.00M,10.00M,131.00M,121.00M,,955.00M,893.00M,131.00M,10.00M,121.00M,62.00M,121.00M,1.076B,244.00M,832.00M,-65.00M,,0.00,767.00M,784.83M,1.252B,166.00M,1.086B,,0.51,-0.04,,0.4810,0.47,,0.51,-0.04,,0.4813,0.47,,1.629B,1.642B,0.19,,AOR,Restated
2010-03,2.663B,2.663B,809.00M,1.854B,430.00M,648.00M,,,-16.00M,7.00M,129.00M,122.00M,,1.078B,776.00M,129.00M,7.00M,122.00M,67.00M,122.00M,965.00M,191.00M,774.00M,,,0.00,774.00M,720.26M,1.139B,167.00M,972.00M,,0.47,0.00,,0.4377,0.47,,0.46,0.00,,0.4280,0.46,,1.662B,1.678B,0.17,,AOR,Restated
2009-12,2.67B,2.67B,816.00M,1.854B,379.00M,596.00M,,,41.00M,9.00M,145.00M,136.00M,,975.00M,879.00M,145.00M,9.00M,136.00M,37.00M,136.00M,1.052B,211.00M,841.00M,,,,841.00M,808.22M,1.223B,162.00M,1.061B,,0.50,0.00,,0.4804,0.50,,0.50,0.00,,0.4806,0.50,,1.672B,1.691B,0.17,,AOR,Restated
2009-09,2.661B,2.661B,668.00M,1.993B,297.00M,519.00M,,,702.00M,-3.00M,127.00M,130.00M,,1.829B,164.00M,127.00M,-3.00M,130.00M,775.00M,130.00M,1.069B,67.00M,1.002B,,,,802.00M,272.76M,1.241B,175.00M,1.066B,,0.60,-0.12,,0.1620,0.48,,0.60,-0.12,,0.1680,0.48,,1.665B,1.688B,0.17,,AOR,Restated
2009-06,2.753B,2.753B,864.00M,1.889B,377.00M,618.00M,,,-116.00M,8.00M,132.00M,124.00M,,995.00M,894.00M,132.00M,8.00M,124.00M,-34.00M,124.00M,984.00M,247.00M,737.00M,,,,737.00M,761.72M,1.146B,154.00M,992.00M,,0.45,0.00,,0.4649,0.45,,0.44,0.00,,0.4548,0.44,,1.656B,1.675B,0.17,,AOR,Restated
2009-03,2.455B,2.455B,738.00M,1.717B,1.123B,604.00M,,,-209.00M,4.00M,121.00M,117.00M,,1.727B,-10.00M,121.00M,4.00M,117.00M,-208.00M,117.00M,-101.00M,188.00M,-289.00M,,,,-289.00M,-161.60M,57.00M,154.00M,-97.00M,,-0.18,0.00,,-0.1028,-0.18,,-0.18,0.00,,-0.1028,-0.18,,1.651B,1.651B,0.16,,AOR,Restated
2008-12,2.517B,2.517B,755.00M,1.762B,413.00M,604.00M,,,-392.00M,3.00M,135.00M,132.00M,,1.017B,745.00M,135.00M,3.00M,132.00M,-426.00M,132.00M,451.00M,110.00M,341.00M,,,,341.00M,662.34M,606.00M,152.00M,454.00M,,0.21,0.00,,0.4044,0.21,,0.20,0.00,,0.3928,0.20,,1.653B,1.667B,0.16,,,Restated
2008-09,3.334B,3.334B,921.00M,2.413B,456.00M,621.00M,,,-497.00M,5.00M,113.00M,108.00M,,1.077B,1.336B,113.00M,5.00M,108.00M,-336.00M,108.00M,1.108B,230.00M,878.00M,,,,878.00M,1.272B,1.233B,120.00M,1.113B,,0.54,,,0.7787,0.54,,0.52,,,0.7547,0.52,,1.65B,1.678B,0.16,,,Restated
2008-06,2.762B,2.762B,889.00M,1.873B,453.00M,596.00M,,,-44.00M,4.00M,108.00M,104.00M,,1.049B,824.00M,108.00M,4.00M,104.00M,-46.00M,104.00M,882.00M,134.00M,748.00M,,,,748.00M,785.32M,1.003B,117.00M,886.00M,,0.46,0.00,,0.4829,0.46,,0.45,0.00,,0.4726,0.45,,1.626B,1.654B,0.16,,,Restated
2008-03,2.606B,2.606B,820.00M,1.786B,420.00M,553.00M,,,-21.00M,,,,,973.00M,813.00M,,,,-18.00M,,906.00M,140.00M,766.00M,,,,766.00M,783.75M,924.00M,111.00M,813.00M,,0.47,0.00,,0.4810,0.47,,0.47,0.00,,0.4810,0.47,,1.617B,1.617B,0.14,,,
2007-12,2.44B,2.44B,783.00M,1.657B,389.00M,511.00M,,,27.00M,,,,,900.00M,757.00M,,,,27.00M,,930.00M,163.00M,767.00M,,,,767.00M,744.73M,865.00M,108.00M,757.00M,,0.47,0.00,,0.4564,0.47,,0.46,0.00,,0.4466,0.46,,1.635B,1.664B,0.14,,,
