,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2002-03,183.00M,,,,,-1.00M,,-416.00M,58.00M,-74.00M,570.00M,58.00M,570.00M,,1.108B,874.00M,-4.00M,-4.00M,904.00M,-1.965B,-1.065B,-3.00M,,-3.00M,7.00M,-133.00M,-126.00M,,-24.00M,21.00M,-132.00M,852.00M,-323.00M,-6.00M,523.00M,7.00M,,-3.00M,-133.00M,,
2001-12,162.00M,,,,,-51.00M,,1.333B,89.00M,227.00M,-1.76B,133.00M,574.00M,,-835.00M,640.00M,33.00M,33.00M,-863.00M,333.00M,-497.00M,-3.00M,,-3.00M,7.00M,-69.00M,-62.00M,,-24.00M,43.00M,-46.00M,827.00M,97.00M,-72.00M,852.00M,7.00M,-103.00M,100.00M,-69.00M,,
2001-09,193.00M,,,,,14.00M,,-2.508B,-123.00M,-77.00M,1.845B,-133.00M,1.806B,,3.091B,790.00M,-14.00M,-14.00M,-3.253B,2.749B,-518.00M,-107.00M,,-107.00M,7.00M,-76.00M,-69.00M,,-25.00M,-6.00M,-207.00M,736.00M,65.00M,26.00M,827.00M,7.00M,103.00M,-210.00M,-76.00M,,
2001-06,154.00M,,,,,-2.00M,,1.389B,-48.00M,-74.00M,-679.00M,-38.00M,-640.00M,,-1.403B,138.00M,-48.00M,-48.00M,465.00M,-1.326B,-909.00M,330.00M,,330.00M,11.00M,-43.00M,-32.00M,,-25.00M,110.00M,383.00M,1.075B,-388.00M,49.00M,736.00M,11.00M,333.00M,-3.00M,-43.00M,,
2001-03,178.00M,,,,,39.00M,,-140.00M,38.00M,-76.00M,640.00M,38.00M,640.00M,,1.204B,1.281B,-16.00M,-16.00M,826.00M,-1.359B,-549.00M,-3.00M,,-3.00M,13.00M,-162.00M,-149.00M,,-21.00M,1.00M,-172.00M,609.00M,560.00M,-94.00M,1.075B,13.00M,,-3.00M,-162.00M,,
2000-12,166.00M,,,,,-86.00M,,-2.281B,6.00M,215.00M,127.00M,,2.719B,,2.757B,658.00M,-12.00M,-12.00M,-1.104B,97.00M,-1.019B,261.00M,,261.00M,4.00M,-63.00M,-59.00M,,-21.00M,13.00M,194.00M,808.00M,-167.00M,-32.00M,609.00M,4.00M,279.00M,-18.00M,-63.00M,,
2000-09,163.00M,,,,,39.00M,,814.00M,-27.00M,-69.00M,65.00M,,,,-31.00M,985.00M,-7.00M,-7.00M,-919.00M,7.00M,-919.00M,-164.00M,,-164.00M,8.00M,-43.00M,-35.00M,,-22.00M,16.00M,-205.00M,967.00M,-128.00M,-19.00M,808.00M,8.00M,0.00,-164.00M,-43.00M,,
2000-06,202.00M,,,,,9.00M,,1.777B,-26.00M,-65.00M,-585.00M,-12.00M,-688.00M,,-1.295B,693.00M,-6.00M,-6.00M,-1.47B,1.079B,-397.00M,14.00M,,14.00M,13.00M,-52.00M,-39.00M,,-21.00M,17.00M,-29.00M,692.00M,256.00M,7.00M,967.00M,13.00M,15.00M,-1.00M,-52.00M,,
2000-03,156.00M,,,,,38.00M,,-523.00M,12.00M,-81.00M,688.00M,12.00M,688.00M,,1.238B,909.00M,-1.00M,-1.00M,342.00M,-1.065B,-724.00M,-4.00M,,-4.00M,6.00M,-81.00M,-75.00M,,-18.00M,7.00M,-90.00M,616.00M,95.00M,-19.00M,692.00M,6.00M,,-4.00M,-81.00M,,
1999-12,102.00M,,,-20.00M,-20.00M,-22.00M,,-356.00M,2.00M,,669.00M,2.00M,669.00M,,959.00M,663.00M,1.00M,1.00M,3.797B,-4.303B,-505.00M,-16.00M,,-16.00M,-43.00M,-43.00M,-86.00M,,-15.00M,7.00M,-110.00M,534.00M,48.00M,34.00M,616.00M,-43.00M,0.00,-16.00M,-43.00M,,
1999-09,143.00M,,,20.00M,20.00M,26.00M,,-1.646B,-10.00M,,1.90B,-3.00M,668.00M,,2.34B,883.00M,-6.00M,-6.00M,-2.218B,1.538B,-686.00M,-75.00M,,-75.00M,53.00M,-40.00M,13.00M,,-20.00M,2.00M,-80.00M,,130.00M,39.00M,534.00M,53.00M,0.00,-75.00M,-40.00M,,
1999-06,130.00M,,,,,14.00M,,-181.00M,,,,-9.00M,612.00M,,603.00M,566.00M,-6.00M,-6.00M,,-763.00M,-769.00M,446.00M,,446.00M,15.00M,-130.00M,-115.00M,,-19.00M,4.00M,316.00M,,109.00M,-4.00M,,15.00M,446.00M,0.00,-130.00M,,
1999-03,196.00M,,,,,-41.00M,,-82.00M,,,,2.00M,620.00M,,622.00M,695.00M,-3.00M,-3.00M,,-775.00M,-778.00M,-3.00M,,-3.00M,14.00M,-11.00M,3.00M,,-18.00M,5.00M,-13.00M,374.00M,-105.00M,-9.00M,,14.00M,,-3.00M,-11.00M,,
1998-12,116.00M,,,-34.00M,-34.00M,-39.00M,,-221.00M,18.00M,,549.00M,18.00M,549.00M,,843.00M,665.00M,-14.00M,-14.00M,1.646B,-2.247B,-615.00M,7.00M,,7.00M,-2.00M,-2.00M,-4.00M,,-13.00M,3.00M,-7.00M,290.00M,43.00M,41.00M,374.00M,-2.00M,10.00M,-3.00M,-2.00M,,
1998-09,108.00M,,,20.00M,20.00M,0.00,,-388.00M,-4.00M,,525.00M,-4.00M,525.00M,,983.00M,723.00M,-13.00M,-13.00M,-658.00M,,-671.00M,-43.00M,,-43.00M,11.00M,-71.00M,-60.00M,,-18.00M,2.00M,-119.00M,344.00M,-67.00M,13.00M,290.00M,11.00M,70.00M,-113.00M,-71.00M,,
1998-06,103.00M,,,14.00M,14.00M,-13.00M,,-582.00M,-20.00M,,529.00M,-20.00M,529.00M,,969.00M,491.00M,-7.00M,-7.00M,-254.00M,-1.00M,-262.00M,40.00M,,40.00M,11.00M,-44.00M,-33.00M,,-17.00M,0.00,-10.00M,146.00M,218.00M,-20.00M,344.00M,11.00M,44.00M,-4.00M,-44.00M,,
