,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2007-06,149.00M,,,,-16.00M,,,,179.00M,95.00M,,,,-36.00M,,,,,,,-18.00M,-6.00M,347.00M,,2007-06,-98.00M,0.00,-98.00M,,,38.00M,-60.00M,,2007-06,,,-29.00M,,-112.00M,-112.00M,,,,-14.00M,,-155.00M,2007-06,655.00M,132.00M,2.00M,771.00M,,2007-06,,,,-112.00M,,,2007-06,,
2007-03,65.00M,,,,-32.00M,,,,161.00M,47.00M,,,,,,,,,,,-135.00M,,106.00M,,2007-03,-107.00M,29.00M,-78.00M,,,-20.00M,-112.00M,,2007-03,,,-19.00M,,-103.00M,-103.00M,,,,-14.00M,,-136.00M,2007-03,795.00M,-142.00M,2.00M,655.00M,,2007-03,,,,-103.00M,,,2007-03,,
2006-12,-30.00M,,,,-113.00M,,,,-17.00M,18.00M,,,,-714.00M,,,,,,,-206.00M,57.00M,-772.00M,,2006-12,-197.00M,-1.00M,158.00M,,263.00M,-242.00M,-17.00M,,2006-12,,,832.00M,-486.00M,-435.00M,-921.00M,,,,-13.00M,-203.00M,181.00M,2006-12,1.388B,-606.00M,2.00M,777.00M,,2006-12,0.00,,,-435.00M,,,2006-12,,Restated
2006-09,422.00M,,,,-99.00M,,,,59.00M,213.00M,,,,-111.00M,,,,,,,149.00M,-58.00M,575.00M,,2006-09,-85.00M,0.00,-85.00M,,-8.00M,309.00M,133.00M,,2006-09,,,163.00M,0.00,-297.00M,-297.00M,,,,-14.00M,-128.00M,-276.00M,2006-09,957.00M,432.00M,-1.00M,1.388B,,2006-09,0.00,,,-297.00M,,,2006-09,,
2006-06,203.00M,,,,155.00M,,,,-72.00M,50.00M,,,,33.00M,,,,,,,-107.00M,18.00M,280.00M,,2006-06,-39.00M,1.00M,-38.00M,,-40.00M,-50.00M,-90.00M,,2006-06,,,-39.00M,0.00,,0.00,,,,-13.00M,29.00M,-23.00M,2006-06,788.00M,167.00M,2.00M,957.00M,,2006-06,0.00,,,,,,2006-06,,
2006-03,26.00M,,,,-148.00M,,,,194.00M,46.00M,,,,3.00M,,,,,,,221.00M,-17.00M,325.00M,,2006-03,-35.00M,,-35.00M,,-4.288B,76.00M,-4.202B,,2006-03,,,2.902B,1.472B,,1.472B,,,,-10.00M,-193.00M,4.171B,2006-03,493.00M,294.00M,1.00M,788.00M,,2006-03,1.472B,,,,,,2006-03,,
2005-12,64.00M,,,,12.00M,,,,35.00M,56.00M,,,,77.00M,-8.00M,-14.00M,,41.00M,,,-120.00M,-6.00M,165.00M,,2005-12,-60.00M,,46.00M,,,-178.00M,-21.00M,,2005-12,,,-106.00M,-246.00M,1.00M,-245.00M,,,,-8.00M,-44.00M,-157.00M,2005-12,477.00M,24.00M,-1.00M,486.00M,,2005-12,0.00,,,1.00M,,,2005-12,,Restated
2005-09,-27.00M,,,,66.00M,,,,56.00M,-50.00M,,,,-327.00M,,,,,,,88.00M,9.00M,-185.00M,,2005-09,-9.00M,,-9.00M,,,106.00M,31.00M,,2005-09,,,-132.00M,246.00M,-251.00M,-5.00M,,,,-4.00M,-5.00M,-146.00M,2005-09,779.00M,-300.00M,0.00,477.00M,,2005-09,246.00M,,,-251.00M,,,2005-09,,
2005-06,24.00M,,,,-139.00M,,,,57.00M,2.00M,,,,-20.00M,-42.00M,-40.00M,,45.00M,125.00M,-16.00M,31.00M,-3.00M,24.00M,,2005-06,-25.00M,,-25.00M,,,15.00M,56.00M,,2005-06,,,-23.00M,,,,,,,-4.00M,1.00M,-26.00M,2005-06,763.00M,54.00M,1.00M,779.00M,,2005-06,,,,,,,2005-06,,
2005-03,23.00M,,,,45.00M,,,,64.00M,-6.00M,,,,,42.00M,40.00M,,-45.00M,-125.00M,16.00M,10.00M,,64.00M,,2005-03,-12.00M,,-12.00M,,,104.00M,92.00M,,2005-03,,,-495.00M,,,,,,,-4.00M,-2.00M,-501.00M,2005-03,1.11B,-345.00M,-2.00M,763.00M,,2005-03,,,,,,,2005-03,,
2004-12,18.52M,,,,39.56M,,,,67.96M,-10.66M,,,,,588.00M,-56.00M,,50.00M,126.00M,-667.00M,-106.80M,32.49M,82.06M,,2004-12,-35.71M,,217.29M,,,-320.10M,-26.81M,,2004-12,,,-39.86M,,,,,,,,-17.50M,-56.37M,2004-12,1.099B,-1.108M,5.507M,1.104B,,2004-12,,,,,,,2004-12,,
2004-09,54.22M,,,,-2.136M,,,,61.17M,18.27M,,,,,-528.95M,8.439M,,27.41M,2.065M,493.24M,144.33M,-37.31M,240.76M,,2004-09,-13.62M,,-13.62M,,,222.86M,209.25M,,2004-09,,,-133.46M,,,,,,,,-8.497M,-141.96M,2004-09,820.88M,308.04M,-28.10M,1.099B,,2004-09,,,,,,,2004-09,,
2004-06,83.02M,,,,-55.12M,,,,88.77M,37.44M,,,,,270.62M,-29.47M,,-25.44M,-31.86M,-364.36M,-3.303M,7.724M,-21.98M,,2004-06,-29.95M,,-29.95M,,,68.48M,36.04M,,2004-06,,,-54.79M,,,,,,,,7.233M,-47.56M,2004-06,831.48M,-33.50M,25.99M,820.88M,,2004-06,,,,,,,2004-06,,
2004-03,30.24M,,,,29.70M,,,,91.10M,11.95M,,,,,258.33M,21.04M,,-1.978M,29.79M,-128.88M,5.779M,3.098M,350.16M,,2004-03,-34.73M,,-34.73M,,,-2.25M,-34.48M,,2004-03,,,-30.88M,,,,,,,,-7.233M,-38.12M,2004-03,554.32M,277.56M,-0.401M,831.48M,,2004-03,,,,,,,2004-03,,
2003-12,3.361B,,,,,,,58.54M,58.54M,-23.66M,5.576M,,,-3.732B,149.67M,12.87M,,50.79M,,-415.30M,60.53M,,-471.68M,,2003-12,-38.43M,,,,17.61M,338.03M,337.82M,,2003-12,662.87M,50.07M,712.94M,,,,,,,,-325.49M,387.45M,2003-12,276.70M,253.58M,16.70M,972.35M,,2003-12,,2.446B,-1.733B,,,,2003-12,AOR,Restated
2003-09,-278.22M,,,,,,,65.98M,65.98M,-18.02M,3.216M,,,88.98M,-59.77M,-1.236M,,356.10M,,-1.01M,-58.73M,,97.28M,,2003-09,-29.03M,,,,1.00M,-172.93M,-187.64M,,2003-09,38.46M,-18.68M,19.77M,,,,,,,,-10.37M,9.403M,2003-09,309.79M,-80.96M,40.63M,276.70M,,2003-09,,38.46M,-18.68M,,,,2003-09,AOR,Restated
2003-06,-503.31M,,,,,-70.90M,,74.32M,74.32M,1.225M,4.278M,,,355.56M,16.58M,-19.89M,59.54M,241.12M,,-117.73M,0.796M,,112.50M,,2003-06,-40.12M,,,,,-20.37M,-36.69M,,2003-06,1.52M,-3.81M,-2.29M,,,,,,,,-7.474M,-9.764M,2003-06,312.03M,66.05M,-66.12M,309.79M,,2003-06,,1.52M,-3.81M,,,,2003-06,AOR,Restated
2003-03,11.66M,,,,,70.90M,0.00,70.90M,70.90M,35.30M,6.812M,,,-189.53M,-60.19M,33.44M,-59.54M,4.378M,,0.371M,57.94M,,-88.47M,,2003-03,-16.49M,,,,,15.64M,64.20M,,2003-03,3.822M,-27.58M,-23.76M,,,,,,,,,-23.76M,2003-03,361.35M,-48.02M,-27.04M,312.03M,,2003-03,,3.822M,-27.58M,,,,2003-03,AOR,Restated
2002-12,-491.07M,,,,,,,78.87M,78.87M,-43.83M,7.904M,,,86.31M,92.04M,-22.37M,50.28M,19.94M,,23.65M,216.48M,,18.21M,,2002-12,-48.71M,,,,160.79M,-109.71M,-184.82M,,2002-12,-1.096B,1.112B,15.57M,4.065M,,0.00,,,,,155.26M,170.83M,2002-12,347.65M,4.218M,-6.863M,385.06M,,2002-12,4.065M,-164.55M,180.12M,,,,2002-12,AOR,Restated
2002-09,-2.908B,,,,,,,63.39M,63.39M,-200.67M,20.46M,,,3.172B,-48.99M,50.94M,-50.28M,251.26M,,18.48M,49.43M,,417.71M,,2002-09,-540.67M,,,,0.00,35.84M,-373.25M,,2002-09,836.22M,-1.902B,-1.065B,-4.065M,,0.00,,,,,1.044B,-21.79M,2002-09,368.56M,22.68M,20.37M,347.65M,,2002-09,-4.065M,46.22M,-1.112B,,,,2002-09,AOR,
2002-06,-41.35M,,,,,,,77.75M,77.75M,7.663M,,,,-35.83M,-24.68M,16.91M,,6.487M,,2.775M,11.82M,,21.55M,,2002-06,-445.17M,,,,0.00,-120.79M,-644.50M,,2002-06,618.80M,-20.00M,598.80M,0.571M,,0.571M,,,,,108.06M,707.44M,2002-06,270.53M,84.48M,13.54M,368.56M,,2002-06,0.571M,598.80M,,,,,2002-06,AOR,
2002-03,-26.46M,,,,,,,66.61M,66.61M,6.707M,,,,-4.697M,-31.59M,-2.881M,,23.36M,,2.786M,-61.26M,,-27.42M,,2002-03,-405.18M,,,,0.00,-14.59M,-478.90M,,2002-03,431.02M,810.00M,1.241B,3.494M,,3.494M,,,,,-651.67M,592.85M,2002-03,186.11M,86.53M,-2.103M,270.53M,,2002-03,3.494M,1.241B,,,,,2002-03,AOR,
2001-12,39.33M,,,,,,,70.09M,70.09M,12.41M,,,,-110.67M,66.26M,-47.16M,,-7.285M,,53.87M,-67.00M,,-26.68M,,2001-12,23.70M,,,,-269.90M,127.73M,-147.58M,,2001-12,896.21M,-713.54M,182.67M,-0.064M,,-0.064M,,,,,0.00,182.61M,2001-12,188.98M,8.351M,-11.23M,186.11M,,2001-12,-0.064M,-161.53M,344.20M,,,,2001-12,AOR,Restated
2001-09,141.58M,,,,,,,58.71M,58.71M,15.99M,,,,-72.46M,150.45M,16.60M,,46.96M,,-5.411M,37.14M,,389.57M,,2001-09,-428.32M,,,,-669.33M,-201.54M,-1.337B,,2001-09,-437.02M,1.336B,898.68M,0.00,,0.00,,,,,0.00,898.68M,2001-09,226.55M,-49.20M,11.63M,188.98M,,2001-09,0.00,974.45M,-75.78M,,,,2001-09,AOR,
2001-06,49.11M,,,,,,,45.60M,45.60M,6.719M,,,,-32.83M,-99.08M,-49.10M,,12.60M,,-14.46M,63.66M,,-17.78M,,2001-06,-732.27M,,,,-1.041B,-30.41M,-1.722B,,2001-06,1.720B,-499.00M,1.221B,0.311M,,0.311M,,,,,618.44M,1.839B,2001-06,126.59M,99.04M,0.929M,226.55M,,2001-06,0.311M,1.907B,-686.60M,,,,2001-06,AOR,
2001-03,35.18M,,,,,,,38.09M,38.09M,10.43M,,,,-27.07M,-28.11M,-31.48M,,-36.02M,,3.676M,-33.79M,,-69.09M,,2001-03,-185.24M,,,,-832.72M,3.54M,-1.128B,,2001-03,873.14M,499.00M,1.372B,475.22M,,475.22M,,,,,-614.36M,1.233B,2001-03,95.24M,35.73M,-4.386M,126.59M,,2001-03,475.22M,1.372B,,,,,2001-03,AOR,Restated
2000-12,42.00M,,,,,,,35.68M,35.68M,1.778M,,,,91.08M,-78.48M,20.02M,,29.57M,,-5.974M,-23.67M,,119.68M,,2000-12,-121.39M,,,,27.68M,-62.72M,-132.64M,,2000-12,-57.56M,0.00,-57.56M,0.00,,0.00,,,,,,-57.56M,2000-12,165.40M,-70.52M,0.36M,36.81M,,2000-12,0.00,49.59M,-107.16M,,,,2000-12,AOR,Restated
2000-09,88.60M,,,,,,,36.42M,36.42M,-55.54M,,,,-66.04M,11.90M,-9.823M,,32.85M,,4.082M,-18.97M,,23.49M,,2000-09,47.43M,,,,-217.48M,-14.48M,-184.99M,,2000-09,256.06M,0.00,256.06M,0.00,,0.00,,,,,,256.06M,2000-09,70.84M,94.56M,0.00,165.40M,,2000-09,0.00,476.63M,-220.57M,,,,2000-09,AOR,Restated
2000-06,43.58M,,,,,,,30.86M,30.86M,81.31M,,,,-41.64M,-125.21M,-32.96M,,46.90M,,2.693M,56.16M,,61.69M,,2000-06,-106.21M,,,,0.00,-8.277M,-104.79M,,2000-06,-477.70M,,-477.70M,453.72M,,453.72M,,,,,,-23.98M,2000-06,137.92M,-67.08M,0.00,70.84M,,2000-06,453.72M,25.84M,-503.54M,,,,2000-06,AOR,Restated
2000-03,8.746M,,,,,,,19.99M,19.99M,10.91M,,,,15.45M,4.401M,10.45M,,25.58M,,-5.937M,67.23M,,156.81M,,2000-03,-43.39M,,,,-1.723B,2.749M,-1.782B,,2000-03,1.731B,,1.731B,0.00,,0.00,,,,,,1.731B,2000-03,31.48M,106.44M,0.00,137.92M,,2000-03,0.00,2.483B,-751.49M,,,,2000-03,AOR,Restated
