,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2006-06,141.00M,,141.00M,182.90M,,269.60M,157.20M,,,484.20M,1.052B,7.190B,120.70M,7.311B,-2.821B,4.490B,,282.60M,1.031B,5.804B,6.856B,224.10M,,224.10M,456.50M,680.60M,,,,338.30M,338.30M,,,,1.019B,1.474B,,1.474B,664.70M,664.70M,,4.80M,243.80M,,2.383B,4.356B,1.20M,718.80M,1.804B,,,,,-29.40M,2.495B
2006-03,50.50M,,50.50M,269.50M,,382.40M,140.10M,,,553.20M,1.126B,7.508B,136.60M,7.644B,-2.789B,4.855B,,283.20M,677.80M,5.816B,6.942B,241.80M,,241.80M,509.50M,751.30M,,,,217.10M,217.10M,,,,968.40M,1.639B,,1.639B,653.10M,653.10M,,4.80M,243.80M,,2.536B,4.456B,1.20M,707.00M,1.800B,,,,,-27.00M,2.481B
2005-12,205.30M,,205.30M,242.30M,,386.00M,185.80M,,,1.006B,1.783B,7.079B,134.30M,7.213B,-2.742B,4.472B,,304.20M,1.174B,5.950B,7.733B,355.30M,,355.30M,771.20M,1.126B,,,,453.80M,453.80M,,,,1.580B,1.915B,,1.915B,529.30M,529.30M,,4.50M,243.80M,,2.688B,5.288B,1.20M,742.30M,1.789B,,,,,-91.70M,2.440B
2005-09,140.00M,,140.00M,207.50M,,308.00M,106.30M,,,698.40M,1.253B,8.059B,137.90M,8.197B,-3.145B,5.052B,,279.00M,1.302B,6.634B,7.886B,261.10M,,261.10M,541.00M,802.10M,,,,163.00M,163.00M,,,,965.10M,2.137B,27.80M,2.165B,806.50M,39.90M,,4.60M,243.80M,,2.449B,5.326B,1.20M,836.80M,1.787B,,,,,-69.70M,2.556B
2005-06,241.60M,,241.60M,162.60M,,246.60M,136.20M,,,453.00M,1.077B,7.788B,165.30M,7.954B,-3.251B,4.703B,,283.70M,2.017B,7.003B,8.081B,250.60M,,250.60M,390.20M,640.80M,,,,387.80M,387.80M,,,,1.029B,2.146B,30.10M,2.177B,808.50M,41.60M,,4.70M,243.80M,,2.462B,5.648B,1.20M,754.80M,1.774B,,,,,-102.20M,2.428B
2005-03,164.90M,,164.90M,252.60M,,350.90M,131.50M,,,210.90M,858.20M,8.428B,183.00M,8.611B,-3.226B,5.385B,,327.80M,1.561B,7.273B,8.132B,284.10M,,284.10M,323.80M,607.90M,,,,217.70M,217.70M,,,,825.60M,2.204B,,2.204B,817.60M,42.80M,,45.70M,243.80M,,2.491B,5.546B,1.20M,843.90M,1.768B,,,,,-73.70M,2.540B
2004-12,202.40M,,202.40M,187.40M,,325.50M,150.40M,,,1.464B,2.143B,7.184B,156.20M,7.341B,-2.675B,4.665B,,308.30M,1.159B,6.132B,8.275B,264.20M,,264.20M,863.80M,1.128B,,,,218.60M,218.60M,,,,1.347B,2.289B,,2.289B,819.50M,44.00M,,4.80M,243.80M,,2.577B,5.709B,1.20M,871.90M,1.762B,,,,,-73.80M,2.561B
2004-09,184.06M,,184.06M,211.64M,,307.17M,196.04M,,,247.62M,934.89M,7.637B,153.29M,7.790B,-3.168B,4.622B,,303.26M,2.098B,7.024B,7.958B,240.71M,,240.71M,303.33M,544.04M,,,,181.38M,181.38M,,,,725.42M,2.238B,,2.238B,804.52M,45.28M,,51.18M,243.80M,,2.527B,5.390B,1.155M,859.49M,1.756B,,,,,-99.27M,2.517B
2004-06,189.12M,,189.12M,196.79M,,278.86M,153.37M,,,196.20M,817.56M,7.477B,191.70M,7.668B,-3.109B,4.560B,,333.67M,2.065B,6.958B,7.776B,268.21M,,268.21M,276.29M,544.49M,,,,165.12M,165.12M,,,,709.62M,2.203B,,2.203B,786.46M,46.55M,,54.54M,243.80M,,2.493B,5.350B,1.132M,805.94M,1.698B,,,,,-133.08M,2.372B
2004-03,196.43M,,196.43M,276.02M,,370.16M,124.51M,,,116.36M,807.46M,7.033B,494.41M,7.527B,-3.049B,4.478B,,393.52M,2.088B,6.959B,7.767B,276.62M,,276.62M,260.54M,537.16M,,,,263.66M,263.66M,,,,800.82M,2.105B,,2.105B,766.95M,47.82M,,57.66M,243.80M,,2.397B,5.316B,1.113M,846.79M,1.653B,,,,,-108.06M,2.393B
2003-12,240.80M,,240.80M,152.70M,,236.10M,163.90M,,,347.70M,988.50M,6.956B,456.10M,7.413B,-2.986B,4.426B,,322.30M,2.060B,6.809B,7.798B,296.20M,,296.20M,308.80M,605.00M,,,,253.40M,253.40M,,,,858.40M,2.123B,,2.123B,751.10M,49.10M,,52.30M,243.80M,,2.416B,5.374B,1.10M,840.40M,1.644B,,,,,-113.80M,2.371B
2003-09,103.17M,,103.17M,374.82M,,461.73M,221.75M,,,663.67M,1.450B,6.933B,373.93M,7.307B,-3.501B,3.806B,,356.39M,1.994B,6.156B,7.606B,268.32M,,268.32M,454.41M,722.73M,,,,418.60M,418.60M,,,,1.141B,2.296B,,2.296B,680.79M,50.53M,,52.53M,243.80M,,2.590B,5.239B,1.107M,819.40M,1.635B,,,,,-141.41M,2.315B
2003-06,76.43M,,76.43M,269.56M,,285.87M,171.06M,,,761.67M,1.295B,6.692B,489.14M,7.181B,-3.439B,3.742B,,365.45M,1.981B,6.089B,7.384B,247.39M,,247.39M,531.38M,778.77M,,,,466.34M,466.34M,,,,1.245B,2.388B,,2.388B,715.05M,51.81M,,45.80M,205.06M,,2.645B,5.426B,0.931M,743.70M,1.308B,,,,,-141.11M,1.912B
2003-03,74.98M,,74.98M,183.63M,,238.34M,127.73M,,,1.266B,1.707B,6.713B,324.70M,7.037B,-3.388B,3.649B,,389.45M,1.968B,6.007B,7.714B,310.42M,,310.42M,473.60M,784.02M,,,,540.37M,540.37M,,,,1.324B,2.660B,,2.660B,692.15M,53.09M,,50.45M,205.06M,,2.918B,5.816B,0.927M,734.68M,1.301B,,,,,-189.02M,1.848B
2002-12,62.86M,,62.86M,226.99M,,277.61M,184.53M,,,1.130B,1.655B,6.510B,263.10M,6.773B,-2.795B,3.979B,,409.61M,1.771B,6.159B,7.814B,282.86M,,282.86M,428.54M,711.40M,,,,410.91M,410.91M,,,,1.122B,2.610B,,2.610B,716.17M,54.38M,,43.42M,205.06M,,2.869B,5.934B,0.923M,758.19M,1.294B,,,,,-216.84M,1.836B
2002-09,85.80M,,85.80M,276.76M,,306.75M,184.97M,,,132.35M,709.88M,7.664B,156.24M,7.821B,-3.559B,4.262B,,559.30M,1.229B,6.050B,6.760B,208.46M,,208.46M,392.61M,601.06M,,,,540.37M,540.37M,,,,1.141B,2.612B,,2.612B,744.03M,55.71M,,42.24M,59.96M,,2.728B,4.948B,0.916M,757.82M,1.285B,,,,,-273.42M,1.770B
2002-06,73.40M,,73.40M,199.62M,,267.08M,154.84M,,,156.24M,651.56M,7.752B,139.54M,7.892B,-3.752B,4.140B,,547.27M,1.335B,6.022B,6.673B,237.10M,,237.10M,331.33M,568.43M,,,,370.16M,370.16M,,,,938.60M,2.638B,,2.638B,749.36M,57.04M,,41.89M,114.04M,,2.809B,4.795B,0.908M,758.46M,1.273B,,,,,-196.26M,1.836B
2002-03,68.88M,,68.88M,195.59M,,252.54M,130.76M,,,170.62M,622.80M,7.307B,111.46M,7.419B,-3.440B,3.979B,,496.88M,1.324B,5.800B,6.423B,205.89M,,205.89M,326.55M,532.44M,,,,203.99M,203.99M,,,,736.42M,2.639B,,2.639B,682.77M,58.37M,,44.06M,114.00M,,2.811B,4.467B,0.902M,797.18M,1.256B,,,,,-142.42M,1.912B
2001-12,102.82M,,102.82M,141.72M,,213.11M,166.22M,,,626.70M,1.109B,6.301B,111.07M,6.412B,-3.375B,3.038B,,360.02M,1.731B,5.129B,6.238B,221.82M,,221.82M,322.24M,544.06M,,,,218.31M,218.31M,,,,762.37M,2.458B,,2.458B,666.95M,59.40M,,43.11M,113.95M,,2.631B,4.276B,0.897M,832.29M,1.240B,,,,,-154.64M,1.918B
2001-09,142.49M,,142.49M,132.33M,,132.33M,58.21M,,,215.98M,549.01M,,,7.147B,-3.341B,3.807B,,,1.693B,5.500B,6.049B,252.16M,,252.16M,278.24M,530.41M,,,,525.45M,525.45M,,,,1.056B,2.207B,,2.207B,681.97M,681.97M,,,,,2.889B,4.333B,114.71M,818.63M,961.66M,,113.91M,-2.136M,-177.19M,-179.32M,1.716B
2001-06,88.84M,,88.84M,128.51M,,189.44M,125.02M,,,149.59M,552.89M,6.746B,168.29M,6.914B,-3.283B,3.631B,,288.87M,1.634B,5.554B,6.106B,203.90M,,203.90M,233.45M,437.34M,,,,415.69M,415.69M,,,,853.04M,2.262B,,2.262B,813.20M,61.67M,,,113.87M,,2.438B,4.399B,0.79M,795.86M,949.61M,,,,,-38.46M,1.708B
2001-03,114.89M,,114.89M,263.08M,,350.85M,92.53M,,,119.12M,677.40M,6.639B,141.83M,6.781B,-3.218B,3.563B,,282.49M,1.878B,5.723B,6.401B,228.12M,,228.12M,303.81M,531.93M,,,,368.15M,368.15M,,,,900.08M,2.233B,,2.233B,890.92M,63.00M,,,113.83M,,2.410B,4.541B,0.791M,812.06M,950.55M,,,,,96.58M,1.860B
2000-12,148.42M,,148.42M,178.69M,,303.21M,143.92M,,,115.44M,710.98M,6.885B,130.86M,7.016B,-3.297B,3.719B,,294.04M,2.009B,6.023B,6.734B,296.96M,,296.96M,265.06M,562.02M,,,,592.31M,592.31M,,,,1.154B,1.910B,,1.910B,999.04M,67.36M,,,113.79M,,2.091B,4.696B,0.79M,818.16M,947.50M,,,,,271.02M,2.037B
2000-09,71.27M,,71.27M,96.69M,,156.56M,156.01M,,,101.93M,485.77M,6.911B,142.60M,7.054B,-3.462B,3.591B,,208.20M,2.062B,5.862B,6.347B,184.68M,,184.68M,435.40M,620.08M,,,,447.79M,447.79M,,,,1.068B,1.592B,,1.592B,1.027B,68.72M,,,,,1.661B,4.156B,114.54M,796.84M,947.50M,,113.75M,,,333.04M,2.192B
2000-06,31.87M,,31.87M,121.33M,,164.64M,123.89M,,,90.80M,411.19M,6.632B,135.57M,6.767B,-3.206B,3.562B,,202.20M,2.422B,6.186B,6.597B,182.57M,,182.57M,203.92M,386.49M,,,,581.76M,581.76M,,,,968.26M,1.915B,,1.915B,1.129B,70.29M,,,,,1.985B,4.298B,114.50M,679.19M,946.15M,0.767M,113.71M,,,560.19M,2.299B
2000-03,47.50M,,47.50M,94.82M,,128.94M,101.64M,,,90.20M,368.28M,6.535B,130.09M,6.665B,-3.144B,3.520B,,196.09M,2.793B,6.510B,6.878B,167.28M,,167.28M,218.46M,385.74M,,,,374.92M,374.92M,,,,760.65M,2.020B,,2.020B,1.269B,71.65M,,,,,2.091B,4.347B,114.47M,557.29M,946.03M,0.725M,113.68M,,,913.95M,2.531B
1999-12,113.67M,,113.67M,166.37M,,166.37M,125.25M,,,80.70M,485.99M,6.629B,119.28M,6.748B,-3.262B,3.486B,,187.08M,1.917B,5.590B,6.076B,191.15M,,191.15M,194.54M,385.69M,,,,547.94M,547.94M,,,,933.62M,1.487B,26.04M,1.513B,1.090B,71.86M,,,,,1.585B,3.806B,114.43M,577.46M,942.41M,,113.64M,,,634.90M,2.269B
1999-09,69.00M,,69.00M,153.00M,,153.00M,128.70M,,,68.60M,419.30M,6.542B,135.50M,6.677B,-3.242B,3.435B,,165.80M,1.577B,5.178B,5.597B,178.40M,,178.40M,224.30M,402.70M,,,,269.60M,269.60M,,,,672.30M,1.570B,27.60M,1.597B,961.40M,73.20M,,,,,1.670B,3.501B,114.40M,572.00M,934.40M,,113.60M,,,475.60M,2.096B
1999-06,29.40M,,29.40M,134.10M,,134.10M,109.90M,,,64.80M,338.20M,6.483B,128.80M,6.612B,-3.177B,3.435B,,166.30M,1.238B,4.839B,5.177B,145.90M,,145.90M,192.10M,338.00M,,,,298.50M,298.50M,,,0.10M,636.60M,1.514B,25.60M,1.540B,849.10M,74.60M,,,,,1.615B,3.296B,114.40M,539.80M,926.20M,,113.60M,,,300.60M,1.881B
1999-03,54.20M,,54.20M,128.70M,,128.70M,111.90M,,,67.80M,362.60M,6.397B,133.10M,6.530B,-3.106B,3.423B,,159.10M,1.126B,4.708B,5.071B,163.60M,,163.60M,220.20M,383.80M,,,,237.20M,237.20M,,,0.10M,621.10M,1.545B,11.50M,1.557B,814.10M,75.90M,,,,,1.633B,3.265B,114.30M,540.30M,913.70M,,113.50M,,,237.40M,1.806B
1998-12,31.80M,,31.80M,142.50M,,142.50M,133.60M,,,80.10M,388.00M,6.369B,119.00M,6.488B,-3.031B,3.457B,,103.20M,1.011B,4.571B,4.959B,204.30M,,204.30M,196.60M,400.90M,,,,248.70M,248.70M,,,,649.60M,1.543B,13.80M,1.557B,768.90M,77.30M,,,,,1.634B,3.240B,114.30M,163.00M,905.10M,,113.50M,,,537.40M,1.720B
1998-09,9.50M,,9.50M,126.10M,,126.10M,118.30M,,,76.80M,330.70M,6.278B,119.00M,6.397B,-2.985B,3.412B,,101.70M,865.60M,4.379B,4.710B,164.40M,,164.40M,221.00M,385.40M,,,,193.10M,193.10M,,,-0.10M,578.40M,1.486B,15.70M,1.501B,720.00M,78.70M,,,,,1.58B,3.052B,114.30M,550.80M,889.50M,,113.50M,,,104.00M,1.658B
1998-06,31.70M,,31.70M,136.00M,,136.00M,101.30M,,,95.30M,364.30M,6.212B,115.50M,6.328B,-2.890B,3.437B,,91.80M,1.056B,4.585B,4.949B,157.40M,,157.40M,189.10M,346.50M,,,,253.20M,253.20M,,,-0.10M,599.60M,1.489B,19.30M,1.509B,817.90M,80.10M,,,,,1.589B,3.176B,114.20M,562.30M,881.70M,,113.40M,,,215.00M,1.773B
