,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2000-09,1.453B,1.453B,-57.34M,1.510B,1.270B,,3.107M,,,,1.328B,182.25M,,,,3.107M,,150.22M,64.55M,85.66M,,-11.65M,85.66M,83.80M,239.59M,57.34M,182.25M,0.245,0.0,,0.2397,0.245,0.24,0.0,,0.2348,0.24,349.65M,356.93M,0.0875
2000-06,1.520B,1.520B,-57.04M,1.577B,1.267B,,2.629M,,,,1.324B,253.72M,,,,2.629M,,223.64M,96.26M,127.39M,,-16.61M,127.39M,125.81M,310.76M,57.04M,253.72M,0.365,0.0,,0.3605,0.365,0.35,0.0,,0.3457,0.35,349.01M,363.96M,0.0875
2000-03,1.379B,1.379B,-52.64M,1.432B,1.215B,,110.92M,,,,1.268B,163.69M,,,,110.92M,,252.01M,108.47M,143.54M,,-11.28M,143.54M,76.99M,216.32M,52.64M,163.69M,0.41,0.0,,0.2199,0.41,0.39,0.0,,0.2092,0.39,350.09M,368.05M,0.0875
1999-12,1.502B,1.502B,-74.70M,1.577B,1.270B,,-9.40M,,,,1.345B,231.90M,,,,-9.40M,,208.20M,88.30M,119.90M,,-24.00M,119.90M,125.54M,306.60M,74.70M,231.90M,0.34,0.0,,0.356,0.34,0.33,0.0,,0.3455,0.33,353.59M,364.38M,0.0875
1999-09,1.211B,1.211B,-29.00M,1.240B,1.064B,,4.50M,,,,1.093B,147.20M,,,,4.50M,,124.20M,53.90M,70.30M,,-6.90M,70.30M,67.60M,176.20M,29.00M,147.20M,0.2,0.0,,0.1923,0.2,0.195,0.0,,0.1875,0.195,351.50M,360.51M,0.075
1999-06,1.270B,1.270B,-47.00M,1.317B,1.060B,,12.10M,,,,1.107B,210.47M,,,,12.10M,,187.70M,80.60M,107.10M,,-13.80M,107.10M,99.84M,257.47M,47.00M,210.47M,0.305,0.0,,0.2843,0.305,0.295,0.0,,0.275,0.295,351.15M,363.05M,0.075
1999-03,1.147B,1.147B,-45.00M,1.192B,1.012B,,8.10M,,,,1.057B,134.58M,,,,8.10M,,116.10M,50.50M,65.60M,,-8.20M,65.60M,60.74M,179.58M,45.00M,134.58M,0.185,0.0,,0.1713,0.185,0.185,0.0,,0.1713,0.185,354.59M,354.59M,0.075
1998-12,1.258B,1.258B,-62.30M,1.320B,1.094B,,7.10M,,,,1.156B,164.10M,,,,7.10M,,147.20M,62.00M,85.20M,,-13.40M,85.20M,80.94M,226.40M,62.30M,164.10M,0.245,0.0,,0.2328,0.245,0.24,0.0,,0.228,0.24,348.20M,354.95M,0.075
1998-09,1.033B,1.033B,-42.20M,1.075B,914.30M,0.10M,5.00M,,,,956.60M,118.60M,,,,5.00M,,102.10M,46.10M,56.00M,,-9.50M,56.00M,53.00M,160.80M,29.00M,118.60M,0.16,0.0,,0.1514,0.16,0.16,0.0,,0.1514,0.16,350.00M,350.00M,0.0625
1998-06,1.094B,1.094B,-41.00M,1.135B,916.40M,,13.90M,,,,957.40M,177.80M,,,,13.90M,,157.90M,71.60M,86.30M,,-13.80M,86.30M,77.96M,218.80M,38.70M,177.80M,0.25,0.0,,0.2258,0.25,0.24,0.0,,0.2168,0.24,345.20M,359.58M,0.0625
