,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2006-06,244.00M,,,,23.20M,36.50M,27.80M,64.30M,64.30M,,,,,-7.80M,-151.90M,,-6.50M,80.50M,,15.20M,-175.40M,-238.10M,85.60M,-39.50M,,-39.50M,,-157.80M,48.90M,-148.40M,,,-137.30M,153.50M,-599.40M,-445.90M,,-44.60M,,-44.90M,-672.70M,1.823B,-735.50M,4.60M,1.092B,153.50M,,,-599.40M,,
2006-03,165.70M,,,,11.90M,35.30M,24.60M,59.90M,59.90M,,,,,,205.70M,,-163.50M,-147.60M,,-5.00M,-26.10M,-136.50M,101.00M,-33.50M,,-33.50M,,351.70M,-35.40M,282.80M,,,999.90M,,-359.20M,-359.20M,,-45.20M,,11.40M,606.90M,835.80M,990.70M,-3.60M,1.823B,,,,-359.20M,,
2005-12,252.60M,,,,33.30M,36.80M,29.80M,66.60M,66.60M,,,,,,-450.60M,,70.30M,935.00M,132.50M,-42.60M,198.30M,842.90M,1.296B,-60.30M,0.00,-60.30M,,-353.80M,-104.00M,-518.10M,,,-197.20M,,-87.60M,-87.60M,,-40.20M,,8.90M,-316.10M,395.60M,461.40M,-21.20M,835.80M,,,,-87.60M,,
2005-09,161.80M,,,,15.50M,33.80M,28.90M,62.70M,62.70M,,,,,,23.30M,,-31.80M,-73.60M,-3.70M,57.10M,54.50M,25.80M,265.80M,-35.20M,0.00,-35.20M,,-3.20M,-59.70M,-98.10M,,,79.80M,,-120.20M,-120.20M,,-41.40M,,-25.80M,-107.60M,343.50M,60.10M,-8.00M,395.60M,,,,-120.20M,,
2005-06,225.80M,,,,22.50M,34.30M,30.90M,65.20M,65.20M,,,,,,-44.70M,,-1.50M,126.40M,-128.80M,21.30M,-139.40M,-166.70M,146.80M,-37.10M,0.00,-37.10M,,69.30M,-111.10M,-78.90M,,,-64.40M,,-146.10M,-146.10M,,-40.80M,,-52.30M,-303.60M,588.10M,-235.70M,-8.90M,343.50M,,,,-146.10M,,
2005-03,150.50M,,,,18.20M,32.70M,35.00M,67.70M,67.70M,,,,,,-273.50M,,-97.40M,-559.60M,,30.80M,-53.70M,-953.40M,-717.00M,-30.10M,29.30M,-0.80M,,556.70M,-23.10M,532.80M,,,-7.60M,,-377.90M,-377.90M,,-41.60M,,37.60M,-389.50M,1.166B,-573.70M,-3.80M,588.10M,,,,-377.90M,,
2004-12,236.50M,,,,53.30M,32.30M,38.60M,70.90M,70.90M,,,,,,-218.50M,,0.00,900.00M,127.40M,68.40M,202.20M,1.080B,1.440B,-56.40M,,-56.40M,,-566.00M,-74.70M,-697.10M,,,-11.80M,,0.00,0.00,,-41.50M,,19.30M,-34.00M,429.10M,709.10M,27.40M,1.166B,,,,0.00,,
2004-09,145.30M,,,,19.70M,31.90M,38.30M,70.20M,70.20M,,,,,,247.70M,,-4.00M,-425.80M,-46.80M,72.00M,33.00M,-123.90M,111.30M,-25.20M,,-25.20M,,-4.10M,-82.60M,-111.90M,,,-10.70M,,-159.70M,-159.70M,,-41.90M,,-10.10M,-222.40M,658.20M,-223.00M,-6.10M,429.10M,,,,-159.70M,,
2004-06,206.10M,,,,25.60M,31.50M,39.80M,71.30M,71.30M,,,,,,50.30M,,-68.00M,385.50M,-164.20M,100.80M,-84.00M,220.40M,523.40M,-32.70M,,-32.70M,,5.90M,-127.10M,-153.90M,,,-21.40M,,-145.70M,-145.70M,,-42.10M,,-23.60M,-232.80M,519.30M,136.70M,2.20M,658.20M,,,,-145.70M,,
2004-03,135.60M,,,,6.70M,34.70M,42.20M,76.90M,76.90M,,,,,,-298.60M,,-41.10M,-543.60M,,-58.80M,-64.40M,-1.006B,-787.30M,-45.40M,,-45.40M,,281.00M,-31.60M,204.00M,,,11.40M,,-141.10M,-141.10M,,-37.60M,,6.50M,-160.80M,1.244B,-744.10M,19.90M,519.30M,,,,-141.10M,,
2003-12,221.28M,,,,38.77M,32.34M,35.89M,68.24M,68.24M,,,,,,-325.68M,,-43.02M,880.47M,172.35M,156.96M,,841.08M,1.169B,-45.53M,,-45.53M,,14.86M,-138.93M,-169.60M,,,14.05M,,0.00,0.00,,-37.51M,,1.512M,-21.95M,563.89M,977.82M,-13.00M,1.529B,,,,0.00,,
2003-09,135.27M,,,,23.03M,31.82M,20.88M,52.70M,52.70M,,,,,,176.70M,,-12.77M,-107.26M,-62.92M,43.38M,,37.14M,248.14M,-35.46M,,-35.46M,,-2.468M,-97.70M,-135.63M,,,-22.83M,,-25.93M,-25.93M,,-37.10M,,10.99M,-74.86M,523.03M,37.65M,3.206M,563.89M,,,,-25.93M,,
2003-06,203.83M,,,,32.53M,30.33M,-2.279M,28.05M,28.05M,,,,,,77.78M,,4.131M,169.65M,-121.35M,-94.09M,,36.11M,300.53M,-31.12M,,-31.12M,,6.628M,-151.39M,-175.88M,,,114.32M,,,,,-37.52M,,-32.00M,44.80M,354.60M,169.45M,-0.97M,523.03M,,,,,,
2003-03,115.50M,,,,15.30M,29.90M,42.30M,72.20M,72.20M,,,,,,-136.50M,,-65.10M,-613.70M,-18.40M,-33.10M,,-866.80M,-663.80M,-29.00M,,-29.00M,,3.30M,-22.00M,-47.70M,,,441.10M,,,,,-37.20M,,2.70M,406.60M,667.00M,-304.90M,-7.50M,354.60M,,,,,,
2002-12,201.47M,,,,19.24M,30.02M,24.00M,54.02M,54.02M,,,,,,-105.35M,,104.85M,626.61M,80.02M,252.42M,,958.54M,1.233B,-25.92M,,-25.92M,,7.806M,-243.83M,-261.94M,,,-583.54M,,-2.845M,-2.845M,,-37.45M,,-30.44M,-654.28M,357.65M,317.06M,-7.754M,666.95M,,,,-2.845M,,
2002-09,126.10M,,,,18.16M,30.10M,21.60M,51.70M,51.70M,,,,,,314.17M,,-5.113M,-272.36M,29.94M,-102.47M,,-35.84M,160.12M,-29.27M,,-29.27M,,12.44M,-63.58M,-80.41M,,,-105.02M,,0.00,0.00,,-36.99M,,-16.23M,-158.24M,409.97M,-78.53M,26.21M,357.65M,,,,0.00,,
2002-06,187.32M,,,,24.00M,29.62M,20.36M,49.98M,49.98M,,,,,,-127.40M,,8.535M,376.52M,23.36M,-176.92M,,104.10M,365.39M,-29.74M,,-29.74M,,2.317M,-172.05M,-199.47M,,,-212.31M,,-0.039M,-0.039M,,-37.15M,,4.945M,-244.56M,501.71M,-78.64M,-13.10M,409.97M,,,,-0.039M,,
2002-03,128.57M,,,,24.66M,30.24M,18.86M,49.11M,49.11M,,,,,,-33.98M,,-46.15M,-477.74M,-146.92M,-255.74M,,-960.52M,-758.19M,-32.27M,,-32.27M,,-2.153M,-106.89M,-141.31M,,,1.333B,,-368.78M,-368.78M,,-36.81M,,9.666M,937.30M,472.15M,37.80M,-8.238M,501.71M,,,,-368.78M,,
2001-12,164.14M,,,,40.67M,29.63M,34.62M,64.26M,64.26M,,,,,,95.06M,,34.60M,418.24M,103.89M,264.23M,,916.02M,1.185B,-17.91M,,-17.91M,,-27.03M,-261.92M,-306.86M,,,-731.87M,9.25M,0.00,9.25M,,-35.69M,,,-811.78M,421.14M,66.44M,-15.44M,472.15M,9.25M,,,0.00,,
2001-09,92.36M,,,,18.46M,29.06M,38.89M,67.95M,67.95M,1.483M,,,,,66.69M,,-13.02M,-21.86M,-159.17M,-21.23M,81.64M,-66.95M,113.30M,-45.65M,,-45.65M,,301.29M,-556.90M,-301.26M,,,207.13M,20.94M,0.00,20.94M,,-37.59M,,,190.49M,425.24M,2.524M,-6.624M,421.14M,20.94M,,,0.00,,
2001-06,151.37M,,,,32.96M,29.30M,36.61M,65.91M,65.91M,-18.05M,,,,,-347.88M,,-31.42M,535.98M,38.14M,45.60M,-81.64M,158.78M,390.97M,-51.28M,,-51.28M,,-317.12M,83.47M,-284.93M,,,-102.13M,14.19M,0.00,14.19M,,-2.374M,,,-90.31M,420.70M,15.73M,-11.19M,425.24M,14.19M,,,0.00,,
2001-03,95.28M,,,,23.77M,26.67M,33.26M,59.93M,59.93M,16.57M,,,,,410.08M,,-23.19M,-1.021B,-38.14M,-436.87M,,-1.109B,-913.79M,-34.58M,,-34.58M,,63.25M,-83.47M,-54.80M,,,981.58M,21.01M,-60.15M,-39.14M,,-60.03M,,,882.41M,516.82M,-86.18M,-9.927M,420.70M,21.01M,,,-60.15M,,
2000-12,142.21M,,,,107.78M,,,58.65M,58.65M,4.872M,,,,,-137.82M,,,778.83M,22.86M,228.63M,,892.50M,1.176B,-40.54M,,-40.54M,,-872.38M,572.38M,-340.53M,,,-665.55M,-22.79M,-11.21M,-33.99M,,-170.38M,,110.74M,-759.18M,435.04M,76.65M,5.126M,516.82M,-22.79M,,,-11.21M,,
2000-09,85.66M,,,,11.98M,,,57.34M,57.34M,19.34M,,,,,-413.08M,,,-35.79M,141.98M,140.25M,88.38M,-78.27M,96.06M,-40.50M,,-40.50M,,8.632M,-102.94M,-134.81M,,,151.76M,26.98M,-97.66M,-70.68M,,-30.80M,,-15.79M,34.49M,437.81M,-4.259M,1.495M,435.04M,26.98M,,,-97.66M,,
2000-06,127.39M,,,,29.68M,,,57.04M,57.04M,-7.593M,,,,,-231.53M,,,416.54M,-73.26M,85.80M,-88.38M,109.19M,315.70M,-36.16M,,-36.16M,,-26.55M,-353.41M,-416.12M,,,264.50M,28.48M,-41.95M,-13.47M,,24.64M,,-94.95M,180.72M,353.46M,80.30M,4.049M,437.81M,28.48M,,,-41.95M,,
2000-03,143.54M,,,,-95.63M,,,52.64M,52.64M,1.759M,,,,,171.05M,,,-882.29M,-216.44M,-76.87M,,-1.005B,-902.25M,-33.09M,,-33.09M,,6.017M,-116.04M,-143.11M,,,980.84M,17.33M,-86.27M,-68.94M,,-85.79M,,,826.11M,576.43M,-219.24M,-3.72M,353.46M,17.33M,,,-86.27M,,
1999-12,119.90M,,,,6.20M,,,74.70M,74.70M,-43.50M,,,,13.60M,-253.80M,,,1.044B,118.30M,243.40M,,1.152B,1.323B,-737.90M,14.40M,-723.50M,,18.20M,294.70M,-410.60M,,,-715.40M,25.00M,-33.40M,-8.40M,,-26.10M,,123.20M,-626.70M,296.00M,285.70M,-5.30M,576.40M,25.00M,,,-33.40M,,
1999-09,70.30M,,,,25.50M,,,29.00M,29.00M,-4.20M,,,,-0.20M,5.00M,,,-74.70M,-80.90M,82.70M,,-67.90M,52.50M,225.30M,-1.00M,224.30M,,-11.50M,-294.70M,-81.90M,,,102.90M,4.00M,-54.20M,-50.20M,,-26.40M,,-1.30M,25.00M,306.70M,-4.40M,-6.40M,296.00M,4.00M,,,-54.20M,,
1999-06,107.10M,,,,15.80M,,,47.00M,47.00M,13.50M,,,,0.20M,-248.30M,,,282.00M,11.90M,-58.60M,,-13.00M,170.60M,-281.50M,0.40M,-281.10M,,15.90M,108.30M,-156.90M,,,78.50M,60.20M,-126.10M,-65.90M,,-9.80M,,-28.80M,-26.00M,310.70M,-12.30M,8.40M,306.70M,60.20M,,,-126.10M,,
1999-03,65.60M,,,,11.50M,,,45.00M,45.00M,1.10M,,,,-0.10M,-161.20M,,,-465.40M,-39.40M,-102.20M,,-768.20M,-645.10M,-27.20M,0.60M,-26.60M,,16.20M,-108.30M,-118.70M,,,526.60M,13.50M,-72.50M,-59.00M,,-41.60M,,,426.00M,648.80M,-337.80M,-0.30M,310.70M,13.50M,,,-72.50M,,
1998-12,85.20M,,,,4.80M,,,62.30M,62.30M,18.80M,,,,-87.30M,-143.00M,,,813.30M,6.70M,154.90M,,831.90M,915.70M,-622.20M,80.30M,-541.90M,,-17.20M,473.00M,-86.10M,,,-358.70M,-46.80M,-21.00M,-67.80M,,-69.20M,,28.20M,-467.50M,313.20M,362.10M,-26.40M,648.80M,-46.80M,,,-21.00M,,
1998-09,56.00M,,,,26.70M,,,29.00M,29.00M,-0.70M,,,,0.20M,113.90M,,,-311.20M,13.80M,24.80M,,-158.70M,-47.50M,332.50M,-3.40M,329.10M,,3.10M,-473.00M,-140.80M,,,251.40M,17.80M,-56.40M,-38.60M,,-21.00M,,-9.70M,182.10M,0.00,-6.20M,-18.60M,313.20M,17.80M,,,-56.40M,,
1998-06,86.30M,,,,13.80M,,,38.70M,38.70M,2.60M,,,,-2.60M,-249.60M,,,341.00M,8.70M,-4.80M,,95.30M,234.10M,-385.50M,3.40M,-382.10M,,277.10M,,-105.00M,,,-23.90M,29.10M,-52.80M,-23.70M,,-16.50M,,-18.70M,-82.80M,0.00,46.30M,8.40M,0.00,29.10M,,,-52.80M,,
