,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,WorkinProcessInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2007-03,1.028B,36.70M,1.065B,6.371B,,6.371B,,,1.176B,,8.612B,,,1.633B,-998.80M,634.10M,6.895B,138.70M,7.034B,,404.50M,460.00M,8.533B,17.14B,6.491B,,6.491B,173.60M,6.664B,,,13.00M,13.00M,1.112B,1.112B,1.654B,9.444B,3.055B,,3.055B,445.50M,445.50M,201.00M,,358.10M,3.858B,13.30B,29.80M,4.432B,1.668B,2.775B,286.40M,3.642B
2006-12,1.740B,189.30M,1.929B,6.628B,,6.628B,,,1.089B,,9.646B,,,1.632B,-992.60M,639.80M,6.852B,143.20M,6.995B,,49.40M,474.20M,8.158B,17.80B,7.333B,,7.333B,215.80M,7.548B,,,11.60M,11.60M,1.118B,1.118B,1.619B,10.30B,3.055B,,3.055B,78.00M,78.00M,198.80M,,305.80M,3.438B,13.73B,29.80M,4.290B,1.662B,2.378B,267.90M,3.871B
2006-09,808.30M,40.50M,848.80M,6.117B,,6.117B,,,1.051B,,8.017B,,,1.590B,-972.10M,617.60M,6.821B,116.30M,6.937B,,290.10M,464.10M,8.309B,16.33B,6.117B,,6.117B,127.40M,6.244B,,,12.50M,12.50M,1.014B,1.014B,1.347B,8.618B,3.055B,,3.055B,509.60M,509.60M,180.40M,,275.80M,3.841B,12.46B,29.80M,4.055B,1.657B,2.261B,205.80M,3.687B
2006-06,1.092B,43.20M,1.135B,6.025B,,6.025B,,,1.035B,,8.196B,,,1.568B,-950.20M,617.90M,6.787B,116.50M,6.904B,,298.20M,438.00M,8.258B,16.45B,7.236B,,7.236B,143.00M,7.379B,,,17.30M,17.30M,,,1.235B,8.631B,3.220B,,3.220B,507.40M,507.40M,188.80M,,272.20M,4.00B,12.63B,29.80M,3.921B,1.639B,2.150B,195.00M,3.634B
2006-03,1.823B,38.80M,1.862B,5.753B,,5.753B,,,1.009B,,8.623B,,,1.503B,-897.00M,606.00M,6.579B,117.70M,6.696B,,308.80M,426.30M,8.037B,16.66B,7.034B,,7.034B,175.20M,7.209B,,,22.40M,22.40M,,,1.368B,8.600B,3.352B,,3.352B,462.70M,462.70M,178.80M,,297.20M,4.112B,12.71B,29.80M,3.72B,1.685B,1.745B,79.80M,3.770B
2005-12,835.80M,374.10M,1.210B,5.366B,542.00M,5.908B,,,849.40M,,7.967B,,,1.482B,-873.10M,608.70M,,6.614B,6.614B,,309.80M,419.50M,7.952B,15.92B,6.219B,,6.219B,196.30M,6.415B,,,924.80M,924.80M,,,1.360B,8.700B,2.358B,,2.358B,442.70M,442.70M,173.00M,,298.40M,3.099B,11.80B,29.80M,3.599B,1.675B,1.416B,59.80M,3.948B
2005-09,395.60M,14.40M,410.00M,4.996B,650.30M,5.646B,,,905.20M,,6.961B,,,1.478B,-878.60M,599.80M,,6.558B,6.558B,,292.60M,421.40M,7.872B,14.83B,5.326B,,5.326B,133.70M,5.460B,,,214.60M,214.60M,,,2.069B,7.743B,2.358B,,2.358B,421.30M,421.30M,181.80M,,293.20M,3.073B,10.82B,29.80M,3.391B,1.824B,1.357B,-51.70M,3.836B
2005-06,343.50M,21.60M,365.10M,5.017B,647.30M,5.664B,,,894.20M,,6.923B,,,1.473B,-870.20M,602.50M,,6.470B,6.470B,,286.30M,431.90M,7.791B,14.71B,5.394B,,5.394B,148.30M,5.543B,,,132.80M,132.80M,,,2.038B,7.713B,2.358B,,2.358B,370.70M,370.70M,177.60M,,287.20M,3.016B,10.73B,29.80M,3.270B,1.821B,1.251B,-61.70M,3.808B
2005-03,588.10M,17.30M,605.40M,5.007B,618.70M,5.626B,,,986.30M,,7.218B,,,1.508B,-890.60M,617.10M,,6.483B,6.483B,,300.80M,430.60M,7.832B,15.05B,5.376B,,5.376B,190.50M,5.566B,,,211.50M,211.50M,,,2.266B,8.044B,2.358B,,2.358B,323.00M,323.00M,190.50M,,281.60M,2.963B,11.01B,29.80M,3.085B,1.816B,1.150B,71.50M,3.852B
2004-12,1.166B,574.00M,1.740B,4.917B,536.60M,5.453B,,,902.20M,,8.095B,,,1.546B,-909.80M,636.40M,,6.521B,6.521B,,303.40M,446.10M,7.907B,16.00B,6.012B,,6.012B,217.00M,6.228B,,,226.70M,226.70M,,,2.289B,8.744B,2.358B,,2.358B,317.40M,317.40M,194.90M,,309.10M,2.985B,11.73B,29.80M,2.975B,1.824B,840.60M,89.60M,4.079B
2004-09,429.10M,24.20M,453.30M,4.514B,,4.514B,,,875.80M,653.90M,6.497B,,,1.468B,-867.10M,601.30M,,6.267B,6.267B,,264.30M,499.20M,7.632B,14.13B,4.926B,,4.926B,139.50M,5.066B,,,225.60M,225.60M,,,2.042B,7.334B,2.359B,,2.359B,296.20M,296.20M,320.90M,,174.70M,2.83B,10.16B,29.80M,2.781B,1.817B,904.80M,-78.10M,3.645B
2004-06,658.20M,20.20M,678.40M,4.736B,,4.736B,,,868.20M,602.30M,6.885B,,,1.452B,-844.20M,607.70M,,6.166B,6.166B,,260.60M,497.70M,7.532B,14.42B,5.327B,,5.327B,136.80M,5.464B,,,231.90M,231.90M,,,1.944B,7.64B,2.359B,,2.359B,269.80M,269.80M,177.60M,,319.90M,2.949B,10.59B,29.80M,2.677B,1.819B,759.50M,-115.60M,3.651B
2004-03,519.30M,25.00M,544.30M,4.723B,,4.723B,,,806.20M,546.60M,6.62B,,,1.462B,-842.40M,619.20M,,6.049B,6.049B,,256.50M,493.60M,7.418B,14.04B,4.977B,,4.977B,131.60M,5.109B,,,66.90M,66.90M,,,1.947B,7.123B,2.548B,,2.548B,234.80M,234.80M,180.70M,,332.60M,3.115B,10.24B,29.80M,2.513B,1.809B,682.70M,-49.20M,3.620B
2003-12,1.529B,20.20M,1.549B,4.53B,,4.53B,,,766.60M,440.40M,7.286B,,,1.414B,-817.10M,596.80M,,6.008B,6.008B,,264.60M,465.10M,7.334B,14.62B,5.513B,,5.513B,221.70M,5.735B,,,54.80M,54.80M,,,1.973B,7.762B,2.537B,,2.537B,204.10M,204.10M,187.30M,,342.90M,3.084B,10.85B,29.80M,2.419B,1.816B,571.20M,-106.70M,3.587B
2003-09,563.89M,23.82M,587.71M,4.035B,,4.035B,,,695.85M,596.82M,5.915B,,,1.382B,-809.82M,572.38M,,5.670B,5.670B,,42.22M,480.70M,6.765B,12.68B,4.469B,,4.469B,1.281B,5.749B,,,64.68M,64.68M,,,707.37M,6.521B,2.524B,,2.524B,,,189.06M,,328.52M,2.853B,9.374B,29.79M,2.457B,1.382B,601.38M,-149.96M,3.117B
2003-06,523.03M,20.55M,543.58M,4.177B,,4.177B,,,679.26M,519.68M,5.919B,,,1.340B,-770.45M,569.11M,,5.562B,5.562B,,54.41M,484.85M,6.671B,12.59B,4.543B,,4.543B,1.263B,5.806B,,,85.29M,85.29M,,,678.55M,6.570B,184.43M,,184.43M,,,183.99M,,2.666B,2.851B,9.420B,29.79M,2.359B,1.384B,608.87M,-178.74M,2.986B
2003-03,354.56M,26.08M,380.65M,4.027B,,4.027B,,,673.75M,492.02M,5.574B,,,1.291B,-731.29M,559.37M,,5.003B,5.003B,,45.59M,632.86M,6.241B,11.82B,4.260B,,4.260B,1.221B,5.481B,,,101.98M,101.98M,,,670.82M,6.254B,2.380B,,2.380B,,,179.05M,,303.69M,2.684B,8.938B,29.79M,2.206B,1.415B,692.00M,-260.90M,2.698B
2002-12,666.95M,28.93M,695.88M,3.967B,,3.967B,,,602.82M,371.82M,5.637B,,,1.275B,-717.29M,557.74M,,4.949B,4.949B,,166.82M,633.90M,6.307B,11.94B,4.834B,,4.834B,1.272B,6.105B,,,85.65M,85.65M,,,648.58M,6.840B,1.945B,,1.945B,124.28M,124.28M,172.82M,,293.64M,2.363B,9.202B,29.79M,2.115B,1.420B,704.78M,-290.50M,2.569B
2002-09,357.65M,34.99M,392.64M,3.705B,,3.705B,,,683.25M,533.28M,5.314B,,,1.223B,-675.79M,547.03M,4.372B,94.79M,4.467B,,93.94M,800.04M,5.908B,11.22B,4.062B,,4.062B,1.182B,5.244B,,,126.33M,126.33M,,,557.21M,5.927B,2.509B,,2.509B,,,171.17M,,306.88M,2.816B,8.743B,29.80M,1.951B,1.436B,731.97M,-376.60M,2.308B
2002-06,409.97M,44.42M,454.39M,4.055B,,4.055B,,,680.15M,499.64M,5.690B,,,1.231B,-673.47M,557.90M,4.291B,89.73M,4.381B,,90.75M,856.86M,5.886B,11.58B,4.362B,,4.362B,1.252B,5.614B,,,165.77M,165.77M,,,549.01M,6.329B,2.556B,,2.556B,,,182.26M,,301.92M,2.858B,9.187B,29.80M,1.861B,1.438B,737.63M,-384.88M,2.207B
2002-03,501.71M,47.81M,549.52M,3.752B,,3.752B,,,655.12M,487.53M,5.444B,,,1.184B,-627.06M,556.81M,,4.030B,4.030B,,95.51M,842.14M,5.525B,10.97B,3.820B,,3.820B,1.296B,5.115B,,,282.45M,282.45M,,,598.07M,5.996B,2.610B,,2.610B,,,160.80M,,287.78M,2.898B,8.893B,29.80M,1.711B,1.407B,796.60M,-436.81M,1.915B
2001-12,472.15M,44.85M,517.00M,3.721B,,3.721B,,,613.28M,382.75M,5.234B,,,1.150B,-611.76M,537.96M,,3.953B,3.953B,,100.42M,792.37M,5.384B,10.62B,4.303B,,4.303B,1.490B,5.794B,,,209.50M,209.50M,,,640.75M,6.644B,1.340B,,1.340B,,,158.12M,,296.98M,1.637B,8.281B,29.80M,1.620B,1.400B,450.29M,-421.10M,2.178B
2001-09,421.14M,27.55M,448.70M,3.732B,415.64M,4.148B,,,608.52M,,5.205B,1.180B,,1.180B,-625.11M,554.65M,,3.457B,3.457B,,105.92M,1.038B,5.156B,10.36B,3.799B,,3.799B,1.208B,5.007B,,,109.49M,109.49M,,,546.20M,5.663B,2.340B,,2.340B,,,176.33M,,372.02M,2.712B,8.375B,29.12M,1.492B,1.156B,477.15M,-391.29M,1.809B
2001-06,425.24M,31.94M,457.18M,3.659B,441.17M,4.101B,,,577.49M,,5.135B,1.106B,,1.106B,-583.16M,522.68M,,3.128B,3.128B,,64.85M,974.40M,4.690B,9.826B,3.746B,,3.746B,1.172B,4.918B,124.41M,,124.41M,124.41M,488.51M,488.51M,37.05M,5.568B,2.100B,,2.100B,,,154.35M,,333.81M,2.434B,8.002B,29.12M,1.437B,1.148B,494.85M,-450.27M,1.669B
2001-03,420.70M,37.47M,458.17M,3.355B,434.42M,3.790B,,,547.17M,,4.795B,1.041B,,1.041B,-558.20M,482.32M,,2.917B,2.917B,,108.06M,925.22M,4.432B,9.227B,3.228B,,3.228B,1.179B,4.406B,174.48M,,174.48M,174.48M,518.96M,518.96M,32.25M,5.132B,2.134B,,2.134B,32.70M,32.70M,119.03M,,297.89M,2.464B,7.597B,29.12M,1.322B,1.120B,541.49M,-418.08M,1.512B
2000-12,516.82M,59.72M,576.54M,3.857B,,3.857B,,,,933.16M,5.367B,1.040B,,1.040B,-557.21M,483.10M,,2.949B,2.949B,,98.40M,956.49M,4.487B,9.854B,4.351B,,4.351B,1.510B,5.861B,102.12M,,102.12M,102.12M,630.50M,630.50M,31.06M,6.625B,1.245B,,1.245B,,,137.87M,,296.92M,1.542B,8.167B,29.12M,1.259B,1.166B,553.42M,-351.86M,1.548B
2000-09,435.04M,48.11M,483.15M,,,3.984B,,,,583.88M,5.051B,,,1.005B,-544.50M,460.23M,,2.699B,2.699B,,,1.143B,4.302B,9.353B,3.461B,,3.461B,,3.461B,,,320.11M,320.11M,,,1.965B,5.746B,1.888B,,1.888B,55.74M,55.74M,120.44M,,289.15M,2.233B,7.979B,28.08M,1.147B,946.23M,573.58M,-294.50M,1.253B
2000-06,437.81M,50.20M,488.01M,,,3.366B,,,,1.059B,4.913B,,,995.80M,-541.50M,454.30M,,2.675B,2.675B,,,1.337B,4.466B,9.379B,3.572B,,3.572B,,3.572B,,,438.77M,438.77M,,,1.793B,5.804B,1.635B,,1.635B,135.37M,135.37M,120.77M,,300.39M,2.071B,7.875B,93.54M,1.092B,850.35M,483.88M,-168.14M,1.384B
2000-03,353.46M,39.42M,392.88M,,,3.562B,,,,565.03M,4.520B,,,991.48M,-542.91M,448.57M,,2.491B,2.491B,,,1.343B,4.283B,8.803B,3.182B,,3.182B,,3.182B,,,261.68M,261.68M,,,1.638B,5.082B,1.550B,,1.550B,237.29M,237.29M,121.36M,,311.12M,2.099B,7.181B,93.54M,995.08M,807.78M,498.97M,103.63M,1.501B
1999-12,576.40M,24.50M,600.90M,,,3.658B,,,,453.90M,4.712B,,,967.00M,-522.30M,444.70M,,2.428B,2.428B,,,1.432B,4.305B,9.018B,4.113B,,4.113B,,4.113B,,,130.40M,130.40M,,,1.766B,6.009B,711.60M,,711.60M,320.20M,320.20M,123.10M,,300.70M,1.332B,7.342B,93.50M,882.10M,808.20M,430.20M,199.30M,1.553B
1999-09,296.00M,41.10M,337.10M,,,2.999B,,,,898.70M,4.235B,,,896.70M,-506.40M,390.30M,,2.214B,2.214B,,,622.20M,3.227B,7.462B,3.056B,,3.056B,,3.056B,,,395.60M,395.60M,,,1.451B,4.902B,1.154B,,1.154B,,,97.10M,,248.20M,1.402B,6.304B,93.50M,792.80M,788.60M,420.10M,-194.60M,1.060B
1999-06,306.70M,,306.70M,,,3.266B,,,,515.00M,4.087B,,,858.60M,-478.00M,380.60M,,2.134B,2.134B,,,624.10M,3.139B,7.227B,3.075B,,3.075B,,3.075B,,,279.60M,279.60M,,,1.383B,4.738B,1.148B,,1.148B,,,77.20M,,231.10M,1.379B,6.117B,,748.70M,,,,1.032B
1999-03,310.70M,,310.70M,,,3.041B,,,,526.00M,3.877B,,,833.60M,-459.60M,374.00M,,2.049B,2.049B,,,609.60M,3.033B,6.910B,2.824B,,2.824B,,2.824B,,,253.60M,253.60M,,,1.395B,4.473B,1.111B,,1.111B,,,75.90M,,237.10M,1.348B,5.820B,,667.90M,,,,1.014B
1998-12,648.80M,68.60M,717.40M,,,2.947B,,,,448.50M,4.112B,,,820.30M,-444.70M,375.60M,,2.073B,2.073B,,,560.90M,3.010B,7.122B,3.366B,,3.366B,,3.366B,,,139.90M,139.90M,,,1.49B,4.996B,717.40M,,717.40M,2.60M,2.60M,90.80M,,270.00M,990.00M,5.986B,93.30M,628.70M,720.30M,244.10M,-152.90M,1.046B
1998-09,313.20M,,313.20M,,,2.574B,,,,462.60M,3.350B,,,690.50M,-389.00M,301.50M,,1.927B,1.927B,,,645.90M,2.875B,6.224B,2.405B,,2.405B,,2.405B,,,123.20M,123.20M,,,1.238B,3.766B,1.068B,,1.068B,,,77.30M,,245.70M,1.314B,5.080B,,680.80M,,,,1.067B
1998-06,337.90M,,337.90M,,,2.653B,,,,460.20M,3.451B,,,671.20M,-364.50M,306.70M,,1.850B,1.850B,,,543.10M,2.700B,6.151B,2.648B,,2.648B,,2.648B,,,96.80M,96.80M,,,1.186B,3.930B,837.90M,,837.90M,,,71.50M,,232.20M,1.070B,5.000B,,647.80M,,,,1.079B
