,NetIncome,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2004-12,49.00M,,,-137.00M,,65.00M,-61.00M,,174.00M,-160.00M,164.00M,68.00M,-117.00M,327.00M,,282.00M,,372.00M,,-148.00M,4.00M,-144.00M,,153.00M,-13.00M,-4.00M,,,,-94.00M,,,,,,,,9.00M,-18.00M,176.00M,,299.00M,544.00M,-174.00M,669.00M,,,,,,,601.00M,,,
2004-09,59.00M,,,58.00M,,114.00M,17.00M,,,128.00M,-354.00M,-43.00M,-37.00M,-220.00M,,-526.00M,,-278.00M,,-140.00M,149.00M,9.00M,,-69.00M,75.00M,15.00M,,,,87.00M,,,,,,,,-9.00M,-21.00M,57.00M,,504.00M,-206.00M,175.00M,299.00M,,,,,,,-246.00M,,,
2004-06,19.00M,,,-35.00M,,108.00M,44.00M,,-174.00M,223.00M,-285.00M,104.00M,41.00M,91.00M,-70.00M,104.00M,,66.00M,,-124.00M,61.00M,-63.00M,,-142.00M,-33.00M,-238.00M,,,,-10.00M,,,,,,,,3.00M,,-7.00M,,501.00M,-179.00M,8.00M,504.00M,,,,,,,246.00M,,,
2004-03,-6.00M,,,129.00M,,144.00M,,,174.00M,-335.00M,366.00M,-43.00M,-4.00M,-83.00M,70.00M,-29.00M,,412.00M,,-113.00M,5.00M,-108.00M,,-50.00M,-7.00M,-165.00M,,,,-266.00M,,,,,,,,-3.00M,,-269.00M,,532.00M,-22.00M,-9.00M,501.00M,,,,,,,,,,
2003-12,8.00M,,,-300.00M,,154.00M,-56.00M,,,-127.00M,66.00M,-100.00M,,206.00M,-102.00M,-57.00M,,-251.00M,,-179.00M,91.00M,-88.00M,,,-41.00M,-129.00M,,,,-34.00M,43.00M,220.00M,263.00M,,,,,,17.00M,246.00M,,669.00M,-134.00M,-3.00M,532.00M,,43.00M,,,220.00M,0.00,159.00M,,,
2003-09,-69.00M,,,-108.00M,,90.00M,-113.00M,,,396.00M,-352.00M,118.00M,,-206.00M,97.00M,53.00M,,-147.00M,,-95.00M,122.00M,27.00M,,,13.00M,40.00M,,,,-150.00M,229.00M,-220.00M,9.00M,,,,,,,-141.00M,,917.00M,-248.00M,0.00,669.00M,,229.00M,,,-220.00M,0.00,172.00M,,,
2003-06,-65.00M,,,49.00M,,90.00M,169.00M,,,67.00M,-243.00M,-258.00M,,,-77.00M,-511.00M,,-268.00M,,-105.00M,629.00M,524.00M,,,-171.00M,353.00M,,,,173.00M,,,,,,,,,2.00M,175.00M,,656.00M,260.00M,1.00M,917.00M,,,,,,33.00M,114.00M,,,
2003-03,82.00M,,,8.00M,,128.00M,,,,-136.00M,241.00M,-40.00M,,,132.00M,197.00M,,415.00M,,-156.00M,97.00M,-59.00M,,,-2.00M,-61.00M,,,,-48.00M,,,,,,,,,-2.00M,-50.00M,,351.00M,304.00M,1.00M,656.00M,,,,,,,119.00M,,,
2002-12,-655.00M,,,950.00M,,151.00M,294.00M,,,-207.00M,187.00M,82.00M,,,-394.00M,-332.00M,-127.00M,281.00M,,-209.00M,126.00M,-83.00M,,,28.00M,-55.00M,,,,-148.00M,-362.00M,323.00M,-39.00M,,,,,-25.00M,-3.00M,-215.00M,,332.00M,11.00M,,351.00M,,-362.00M,,,323.00M,175.00M,83.00M,,,
2002-09,37.00M,,,-234.00M,,116.00M,31.00M,,,167.00M,-146.00M,-268.00M,,,91.00M,-156.00M,127.00M,-79.00M,,-181.00M,247.00M,66.00M,,,-37.00M,29.00M,,,,205.00M,301.00M,-330.00M,-29.00M,,,,,-27.00M,15.00M,164.00M,,222.00M,114.00M,,332.00M,,301.00M,,,-330.00M,0.00,141.00M,,,
2002-06,-431.00M,,,574.00M,,78.00M,-294.00M,,,-111.00M,-80.00M,224.00M,,54.00M,146.00M,233.00M,,160.00M,,-165.00M,408.00M,243.00M,,,-17.00M,226.00M,,,,-248.00M,32.00M,-1.00M,31.00M,,,,,-19.00M,-26.00M,-262.00M,,160.00M,124.00M,,222.00M,,32.00M,,,-1.00M,0.00,46.00M,,,
2002-03,399.00M,,,-538.00M,,140.00M,-31.00M,,,250.00M,179.00M,-86.00M,,-54.00M,-7.00M,282.00M,,252.00M,,-192.00M,878.00M,686.00M,,,-57.00M,629.00M,,,,-858.00M,29.00M,,29.00M,,,,,-78.00M,-3.00M,-910.00M,,189.00M,-29.00M,,160.00M,,29.00M,,,,42.00M,139.00M,,,
2001-12,-138.00M,,,163.00M,,154.00M,30.00M,,,-112.00M,12.00M,240.00M,,,68.00M,-38.00M,,171.00M,,-327.00M,110.00M,-217.00M,,,85.00M,-132.00M,,,,-19.00M,9.00M,-1.00M,8.00M,,,,,-54.00M,2.00M,-63.00M,,213.00M,-24.00M,,189.00M,,9.00M,,,-1.00M,54.00M,127.00M,,,
2001-09,-569.00M,,,723.00M,,101.00M,-129.00M,,163.00M,2.706B,-262.00M,-2.824B,,,9.00M,-371.00M,,-82.00M,,-334.00M,-99.00M,-433.00M,,,98.00M,-335.00M,,,,485.00M,6.00M,-5.00M,1.00M,,,,,-41.00M,9.00M,454.00M,,176.00M,37.00M,,213.00M,,6.00M,,,-5.00M,0.00,212.00M,,,
2001-06,53.00M,,,68.00M,,107.00M,68.00M,,-147.00M,-1.848B,-228.00M,1.803B,,,91.00M,-182.00M,,-33.00M,,-328.00M,99.00M,-229.00M,,,-98.00M,-327.00M,,,,226.00M,133.00M,,133.00M,,,,,-49.00M,4.00M,314.00M,,222.00M,-46.00M,,176.00M,,133.00M,,,,0.00,72.00M,,,
2001-03,109.00M,,,-26.00M,,162.00M,31.00M,,-16.00M,-678.00M,125.00M,687.00M,,,-33.00M,101.00M,,361.00M,,-273.00M,,-273.00M,,,-59.00M,-332.00M,,,,-257.00M,316.00M,,316.00M,,,,,-45.00M,-3.00M,11.00M,,182.00M,40.00M,,222.00M,,316.00M,,,,6.00M,166.00M,,,
2000-12,-180.00M,,,363.00M,,142.00M,2.00M,,,194.00M,89.00M,-273.00M,,-127.00M,80.00M,-37.00M,,290.00M,,-300.00M,46.00M,-254.00M,0.00,-344.00M,103.00M,-495.00M,,,,-295.00M,329.00M,-16.00M,313.00M,,,,,-45.00M,133.00M,106.00M,,281.00M,-99.00M,,182.00M,,329.00M,,,-16.00M,,563.00M,,,
2000-09,62.00M,,,-61.00M,,177.00M,35.00M,,20.00M,-504.00M,-160.00M,481.00M,,27.00M,-95.00M,-251.00M,,-18.00M,,-191.00M,9.00M,-182.00M,0.00,,-153.00M,-335.00M,,,,466.00M,220.00M,-250.00M,-30.00M,,,,,-40.00M,-2.00M,394.00M,,240.00M,41.00M,,281.00M,,220.00M,,,-250.00M,-24.00M,-258.00M,,,
2000-06,79.00M,,,-124.00M,,135.00M,31.00M,,-20.00M,-122.00M,-137.00M,148.00M,,,77.00M,-34.00M,,67.00M,,-332.00M,269.00M,-63.00M,0.00,31.00M,21.00M,-11.00M,,,,41.00M,0.00,-27.00M,-27.00M,,,,,-40.00M,2.00M,-24.00M,,208.00M,32.00M,,240.00M,,0.00,,,-27.00M,24.00M,96.00M,,,
2000-03,75.00M,,,-35.00M,,183.00M,-68.00M,,,34.00M,154.00M,-175.00M,,,-54.00M,-41.00M,,114.00M,,-209.00M,305.00M,96.00M,-74.00M,-31.00M,-17.00M,-26.00M,,,,129.00M,3.00M,-102.00M,-99.00M,,,,,-42.00M,,-12.00M,,132.00M,76.00M,,208.00M,,3.00M,,,-102.00M,,162.00M,,,
1999-12,21.00M,,,101.00M,,130.00M,-6.00M,,,-76.00M,109.00M,89.00M,,,94.00M,231.00M,,477.00M,,-645.00M,-28.00M,-673.00M,-39.00M,,-134.00M,-846.00M,,,,81.00M,187.00M,0.00,187.00M,,,,,-1.00M,,267.00M,,234.00M,-102.00M,,132.00M,,187.00M,,,0.00,59.00M,424.00M,,,
1999-09,83.00M,,,-51.00M,,151.00M,-27.00M,,,-192.00M,-114.00M,211.00M,,,-61.00M,-156.00M,,0.00,,-188.00M,12.00M,-176.00M,0.00,258.00M,-359.00M,-277.00M,,,,-189.00M,572.00M,0.00,572.00M,,,,,-85.00M,,298.00M,,213.00M,21.00M,,234.00M,,572.00M,,,0.00,-41.00M,-186.00M,,,
1999-06,75.00M,,,-29.00M,,155.00M,45.00M,,,,,,,,-127.00M,-127.00M,,119.00M,,-134.00M,16.00M,-118.00M,0.00,-56.00M,-32.00M,-206.00M,,,,403.00M,24.00M,-192.00M,-168.00M,,,,,-39.00M,,196.00M,,104.00M,109.00M,,213.00M,,24.00M,,,-192.00M,41.00M,186.00M,,,
1999-03,98.00M,,,-28.00M,,159.00M,-2.00M,,,,,,,,94.00M,94.00M,,321.00M,,-157.00M,,-157.00M,-1.899B,-202.00M,23.00M,-2.235B,,,,1.93B,27.00M,-2.00M,25.00M,,,,,-38.00M,,1.917B,,101.00M,3.00M,,104.00M,,27.00M,,,-2.00M,,,,,
1998-12,51.00M,,,-58.00M,,,-7.00M,,-376.00M,,,,,,-15.00M,-15.00M,,130.00M,,-847.00M,1.00M,-846.00M,,-64.00M,-34.00M,-944.00M,,,,635.00M,220.00M,,217.00M,,,,,-38.00M,,814.00M,,101.00M,0.00,,101.00M,,220.00M,,,,,,,,
1998-09,81.00M,,,-27.00M,,,-23.00M,,112.00M,,,,,,-66.00M,-66.00M,,77.00M,,-159.00M,-12.00M,-171.00M,,-94.00M,42.00M,-223.00M,,,,34.00M,19.00M,,19.00M,,,,,-36.00M,,17.00M,,230.00M,-129.00M,,101.00M,,19.00M,,,,,,,,
1998-06,65.00M,,,-18.00M,,,92.00M,,125.00M,,,,,,-198.00M,-198.00M,,66.00M,,-165.00M,40.00M,-125.00M,,-62.00M,-38.00M,-225.00M,,,,340.00M,10.00M,,10.00M,,,,,-33.00M,,317.00M,,72.00M,158.00M,,230.00M,,10.00M,,,,,,,,
1998-03,45.00M,,,-26.00M,,,-8.00M,,139.00M,,,,,,93.00M,93.00M,,243.00M,,-124.00M,28.00M,-96.00M,,-125.00M,-21.00M,-242.00M,,,,15.00M,20.00M,,20.00M,,,,,-33.00M,,2.00M,,69.00M,3.00M,,72.00M,,20.00M,,,,,,,,
1997-12,59.00M,,,-30.00M,,,13.00M,,133.00M,,,,,,115.00M,115.00M,,290.00M,,-169.00M,3.00M,-166.00M,,-205.00M,-39.00M,-410.00M,,,,-79.00M,164.00M,0.00,164.00M,,,,,-32.00M,,53.00M,,136.00M,-67.00M,,69.00M,,164.00M,,,0.00,,,,,
1997-09,60.00M,,,-39.00M,,,-5.00M,,122.00M,,,,,,-162.00M,-162.00M,,-24.00M,,-167.00M,33.00M,-134.00M,,-67.00M,-28.00M,-229.00M,,,,346.00M,143.00M,-122.00M,21.00M,,,,,-31.00M,,336.00M,,53.00M,83.00M,,136.00M,,143.00M,,,-122.00M,,,,,
1997-06,41.00M,,,-20.00M,,,13.00M,,117.00M,,,,,,-172.00M,-172.00M,,-21.00M,,-210.00M,0.00,-210.00M,,-533.00M,-12.00M,-755.00M,,,,612.00M,186.00M,,186.00M,,,,,-28.00M,,770.00M,,57.00M,-6.00M,,53.00M,,186.00M,,,,,,,,
1997-03,84.00M,,,-31.00M,,,3.00M,,139.00M,,,,,,184.00M,184.00M,,379.00M,,-132.00M,13.00M,-119.00M,,-25.00M,-13.00M,-157.00M,,,,-210.00M,17.00M,,17.00M,,,,,-28.00M,,-221.00M,,56.00M,1.00M,,57.00M,,17.00M,,,,,,,,
1996-12,28.00M,,,-23.00M,,,21.00M,,143.00M,,,,,,-28.00M,-28.00M,,141.00M,,-229.00M,45.00M,-184.00M,0.00,-28.00M,-7.00M,-219.00M,,,,41.00M,66.00M,0.00,66.00M,,,,,-28.00M,,79.00M,,55.00M,1.00M,,56.00M,,66.00M,,,0.00,,,,,
1996-09,58.00M,,,-21.00M,,,8.00M,,110.00M,,,,,,-121.00M,-121.00M,,34.00M,,-179.00M,19.00M,-160.00M,0.00,-27.00M,-5.00M,-192.00M,,,,168.00M,13.00M,-1.00M,12.00M,,,,,-27.00M,,153.00M,,60.00M,-5.00M,,55.00M,,13.00M,,,-1.00M,,,,,
1996-06,50.00M,,,-29.00M,,,11.00M,,112.00M,,,,,,-7.00M,-7.00M,,137.00M,,-141.00M,15.00M,-126.00M,0.00,-73.00M,-6.00M,-205.00M,,,,102.00M,8.00M,,8.00M,,,,,-24.00M,,86.00M,,42.00M,18.00M,,60.00M,,8.00M,,,,,,,,
1996-03,88.00M,,,-22.00M,,,6.00M,,133.00M,,,,,,144.00M,144.00M,,349.00M,,-110.00M,,-110.00M,-20.00M,-84.00M,-11.00M,-225.00M,,,,-219.00M,105.00M,,105.00M,,,,,-24.00M,,-138.00M,,56.00M,-14.00M,,42.00M,,105.00M,,,,,,,,
1995-12,38.00M,,,-40.00M,,,10.00M,,125.00M,,,,,,160.00M,160.00M,,293.00M,,-8.00M,21.00M,13.00M,,-81.00M,-22.00M,-236.00M,,,,-26.00M,12.00M,0.00,12.00M,,,,,-24.00M,,-38.00M,,37.00M,19.00M,,56.00M,,12.00M,,,0.00,,,,,
1995-09,47.00M,,,-40.00M,,,8.00M,,111.00M,,,,,,-118.00M,-118.00M,,8.00M,,-91.00M,0.00,-91.00M,,-168.00M,-13.00M,-272.00M,,,,171.00M,109.00M,-1.00M,108.00M,,,,,-23.00M,,256.00M,,45.00M,-8.00M,,37.00M,,109.00M,,,-1.00M,,,,,
1995-06,33.00M,,,-39.00M,,,28.00M,,109.00M,,,,,,-56.00M,-56.00M,,75.00M,,-149.00M,1.00M,-148.00M,,-20.00M,-14.00M,-182.00M,,,,117.00M,6.00M,,6.00M,,,,,-19.00M,,104.00M,,48.00M,-3.00M,,45.00M,,6.00M,,,,,,,,
1995-03,86.00M,,,-44.00M,,,29.00M,,132.00M,,,,,,103.00M,103.00M,,306.00M,,-287.00M,,-287.00M,,-24.00M,-15.00M,-326.00M,,,,-26.00M,33.00M,,33.00M,,,,,-18.00M,,-11.00M,,79.00M,-31.00M,,48.00M,,33.00M,,,,,,,,
1994-12,31.00M,,,-51.00M,,,-5.00M,,158.00M,,,,,,55.00M,55.00M,,188.00M,,-160.00M,10.00M,-150.00M,,-25.00M,-17.00M,-192.00M,,,,69.00M,6.00M,0.00,6.00M,,,,,-18.00M,,57.00M,,26.00M,53.00M,,79.00M,,6.00M,,,0.00,,,,,
1994-09,40.00M,,,-7.00M,,,12.00M,,85.00M,,,,,,-150.00M,-150.00M,,-20.00M,,-147.00M,9.00M,-138.00M,,-29.00M,-14.00M,-181.00M,,,,194.00M,7.00M,-1.00M,6.00M,,,,,-18.00M,,182.00M,,45.00M,-19.00M,,26.00M,,7.00M,,,-1.00M,,,,,
1994-06,30.00M,,,-5.00M,,,32.00M,,79.00M,,,,,,-72.00M,-72.00M,,64.00M,,-154.00M,1.00M,-153.00M,,-13.00M,-14.00M,-180.00M,,,,130.00M,4.00M,0.00,4.00M,,,,,-16.00M,,118.00M,,70.00M,2.00M,,45.00M,,4.00M,,,0.00,,,,,
1994-03,78.00M,,,-2.00M,,,17.00M,,108.00M,,,,,,179.00M,179.00M,,380.00M,,-114.00M,,-114.00M,,-35.00M,-7.00M,-156.00M,,,,-399.00M,206.00M,-1.00M,205.00M,,,,,-15.00M,,-209.00M,,55.00M,15.00M,,70.00M,,206.00M,,,-1.00M,,,,,
