,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2003-06,470.90M,,,0.00,270.50M,270.50M,52.70M,,,-0.80M,,-107.40M,-107.40M,,685.90M,,-294.50M,9.00M,-285.50M,,,6.60M,-278.90M,,,,-344.10M,75.10M,-26.00M,49.10M,,,,-79.60M,-374.60M,,488.00M,32.40M,,520.40M,,75.10M,,,-26.00M,,,
2003-03,327.40M,,,36.80M,287.20M,287.20M,34.60M,,,23.50M,,-157.40M,-157.40M,,552.10M,,-326.00M,,-326.00M,,,-35.70M,-361.70M,,,,-46.80M,,,,,,,14.00M,-32.80M,,330.40M,157.60M,,488.00M,,,,,,,,
2002-12,-343.80M,,,0.00,263.10M,263.10M,,,,443.90M,,-32.50M,367.80M,,686.40M,,-1.142B,,-772.00M,,,-84.60M,-856.60M,,,,255.10M,,-64.30M,-64.30M,,,,183.80M,77.20M,,423.40M,-93.00M,,330.40M,,,,,-64.30M,,,
2002-09,486.70M,,,0.00,281.00M,281.00M,,,,36.70M,,196.10M,196.10M,,1.000B,,-554.60M,,-554.60M,,,-82.40M,-637.00M,,,,-246.40M,,-149.10M,-149.10M,,,,-20.50M,-416.00M,,475.90M,-52.50M,,423.40M,,,,,-149.10M,,,
2002-06,497.50M,,,0.00,252.70M,252.70M,,,,-41.60M,,-46.00M,-46.00M,,662.60M,,-474.50M,,-474.50M,,,-88.00M,-562.50M,,,,-19.30M,,-134.00M,-134.00M,,,,91.40M,-61.90M,,437.70M,38.20M,,475.90M,,,,,-134.00M,,,
2002-03,253.10M,,,98.60M,254.00M,254.00M,,,,52.50M,,-117.60M,-117.60M,,540.60M,,-381.60M,,-381.60M,,,-28.90M,-410.50M,,,,156.10M,,-322.80M,-322.80M,,,,56.20M,-110.50M,,418.10M,19.60M,,437.70M,,,,,-322.80M,,,
2001-12,271.90M,,,,276.70M,276.70M,,,,73.10M,,80.10M,82.70M,,616.80M,,-937.30M,,-561.40M,,,-99.30M,-660.70M,,,,439.70M,,-172.40M,-172.40M,,,,6.80M,-13.60M,,475.60M,-57.50M,,418.10M,,,,,-172.40M,,,
2001-09,545.50M,,,,270.90M,270.90M,,,,-6.30M,,178.00M,178.00M,,988.10M,,-388.10M,,-388.10M,,,-44.30M,-432.40M,,,,-389.80M,,-172.00M,-172.00M,,,,68.40M,-493.40M,,413.30M,62.30M,,475.60M,,,,,-172.00M,,,
2001-06,440.90M,,,,268.80M,268.80M,,,,-29.90M,,-102.80M,-102.80M,,577.00M,,-459.80M,,-459.80M,,,-25.20M,-485.00M,,,,200.30M,,-338.90M,-338.90M,,,,56.90M,-81.70M,,403.00M,10.30M,,413.30M,,,,,-338.90M,,,
2001-03,378.30M,,,,269.90M,269.90M,,,,13.50M,,-155.30M,-155.30M,,506.40M,,-452.60M,,-452.60M,,,-37.50M,-490.10M,,,,277.10M,,-384.80M,-384.80M,,,,72.70M,-35.00M,,421.70M,-18.70M,,403.00M,,,,,-384.80M,,,
2000-12,452.00M,,,,231.20M,231.20M,,,,-152.20M,,76.80M,23.90M,,615.40M,,-1.010B,302.80M,-707.40M,,,-46.70M,-754.10M,,,,824.30M,,-304.90M,-304.90M,,,,-28.30M,210.40M,,350.00M,71.70M,,421.70M,,,,,-304.90M,,,
2000-09,548.50M,,,,250.20M,250.20M,,,,-34.70M,,37.20M,37.20M,,801.20M,,-464.70M,,-464.70M,,,-30.60M,-495.30M,,,,26.90M,,-424.50M,-424.50M,,,,30.60M,-367.00M,,411.10M,-61.10M,,350.00M,,,,,-424.50M,,,
2000-06,525.90M,,,,273.50M,273.50M,,,,-25.60M,,-106.00M,-106.00M,,667.80M,,-517.00M,-8.90M,-525.90M,,,-19.90M,-545.80M,,,,584.70M,,-715.30M,-715.30M,,,,51.70M,-78.90M,,368.00M,43.10M,,411.10M,,,,,-715.30M,,,
2000-03,450.90M,,,,255.80M,255.80M,,,,-31.60M,,-8.00M,-8.00M,,667.10M,,-378.70M,8.90M,-369.80M,,,-47.60M,-417.40M,,,,242.60M,,-578.70M,-578.70M,,,,34.90M,-301.20M,,419.50M,-51.50M,,368.00M,,,,,-578.70M,,,
1999-12,486.20M,,,,235.90M,235.90M,,,,-65.60M,79.90M,,-73.60M,,635.80M,,-829.10M,262.40M,-566.70M,,,-50.70M,-617.40M,,,,238.60M,,-247.60M,-247.60M,,-66.00M,,51.30M,-23.70M,,424.80M,-5.30M,,419.50M,,,,,-247.60M,,,
1999-09,540.90M,,,,248.60M,248.60M,,,,-52.60M,153.40M,,153.40M,,890.30M,,-625.40M,-49.90M,-675.30M,,,-5.00M,-680.30M,,,,124.80M,,-202.60M,-202.60M,,-66.40M,,-48.80M,-193.00M,,407.80M,17.00M,,424.80M,,,,,-202.60M,,,
1999-06,518.10M,,,,237.70M,237.70M,,,,45.90M,-35.80M,,-35.80M,,765.90M,,-390.50M,49.90M,-340.60M,,,20.50M,-320.10M,,,,-344.00M,,-283.50M,-283.50M,,-66.00M,,95.30M,-598.20M,,560.20M,-152.40M,,407.80M,,,,,-283.50M,,,
1999-03,402.70M,,,,234.10M,234.10M,,,,7.20M,72.90M,,72.90M,,716.90M,,-363.50M,,-363.50M,,,-280.50M,-644.00M,,,,317.00M,,-157.80M,-157.80M,,-66.30M,,95.20M,188.10M,,299.20M,261.00M,,560.20M,,,,,-157.80M,,,
1998-12,348.50M,,,,232.80M,232.80M,,,,1.40M,211.50M,,150.80M,,768.90M,,-647.60M,146.00M,-501.60M,,,-46.40M,-548.00M,,,,921.40M,,-1.090B,-1.090B,,-61.00M,,3.40M,-226.00M,,0.00,-5.10M,,299.20M,,,,,-1.090B,,,
1998-09,482.20M,,,,227.80M,227.80M,,,,-122.60M,214.60M,,214.60M,,802.00M,,-492.60M,34.00M,-458.60M,,,-23.90M,-482.50M,,,,-841.20M,,504.80M,504.80M,,-61.20M,,57.50M,-340.10M,,0.00,-20.60M,,0.00,,,,,504.80M,,,
1998-06,357.20M,,,,216.60M,216.60M,,,,133.90M,-33.70M,,-33.70M,,674.00M,,-455.60M,4.30M,-451.30M,,,-35.00M,-486.30M,,,,160.20M,,-404.10M,-404.10M,,-61.70M,,89.00M,-216.60M,,0.00,-28.90M,,0.00,,,,,-404.10M,,,
1998-03,362.20M,,,,203.90M,203.90M,,,,10.20M,-54.90M,,-54.90M,,521.40M,,-401.90M,7.20M,-394.70M,,,-36.70M,-431.40M,,,,22.00M,,-100.70M,-100.70M,,-56.60M,,57.70M,-77.60M,,341.40M,12.40M,,0.00,,,,,-100.70M,,,
1997-12,410.90M,,,,236.80M,236.80M,,,,29.30M,85.50M,,46.20M,,722.10M,,-780.80M,148.90M,-631.90M,,,-39.10M,-671.00M,,,,586.50M,,-544.70M,-544.70M,,-61.40M,,-0.30M,-19.90M,,0.00,31.20M,,341.40M,,,,,-544.70M,,,
1997-09,448.90M,,,,170.40M,170.40M,,,,-54.60M,179.70M,,179.70M,,744.40M,,-487.10M,-10.40M,-497.50M,,,-67.20M,-564.70M,,,,-81.00M,,-98.00M,-98.00M,,-63.80M,,71.10M,-171.70M,,0.00,8.00M,,0.00,,,,,-98.00M,,,
1997-06,438.20M,,,,194.70M,194.70M,,,,-21.70M,-167.30M,,-167.30M,,443.90M,,-502.50M,14.90M,-487.60M,,-0.20M,-4.40M,-492.20M,,,,260.90M,,-174.00M,-174.00M,,-63.80M,,27.60M,50.70M,,0.00,2.40M,,0.00,,,,,-174.00M,,,
1997-03,344.50M,,,,191.90M,191.90M,,,,-18.90M,14.40M,,14.40M,,531.90M,,-454.40M,23.00M,-431.40M,,0.20M,-58.10M,-489.30M,,,,235.10M,,-296.40M,-296.40M,,-58.70M,,47.30M,-72.70M,,329.90M,-30.10M,,0.00,,,,,-296.40M,,,
1996-12,410.00M,,,,196.20M,196.20M,,,,42.40M,108.70M,,57.00M,,738.50M,,-913.80M,196.90M,-716.90M,,,-72.80M,-789.70M,,,,316.30M,,-204.40M,-204.40M,,-59.40M,,73.10M,125.60M,,0.00,74.40M,,0.00,,,,,-204.40M,,,
1996-09,440.60M,,,,175.10M,175.10M,,,,-20.70M,106.70M,,106.70M,,701.70M,,-614.70M,20.00M,-594.70M,,,-132.10M,-726.80M,,,,150.20M,,-156.00M,-156.00M,,-60.60M,,1.30M,-65.10M,,0.00,-90.20M,,0.00,,,,,-156.00M,,,
1996-06,420.40M,,,,185.00M,185.00M,,,,9.10M,-68.00M,,-68.00M,,546.50M,,-517.40M,12.80M,-504.60M,,,-55.00M,-559.60M,,,,140.90M,,-99.50M,-99.50M,,-58.50M,,46.40M,29.30M,,0.00,16.20M,,0.00,,,,,-99.50M,,,
1996-03,301.60M,,,,186.60M,186.60M,,,,12.10M,-26.00M,,-26.00M,,474.30M,,-467.10M,4.60M,-462.50M,,,-31.70M,-494.20M,,,,171.90M,,-140.00M,-140.00M,,-53.50M,,36.20M,14.60M,,334.80M,-5.30M,,0.00,,,,,-140.00M,,,
1995-12,366.80M,,,,187.20M,187.20M,,,,44.50M,99.00M,,81.70M,,676.00M,,-683.00M,145.30M,-537.70M,,,-142.90M,-680.60M,,,,94.80M,,-30.40M,-30.40M,,-55.90M,,13.30M,21.80M,,0.00,17.20M,,0.00,,,,,-30.40M,,,
1995-09,400.10M,,,,175.90M,175.90M,,,,-51.10M,153.00M,,153.00M,,677.90M,,-587.80M,52.30M,-535.50M,,,-35.70M,-571.20M,,,,123.50M,,-195.00M,-195.00M,,-56.20M,,19.60M,-108.10M,,0.00,-1.40M,,0.00,,,,,-195.00M,,,
1995-06,379.70M,,,,177.10M,177.10M,,,,-11.90M,-8.40M,,-8.40M,,536.50M,,-445.20M,12.10M,-433.10M,,,-76.40M,-509.50M,,,,226.80M,,-82.20M,-82.20M,,-59.80M,,9.00M,93.80M,,0.00,120.80M,,0.00,,,,,-82.20M,,,
1995-03,280.70M,,,,168.80M,168.80M,,,,28.60M,-72.30M,,-72.30M,,405.80M,,-347.70M,8.10M,-339.60M,,,-8.10M,-347.70M,,,,,,-6.90M,-6.90M,,-54.60M,,21.70M,-39.80M,,179.90M,18.30M,,0.00,,,,,-6.90M,,,
1994-12,308.90M,,,,174.40M,174.40M,,,,0.60M,93.30M,,132.10M,,610.40M,,-434.60M,72.20M,-362.40M,,,-142.30M,-504.70M,,,,84.40M,,-144.10M,-144.10M,,-54.70M,,8.10M,-106.30M,,0.00,-0.60M,,0.00,,,,,-144.10M,,,
1994-09,349.80M,,,,157.70M,157.70M,,,,-6.60M,45.80M,,45.80M,,546.70M,,-430.20M,54.20M,-376.00M,,,-39.50M,-415.50M,,,,112.90M,,-163.60M,-163.60M,,-54.80M,,7.40M,-98.10M,,0.00,33.10M,,0.00,,,,,-163.60M,,,
1994-06,322.30M,,,,148.60M,148.60M,,,,-22.50M,-69.40M,13.30M,-56.10M,,392.30M,,-385.80M,55.30M,-330.50M,,,1.70M,-328.80M,,,,121.80M,,-160.00M,-160.00M,,-55.40M,,9.40M,-84.20M,,168.10M,-20.70M,,0.00,,,,,-160.00M,,,
1994-03,243.40M,,,,147.90M,147.90M,,,,-1.20M,,-13.30M,-13.30M,,376.80M,,-288.00M,35.80M,-252.20M,,,-4.70M,-256.90M,,,,-73.40M,,-27.90M,-27.90M,,-50.80M,,14.50M,-137.60M,,185.80M,-17.70M,,168.10M,,,,,-27.90M,,,
1993-12,264.50M,,,,153.30M,153.30M,,,,26.00M,30.30M,,17.80M,,514.00M,,-450.70M,43.20M,-407.50M,,,-51.90M,-459.40M,,,,1.00M,,-5.90M,-5.90M,,-50.70M,,14.10M,-41.50M,,0.00,13.10M,,0.00,,,,,-5.90M,,,
1993-09,310.90M,,,,144.10M,144.10M,,,,-11.60M,40.60M,,40.60M,,484.00M,,-378.40M,50.20M,-328.20M,,,-9.80M,-338.00M,,,,-34.70M,,-83.40M,-83.40M,,-50.70M,,14.20M,-154.60M,,0.00,-8.60M,,0.00,,,,,-83.40M,,,
1993-06,288.80M,,,,134.40M,134.40M,,,,-9.80M,-22.90M,,-22.90M,,390.50M,,-269.30M,43.30M,-226.00M,,,-7.50M,-233.50M,,,,58.40M,,-274.50M,-274.50M,,-51.00M,,13.80M,-253.30M,,0.00,-96.30M,,0.00,,,,,-274.50M,,,
1993-03,218.30M,,,,136.60M,136.60M,,,,-4.60M,-59.00M,,-59.00M,,291.30M,,-218.50M,39.10M,-179.40M,,,-7.70M,-187.10M,,,,21.50M,,-256.30M,-256.30M,,-48.80M,,20.50M,-263.10M,,436.50M,-158.90M,,0.00,,,,,-256.30M,,,
1992-12,227.90M,,,,141.50M,141.50M,,,,6.90M,30.70M,,4.60M,,403.30M,,-366.40M,56.90M,-309.50M,,,8.80M,-300.70M,,,,-203.80M,,,,,-39.60M,,20.20M,182.00M,,0.00,284.60M,,0.00,,,,,,,,
1992-09,289.20M,,,,143.20M,143.20M,,,,-13.10M,67.00M,,67.00M,,486.30M,,-288.40M,41.90M,-246.50M,,,-18.90M,-265.40M,,,,-168.00M,,,,,-41.20M,,14.20M,-195.00M,,0.00,25.90M,,0.00,,,,,,,,
1992-06,254.10M,,,,136.60M,136.60M,,,,1.60M,-1.00M,,-1.00M,,391.30M,,-251.70M,40.40M,-211.30M,,,-18.90M,-230.20M,,,,-87.80M,,,,,-41.20M,,8.70M,-120.30M,,0.00,40.80M,,0.00,,,,,,,,
1992-03,187.40M,,,,133.60M,133.60M,,,,16.30M,-192.30M,,-192.30M,,145.00M,,-244.50M,37.50M,-207.00M,,,4.60M,-202.40M,,,,-55.40M,,,,,-38.50M,,16.30M,-77.60M,,220.20M,-135.00M,,0.00,,,,,,,,
1991-12,200.40M,,,,131.60M,131.60M,,,,44.60M,102.80M,,39.60M,,480.90M,,-281.60M,88.30M,-193.30M,,,-82.60M,-275.90M,,,,-93.20M,0.00,0.00,0.00,,-38.30M,,9.60M,-121.90M,,0.00,83.10M,,0.00,,0.00,,,0.00,,,
1991-09,258.70M,,,,129.20M,129.20M,,,,-21.40M,41.90M,,41.90M,,408.40M,,-246.80M,36.80M,-210.00M,,,23.40M,-186.60M,,,,-182.00M,0.00,0.00,0.00,,-38.30M,,5.50M,-214.80M,,0.00,7.00M,,0.00,,0.00,,,0.00,,,
1991-06,232.00M,,,,127.20M,127.20M,,,,-13.60M,17.40M,,17.40M,,363.00M,,-329.50M,30.90M,-298.60M,,,38.50M,-260.10M,,,,-88.10M,100.00M,-102.80M,-2.80M,,-37.70M,,8.50M,-120.10M,,0.00,-17.20M,,0.00,,100.00M,,,-102.80M,,,
1991-03,168.50M,,,,126.20M,126.20M,,,,-9.60M,-114.20M,,-114.20M,,170.90M,,-270.90M,62.40M,-208.50M,,,-8.60M,-217.10M,,,,83.80M,,-6.40M,-6.40M,,-34.00M,,7.30M,50.70M,,142.80M,4.50M,,0.00,,,,,-6.40M,,,
1990-12,186.20M,,,,134.10M,134.10M,,,,-56.10M,135.80M,,62.60M,,397.60M,,-462.30M,43.60M,-418.70M,,,-80.40M,-499.10M,,,,110.60M,,0.70M,0.70M,,-34.00M,,3.10M,80.40M,,0.00,-21.10M,,0.00,,,,,0.70M,,,
1990-09,242.20M,,,,123.90M,123.90M,,,,-16.10M,84.70M,,84.70M,,434.70M,,-424.00M,47.00M,-377.00M,,,-18.40M,-395.40M,,,,38.70M,,-4.90M,-4.90M,,-34.00M,,5.30M,5.10M,,0.00,44.40M,,0.00,,,,,-4.90M,,,
1990-06,215.80M,,,,121.40M,121.40M,,,,-5.70M,-17.10M,,-17.10M,,314.40M,,-376.80M,34.10M,-342.70M,,,-13.00M,-355.70M,,,,102.60M,,-17.00M,-17.00M,,-34.00M,,3.60M,55.20M,,0.00,13.90M,,0.00,,,,,-17.00M,,,
1990-03,158.10M,,,,113.90M,113.90M,,,,6.90M,-124.60M,,-124.60M,,154.30M,,-307.60M,45.60M,-262.00M,,,-10.30M,-272.30M,,,,245.70M,,-139.10M,-139.10M,,-31.30M,,11.40M,86.70M,,136.90M,-31.30M,,0.00,,,,,-139.10M,,,
