,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-09,4.505B,4.505B,3.077B,1.428B,456.30M,,-75.50M,,,,7.80M,464.10M,963.90M,,,,-54.80M,,823.10M,275.70M,547.40M,,,,,547.40M,597.61M,1.239B,274.90M,963.90M,,0.43,0.00,,0.4695,0.43,,0.43,0.00,,0.4692,0.43,,1.272B,1.281B,0.00,,,
2003-06,4.281B,4.281B,2.975B,1.306B,466.40M,,-32.20M,,,,13.20M,479.60M,826.20M,,,,-29.50M,,708.20M,237.30M,470.90M,,,,,470.90M,492.31M,1.097B,270.50M,826.20M,,0.37,0.00,,0.3868,0.37,,0.37,0.00,,0.3868,0.37,,1.272B,1.278B,0.00,,,
2003-03,3.800B,3.800B,2.733B,1.067B,396.40M,,-22.00M,,,,-4.00M,392.40M,674.60M,,,,-21.20M,,547.60M,183.40M,364.20M,,-36.80M,,,327.40M,378.83M,961.80M,287.20M,674.60M,,0.29,-0.03,0.00,0.3015,0.26,,0.29,-0.03,-0.0290,0.3015,0.26,,1.270B,1.270B,0.00,,,
2002-12,3.899B,3.899B,-302.70M,4.202B,3.565B,,-858.50M,,,,840.30M,4.405B,-203.40M,,,,-863.90M,,-321.60M,22.20M,-343.80M,,0.00,,,-343.80M,171.30M,59.70M,263.10M,-203.40M,,-0.27,0.00,0.00,0.1359,-0.27,,-0.27,0.00,-0.0001,0.1359,-0.27,,1.269B,1.269B,0.235,,,
2002-09,4.047B,4.047B,2.799B,1.248B,438.20M,,-14.80M,,,,-20.00M,418.20M,829.80M,,,,-0.70M,,715.30M,228.60M,486.70M,,,,,486.70M,496.77M,1.111B,281.00M,829.80M,,0.38,0.00,,0.3879,0.38,,0.38,0.00,,0.3879,0.38,,1.273B,1.280B,0.00,,,
2002-06,3.862B,3.862B,2.660B,1.202B,402.90M,,18.20M,,,,-45.90M,357.00M,845.20M,,,,25.30M,,731.20M,233.70M,497.50M,,,,,497.50M,485.12M,1.098B,252.70M,845.20M,,0.39,0.00,,0.3803,0.39,,0.39,0.00,,0.3804,0.39,,1.273B,1.291B,0.00,,,
2002-03,3.597B,3.597B,2.512B,1.085B,384.90M,,-79.00M,,,,58.90M,443.80M,641.30M,,,,-70.70M,,537.20M,185.50M,351.70M,,-98.60M,,,253.10M,403.42M,895.30M,254.00M,641.30M,,0.28,-0.08,0.00,0.3205,0.20,,0.27,-0.08,-0.0772,0.3100,0.20,,1.277B,1.293B,0.00,,,
2001-12,3.772B,3.772B,-271.30M,4.043B,3.335B,,-247.00M,,,,225.50M,3.560B,482.70M,,,,-234.90M,,369.50M,97.60M,271.90M,,,,,271.90M,453.66M,759.40M,276.70M,482.70M,,0.2179,,,0.3586,0.2179,,0.21,0.00,,0.3501,0.21,,1.292B,1.297B,0.225,,,
2001-09,3.879B,3.879B,2.644B,1.235B,415.90M,,28.30M,,,,72.60M,488.50M,746.60M,,,,41.90M,,750.50M,205.00M,545.50M,,,,,545.50M,524.93M,1.018B,270.90M,746.60M,,0.42,0.00,,0.4040,0.42,,0.42,0.00,,0.4042,0.42,,1.286B,1.306B,0.00,,,
2001-06,3.708B,3.708B,2.540B,1.168B,414.60M,,-7.80M,,,,-19.10M,395.50M,772.50M,,,,17.40M,,653.70M,212.80M,440.90M,,,,,440.90M,446.16M,1.041B,268.80M,772.50M,,0.34,0.00,,0.3441,0.34,,0.34,0.00,,0.3440,0.34,,1.290B,1.311B,0.00,,,
2001-03,3.512B,3.512B,2.440B,1.071B,397.80M,,-8.60M,,,,-21.60M,376.20M,695.20M,,,,3.30M,,556.00M,177.70M,378.30M,,,,,378.30M,384.15M,965.10M,269.90M,695.20M,,0.29,0.00,,0.2945,0.29,,0.29,0.00,,0.2944,0.29,,1.301B,1.325B,0.00,,,
2000-12,3.590B,3.590B,553.60M,3.036B,3.097B,,51.20M,,,,,2.318B,718.20M,,,,51.20M,,657.50M,205.50M,452.00M,,,,,452.00M,416.80M,949.40M,231.20M,718.20M,,0.34,0.00,,0.3131,0.34,,0.34,0.00,,0.3136,0.34,,1.307B,1.333B,0.215,,,
2000-09,3.749B,3.749B,2.239B,1.510B,409.20M,,50.30M,,,,,659.40M,850.20M,,,,50.30M,,789.10M,240.60M,548.50M,,,,,548.50M,513.54M,1.100B,250.20M,850.20M,,0.42,0.00,,0.3934,0.42,,0.41,0.00,,0.3840,0.41,,1.316B,1.346B,0.00,,,
2000-06,3.561B,3.561B,2.068B,1.492B,393.40M,,53.60M,,,,,666.90M,825.60M,,,,53.60M,,773.00M,247.10M,525.90M,,,,,525.90M,489.43M,1.099B,273.50M,825.60M,,0.40,0.00,,0.3725,0.40,,0.39,0.00,,0.3633,0.39,,1.327B,1.366B,0.00,,,
2000-03,3.344B,3.344B,1.971B,1.373B,377.60M,,23.80M,,,,,633.40M,739.30M,,,,23.80M,,662.70M,211.80M,450.90M,,,,,450.90M,434.71M,995.10M,255.80M,739.30M,,0.34,0.00,,0.3279,0.34,,0.33,0.00,,0.3183,0.33,,1.343B,1.384B,0.00,,,
1999-12,3.373B,3.373B,-451.70M,3.825B,2.822B,,42.30M,,,,,3.058B,766.20M,,,,42.30M,,710.30M,224.10M,486.20M,,,,,486.20M,457.25M,1.002B,235.90M,766.20M,,0.36,0.00,,0.3386,0.36,,0.35,0.00,,0.3293,0.35,,1.354B,1.401B,0.0488,,,
1999-09,3.444B,3.444B,1.954B,1.490B,368.00M,,21.90M,,,,,616.60M,873.80M,,,,21.90M,,800.30M,259.40M,540.90M,,,,,540.90M,526.10M,1.122B,248.60M,873.80M,,0.40,0.00,,0.3891,0.40,,0.39,0.00,,0.3795,0.39,,1.355B,1.403B,0.0488,,,
1999-06,3.407B,3.407B,1.928B,1.479B,365.50M,,-5.70M,,,,,603.20M,876.00M,,,,-5.70M,,772.80M,254.70M,518.10M,,,,,518.10M,521.92M,1.114B,237.70M,876.00M,,0.38,0.00,,0.3828,0.38,,0.37,0.00,,0.3727,0.37,,1.356B,1.406B,0.0488,,,
1999-03,3.035B,3.035B,1.763B,1.272B,339.90M,,7.50M,,,,,574.00M,698.40M,,,,7.50M,,600.70M,198.00M,402.70M,,,,,402.70M,397.67M,932.50M,234.10M,698.40M,,0.30,0.00,,0.2963,0.30,,0.29,0.00,,0.2864,0.29,,1.357B,1.409B,0.045,,,
1998-12,3.221B,3.221B,-385.40M,3.606B,2.612B,,-143.00M,,,,,2.845B,760.90M,,,,-143.00M,,516.10M,167.60M,348.50M,,,,,348.50M,445.06M,993.70M,232.80M,760.90M,,0.26,0.00,,0.3308,0.26,,0.24,0.00,,0.3075,0.24,,1.365B,1.431B,0.045,,,
1998-09,3.215B,3.215B,1.812B,1.403B,358.50M,,3.80M,,,,,586.30M,816.30M,,,,3.80M,,717.30M,235.10M,482.20M,,,,,482.20M,479.65M,1.044B,227.80M,816.30M,,0.36,0.00,,0.3581,0.36,,0.35,0.00,,0.3481,0.35,,1.339B,1.378B,0.045,,,
1998-06,3.181B,3.181B,1.794B,1.387B,364.90M,,-165.50M,,,,,581.50M,805.70M,,,,-165.50M,,533.80M,176.60M,357.20M,,,,,357.20M,467.95M,1.022B,216.60M,805.70M,,0.26,0.00,,0.3406,0.26,,0.25,0.00,,0.3275,0.25,,1.374B,1.429B,0.045,,,
1998-03,2.805B,2.805B,1.615B,1.190B,343.00M,,0.30M,,,,,546.90M,642.70M,,,,0.30M,,540.20M,178.00M,362.20M,,,,,362.20M,362.00M,846.60M,203.90M,642.70M,,0.27,0.00,,0.2698,0.27,,0.26,0.00,,0.2599,0.26,,1.341B,1.393B,0.0413,,,
1997-12,2.953B,2.953B,-2.841B,5.793B,4.885B,,11.60M,,,,,5.122B,671.90M,,,,11.60M,,589.40M,178.50M,410.90M,,,,,410.90M,402.81M,908.70M,236.80M,671.90M,,0.2996,,,0.2933,0.2996,,0.29,0.00,,0.2839,0.29,,1.285B,1.329B,0.0413,,,
1997-09,3.006B,3.006B,1.740B,1.266B,375.50M,,32.70M,,,,,545.90M,720.50M,,,,32.70M,,659.10M,210.20M,448.90M,,,,,448.90M,426.63M,890.90M,170.40M,720.50M,,0.32,0.00,,0.3041,0.32,,0.32,0.00,,0.3041,0.32,,1.403B,1.403B,0.0413,,,
1997-06,2.833B,2.833B,1.596B,1.236B,347.20M,,35.10M,,,,,541.90M,694.20M,,,,35.10M,,643.10M,204.90M,438.20M,,,,,438.20M,414.28M,888.90M,194.70M,694.20M,,0.32,0.00,,0.3025,0.32,,0.31,0.00,,0.2931,0.31,,1.369B,1.414B,0.0413,,,
1997-03,2.618B,2.618B,1.484B,1.134B,334.00M,,-2.50M,,,,,525.90M,608.20M,,,,-2.50M,,515.70M,171.20M,344.50M,,,,,344.50M,346.17M,800.10M,191.90M,608.20M,,0.25,0.00,,0.2512,0.25,,0.24,0.00,,0.2412,0.24,,1.378B,1.435B,0.0375,,,
1996-12,2.822B,2.822B,-2.174B,4.996B,4.148B,,-38.20M,,,,,4.344B,651.90M,,,,-38.20M,,523.50M,113.50M,410.00M,,,,13.80M,410.00M,439.92M,848.10M,196.20M,651.90M,,0.2923,,,0.3144,0.2923,,0.28,0.00,,0.3012,0.28,,1.353B,1.414B,0.0375,,,
1996-09,2.774B,2.774B,1.407B,1.367B,490.10M,,33.00M,,,,,665.20M,701.60M,,,,33.00M,,649.90M,209.30M,440.60M,,,,,440.60M,418.23M,876.70M,175.10M,701.60M,,0.31,0.00,,0.2943,0.31,,0.31,0.00,,0.2943,0.31,,1.421B,1.421B,0.0375,,,
1996-06,2.665B,2.665B,1.338B,1.327B,467.00M,,33.30M,,,,,652.00M,675.00M,,,,33.30M,,625.50M,205.10M,420.40M,,,,6.90M,420.40M,398.02M,860.00M,185.00M,675.00M,,0.30,0.00,,0.2838,0.30,,0.29,0.00,,0.2743,0.29,,1.378B,1.426B,0.0375,,,
1996-03,2.426B,2.426B,1.233B,1.193B,448.40M,,-21.40M,,,,,635.00M,558.40M,,,,-21.40M,,452.10M,150.50M,301.60M,,,,6.90M,301.60M,315.88M,745.00M,186.60M,558.40M,,0.21,0.00,,0.2202,0.21,,0.21,0.00,,0.2202,0.21,,1.403B,1.403B,0.0338,,,
1995-12,2.586B,2.586B,-304.10M,2.890B,2.072B,,-2.80M,,,,,2.260B,630.10M,,,,-2.80M,,539.60M,172.80M,366.80M,,,,8.70M,366.80M,368.70M,817.30M,187.20M,630.10M,,0.255,0.00,,0.2564,0.255,,0.255,0.00,,0.2564,0.255,,1.404B,1.409B,0.0338,,,
1995-09,2.580B,2.580B,1.404B,1.176B,314.10M,,9.30M,,,,,490.00M,686.30M,,,,9.30M,,609.50M,209.40M,400.10M,,,,8.00M,400.10M,394.00M,862.20M,175.90M,686.30M,,0.28,0.00,,0.2756,0.28,,0.28,0.00,,0.2756,0.28,,1.400B,1.400B,0.0338,,,
1995-06,2.468B,2.468B,1.340B,1.127B,305.40M,,25.60M,,,,,482.50M,644.70M,,,,25.60M,,584.90M,205.20M,379.70M,,,,11.90M,379.70M,363.08M,821.80M,177.10M,644.70M,,0.26,0.00,,0.2483,0.26,,0.26,0.00,,0.2483,0.26,,1.415B,1.415B,0.0338,,,
1995-03,2.161B,2.161B,1.183B,978.70M,275.40M,,-18.40M,,,,,444.20M,534.50M,,,,-18.40M,,435.10M,154.40M,280.70M,,,,11.90M,280.70M,292.57M,703.30M,168.80M,534.50M,,0.20,0.00,,0.2088,0.20,,0.20,0.00,,0.2088,0.20,,1.344B,1.344B,0.03,,,
1994-12,2.270B,2.270B,-248.00M,2.518B,1.768B,,-23.50M,,,,,1.943B,575.20M,,,,-23.50M,,471.60M,162.70M,308.90M,,,,11.70M,308.90M,324.29M,749.60M,174.40M,575.20M,,0.21,0.00,,0.2209,0.21,,0.21,0.00,,0.2209,0.21,,1.415B,1.415B,0.03,,,
1994-09,2.225B,2.225B,1.185B,1.040B,277.10M,,16.00M,,,,,434.80M,605.30M,,,,16.00M,,541.10M,191.30M,349.80M,,,,11.80M,349.80M,339.46M,763.00M,157.70M,605.30M,,0.24,0.00,,0.2327,0.24,,0.24,0.00,,0.2327,0.24,,1.408B,1.408B,0.03,,,
1994-06,2.029B,2.029B,1.086B,943.70M,257.00M,,32.00M,,,,,405.60M,538.10M,,,,32.00M,,496.50M,174.20M,322.30M,,,,11.80M,322.30M,301.53M,686.70M,148.60M,538.10M,,0.22,0.00,,0.2053,0.22,,0.22,0.00,,0.2053,0.22,,1.411B,1.411B,0.03,,,
1994-03,1.796B,1.796B,969.90M,826.10M,239.50M,,10.50M,,,,,387.40M,438.70M,,,,10.50M,,377.40M,134.00M,243.40M,,,,11.80M,243.40M,236.63M,586.60M,147.90M,438.70M,,0.17,0.00,,0.1652,0.17,,0.16,0.00,,0.1554,0.16,,1.415B,1.459B,0.0269,,,
1993-12,1.932B,1.932B,-258.90M,2.191B,1.547B,,-8.40M,,,,,1.701B,490.10M,,,,-8.40M,,403.00M,138.50M,264.50M,,,,11.50M,264.50M,270.01M,643.40M,153.30M,490.10M,,0.18,0.00,,0.1839,0.18,,0.16,0.00,,0.1635,0.16,,1.406B,1.566B,0.0269,,,
1993-09,1.944B,1.944B,1.028B,915.80M,234.60M,,38.30M,,,,,378.70M,537.10M,,,,38.30M,,499.70M,188.80M,310.90M,,,,11.70M,310.90M,287.07M,681.20M,144.10M,537.10M,,0.22,0.00,,0.2025,0.22,,0.22,0.00,,0.2025,0.22,,1.36B,1.36B,0.0269,,,
1993-06,1.878B,1.878B,1.009B,869.10M,232.50M,,19.90M,,,,,366.90M,502.20M,,,,19.90M,,439.70M,150.90M,288.80M,,,,11.90M,288.80M,275.73M,636.60M,134.40M,502.20M,,0.20,0.00,,0.1906,0.20,,0.20,0.00,,0.1906,0.20,,1.384B,1.384B,0.0269,,,
1993-03,1.654B,1.654B,907.10M,747.00M,217.80M,,20.00M,,,,,354.40M,392.60M,,,,20.00M,,333.30M,115.00M,218.30M,,,,11.80M,218.30M,205.20M,529.20M,136.60M,392.60M,,0.15,0.00,,0.1405,0.15,,0.15,0.00,,0.1405,0.15,,1.377B,1.377B,0.025,,,
1992-12,1.828B,1.828B,-1.793B,3.622B,3.026B,,-23.60M,,,,,3.167B,454.30M,,,,-23.60M,,344.30M,116.40M,227.90M,,,,,227.90M,243.52M,595.80M,141.50M,454.30M,,0.15,0.00,,0.1610,0.15,,0.14,0.00,,0.1503,0.14,,1.424B,1.515B,0.025,,,
1992-09,1.912B,1.912B,1.039B,873.30M,217.10M,,20.90M,,,,,360.30M,513.00M,,,,20.90M,,436.90M,147.70M,289.20M,,,,,289.20M,275.37M,656.20M,143.20M,513.00M,,0.20,0.00,,0.1904,0.20,,0.20,0.00,,0.1904,0.20,,1.446B,1.446B,0.025,,,
1992-06,1.774B,1.774B,980.10M,794.00M,209.40M,,28.80M,,,,,346.00M,448.00M,,,,28.80M,,383.80M,129.70M,254.10M,,,,,254.10M,235.03M,584.60M,136.60M,448.00M,,0.18,0.00,,0.1665,0.18,,0.18,0.00,,0.1665,0.18,,1.412B,1.412B,0.025,,,
1992-03,1.618B,1.618B,907.90M,710.40M,194.50M,,-2.00M,,,,,328.10M,382.30M,,,,-2.00M,,283.10M,95.70M,187.40M,,,,,187.40M,188.72M,515.90M,133.60M,382.30M,,0.13,0.00,,0.1309,0.13,,0.13,0.00,,0.1309,0.13,,1.442B,1.442B,0.0232,,,
1991-12,1.730B,1.730B,-1.724B,3.454B,2.917B,,-3.90M,,,,,3.048B,405.50M,,,,-3.90M,,302.90M,102.50M,200.40M,,,,,200.40M,202.98M,537.10M,131.60M,405.50M,,0.14,0.00,,0.1420,0.14,,0.12,0.00,,0.1217,0.12,,1.303B,1.503B,0.0232,,,
1991-09,1.737B,1.737B,963.90M,772.70M,203.20M,,43.70M,,,,,332.40M,440.30M,,,,43.70M,,389.60M,130.90M,258.70M,,,,,258.70M,229.68M,569.50M,129.20M,440.30M,,0.18,0.00,,0.1598,0.18,,0.18,0.00,,0.1598,0.18,,1.437B,1.437B,0.0232,,,
1991-06,1.671B,1.671B,953.90M,716.90M,198.40M,,56.30M,,,,,325.60M,391.30M,,,,56.30M,,351.50M,119.50M,232.00M,,,,,232.00M,194.84M,518.50M,127.20M,391.30M,,0.16,0.00,,0.1344,0.16,,0.16,0.00,,0.1344,0.16,,1.45B,1.45B,0.0232,,,
1991-03,1.558B,1.558B,919.70M,638.10M,184.30M,,30.00M,,,,,310.50M,327.60M,,,,30.00M,,255.40M,86.90M,168.50M,,,,,168.50M,148.71M,453.80M,126.20M,327.60M,,0.12,0.00,,0.1059,0.12,,0.12,0.00,,0.1059,0.12,,1.404B,1.404B,0.0213,,,
1990-12,1.589B,1.589B,-1.724B,3.313B,2.918B,,,,,,,3.052B,261.00M,,,,,,286.50M,100.30M,186.20M,,,,,186.20M,186.20M,395.10M,134.10M,261.00M,,0.12,0.00,,0.12,0.12,,0.11,0.00,,0.11,0.11,,1.435B,1.541B,0.0213,,,
1990-09,1.816B,1.816B,1.039B,777.10M,180.10M,,,,,,,304.00M,473.10M,,,,,,375.40M,133.20M,242.20M,,,,,242.20M,242.20M,597.00M,123.90M,473.10M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,1.425B,1.425B,0.0213,,,
1990-06,1.701B,1.701B,966.30M,735.00M,186.30M,,,,,,,307.70M,427.30M,,,,,,334.60M,118.80M,215.80M,,,,,215.80M,215.80M,548.70M,121.40M,427.30M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,1.439B,1.439B,0.0213,,,
1990-03,1.533B,1.533B,908.40M,624.70M,171.50M,,,,,,,285.40M,339.30M,,,,,,249.80M,91.70M,158.10M,,,,,158.10M,158.10M,453.20M,113.90M,339.30M,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,1.437B,1.437B,0.0194,,,
1989-12,1.580B,1.580B,942.10M,638.20M,177.20M,,,,,,,287.90M,350.30M,,,,,,271.10M,99.70M,171.40M,,,,,171.40M,171.40M,461.00M,110.70M,350.30M,,0.11,0.00,,0.11,0.11,,0.10,0.00,,0.10,0.10,,1.512B,1.635B,0.0194,,,
1989-09,1.632B,1.632B,934.20M,697.60M,164.60M,,,,,,,275.40M,422.20M,,,,,,345.40M,127.50M,217.90M,,,,,217.90M,217.90M,533.00M,110.80M,422.20M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,1.453B,1.453B,0.0194,,,
1989-06,1.548B,1.548B,886.50M,661.60M,166.00M,,,,,,,275.00M,386.60M,,,,,,313.40M,117.40M,196.00M,,,,,196.00M,196.00M,495.60M,109.00M,386.60M,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,1.40B,1.40B,0.0194,,,
1989-03,1.382B,1.382B,,,,,,,,,,,1.382B,,,,,,,,141.70M,,,,,141.70M,,1.382B,,1.382B,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,1.504B,1.504B,0.0175,,,
1988-12,1.451B,1.451B,,,,,,,,,,,-2.831B,,,,,,,,151.50M,,,,,151.50M,,-2.831B,,-2.831B,,,,,,,,,,,,,,1.502B,1.502B,0.0175,,,
1988-09,1.461B,1.461B,,,,,,,,,,,1.461B,,,,,,,,191.30M,,,,,191.30M,,1.461B,,1.461B,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,1.505B,1.505B,0.0175,,,
1988-06,1.426B,1.426B,,,,,,,,,,,1.426B,,,,,,,,177.20M,,,,,177.20M,,1.426B,,1.426B,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,1.509B,1.509B,0.0175,,,
1988-03,1.228B,1.228B,,,,,,,,,,,1.228B,,,,,,,,125.80M,,,,,125.80M,,1.228B,,1.228B,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,1.517B,1.517B,0.0157,,,
1987-12,1.266B,1.266B,,,,,,,,,,,-2.466B,,,,,,,,133.30M,,,,,133.30M,,-2.466B,,-2.466B,,,,,,,,,,,,,,1.511B,1.511B,0.0157,,,
1987-09,1.314B,1.314B,,,,,,,,,,,1.314B,,,,,,,,162.30M,,,,,162.30M,,1.314B,,1.314B,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,1.517B,1.517B,0.0157,,,
1987-06,1.246B,1.246B,,,,,,,,,,,1.246B,,,,,,,,147.40M,,,,,147.40M,,1.246B,,1.246B,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,1.519B,1.519B,0.0156,,,
1987-03,1.068B,1.068B,,,,,,,,,,,1.068B,,,,,,,,106.00M,,,,,106.00M,,1.068B,,1.068B,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,1.528B,1.528B,0.0138,,,
1986-12,991.60M,991.60M,,,,,,,,,,,-2.228B,,,,,,,,113.50M,,,,,113.50M,,-2.228B,,-2.228B,,,,,,,,,,,,,,1.519B,1.519B,0.0138,,,
1986-09,1.134B,1.134B,,,,,,,,,,,1.134B,,,,,,,,142.30M,,,,,142.30M,,1.134B,,1.134B,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,1.532B,1.532B,0.0138,,,
1986-06,1.077B,1.077B,,,,,,,,,,,1.077B,,,,,,,,129.80M,,,,,129.80M,,1.077B,,1.077B,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,1.534B,1.534B,0.0138,,,
1986-03,941.40M,941.40M,,,,,,,,,,,941.40M,,,,,,,,94.10M,,,,,94.10M,,941.40M,,941.40M,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,1.541B,1.541B,0.0125,,,
1985-12,915.90M,915.90M,,,,,,,,,,,-1.922B,,,,,,,,103.50M,,,,,103.50M,,-1.922B,,-1.922B,,,,,,,,,,,,,,1.541B,1.541B,0.0125,,,
1985-09,1.015B,1.015B,,,,,,,,,,,1.015B,,,,,,,,128.10M,,,,,128.10M,,1.015B,,1.015B,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,1.543B,1.543B,0.0125,,,
1985-06,955.60M,955.60M,,,,,,,,,,,955.60M,,,,,,,,117.10M,,,,,117.10M,,955.60M,,955.60M,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,1.545B,1.545B,0.0125,,,
1985-03,808.60M,808.60M,,,,,,,,,,,808.60M,,,,,,,,84.30M,,,,,84.30M,,808.60M,,808.60M,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,1.545B,1.545B,0.0114,,,
1984-12,970.80M,970.80M,,,,,,,,,,,-1.614B,,,,,,,,91.20M,,,,,91.20M,,-1.614B,,-1.614B,,,,,,,,,,,,,,1.571B,1.571B,0.0114,,,
1984-09,784.70M,784.70M,,,,,,,,,,,784.70M,,,,,,,,114.30M,,,,,114.30M,,784.70M,,784.70M,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,1.568B,1.568B,0.0107,,,
1984-06,865.00M,865.00M,,,,,,,,,,,865.00M,,,,,,,,108.60M,,,,,108.60M,,865.00M,,865.00M,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,1.584B,1.584B,0.0107,,,
1984-03,745.40M,745.40M,,,,,,,,,,,745.40M,,,,,,,,75.00M,,,,,75.00M,,745.40M,,745.40M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,1.584B,1.584B,0.0093,,,
