,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2006-09,4.283B,,4.283B,812.50M,812.50M,144.50M,596.00M,,5.836B,,,,,,31.36B,-10.83B,20.53B,2.156B,,2.156B,,2.311B,24.99B,30.83B,,603.40M,,,603.40M,1.579B,2.182B,165.00M,454.20M,619.20M,,619.20M,1.775B,4.576B,8.569B,,8.569B,1.003B,,1.003B,,1.154B,10.73B,15.30B,,16.60M,24.59B,3.228B,11.86B,,-445.70M,15.53B,,,
2006-06,3.290B,,3.290B,858.00M,858.00M,141.90M,570.70M,,4.861B,,,,,,31.24B,-10.70B,20.54B,2.126B,,2.126B,,2.247B,24.91B,29.77B,,556.70M,,,556.70M,1.436B,1.993B,553.20M,601.90M,1.155B,,1.155B,444.10M,3.592B,8.351B,,8.351B,1.024B,,1.024B,,1.167B,10.54B,14.13B,,16.60M,24.98B,3.089B,12.00B,,-439.60M,15.64B,,,
2006-03,3.803B,,3.803B,742.40M,742.40M,138.50M,584.30M,,5.268B,,,,,,30.38B,-10.32B,20.06B,2.043B,,2.043B,,2.226B,24.33B,29.60B,,586.30M,,,586.30M,1.334B,1.921B,529.10M,673.40M,1.202B,,1.202B,573.50M,3.697B,8.709B,,8.709B,965.00M,,965.00M,,1.064B,10.74B,14.43B,,16.60M,24.14B,2.977B,11.26B,,-712.30M,15.17B,,,
2005-12,4.261B,,4.261B,793.90M,793.90M,144.30M,640.20M,380.00M,6.219B,0.00,4.481B,20.03B,4.398B,576.40M,29.48B,-9.909B,19.57B,1.924B,,1.924B,,2.272B,23.77B,29.99B,,678.00M,,,678.00M,1.317B,1.995B,544.00M,658.50M,1.202B,,1.202B,910.60M,4.108B,8.934B,,8.934B,949.20M,,949.20M,,851.50M,10.74B,14.84B,,16.60M,23.52B,2.720B,10.37B,,-733.10M,15.15B,,,
2005-09,2.297B,,2.297B,755.40M,755.40M,141.70M,607.60M,,3.802B,,,,,,29.69B,-9.936B,19.75B,,1.935B,1.935B,,2.355B,24.04B,27.84B,,524.10M,,,524.10M,1.31B,1.834B,,,714.70M,,714.70M,1.586B,4.135B,7.350B,,7.350B,939.00M,,939.00M,,903.50M,9.193B,13.33B,,16.60M,22.91B,2.662B,10.40B,,-673.80M,14.52B,,,
2005-06,1.561B,,1.561B,756.50M,756.50M,139.10M,585.40M,,3.042B,,,,,,29.49B,-9.760B,19.73B,,1.828B,1.828B,,2.383B,23.94B,26.98B,,528.70M,,,528.70M,1.225B,1.754B,,,793.20M,,793.20M,527.90M,3.075B,7.764B,,7.764B,927.10M,,927.10M,,853.70M,9.544B,12.62B,,16.60M,23.01B,2.463B,10.43B,,-707.20M,14.36B,,,
2005-03,1.356B,,1.356B,686.30M,686.30M,137.70M,617.00M,,2.798B,,,,,,30.04B,-9.860B,20.18B,,1.816B,1.816B,,2.438B,24.44B,27.23B,,495.40M,,,495.40M,1.226B,1.721B,,,503.60M,,503.60M,444.70M,2.669B,8.155B,,8.155B,845.70M,,845.70M,,926.30M,9.927B,12.60B,,16.60M,22.48B,2.391B,9.869B,,-385.10M,14.64B,,,
2004-12,1.380B,,1.380B,745.50M,745.50M,147.50M,585.00M,,2.858B,0.00,4.661B,20.78B,4.426B,639.60M,30.51B,-9.805B,20.70B,1.828B,,1.828B,,2.448B,24.98B,27.84B,,714.30M,,,714.30M,1.368B,2.082B,,,862.20M,,862.20M,576.40M,3.520B,8.357B,,8.357B,781.50M,,781.50M,,976.70M,10.12B,13.64B,,16.60M,21.76B,2.186B,9.578B,,-178.80M,14.20B,,,
2004-09,1.557B,,1.557B,648.70M,648.70M,140.40M,561.80M,,2.908B,,,,,,29.07B,-9.421B,19.65B,,1.756B,1.756B,,2.024B,23.43B,26.34B,,529.40M,,,529.40M,1.258B,1.787B,,,170.60M,,170.60M,994.00M,2.952B,8.693B,,8.693B,1.026B,,1.026B,,707.20M,10.43B,13.38B,,16.60M,21.36B,2.016B,9.705B,,-729.80M,12.96B,,,
2004-06,930.80M,,930.80M,694.40M,694.40M,129.80M,575.50M,,2.330B,,,,,,28.59B,-9.127B,19.46B,,1.695B,1.695B,,1.989B,23.14B,25.47B,,537.40M,,,537.40M,1.133B,1.671B,,,154.00M,,154.00M,250.00M,2.075B,8.990B,,8.990B,1.052B,,1.052B,,694.00M,10.74B,12.81B,,16.60M,21.28B,1.962B,9.663B,,-927.90M,12.66B,,,
2004-03,969.60M,,969.60M,655.00M,655.00M,122.30M,568.40M,,2.315B,,,,,,28.74B,-9.026B,19.71B,,1.697B,1.697B,,2.094B,23.50B,25.82B,,492.70M,,,492.70M,1.113B,1.605B,,,634.90M,,634.90M,387.10M,2.627B,9.114B,,9.114B,1.006B,,1.006B,,701.80M,10.82B,13.45B,,16.60M,20.68B,1.913B,9.500B,,-744.90M,12.37B,,,
2003-12,492.80M,,492.80M,734.50M,734.50M,129.40M,528.70M,,1.885B,0.00,4.483B,19.49B,4.090B,681.20M,28.74B,-8.816B,19.92B,,1.665B,1.665B,,2.363B,23.95B,25.84B,,577.40M,,,577.40M,1.227B,1.804B,,,388.00M,,388.00M,556.20M,2.748B,9.342B,,9.342B,1.065B,,1.065B,,699.80M,11.11B,13.86B,,16.60M,20.17B,1.838B,9.318B,,-726.00M,11.98B,,,
2003-09,647.40M,,647.40M,703.00M,703.00M,116.20M,471.90M,,1.938B,,,,,,27.88B,-8.486B,19.40B,,1.764B,1.764B,,2.133B,23.30B,25.23B,,507.00M,,,507.00M,1.168B,1.676B,,,115.80M,,115.80M,842.10M,2.633B,9.292B,,9.292B,992.40M,,992.40M,,668.00M,10.95B,13.59B,,16.60M,20.04B,1.808B,9.103B,,-1.117B,11.65B,,,
2003-06,520.40M,,520.40M,807.10M,807.10M,111.50M,465.00M,,1.904B,,,,,,27.59B,-8.254B,19.33B,,1.718B,1.718B,,2.139B,23.19B,25.09B,,533.40M,,,533.40M,1.165B,1.699B,,,406.90M,,406.90M,325.30M,2.431B,9.447B,,9.447B,930.20M,,930.20M,,620.70M,11.00B,13.43B,,16.60M,20.00B,1.788B,8.978B,,-1.165B,11.66B,,,
2003-03,488.00M,,488.00M,816.70M,816.70M,103.70M,433.40M,,1.842B,,,,,,26.69B,-7.873B,18.82B,,1.652B,1.652B,,2.099B,22.57B,24.41B,,488.00M,,,488.00M,1.221B,1.709B,,,319.10M,,319.10M,295.10M,2.324B,9.687B,,9.687B,979.70M,,979.70M,,598.10M,11.26B,13.59B,,16.60M,19.53B,1.776B,8.962B,,-1.541B,10.82B,,,
2002-12,330.40M,,330.40M,855.30M,855.30M,111.70M,418.00M,,1.715B,,,,,,26.22B,-7.635B,18.58B,,1.560B,1.560B,,2.112B,22.26B,23.97B,,635.80M,,,635.80M,1.303B,1.938B,0.30M,275.50M,275.80M,,275.80M,208.10M,2.422B,9.704B,,9.704B,1.004B,,1.004B,,560.00M,11.27B,13.69B,,16.60M,19.20B,1.747B,8.988B,,-1.700B,10.28B,,,
2002-09,423.40M,,423.40M,840.00M,840.00M,102.00M,423.50M,,1.789B,,,,,,25.32B,-7.383B,17.94B,,1.430B,1.430B,,2.434B,21.80B,23.59B,,503.30M,,,503.30M,932.20M,1.436B,,,70.20M,,70.20M,360.20M,1.866B,9.485B,,9.485B,1.014B,,1.014B,,587.00M,11.09B,12.95B,,16.60M,19.85B,1.731B,8.994B,,-1.958B,10.64B,,,
2002-06,475.90M,,475.90M,903.50M,903.50M,99.10M,472.40M,,1.951B,,,,,,25.11B,-7.256B,17.86B,,1.376B,1.376B,,2.145B,21.38B,23.33B,,541.30M,,,541.30M,887.80M,1.429B,,,449.40M,,449.40M,251.80M,2.130B,9.116B,,9.116B,1.019B,,1.019B,,713.70M,10.85B,12.98B,,16.60M,19.36B,1.718B,8.949B,,-1.795B,10.35B,,,
2002-03,437.70M,,437.70M,859.80M,859.80M,98.10M,458.30M,,1.854B,,,,,,24.00B,-6.878B,17.12B,,1.258B,1.258B,,1.963B,20.34B,22.20B,,531.30M,,,531.30M,887.80M,1.419B,84.10M,481.90M,566.00M,,566.00M,278.50M,2.264B,8.417B,,8.417B,1.117B,,1.117B,,821.10M,10.36B,12.62B,,16.60M,18.86B,1.633B,8.979B,,-1.956B,9.577B,,,
2001-12,418.10M,,418.10M,881.90M,881.90M,105.50M,413.80M,,1.819B,0.00,3.976B,16.15B,3.372B,611.50M,24.11B,-6.816B,17.29B,,1.420B,1.420B,,2.006B,20.72B,22.53B,,689.50M,,,689.50M,995.50M,1.685B,184.90M,177.60M,362.50M,,362.50M,200.80M,2.248B,8.556B,,8.556B,1.112B,,1.112B,,1.130B,10.80B,13.05B,,16.60M,18.61B,1.591B,8.912B,,-1.816B,9.488B,,,
2001-09,475.60M,,475.60M,790.20M,790.20M,98.10M,406.00M,,1.770B,,,,,,23.79B,-6.785B,17.00B,,,,,3.532B,20.54B,22.31B,,520.70M,,,520.70M,837.80M,1.358B,,,2.50M,,2.50M,310.80M,1.672B,8.685B,,8.685B,1.105B,,1.105B,,1.078B,10.87B,12.54B,,16.60M,18.62B,1.570B,8.709B,,-1.738B,9.765B,,,
2001-06,413.30M,,413.30M,767.00M,767.00M,92.30M,395.30M,,1.668B,,,,,,23.27B,-6.597B,16.68B,,,,,3.042B,19.72B,21.39B,,338.00M,,,338.00M,707.60M,1.046B,92.80M,284.60M,377.40M,,377.40M,256.90M,1.680B,8.194B,,8.194B,1.13B,,1.13B,,1.138B,10.46B,12.14B,,16.60M,18.08B,1.526B,8.637B,,-1.740B,9.244B,,,
2001-03,403.00M,,403.00M,793.90M,793.90M,87.20M,383.30M,,1.667B,,,,,,23.17B,-6.525B,16.64B,,,,,3.137B,19.78B,21.45B,,570.60M,,,570.60M,697.80M,1.268B,293.70M,390.80M,684.50M,,684.50M,317.50M,2.270B,7.876B,,7.876B,1.151B,,1.151B,,1.222B,10.25B,12.52B,,16.60M,17.64B,1.480B,8.456B,,-1.747B,8.931B,,,
2000-12,421.70M,,421.70M,796.50M,796.50M,99.30M,,344.90M,1.662B,,,,,,23.57B,-6.521B,17.05B,,1.443B,1.443B,,1.530B,20.02B,21.68B,,684.90M,,,684.90M,,684.90M,,,630.00M,,630.00M,1.046B,2.361B,7.844B,,7.844B,1.085B,,1.085B,,1.189B,10.12B,12.48B,,16.60M,17.26B,1.442B,8.111B,,-1.402B,9.204B,,,
2000-09,350.00M,,350.00M,701.00M,701.00M,84.70M,,449.60M,1.585B,,,,,,22.72B,-6.338B,16.38B,,,,,2.916B,19.30B,20.88B,,701.70M,,,701.70M,,701.70M,,,1.476B,,1.476B,1.171B,3.348B,6.192B,,6.192B,1.154B,,1.154B,,1.383B,8.728B,12.08B,,16.60M,16.81B,1.403B,7.959B,,-1.460B,8.806B,,,
2000-06,411.10M,,411.10M,746.90M,746.90M,85.70M,,431.40M,1.675B,,,,,,22.90B,-6.334B,16.57B,,,,,2.968B,19.54B,21.21B,,451.20M,,,451.20M,,451.20M,,,2.182B,,2.182B,1.058B,3.690B,5.786B,,5.786B,1.211B,,1.211B,,1.524B,8.521B,12.21B,,16.60M,16.54B,1.368B,7.691B,,-1.234B,8.999B,,,
2000-03,368.00M,,368.00M,664.30M,664.30M,79.60M,,393.10M,1.505B,,,,,,22.61B,-6.222B,16.38B,,,,,2.941B,19.33B,20.83B,,411.40M,,,411.40M,,411.40M,,,1.279B,,1.279B,1.078B,2.769B,6.131B,,6.131B,1.190B,,1.190B,,1.329B,8.650B,11.42B,,16.60M,16.01B,1.316B,6.806B,,-1.129B,9.411B,,,
1999-12,419.50M,,419.50M,708.10M,708.10M,82.70M,,362.00M,1.572B,,,,,,22.45B,-6.126B,16.32B,,1.262B,1.262B,,1.825B,19.41B,20.98B,,585.70M,,,585.70M,,585.70M,,,1.620B,,1.620B,1.069B,3.274B,5.632B,,5.632B,1.174B,,1.174B,,1.264B,8.070B,11.34B,,16.60M,15.56B,1.288B,6.208B,,-1.020B,9.639B,,,
1999-09,424.80M,,424.80M,607.90M,607.90M,76.00M,,284.90M,1.394B,,,,,,22.22B,-6.075B,16.14B,,,,,2.933B,19.07B,20.47B,,448.80M,,,448.80M,,448.80M,,,832.30M,,832.30M,1.074B,2.355B,6.289B,,6.289B,1.072B,,1.072B,,1.255B,8.616B,10.97B,,16.60M,15.14B,1.202B,5.920B,,-945.30M,9.496B,,,
1999-06,407.80M,,407.80M,643.60M,643.60M,71.90M,,297.20M,1.420B,,,,,,21.58B,-5.873B,15.71B,,,,,2.717B,18.42B,19.85B,,422.00M,,,422.00M,,422.00M,,,711.00M,,711.00M,1.097B,2.230B,6.203B,,6.203B,1.118B,,1.118B,,1.237B,8.558B,10.79B,,,14.67B,,,,,9.057B,,,
1999-03,560.20M,,560.20M,629.00M,629.00M,69.60M,,302.10M,1.561B,,,,,,21.46B,-5.776B,15.69B,,,,,2.677B,18.36B,19.92B,,496.40M,,,496.40M,,496.40M,,,1.130B,,1.130B,983.70M,2.611B,6.128B,,6.128B,1.093B,,1.093B,,998.20M,8.220B,10.83B,,,14.22B,,,,,9.093B,,,
1998-12,299.20M,,299.20M,609.40M,609.40M,77.30M,,323.50M,1.309B,,,,,,21.76B,-5.716B,16.04B,,,,,2.433B,18.48B,19.78B,,621.30M,,,621.30M,,621.30M,,,854.80M,,854.80M,1.021B,2.497B,6.189B,,6.189B,1.082B,,1.082B,,552.10M,7.823B,10.32B,,,13.88B,,,,,9.465B,,,
1998-09,304.30M,,304.30M,,549.40M,71.60M,,324.90M,1.250B,,,,,,21.33B,-5.630B,15.70B,,,,,2.276B,17.97B,19.22B,,423.40M,,,423.40M,,423.40M,,,664.40M,,664.40M,1.083B,2.171B,6.385B,,6.385B,1.072B,,1.072B,,653.60M,8.111B,10.28B,,,13.59B,,,,,8.94B,,,
1998-06,324.90M,,324.90M,,571.30M,71.90M,,350.40M,1.318B,,,,,,20.60B,-5.402B,15.20B,,,,,2.330B,17.53B,18.85B,,404.00M,,,404.00M,,404.00M,,,652.60M,,652.60M,988.90M,2.046B,6.083B,,6.083B,1.091B,,1.091B,,778.50M,7.952B,9.998B,,,13.17B,,,,,8.852B,,,
1998-03,353.80M,,353.80M,,498.50M,67.20M,,261.00M,1.180B,,,,,,20.28B,-5.277B,15.00B,,,,,2.238B,17.24B,18.42B,,404.40M,,,404.40M,,404.40M,,,612.20M,,612.20M,867.40M,1.884B,5.848B,,5.848B,1.058B,,1.058B,,504.10M,7.410B,9.294B,,,-510.20M,,,,,9.122B,,,
1997-12,341.40M,,341.40M,,483.50M,70.50M,,246.90M,1.142B,,,,,,20.09B,-5.127B,14.96B,,,,,2.138B,17.10B,18.24B,,650.60M,,,650.60M,,650.60M,,,1.629B,,1.629B,704.50M,2.984B,4.834B,,4.834B,1.064B,,1.064B,,507.80M,6.405B,9.390B,,,12.57B,,,,,8.852B,,,
1997-09,310.20M,,310.20M,,435.30M,62.30M,,266.80M,1.075B,,,,,,19.81B,-5.079B,14.73B,,834.00M,834.00M,,1.332B,16.90B,17.97B,,490.90M,,,490.90M,,490.90M,,,850.20M,,850.20M,879.70M,2.221B,5.240B,,5.240B,1.033B,,1.033B,,313.40M,6.587B,8.808B,,358.00M,12.22B,,,358.00M,,9.164B,,,
1997-06,302.20M,,302.20M,,471.10M,61.60M,,242.00M,1.077B,,,,,,19.36B,-4.933B,14.43B,,791.60M,791.60M,,1.267B,16.49B,17.56B,,503.50M,,,503.50M,,503.50M,,,1.110B,,1.110B,864.50M,2.478B,4.633B,,4.633B,1.002B,,1.002B,613.30M,75.70M,5.711B,8.188B,,358.00M,11.83B,,,358.00M,,8.760B,,,
1997-03,299.80M,,299.80M,,429.00M,60.40M,,220.90M,1.010B,,,,,,19.08B,-4.831B,14.25B,,773.70M,773.70M,,1.223B,16.25B,17.26B,,478.50M,,,478.50M,,478.50M,,,726.50M,,726.50M,834.80M,2.040B,4.804B,,4.804B,1.031B,,1.031B,721.80M,43.70M,5.879B,7.918B,,358.00M,11.46B,,,358.00M,,8.617B,,,
1996-12,329.90M,,329.90M,,495.40M,69.60M,,207.60M,1.102B,,,,,,19.13B,-4.782B,14.35B,,747.00M,747.00M,,1.184B,16.28B,17.39B,,638.00M,,,638.00M,,638.00M,,,693.30M,,693.30M,804.00M,2.135B,4.830B,,4.830B,975.90M,,975.90M,,726.50M,6.532B,8.668B,,358.00M,11.17B,,,358.00M,,8.718B,,,
1996-09,255.50M,,255.50M,,469.20M,61.00M,,170.10M,955.80M,,,,,,18.47B,-4.660B,13.81B,,666.90M,666.90M,,1.112B,15.59B,16.54B,,446.50M,,,446.50M,,446.50M,,,602.60M,,602.60M,717.90M,1.767B,4.618B,,4.618B,893.60M,,893.60M,709.80M,,5.512B,7.279B,,358.00M,10.82B,,,358.00M,,8.554B,,,
1996-06,345.70M,,345.70M,,453.80M,55.50M,,166.90M,1.022B,,,,,,17.86B,-4.530B,13.32B,,592.30M,592.30M,,1.082B,15.00B,16.02B,,447.90M,,,447.90M,,447.90M,,,770.10M,,770.10M,645.80M,1.864B,4.274B,,4.274B,884.70M,,884.70M,680.00M,,5.158B,7.022B,,358.00M,10.44B,,,358.00M,,8.319B,,,
1996-03,329.50M,,329.50M,,392.60M,56.80M,,154.20M,933.10M,,,,,,17.43B,-4.417B,13.01B,,556.00M,556.00M,,1.074B,14.64B,15.58B,,462.40M,,,462.40M,,462.40M,,,1.002B,,1.002B,657.20M,2.122B,3.935B,,3.935B,868.80M,,868.80M,656.20M,,4.804B,6.926B,,358.00M,10.08B,,,358.00M,,7.994B,,,
1995-12,334.80M,,334.80M,,413.60M,58.00M,,149.40M,955.80M,,,,,,17.14B,-4.326B,12.81B,,534.80M,534.80M,,1.113B,14.46B,15.41B,,564.30M,,,564.30M,,564.30M,,,578.20M,,578.20M,652.40M,1.795B,4.258B,,4.258B,835.90M,,835.90M,664.70M,,5.094B,6.889B,,358.00M,9.831B,,,358.00M,,7.861B,,,
1995-09,317.60M,,317.60M,,387.80M,50.60M,,157.30M,913.30M,,,,,,16.60B,-4.242B,12.36B,,528.30M,528.30M,,1.100B,13.99B,14.90B,,426.40M,,,426.40M,,426.40M,,,841.40M,,841.40M,669.90M,1.938B,3.979B,,3.979B,787.00M,,787.00M,665.00M,,4.766B,6.703B,,411.10M,9.520B,,,411.10M,,7.533B,,,
1995-06,319.00M,,319.00M,,427.00M,53.50M,,147.30M,946.80M,,,,,,16.20B,-4.129B,12.07B,,523.40M,523.40M,,1.121B,13.71B,14.66B,,433.70M,,,433.70M,,433.70M,,,862.90M,,862.90M,589.80M,1.886B,3.977B,,3.977B,762.50M,,762.50M,660.00M,0.20M,4.739B,6.626B,,542.90M,9.174B,,,542.90M,,7.372B,,,
1995-03,198.20M,,198.20M,,351.40M,52.30M,,138.30M,740.20M,,,,,,15.90B,-4.048B,11.85B,,518.40M,518.40M,,1.108B,13.47B,14.21B,,387.50M,,,387.50M,,387.50M,,,499.80M,,499.80M,671.20M,1.558B,3.986B,,3.986B,771.40M,,771.40M,650.60M,,4.758B,6.316B,,673.20M,8.853B,,,673.20M,,7.247B,,,
1994-12,179.90M,,179.90M,,379.30M,50.50M,,131.00M,740.70M,,,,,,15.18B,-3.856B,11.33B,,483.10M,483.10M,,1.040B,12.85B,13.59B,,509.40M,,,509.40M,,509.40M,,,1.047B,,1.047B,895.00M,2.451B,2.935B,,2.935B,840.80M,,840.80M,422.80M,56.20M,3.832B,6.284B,,674.20M,8.626B,,,674.20M,,6.885B,,,
1994-09,180.50M,,180.50M,,370.90M,45.30M,,144.10M,740.80M,,,,,,14.80B,-3.786B,11.01B,,456.30M,456.30M,,1.029B,12.50B,13.24B,,380.50M,,,380.50M,,380.50M,,,1.139B,,1.139B,524.10M,2.044B,3.145B,,3.145B,834.90M,,834.90M,409.10M,58.80M,4.038B,6.082B,,675.00M,8.370B,,,675.00M,,6.746B,,,
1994-06,147.40M,,147.40M,,333.30M,45.10M,,134.60M,660.40M,,,,,,14.44B,-3.660B,10.78B,,447.40M,447.40M,,891.10M,12.12B,12.78B,,358.60M,,,358.60M,,358.60M,,,1.085B,,1.085B,473.10M,1.917B,3.022B,,3.022B,824.10M,,824.10M,390.80M,58.80M,3.904B,5.821B,,675.80M,8.074B,,,675.80M,,6.564B,,,
1994-03,168.10M,,168.10M,,297.20M,42.00M,,112.30M,619.60M,,,,,,13.73B,-3.486B,10.24B,,442.50M,442.50M,,876.00M,11.56B,12.18B,,321.60M,,,321.60M,,321.60M,,,128.90M,,128.90M,505.30M,955.80M,3.56B,,3.56B,824.10M,,824.10M,,380.40M,4.764B,5.720B,,676.50M,7.796B,,,676.50M,,6.463B,,,
1993-12,185.80M,,185.80M,,314.60M,43.50M,,118.90M,662.80M,,,,,,13.46B,-3.378B,10.08B,,415.70M,415.70M,,875.30M,11.37B,12.04B,,395.70M,,,395.70M,,395.70M,,,223.30M,,223.30M,483.00M,1.102B,3.489B,,3.489B,835.30M,,835.30M,334.40M,,4.325B,5.427B,,677.30M,7.613B,,,677.30M,,6.274B,,,
1993-09,172.70M,,172.70M,,313.50M,40.70M,,105.60M,632.50M,,,,,,13.15B,-3.312B,9.837B,,422.70M,422.70M,,873.80M,11.13B,11.77B,,297.90M,,,297.90M,,297.90M,,,296.70M,,296.70M,504.30M,1.099B,3.563B,,3.563B,790.60M,,790.60M,,253.80M,4.608B,5.707B,,678.00M,7.398B,,,678.00M,,6.059B,,,
1993-06,181.30M,,181.30M,,290.80M,39.70M,,104.50M,616.30M,,,,,,12.86B,-3.222B,9.632B,,387.40M,387.40M,,866.00M,10.89B,11.50B,,304.90M,,,304.90M,,304.90M,,,270.10M,,270.10M,447.40M,1.022B,3.602B,,3.602B,786.60M,,786.60M,,252.60M,4.642B,5.664B,,678.70M,7.136B,,,678.70M,,5.838B,,,
1993-03,277.60M,,277.60M,,256.80M,38.30M,,97.30M,670.00M,,,,,,12.82B,-3.164B,9.658B,,389.00M,389.00M,,863.70M,10.91B,11.58B,,293.30M,,,293.30M,,293.30M,,,543.00M,,543.00M,444.70M,1.281B,3.361B,,3.361B,773.80M,,773.80M,,242.70M,4.377B,5.658B,,679.40M,6.898B,,,679.40M,,5.923B,,,
1992-12,436.50M,,436.50M,,279.60M,43.50M,,105.10M,864.70M,,,,,,12.66B,-3.061B,9.597B,,389.70M,389.70M,,829.40M,10.82B,11.68B,,343.30M,,,343.30M,,343.30M,,,680.40M,,680.40M,520.90M,1.545B,3.176B,,3.176B,748.60M,,748.60M,,319.20M,4.244B,5.789B,,680.20M,6.727B,,,680.20M,,5.892B,,,
1992-09,151.90M,,151.90M,,264.10M,39.90M,,109.10M,565.00M,,,,,,12.93B,-3.069B,9.860B,,385.60M,385.60M,,777.50M,11.02B,11.59B,,279.10M,,,279.10M,,279.10M,,,630.30M,,630.30M,535.70M,1.445B,3.677B,,3.677B,745.70M,,745.70M,,220.30M,4.643B,6.088B,,180.90M,6.536B,,,180.90M,,5.500B,,,
1992-06,126.00M,,126.00M,,250.30M,39.00M,,102.40M,517.70M,,,,,,12.73B,-2.991B,9.738B,,391.30M,391.30M,,711.00M,10.84B,11.36B,,277.70M,,,277.70M,,277.70M,,,753.90M,,753.90M,472.30M,1.504B,3.688B,,3.688B,714.90M,,714.90M,,217.90M,4.621B,6.125B,,296.40M,6.287B,,,296.40M,,5.233B,,,
1992-03,85.20M,,85.20M,,242.30M,37.90M,,81.30M,446.70M,,,,,,12.26B,-2.859B,9.402B,,379.50M,379.50M,,697.40M,10.48B,10.93B,,263.50M,,,263.50M,,263.50M,,,350.00M,,350.00M,414.20M,1.028B,4.002B,,4.002B,757.60M,,757.60M,,208.80M,4.968B,5.996B,,297.00M,6.074B,,,297.00M,,4.929B,,,
1991-12,220.20M,,220.20M,,274.40M,42.60M,,108.80M,646.00M,,,,,,12.37B,-2.810B,9.558B,,369.10M,369.10M,,775.50M,10.70B,11.35B,,313.90M,,,313.90M,,313.90M,,,347.40M,,347.40M,626.60M,1.288B,4.267B,,4.267B,734.20M,,734.20M,,224.50M,5.226B,6.514B,,298.20M,5.925B,,,298.20M,,4.835B,,,
1991-09,137.10M,,137.10M,,242.10M,36.80M,,90.90M,506.90M,,,,,,11.87B,-2.702B,9.169B,,366.60M,366.60M,,766.00M,10.30B,10.81B,,256.50M,,,256.50M,,256.50M,,,258.40M,,258.40M,555.70M,1.071B,4.280B,,4.280B,672.50M,,672.50M,,197.20M,5.149B,6.22B,,298.50M,5.763B,,,298.50M,,4.589B,,,
1991-06,130.10M,,130.10M,,250.90M,38.40M,,99.30M,518.70M,,,,,,11.41B,-2.573B,8.840B,,365.90M,365.90M,,767.40M,9.974B,10.49B,,273.90M,,,273.90M,,273.90M,,,247.30M,,247.30M,459.30M,980.50M,4.326B,,4.326B,698.00M,,698.00M,,191.70M,5.216B,6.196B,,298.90M,5.543B,,,298.90M,,4.296B,,,
1991-03,147.30M,,147.30M,,237.50M,39.30M,,103.50M,527.60M,,,,,,11.37B,-2.520B,8.851B,,375.70M,375.70M,,709.30M,9.936B,10.46B,,276.30M,,,276.30M,,276.30M,,,530.00M,,530.00M,444.60M,1.251B,4.115B,,4.115B,673.10M,,673.10M,,185.60M,4.974B,6.224B,,199.30M,5.349B,,,199.30M,,4.239B,,,
1990-12,142.80M,,142.80M,,255.00M,42.90M,,108.30M,549.00M,,,,,,11.54B,-2.488B,9.047B,,384.00M,384.00M,,687.40M,10.12B,10.67B,,355.70M,,,355.70M,,355.70M,,,363.70M,,363.70M,479.30M,1.199B,4.429B,,4.429B,695.10M,,695.10M,,162.70M,5.286B,6.485B,,199.70M,5.214B,,,199.70M,,4.182B,,,
1990-09,163.90M,,163.90M,,226.80M,38.40M,,86.10M,515.20M,,,,,,11.05B,-2.401B,8.652B,,369.70M,369.70M,,652.70M,9.675B,10.19B,,301.30M,,,301.30M,,301.30M,,,266.40M,,266.40M,460.70M,1.028B,4.359B,,4.359B,678.80M,,678.80M,,105.50M,5.143B,6.171B,,0.60M,5.062B,,,0.60M,,4.018B,,,
1990-06,119.50M,,119.50M,,221.90M,39.90M,,88.90M,470.20M,,,,,,10.51B,-2.290B,8.225B,,359.50M,359.50M,,600.00M,9.185B,9.655B,,310.70M,,,310.70M,,310.70M,,,219.70M,,219.70M,374.80M,905.20M,4.222B,,4.222B,666.40M,,666.40M,,102.80M,4.991B,5.896B,,0.70M,4.854B,,,0.70M,,3.759B,,,
