,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2010-03,496.40M,7.50M,503.90M,427.00M,427.00M,,,38.60M,38.50M,1.008B,,,,,,,468.50M,-175.80M,292.70M,347.30M,100.10M,447.40M,,,203.10M,52.10M,995.30M,2.003B,,,,,,,,253.20M,,,371.90M,5.60M,377.50M,,377.50M,516.20M,516.20M,,,1.147B,,744.40M,,744.40M,53.20M,100.20M,153.40M,,,,7.60M,,492.60M,1.390B,2.537B,,3.40M,3.443B,364.30M,4.266B,,,-85.70M,-541.60M,,AOR,Restated
2009-12,473.90M,10.00M,483.90M,444.90M,444.90M,46.80M,,32.30M,5.00M,1.013B,0.00,,,282.50M,,175.30M,457.80M,-164.80M,293.00M,349.20M,104.90M,454.10M,30.40M,,192.60M,20.30M,990.40M,2.003B,,7.10M,26.30M,20.30M,,53.70M,263.50M,317.20M,,,443.70M,3.80M,447.50M,,447.50M,471.30M,471.30M,,,1.236B,,746.20M,,746.20M,31.40M,103.80M,135.20M,,,,10.10M,,482.00M,1.363B,2.599B,,3.40M,3.329B,391.10M,4.288B,,,-41.20M,-606.20M,,AOR,Restated
2009-09,422.70M,6.80M,429.50M,378.90M,378.90M,,,26.10M,62.00M,896.50M,,,,,,,443.70M,-165.10M,278.60M,350.40M,104.20M,454.60M,,,195.00M,49.50M,977.70M,1.874B,,,,,,,,241.90M,,,531.00M,1.90M,532.90M,,532.90M,427.50M,427.50M,,,1.202B,,748.10M,,748.10M,181.10M,107.10M,288.20M,,,,9.40M,,283.10M,1.319B,2.522B,,3.40M,3.276B,387.60M,4.304B,,,-19.20M,-656.90M,,AOR,Restated
2009-06,392.80M,4.90M,397.70M,407.60M,407.60M,,,31.20M,64.10M,900.60M,,,,,,,420.30M,-152.70M,267.60M,344.60M,106.70M,451.30M,,,206.60M,47.70M,973.20M,1.874B,,,,,,,,262.00M,,,370.40M,210.00M,580.40M,,580.40M,462.70M,462.70M,,,1.305B,,750.00M,,750.00M,15.70M,108.40M,124.10M,,,,7.80M,,444.10M,1.318B,2.623B,,3.40M,3.199B,380.70M,4.310B,,,-30.10M,-757.30M,,AOR,Restated
2009-03,341.70M,6.80M,348.50M,403.60M,403.60M,,,31.60M,72.40M,856.10M,,,,,,,388.70M,-140.30M,248.40M,333.80M,107.10M,440.90M,,,213.10M,43.60M,946.00M,1.802B,,,,,,,,198.80M,,,192.50M,468.00M,660.50M,,660.50M,479.50M,479.50M,,,1.339B,,750.00M,,750.00M,16.50M,110.60M,127.10M,,,,5.60M,,505.50M,1.383B,2.721B,,3.40M,3.114B,376.90M,4.336B,,,-82.60M,-924.90M,,AOR,Restated
2008-12,245.90M,7.10M,253.00M,421.80M,421.80M,62.70M,,26.50M,45.10M,809.10M,0.00,,,224.90M,,153.20M,378.10M,-130.40M,247.70M,338.00M,114.00M,452.00M,,,220.10M,44.50M,964.30M,1.773B,,8.60M,24.50M,3.50M,,36.60M,203.80M,240.40M,,,104.70M,613.00M,717.70M,,717.70M,435.00M,435.00M,,,1.393B,,750.00M,,750.00M,19.00M,114.80M,133.80M,,,,8.30M,,482.60M,1.366B,2.760B,,3.40M,3.023B,392.70M,4.362B,,,-52.10M,-994.40M,,,Restated
2008-09,438.60M,7.20M,445.80M,348.70M,348.70M,,,29.10M,94.20M,917.80M,,,,,,,363.00M,-120.90M,242.10M,202.80M,63.70M,266.50M,,,185.50M,82.40M,776.50M,1.694B,,208.10M,,,,208.10M,,208.10M,,,,,648.60M,,648.60M,392.10M,392.10M,,,1.249B,,750.00M,,750.00M,,,,,,,,,589.30M,1.339B,2.588B,,3.40M,2.982B,379.60M,4.247B,,,-11.60M,-893.80M,,,
2008-06,380.10M,12.70M,392.80M,415.20M,415.20M,,,34.30M,70.50M,912.80M,,,,,,,356.60M,-120.90M,235.70M,205.80M,65.50M,271.30M,,,162.50M,82.10M,751.60M,1.664B,,198.90M,,,,198.90M,,198.90M,,,,,527.00M,,527.00M,434.70M,434.70M,,,1.161B,,750.00M,,750.00M,,,,,,,,,575.60M,1.326B,2.486B,,3.40M,2.893B,372.70M,4.118B,,,27.10M,-821.80M,,,Restated
2008-03,339.70M,9.90M,349.60M,405.40M,405.40M,,,28.90M,68.60M,852.50M,,,,,,,360.90M,-130.70M,230.20M,206.00M,68.10M,274.10M,,,145.70M,84.30M,734.30M,1.587B,,256.50M,,,,256.50M,,256.50M,,,,,598.70M,,598.70M,463.00M,463.00M,,,1.318B,,600.00M,,600.00M,,,,,,,,,571.60M,1.172B,2.490B,,3.40M,2.782B,364.80M,4.081B,,,27.80M,-903.00M,,,Restated
2007-12,426.30M,14.70M,441.00M,443.60M,443.60M,,,,104.50M,989.10M,0.00,,137.70M,128.00M,69.80M,,335.50M,-120.90M,214.60M,179.90M,56.90M,236.80M,,,,274.10M,725.50M,1.715B,,8.10M,,,,8.10M,363.20M,371.30M,,,,,551.90M,,551.90M,426.00M,426.00M,,,1.349B,,600.00M,,600.00M,,,,,,,,,549.00M,1.149B,2.498B,,3.40M,2.661B,387.90M,3.852B,,,15.60M,-783.60M,,,
2007-09,421.10M,4.60M,425.70M,393.10M,393.10M,,,,51.80M,870.60M,,,,,,,348.60M,-130.20M,218.40M,179.70M,59.60M,239.30M,,,,223.30M,681.00M,1.552B,,317.40M,,,,317.40M,,317.40M,,,,,400.00M,,400.00M,368.40M,368.40M,,,1.086B,,600.00M,,600.00M,,,,,,,,,475.30M,1.075B,2.161B,,3.40M,2.580B,378.90M,3.572B,,,1.00M,-609.50M,,,
2007-06,361.60M,13.40M,375.00M,484.00M,484.00M,,,,59.00M,918.00M,,,,,,,283.50M,-120.70M,162.80M,179.80M,61.60M,241.40M,,,,231.10M,635.30M,1.553B,,282.40M,,,,282.40M,,282.40M,,,,,410.00M,,410.00M,398.30M,398.30M,,,1.091B,,300.00M,,300.00M,,,,,,,,,428.50M,728.50M,1.819B,,3.40M,2.464B,380.60M,3.11B,,,-3.60M,-265.90M,,,
2007-03,289.50M,10.30M,299.80M,499.30M,499.30M,,,,80.00M,879.10M,,,,,,,217.30M,-99.10M,118.20M,178.30M,63.50M,241.80M,,,,230.80M,590.80M,1.470B,,282.90M,,,,282.90M,,282.90M,,,,,80.00M,,80.00M,410.10M,410.10M,,,773.00M,,300.00M,,300.00M,,,,,,,,,467.00M,767.00M,1.54B,,3.40M,2.223B,354.70M,2.644B,,,-7.90M,-70.10M,,,
2006-12,408.10M,75.40M,483.50M,475.40M,475.40M,,,,43.00M,1.002B,0.00,,30.90M,92.40M,54.80M,,178.10M,-116.10M,62.00M,176.10M,65.70M,241.80M,,,,192.00M,495.80M,1.498B,,8.80M,,,,8.80M,330.90M,339.70M,,,,,,,,360.30M,360.30M,,,700.00M,,300.00M,,300.00M,,,,,,,,,330.30M,630.30M,1.330B,,3.40M,2.091B,345.70M,2.265B,,,-8.40M,167.40M,,,
2006-09,281.60M,13.00M,294.60M,359.60M,359.60M,,,,26.00M,680.20M,,,,,,,197.70M,-134.90M,62.80M,154.00M,64.10M,218.10M,,,,194.10M,475.00M,1.155B,,222.80M,,,,222.80M,,222.80M,,,,,,,,302.50M,302.50M,,,525.30M,,300.00M,,300.00M,,,,,,,,,291.20M,591.20M,1.116B,,3.40M,1.855B,322.80M,2.152B,,,9.80M,38.70M,,,
2006-06,223.20M,7.10M,230.30M,424.60M,424.60M,,,,24.90M,679.80M,,,,,,,194.90M,-134.90M,60.00M,154.00M,66.60M,220.60M,,,,170.70M,451.30M,1.131B,,192.20M,,,,192.20M,,192.20M,,,,,,,,334.90M,334.90M,,,527.10M,,300.00M,,300.00M,,,,,,,,,283.40M,583.40M,1.110B,,3.40M,1.718B,303.30M,2.011B,,,7.50M,20.60M,,,
2006-03,495.90M,109.10M,605.00M,422.80M,422.80M,,,,35.00M,1.063B,,,,,,,193.20M,-134.90M,58.30M,153.70M,69.10M,222.80M,,,,158.50M,439.60M,1.502B,,205.20M,,,,205.20M,,205.20M,,,,,,,,344.90M,344.90M,,,550.10M,,300.00M,,300.00M,,,,,,,,,270.10M,570.10M,1.120B,,3.40M,1.565B,277.70M,1.465B,,,0.30M,382.20M,,,
2005-12,486.00M,94.50M,580.50M,421.80M,421.80M,,,,49.50M,1.052B,0.00,25.80M,44.00M,79.10M,41.40M,,190.30M,-134.90M,55.40M,,222.90M,222.90M,,,,127.10M,405.40M,1.457B,,279.80M,,,,279.80M,,279.80M,,,,,,,,299.10M,299.10M,,,578.90M,,300.00M,,300.00M,,,,,,,,,268.90M,568.90M,1.148B,,3.40M,1.419B,240.90M,1.353B,,,-0.90M,309.40M,,,
2005-09,736.70M,81.70M,818.40M,336.80M,336.80M,,,,42.80M,1.198B,,,,,,,164.30M,-117.10M,47.20M,,197.50M,197.50M,,,,112.40M,357.10M,1.555B,,244.50M,,,,244.50M,,244.50M,,,,,,,,261.30M,261.30M,,,505.80M,,300.00M,,300.00M,,,,,,,,,251.70M,551.70M,1.058B,,3.40M,1.306B,219.60M,1.030B,,,-1.20M,497.60M,,,
2005-06,930.80M,,930.80M,379.40M,379.40M,,,,60.50M,1.371B,,,,,,,162.80M,-117.10M,45.70M,,199.10M,199.10M,,,,108.80M,353.60M,1.724B,,251.70M,,,,251.70M,,251.70M,,300.00M,,,300.00M,,300.00M,291.50M,291.50M,,,843.20M,,,,,,,,,,,,,,239.00M,1.082B,,3.40M,1.176B,198.40M,737.40M,2.20M,,2.20M,642.10M,,,
2005-03,777.00M,,777.00M,364.60M,364.60M,,,,63.70M,1.205B,,,,,,,161.90M,-117.10M,44.80M,,200.90M,200.90M,,,,108.00M,353.70M,1.559B,,238.00M,,,,238.00M,,238.00M,,300.00M,,,300.00M,,300.00M,297.30M,297.30M,,,835.30M,,,,,,,,,,,,,,228.90M,1.064B,,1.70M,1.047B,177.80M,739.50M,8.00M,,8.00M,494.80M,,,
2004-12,606.10M,7.30M,613.40M,371.70M,371.70M,,,,50.80M,1.036B,0.00,25.40M,35.10M,71.10M,30.70M,,162.30M,-117.10M,45.20M,,202.40M,202.40M,,,,105.80M,353.40M,1.389B,,283.80M,,,,283.80M,,283.80M,,300.00M,,,300.00M,,300.00M,266.70M,266.70M,,,850.50M,,,,,,,,,,,,,,221.30M,1.072B,,3.40M,939.30M,142.30M,777.20M,,,9.70M,317.50M,,,
2004-09,451.00M,,451.00M,285.50M,285.50M,,,,53.00M,789.50M,,,,,,,142.20M,-98.00M,44.20M,,199.90M,199.90M,,,,100.40M,344.50M,1.134B,,236.60M,,,,236.60M,,236.60M,,,,,,,,234.00M,234.00M,,,470.60M,,300.30M,,300.30M,,,,,,,,,215.60M,515.90M,986.50M,,1.70M,827.90M,121.90M,811.10M,7.10M,,7.10M,147.50M,,,
2004-06,332.30M,,332.30M,295.80M,295.80M,,,,26.60M,654.70M,,,,,,,144.30M,-98.00M,46.30M,,201.10M,201.10M,,,,99.20M,346.60M,1.001B,,181.90M,,,,181.90M,,181.90M,,,,,,,,248.00M,248.00M,,,429.90M,,300.00M,,300.00M,,,,,,,,,209.30M,509.30M,939.20M,,1.70M,743.50M,110.10M,800.20M,7.00M,,7.00M,62.10M,,,
2004-03,368.10M,,368.10M,281.50M,281.50M,,,,30.40M,680.00M,,,,,,,146.00M,-98.00M,48.00M,,203.00M,203.00M,,,,125.50M,376.50M,1.056B,,158.70M,,,,158.70M,,158.70M,,,,,,,,252.30M,252.30M,,,411.00M,,300.00M,,300.00M,,,,,,,,,245.90M,545.90M,956.90M,,1.70M,651.20M,98.30M,660.50M,8.90M,,8.90M,99.60M,,,
2003-12,269.10M,,269.10M,270.30M,270.30M,,,,40.50M,579.90M,0.00,24.60M,33.60M,62.90M,23.70M,,144.80M,-98.00M,46.80M,,203.80M,203.80M,,,,121.80M,372.40M,952.30M,,228.40M,,,,228.40M,,228.40M,,,,,,,,214.60M,214.60M,,,443.00M,,300.00M,,300.00M,,,,,,,,,241.40M,541.40M,984.40M,,1.70M,558.90M,76.40M,677.20M,8.10M,,8.10M,-32.10M,,,
2003-09,179.90M,,179.90M,207.80M,207.80M,,,,50.40M,438.10M,,,,,,,128.00M,-80.90M,47.10M,,205.60M,205.60M,,,,96.20M,348.90M,787.00M,,175.60M,,,,175.60M,,175.60M,,,,,,,,184.40M,184.40M,,,360.00M,,300.00M,,300.00M,,,,,,,,,217.20M,517.20M,877.20M,,1.70M,480.10M,67.50M,644.70M,5.20M,,5.20M,-90.20M,,,
2003-06,81.20M,,81.20M,237.20M,237.20M,,,,50.30M,368.70M,,,,,,,129.30M,-80.90M,48.40M,,207.20M,207.20M,,,,96.60M,352.20M,720.90M,,149.80M,,,,149.80M,,149.80M,,,,,,,,200.10M,200.10M,,,349.90M,,300.00M,,300.00M,,,,,,,,,210.50M,510.50M,860.40M,,1.70M,401.30M,58.90M,604.80M,3.40M,,3.40M,-139.50M,,,
2003-03,57.80M,,57.80M,223.20M,223.20M,,,,50.10M,331.10M,,,,130.20M,,,130.20M,-80.90M,49.30M,,208.60M,208.60M,,,,95.90M,353.80M,684.90M,,155.80M,,,,155.80M,,155.80M,,,,,93.10M,,93.10M,203.30M,203.30M,,,452.20M,,300.00M,,300.00M,,,,,,,,,204.60M,504.60M,956.80M,,1.70M,307.00M,49.40M,632.10M,2.10M,,2.10M,-271.90M,,,
2002-12,39.90M,,39.90M,178.10M,178.10M,,,,54.30M,272.30M,0.00,24.20M,,56.80M,50.50M,,131.50M,-80.90M,50.60M,,210.70M,210.70M,,,,97.20M,358.50M,630.80M,,184.90M,,,,184.90M,,184.90M,,,,,107.10M,,107.10M,170.00M,170.00M,,,462.00M,,328.50M,,328.50M,,,,,,,,,167.30M,495.80M,957.80M,,1.70M,221.80M,45.50M,597.70M,1.70M,,1.70M,-327.00M,,,
2002-09,69.90M,,69.90M,151.70M,151.70M,,,,60.20M,281.80M,,,,,,,126.20M,-80.50M,45.70M,,212.30M,212.30M,,,,94.60M,352.60M,634.40M,,165.20M,,,,165.20M,,165.20M,,,,,,,,159.00M,159.00M,,,324.20M,,300.00M,,300.00M,,,,,,,,,190.70M,490.70M,814.90M,,1.70M,158.70M,41.00M,382.30M,0.40M,,0.40M,-180.50M,,,
2002-06,78.50M,,78.50M,177.60M,177.60M,,,,55.50M,311.60M,,,,,,,126.20M,-80.50M,45.70M,125.20M,87.80M,213.00M,,,,93.30M,352.00M,663.60M,,173.10M,,,,173.10M,,173.10M,,,,,,,,173.30M,173.30M,,,346.40M,,300.00M,,300.00M,,,,,,,,,159.90M,459.90M,806.30M,,1.70M,98.00M,84.40M,326.70M,-0.10M,,-0.10M,-142.70M,,,
2002-03,177.80M,,177.80M,158.40M,158.40M,,,,60.50M,396.70M,,,,,,,123.50M,-80.50M,43.00M,,14.70M,14.70M,,,,75.70M,133.40M,530.10M,,169.70M,,,,169.70M,,169.70M,,,,,,,,154.90M,154.90M,,,324.60M,,300.00M,,300.00M,,,,,,,,,156.80M,456.80M,781.40M,,1.70M,26.30M,49.40M,325.60M,-3.10M,,-3.10M,-251.30M,,,
2001-12,163.20M,,163.20M,148.40M,148.40M,,,,59.60M,371.20M,0.00,23.90M,28.80M,70.70M,,,123.40M,-80.50M,42.90M,,10.30M,10.30M,,,,81.00M,134.20M,505.40M,,236.90M,,,,236.90M,,236.90M,,,,,,,,,,,122.40M,359.30M,,300.00M,,300.00M,,,,,,,,,150.20M,450.20M,809.50M,,1.70M,-39.30M,43.70M,307.50M,-2.70M,,-2.70M,-304.10M,,,
2001-09,174.70M,,174.70M,112.40M,112.40M,,,,59.10M,346.20M,,,,,,,494.30M,-451.60M,42.70M,,11.70M,11.70M,,,,72.90M,127.30M,473.50M,,203.40M,,,,203.40M,,203.40M,,,,,,,,135.60M,135.60M,,,339.00M,,300.00M,,300.00M,,,,,,,,,130.10M,430.10M,769.10M,,1.70M,-91.10M,24.90M,228.70M,-2.40M,,-2.40M,-295.60M,,,
2001-06,164.40M,,164.40M,117.50M,117.50M,,,,56.00M,337.90M,,,,,,,493.60M,-451.60M,42.00M,,12.40M,12.40M,,,,69.70M,124.10M,462.00M,,142.10M,,,,142.10M,,142.10M,,,,,,,,145.50M,145.50M,,,287.60M,,300.00M,,300.00M,,,,,,,,,130.90M,430.90M,718.50M,,1.70M,-133.90M,34.70M,155.70M,-3.30M,,-3.30M,-256.50M,,,
2001-03,99.00M,,99.00M,123.70M,123.70M,,,,57.10M,279.80M,,,,,,,493.90M,-451.60M,42.30M,,13.10M,13.10M,,,,64.40M,119.80M,399.60M,,143.20M,,,,143.20M,,143.20M,,,,,,,,150.40M,150.40M,,,293.60M,,300.00M,,300.00M,,,,,,,,,129.90M,429.90M,723.50M,,1.70M,-182.30M,15.70M,155.70M,-3.30M,,-3.30M,-323.90M,,,
2000-12,119.10M,,119.10M,,101.00M,,,,57.50M,277.60M,,,,,,,495.00M,-451.60M,43.40M,,13.70M,13.70M,,,,63.60M,120.70M,398.30M,,135.40M,,,,135.40M,,135.40M,,,,,,,,,,,117.70M,253.10M,,300.00M,,300.00M,,,,,,,,,127.70M,427.70M,680.80M,,1.70M,-223.20M,7.90M,67.00M,-1.90M,,-1.90M,-282.50M,,,
2000-09,22.60M,,22.60M,,87.80M,,,,57.90M,168.30M,,,,,,,494.50M,-451.60M,42.90M,,14.20M,14.20M,,,,71.60M,128.70M,297.00M,,107.30M,,,,107.30M,,107.30M,,,,,,,,,,,112.70M,220.00M,,195.50M,,195.50M,,,,,,,,,142.60M,338.10M,558.10M,,1.70M,-258.70M,,0.10M,-4.00M,,-4.00M,-261.10M,,,
2000-06,54.80M,,54.80M,,332.20M,,,,108.60M,495.60M,,,,,,,673.00M,-451.60M,221.40M,,148.80M,148.80M,,,,562.60M,932.80M,1.428B,,,,,,,,,,,,,291.90M,,291.90M,,,,681.40M,973.30M,,,,,,,,,,,302.50M,,455.20M,455.20M,1.428B,,1.70M,-0.10M,226.50M,291.40M,-200.90M,-38.40M,-239.30M,-302.60M,,,
2000-03,70.00M,,70.00M,,508.00M,,,,219.90M,797.90M,,,,,,,727.30M,-451.60M,275.70M,,174.10M,174.10M,,,,563.70M,1.014B,1.811B,,,,,,,,,,,,,38.90M,,38.90M,,,,1.327B,1.366B,,,,,,,,,,,302.10M,,476.10M,476.10M,1.842B,,1.70M,-39.00M,230.40M,301.50M,-185.60M,-38.40M,-224.00M,-332.40M,,,
1999-12,3.40M,,3.40M,,84.40M,,,,84.90M,172.70M,,,,,,,494.90M,-451.60M,43.30M,,2.20M,2.20M,,,,56.60M,102.10M,274.80M,,275.10M,,,,275.10M,,275.10M,,,,,,,,,,,100.40M,375.50M,,,,,,,,,,,,,,122.40M,497.90M,,1.70M,-222.30M,,0.10M,-2.40M,,-2.40M,-223.10M,,,
1999-09,70.80M,,70.80M,,426.00M,,,,192.80M,689.60M,,,,,,,728.00M,-450.30M,277.70M,,168.50M,168.50M,,,,577.40M,1.024B,1.713B,,,,,,,,,,,,,102.60M,,102.60M,,,,1.240B,1.343B,,,,,502.20M,,502.20M,,,,301.70M,,,502.20M,1.845B,,1.70M,-108.70M,233.10M,329.80M,-185.30M,-44.60M,-229.90M,-433.60M,,,
1999-06,76.40M,,76.40M,,441.40M,,,,188.00M,705.80M,,,,,,,727.90M,-442.50M,285.40M,,171.10M,171.10M,,,,557.70M,1.014B,1.72B,,,,,,,,,,,,,129.20M,,129.20M,,,,1.234B,1.364B,,,,,516.10M,,516.10M,,,,302.10M,,,516.10M,1.880B,,,-144.90M,,,,,,-461.90M,,,
1999-03,70.90M,,70.90M,,518.20M,,,,212.30M,801.40M,,,,,,,727.70M,-434.70M,293.00M,,179.00M,179.00M,,,,547.90M,1.020B,1.821B,,,,,,,,,,,,,64.30M,,64.30M,,,,1.310B,1.375B,,,,,,,,,,,302.00M,,512.50M,512.50M,1.887B,,,-180.90M,,,,,,-367.90M,,,
1998-12,90.60M,,90.60M,,445.20M,,,,228.20M,764.00M,,,,,,,728.40M,-430.10M,298.30M,,191.80M,191.80M,,,,535.10M,1.025B,1.789B,,,,,,,,,,,,,36.90M,,36.90M,,,,1.316B,1.353B,,,,,505.80M,,505.80M,,,,301.70M,,,505.80M,1.858B,,,-240.90M,,,,,,-371.00M,,,
1998-09,156.40M,,156.40M,,375.30M,,,,168.10M,699.80M,,,,,,,716.40M,-417.70M,298.70M,,189.90M,189.90M,,,,480.90M,969.50M,1.669B,,,,,,,,,,,,,1.50M,,1.50M,,,,941.50M,943.00M,,,,,,,,,,,301.90M,,751.30M,751.30M,1.694B,,,-261.90M,,,,,,-326.90M,,,
1998-06,247.90M,,247.90M,,425.40M,,,,176.50M,849.80M,,,,,,,743.90M,-440.70M,303.20M,,188.00M,188.00M,,,,475.30M,966.50M,1.816B,,,,,,,,,,,,,,,,,,,,995.60M,,,,,,,,,,,301.80M,,772.60M,772.60M,1.768B,,,-298.90M,,,,,,-253.70M,,,
