,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-12,5.926B,,,,,,2.298B,,2.298B,2.298B,340.00M,,3.479B,-2.268B,254.00M,1.306B,,173.00M,-535.00M,-2.611B,9.759B,,-5.318B,2.369B,-2.949B,,3.005B,,-20.10B,-17.75B,,27.62B,4.373B,31.99B,,-1.164B,-1.164B,,,,-2.589B,-20.02B,8.304B,,13.97B,309.00M,,14.28B,,,,27.62B,,-1.164B,,AOR,Restated
2006-09,4.604B,,,,,,2.108B,,2.108B,2.108B,928.00M,,1.292B,-1.094B,-394.00M,277.00M,,223.00M,-988.00M,1.066B,9.492B,,-3.473B,1.53B,-1.943B,,-3.506B,,-9.244B,-15.48B,,16.57B,4.139B,20.71B,,-7.39B,-1.173B,,,,-2.584B,-8.02B,8.698B,,11.25B,2.715B,,13.97B,,,,16.57B,,-7.39B,,AOR,Restated
2006-06,4.637B,,,,,,1.919B,,1.919B,1.919B,64.00M,,32.00M,-671.00M,-496.00M,-437.00M,,354.00M,-1.25B,397.00M,6.695B,,-4.066B,1.783B,-2.283B,,1.102B,,-7.788B,-13.06B,,19.56B,-2.045B,17.51B,,,-3.076B,,,,-2.616B,-6.551B,5.491B,,12.12B,-869.00M,,11.25B,,,,19.56B,,,,AOR,Restated
2006-03,4.177B,,,,,,2.132B,,2.132B,2.132B,307.00M,,-1.451B,1.839B,-878.00M,-1.422B,,-108.00M,-569.00M,91.00M,5.509B,,-2.931B,1.113B,-1.818B,,718.00M,,-6.063B,-6.363B,,24.62B,-1.498B,23.12B,,,-3.141B,,,,-2.631B,-15.93B,1.174B,,11.80B,320.00M,,12.12B,,,,24.62B,,,,AOR,Restated
2005-12,4.826B,,,,,,1.358B,,1.358B,1.358B,-254.00M,,-443.00M,-2.856B,363.00M,1.336B,,115.00M,-1.042B,3.70B,8.429B,,-4.096B,1.586B,-2.51B,,983.00M,,-9.324B,-13.92B,,18.24B,5.249B,23.48B,,,-2.976B,,,,-2.337B,-11.99B,6.364B,,10.93B,874.00M,,11.80B,,,,18.24B,,,,AOR,Restated
2005-09,4.592B,,,,,,2.217B,,2.217B,2.217B,-260.00M,,3.963B,222.00M,-306.00M,305.00M,,285.00M,506.00M,1.481B,13.59B,,-3.525B,1.362B,-2.163B,,3.101B,,-9.846B,-13.03B,,7.763B,-4.204B,3.559B,,,-1.479B,,,,-2.338B,-3.216B,-2.534B,,12.89B,-1.967B,,10.93B,,,,7.763B,,,,AOR,Restated
2005-06,4.376B,,,,,,1.986B,,1.986B,1.986B,-381.00M,,-2.08B,229.00M,65.00M,182.00M,,212.00M,688.00M,1.197B,6.744B,,-3.207B,1.26B,-1.947B,,362.00M,,1.37B,-987.00M,,16.80B,-2.397B,14.41B,,,-510.00M,,,,-2.341B,-17.24B,-5.762B,,12.90B,-5.00M,,12.89B,,,,16.80B,,,,AOR,Restated
2005-03,3.56B,,,,,,2.28B,,2.28B,2.28B,-168.00M,,2.188B,1.315B,-678.00M,-1.583B,,-102.00M,-1.048B,1.21B,8.924B,,-2.934B,1.811B,-1.123B,,-7.30B,,1.616B,-7.166B,,23.72B,-3.27B,20.45B,,,121.00M,,,,-2.336B,-21.81B,-4.187B,,15.33B,-2.429B,,12.90B,,,,23.72B,,,,AOR,Restated
2004-12,5.413B,,,,,,,,2.19B,2.19B,2.266B,,-285.00M,-2.307B,7.00M,-585.00M,,-3.544B,-6.429B,,9.92B,,-3.689B,,2.15B,,5.973B,,-13.27B,-12.80B,,15.01B,6.633B,21.64B,,,129.00M,,,,-2.12B,-13.83B,8.131B,,10.08B,5.253B,,15.33B,,,,15.01B,8.191B,,,AOR,Restated
2004-09,4.071B,,,,,,,,2.104B,2.104B,-484.00M,,108.00M,-107.00M,-216.00M,1.449B,,1.86B,2.986B,,9.57B,,-2.966B,,-2.966B,,-1.134B,,-2.909B,-7.009B,,15.13B,-4.552B,10.58B,,,-99.00M,,,,-2.118B,-11.11B,-2.751B,,10.26B,-190.00M,,10.08B,,,,15.13B,-8.191B,,,AOR,Restated
2004-06,3.751B,,,,,,,,2.057B,2.057B,-1.937B,,530.00M,-19.00M,9.00M,3.226B,,506.00M,3.722B,,9.127B,,-3.882B,,-3.882B,,-6.802B,,1.729B,-8.955B,,17.77B,-4.699B,13.07B,,,-90.00M,,,,-2.021B,-14.24B,-3.278B,,13.37B,-3.106B,,10.26B,,,,17.77B,,,,AOR,Restated
2004-03,3.366B,,,,,,,,1.997B,1.997B,206.00M,,424.00M,816.00M,-268.00M,-334.00M,,714.00M,928.00M,,7.876B,,-2.399B,,-2.399B,,-12.12B,,4.862B,-9.661B,,10.63B,1.06B,11.69B,,,4.053B,,,,-2.019B,-11.23B,2.492B,,12.66B,707.00M,,13.37B,,,,10.63B,,,,AOR,Restated
2003-12,2.737B,,,,,,1.74B,,1.74B,1.74B,950.00M,,-4.165B,-450.00M,725.00M,-1.647B,,-1.907B,-3.279B,,6.325B,,-3.224B,,1.694B,,-3.849B,,2.257B,-5.843B,,17.25B,220.00M,17.47B,,,398.00M,,,,-1.914B,-11.42B,3.848B,,8.334B,4.33B,,12.66B,,,,17.25B,20.78B,,,AOR,Restated
2003-09,4.021B,,,,,,1.741B,,1.741B,1.741B,417.00M,,2.685B,182.00M,70.00M,1.302B,,-373.00M,1.181B,,11.11B,,-2.471B,,-2.471B,,-1.828B,,13.49B,9.188B,,8.199B,-12.12B,-3.921B,,,162.00M,,,,-1.908B,-13.44B,-19.11B,,7.151B,1.183B,,8.334B,,,,8.199B,-20.78B,,,AOR,Restated
2003-06,3.794B,,,,,,1.718B,,1.718B,1.718B,-205.00M,,355.00M,147.00M,15.00M,802.00M,,560.00M,1.524B,,8.164B,,-2.084B,,-2.084B,,-8.58B,,-9.927B,-20.59B,,32.24B,-1.75B,30.49B,,,286.00M,,,,-1.926B,-18.77B,10.08B,,9.499B,-2.348B,,7.151B,,,,20.53B,11.71B,,,AOR,Restated
2003-03,3.214B,,,,,,1.665B,,1.665B,1.665B,44.00M,,-1.266B,655.00M,64.00M,-225.00M,,-1.277B,-783.00M,,3.634B,,-1.972B,,-1.972B,,-95.00M,,-2.53B,-4.597B,,10.03B,-6.909B,3.118B,,,-120.00M,,,,-1.895B,449.00M,1.552B,,8.91B,589.00M,,9.499B,,,,21.74B,-11.71B,,,AOR,Restated
2002-12,3.102B,,,,,,,,1.844B,1.844B,493.00M,,-235.00M,234.00M,249.00M,-2.404B,,2.683B,762.00M,,6.963B,,-5.22B,,1.137B,,-7.887B,,-14.19B,-20.94B,,16.71B,11.18B,27.89B,,,-115.00M,,,,-1.79B,-13.57B,12.41B,,10.48B,-1.567B,,8.91B,,,,16.71B,,,,AOR,Restated
2002-09,4.087B,,,,,,,,1.694B,1.694B,347.00M,,-504.00M,-536.00M,-151.00M,3.262B,,1.691B,4.266B,,10.53B,,-2.793B,,-2.793B,,-931.00M,,-8.358B,-12.08B,,19.17B,-1.982B,17.19B,,,-335.00M,,,,-1.791B,-12.60B,2.467B,,9.562B,915.00M,,10.48B,,,,19.17B,,,,AOR,Restated
2002-06,4.426B,,,,,,,,1.67B,1.67B,1.108B,,-761.00M,-345.00M,421.00M,-225.00M,,-1.298B,-1.447B,,5.781B,,-2.588B,,-2.588B,,-10.84B,,-5.589B,-19.02B,,33.23B,-14.89B,18.34B,,,37.00M,,,,-1.789B,-2.576B,14.01B,,8.793B,769.00M,,9.562B,,,,33.23B,11.65B,,,AOR,Restated
2002-03,3.518B,,,,,,,,1.303B,1.303B,466.00M,,-999.00M,238.00M,-606.00M,-406.00M,,1.316B,542.00M,,5.492B,,-3.455B,,-3.455B,,-1.909B,,-3.818B,-9.182B,,25.90B,-11.65B,14.25B,,,-572.00M,,,,-1.787B,-7.838B,4.05B,,8.433B,360.00M,,8.793B,,,,25.90B,-11.65B,,,AOR,Restated
2001-12,3.933B,,,,,,1.907B,313.00M,2.22B,2.22B,752.00M,,-4.668B,489.00M,-31.00M,2.515B,,3.077B,6.05B,,9.222B,,-4.782B,,2.809B,,-5.60B,,-16.59B,-19.38B,,13.01B,23.78B,36.80B,,,-640.00M,,,,-1.59B,-24.16B,10.41B,,8.834B,248.00M,,8.433B,,,,13.01B,,,,AOR,Restated
2001-09,3.281B,,,,,,1.424B,334.00M,1.758B,1.758B,939.00M,,-6.084B,55.00M,-216.00M,506.00M,,6.596B,6.941B,,7.402B,,-3.882B,,-3.882B,,-3.125B,,-2.035B,-9.042B,,6.596B,-1.792B,4.804B,,,-458.00M,,,,-1.59B,-282.00M,2.474B,,8.00B,834.00M,,8.834B,,,,6.596B,,,,AOR,Restated
2001-06,3.897B,,,,,,1.276B,310.00M,1.586B,1.586B,-441.00M,,3.473B,4.00M,-16.00M,2.289B,,530.00M,2.807B,,11.82B,,-5.231B,,-5.231B,,-3.245B,,-1.457B,-9.933B,,5.174B,563.00M,5.737B,,,-697.00M,,,,-1.589B,-5.513B,-2.062B,,8.177B,-177.00M,,8.00B,,,,5.174B,,,,AOR,Restated
2001-03,3.017B,,,,,,1.266B,295.00M,1.561B,1.561B,176.00M,,-1.017B,-351.00M,-222.00M,-634.00M,,1.437B,230.00M,,4.45B,,-2.499B,,-2.499B,,-459.00M,,504.00M,-2.454B,,7.287B,-2.07B,5.217B,,,-640.00M,,,,-1.589B,-5.002B,-2.014B,,8.195B,-18.00M,,8.177B,,,,7.287B,,,,AOR,Restated
2000-12,3.585B,,,,,,1.268B,-567.00M,701.00M,701.00M,660.00M,,451.00M,161.00M,38.00M,1.055B,,4.138B,5.392B,,11.43B,,-4.428B,,2.339B,,-1.247B,,-14.99B,-13.89B,,19.99B,-11.89B,8.097B,,,376.00M,,,,-1.355B,-5.24B,1.878B,,8.782B,-587.00M,,7.546B,,,,19.99B,,,,AOR,Restated
2000-09,3.18B,,,,,,1.229B,604.00M,1.833B,1.833B,-252.00M,,-92.00M,-497.00M,-301.00M,1.352B,,3.00M,557.00M,,5.689B,,-3.425B,,-3.425B,,-417.00M,,-8.059B,-11.90B,,7.417B,5.788B,13.20B,,,-892.00M,,,,-1.353B,-8.051B,2.909B,,12.08B,-3.303B,,8.782B,,,,7.417B,,,,AOR,Restated
2000-06,3.378B,,,,,,1.153B,745.00M,1.898B,1.898B,448.00M,,-1.597B,-58.00M,-54.00M,1.202B,,-1.744B,-654.00M,,3.894B,,-3.936B,,-3.936B,,-481.00M,,-6.944B,-11.36B,,11.52B,5.918B,17.43B,,,362.00M,,,,-1.346B,-14.96B,1.49B,,18.06B,-5.977B,,12.08B,,,,11.52B,,,,AOR,Restated
2000-03,2.592B,,,,,,1.389B,564.00M,1.953B,1.953B,297.00M,,-2.472B,-143.00M,-607.00M,-312.00M,,-151.00M,-1.213B,,1.678B,,-2.178B,,-2.178B,,-187.00M,,1.822B,-543.00M,,8.723B,-8.056B,667.00M,,,623.00M,,,,-1.347B,8.43B,8.373B,,8.554B,9.508B,,18.06B,,,,8.723B,,,,AOR,Restated
1999-12,3.089B,,,,,,1.306B,528.00M,1.834B,1.834B,1.406B,,-2.026B,-158.00M,621.00M,1.32B,,1.754B,3.537B,,8.463B,,-6.873B,,-611.00M,,-3.809B,,-15.53B,-19.95B,,20.48B,12.06B,32.54B,,,-260.00M,,,,-1.147B,-17.20B,13.93B,,6.112B,2.442B,,8.554B,,,,20.48B,,,,,Restated
1999-09,2.653B,,,,,,1.241B,434.00M,1.675B,1.675B,275.00M,,-1.412B,-60.00M,96.00M,560.00M,,1.796B,2.392B,,5.81B,,-3.79B,,-3.79B,,-832.00M,,-1.597B,-6.219B,,12.60B,-10.98B,1.616B,,,-840.00M,,,,-1.148B,1.794B,1.422B,,5.099B,1.013B,,6.112B,,,,12.60B,,,,,Restated
1999-06,2.82B,,,,,,1.236B,433.00M,1.669B,1.669B,-367.00M,,2.312B,-119.00M,-232.00M,-394.00M,,-81.00M,-826.00M,,6.05B,,-3.183B,,-3.183B,,-2.711B,,-3.831B,-9.725B,,14.94B,1.557B,16.50B,,,588.00M,,,1.146B,-1.146B,-11.76B,4.178B,,4.596B,503.00M,,5.099B,,,,7.248B,7.696B,,,,Restated
1999-03,2.155B,,,,,,1.125B,388.00M,1.513B,1.513B,188.00M,,-675.00M,480.00M,-219.00M,-666.00M,,1.115B,710.00M,,4.27B,,-1.656B,,-1.656B,,-4.302B,,-327.00M,-6.285B,,134.00M,3.537B,3.671B,,,-490.00M,,,-1.146B,-1.146B,259.00M,2.294B,,4.317B,279.00M,,4.596B,,,,7.83B,-7.696B,,,,Restated
1998-12,2.671B,,,,,,,,2.625B,2.625B,471.00M,,-2.017B,-958.00M,163.00M,1.867B,-3.008B,,1.734B,,7.087B,,6.023B,,10.07B,,,,-7.544B,-16.09B,,,,42.29B,,1.717B,-1.102B,,,,-980.00M,-32.66B,7.551B,,0.00,-1.45B,,4.317B,,,,,,1.717B,,,Restated
1998-09,2.284B,,,,,,,,1.152B,1.152B,289.00M,,-531.00M,1.26B,-311.00M,133.00M,673.00M,,1.755B,,4.949B,,-8.292B,,-8.292B,,,,-2.486B,-10.78B,,,,8.749B,,11.00M,11.00M,,,,-976.00M,-50.00M,7.734B,,0.00,1.905B,,0.00,,,,,,11.00M,,,
1998-06,2.45B,,,,,,,,660.00M,660.00M,209.00M,,-124.00M,-357.00M,424.00M,-719.00M,1.174B,,522.00M,,3.717B,,-3.354B,,-3.354B,,,,-5.539B,-8.893B,,,,5.379B,,-774.00M,-774.00M,,,,-978.00M,-8.00M,3.619B,,5.419B,-1.557B,,0.00,,,,,,-774.00M,,,
1998-03,1.891B,,,,,,,,1.423B,1.423B,174.00M,,-1.915B,704.00M,-126.00M,295.00M,1.161B,,2.034B,,3.607B,,-3.359B,,-3.359B,,,,-1.015B,-4.374B,,,,2.471B,,-954.00M,-954.00M,,,,-979.00M,-213.00M,325.00M,,5.861B,-442.00M,,5.419B,,,,,,-954.00M,,,
1997-12,2.35B,,,,,,,,1.102B,1.102B,-430.00M,,913.00M,186.00M,463.00M,50.00M,-5.00M,,694.00M,,4.629B,,-2.384B,,-133.00M,,,,-8.477B,-8.61B,,,,6.69B,,-784.00M,-784.00M,,,,-852.00M,499.00M,5.553B,,0.00,1.572B,,5.861B,,,,,,-784.00M,,,
1997-09,2.014B,,,,,,,,1.049B,1.049B,296.00M,,-1.844B,564.00M,-36.00M,34.00M,78.00M,,640.00M,,2.155B,,-2.197B,,-2.197B,,,,-1.073B,-3.27B,,,,2.524B,,-245.00M,-245.00M,,,,-849.00M,168.00M,1.598B,,0.00,483.00M,,0.00,,,,,,-245.00M,,,
1997-06,2.162B,,,,,,,,979.00M,979.00M,89.00M,,729.00M,-27.00M,-141.00M,281.00M,941.00M,,1.054B,,5.013B,,-2.065B,,-2.065B,,,,-2.96B,-5.025B,,,,2.416B,,-1.105B,-1.105B,,,,-855.00M,-259.00M,197.00M,,0.00,185.00M,,0.00,,,,,,-1.105B,,,
1997-03,1.677B,,,,,,,,952.00M,952.00M,329.00M,,-1.281B,948.00M,-672.00M,-165.00M,655.00M,,766.00M,,2.443B,,-1.742B,,-1.742B,,,,372.00M,-1.37B,,,,-484.00M,,-681.00M,-681.00M,,,,-855.00M,377.00M,-1.643B,,4.191B,-570.00M,,0.00,,,,,,-681.00M,,,
1996-12,2.067B,,,,,,,,989.00M,989.00M,363.00M,,1.153B,284.00M,658.00M,1.01B,382.00M,,2.334B,,6.906B,,-2.163B,,-800.00M,,,,-6.366B,-7.166B,,,,1.26B,,-373.00M,-373.00M,,,,-758.00M,-350.00M,-221.00M,,0.00,-481.00M,,4.191B,,,,,,-373.00M,,,
1996-09,1.788B,,,,,,,,972.00M,972.00M,521.00M,,2.216B,-22.00M,-10.00M,268.00M,-605.00M,,-369.00M,,5.128B,,-1.998B,,-1.998B,,,,-3.827B,-5.825B,,,,2.369B,,-503.00M,-503.00M,,,,-760.00M,992.00M,2.098B,,0.00,1.401B,,0.00,,,,,,-503.00M,,,
1996-06,1.908B,,,,,,,,932.00M,932.00M,3.00M,,558.00M,186.00M,-157.00M,-110.00M,149.00M,,68.00M,,3.469B,,-1.89B,,-1.89B,,,,-2.50B,-4.39B,,,,2.895B,,-823.00M,-823.00M,,,,-765.00M,-285.00M,1.022B,,0.00,101.00M,,0.00,,,,,,-823.00M,,,
1996-03,1.517B,,,,,,,,892.00M,892.00M,258.00M,,-1.493B,703.00M,-567.00M,-527.00M,1.565B,,1.174B,,2.348B,,-1.709B,,-1.709B,,,,-1.122B,-2.831B,,,,2.55B,,-624.00M,-624.00M,,,,-767.00M,-329.00M,830.00M,,2.823B,347.00M,,0.00,,,,,,-624.00M,,,
1995-12,1.865B,,,,,,,,978.00M,978.00M,146.00M,,1.475B,-74.00M,834.00M,38.00M,1.811B,,2.609B,-1.428B,5.645B,,-1.147B,,395.00M,,,,-10.06B,-9.668B,,,,2.841B,-934.00M,631.00M,-303.00M,,,,-685.00M,1.834B,3.687B,,0.00,-336.00M,,2.823B,,,-934.00M,,,631.00M,,,
1995-09,1.61B,,,,,,,,859.00M,859.00M,574.00M,,-701.00M,190.00M,25.00M,842.00M,-437.00M,,620.00M,226.00M,3.188B,,-1.576B,,-1.576B,,,,-3.563B,-5.139B,,,,4.195B,370.00M,-1.168B,-798.00M,,,,-690.00M,-712.00M,1.995B,,0.00,44.00M,,0.00,,,370.00M,,,-1.168B,,,
1995-06,1.726B,,,,,,,,895.00M,895.00M,354.00M,,201.00M,-609.00M,-61.00M,199.00M,501.00M,,30.00M,253.00M,3.459B,,-2.107B,,-2.107B,,,,-3.045B,-5.152B,,,,2.937B,342.00M,-1.048B,-706.00M,,,,-696.00M,516.00M,2.051B,,0.00,358.00M,,0.00,,,342.00M,,,-1.048B,,,
1995-03,1.372B,,,,,,,,862.00M,862.00M,-27.00M,,-517.00M,978.00M,-743.00M,-835.00M,615.00M,,15.00M,949.00M,2.654B,,-1.617B,,-1.617B,,,,-3.641B,-5.258B,,,,5.564B,222.00M,-938.00M,-716.00M,,,,-699.00M,-1.379B,2.77B,,2.591B,166.00M,,0.00,,,222.00M,,,-938.00M,,,
1994-12,768.00M,,,,,,,,883.00M,883.00M,213.00M,,1.949B,568.00M,790.00M,-499.00M,-944.00M,,-85.00M,,6.552B,,-2.715B,,-209.00M,,,,-6.949B,-7.158B,,,,2.969B,330.00M,-567.00M,-237.00M,,,,-616.00M,-2.10B,16.00M,,0.00,-590.00M,,2.591B,,,330.00M,,,-567.00M,,,
1994-09,1.368B,,,,,,,,803.00M,803.00M,260.00M,,-2.72B,350.00M,-170.00M,851.00M,2.487B,,3.518B,,3.229B,,-2.328B,,-2.328B,,,,-2.875B,-5.203B,,,,2.778B,98.00M,-270.00M,-172.00M,,,,-616.00M,-44.00M,1.946B,,0.00,-28.00M,,0.00,,,98.00M,,,-270.00M,,,
1994-06,1.522B,,,,,,,,787.00M,787.00M,704.00M,,-1.623B,-155.00M,-167.00M,-707.00M,3.591B,,2.562B,,3.952B,,-1.231B,,-1.231B,,,900.00M,-2.184B,-2.515B,,,,-64.00M,209.00M,-124.00M,85.00M,,,,-615.00M,4.00M,-590.00M,,0.00,847.00M,,0.00,,,209.00M,,,-124.00M,,,
1994-03,1.068B,,,,,,,,734.00M,734.00M,51.00M,,-5.00M,778.00M,-509.00M,1.052B,-3.51B,,-2.189B,,-341.00M,,-1.218B,,-1.218B,,,-900.00M,583.00M,-1.535B,,,,1.674B,134.00M,-163.00M,-29.00M,,,,-615.00M,152.00M,1.182B,,3.218B,-694.00M,,0.00,,,134.00M,,,-163.00M,,,
1993-12,1.477B,,,,,0.00,,,1.031B,1.031B,516.00M,,-4.89B,-472.00M,930.00M,1.728B,3.81B,,5.996B,0.00,4.13B,,-989.00M,,166.00M,,,-4.164B,-5.259B,-9.257B,,,,6.046B,146.00M,-148.00M,-2.00M,,,,-537.00M,-101.00M,5.406B,,0.00,279.00M,,3.218B,,,146.00M,,,-148.00M,,,
1993-09,1.206B,,,,,0.00,,,788.00M,788.00M,189.00M,,2.308B,309.00M,229.00M,1.92B,-4.718B,,-2.26B,0.00,2.231B,,-6.00M,,-6.00M,,,228.00M,-4.729B,-4.507B,,,,2.89B,76.00M,-233.00M,-157.00M,,,,-538.00M,32.00M,2.227B,,0.00,-49.00M,,0.00,,,76.00M,,,-233.00M,,,
1993-06,1.334B,,,,,-678.00M,,,734.00M,734.00M,-388.00M,,-1.514B,-176.00M,32.00M,-601.00M,3.601B,,2.856B,19.00M,2.363B,,-2.712B,,-2.712B,,,-228.00M,-16.00M,-2.956B,,,,1.336B,121.00M,-161.00M,-40.00M,,,,-539.00M,,757.00M,,0.00,164.00M,,0.00,,,121.00M,,,-161.00M,,,
1993-03,1.16B,,,,,-75.00M,,,708.00M,708.00M,144.00M,,-311.00M,755.00M,-441.00M,298.00M,-832.00M,,-220.00M,57.00M,1.463B,,-1.032B,,-1.032B,,,,2.161B,1.129B,,,,-2.193B,63.00M,-228.00M,-165.00M,,,,-539.00M,,-2.897B,,3.129B,-305.00M,,0.00,,,63.00M,,,-228.00M,,,
1992-12,1.341B,,,,,,,,671.00M,671.00M,154.00M,,863.00M,-170.00M,911.00M,253.00M,-123.00M,,871.00M,,4.221B,,-510.00M,1.855B,1.345B,,,,-8.288B,-6.943B,,,,4.174B,179.00M,-112.00M,67.00M,,,,-504.00M,,3.737B,,0.00,1.015B,,0.00,,,179.00M,,,-112.00M,,,
1992-09,1.11B,,,,,,,,787.00M,787.00M,312.00M,,129.00M,530.00M,121.00M,465.00M,-210.00M,,906.00M,,3.244B,,-2.396B,28.00M,-2.368B,,,,-830.00M,-3.198B,,,,641.00M,114.00M,-154.00M,-40.00M,,,,-471.00M,,130.00M,,0.00,176.00M,,0.00,,,114.00M,,,-154.00M,,,
1992-06,1.216B,,,,,,,,647.00M,647.00M,68.00M,,2.734B,-170.00M,125.00M,0.00,-2.845B,,-2.89B,,1.775B,,-1.121B,-392.00M,-1.513B,,,,-1.637B,-3.15B,,,,2.30B,24.00M,-334.00M,-310.00M,,,,-473.00M,,1.517B,,0.00,142.00M,,0.00,,,24.00M,,,-334.00M,,,
1992-03,1.058B,,,,,,,,713.00M,713.00M,173.00M,,-5.837B,1.001B,-337.00M,-661.00M,4.899B,,4.902B,,1.009B,,-797.00M,392.00M,-405.00M,,,,143.00M,-262.00M,,,,53.00M,108.00M,-606.00M,-498.00M,,,,-477.00M,,-922.00M,,1.971B,-175.00M,,0.00,,,108.00M,,,-606.00M,,,
1991-12,1.263B,,,,,-130.00M,,,774.00M,774.00M,1.225B,,-332.00M,745.00M,1.158B,933.00M,-1.154B,,1.682B,,4.482B,,-552.00M,,540.00M,,,,-6.724B,-6.184B,,,,2.668B,124.00M,-313.00M,-189.00M,,,,-444.00M,,2.035B,,0.00,333.00M,,0.00,,,124.00M,,,-313.00M,,,
1991-09,1.042B,,,,,2.587B,,,705.00M,705.00M,-547.00M,,-1.799B,-530.00M,96.00M,330.00M,331.00M,,227.00M,,2.215B,,-1.172B,,-1.172B,,,,-2.783B,-3.955B,,,,2.477B,84.00M,-357.00M,-273.00M,,,,-445.00M,,1.759B,,0.00,19.00M,,0.00,,,84.00M,,,-357.00M,,,
1991-06,1.131B,,,,,-1.145B,,,668.00M,668.00M,112.00M,,,17.00M,-132.00M,-174.00M,,,-289.00M,,477.00M,,-1.111B,,-1.111B,,,,-2.035B,-3.146B,,,,3.011B,102.00M,-170.00M,-68.00M,,,,-446.00M,,2.497B,,0.00,-172.00M,,0.00,,,102.00M,,,-170.00M,,,
1991-03,999.00M,,,,,-1.312B,,,685.00M,685.00M,76.00M,,,520.00M,-718.00M,73.00M,,,-125.00M,,323.00M,,-2.165B,,-2.165B,,,,-911.00M,-3.076B,,,,3.186B,100.00M,-272.00M,-172.00M,,,,-445.00M,,2.569B,,1.975B,-184.00M,,0.00,,,100.00M,,,-272.00M,,,
1990-12,1.239B,,,,,283.00M,,,643.00M,643.00M,74.00M,,,-632.00M,816.00M,270.00M,,,454.00M,,2.784B,,-1.836B,,-249.00M,,,,-4.06B,-4.309B,,,,2.405B,399.00M,-345.00M,54.00M,,,,-412.00M,,2.047B,,0.00,522.00M,,0.00,,,399.00M,,,-345.00M,,,
1990-09,1.026B,,,,,1.538B,,,674.00M,674.00M,111.00M,,,-253.00M,40.00M,80.00M,-219.00M,,-352.00M,,2.997B,,-987.00M,,-987.00M,,,,-3.929B,-4.916B,,,,2.537B,71.00M,-809.00M,-738.00M,,,,-418.00M,,1.381B,,0.00,-538.00M,,0.00,,,71.00M,,,-809.00M,,,
1990-06,1.088B,,,,,-347.00M,,,571.00M,571.00M,16.00M,,,-199.00M,-65.00M,719.00M,219.00M,,674.00M,,2.002B,,-857.00M,,-857.00M,,,,-2.991B,-3.848B,,,,3.183B,176.00M,-562.00M,-386.00M,,,,-422.00M,,2.375B,,0.00,529.00M,,0.00,,,176.00M,,,-562.00M,,,
1990-03,950.00M,,,,,948.00M,,,620.00M,620.00M,-18.00M,,,303.00M,-765.00M,-785.00M,,,-1.247B,,1.253B,,-843.00M,,-843.00M,,,,-1.993B,-2.836B,,,,1.92B,62.00M,-769.00M,-707.00M,,,,-426.00M,,787.00M,,2.258B,-796.00M,,0.00,,,62.00M,,,-769.00M,,,
