,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-12,2.422B,2.422B,2.882B,-460.66M,,,-119.84M,132.28M,,,,,-801.64M,340.98M,,,,-210.84M,,156.61M,-10.30M,166.91M,,,,,166.91M,238.81M,440.52M,343.54M,96.98M,0.23,0.0,,0.3307,0.23,0.23,0.0,,0.3296,0.23,714.16M,721.96M,0.3425
2002-09,3.248B,3.248B,1.029B,2.219B,,,-35.68M,147.00M,,,,736.71M,1.149B,1.070B,,,,-35.68M,,867.70M,272.28M,595.41M,,,-49.09M,,595.41M,619.89M,1.360B,289.80M,1.070B,0.84,0.0,,0.8744,0.84,0.83,0.0,,0.8642,0.83,710.65M,716.46M,0.3425
2002-06,2.631B,2.631B,810.19M,1.821B,,,-5.317M,137.88M,,,,769.72M,1.162B,658.71M,,,,-5.317M,,486.27M,154.88M,331.39M,,,-48.04M,,331.39M,335.02M,935.85M,277.14M,658.71M,0.47,0.0,,0.4751,0.47,0.46,0.0,,0.4651,0.46,706.18M,712.16M,0.335
2002-03,2.214B,2.214B,641.81M,1.572B,,,-14.17M,139.85M,,,,674.04M,1.054B,517.50M,,,,-14.17M,,340.67M,116.39M,224.29M,,,-46.91M,,224.29M,233.62M,792.02M,274.52M,517.50M,0.32,0.0,,0.3333,0.32,0.32,0.0,,0.3332,0.32,701.01M,706.30M,0.335
2001-12,2.159B,2.159B,2.531B,-372.19M,,,-157.36M,120.42M,,,,,-705.21M,333.01M,,,,-209.36M,,140.38M,24.88M,115.49M,-0.217M,0.229M,,,115.50M,244.96M,543.00M,366.99M,176.01M,0.16,0.0,0.0,0.3463,0.16,0.16,0.0,0.0003,0.3442,0.16,695.04M,702.80M,0.335
2001-09,3.164B,3.164B,1.089B,2.076B,,,15.38M,142.37M,,,,652.96M,1.078B,997.88M,,,,15.38M,,838.79M,284.41M,554.38M,,,-46.56M,,554.38M,544.21M,1.326B,327.62M,997.88M,0.8,0.0,,0.7853,0.8,0.79,0.0,,0.7753,0.79,691.69M,691.73M,0.335
2001-06,2.562B,2.562B,,,,,,,,,,,,2.562B,,,,,,,,270.39M,2.185M,,,,272.57M,270.39M,2.897B,335.60M,2.562B,0.4,-0.01,,0.4,0.39,0.4,-0.01,,0.4,0.39,686.70M,691.40M,0.335
2001-03,2.270B,2.270B,,,,,,,,,,,,2.270B,,,,,,,,178.74M,140.03M,0.771M,,,319.54M,178.74M,2.597B,327.79M,2.270B,0.26,0.21,0.0,0.26,0.47,0.26,0.21,0.0011,0.26,0.47,682.58M,684.97M,0.335
2000-12,2.294B,2.294B,2.603B,-308.78M,,,-208.16M,124.64M,,,,,-648.88M,340.10M,,,,-229.16M,,96.74M,32.54M,64.20M,47.92M,,,,112.12M,202.34M,479.23M,319.13M,160.10M,0.09,0.07,,0.299,0.16,0.09,0.07,,0.2986,0.16,660.82M,662.32M,0.335
2000-09,3.197B,3.197B,1.100B,2.098B,,,4.742M,144.34M,,,,627.65M,1.059B,1.039B,,,,4.742M,,839.19M,315.89M,523.30M,90.23M,,-47.06M,,613.53M,520.34M,1.355B,316.15M,1.039B,0.81,0.14,,0.8054,0.95,0.81,0.14,,0.8055,0.95,649.35M,650.87M,0.335
2000-06,2.523B,2.523B,800.78M,1.722B,,,9.766M,131.84M,,,,680.55M,1.124B,598.16M,,,,9.766M,,403.40M,147.82M,255.57M,86.33M,,-47.04M,,341.90M,249.38M,909.57M,294.05M,598.16M,0.39,0.13,,0.3805,0.52,0.39,0.13,,0.3805,0.52,648.70M,648.70M,0.335
2000-03,2.573B,2.573B,753.17M,1.819B,,,67.82M,159.78M,,,,712.97M,1.250B,569.38M,,,,67.82M,,306.95M,61.51M,245.44M,,,-78.83M,,245.44M,191.22M,977.05M,407.67M,569.38M,0.38,0.0,,0.297,0.38,0.38,0.0,,0.297,0.38,653.13M,653.13M,0.335
1999-12,347.70M,347.70M,1.643B,-1.295B,,,-623.90M,72.50M,,,,,-1.284B,-11.30M,,,,-623.90M,,-239.80M,-1.30M,-238.50M,,,,,122.50M,382.02M,-131.20M,,-221.30M,-0.34,0.53,,0.5891,0.19,-0.34,0.53,,0.5836,0.19,667.84M,671.84M,0.335
1999-09,3.737B,3.737B,1.244B,2.492B,,,212.10M,159.20M,,,,876.20M,1.382B,1.110B,,,,212.10M,,947.00M,331.80M,615.20M,,,-170.20M,,615.20M,477.41M,1.457B,,1.110B,0.9,0.0,,0.6984,0.9,0.9,0.0,,0.6984,0.9,683.56M,683.56M,0.335
1999-06,2.791B,2.791B,901.00M,1.890B,,,66.50M,145.10M,,,,733.80M,1.223B,667.30M,,,,66.50M,,473.90M,159.90M,314.00M,,,-65.60M,,314.00M,269.94M,1.011B,,667.30M,0.45,0.0,,0.3869,0.45,0.45,0.0,,0.3869,0.45,697.78M,697.78M,0.335
1999-03,2.442B,2.442B,786.90M,1.655B,,,105.20M,146.30M,,,,665.50M,1.170B,484.86M,,,,105.20M,,332.90M,108.60M,224.30M,,,-70.70M,,224.30M,153.42M,842.86M,358.00M,484.86M,0.32,0.0,,0.2189,0.32,0.32,0.0,,0.2189,0.32,700.94M,700.94M,0.335
1998-12,634.00M,634.00M,1.800B,-1.166B,,,-298.10M,71.90M,,,,,-1.156B,-9.00M,,,,-298.10M,,18.00M,60.50M,-42.50M,,,,,-51.50M,136.36M,-74.00M,,-74.00M,-0.07,-0.01,,0.1844,-0.08,-0.07,-0.01,,0.1844,-0.08,703.20M,703.20M,0.335
1998-09,3.457B,3.457B,1.068B,2.389B,,,31.20M,148.60M,,,,695.70M,1.322B,1.067B,,,,31.20M,,831.50M,315.50M,516.00M,,,-72.20M,,516.00M,496.64M,1.545B,,1.067B,0.74,0.0,,0.7122,0.74,0.74,0.0,,0.7122,0.74,697.30M,697.30M,0.335
1998-06,2.913B,2.913B,919.50M,1.994B,,,-6.90M,143.20M,,,,693.90M,1.345B,648.70M,,,,-6.90M,,428.90M,158.10M,270.80M,,,-55.10M,,270.80M,275.16M,1.157B,,648.70M,0.39,0.0,,0.3963,0.39,0.39,0.0,,0.3963,0.39,694.36M,694.36M,0.335
