,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2002-09,120.23M,387.43M,507.66M,622.93M,988.67M,1.612B,46.02M,2.165B,6.576B,144.42M,6.813B,9.016B,,56.90M,-11.58M,,45.32M,2.274M,47.59M,,,125.00M,125.00M,125.00M,172.59M,448.90M,,448.90M,,,5.088B,766.87M,,,,6.304B,6.718B,,0.513M,1.500B,617.98M,22.95M,202.80M,2.298B,,AOR,
2002-06,124.93M,344.61M,469.54M,555.82M,945.13M,1.501B,43.06M,2.014B,6.259B,192.71M,6.506B,8.620B,,53.83M,-0.646M,,53.18M,11.91M,65.09M,,,105.00M,105.00M,105.00M,170.09M,448.85M,,448.85M,,,4.960B,658.22M,,,,6.067B,6.474B,,0.513M,1.443B,617.88M,0.055M,85.08M,2.146B,,AOR,
2002-03,101.75M,286.49M,388.24M,533.58M,923.70M,1.457B,48.04M,1.894B,6.020B,177.25M,6.344B,8.366B,,66.51M,-23.83M,,42.68M,2.241M,44.92M,,,105.00M,105.00M,105.00M,149.92M,448.81M,,448.81M,,,4.857B,563.77M,,,,5.869B,6.310B,,0.513M,1.393B,616.51M,0.055M,45.75M,2.056B,,AOR,
2001-12,71.88M,148.85M,220.73M,1.364B,,1.364B,47.18M,1.632B,5.678B,178.51M,5.921B,7.796B,,108.86M,-30.46M,,78.41M,,78.41M,,,105.00M,105.00M,105.00M,183.41M,448.77M,,448.77M,,,4.784B,489.17M,,,,5.722B,6.076B,,0.463M,1.336B,269.94M,0.055M,113.88M,1.721B,,AOR,Restated
2001-09,79.72M,173.22M,252.94M,469.06M,774.44M,1.244B,57.76M,1.554B,5.600B,188.98M,5.867B,7.661B,,71.07M,-40.06M,,31.01M,2.086M,33.10M,,,134.00M,134.00M,134.00M,167.10M,448.73M,,448.73M,,,4.579B,528.99M,,,,5.557B,5.940B,,0.463M,1.304B,268.95M,0.055M,,1.720B,,AOR,
2001-06,18.12M,236.69M,254.81M,433.85M,574.82M,1.009B,64.15M,1.328B,5.557B,200.94M,5.808B,7.317B,,66.36M,-11.37M,,54.99M,11.45M,66.44M,,,134.00M,134.00M,134.00M,200.44M,448.69M,,448.69M,,,4.196B,505.53M,,,,5.150B,5.609B,,0.462M,1.351B,267.25M,0.055M,,1.708B,,AOR,
2001-03,70.02M,117.11M,187.13M,408.45M,524.71M,933.16M,61.91M,1.182B,5.416B,154.08M,5.659B,7.084B,,63.71M,-5.835M,,57.87M,1.85M,59.72M,,,132.00M,132.00M,132.00M,191.72M,448.66M,,448.66M,,,4.108B,468.24M,,,,5.024B,5.404B,,0.461M,1.297B,262.90M,0.055M,119.92M,1.680B,,AOR,Restated
2000-12,76.82M,398.54M,475.36M,394.14M,509.00M,903.14M,58.20M,1.437B,5.387B,174.48M,5.617B,7.013B,,80.98M,-8.209M,,72.78M,,72.78M,,,235.00M,235.00M,235.00M,307.78M,448.62M,,448.62M,,,4.103B,401.15M,,,,4.953B,5.430B,,0.46M,1.250B,259.96M,0.055M,,1.583B,,AOR,Restated
2000-09,66.33M,118.21M,184.54M,358.58M,468.39M,826.97M,44.62M,1.056B,4.966B,193.25M,5.197B,6.509B,,52.00M,-11.51M,,40.49M,2.278M,42.76M,,,137.00M,137.00M,137.00M,179.76M,448.58M,,448.58M,,,3.872B,384.12M,,,,4.705B,5.038B,,0.458M,1.202B,253.52M,0.055M,,1.471B,,AOR,
2000-06,66.84M,153.38M,220.22M,338.72M,759.22M,1.098B,22.04M,1.340B,4.548B,188.01M,4.777B,6.315B,,27.26M,-14.89M,,12.36M,11.85M,24.21M,,,106.00M,106.00M,106.00M,130.21M,448.55M,,448.55M,,,3.793B,351.67M,,,,4.593B,4.915B,,0.458M,1.157B,252.77M,0.055M,,1.401B,,AOR,
2000-03,67.02M,189.36M,256.38M,323.77M,733.48M,1.057B,16.80M,1.330B,4.614B,181.42M,4.837B,6.320B,,18.82M,4.411M,,23.23M,2.16M,25.39M,,,106.00M,106.00M,106.00M,131.39M,448.51M,,448.51M,,,3.799B,338.16M,,,,4.586B,4.947B,,0.458M,1.121B,252.52M,0.055M,,1.373B,,AOR,Restated
1999-12,62.23M,73.56M,135.78M,294.94M,742.51M,1.037B,9.582M,1.183B,4.050B,188.33M,4.259B,5.704B,,8.848M,-4.475M,,4.373M,,4.373M,,,59.00M,59.00M,59.00M,63.37M,,,,,,3.826B,308.56M,,,,4.134B,4.377B,,0.509M,1.075B,390.91M,122.07M,,1.327B,,AOR,Restated
1999-09,,,,294.50M,,294.50M,,294.50M,,,5.348B,5.783B,,,,,,,,,,,,,,,,,,,3.698B,294.70M,,,,3.993B,4.405B,,,1.038B,,,,1.378B,,,
1999-06,,,,275.50M,,275.50M,,275.50M,,,5.528B,5.942B,,,,,,,,,,,,,,,,,,,3.718B,292.00M,,,,4.010B,4.531B,,,1.002B,,,,1.411B,,,
1999-03,,,,286.10M,,286.10M,,286.10M,,,5.573B,5.993B,,,,,,,,,,,,,,,,,,,3.766B,293.70M,,,,4.060B,4.538B,,,966.70M,,,,1.455B,,,
1998-12,39.33M,34.85M,74.17M,1.243B,,1.243B,8.592M,1.326B,4.282B,62.24M,4.508B,5.997B,,18.15M,-0.581M,,17.57M,,17.57M,,,0.00,0.00,0.00,17.57M,,,,,,3.995B,284.64M,,,,4.280B,4.518B,,0.509M,928.50M,390.56M,25.64M,,1.479B,,,Restated
1998-09,,,,305.00M,,305.00M,,305.00M,,,5.366B,5.812B,,,,,,,,,,,,,,,,,,,3.492B,320.10M,,,,3.812B,4.353B,,,891.30M,,,,1.459B,,,
1998-06,,,,282.40M,,282.40M,,282.40M,,,5.310B,5.732B,,,,,,,,,,,,,,,,,,,3.486B,329.60M,,,,3.816B,4.333B,,,851.70M,,,,1.399B,,,
1998-03,,,,264.70M,,264.70M,,264.70M,,,5.278B,5.686B,,,,,,,,,,,,,,,,,,,3.823B,338.50M,,,,4.162B,4.329B,,,810.70M,,,,1.356B,,,
1997-12,,,,256.20M,,256.20M,,256.20M,,,5.139B,5.538B,,,,,,,,,,,,,,,,,,,3.438B,337.40M,,,,3.775B,4.230B,,,773.40M,,,,1.308B,,,
1997-09,,,,267.80M,,267.80M,,267.80M,,,4.962B,5.369B,,,,,,,,,,,,,,,,,,,3.368B,360.00M,,,,3.728B,4.122B,,,737.70M,,,,1.247B,,,
1997-06,,,,238.60M,,238.60M,,238.60M,,,4.876B,5.249B,,,,,,,,,,,,,,,,,,,3.305B,357.40M,,,,3.663B,4.084B,,,701.30M,,,,1.165B,,,
1997-03,,,,244.10M,,244.10M,,244.10M,,,4.710B,5.088B,,,,,,,,,,,,,,,,,,,3.265B,359.80M,,,,3.625B,4.016B,,,658.90M,,,,1.073B,,,
1996-12,,,,226.50M,,226.50M,,226.50M,,,4.687B,5.048B,,,,,,,,,,,,,,,,,,,,355.90M,,,,355.90M,3.962B,,,626.50M,,,,1.086B,,,
1996-09,,,,271.70M,,271.70M,,271.70M,,,4.52B,4.925B,,,,,,,,,,,,,,,,,,,3.082B,353.70M,,,,3.436B,3.910B,,,595.70M,,,,1.015B,,,
1996-06,,,,299.60M,,299.60M,,299.60M,,,4.338B,4.764B,,,,,,,,,,,,,,,,,,,3.057B,322.60M,,,,3.379B,3.791B,,,574.00M,,,,972.80M,,,
1996-03,,,,295.60M,,295.60M,,295.60M,,,4.333B,4.757B,,,,,,,,,,,,,,,,,,,3.035B,302.90M,,,,3.338B,3.790B,,,546.80M,,,,966.40M,,,
