,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2003-09,100.33M,,,-0.346M,-0.346M,-17.05M,2.468M,,359.43M,-103.03M,,551.45M,18.46M,-419.43M,,47.45M,492.28M,,,-661.93M,185.96M,-475.96M,,,,,3.028M,,3.028M,,-4.996M,,,-1.968M,,134.91M,14.35M,-7.625M,141.64M,,3.028M,,,,,,,AOR,Restated
2003-06,109.56M,,,0.346M,0.346M,0.738M,0.465M,,-462.45M,-91.33M,,394.92M,-18.46M,419.43M,,704.56M,353.21M,,,-641.43M,-57.07M,-698.50M,,,,,319.19M,,319.19M,,-4.99M,,,314.20M,,153.72M,-31.09M,12.27M,134.91M,,319.19M,,,,,,,AOR,Restated
2003-03,94.37M,,,,,-15.27M,-0.119M,,-8.665M,-143.60M,,400.95M,,,,257.35M,327.66M,,,-376.77M,,-376.77M,,,,,0.887M,,0.887M,,-4.581M,,,-3.694M,,208.83M,-52.81M,-2.299M,153.72M,,0.887M,,,,,,,AOR,Restated
2002-12,55.56M,,,-1.691M,-1.691M,-1.306M,-1.691M,,-890.88M,142.54M,,440.74M,-5.971M,543.86M,,1.121B,281.15M,,,-2.758B,2.398B,-359.60M,,189.88M,-55.00M,154.88M,0.541M,0.00,0.541M,,-4.071M,,,151.47M,,120.23M,73.02M,15.58M,208.83M,,0.541M,244.88M,-110.00M,0.00,,,,AOR,Restated
2002-09,61.27M,,,-1.659M,-1.659M,16.10M,-1.659M,,-276.19M,-103.00M,,197.22M,-39.84M,327.66M,,382.04M,179.90M,,,2.450B,-2.631B,-180.98M,,20.00M,20.00M,20.00M,0.10M,-22.90M,-22.80M,,-4.069M,,,-6.864M,,124.93M,-7.941M,3.236M,120.23M,,0.10M,50.00M,-10.00M,-22.90M,,,,AOR,
2002-06,53.41M,,,-2.116M,-2.116M,-34.24M,-2.116M,,141.94M,-32.46M,,163.92M,-33.35M,-85.40M,,12.70M,169.58M,,,-478.76M,325.91M,-152.84M,,0.00,0.00,0.00,1.372M,,1.372M,,-4.105M,,,-2.733M,,101.75M,14.00M,9.174M,124.93M,,1.372M,0.00,0.00,,,,,AOR,
2002-03,61.06M,,,-1.87M,-1.87M,25.16M,-1.87M,,-160.91M,-95.82M,,142.30M,-9.574M,147.02M,,183.93M,105.50M,,,-433.04M,18.88M,-414.16M,,0.00,0.00,0.00,346.61M,,346.61M,,-4.102M,,,342.51M,,71.88M,33.85M,-3.979M,101.75M,,346.61M,40.00M,-40.00M,,,,,AOR,
2001-12,35.36M,,,6.12M,6.12M,-0.004M,-2.222M,,322.62M,-122.89M,,107.50M,265.91M,-421.83M,,-171.31M,190.57M,,0.00,378.04M,-542.26M,-164.22M,,0.00,-29.00M,-29.00M,0.997M,0.00,0.997M,,-3.238M,,,-31.24M,,79.72M,-4.892M,-2.945M,71.88M,,0.997M,-123.00M,94.00M,0.00,,,,AOR,Restated
2001-09,-43.76M,,,-2.197M,-2.197M,4.679M,-6.12M,,-183.50M,-274.46M,,422.60M,-198.79M,353.24M,,302.58M,71.68M,,0.00,36.25M,-52.07M,-15.82M,,101.00M,-101.00M,0.00,1.697M,0.00,1.697M,,-3.236M,,,-1.539M,,18.12M,54.32M,7.27M,79.72M,,1.697M,123.00M,-123.00M,0.00,,,,AOR,
2001-06,57.29M,,,-3.923M,-3.923M,-35.02M,2.022M,,97.74M,-33.70M,,-5.56M,-67.12M,68.59M,,-37.79M,80.33M,,,-180.42M,47.69M,-132.73M,,-101.00M,103.00M,2.00M,4.348M,,4.348M,,-3.228M,,,3.12M,,70.02M,-49.28M,-2.619M,18.12M,,4.348M,2.00M,0.00,,,,,AOR,
2001-03,50.13M,,,,,3.117M,-2.022M,,-28.50M,-33.42M,,74.15M,,,,40.73M,63.46M,,,12.47M,25.14M,37.60M,,,-103.00M,-103.00M,2.948M,,2.948M,,-3.225M,,,-103.28M,,76.82M,-2.217M,-4.583M,70.02M,,2.948M,20.00M,-123.00M,,,,,AOR,Restated
2000-12,51.41M,,,7.593M,7.593M,-15.89M,-2.545M,,52.49M,-70.54M,,16.96M,-7.807M,9.433M,,-51.95M,41.11M,,,637.01M,-435.76M,-138.88M,,0.00,176.00M,176.00M,6.435M,0.00,6.435M,,-2.759M,,-78.00M,101.68M,,66.33M,3.908M,6.589M,76.82M,,6.435M,176.00M,0.00,0.00,,,,AOR,Restated
2000-09,47.69M,,,-2.41M,-2.41M,4.122M,-2.41M,,-106.91M,-36.44M,,93.98M,-14.40M,41.97M,,85.10M,25.18M,,,-391.98M,343.43M,-48.55M,,0.00,,0.00,0.756M,0.00,0.756M,,-2.751M,,31.00M,29.00M,,66.84M,5.636M,-6.147M,66.33M,,0.756M,0.00,,0.00,,,,AOR,
2000-06,38.73M,,,-5.071M,-5.071M,-1.726M,-2.869M,,24.96M,-43.78M,,-32.49M,-17.82M,44.93M,,-49.16M,4.864M,,,36.10M,-36.43M,-0.337M,,0.00,-47.00M,-47.00M,0.248M,0.00,0.248M,,-2.749M,,47.00M,-2.501M,,67.02M,2.026M,-2.211M,66.84M,,0.248M,-47.00M,0.00,0.00,,,,AOR,
2000-03,48.56M,,,,,-2.756M,-2.202M,,-20.22M,-21.20M,,16.62M,,,,-4.572M,18.81M,,,-538.50M,48.30M,-490.20M,,448.51M,47.00M,495.51M,0.106M,-16.53M,-16.43M,,-2.749M,,,476.33M,,62.23M,4.939M,-0.144M,67.02M,,0.106M,495.51M,0.00,-16.53M,,,,AOR,Restated
1999-12,39.56M,,,3.60M,3.60M,-1.069M,,,-0.596M,33.20M,,-59.31M,93.27M,-34.23M,,32.94M,74.44M,,,56.00M,-86.45M,-30.45M,,-35.00M,,24.00M,0.017M,-40.69M,-40.68M,,-2.82M,,,-19.50M,,38.80M,28.09M,-0.992M,62.23M,,0.017M,,-35.00M,-40.69M,,,,AOR,Restated
1999-09,39.20M,,,-3.60M,-3.60M,-6.90M,,,-27.10M,22.30M,,-20.20M,40.80M,-20.20M,,22.70M,24.30M,,,9.40M,-14.90M,-5.50M,,35.00M,,35.00M,0.00,-12.00M,-12.00M,,-2.90M,,-35.00M,-14.90M,,34.10M,4.60M,0.80M,38.80M,,0.00,,35.00M,-12.00M,,,,,
1999-06,38.10M,,,,,-2.10M,,,1.10M,27.00M,,-42.80M,17.50M,-42.80M,,-41.10M,-4.00M,,,-39.60M,14.00M,-25.60M,,,,,0.00,-11.00M,-11.00M,,-2.90M,,34.90M,21.00M,,44.60M,-10.40M,-2.00M,34.10M,,0.00,,,-11.00M,,,,,
1999-03,41.20M,,,,,-7.10M,,,-98.70M,84.90M,,-11.40M,111.20M,-11.40M,,173.30M,108.70M,,,-64.00M,-1.70M,-65.70M,,,,,0.30M,-32.70M,-32.40M,,-3.00M,,0.10M,-35.30M,,39.30M,5.20M,-2.40M,44.60M,,0.30M,,,-32.70M,,,,,
1998-12,39.70M,,,0.70M,0.70M,-0.832M,,,388.84M,-302.87M,,-36.10M,-56.30M,-36.10M,,-431.37M,-4.583M,,,248.17M,-167.53M,80.64M,,,,,0.01M,-9.283M,-9.273M,,-2.477M,,-92.32M,-104.07M,,73.50M,-34.25M,-5.80M,39.33M,,0.01M,,,-9.283M,,,,,Restated
1998-09,42.20M,,,-0.70M,-0.70M,7.50M,,,6.60M,-13.20M,,-6.00M,34.60M,-6.00M,,9.40M,65.00M,,,-40.30M,-7.30M,-47.60M,,,,,0.50M,-8.20M,-7.70M,,-2.60M,,13.60M,3.30M,,48.30M,25.20M,4.60M,73.50M,,0.50M,,,-8.20M,,,,,
1998-06,43.50M,,,,,-7.20M,,,-29.20M,22.80M,,0.00,22.80M,0.00,,45.60M,52.70M,,,-57.60M,13.80M,-43.80M,,,,,0.10M,,0.10M,,-2.50M,,3.60M,1.20M,,38.70M,9.70M,-0.60M,48.30M,,0.10M,,,,,,,,
1998-03,39.80M,,,,,-2.00M,,,-49.60M,-1.10M,,42.10M,-1.10M,42.10M,,82.00M,70.20M,,,-110.00M,-0.30M,-110.30M,,,,,,,,,-2.50M,,28.00M,25.50M,,51.60M,-12.90M,1.80M,38.70M,,,,,,,,,,
1997-12,37.80M,,,0.60M,0.60M,4.90M,,,-13.20M,-8.40M,,50.70M,-28.60M,50.70M,,64.40M,94.50M,,,-150.20M,0.50M,-149.70M,,,,,0.00,0.00,0.00,,-2.00M,,,45.20M,,62.30M,-0.20M,-0.60M,51.60M,,0.00,,,0.00,,,,,
1997-09,38.40M,,,-0.60M,-0.60M,13.50M,,,-108.90M,-21.70M,,72.60M,8.60M,72.60M,,132.10M,74.50M,,,-77.20M,34.30M,-42.90M,,,,,0.50M,0.00,0.50M,,-2.10M,,,-1.60M,,38.00M,20.20M,-5.80M,62.30M,,0.50M,,,0.00,,,,,
1997-06,44.30M,,,,,-4.00M,,,-46.70M,47.30M,,20.40M,39.60M,20.40M,,127.70M,121.30M,,,-97.30M,-31.70M,-129.00M,,,,,0.10M,-0.80M,-0.70M,,-2.00M,,,-2.70M,,45.30M,-10.40M,3.10M,38.00M,,0.10M,,,-0.80M,,,,,
1997-03,34.50M,,,,,-3.90M,,,-70.80M,7.40M,,41.50M,35.90M,41.50M,,126.30M,86.10M,,,-82.70M,-1.50M,-84.20M,,,,,,,,,-2.00M,,,-2.00M,,52.60M,-0.10M,-7.20M,45.30M,,,,,,,,,,
1996-12,32.30M,,,0.30M,0.30M,-9.70M,,,-37.30M,-99.60M,,160.30M,-77.80M,160.30M,,143.20M,128.80M,,,-109.10M,1.10M,-108.00M,,,,,,0.00,0.10M,,-1.50M,,-19.90M,-21.30M,,,1.50M,3.10M,52.60M,,,,,0.00,,,,,
1996-09,23.20M,,,-0.30M,-0.30M,0.60M,,,-101.50M,54.40M,,55.70M,32.60M,55.70M,,198.40M,120.40M,,,-120.80M,-1.40M,-122.20M,,,,,,0.00,0.00,,-1.60M,,0.10M,-1.50M,,,-5.30M,-2.10M,,,,,,0.00,,,,,
1996-06,28.70M,,,,,-0.90M,,,-241.70M,19.90M,,120.60M,19.90M,120.60M,,281.00M,67.10M,,,-66.90M,-4.50M,-71.40M,,,,,,-7.20M,-7.20M,,-1.50M,,1.70M,-7.00M,,,-10.20M,1.20M,,,,,,-7.20M,,,,,
1996-03,27.80M,,,,,-3.10M,,,129.20M,-33.40M,,5.30M,-33.40M,5.30M,,-56.20M,97.70M,,,-82.00M,1.60M,-80.40M,,,,,,,,,-1.50M,,,-1.50M,,50.90M,14.70M,-1.20M,,,,,,,,,,,
