,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2012-12,253.50M,-97.10M,-97.10M,178.50M,178.50M,178.50M,,-24.10M,199.40M,139.50M,-317.50M,,,143.50M,135.10M,602.40M,,-506.10M,79.00M,-427.10M,,-227.90M,-270.80M,-925.80M,,-15.50M,192.10M,176.60M,,0.00,0.00,-353.60M,-353.60M,6.50M,,-170.50M,,1.750B,-493.90M,15.80M,1.272B,,,250.00M,-265.50M,0.00,,AOR,Restated
2012-09,233.60M,-8.30M,-8.30M,176.20M,176.20M,176.20M,,46.80M,146.30M,-24.00M,-161.60M,,,60.90M,21.60M,472.60M,,-460.60M,75.80M,-384.80M,,-21.80M,-175.20M,-581.80M,,256.60M,-49.70M,206.90M,,-22.60M,-22.60M,-70.20M,-70.20M,1.70M,,115.80M,,1.720B,6.60M,24.00M,1.750B,,,376.60M,-120.00M,-22.60M,,AOR,Restated
2012-06,297.20M,-2.70M,-2.70M,175.60M,175.60M,175.60M,,22.40M,23.10M,-80.80M,-122.10M,,,,-179.80M,317.70M,,-536.70M,89.90M,-446.80M,,-4.60M,-263.90M,-715.30M,,918.50M,-482.30M,436.20M,,-123.90M,-123.90M,-71.30M,-71.30M,0.80M,,241.80M,,1.923B,-155.80M,-47.40M,1.720B,,,941.50M,-23.00M,-123.90M,,AOR,Restated
2012-03,327.30M,-82.70M,-82.70M,170.60M,170.60M,170.60M,,-11.10M,-486.70M,-96.20M,297.60M,,,,-285.30M,126.30M,,-300.00M,85.50M,-214.50M,,-26.30M,-124.30M,-365.10M,,373.40M,-25.90M,347.50M,,-15.60M,-15.60M,-314.40M,-314.40M,4.90M,,22.40M,,2.107B,-216.40M,32.80M,1.923B,,,633.00M,-259.60M,-15.60M,,AOR,Restated
2011-12,327.70M,-72.30M,-72.30M,673.80M,168.10M,168.10M,,3.60M,-252.60M,10.60M,-366.40M,,,250.40M,-219.10M,441.30M,,-419.00M,,-80.00M,,1.30M,-555.00M,-633.70M,,-73.80M,652.80M,579.00M,,-87.40M,-87.40M,,-64.30M,,-4.40M,433.80M,,1.880B,241.40M,-14.30M,2.107B,,,100.00M,-173.80M,-87.40M,,AOR,Restated
2011-09,281.60M,-6.10M,-6.10M,-331.40M,174.30M,174.30M,,83.20M,-294.20M,-20.30M,168.40M,,,-38.30M,-184.40M,359.30M,,-392.80M,,-392.80M,,92.80M,-83.40M,-383.40M,,483.10M,-17.90M,465.20M,,-250.20M,-250.20M,,-65.40M,,0.00,149.60M,,1.873B,125.50M,-118.50M,1.880B,,,583.10M,-100.00M,-250.20M,,AOR,Restated
2011-06,239.70M,-2.70M,-2.70M,169.00M,169.00M,169.00M,,-68.10M,-221.10M,-143.40M,361.00M,,,-12.70M,-16.20M,332.70M,,-478.00M,,-478.00M,,-40.10M,-33.10M,-551.20M,,-447.10M,861.30M,414.20M,,,,,-43.90M,,2.80M,373.10M,,1.690B,154.60M,28.30M,1.873B,,,346.80M,-793.90M,,,AOR,Restated
2011-03,193.30M,-4.10M,-4.10M,162.40M,162.40M,162.40M,,9.70M,-332.90M,-34.00M,422.00M,,,32.40M,87.50M,459.30M,,-357.50M,,-357.50M,,-525.80M,32.60M,-850.70M,,-114.60M,146.40M,31.80M,,,,,-43.80M,,1.60M,-10.40M,,2.041B,-401.80M,50.70M,1.690B,,,135.60M,-250.20M,,,AOR,Restated
2010-12,169.80M,,,154.80M,154.80M,154.80M,,35.10M,5.80M,-18.60M,74.20M,,,-21.40M,34.20M,388.60M,,-289.60M,,102.50M,,-96.20M,-316.60M,-310.30M,,-284.10M,326.20M,42.10M,,,,,-153.40M,,-9.80M,-99.10M,,2.057B,-20.80M,4.40M,2.041B,,,66.00M,-350.10M,,,AOR,Restated
2010-09,119.90M,,,151.60M,151.60M,151.60M,,15.60M,1.90M,2.50M,46.00M,,,12.90M,63.30M,363.30M,,-218.90M,,-218.90M,,-60.10M,135.20M,-143.80M,,-0.20M,-156.20M,-156.40M,,,,,-32.80M,,2.20M,-187.00M,,1.898B,32.50M,126.60M,2.057B,,,0.00,-0.20M,,,AOR,Restated
