,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2002-12,45.55M,,,,-11.84M,3.728M,3.728M,-2.828M,0.211M,,15.01M,29.03M,-24.18M,-1.00M,-7.342M,,,-19.32M,-22.82M,38.84M,,-4.037M,-4.037M,-0.903M,-64.08M,1.72M,-67.30M,,,,8.498M,-8.167M,0.331M,,,,,0.331M,,185.27M,-28.13M,,157.14M,,8.498M,,,-8.167M,,,,AOR,Restated
2002-09,54.89M,,,,3.616M,3.616M,3.616M,-0.001M,0.124M,,1.408M,-6.204M,26.68M,3.006M,-24.14M,,,29.86M,29.20M,89.24M,,-2.527M,-2.527M,-0.257M,2.376M,0.40M,-0.008M,,,,0.929M,-39.71M,-38.78M,,,,,-38.78M,,134.82M,50.45M,,185.27M,,0.929M,,,-39.71M,,,,AOR,
2002-06,44.05M,,,,4.007M,4.007M,4.007M,0.087M,0.151M,,9.119M,-10.77M,-15.60M,20.49M,21.85M,,,29.74M,45.71M,103.13M,,-2.141M,-2.141M,-17.31M,-8.437M,16.77M,-11.12M,,,,1.247M,-72.80M,-71.55M,,,,,-71.55M,,114.36M,20.46M,,134.82M,,1.247M,,,-72.80M,,,,AOR,
2002-03,40.76M,,,,4.213M,4.213M,4.213M,1.296M,0.213M,,53.35M,-27.74M,-18.56M,-23.25M,10.19M,,,-40.28M,-99.63M,0.198M,,-1.874M,-1.874M,,-29.62M,0.131M,-31.36M,,,,7.163M,-7.61M,-0.447M,,,,,-0.447M,,145.98M,-31.61M,,114.36M,,7.163M,,,-7.61M,,,,AOR,
2001-12,41.94M,,,,4.359M,4.359M,4.359M,-4.434M,0.182M,,7.972M,25.71M,17.72M,22.02M,-23.29M,,,7.915M,50.08M,100.10M,,-2.056M,-2.056M,-47.90M,15.84M,51.04M,16.92M,,,,3.534M,-10.32M,-6.79M,,,,,-6.79M,,35.74M,110.23M,,145.98M,,3.534M,,,-10.32M,,,,AOR,Restated
2001-09,43.24M,,,,3.945M,3.945M,3.945M,0.616M,-0.077M,,42.50M,-29.26M,-16.07M,-22.82M,30.40M,,,-10.29M,-48.04M,42.18M,,-8.518M,-8.518M,21.80M,-29.08M,-22.14M,-37.93M,,,,2.528M,-15.28M,-12.76M,,,,,-12.76M,,44.26M,-8.512M,,35.74M,,2.528M,,,-15.28M,,,,AOR,
2001-06,43.03M,,,,3.898M,3.898M,3.898M,0.00,-0.126M,,-2.259M,11.92M,32.53M,0.284M,-18.40M,,,,26.33M,70.88M,,-5.671M,-5.671M,-11.41M,-142.16M,10.25M,-148.99M,,,,2.474M,-1.225M,1.249M,,,,,1.249M,,121.12M,-76.86M,,44.26M,,2.474M,,,-1.225M,,,,AOR,
2001-03,40.48M,,,,3.181M,3.181M,3.181M,0.38M,-0.16M,,17.09M,8.148M,-43.10M,0.028M,63.21M,,,,28.29M,89.25M,,-6.245M,-6.245M,-10.40M,66.13M,9.498M,58.98M,,,,0.60M,-71.38M,-70.78M,,,,,-70.78M,,43.66M,77.46M,,121.12M,,0.60M,,,-71.38M,,,,AOR,
2000-12,42.00M,,,,3.162M,3.162M,3.162M,-2.894M,-0.584M,,18.52M,10.53M,55.74M,-1.275M,-58.99M,,,1.942M,7.955M,68.16M,,-13.28M,-13.28M,15.48M,-31.80M,-15.66M,-45.26M,,,,0.208M,,0.208M,,,,,0.208M,,20.56M,23.11M,,43.66M,,0.208M,,,,,,,AOR,Restated
2000-09,44.93M,,,,2.787M,2.787M,2.787M,0.008M,-0.851M,,7.063M,-42.99M,-13.20M,16.42M,-10.73M,,,,-50.50M,3.44M,,-9.123M,-9.123M,-9.266M,-22.05M,16.44M,-24.00M,,,,0.125M,,0.125M,,,,,0.125M,,40.99M,-20.43M,,20.56M,,0.125M,,,,,,,AOR,
2000-06,40.05M,,,,2.575M,2.575M,2.575M,0.089M,-0.696M,,7.85M,-20.60M,-18.82M,6.793M,34.90M,,,10.75M,13.03M,62.90M,,-5.152M,-5.152M,-6.211M,-32.29M,2.745M,-40.91M,,,,5.118M,,5.118M,,,,,5.118M,,13.88M,27.11M,,40.99M,,5.118M,,,,,,,AOR,
2000-03,35.29M,,,,1.954M,1.954M,1.954M,0.931M,-0.799M,,45.14M,-56.87M,-7.715M,-24.03M,24.18M,,,-10.75M,-75.19M,7.325M,,-5.456M,-5.456M,,-6.668M,-2.745M,-14.87M,,,,1.674M,,1.674M,,,,,1.674M,,19.75M,-5.87M,,13.88M,,1.674M,,,,,,,AOR,
1999-12,29.88M,,,-10.90M,11.89M,11.89M,11.89M,-2.273M,,,17.87M,13.00M,-39.02M,,-22.74M,-0.20M,0.30M,,-48.62M,-5.169M,,-2.561M,-2.561M,,14.15M,4.962M,7.767M,,,,,,,,,,-1.50M,0.919M,,16.30M,3.517M,,19.75M,,,,,,,,,AOR,Restated
1999-09,26.20M,,,6.583M,-1.90M,-1.90M,-1.90M,0.588M,,,3.90M,-28.03M,-6.128M,,20.52M,-0.203M,-3.811M,,-17.65M,17.72M,,-1.737M,-1.737M,,-23.61M,-1.996M,-27.34M,,,,,,,,,,0.282M,0.282M,,25.57M,-9.343M,,16.30M,,,,,,,,,,
1999-06,22.30M,,,0.817M,-1.70M,-1.70M,-1.70M,0.012M,,,3.30M,-27.97M,-0.572M,,14.78M,0.303M,0.011M,,-13.45M,11.28M,,-2.263M,-2.263M,,7.91M,-0.604M,5.043M,,,,,,,,,,0.718M,0.718M,,8.50M,17.04M,,25.57M,,,,,,,,,,
1999-03,19.70M,,,3.50M,-1.50M,-1.50M,-1.50M,0.10M,,,3.10M,-36.00M,-16.10M,,22.30M,0.10M,3.50M,,-26.20M,-1.30M,,-2.60M,-2.60M,,7.80M,-0.10M,5.10M,,,,,,,,,,0.50M,0.50M,,4.20M,4.30M,,8.50M,,,,,,,,,,
1998-12,18.34M,,,-2.30M,8.158M,8.158M,8.158M,-0.82M,,,0.44M,-17.26M,-9.151M,,-1.986M,0.10M,2.70M,,-24.50M,-3.476M,,-2.71M,-2.71M,,-3.569M,,-6.279M,,,,,,,,,,-0.489M,0.652M,,,,,4.23M,,,,,,,,,AOR,Restated
1998-09,17.10M,,,2.80M,-1.20M,-1.20M,-1.20M,0.10M,,,2.50M,-17.80M,-6.30M,,-0.80M,0.00,3.00M,,-21.90M,-0.60M,,-4.90M,-4.90M,,-3.00M,0.20M,-7.70M,,,,,,,,,,-2.00M,-2.00M,,,,,,,,,,,,,,,
1998-06,15.60M,,,-0.20M,-1.00M,-1.00M,-1.00M,,,,2.00M,-20.70M,21.20M,,7.20M,0.10M,-8.90M,,-1.10M,15.30M,,-1.50M,-1.50M,,0.60M,-0.20M,-1.10M,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
1998-03,14.80M,,,-0.30M,-1.20M,-1.20M,-1.20M,,,,2.30M,-12.20M,-8.20M,,-4.90M,-0.20M,3.20M,,-22.30M,-6.70M,,-6.00M,-6.00M,,3.50M,,-2.50M,,,,,,,,,,0.40M,0.40M,,18.20M,,,,,,,,,,,,,
1997-12,13.90M,,,0.10M,-1.90M,-1.90M,-1.90M,-1.60M,,,3.80M,-4.30M,1.50M,,-2.90M,0.90M,6.40M,,1.60M,15.90M,,-2.40M,-2.40M,,-2.30M,,-4.80M,,,,,,,,,,,,,,,,18.20M,,,,,,,,,AOR,
1997-09,13.00M,,,0.10M,-0.20M,-0.20M,-0.20M,0.00,,,0.30M,-20.10M,-16.40M,,19.10M,-0.50M,-5.80M,,-23.70M,-10.50M,,-5.40M,-5.40M,,11.60M,,6.20M,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06,12.70M,,,0.00,-0.20M,-0.20M,-0.20M,0.00,,,0.60M,-1.00M,15.10M,,-12.20M,0.00,9.00M,,10.90M,24.00M,,-6.10M,-6.10M,,-13.60M,,-19.70M,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-03,11.40M,,,5.90M,-0.40M,-0.40M,-0.40M,0.20M,,,0.70M,-5.60M,-20.70M,,3.80M,-0.30M,-4.90M,,-27.70M,-9.90M,,-3.20M,-3.20M,,3.70M,,0.50M,,,,,,,,,,,,,16.50M,,,,,,,,,,,,,
1996-12,10.70M,,,-4.40M,1.90M,3.875M,3.875M,,,,10.89M,-4.404M,4.56M,,-1.294M,1.30M,-5.60M,,-6.063M,11.77M,,-2.278M,-2.278M,,0.25M,,-2.028M,,,,,,,,,,,,,,,,16.46M,,,,,,,,,AOR,
1996-09,9.70M,,,0.10M,-0.60M,-0.60M,-0.60M,,,,0.90M,-4.80M,-8.10M,,12.00M,-0.10M,2.90M,,1.90M,12.00M,,-1.70M,-1.70M,,-6.60M,,-8.30M,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06,8.50M,,,0.30M,-0.80M,-0.80M,-0.80M,,,,1.70M,-5.30M,-9.90M,,12.50M,-0.50M,0.60M,,-2.60M,7.10M,,-6.70M,-6.70M,,2.20M,,-4.50M,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03,5.50M,,,4.00M,-0.50M,-0.50M,-0.50M,,,,1.00M,-6.90M,-0.60M,,-6.00M,-0.70M,2.10M,,-12.10M,-2.10M,,-0.40M,-0.40M,,-11.30M,,-11.70M,,,,,,,,,,,,,14.20M,,,,,,,,,,,,,
1995-12,6.30M,,,0.40M,-0.60M,-0.60M,-0.60M,,,,1.10M,-1.10M,6.50M,,-13.80M,3.10M,2.30M,,-3.00M,3.70M,,-0.90M,-0.90M,,-12.90M,,-13.80M,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
1995-09,5.30M,,,3.60M,-0.60M,-0.60M,-0.60M,,,,1.30M,-6.30M,-9.10M,,13.80M,-3.20M,1.10M,,-3.70M,5.90M,,-0.50M,-0.50M,,-13.40M,-0.10M,-14.00M,,,,,,,,,,25.80M,25.80M,,,,,,,,,,,,,,,
1995-06,4.30M,,,0.10M,-0.50M,-0.50M,-0.50M,,,,1.00M,-4.30M,-1.60M,,6.70M,1.00M,-2.10M,,-0.30M,4.60M,,-0.40M,-0.40M,,2.20M,0.00,1.80M,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-03,4.20M,,,,-0.50M,-0.50M,-0.50M,,,,1.00M,-4.30M,-0.10M,,-3.50M,-0.90M,1.10M,,-7.70M,-3.00M,,-0.30M,-0.30M,,0.40M,0.10M,0.20M,,,,,,,,,,,,,3.00M,,,,,,,,,,,,,
1994-12,4.10M,,,0.00,-0.60M,-0.60M,-0.60M,,,,1.30M,-0.40M,-2.90M,,-0.30M,0.10M,1.70M,,-1.80M,2.70M,,-0.40M,-0.40M,,-4.50M,,-4.90M,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,
1994-09,3.40M,,,1.80M,-0.40M,-0.40M,-0.40M,,,,0.80M,-3.60M,-4.10M,,3.10M,-0.20M,1.50M,,-3.30M,2.30M,,-0.30M,-0.30M,,0.90M,0.10M,0.70M,,,,,,,,,,-0.20M,-0.20M,,,,,,,,,,,,,,,
1994-06,2.50M,,,0.00,-0.40M,-0.40M,-0.40M,,,,0.80M,-2.50M,3.20M,,-1.60M,0.00,-0.60M,,-1.50M,1.40M,,-0.10M,-0.10M,,-15.20M,-0.10M,-15.40M,,,,,,,,,,16.50M,16.50M,,,,,,,,,,,,,,,
1994-03,2.10M,,,0.10M,-0.30M,-0.30M,-0.30M,,,,0.60M,-5.00M,-10.10M,,8.00M,0.20M,1.60M,,-5.30M,-2.80M,,-1.80M,-1.80M,,,,-1.80M,,,,,,,,,,-0.30M,-0.30M,,5.80M,,,,,,,,,,,,,
