,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-06,3.961B,3.961B,,,,,2.053B,,,,1.00M,,,,1.838B,4.202B,-241.00M,,,,1.00M,,-429.00M,1.534B,-1.963B,,5.00M,-1.963B,-1.964B,70.00M,311.00M,-241.00M,,-15.79,0.00,,-15.79,-15.79,,-15.79,0.00,,-15.79,-15.79,,124.69M,124.69M,,,AOR,Restated
2004-03,3.529B,3.529B,,,,,2.067B,,,,-29.00M,,,,1.543B,3.917B,-388.00M,,,,-29.00M,,-598.00M,-215.00M,-383.00M,,4.00M,-383.00M,-364.43M,-81.00M,307.00M,-388.00M,,-3.12,0.00,,-2.970,-3.12,,-3.12,0.00,,-2.970,-3.12,,123.88M,123.88M,,,AOR,Restated
2003-12,3.831B,3.831B,,,,,,,,,42.00M,,,,,4.196B,-365.00M,,,,42.00M,,-512.00M,-185.00M,-327.00M,,5.00M,-327.00M,-353.82M,-365.00M,,-365.00M,,-2.69,0.00,,-2.907,-2.69,,-2.69,0.00,,-2.907,-2.69,,123.64M,123.67M,,,AOR,Restated
2003-09,3.657B,3.657B,,,128.00M,2.038B,2.166B,,,,9.00M,,,,1.267B,3.738B,-81.00M,,,,9.00M,,-254.00M,-90.00M,-164.00M,,4.00M,-164.00M,-169.81M,224.00M,305.00M,-81.00M,,-1.36,0.00,,-1.407,-1.36,,-1.36,0.00,,-1.407,-1.36,,123.39M,123.39M,,,AOR,Restated
2003-06,3.496B,3.496B,,,124.00M,2.073B,2.197B,,,,289.00M,,,,797.00M,3.30B,196.00M,,,,289.00M,,301.00M,117.00M,184.00M,,4.00M,184.00M,7.336M,502.00M,306.00M,196.00M,,1.46,0.00,,0.0279,1.46,,1.40,0.00,,0.0464,1.40,,123.36M,130.52M,,,AOR,Restated
2003-03,3.155B,3.155B,,,115.00M,2.139B,2.254B,,,,-23.00M,,,,1.133B,3.69B,-535.00M,,,,-23.00M,,-724.00M,-258.00M,-466.00M,,4.00M,-466.00M,-451.20M,-232.00M,303.00M,-535.00M,,-3.81,0.00,,-3.690,-3.81,,-3.81,0.00,,-3.690,-3.81,,123.36M,123.36M,,,AOR,Restated
2002-12,3.869B,3.869B,,,,,,,,,283.00M,,,,,15.85B,-8.662B,,,,283.00M,,-586.00M,-223.00M,-363.00M,,-26.00M,-363.00M,-538.31M,-8.662B,,-8.662B,,-2.98,0.00,,-4.401,-2.98,,-2.98,,,-4.400,-2.98,,123.33M,123.42M,,,AOR,Restated
2002-09,3.42B,3.42B,1.135B,2.285B,72.00M,-319.00M,-247.00M,289.00M,388.00M,,-211.00M,,,,-229.00M,-187.00M,2.472B,,,,-211.00M,,-527.00M,-201.00M,-326.00M,,4.00M,-326.00M,-195.48M,2.761B,289.00M,2.472B,,-2.67,0.00,,-1.611,-2.67,,-2.67,0.00,,-1.611,-2.67,,123.29M,123.29M,,,AOR,
2002-06,3.474B,3.474B,1.105B,2.369B,89.00M,-339.00M,-250.00M,291.00M,390.00M,,-28.00M,,,,-282.00M,-241.00M,2.61B,,,,-28.00M,,-287.00M,-101.00M,-186.00M,,3.00M,-186.00M,-167.85M,2.901B,291.00M,2.61B,,-1.54,0.00,,-1.393,-1.54,,-1.54,0.00,,-1.393,-1.54,,123.24M,123.24M,,,AOR,
2002-03,3.103B,3.103B,1.083B,2.02B,107.00M,-343.00M,-236.00M,281.00M,381.00M,,-66.00M,,,,-296.00M,-251.00M,2.271B,,,,-66.00M,,-602.00M,-205.00M,-397.00M,,4.00M,-397.00M,-353.48M,2.552B,281.00M,2.271B,,-3.25,0.00,,-2.897,-3.25,,-3.25,0.00,,-2.897,-3.25,,123.24M,123.24M,,,AOR,
2001-12,2.863B,2.863B,,,194.00M,9.531B,9.725B,,,,243.00M,,,,5.95B,15.98B,-9.491B,,,,243.00M,,-1.135B,-401.00M,-734.00M,,4.00M,-734.00M,-891.15M,-9.181B,310.00M,-9.491B,,-5.99,0.00,,-7.265,-5.99,,-5.99,0.00,,-7.265,-5.99,,123.26M,123.26M,,,AOR,Restated
2001-09,3.398B,3.398B,1.059B,2.339B,137.00M,-366.00M,-229.00M,318.00M,381.00M,,-120.00M,,,,-123.00M,-34.00M,2.373B,,,,-120.00M,,-408.00M,-149.00M,-259.00M,,3.00M,-259.00M,-182.82M,2.691B,318.00M,2.373B,,-2.13,0.00,,-1.511,-2.13,,-2.13,0.00,,-1.511,-2.13,,123.14M,123.14M,,,AOR,
2001-06,3.776B,3.776B,1.252B,2.524B,144.00M,-357.00M,-213.00M,331.00M,378.00M,,46.00M,,,,-343.00M,-225.00M,2.749B,,,,46.00M,,-99.00M,-9.00M,-90.00M,,4.00M,-90.00M,-131.82M,3.08B,331.00M,2.749B,,-0.76,0.00,,-1.100,-0.76,,-0.76,0.00,,-1.100,-0.76,,123.05M,123.05M,,,AOR,
2001-03,3.842B,3.842B,1.32B,2.522B,141.00M,-348.00M,-207.00M,324.00M,386.00M,,-21.00M,,,,-362.00M,-245.00M,2.767B,,,,-21.00M,,-222.00M,-89.00M,-133.00M,,3.00M,-133.00M,-120.40M,3.091B,324.00M,2.767B,,-1.11,0.00,,-1.008,-1.11,,-1.11,0.00,,-1.008,-1.11,,123.03M,123.03M,,,AOR,
2000-09,3.911B,3.911B,1.14B,2.771B,169.00M,-381.00M,-212.00M,297.00M,373.00M,,-56.00M,,,,-307.00M,-222.00M,2.993B,,,,-56.00M,,364.00M,147.00M,217.00M,,3.00M,217.00M,250.60M,3.29B,297.00M,2.993B,,1.86,-0.81,,2.133,1.05,,1.77,-0.81,,2.027,1.01,,122.93M,130.53M,,,AOR,
2000-06,3.333B,3.333B,822.00M,2.511B,239.00M,-477.00M,-238.00M,212.00M,290.00M,,-56.00M,,,,-666.00M,-692.00M,3.203B,,,,-56.00M,,554.00M,219.00M,335.00M,,4.00M,281.00M,368.86M,3.415B,212.00M,3.203B,,2.13,-0.39,,2.350,1.74,,1.93,-0.39,,2.150,1.56,,153.88M,153.88M,,,AOR,
2000-03,3.96B,3.96B,1.14B,2.82B,169.00M,-344.00M,-175.00M,297.00M,373.00M,,90.00M,,,,-205.00M,-83.00M,2.903B,,,,90.00M,,376.00M,153.00M,223.00M,,3.00M,223.00M,169.00M,3.20B,297.00M,2.903B,,1.74,0.00,,1.314,1.74,,1.67,0.00,,1.266,1.67,,126.88M,133.59M,,,AOR,
1999-12,3.713B,3.713B,1.049B,2.664B,174.00M,-341.00M,-167.00M,285.00M,348.00M,,-377.00M,,,,-178.00M,-60.00M,2.724B,,,,-377.00M,,580.00M,228.00M,352.00M,,3.00M,352.00M,580.80M,3.009B,-285.00M,2.724B,,2.62,0.00,,4.338,2.62,,2.50,0.00,,4.139,2.50,,133.21M,139.60M,,,AOR,
1999-09,3.829B,3.829B,1.078B,2.751B,203.00M,-377.00M,-174.00M,263.00M,334.00M,,117.00M,,,,-332.00M,-243.00M,2.994B,,,,117.00M,,569.00M,225.00M,344.00M,-66.00M,3.00M,278.00M,273.27M,3.257B,-263.00M,2.994B,,2.47,-0.48,0.00,1.959,1.99,,2.33,-0.48,-0.4772,1.850,1.88,,138.30M,147.36M,,,,
1999-06,3.843B,3.843B,,,-9.00M,8.379B,8.37B,,,,5.00M,,,,4.368B,13.01B,-6.225B,,,,5.00M,,610.00M,246.00M,364.00M,,3.00M,364.00M,361.00M,-4.572B,1.653B,-6.225B,,2.57,0.00,,2.548,2.57,,2.40,0.00,,2.380,2.40,,139.22M,149.93M,,,AOR,Restated
1999-03,3.504B,3.504B,934.00M,2.57B,191.00M,-321.00M,-130.00M,241.00M,322.00M,,29.00M,,,,-181.00M,-70.00M,2.64B,,,,29.00M,,358.00M,142.00M,216.00M,,2.00M,216.00M,198.50M,2.881B,-241.00M,2.64B,,1.51,0.00,,1.387,1.51,,1.42,0.00,,1.304,1.42,,141.72M,150.70M,,,,
1998-12,3.448B,3.448B,981.00M,2.467B,208.00M,-339.00M,-131.00M,233.00M,310.00M,,19.00M,,,,-175.00M,-73.00M,2.54B,,,,19.00M,,320.00M,126.00M,194.00M,,3.00M,194.00M,182.48M,2.773B,-233.00M,2.54B,,1.34,0.00,,1.259,1.34,,1.29,0.00,,1.212,1.29,,142.54M,148.06M,,,,
1998-09,3.802B,3.802B,1.214B,2.588B,,,1.818B,218.00M,,,3.00M,,,,,2.036B,552.00M,,,,3.00M,,538.00M,211.00M,327.00M,,3.00M,327.00M,325.18M,770.00M,-218.00M,552.00M,,2.19,0.00,,2.165,2.19,,2.08,0.00,,2.055,2.08,,73.48M,73.48M,,,,
1998-06,3.761B,3.761B,,,-48.00M,8.288B,8.24B,,,,51.00M,,,,4.261B,12.74B,-6.071B,,,,51.00M,,595.00M,233.00M,362.00M,,3.00M,362.00M,330.97M,-4.586B,1.485B,-6.071B,,2.39,0.00,,2.181,2.39,,2.28,0.00,,2.080,2.28,,148.47M,155.42M,,,AOR,Restated
1998-03,3.39B,3.39B,930.00M,2.46B,229.00M,-352.00M,-123.00M,216.00M,296.00M,,2.00M,,,,-182.00M,-89.00M,2.549B,,,,2.00M,,322.00M,127.00M,195.00M,,2.00M,195.00M,193.79M,2.765B,-216.00M,2.549B,,1.29,0.00,,1.282,1.29,,1.23,0.00,,1.222,1.23,,149.61M,156.91M,,,,
1997-12,3.434B,3.434B,990.00M,2.444B,235.00M,-355.00M,-120.00M,211.00M,290.00M,,-3.00M,,,,-181.00M,-90.00M,2.534B,,,,-3.00M,,313.00M,123.00M,190.00M,,3.00M,190.00M,191.82M,2.745B,-211.00M,2.534B,,1.26,0.00,,1.272,1.26,,1.20,0.00,,1.212,1.20,,148.41M,155.83M,,,,
1997-09,3.553B,3.553B,984.00M,2.569B,266.00M,-408.00M,-142.00M,198.00M,306.00M,,11.00M,,,,-168.00M,-112.00M,2.681B,,,,11.00M,,418.00M,164.00M,254.00M,,3.00M,254.00M,247.32M,2.879B,-198.00M,2.681B,,1.71,0.00,,1.619,1.71,,1.63,0.00,,1.539,1.63,,73.72M,73.72M,,,,
1997-06,3.545B,3.545B,882.00M,2.663B,252.00M,-382.00M,-130.00M,190.00M,307.00M,,0.00,,,,-201.00M,-141.00M,2.804B,,,,0.00,,495.00M,193.00M,302.00M,,3.00M,302.00M,302.00M,2.994B,-190.00M,2.804B,,2.04,0.00,,2.04,2.04,,1.98,0.00,,1.98,1.98,,149.18M,154.24M,,,AOR,
1997-03,3.42B,3.42B,1.004B,2.416B,250.00M,-376.00M,-126.00M,180.00M,298.00M,,-50.00M,,,,-183.00M,-129.00M,2.545B,,,,-50.00M,,317.00M,128.00M,189.00M,,2.00M,189.00M,219.00M,2.725B,-180.00M,2.545B,,1.28,0.00,,1.485,1.28,,1.24,0.00,,1.439,1.24,,146.09M,150.81M,,,,
1996-12,3.197B,3.197B,1.012B,2.185B,237.00M,-379.00M,-142.00M,174.00M,291.00M,,6.00M,,,,-167.00M,-135.00M,2.32B,,,,6.00M,,205.00M,80.00M,125.00M,,2.00M,125.00M,121.34M,2.494B,-174.00M,2.32B,,0.83,0.00,,0.8053,0.83,,0.82,0.00,,0.7956,0.82,,148.19M,150.00M,,,,
1996-09,3.432B,3.432B,979.00M,2.453B,278.00M,-399.00M,-121.00M,166.00M,300.00M,,-13.00M,,,,-151.00M,-106.00M,2.559B,,,,-13.00M,,398.00M,160.00M,238.00M,,2.00M,238.00M,245.80M,2.725B,-166.00M,2.559B,,1.55,0.00,,1.651,1.55,,1.49,0.00,,1.591,1.49,,77.05M,77.05M,,,,
1996-06,3.36B,3.36B,898.00M,2.462B,277.00M,-414.00M,-137.00M,158.00M,277.00M,,-268.00M,,,,-157.00M,-136.00M,2.598B,,,,-268.00M,,263.00M,101.00M,162.00M,,16.00M,162.00M,327.08M,2.756B,-158.00M,2.598B,,1.42,0.00,,3.025,1.42,,1.42,0.00,,3.025,1.42,,102.86M,102.86M,,,AOR,
1996-03,2.964B,2.964B,883.00M,2.081B,241.00M,-361.00M,-120.00M,156.00M,279.00M,,-583.00M,,,,-156.00M,-120.00M,2.201B,,,,-583.00M,,-446.00M,-170.00M,-276.00M,,22.00M,-276.00M,84.78M,2.357B,-156.00M,2.201B,,-2.89,0.00,,0.6088,-2.89,,-2.89,0.00,,0.6088,-2.89,,103.11M,103.11M,,,,
1995-12,2.944B,2.944B,865.00M,2.079B,246.00M,-400.00M,-154.00M,159.00M,304.00M,,-4.00M,,,,-154.00M,-149.00M,2.228B,,,,-4.00M,,123.00M,53.00M,70.00M,,22.00M,70.00M,72.40M,2.387B,-174.00M,2.228B,,0.47,0.00,,0.4935,0.47,,0.47,0.00,,0.4935,0.47,,102.13M,102.13M,,,,
1995-09,3.188B,3.188B,874.00M,2.314B,278.00M,-455.00M,-177.00M,146.00M,322.00M,,-4.00M,,,,-141.00M,-172.00M,2.486B,,,,-4.00M,,337.00M,136.00M,201.00M,,22.00M,201.00M,203.40M,2.632B,-146.00M,2.486B,,1.74,0.00,,1.787,1.74,,1.29,0.00,,1.337,1.29,,51.14M,51.14M,,,,
1995-06,3.216B,3.216B,769.00M,2.447B,290.00M,-497.00M,-207.00M,199.00M,338.00M,,,,,,-81.00M,-89.00M,2.536B,,,,,,406.00M,155.00M,251.00M,0.00,22.00M,251.00M,251.00M,2.735B,-199.00M,2.536B,,2.27,0.00,0.0000,2.27,2.27,,2.24,0.00,1.125,2.24,2.24,,101.11M,185.71M,,,AOR,
1995-03,2.902B,2.902B,824.00M,2.078B,285.00M,-459.00M,-174.00M,133.00M,346.00M,,-10.00M,,,,-147.00M,-188.00M,2.266B,,,,-10.00M,,,,-11.00M,,22.00M,-11.00M,-5.00M,2.399B,-133.00M,2.266B,,-0.33,0.00,,-0.27,-0.33,,-0.33,0.00,,-0.27,-0.33,,100.00M,100.00M,,,,
1994-12,2.919B,2.919B,882.00M,2.037B,298.00M,-475.00M,-177.00M,140.00M,342.00M,,-1.00M,,,,-173.00M,-210.00M,2.247B,,,,-1.00M,,-22.00M,-4.00M,-18.00M,,22.00M,-18.00M,-17.18M,2.387B,-140.00M,2.247B,,-0.40,0.00,,-0.3918,-0.40,,-0.40,0.00,,-0.3918,-0.40,,100.00M,100.00M,,,,
1994-09,3.157B,3.157B,896.00M,2.261B,322.00M,-519.00M,-197.00M,150.00M,347.00M,,14.00M,,,,-170.00M,-217.00M,2.478B,,,,14.00M,,121.00M,49.00M,72.00M,114.00M,22.00M,186.00M,63.60M,2.628B,-150.00M,2.478B,,0.50,1.13,0.0000,0.3340,1.63,,0.50,0.72,2.253,0.3340,1.22,,50.60M,50.60M,,,,
1994-06,3.109B,3.109B,897.00M,2.212B,336.00M,-517.00M,-181.00M,154.00M,336.00M,,-434.00M,,,,-219.00M,-246.00M,2.458B,,,,-434.00M,,-390.00M,-140.00M,-250.00M,,28.00M,-250.00M,28.21M,2.612B,-154.00M,2.458B,,-2.75,0.00,,-0.0312,-2.75,,-2.75,0.00,,-0.0312,-2.75,,102.33M,102.33M,,,AOR,
1994-03,2.878B,2.878B,857.00M,2.021B,300.00M,-499.00M,-199.00M,154.00M,344.00M,,,,,,-185.00M,-230.00M,2.251B,,,,,,-123.00M,-45.00M,-78.00M,,27.00M,-78.00M,-78.00M,2.405B,-154.00M,2.251B,,-1.05,0.00,,-1.05,-1.05,,-1.05,0.00,,-1.05,-1.05,,100.00M,100.00M,,,,
1993-12,2.952B,2.952B,879.00M,2.073B,308.00M,-476.00M,-168.00M,172.00M,342.00M,,-104.00M,,,,-163.00M,-159.00M,2.232B,,,,-104.00M,,-225.00M,-84.00M,-141.00M,,28.00M,-141.00M,-75.83M,2.404B,-157.20M,2.232B,,-1.68,0.00,,-1.032,-1.68,,-1.68,0.00,,-1.032,-1.68,,100.60M,100.60M,,,,
1993-09,3.220B,3.220B,1.206B,2.014B,,,1.742B,150.80M,,,25.40M,,,,,1.892B,121.50M,,,,25.40M,,78.90M,18.50M,60.40M,,27.60M,60.40M,40.96M,272.30M,-150.80M,121.50M,,0.33,0.00,,0.1344,0.33,,0.33,0.00,,0.1344,0.33,,99.39M,99.39M,,,,
1993-06,3.132B,3.132B,1.265B,1.867B,,,1.732B,92.40M,,,-77.90M,,,,,1.824B,43.00M,,,,-77.90M,,-86.50M,-38.80M,-47.70M,,36.10M,-634.80M,-0.96M,135.40M,-92.40M,43.00M,,-0.83,-5.89,,-0.3648,-6.72,,-0.83,-5.89,,-0.3648,-6.72,,100.46M,100.46M,,,,
1993-03,2.927B,2.927B,1.109B,1.818B,,,1.764B,232.50M,,,21.20M,,,,,1.997B,-178.60M,,,,21.20M,,-206.30M,-72.40M,-133.90M,,24.80M,-133.90M,-147.66M,53.90M,-232.50M,-178.60M,,-1.59,0.00,,-1.728,-1.59,,-1.59,0.00,,-1.728,-1.59,,99.81M,99.81M,,,,
1992-12,2.874B,2.874B,1.214B,1.661B,,,1.681B,175.10M,,,38.70M,,,,,1.856B,-194.90M,,,,38.70M,,-194.10M,-67.80M,-126.30M,,24.80M,-126.30M,-151.48M,-19.80M,-175.10M,-194.90M,,-1.52,0.00,,-1.773,-1.52,,-1.52,0.00,,-1.773,-1.52,,99.41M,99.41M,,,,
1992-09,3.064B,3.064B,1.275B,1.789B,,,1.776B,175.30M,,,36.60M,,,,,1.952B,-162.50M,,,,36.60M,,-164.30M,-57.60M,-106.70M,,24.80M,-106.70M,-130.47M,12.80M,-175.30M,-162.50M,,-1.32,0.00,,-1.559,-1.32,,-1.32,0.00,,-1.559,-1.32,,99.62M,99.62M,,,,
1992-06,2.826B,2.826B,1.221B,1.605B,,,1.706B,164.50M,,,33.70M,,,,,1.870B,-265.50M,,,,33.70M,,-280.00M,-99.90M,-180.10M,,4.70M,-180.10M,-201.78M,-101.00M,-164.50M,-265.50M,,-1.86,0.00,,-2.078,-1.86,,-1.86,0.00,,-2.078,-1.86,,99.55M,99.55M,,,,
1992-03,2.815B,2.815B,1.156B,1.659B,,,1.709B,148.90M,,,8.40M,,,,,1.858B,-199.30M,,,,8.40M,,-235.20M,-83.60M,-151.60M,,4.60M,-151.60M,-157.01M,-50.40M,-148.90M,-199.30M,,-1.58,0.00,,-1.635,-1.58,,-1.58,0.00,,-1.635,-1.58,,98.86M,98.86M,,,,
1991-12,2.623B,2.623B,1.142B,1.481B,,,1.580B,137.70M,,,-27.00M,,,,,1.718B,-236.80M,,,,-27.00M,,-293.40M,-105.80M,-187.60M,,4.60M,-187.60M,-170.34M,-99.10M,-137.70M,-236.80M,,-1.95,0.00,,-1.775,-1.95,,-1.95,0.00,,-1.775,-1.95,,98.56M,98.56M,,,,
1991-09,2.573B,2.573B,947.30M,1.626B,,,1.474B,125.50M,,,24.90M,,,,,1.599B,26.70M,,,,24.90M,,22.40M,9.30M,13.10M,,4.60M,13.10M,-1.84M,152.20M,-125.50M,26.70M,,0.09,0.00,,-0.0682,0.09,,0.09,0.00,,-0.0682,0.09,,94.44M,94.44M,,,,
1991-06,2.524B,2.524B,944.80M,1.579B,,,1.405B,124.00M,,,13.50M,,,,,1.529B,50.60M,,,,13.50M,,36.70M,17.50M,19.20M,,4.70M,19.20M,11.10M,174.60M,-124.00M,50.60M,,0.28,0.00,,0.1957,0.28,,0.28,0.00,,0.1957,0.28,,96.09M,96.09M,,,,
1991-03,2.299B,2.299B,946.80M,1.352B,,,1.352B,115.90M,,,14.80M,,,,,1.468B,-115.10M,,,,14.80M,,-131.50M,-47.40M,-84.10M,,4.60M,-84.10M,-93.57M,0.80M,-115.90M,-115.10M,,-1.05,0.00,,-1.162,-1.05,,-1.05,0.00,,-1.162,-1.05,,84.48M,84.48M,,,,
1990-12,2.130B,2.130B,1.057B,1.073B,,,1.272B,112.70M,,,4.80M,,,,,1.384B,-311.90M,,,,4.80M,,-327.50M,-119.70M,-207.80M,,4.70M,-207.80M,-210.85M,-199.20M,-112.70M,-311.90M,,-2.51,0.00,,-2.546,-2.51,,-2.51,0.00,,-2.546,-2.51,,84.66M,84.66M,,,,
1990-09,2.218B,2.218B,865.50M,1.352B,,,1.312B,113.30M,,,14.20M,,,,,1.426B,-73.60M,,,,14.20M,,-77.80M,-26.20M,-51.60M,,4.70M,-51.60M,-61.02M,39.70M,-113.30M,-73.60M,,-0.64,0.00,,-0.7471,-0.64,,-0.64,0.00,,-0.7471,-0.64,,87.97M,87.97M,,,,
1990-06,2.240B,2.240B,1.348B,891.50M,,,661.80M,119.40M,,,17.20M,,,,,781.20M,110.30M,,,,17.20M,,116.20M,42.10M,74.10M,,1.80M,74.10M,63.13M,229.70M,-119.40M,110.30M,,0.82,0.00,,0.6935,0.82,,0.66,0.00,,0.5599,0.66,,86.69M,109.55M,,,,
1990-03,2.120B,2.120B,1.351B,769.60M,,,607.00M,114.50M,,,8.00M,,,,,721.50M,48.10M,,,,8.00M,,47.60M,16.30M,31.30M,,7.50M,31.30M,26.04M,162.60M,-114.50M,48.10M,,0.24,0.00,,0.1870,0.24,,0.24,0.00,,0.1870,0.24,,99.17M,99.17M,,,,
1989-12,2.049B,2.049B,1.276B,772.80M,,,588.70M,113.50M,,,29.30M,,,,,702.20M,70.60M,,,,29.30M,,98.10M,33.90M,64.20M,,4.60M,64.20M,45.03M,184.10M,-113.50M,70.60M,,0.57,0.00,,0.3866,0.57,,0.54,0.00,,0.3663,0.54,,104.56M,110.37M,,,,
1989-09,2.173B,2.173B,1.250B,923.20M,,,620.80M,111.80M,,,20.70M,,,,,732.60M,190.60M,,,,20.70M,,205.90M,72.80M,133.10M,,6.80M,133.10M,119.72M,302.40M,-111.80M,190.60M,,1.27,0.00,,1.135,1.27,,1.19,0.00,,1.064,1.19,,99.45M,106.13M,,,,
1989-06,2.312B,2.312B,,,,,,,,,,,,,,,-5.100B,,,,,,,,190.80M,,,190.80M,190.80M,-5.100B,,-5.100B,,1.94,0.00,,1.94,1.94,,1.94,0.00,,1.94,1.94,,98.44M,98.44M,,,,
1989-03,2.038B,2.038B,,,,,,,,,,,,,,,2.038B,,,,,,,,85.00M,,,85.00M,85.00M,2.038B,,2.038B,,0.87,0.00,,0.87,0.87,,0.87,0.00,,0.87,0.87,,97.70M,97.70M,,,,
1988-12,1.858B,1.858B,,,,,,,,,,,,,,,1.858B,,,,,,,,85.20M,,,85.20M,85.20M,1.858B,,1.858B,,0.87,0.00,,0.87,0.87,,0.87,0.00,,0.87,0.87,,97.93M,97.93M,,,,
1988-09,1.882B,1.882B,,,,,,,,,,,,,,,1.882B,,,,,,,,100.00M,,,100.00M,100.00M,1.882B,,1.882B,,1.02,0.00,,1.02,1.02,,1.02,0.00,,1.02,1.02,,98.04M,98.04M,,,,
1988-06,1.968B,1.968B,,,,,,,,,,,,,,,-4.450B,,,,,,,,103.30M,,,103.30M,103.30M,-4.450B,,-4.450B,,1.06,0.00,,1.06,1.06,,1.06,0.00,,1.06,1.06,,97.48M,97.48M,,,,
1988-03,1.679B,1.679B,,,,,,,,,,,,,,,1.679B,,,,,,,,56.10M,,,56.10M,56.10M,1.679B,,1.679B,,0.58,0.00,,0.58,0.58,,0.58,0.00,,0.58,0.58,,96.72M,96.72M,,,,
1987-12,1.664B,1.664B,,,,,,,,,,,,,,,1.664B,,,,,,,,88.30M,,,88.30M,88.30M,1.664B,,1.664B,,0.91,0.00,,0.91,0.91,,0.91,0.00,,0.91,0.91,,97.03M,97.03M,,,,
1987-09,1.603B,1.603B,,,,,,,,,,,,,,,1.603B,,,,,,,,59.10M,,,59.10M,59.10M,1.603B,,1.603B,,0.61,0.00,,0.61,0.61,,0.61,0.00,,0.61,0.61,,96.89M,96.89M,,,,
1987-06,1.566B,1.566B,,,,,,,,,,,,,,,-3.347B,,,,,,,,58.80M,,,58.80M,58.80M,-3.347B,,-3.347B,,0.59,0.00,,0.59,0.59,,0.59,0.00,,0.59,0.59,,97.09M,97.09M,,,,
1987-03,1.453B,1.453B,,,,,,,,,,,,,,,1.453B,,,,,,,,26.40M,,,26.40M,26.40M,1.453B,,1.453B,,0.27,0.00,,0.27,0.27,,0.27,0.00,,0.27,0.27,,97.78M,97.78M,,,,
1986-12,1.198B,1.198B,,,,,,,,,,,,,,,1.198B,,,,,,,,125.50M,,,125.50M,125.50M,1.198B,,1.198B,,1.51,0.00,,1.51,1.51,,1.51,0.00,,1.51,1.51,,83.11M,83.11M,,,,
1986-09,1.102B,1.102B,,,,,,,,,,,,,,,1.102B,,,,,,,,53.00M,,,53.00M,53.00M,1.102B,,1.102B,,0.66,0.00,,0.66,0.66,,0.66,0.00,,0.66,0.66,,80.30M,80.30M,,,,
1986-06,1.020B,1.020B,,,,,,,,,,,,,,,-3.406B,,,,,,,,22.20M,,,22.20M,22.20M,-3.406B,,-3.406B,,0.27,0.00,,0.27,0.27,,0.27,0.00,,0.27,0.27,,85.37M,85.37M,,,,
1986-03,1.110B,1.110B,,,,,,,,,,,,,,,1.110B,,,,,,,,-6.40M,,,-6.40M,-6.40M,1.110B,,1.110B,,-0.08,0.00,,-0.08,-0.08,,-0.08,0.00,,-0.08,-0.08,,80.00M,80.00M,,,,
1985-12,1.120B,1.120B,,,,,,,,,,,,,,,1.120B,,,,,,,,1.90M,,,1.90M,1.90M,1.120B,,1.120B,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,63.33M,63.33M,,,,
1985-09,1.123B,1.123B,,,,,,,,,,,,,,,1.123B,,,,,,,,29.50M,,,29.50M,29.50M,1.123B,,1.123B,,0.37,0.00,,0.37,0.37,,0.37,0.00,,0.37,0.37,,79.73M,79.73M,,,,
1985-06,1.277B,1.277B,,,,,,,,,,,,,,,-3.041B,,,,,,,,84.20M,,,84.20M,84.20M,-3.041B,,-3.041B,,1.05,0.00,,1.05,1.05,,1.05,0.00,,1.05,1.05,,80.34M,80.34M,,,,
1985-03,1.170B,1.170B,,,,,,,,,,,,,,,1.170B,,,,,,,,41.20M,,,41.20M,41.20M,1.170B,,1.170B,,0.52,0.00,,0.52,0.52,,0.52,0.00,,0.52,0.52,,79.23M,79.23M,,,,
1984-12,1.127B,1.127B,,,,,,,,,,,,,,,1.127B,,,,,,,,73.90M,,,73.90M,73.90M,1.127B,,1.127B,,0.93,0.00,,0.93,0.93,,0.93,0.00,,0.93,0.93,,79.46M,79.46M,,,,
1984-09,1.110B,1.110B,,,,,,,,,,,,,,,1.110B,,,,,,,,60.20M,,,60.20M,60.20M,1.110B,,1.110B,,0.76,0.00,,0.76,0.76,,0.76,0.00,,0.76,0.76,,79.21M,79.21M,,,,
1984-06,1.143B,1.143B,,,,,,,,,,,,,,,-2.909B,,,,,,,,71.70M,,,71.70M,71.70M,-2.909B,,-2.909B,,0.90,0.00,,0.90,0.90,,0.90,0.00,,0.90,0.90,,79.89M,79.89M,,,,
