,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-09,2.16B,921.00M,3.081B,1.24B,,1.24B,243.00M,597.00M,228.00M,99.00M,,5.488B,3.065B,10.26B,,13.33B,-1.269B,12.06B,5.168B,2.291B,7.459B,,,591.00M,20.11B,25.60B,,347.00M,345.00M,692.00M,1.694B,2.386B,0.00,865.00M,865.00M,,865.00M,,,3.537B,6.788B,9.274B,,9.274B,714.00M,2.058B,2.772B,,3.836B,537.00M,16.42B,23.21B,,0.00,-7.17B,9.561B,152.00M,,152.00M,2.391B,,AOR,Restated
2008-06,3.239B,103.00M,3.342B,1.418B,,1.418B,225.00M,590.00M,517.00M,196.00M,879.00M,7.167B,2.649B,10.40B,,13.05B,-1.054B,12.00B,5.169B,2.342B,7.511B,,,974.00M,20.48B,27.65B,,347.00M,422.00M,769.00M,1.434B,2.203B,0.00,796.00M,796.00M,,796.00M,,,5.133B,8.132B,8.338B,,8.338B,811.00M,2.123B,2.934B,,3.851B,675.00M,15.80B,23.93B,,0.00,-7.12B,9.541B,151.00M,,1.451B,3.721B,,AOR,Restated
2008-03,2.492B,103.00M,2.595B,1.325B,,1.325B,263.00M,774.00M,218.00M,154.00M,,5.329B,2.597B,10.18B,,12.78B,-836.00M,11.94B,6.01B,2.751B,8.761B,,,720.00M,21.43B,26.76B,,322.00M,422.00M,744.00M,1.382B,2.126B,0.00,732.00M,732.00M,,732.00M,,,3.813B,6.671B,8.387B,,8.387B,881.00M,2.211B,3.092B,,3.861B,793.00M,16.13B,22.80B,,0.00,-6.076B,9.528B,151.00M,,650.00M,3.951B,,AOR,Restated
2007-12,2.648B,138.00M,2.786B,1.066B,,1.066B,262.00M,464.00M,520.00M,142.00M,,5.24B,2.784B,9.525B,,12.31B,-608.00M,11.70B,12.10B,2.806B,14.91B,,,572.00M,27.18B,32.42B,,839.00M,323.00M,1.162B,1.097B,2.259B,295.00M,2.996B,3.291B,,3.291B,1.055B,1.055B,,6.605B,7.986B,,7.986B,855.00M,2.276B,3.131B,,3.867B,721.00M,15.70B,22.31B,,0.00,314.00M,9.512B,148.00M,,435.00M,10.11B,,AOR,Restated
2007-09,1.623B,767.00M,2.39B,1.213B,,1.213B,257.00M,399.00M,,807.00M,579.00M,5.645B,,,,11.95B,-389.00M,11.56B,12.17B,2.861B,15.03B,,,540.00M,27.13B,32.77B,,975.00M,332.00M,1.307B,873.00M,2.18B,,,904.00M,,904.00M,,,3.62B,6.704B,7.43B,,7.43B,1.524B,2.566B,4.09B,1.038B,4.252B,-489.00M,16.32B,23.02B,,0.00,384.00M,9.479B,130.00M,,15.00M,9.748B,,AOR,Restated
2007-06,1.83B,1.549B,3.379B,1.14B,,1.14B,246.00M,420.00M,,731.00M,333.00M,6.249B,,,,11.62B,-154.00M,11.47B,12.37B,2.918B,15.29B,,,725.00M,27.48B,33.73B,,1.288B,438.00M,1.726B,780.00M,2.506B,,,1.386B,,1.386B,,,3.839B,7.731B,6.913B,,6.913B,1.502B,2.599B,4.101B,1.042B,4.277B,198.00M,16.53B,24.26B,,0.00,164.00M,9.428B,128.00M,,8.00M,9.472B,,AOR,Restated
2007-03,2.093B,790.00M,2.883B,986.00M,,986.00M,184.00M,572.00M,,,1.509B,6.134B,,,,22.27B,-9.742B,12.53B,227.00M,88.00M,315.00M,,,834.00M,13.68B,19.81B,,884.00M,473.00M,1.357B,607.00M,1.964B,,,3.219B,,3.219B,,,2.816B,7.999B,4.792B,,4.792B,385.00M,,385.00M,,,20.31B,25.49B,33.49B,,2.00M,-14.57B,1.561B,224.00M,,-441.00M,-13.68B,,AOR,Restated
2006-12,2.034B,614.00M,2.648B,915.00M,,915.00M,181.00M,489.00M,,402.00M,750.00M,5.385B,,,,22.75B,-9.774B,12.97B,227.00M,89.00M,316.00M,,,948.00M,14.24B,19.62B,,936.00M,500.00M,1.436B,670.00M,2.106B,,,1.503B,,1.503B,,,2.16B,5.769B,6.509B,,6.509B,406.00M,346.00M,752.00M,0.00,,20.18B,27.45B,33.22B,,2.00M,-14.41B,1.561B,224.00M,,-518.00M,-13.59B,,AOR,Restated
2006-09,2.283B,525.00M,2.808B,999.00M,,999.00M,178.00M,875.00M,,,1.021B,5.881B,,,,23.01B,-9.636B,13.37B,227.00M,70.00M,297.00M,,,1.132B,14.80B,20.68B,,811.00M,537.00M,1.348B,408.00M,1.756B,,,1.359B,,1.359B,,,2.998B,6.113B,6.422B,,6.422B,,,,,,22.02B,28.44B,34.55B,,2.00M,-12.43B,1.561B,224.00M,,-2.777B,-13.87B,,AOR,Restated
2006-06,2.431B,464.00M,2.895B,1.03B,,1.03B,172.00M,759.00M,,,1.046B,5.902B,,,,23.20B,-9.582B,13.62B,227.00M,70.00M,297.00M,,,923.00M,14.84B,20.74B,,1.57B,641.00M,2.211B,390.00M,2.601B,,,1.399B,,1.399B,,,2.47B,6.47B,6.508B,,6.508B,,,,,,21.62B,28.13B,34.60B,,2.00M,-12.48B,1.561B,224.00M,,-2.72B,-13.87B,,AOR,Restated
2006-03,2.429B,,2.429B,1.012B,,1.012B,171.00M,562.00M,,,933.00M,5.107B,,,,23.52B,-9.496B,14.03B,227.00M,71.00M,298.00M,,,1.127B,15.45B,20.56B,,1.638B,626.00M,2.264B,401.00M,2.665B,,,1.302B,,1.302B,,,2.347B,6.314B,6.654B,,6.654B,,,307.00M,,,18.95B,25.91B,32.22B,,2.00M,-10.28B,1.56B,224.00M,,-2.721B,-11.66B,,AOR,Restated
2005-12,,,,,,,,,,,,,,,,,,,,,,,,,,20.04B,,,,,,,,,,,,,,,,6.557B,,6.557B,,,,,,,6.557B,29.93B,,,,,,,,-9.895B,,AOR,Restated
2005-09,1.361B,0.00,1.361B,1.007B,,1.007B,183.00M,613.00M,,,1.119B,4.283B,,,,24.44B,-9.916B,14.53B,227.00M,75.00M,302.00M,,,1.101B,15.93B,20.22B,,1.10B,540.00M,1.64B,435.00M,2.075B,,,935.00M,,935.00M,,,1.95B,4.96B,6.657B,,6.657B,,,,0.00,,17.06B,23.72B,28.68B,,338.00M,-6.971B,1.636B,601.00M,336.00M,-2.529B,-8.463B,,AOR,Restated
2005-06,1.341B,330.00M,1.671B,923.00M,,923.00M,219.00M,605.00M,,,368.00M,3.786B,,,,26.41B,-10.04B,16.38B,227.00M,76.00M,303.00M,,,1.096B,17.78B,21.56B,,1.678B,591.00M,2.269B,1.151B,3.42B,,,1.125B,,1.125B,,,2.376B,6.921B,12.96B,,12.96B,,,,2.39B,,6.278B,21.62B,28.55B,,370.00M,-5.837B,3.119B,2.121B,368.00M,-2.148B,-6.985B,,AOR,Restated
2005-03,1.646B,169.00M,1.815B,892.00M,,892.00M,222.00M,554.00M,,,358.00M,3.841B,,,,26.16B,-9.726B,16.44B,227.00M,77.00M,304.00M,,,1.156B,17.90B,21.74B,,1.698B,594.00M,2.292B,1.195B,3.487B,,,1.03B,,1.03B,,,2.292B,6.809B,13.04B,,13.04B,,,,2.393B,,6.121B,21.56B,28.37B,,664.00M,-5.449B,2.944B,2.284B,378.00M,-2.126B,-6.629B,,AOR,Restated
2004-12,,,,,,,,,,,,,,,,,,,,,,,,,,21.80B,,,,,,,,,,,,,,,,13.00B,,13.00B,,,,,,,13.00B,27.60B,,,,,,,,-5.796B,,AOR,Restated
2004-09,1.446B,,1.446B,796.00M,,796.00M,209.00M,516.00M,,,347.00M,3.314B,,,,25.93B,-9.465B,16.47B,2.092B,90.00M,2.182B,,,1.563B,20.21B,23.53B,,1.716B,452.00M,2.168B,1.233B,3.401B,,,552.00M,,552.00M,,,1.975B,5.928B,12.21B,,12.21B,232.00M,,232.00M,2.907B,,5.822B,21.18B,27.10B,,671.00M,-2.162B,3.105B,2.521B,400.00M,-2.27B,-3.577B,,AOR,Restated
2004-06,1.966B,,1.966B,823.00M,,823.00M,215.00M,455.00M,,,357.00M,3.816B,,,,26.56B,-9.828B,16.73B,2.092B,92.00M,2.184B,,,1.442B,20.36B,24.18B,,1.726B,551.00M,2.277B,1.232B,3.509B,,,499.00M,,499.00M,,,2.081B,6.089B,12.05B,,12.05B,278.00M,,278.00M,2.951B,,5.756B,21.04B,27.13B,,680.00M,-1.512B,3.205B,2.629B,409.00M,-2.287B,-2.952B,,AOR,Restated
2004-03,2.18B,,2.18B,823.00M,,823.00M,208.00M,463.00M,,,1.01B,4.684B,,,,25.93B,-9.178B,16.76B,2.092B,93.00M,2.185B,,,2.549B,21.49B,26.17B,,1.789B,965.00M,2.754B,1.273B,4.027B,,,784.00M,,784.00M,,,2.006B,6.817B,11.79B,,11.79B,,,,2.947B,,5.648B,20.38B,27.20B,,685.00M,457.00M,3.242B,2.672B,414.00M,-2.326B,-1.028B,,AOR,Restated
2003-12,,,,,,,,,,,,,,,,,,,,,,,,,,25.94B,,,,,,,,,,,,,,,,11.54B,,11.54B,,,,,,,11.54B,26.60B,,,,,,,,-659.00M,,AOR,Restated
2003-09,2.727B,,2.727B,796.00M,8.00M,804.00M,197.00M,338.00M,,691.00M,205.00M,4.962B,,,,25.50B,-8.651B,16.84B,2.092B,97.00M,2.189B,0.00,,1.765B,20.80B,25.76B,,1.735B,873.00M,2.608B,1.429B,4.037B,,1.005B,1.005B,24.00M,1.029B,,,1.539B,6.605B,11.44B,77.00M,11.51B,,,,3.00B,,4.145B,18.66B,25.26B,,695.00M,1.175B,3.258B,2.713B,424.00M,-1.494B,497.00M,,AOR,Restated
2003-06,2.815B,,2.815B,770.00M,,770.00M,190.00M,379.00M,,,933.00M,5.087B,,,,25.38B,-8.779B,16.60B,2.092B,98.00M,2.19B,0.00,,1.684B,20.47B,25.56B,,1.725B,899.00M,2.624B,1.184B,3.808B,,845.00M,845.00M,26.00M,871.00M,,,1.694B,6.373B,11.34B,83.00M,11.43B,,,,3.007B,,4.072B,18.50B,24.88B,,699.00M,1.343B,3.264B,2.718B,428.00M,-1.481B,679.00M,,AOR,Restated
2003-03,1.857B,,1.857B,359.00M,8.00M,367.00M,177.00M,416.00M,,746.00M,153.00M,3.716B,,,,25.05B,-8.414B,16.64B,2.092B,100.00M,2.192B,157.00M,,1.765B,20.75B,24.46B,,1.862B,890.00M,2.752B,1.452B,4.204B,,1.093B,1.093B,29.00M,1.122B,,,1.404B,6.73B,10.20B,92.00M,10.29B,,,,2.986B,,3.955B,17.23B,23.96B,,703.00M,1.166B,3.26B,2.718B,432.00M,-1.474B,505.00M,,AOR,Restated
2002-12,,,,,,,,,,,,,,,,,,,,,,,,,,24.72B,,,,,,,,,,,,,,,,10.17B,,10.17B,,,,,,,10.17B,23.83B,,,,,,,,893.00M,,AOR,Restated
2002-09,1.657B,,1.657B,530.00M,283.00M,813.00M,158.00M,374.00M,,651.00M,191.00M,3.844B,,,,25.02B,-8.654B,16.37B,2.092B,103.00M,2.195B,225.00M,,1.405B,20.19B,24.04B,,1.74B,879.00M,2.619B,1.421B,4.04B,,978.00M,978.00M,24.00M,1.002B,,,1.544B,6.586B,9.163B,51.00M,9.214B,827.00M,,827.00M,3.083B,,1.482B,14.61B,21.19B,,710.00M,2.002B,3.258B,2.718B,439.00M,32.00M,2.845B,,AOR,
2002-06,1.747B,0.00,1.747B,560.00M,,560.00M,181.00M,325.00M,,535.00M,165.00M,3.513B,,,,25.09B,-8.432B,16.66B,2.092B,91.00M,2.183B,264.00M,,1.445B,20.55B,24.06B,,,,,1.377B,1.377B,,341.00M,341.00M,33.00M,374.00M,,,4.167B,5.918B,9.598B,58.00M,9.656B,641.00M,,641.00M,3.089B,,1.582B,14.97B,20.89B,,712.00M,2.335B,3.266B,2.724B,441.00M,31.00M,3.179B,,AOR,
2002-03,1.513B,0.00,1.513B,562.00M,,562.00M,184.00M,300.00M,,557.00M,120.00M,3.236B,,,,24.93B,-8.34B,16.59B,2.092B,92.00M,2.184B,260.00M,,1.437B,20.47B,23.70B,,,,,1.358B,1.358B,,189.00M,189.00M,32.00M,221.00M,,,4.098B,5.677B,9.147B,63.00M,9.21B,788.00M,,788.00M,3.07B,,1.549B,14.62B,20.29B,,715.00M,2.527B,3.267B,2.725B,444.00M,71.00M,3.411B,,AOR,
2001-12,2.21B,,2.21B,368.00M,,368.00M,181.00M,290.00M,,,518.00M,3.567B,,,,24.18B,-8.085B,16.10B,2.092B,94.00M,2.186B,276.00M,,1.479B,20.04B,23.60B,,1.617B,1.049B,2.666B,1.121B,3.787B,,1.025B,1.025B,31.00M,1.056B,,,1.56B,6.403B,8.279B,68.00M,8.347B,465.00M,,465.00M,3.073B,,1.548B,13.43B,19.84B,,723.00M,2.93B,3.267B,2.724B,452.00M,25.00M,3.769B,,AOR,Restated
2001-09,2.786B,5.00M,2.791B,428.00M,,428.00M,,566.00M,,345.00M,160.00M,4.29B,,,,23.37B,-7.359B,16.02B,2.106B,96.00M,2.202B,367.00M,,1.503B,20.09B,24.38B,,,,,1.41B,1.41B,,1.506B,1.506B,42.00M,1.548B,,,4.271B,7.229B,7.447B,74.00M,7.521B,746.00M,,746.00M,2.847B,,1.399B,12.51B,19.74B,,725.00M,3.676B,3.26B,2.721B,454.00M,149.00M,4.635B,,AOR,
2001-06,1.505B,5.00M,1.51B,595.00M,,595.00M,,566.00M,,345.00M,240.00M,3.256B,,,,22.89B,-7.17B,15.72B,2.12B,97.00M,2.217B,674.00M,,1.01B,19.62B,22.88B,,,,,1.574B,1.574B,,851.00M,851.00M,40.00M,891.00M,,,3.956B,6.421B,5.86B,90.00M,5.95B,1.235B,,1.235B,2.854B,,1.391B,11.43B,17.85B,,727.00M,3.941B,3.267B,2.728B,456.00M,279.00M,5.03B,,AOR,
2001-03,1.172B,5.00M,1.177B,590.00M,,590.00M,,574.00M,,,589.00M,2.93B,,,,22.66B,-7.322B,15.34B,2.134B,100.00M,2.234B,548.00M,,1.051B,19.17B,22.10B,,,,,1.306B,1.306B,,63.00M,63.00M,40.00M,103.00M,,,4.145B,5.554B,5.896B,94.00M,5.99B,1.226B,,1.226B,2.767B,,977.00M,10.96B,16.51B,,729.00M,4.037B,3.264B,2.728B,458.00M,284.00M,5.586B,,AOR,
2000-09,1.387B,478.00M,1.865B,700.00M,,700.00M,,516.00M,,,857.00M,3.938B,,,,14.02B,,14.02B,2.167B,,2.167B,219.00M,,1.464B,17.87B,21.80B,,,,,944.00M,944.00M,,526.00M,526.00M,44.00M,570.00M,,,4.62B,6.134B,4.448B,154.00M,4.602B,1.236B,,1.236B,2.751B,,1.607B,10.20B,16.33B,,272.00M,4.168B,3.26B,2.728B,,503.00M,5.475B,,AOR,
2000-06,1.252B,493.00M,1.745B,,,739.00M,,,,356.00M,612.00M,3.452B,,,,20.87B,-7.483B,13.38B,,2.287B,2.287B,,,,17.11B,20.57B,,2.318B,,2.318B,,2.318B,,,569.00M,,569.00M,,,3.053B,5.94B,4.525B,,4.525B,869.00M,,869.00M,,2.008B,,7.402B,15.48B,,271.00M,4.043B,3.245B,2.726B,,,5.087B,,AOR,
2000-03,1.19B,817.00M,2.007B,732.00M,,732.00M,,557.00M,,485.00M,,3.781B,,,,12.65B,,12.65B,2.23B,,2.23B,149.00M,,1.375B,16.40B,20.18B,,,,,196.00M,196.00M,,669.00M,669.00M,42.00M,711.00M,,,4.897B,5.804B,4.141B,153.00M,4.294B,1.089B,,1.089B,2.664B,,1.529B,9.576B,15.38B,,736.00M,3.666B,3.229B,2.727B,466.00M,366.00M,4.804B,,AOR,
1999-12,1.664B,653.00M,2.317B,492.00M,,492.00M,,626.00M,,455.00M,,3.89B,,,,12.57B,,12.57B,2.06B,,2.06B,112.00M,,1.238B,15.98B,19.87B,,,,,267.00M,267.00M,,670.00M,670.00M,42.00M,712.00M,,,4.469B,5.448B,4.144B,159.00M,4.303B,953.00M,,953.00M,2.631B,,1.551B,9.438B,14.89B,,738.00M,3.454B,3.222B,2.227B,468.00M,266.00M,4.985B,,AOR,
1999-09,1.511B,93.00M,1.604B,,,984.00M,,,,416.00M,532.00M,3.536B,,,,18.74B,-6.93B,11.81B,,890.00M,890.00M,,,,13.88B,17.42B,,2.212B,,2.212B,,2.212B,,,701.00M,,701.00M,,,2.46B,5.373B,2.276B,,2.276B,986.00M,,986.00M,,1.902B,,5.164B,12.74B,,270.00M,3.104B,3.219B,2.227B,,,4.678B,,,
1999-06,1.124B,19.00M,1.143B,602.00M,,602.00M,,524.00M,,,403.00M,2.672B,,,,18.46B,-6.792B,11.67B,782.00M,,782.00M,823.00M,,800.00M,14.08B,16.75B,,,,,470.00M,470.00M,,660.00M,660.00M,39.00M,699.00M,,,4.223B,5.392B,1.756B,196.00M,1.952B,755.00M,,755.00M,2.614B,,1.589B,6.91B,12.30B,,741.00M,2.756B,3.208B,1.935B,471.00M,149.00M,4.448B,,AOR,Restated
1999-03,979.00M,34.00M,1.013B,,,968.00M,,,,420.00M,339.00M,2.74B,,,,17.78B,-6.658B,11.12B,,806.00M,806.00M,,,,13.42B,16.16B,,2.094B,,2.094B,,2.094B,,,723.00M,,723.00M,,,2.419B,5.236B,1.876B,,1.876B,520.00M,,520.00M,,1.907B,,4.303B,11.74B,,268.00M,2.40B,3.165B,1.718B,,,4.421B,,,
1998-12,618.00M,186.00M,804.00M,,,772.00M,,,,488.00M,402.00M,2.466B,,,,16.55B,-6.272B,10.28B,,392.00M,392.00M,,,,12.26B,14.73B,,2.017B,,2.017B,,2.017B,,,323.00M,,323.00M,,,2.116B,4.456B,1.524B,,1.524B,427.00M,,427.00M,,1.895B,,3.846B,10.45B,,266.00M,2.196B,3.09B,1.60B,,,4.278B,,,
1998-09,534.00M,603.00M,1.137B,,,969.00M,,,,475.00M,276.00M,2.857B,,,,15.87B,-6.146B,9.726B,,398.00M,398.00M,,,,11.58B,14.44B,,2.094B,,2.094B,,2.094B,,,138.00M,,138.00M,,,2.233B,4.465B,1.524B,,1.524B,339.00M,,339.00M,,1.884B,,3.747B,10.34B,,266.00M,2.007B,3.077B,1.493B,,,4.099B,,,
1998-06,1.077B,557.00M,1.634B,938.00M,,938.00M,,326.00M,,464.00M,,3.362B,,,,9.321B,,9.321B,265.00M,,265.00M,326.00M,,1.329B,11.24B,14.60B,,,,,202.00M,202.00M,,67.00M,67.00M,63.00M,130.00M,,,4.245B,4.577B,1.533B,249.00M,1.782B,262.00M,,262.00M,2.524B,,1.435B,6.003B,10.58B,,740.00M,1.687B,3.034B,1.052B,475.00M,89.00M,4.023B,,AOR,Restated
1998-03,986.00M,504.00M,1.49B,,,970.00M,92.00M,,,478.00M,221.00M,3.251B,,,,14.79B,-5.943B,8.85B,,376.00M,376.00M,,,,10.62B,13.87B,,2.102B,,2.102B,,2.102B,,,152.00M,,152.00M,,,2.223B,4.477B,1.408B,,1.408B,121.00M,,121.00M,,1.875B,,3.404B,10.01B,,263.00M,1.327B,2.945B,956.00M,,,3.862B,,,
1997-12,850.00M,503.00M,1.353B,,,758.00M,90.00M,,,456.00M,210.00M,2.867B,,,,14.36B,-5.784B,8.58B,,381.00M,381.00M,,,,10.27B,13.14B,,1.879B,,1.879B,,1.879B,,,353.00M,,353.00M,,,1.873B,4.105B,1.408B,,1.408B,,,,,1.862B,,3.27B,9.553B,,259.00M,1.141B,2.851B,911.00M,,,3.584B,,,
1997-09,1.151B,504.00M,1.655B,,,1.029B,85.00M,,,437.00M,283.00M,3.489B,,,,13.91B,-5.607B,8.307B,,386.00M,386.00M,,,,10.05B,13.54B,,2.307B,,2.307B,,2.307B,,,286.00M,,286.00M,,,2.008B,4.601B,1.473B,,1.473B,,,,,1.851B,,3.324B,10.13B,,251.00M,958.00M,2.648B,701.00M,,,3.409B,,,
1997-06,662.00M,508.00M,1.17B,,,943.00M,,,,413.00M,341.00M,2.867B,,,,13.49B,-5.444B,8.042B,,409.00M,409.00M,,,,9.874B,12.74B,,1.691B,,1.691B,,1.691B,,,298.00M,,298.00M,,,2.094B,4.083B,1.475B,,1.475B,,,,,1.839B,,3.314B,9.578B,,251.00M,711.00M,2.645B,701.00M,,,3.163B,,AOR,
1997-03,682.00M,402.00M,1.084B,,,1.034B,92.00M,,,370.00M,291.00M,2.871B,,,,12.94B,-5.339B,7.597B,,386.00M,386.00M,,,,9.621B,12.49B,,1.757B,,1.757B,,1.757B,,,114.00M,,114.00M,,,2.095B,3.966B,1.70B,,1.70B,,,,,1.827B,,3.527B,9.686B,,250.00M,416.00M,2.614B,697.00M,,,2.806B,,,
1996-12,526.00M,504.00M,1.03B,,,951.00M,87.00M,,,353.00M,266.00M,2.687B,,,,12.42B,-5.132B,7.285B,,392.00M,392.00M,,,,9.339B,12.03B,,1.809B,,1.809B,,1.809B,,,111.00M,,111.00M,,,1.778B,3.698B,1.70B,,1.70B,,,,,1.815B,,3.515B,9.397B,,249.00M,232.00M,2.598B,694.00M,,,2.629B,,,
1996-09,882.00M,505.00M,1.387B,,,1.085B,68.00M,,,325.00M,247.00M,3.112B,,,,11.96B,-4.989B,6.975B,,398.00M,398.00M,,,,9.027B,12.14B,,1.66B,,1.66B,,1.66B,,,107.00M,,107.00M,,,1.936B,3.703B,1.701B,,1.701B,,,,,1.804B,,3.505B,9.473B,,249.00M,113.00M,2.596B,549.00M,,,2.666B,,,
1996-06,1.145B,507.00M,1.652B,,,968.00M,73.00M,,,352.00M,237.00M,3.282B,,,,11.69B,-4.894B,6.795B,,405.00M,405.00M,,,,8.944B,12.23B,,1.54B,,1.54B,,1.54B,,,98.00M,,98.00M,,,2.00B,3.638B,1.799B,,1.799B,,,,,1.796B,,3.595B,9.548B,,217.00M,-119.00M,2.627B,311.00M,,,2.678B,,AOR,
1996-03,1.056B,504.00M,1.56B,,,1.058B,60.00M,,,210.00M,244.00M,3.132B,,,,11.35B,-4.768B,6.585B,,413.00M,413.00M,,,,8.979B,12.11B,,1.742B,38.00M,1.78B,,1.78B,,,216.00M,,216.00M,,,1.74B,3.736B,2.462B,,2.462B,,,,,1.777B,,4.239B,10.14B,,165.00M,-263.00M,2.043B,243.00M,,,1.972B,,,
1995-12,881.00M,503.00M,1.384B,,,845.00M,67.00M,,,246.00M,205.00M,2.747B,,,,13.05B,-5.932B,7.122B,,437.00M,437.00M,,,,9.251B,12.00B,,1.751B,1.00M,1.752B,,1.752B,,,208.00M,,208.00M,,,1.373B,3.333B,2.577B,,2.577B,,,,,1.747B,,4.324B,9.776B,,164.00M,38.00M,2.034B,249.00M,,,2.222B,,,
1995-09,1.129B,503.00M,1.632B,,,1.015B,66.00M,,,247.00M,181.00M,3.141B,,,,12.83B,-5.80B,7.027B,,444.00M,444.00M,,,,9.148B,12.29B,,1.742B,55.00M,1.797B,,1.797B,,,206.00M,,206.00M,,,1.572B,3.575B,2.624B,,2.624B,,,,,1.731B,,4.355B,10.13B,,164.00M,-8.00M,2.033B,249.00M,,,2.156B,,,
1995-06,1.233B,529.00M,1.762B,,,755.00M,68.00M,,,234.00M,195.00M,3.014B,,,,12.50B,-5.562B,6.936B,,451.00M,451.00M,,,,9.129B,12.14B,,1.473B,,1.473B,,1.473B,,,212.00M,,212.00M,,,1.756B,3.441B,2.683B,,2.683B,,,,,1.714B,,4.397B,10.20B,,164.00M,-184.00M,2.016B,252.00M,,,1.947B,,AOR,
1995-03,766.00M,761.00M,1.527B,,,662.00M,66.00M,,,334.00M,222.00M,2.811B,,,,11.92B,-5.559B,6.36B,,458.00M,458.00M,,,,8.687B,11.50B,,1.619B,24.00M,1.643B,,1.643B,,,54.00M,,54.00M,,,1.514B,3.211B,2.827B,,2.827B,,,,,1.696B,,4.523B,9.779B,,163.00M,-410.00M,2.013B,259.00M,,,1.719B,,,
1994-12,469.00M,911.00M,1.38B,,,777.00M,79.00M,,,346.00M,178.00M,2.76B,,,,11.92B,-5.483B,6.438B,,465.00M,465.00M,,,,8.624B,11.38B,,1.536B,7.00M,1.543B,,1.543B,,,57.00M,,57.00M,,,1.345B,2.945B,2.974B,,2.974B,,,,,1.681B,,4.655B,9.648B,,164.00M,-374.00M,2.013B,262.00M,,,1.736B,,,
1994-09,782.00M,906.00M,1.688B,,,883.00M,75.00M,,,341.00M,210.00M,3.197B,,,,11.92B,-5.398B,6.526B,,476.00M,476.00M,,,,8.743B,11.94B,,1.696B,18.00M,1.714B,,1.714B,,,37.00M,,37.00M,,,1.558B,3.309B,3.135B,,3.135B,,,,,1.661B,,4.796B,10.15B,,163.00M,-332.00M,2.013B,261.00M,,,1.787B,,,
1994-06,1.302B,408.00M,1.71B,,,886.00M,67.00M,,,336.00M,224.00M,3.223B,,,,11.88B,-5.272B,6.603B,,490.00M,490.00M,,,,8.673B,11.90B,,1.552B,108.00M,1.66B,,1.66B,,,238.00M,,238.00M,,,1.638B,3.536B,3.142B,,3.142B,,,,,1.641B,,4.783B,10.33B,,163.00M,-490.00M,2.013B,272.00M,,,1.569B,,AOR,
1994-03,1.414B,,1.414B,,,828.50M,71.00M,,,196.30M,253.70M,2.763B,,,,12.08B,-5.200B,6.878B,,542.60M,542.60M,,,,8.944B,11.71B,,1.510B,6.50M,1.516B,,1.516B,,,46.40M,,46.40M,,,1.467B,3.029B,3.351B,,3.351B,,,,,1.521B,,4.872B,9.922B,,163.40M,-209.30M,2.013B,283.60M,,,1.786B,,,
1993-12,1.096B,,1.096B,,,961.10M,80.50M,,,177.60M,258.30M,2.574B,,,,12.09B,-5.094B,6.998B,,560.80M,560.80M,,,,9.026B,11.60B,,1.276B,14.80M,1.291B,,1.291B,,,209.70M,,209.70M,,,1.359B,2.859B,3.344B,,3.344B,,,,,1.515B,,4.859B,9.712B,,163.40M,-102.60M,2.012B,288.10M,,,1.888B,,,
1993-09,1.156B,,1.156B,,,998.40M,84.30M,,,,497.70M,2.736B,,,,12.06B,-4.964B,7.094B,,289.40M,289.40M,,,,8.993B,11.73B,,1.486B,,1.486B,,1.486B,,,69.80M,,69.80M,,,1.482B,3.037B,3.465B,,3.465B,,,,,,,3.465B,9.680B,,,66.30M,,,,,2.050B,,,
1993-06,1.180B,,1.180B,,,1.025B,90.60M,,,,526.00M,2.822B,,,,11.97B,-4.831B,7.141B,,291.60M,291.60M,,,,9.049B,11.87B,,1.202B,,1.202B,,1.202B,,,47.20M,,47.20M,,,1.724B,2.973B,3.717B,,3.717B,,,,,,,3.717B,9.876B,,,35.90M,,,,,1.995B,,,
