,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2004-01,5.398B,5.398B,1.70B,3.698B,1.11B,210.00M,1.32B,771.00M,60.00M,44.00M,-44.00M,,124.00M,124.00M,2.151B,1.547B,124.00M,,124.00M,136.00M,124.00M,1.807B,516.00M,1.291B,-567.00M,724.00M,1.204B,1.936B,389.00M,1.547B,0.1878,,0.0,0.1751,0.11,0.1816,,-0.0825,0.1693,0.1,6.874B,7.11B,
2003-10,5.101B,5.101B,1.595B,3.506B,1.087B,212.00M,1.299B,755.00M,62.00M,41.00M,-41.00M,,137.00M,137.00M,2.116B,1.39B,137.00M,,137.00M,1.00M,137.00M,1.528B,442.00M,1.086B,,1.086B,1.087B,1.787B,397.00M,1.39B,0.16,,,0.1601,0.16,0.15,,,0.1501,0.15,6.932B,7.11B,
2003-07,4.702B,4.702B,1.413B,3.289B,1.024B,190.00M,1.214B,761.00M,110.00M,87.00M,-87.00M,,146.00M,146.00M,2.085B,1.204B,146.00M,,146.00M,23.00M,146.00M,1.373B,391.00M,982.00M,0.00,982.00M,979.85M,1.501B,297.00M,1.204B,0.1399,,0.0,0.1396,0.14,0.1376,,0.0,0.1373,0.14,7.001B,7.121B,
2003-04,4.618B,4.618B,1.349B,3.269B,1.019B,184.00M,1.203B,728.00M,92.00M,35.00M,-35.00M,,161.00M,161.00M,2.023B,1.246B,161.00M,,161.00M,-26.00M,161.00M,1.381B,394.00M,987.00M,0.00,987.00M,997.01M,1.629B,383.00M,1.246B,0.1398,,0.0,0.1412,0.14,0.1379,,0.0,0.1393,0.14,7.062B,7.158B,
2003-01,4.713B,4.713B,1.396B,3.317B,975.00M,174.00M,1.149B,826.00M,78.00M,55.00M,-55.00M,,174.00M,174.00M,2.053B,1.264B,174.00M,,174.00M,-51.00M,174.00M,1.387B,396.00M,991.00M,0.00,991.00M,1.016B,1.637B,373.00M,1.264B,0.1379,,0.0,0.1414,0.14,0.136,,0.0,0.1394,0.14,7.187B,7.286B,
2002-10,4.845B,4.845B,1.487B,3.358B,1.098B,154.00M,1.252B,824.00M,114.00M,104.00M,-104.00M,,179.00M,179.00M,2.19B,1.168B,179.00M,,179.00M,-475.00M,179.00M,872.00M,254.00M,618.00M,,618.00M,953.93M,1.578B,410.00M,1.168B,0.09,,,0.1363,0.09,0.08,,,0.1258,0.08,7.249B,7.327B,
2002-07,4.829B,4.829B,1.546B,3.283B,1.034B,155.00M,1.189B,859.00M,288.00M,,,,208.00M,208.00M,2.336B,947.00M,208.00M,,208.00M,-58.00M,208.00M,1.097B,325.00M,772.00M,,772.00M,772.00M,1.551B,604.00M,947.00M,0.1093,,,0.1093,0.11,0.1042,,,0.1042,0.1,7.274B,7.369B,
2002-04,4.822B,4.822B,1.754B,3.068B,1.063B,164.00M,1.227B,838.00M,129.00M,,,,220.00M,220.00M,2.194B,874.00M,220.00M,,220.00M,-70.00M,220.00M,1.024B,295.00M,729.00M,,729.00M,729.00M,1.292B,418.00M,874.00M,0.1,,,0.1,0.1,0.1,,,0.1,0.1,7.306B,7.454B,
2002-01,4.816B,4.816B,1.846B,2.97B,1.071B,148.00M,1.219B,862.00M,136.00M,,,,233.00M,233.00M,2.217B,753.00M,233.00M,,233.00M,-54.00M,233.00M,932.00M,272.00M,660.00M,,660.00M,660.00M,1.229B,476.00M,753.00M,0.09,,,0.09,0.09,0.09,,,0.09,0.09,7.311B,7.496B,
2001-10,4.448B,4.448B,1.756B,2.692B,1.096B,151.00M,1.247B,954.00M,146.00M,,,,234.00M,234.00M,2.347B,345.00M,234.00M,,234.00M,-922.00M,234.00M,-343.00M,-75.00M,-268.00M,,-268.00M,-268.00M,804.00M,459.00M,345.00M,-0.04,,,-0.04,-0.04,-0.04,,,-0.04,-0.04,7.307B,7.307B,
2001-07,4.298B,4.298B,1.862B,2.436B,1.149B,191.00M,1.34B,935.00M,298.00M,,0.00,,,36.00M,2.573B,-137.00M,,,36.00M,163.00M,36.00M,62.00M,55.00M,7.00M,,7.00M,7.00M,484.00M,621.00M,-137.00M,0.0,,,0.0,0.0,0.0,,,0.0,0.0,7.274B,7.274B,
2001-04,4.728B,4.728B,4.40B,328.00M,1.351B,195.00M,1.546B,1.137B,276.00M,,-1.17B,,,236.00M,2.959B,-2.631B,,,236.00M,-1.17B,236.00M,-3.565B,-872.00M,-2.693B,,-2.693B,-1.809B,-1.99B,641.00M,-2.631B,-0.37,,,-0.2481,-0.37,-0.37,,,-0.2481,-0.37,7.251B,7.251B,
2001-01,6.748B,6.748B,2.581B,4.167B,1.434B,196.00M,1.63B,1.249B,256.00M,,,,,275.00M,3.135B,1.032B,,,275.00M,,275.00M,1.307B,433.00M,874.00M,,874.00M,874.00M,1.572B,540.00M,1.032B,0.12,,,0.12,0.12,0.12,,,0.12,0.12,7.144B,7.556B,
2000-10,6.519B,6.519B,2.378B,4.141B,1.362B,196.00M,1.558B,1.456B,225.00M,,,,,420.00M,3.239B,902.00M,,,420.00M,,420.00M,1.322B,524.00M,798.00M,,798.00M,798.00M,1.336B,434.00M,902.00M,0.11,,,0.11,0.11,0.11,,,0.11,0.11,7.093B,7.58B,
2000-07,5.72B,5.72B,2.058B,3.662B,1.158B,218.00M,1.376B,1.295B,169.00M,,0.00,,,728.00M,2.84B,822.00M,,,728.00M,,728.00M,1.363B,567.00M,796.00M,,796.00M,796.00M,1.217B,395.00M,822.00M,0.12,,,0.12,0.12,0.11,,,0.11,0.11,6.887B,7.528B,
2000-04,4.933B,4.933B,1.761B,3.172B,1.037B,156.00M,1.193B,1.215B,51.00M,,0.00,,,158.00M,2.459B,713.00M,,,158.00M,156.00M,158.00M,1.027B,386.00M,641.00M,,641.00M,641.00M,873.00M,160.00M,713.00M,0.09,,,0.09,0.09,0.08,,,0.08,0.08,7.036B,7.548B,
2000-01,4.357B,4.357B,1.539B,2.818B,933.00M,147.00M,1.08B,645.00M,47.00M,,,,,120.00M,1.772B,1.046B,,,120.00M,31.00M,120.00M,1.197B,381.00M,816.00M,,816.00M,816.00M,1.21B,164.00M,1.046B,0.12,,,0.12,0.12,0.11,,,0.11,0.11,6.911B,7.387B,
1999-10,3.918B,3.918B,1.388B,2.53B,818.00M,112.00M,930.00M,922.00M,24.00M,,,,,102.00M,1.876B,654.00M,,,102.00M,0.00,102.00M,756.00M,341.00M,415.00M,,415.00M,415.00M,798.00M,144.00M,654.00M,0.06,,,0.06,0.06,0.06,,,0.06,0.06,6.833B,7.288B,
1999-07,3.559B,3.559B,1.262B,2.297B,713.00M,128.00M,841.00M,600.00M,19.00M,,,,,93.00M,1.46B,837.00M,,,93.00M,,93.00M,930.00M,334.00M,596.00M,,596.00M,596.00M,991.00M,154.00M,837.00M,0.08,,,0.08,0.08,0.08,,,0.08,0.08,6.955B,7.383B,
1999-04,3.171B,3.171B,1.112B,2.059B,656.00M,94.00M,750.00M,433.00M,19.00M,,,,,91.00M,1.202B,857.00M,,,91.00M,,91.00M,948.00M,312.00M,636.00M,,636.00M,636.00M,963.00M,106.00M,857.00M,0.1,,,0.1,0.1,0.09,,,0.09,0.09,6.624B,7.054B,
1999-01,2.845B,2.845B,988.00M,1.857B,576.00M,82.00M,658.00M,721.00M,12.00M,,,,,79.00M,1.391B,466.00M,,,79.00M,,79.00M,545.00M,263.00M,282.00M,,282.00M,282.00M,582.00M,116.00M,466.00M,0.045,,,0.045,0.045,0.04,,,0.04,0.04,6.548B,6.972B,
1998-10,2.597B,2.597B,897.00M,1.70B,518.00M,76.00M,594.00M,374.00M,11.00M,,,,,66.00M,979.00M,721.00M,,,66.00M,,66.00M,787.00M,275.00M,512.00M,,512.00M,512.00M,834.00M,113.00M,721.00M,0.08,,,0.08,0.08,0.075,,,0.075,0.075,6.358B,6.702B,
1998-07,2.42B,2.42B,825.00M,1.595B,470.00M,66.00M,536.00M,374.00M,,,,,,63.00M,933.00M,662.00M,,,63.00M,0.00,63.00M,725.00M,253.00M,472.00M,,472.00M,472.00M,762.00M,100.00M,662.00M,0.07,,,0.07,0.07,0.065,,,0.065,0.065,6.936B,7.456B,
