,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2005-12,-7.960B,,,,,,124.80M,124.80M,,,,8.107B,,,,,,,,-104.30M,,,2005-12,-132.20M,,,-142.10M,95.50M,5.138B,5.025B,2005-12,1.432B,-2.442B,-2.465B,164.50M,-1.965B,-1.801B,,,,,-109.60M,43.30M,-4.758B,,2005-12,844.50M,,1.655B,,2005-12,164.50M,,-1.965B,,,,2005-12,,
2005-09,256.90M,,,,,,108.90M,108.90M,,,,682.10M,,,,,,,,-35.00M,,,2005-09,-71.50M,,,-3.80M,-234.50M,547.70M,237.90M,2005-09,-6.60M,175.60M,169.00M,33.60M,-1.189B,-1.155B,,,,,-111.90M,-9.30M,-1.107B,,2005-09,143.40M,,810.80M,,2005-09,33.60M,,-1.189B,,,,2005-09,AOR,Restated
2005-06,389.50M,,,,,,93.90M,93.90M,,,,386.00M,,,,,,,,166.00M,,,2005-06,-64.80M,,,-292.20M,126.00M,-259.20M,-490.20M,2005-06,-1.632B,2.266B,633.80M,63.10M,-932.30M,-869.20M,,,,,-113.60M,3.80M,-345.20M,,2005-06,200.00M,,667.40M,,2005-06,63.10M,-227.10M,-932.30M,,,,2005-06,AOR,Restated
2005-03,225.00M,,,,,,120.90M,120.90M,,,,327.20M,,,,,,,,238.20M,,,2005-03,-58.50M,,,-24.80M,106.90M,-28.60M,-5.00M,2005-03,206.80M,,206.80M,56.30M,-1.476B,-1.420B,,,,,-116.20M,-37.80M,-1.367B,,2005-03,-460.80M,,467.40M,,2005-03,56.30M,227.10M,-1.476B,,,,2005-03,AOR,Restated
2004-12,-17.12B,,,,,,249.10M,249.10M,,,,17.98B,,,,,,,,-321.50M,,,2004-12,-169.60M,,,-82.50M,-145.70M,-169.50M,-567.30M,2004-12,-147.20M,,-147.20M,25.20M,-1.858B,-1.833B,,,,,-103.60M,143.20M,-1.940B,,2004-12,-1.716B,,928.20M,,2004-12,25.20M,-99.80M,-1.858B,,,,2004-12,AOR,Restated
2004-09,721.70M,,,,,,185.50M,185.50M,,,,135.10M,,,,,,,,-272.90M,,,2004-09,-105.00M,,,-314.70M,47.40M,674.60M,302.30M,2004-09,-0.40M,,-0.40M,39.20M,0.00,39.20M,,,,,-103.40M,-76.30M,-140.90M,,2004-09,930.80M,,2.644B,,2004-09,39.20M,91.20M,0.00,,,,2004-09,AOR,Restated
2004-06,723.50M,,,,,,183.50M,183.50M,,,,101.80M,,,,,,,,142.00M,,,2004-06,-78.10M,,,-4.60M,14.60M,-69.90M,-138.00M,2004-06,-20.70M,,-20.70M,26.40M,-218.70M,-192.30M,,,,,-103.80M,-42.00M,-358.80M,,2004-06,654.00M,,1.713B,,2004-06,26.40M,-2.00M,-218.70M,,,,2004-06,AOR,Restated
2004-03,618.40M,,,,,,191.80M,191.80M,,,,25.30M,,,,,,,,93.10M,,,2004-03,-62.30M,,,-25.90M,6.00M,-48.50M,-130.70M,2004-03,-4.40M,,-4.40M,28.80M,-426.60M,-397.80M,,,,,-104.40M,-82.70M,-589.30M,,2004-03,208.60M,,1.059B,,2004-03,28.80M,10.60M,-426.60M,,,,2004-03,AOR,Restated
2003-12,-234.50M,,,,,,450.90M,450.90M,,,,878.50M,,,,,,,,-155.70M,,,2003-12,-274.80M,,,-41.90M,4.30M,93.50M,-218.90M,2003-12,-353.60M,,-353.60M,126.50M,-495.50M,-369.00M,,,,,-104.60M,188.70M,-638.50M,,2003-12,91.80M,,850.70M,,2003-12,126.50M,0.00,-495.50M,,,,2003-12,AOR,Restated
2003-09,548.70M,,,,,,61.30M,61.30M,,,,259.50M,,,,,,,,-32.00M,,,2003-09,-30.20M,,,-31.10M,7.50M,-92.50M,-146.30M,2003-09,-485.50M,,-485.50M,49.60M,-183.60M,-134.00M,,,,,0.00,-194.10M,-813.60M,,2003-09,-122.40M,,758.90M,,2003-09,49.60M,-4.00M,-183.60M,,,,2003-09,AOR,Restated
2003-06,659.60M,,,,,,246.40M,246.40M,,,,32.60M,,,,,,,,72.70M,,,2003-06,-121.50M,,,-1.230B,2.70M,-0.50M,-1.349B,2003-06,576.10M,,576.10M,61.90M,-80.90M,-19.00M,,,,,0.00,-2.00M,555.10M,,2003-06,217.20M,,881.30M,,2003-06,61.90M,738.60M,-80.90M,,,,2003-06,AOR,Restated
2003-03,443.10M,,,,,,241.20M,241.20M,,,,46.70M,,,,,,,,-31.60M,,,2003-03,-107.90M,,,-42.10M,-9.10M,-0.50M,-159.60M,2003-03,-345.90M,,-345.90M,25.30M,-185.10M,-159.80M,,,,,0.00,-1.40M,-507.10M,,2003-03,32.70M,,664.10M,,2003-03,25.30M,1.90M,-185.10M,,,,2003-03,AOR,Restated
2002-12,652.40M,,,,,,239.60M,239.60M,,,,-7.10M,,,,,,,,275.70M,,,2002-12,-207.50M,,,-104.70M,46.40M,-12.60M,-278.40M,2002-12,627.60M,,-526.20M,60.20M,-312.30M,-252.10M,,,,,,-3.70M,-782.00M,,2002-12,110.40M,,631.40M,,2002-12,60.20M,6.90M,-312.30M,,,,2002-12,AOR,Restated
2002-09,640.30M,,,,,,237.90M,237.90M,,,,28.20M,,,,,,,,-567.60M,,,2002-09,-125.10M,,,-123.10M,-1.40M,-10.40M,-260.00M,2002-09,59.90M,,59.90M,48.60M,-320.30M,-271.70M,,,,,,-0.80M,-212.60M,,2002-09,-133.80M,,521.00M,,2002-09,48.60M,594.70M,-320.30M,,,,2002-09,AOR,Restated
2002-06,546.50M,,,,,,238.70M,238.70M,,,,21.10M,,,,,,,,337.10M,,,2002-06,-113.30M,,,-668.50M,-12.10M,16.60M,-777.30M,2002-06,-201.10M,,-201.10M,140.10M,-194.90M,-54.80M,,,,,,-0.70M,-256.60M,,2002-06,109.50M,,654.80M,,2002-06,140.10M,551.50M,-194.90M,,,,2002-06,AOR,Restated
2002-03,-1.114B,,,,,,229.40M,229.40M,,,,1.522B,,,,,,,,-166.80M,,,2002-03,-91.20M,,,-29.70M,-23.50M,6.40M,-138.00M,2002-03,-312.10M,,-312.10M,108.70M,-311.50M,-202.80M,,,,,,-0.60M,-515.50M,,2002-03,-182.10M,,545.30M,,2002-03,108.70M,144.90M,-311.50M,,,,2002-03,AOR,Restated
2001-12,-38.60M,,,,,,782.70M,782.70M,,,,-40.30M,,,,,,,,847.10M,,,2001-12,-185.90M,,,-115.60M,-10.00M,,-311.30M,2001-12,3.174B,,-838.40M,26.10M,-236.90M,-210.80M,,,,,,-1.00M,-1.050B,,2001-12,202.10M,,727.40M,,2001-12,26.10M,45.60M,-236.90M,,,,2001-12,AOR,
2001-09,-190.40M,,,,,,783.20M,783.20M,,,,331.10M,,,,,,,,-381.00M,,,2001-09,-121.70M,,,-31.50M,-10.20M,,-163.40M,2001-09,-396.60M,,-396.60M,25.30M,-346.80M,-321.50M,,,,,,0.00,-718.10M,,2001-09,-338.60M,,525.30M,,2001-09,25.30M,90.70M,-346.80M,,,,2001-09,AOR,Restated
2001-06,16.70M,,,,,,775.90M,775.90M,,,,16.70M,,,,,,,,140.10M,,,2001-06,-102.80M,,,-103.80M,-0.20M,,-206.80M,2001-06,-707.20M,,-707.20M,88.10M,-207.40M,-119.30M,,,,,,0.00,-826.50M,,2001-06,-83.90M,,863.90M,,2001-06,88.10M,1.620B,-207.40M,,,,2001-06,AOR,Restated
2001-03,-7.30M,,,,,,745.20M,745.20M,,,,51.00M,,,,,,,,-335.70M,,,2001-03,-105.00M,,,-635.20M,231.20M,,-509.00M,2001-03,300.50M,,300.50M,45.10M,-275.00M,-229.90M,,,,,,-1.50M,69.10M,,2001-03,13.30M,,947.80M,,2001-03,45.10M,1.667B,-275.00M,,,,2001-03,AOR,Restated
2000-12,30.40M,,,,,,763.00M,763.00M,,,,3.50M,,,,,,,,363.60M,,,2000-12,-236.90M,,,-528.70M,96.80M,6.50M,-662.30M,2000-12,-128.50M,-1.526B,-1.655B,24.50M,-358.10M,-333.60M,,,,,,1.414B,-574.30M,,2000-12,-58.20M,,934.50M,,2000-12,24.50M,47.30M,-358.10M,,,,2000-12,AOR,Restated
2000-09,33.40M,,,,,,680.30M,680.30M,,,,358.90M,,,,,,,,-463.30M,,,2000-09,-130.20M,,,-1.564B,123.80M,3.90M,-1.567B,2000-09,1.387B,-56.70M,1.330B,51.60M,-340.60M,-289.00M,,,,,,2.20M,1.043B,,2000-09,85.70M,,992.70M,,2000-09,51.60M,1.498B,-340.60M,,,,2000-09,AOR,Restated
2000-06,-495.60M,,,,,,551.00M,551.00M,,,,464.40M,,,,,,,,-92.80M,,,2000-06,-186.20M,,,-285.00M,27.30M,5.90M,-438.00M,2000-06,-2.70M,1.583B,1.580B,96.60M,-585.00M,-488.40M,,,,,,-871.20M,220.50M,,2000-06,209.50M,,907.00M,,2000-06,96.60M,137.20M,-585.00M,,,,2000-06,AOR,Restated
2000-03,-384.30M,,,,,,229.20M,229.20M,,,,768.90M,,,,,,,,-505.20M,,,2000-03,-105.70M,,,-1.90M,-79.00M,-7.10M,-193.70M,2000-03,-35.20M,,-35.20M,14.30M,-745.80M,-731.50M,,,,,,868.50M,101.80M,,2000-03,16.70M,,697.50M,,2000-03,14.30M,0.00,-745.80M,,,,2000-03,AOR,Restated
1999-12,133.10M,,,,,,228.90M,228.90M,,,,100.20M,61.70M,,,-19.70M,,,-1.054B,104.80M,,,1999-12,-202.60M,,,-2.90M,-12.30M,-33.70M,-251.50M,1999-12,-2.529B,,-2.529B,19.30M,0.00,19.30M,-611.90M,-611.90M,,,,2.806B,-324.30M,,1999-12,6.60M,,680.80M,,1999-12,19.30M,-2.494B,-611.90M,,,,1999-12,AOR,Restated
1999-09,96.70M,,,,,,218.70M,218.70M,,,,12.60M,,,,,,,,-244.20M,,,1999-09,-183.20M,,,-32.10M,32.30M,1.90M,-181.10M,1999-09,-527.60M,,-527.60M,759.80M,-76.50M,683.30M,612.00M,612.00M,,,,-612.20M,155.50M,,1999-09,58.20M,,674.20M,,1999-09,759.80M,-282.40M,535.50M,,,,1999-09,AOR,Restated
1999-06,59.30M,,,,,,200.00M,200.00M,,,,26.50M,-314.80M,,132.30M,441.10M,,,396.90M,-266.60M,,,1999-06,-175.20M,,,-176.50M,-30.40M,,-382.10M,1999-06,2.752B,,2.752B,15.20M,-352.80M,-337.60M,0.00,0.00,,,,-1.819B,596.20M,,1999-06,233.30M,,616.00M,,1999-06,15.20M,2.777B,-352.80M,,,,1999-06,AOR,Restated
1999-03,44.90M,,,,,,197.10M,197.10M,,,,22.20M,314.80M,,-132.30M,-441.10M,,,-396.90M,-655.50M,,,1999-03,-145.20M,,,-100.90M,-46.80M,,-292.90M,1999-03,-877.30M,,-877.30M,27.20M,-49.50M,-22.30M,-612.00M,-612.00M,,,,1.811B,299.60M,,1999-03,-384.60M,,382.70M,,1999-03,27.20M,,-661.50M,,,,1999-03,AOR,Restated
1998-12,18.50M,,,,-40.60M,688.00M,1.465B,1.465B,,,,-1.359B,210.50M,-476.00M,,454.00M,40.80M,492.70M,-59.60M,542.70M,,,1998-12,-82.40M,-141.70M,379.40M,,4.794B,230.90M,4.674B,1998-12,,,,,,,,,,,-19.80M,-289.40M,-4.863B,,1998-12,454.40M,,767.30M,,1998-12,,,,,,,1998-12,AOR,Restated
1998-09,138.40M,,,,22.80M,-223.10M,-223.10M,-223.10M,,,,352.80M,-530.40M,231.30M,,103.60M,-64.70M,230.60M,27.10M,-2.50M,,,1998-09,-184.30M,141.70M,-42.60M,,-18.10M,-16.00M,-76.70M,1998-09,,,,,,,,,,,-15.00M,-219.70M,-234.70M,,1998-09,-23.00M,,312.90M,,1998-09,,,,,,,1998-09,AOR,
1998-06,-280.70M,,,,17.80M,-235.60M,-235.60M,-235.60M,514.10M,,,499.80M,-6.70M,264.30M,,79.90M,66.00M,-720.30M,,-316.80M,,,1998-06,-158.70M,,-158.70M,,50.80M,-82.10M,-190.00M,1998-06,,,,,,,,,,,-15.00M,21.20M,6.20M,,1998-06,43.60M,,335.90M,,1998-06,,,,,,,1998-06,AOR,
