,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2004-06,424.18M,,,,54.00M,54.00M,91.92M,28.03M,-880.23M,-515.90M,-182.16M,485.27M,-289.00M,2.035B,,1.384B,1.102B,,,953.00M,-2.378B,-85.06M,-1.510B,500.00M,0.014M,500.01M,26.91M,,26.91M,,,,-53.82M,-10.79M,-64.60M,,,462.32M,613.89M,53.98M,-5.219M,660.00M,26.91M,500.00M,,,,
2004-03,446.82M,,,,,,55.08M,25.97M,-186.77M,57.90M,-255.84M,1.019B,,,,820.79M,1.162B,,,,-1.100B,6.055M,-1.094B,,-0.014M,-0.014M,38.09M,,38.09M,,,,-53.18M,-11.21M,-64.40M,,,-26.32M,561.65M,42.02M,10.22M,613.89M,38.09M,,,,,
2003-12,444.12M,,,,92.00M,92.00M,48.55M,-66.55M,1.276B,463.96M,-244.66M,-474.03M,453.00M,-254.00M,,-188.73M,1.605B,,,,-1.456B,40.97M,-1.415B,,-0.04M,-0.04M,25.15M,,25.15M,0.113M,,0.113M,155.24M,11.34M,-64.43M,,,-39.20M,431.12M,149.43M,-19.19M,562.00M,25.26M,,,,,
2003-09,354.96M,,,,,,40.57M,27.88M,1.030B,-141.49M,71.74M,-342.45M,,,,-412.20M,1.041B,,,0.00,-1.145B,-11.40M,-1.157B,0.00,-0.059M,-0.059M,15.90M,,15.90M,0.00,,0.00,-52.77M,-11.34M,-64.11M,,,-48.27M,575.77M,-163.85M,19.19M,431.12M,15.90M,-0.099M,,,,
2003-06,370.47M,,,,-15.72M,-15.72M,71.12M,22.95M,646.99M,-658.31M,320.75M,-489.44M,1.051B,-420.91M,,-117.54M,978.27M,,,0.00,-1.413B,6.743M,-1.406B,0.00,-0.399M,-0.399M,21.42M,,21.42M,556.89M,,556.89M,-51.39M,0.00,-51.39M,,,526.52M,477.37M,98.40M,,575.77M,578.31M,0.099M,,,,
2003-03,247.44M,,,,15.72M,15.72M,45.76M,15.72M,-677.48M,758.85M,-147.83M,1.052B,-1.051B,420.91M,,953.46M,600.64M,,,,-705.26M,-37.31M,-742.58M,,0.498M,0.498M,6.528M,,6.528M,,,,-51.07M,0.00,-51.07M,,,-44.05M,633.36M,-185.99M,,477.37M,6.528M,,,,,
2002-12,-168.65M,,,,40.23M,40.23M,-154.21M,-28.36M,237.72M,925.30M,559.44M,-1.320B,428.22M,320.09M,,906.35M,833.08M,,,54.38M,-694.30M,-58.04M,-697.96M,0.00,-74.34M,-473.50M,3.839M,,3.839M,,,,,,-51.04M,,399.16M,-121.54M,649.77M,13.58M,,663.36M,3.839M,0.00,,,,
2002-09,-56.51M,,,0.00,0.00,0.00,-30.65M,10.80M,508.04M,282.76M,-310.64M,613.53M,-3.759M,44.65M,,589.13M,1.021B,,,0.348M,-834.18M,-116.64M,-950.47M,-50.18M,-4.084M,-54.26M,6.911M,0.00,6.911M,,,,,,-51.00M,,-200.00M,-298.35M,877.78M,-228.00M,,649.77M,6.911M,-50.18M,,0.00,,
2002-06,103.90M,,,0.00,-7.798M,-7.798M,15.31M,17.56M,-1.570B,907.25M,-248.80M,1.171B,-9.647M,99.70M,,1.868B,427.24M,,,-54.73M,183.18M,-34.82M,93.64M,-49.82M,-174.96M,274.36M,7.384M,0.00,7.384M,,,,,,-45.70M,,-699.16M,-463.11M,820.01M,57.77M,,877.78M,7.384M,-49.82M,,0.00,,
2002-03,197.80M,,,,7.798M,7.798M,24.43M,,916.92M,-657.07M,,179.23M,-657.07M,179.23M,,-1.003B,143.86M,,,,-427.04M,40.22M,-386.81M,499.16M,-96.08M,-96.08M,33.90M,,33.90M,,,,,,-45.39M,,499.16M,391.58M,671.38M,148.63M,,820.01M,33.90M,499.16M,,,,
2001-12,46.26M,,,,23.05M,23.05M,-48.45M,,406.74M,-68.17M,,-175.94M,381.41M,-175.94M,,-35.92M,391.68M,,,,-1.568B,16.79M,-1.551B,,-30.82M,-30.82M,1.148B,0.00,1.148B,,,,,,-40.88M,,,1.076B,754.59M,-83.21M,,671.38M,1.148B,,,0.00,,
2001-09,-442.59M,,,-39.75M,14.75M,14.75M,-85.71M,3.534M,1.241B,-510.29M,315.08M,-330.67M,-48.41M,355.90M,,-243.45M,487.98M,,,,-185.86M,-110.19M,-296.05M,,48.18M,48.18M,7.549M,-129.77M,-122.22M,,,,,,-40.62M,,,-114.66M,677.32M,77.27M,,754.59M,7.549M,,,-129.77M,,
2001-06,131.52M,,,19.87M,19.87M,19.87M,23.86M,0.092M,-9.716M,16.85M,-21.44M,90.81M,-106.01M,-20.85M,,-80.96M,84.67M,,,,-91.26M,10.52M,-80.73M,,31.68M,31.68M,9.529M,-14.40M,-4.871M,0.00,,0.00,,,-36.50M,,,-9.689M,683.07M,-5.753M,,677.32M,9.529M,,,-14.40M,,
2001-03,118.39M,,,19.88M,19.88M,19.88M,-7.75M,-3.626M,142.46M,112.02M,-293.64M,576.45M,-226.99M,1.535M,,119.32M,388.68M,,,,-230.62M,-28.22M,-258.84M,,7.103M,7.103M,9.755M,-35.28M,-25.52M,0.00,,0.00,,,-36.41M,,,-54.83M,608.07M,75.00M,,683.07M,9.755M,,,-35.28M,,
2000-12,113.79M,,,19.93M,19.93M,19.93M,10.76M,-1.993M,-1.096B,435.00M,26.52M,26.80M,293.70M,125.81M,,901.06M,-52.65M,,,0.00,116.58M,-39.48M,77.10M,-1.025B,1.012B,-12.96M,16.40M,,16.40M,0.00,,0.00,,,-36.80M,,0.00,-33.35M,616.97M,-8.902M,,608.07M,16.40M,0.00,-12.96M,,,
2000-09,140.75M,,,19.92M,19.92M,19.92M,-4.822M,-3.33M,542.76M,-470.48M,-102.30M,-99.60M,-37.86M,-181.85M,,-865.92M,-170.64M,,,0.00,-296.83M,-0.905M,-297.74M,0.00,25.62M,25.62M,409.87M,,409.87M,0.00,,0.00,,,-34.71M,,-0.006M,400.77M,684.58M,-67.61M,,616.97M,409.87M,25.62M,0.00,,,
2000-06,113.93M,,,19.32M,19.32M,19.32M,31.98M,-2.447M,-553.83M,137.06M,-172.40M,256.13M,48.16M,17.32M,,271.18M,-119.87M,,,0.00,138.52M,-16.72M,121.80M,605.53M,-1.012B,-406.21M,6.053M,,6.053M,0.00,,0.00,,,-26.29M,,301.17M,-125.27M,807.92M,-123.34M,,684.58M,6.053M,0.00,-406.21M,,,
2000-03,174.51M,,,19.65M,19.65M,19.65M,-4.094M,0.393M,1.252B,39.71M,-58.96M,-398.13M,-304.00M,-750.33M,,-1.527B,-84.01M,,,0.00,323.70M,8.877M,332.58M,-605.53M,289.01M,-316.52M,0.559M,,0.559M,300.00M,,300.00M,,,-23.92M,,,-39.88M,599.23M,208.69M,,807.92M,300.56M,289.01M,-605.53M,,,
1999-06,69.10M,,,,4.70M,4.70M,21.80M,,1.00M,-33.70M,,91.30M,-82.20M,91.30M,,51.30M,147.90M,,,0.90M,118.70M,-115.10M,4.50M,0.00,,0.00,3.40M,,3.40M,,,,,,-17.40M,,400.10M,386.10M,266.00M,538.40M,,804.40M,3.40M,0.00,0.00,,,
1999-03,238.58M,,,,2.473M,2.473M,-17.55M,,-349.38M,29.54M,,-31.01M,78.04M,-31.01M,,54.46M,-71.41M,,,0.00,-125.77M,137.46M,11.69M,0.00,,0.00,0.029M,,0.029M,,,,,,-17.47M,,,-17.44M,266.02M,-77.16M,,266.00M,0.029M,250.00M,-250.00M,,,
1998-12,129.02M,,,,-1.473M,-1.473M,-0.852M,,-96.12M,-78.04M,,25.31M,-78.04M,25.31M,,-107.36M,-76.79M,,,-9.00M,136.07M,-12.36M,114.71M,,,,4.971M,,4.971M,,,,,,-17.43M,,,-12.46M,240.56M,25.46M,,266.02M,4.971M,,,,,
1998-09,13.60M,,,,-7.90M,-7.90M,27.50M,,107.20M,-137.50M,,-101.60M,-3.30M,-101.60M,,-362.20M,-221.80M,967.80M,967.80M,,186.50M,-1.034B,120.50M,0.00,,0.00,1.20M,0.00,1.20M,,,,,,-16.10M,,,-14.90M,433.90M,-116.20M,,317.70M,1.20M,0.00,0.00,0.00,,
1998-06,176.50M,,,,-0.70M,-0.70M,6.80M,,66.30M,-24.40M,,-85.90M,3.30M,-85.90M,,-214.90M,34.00M,-967.80M,-967.80M,,-9.70M,344.80M,-632.70M,0.00,,0.00,607.20M,0.00,607.20M,,,,,,-13.10M,,0.10M,594.20M,388.20M,-4.60M,,433.90M,607.20M,385.00M,-385.00M,0.00,,
1998-03,247.90M,,,,-0.60M,-0.60M,11.30M,,-3.80M,-18.90M,,-23.80M,-63.90M,-23.80M,,-118.90M,135.90M,,,,95.40M,-280.00M,-184.60M,250.00M,,250.00M,2.30M,-31.10M,-28.80M,,,,,,-13.00M,,-0.20M,208.00M,228.80M,159.40M,,388.20M,2.30M,250.00M,,-31.10M,,
1997-12,122.20M,,,,-0.50M,-0.50M,6.60M,,-220.50M,63.90M,,31.20M,63.90M,31.20M,,210.90M,118.70M,,,,31.30M,1.20M,32.50M,,,,0.40M,-76.50M,-76.10M,,,,,,-12.20M,,0.10M,-88.20M,165.90M,62.90M,,228.80M,0.40M,,,-76.50M,,
