,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2003-09,431.12M,3.185B,3.616B,17.04B,,17.04B,1.370B,22.02B,2.711B,,2.711B,21.06B,1.103B,26.05B,47.23B,3.175B,52.91M,,,3.228B,3.228B,,145.98M,145.98M,145.98M,3.374B,1.749B,1.749B,,,,,26.19B,6.243B,,34.18B,38.89B,13.90M,3.000B,4.727B,,2.30M,,,668.38M,8.346B
2003-06,575.77M,2.710B,3.285B,17.29B,,17.29B,1.452B,22.03B,2.711B,,2.711B,20.06B,1.094B,25.01B,46.63B,3.349B,52.77M,,,3.402B,3.402B,,146.04M,146.04M,146.04M,3.548B,1.749B,1.749B,,,,,25.48B,6.394B,,33.63B,38.45B,13.87M,2.710B,4.711B,,2.30M,,,812.64M,8.178B
2003-03,477.37M,2.766B,3.243B,17.58B,,17.58B,1.790B,22.61B,2.711B,,2.711B,18.22B,1.227B,23.24B,45.46B,3.511B,48.03M,,,3.559B,3.559B,,146.44M,146.44M,146.44M,3.706B,1.749B,1.749B,,,,,25.18B,6.573B,,33.50B,38.75B,11.02M,2.395B,3.840B,,,,,537.68M,6.702B
2002-12,661.00M,,661.00M,,,,,661.00M,,2.717B,2.717B,,,42.24B,43.95B,,,,,,,,145.94M,145.94M,145.94M,145.94M,1.603B,1.603B,,,,,,5.586B,311.05M,7.189B,37.25B,10.94M,2.199B,3.781B,,,,,,6.271B
2002-09,649.77M,2.649B,3.299B,15.34B,,15.34B,1.646B,20.28B,2.717B,,2.717B,16.55B,1.152B,21.01B,40.83B,3.309B,47.69M,,,3.357B,3.357B,,220.28M,220.28M,220.28M,3.577B,1.749B,1.749B,,,,,22.15B,5.570B,,29.47B,34.38B,10.94M,2.419B,3.780B,,,,,284.80M,6.448B
2002-06,877.78M,1.774B,2.652B,15.07B,,15.07B,1.373B,19.09B,2.717B,,2.717B,15.07B,1.188B,19.84B,39.32B,3.328B,47.65M,,,3.376B,3.376B,,224.36M,224.36M,224.36M,3.600B,1.799B,1.799B,,,,,21.14B,4.991B,,27.93B,32.94B,10.93M,2.527B,3.775B,,,,,123.51M,6.384B
2002-03,820.01M,1.401B,2.221B,14.77B,,14.77B,1.463B,18.45B,2.772B,,2.772B,14.95B,1.240B,19.25B,38.49B,3.070B,42.35M,,,3.113B,3.113B,,399.33M,399.33M,399.33M,3.512B,1.849B,1.849B,,,,,21.02B,4.721B,,27.59B,32.28B,10.91M,2.474B,3.768B,,,,,16.55M,6.204B
2001-12,668.00M,,668.00M,,,,,668.00M,,2.772B,2.772B,,,35.84B,37.19B,,,,,,,,495.41M,495.41M,495.41M,495.41M,853.59M,853.59M,,,,,,3.853B,,4.707B,31.18B,10.83M,2.322B,3.711B,,,,,,6.011B
2001-09,754.59M,1.439B,2.194B,13.40B,,13.40B,1.234B,16.83B,2.791B,,2.791B,13.24B,1.178B,17.46B,34.91B,2.966B,37.53M,,,3.003B,3.003B,,451.47M,451.47M,451.47M,3.455B,1.424B,1.424B,,,,,19.99B,3.836B,,25.25B,29.89B,9.433M,2.321B,2.575B,,,,,152.69M,5.018B
2001-06,677.32M,1.015B,1.693B,12.13B,,12.13B,1.082B,14.91B,2.807B,,2.807B,12.89B,1.127B,17.14B,33.01B,2.600B,37.78M,,,2.638B,2.638B,,403.26M,403.26M,403.26M,3.041B,1.424B,1.424B,,,,,18.06B,3.771B,,23.26B,27.48B,9.643M,2.874B,2.628B,,,,,56.90M,5.525B
2001-03,683.07M,1.069B,1.752B,12.04B,,12.04B,1.101B,14.89B,2.827B,,2.827B,12.89B,1.139B,17.11B,32.89B,2.624B,33.14M,,,2.657B,2.657B,,371.61M,371.61M,371.61M,3.029B,1.424B,1.424B,,,,,18.07B,3.675B,,23.17B,27.38B,9.641M,2.792B,2.624B,,,,,125.29M,5.507B
2000-12,608.07M,1.901B,2.509B,11.48B,,11.48B,857.74M,14.85B,2.847B,,2.847B,13.15B,1.144B,16.84B,31.69B,2.636B,33.13M,,,2.669B,2.669B,,364.51M,364.51M,364.51M,3.033B,1.424B,1.424B,,,,,17.53B,3.098B,,22.05B,26.27B,9.681M,2.734B,2.637B,,,,,69.45M,5.420B
2000-09,616.97M,1.363B,1.980B,2.159B,9.219B,11.38B,891.06M,14.25B,2.858B,,2.858B,12.66B,1.091B,16.81B,31.53B,2.532B,33.16M,,,2.565B,2.565B,,377.47M,377.47M,377.47M,2.943B,1.424B,1.424B,,,,,17.55B,3.193B,,22.16B,26.29B,9.66M,2.657B,2.629B,,,,,-23.16M,5.241B
2000-06,684.58M,1.099B,1.784B,2.249B,9.155B,11.40B,741.59M,13.93B,2.877B,,2.877B,11.34B,1.004B,15.62B,30.20B,2.709B,31.20M,,,2.741B,2.741B,,351.85M,351.85M,351.85M,3.092B,1.424B,1.424B,,,,,16.86B,3.053B,,21.34B,25.62B,9.069M,2.553B,2.199B,,,,,-145.22M,4.589B
2000-03,807.92M,937.54M,1.745B,2.321B,9.088B,11.41B,584.29M,13.74B,2.806B,,2.806B,11.59B,945.12M,15.74B,30.25B,2.727B,23.86M,,,2.751B,2.751B,,758.06M,758.06M,758.06M,3.509B,1.424B,1.424B,,,,,17.04B,2.827B,,21.29B,25.68B,9.038M,2.472B,2.197B,,,,,-81.84M,4.568B
1999-12,599.23M,1.193B,1.792B,2.019B,9.374B,11.39B,580.24M,13.77B,2.823B,,2.823B,11.98B,916.18M,15.95B,30.12B,3.421B,23.92M,,,3.445B,3.445B,,1.075B,1.075B,1.075B,4.519B,1.424B,1.424B,,,,,16.66B,2.493B,,20.58B,25.67B,9.061M,2.322B,2.215B,,,,,-66.15M,4.451B
1999-09,,,,2.319B,,2.319B,,2.319B,,2.665B,2.665B,,,26.48B,29.34B,,,,,,,,1.449B,1.449B,1.449B,1.449B,1.049B,1.049B,,,,,17.20B,2.128B,400.00M,20.38B,25.08B,8.10M,2.194B,1.774B,,,,,,3.864B
1999-06,,,,459.50M,,459.50M,,459.50M,,533.60M,533.60M,,,9.078B,9.668B,,,,,,,,,,,,650.00M,650.00M,,,,,3.803B,847.10M,,5.300B,5.730B,8.10M,2.20B,1.774B,,,,,,3.938B
1999-03,,,,425.90M,,425.90M,,425.90M,,538.20M,538.20M,,,8.317B,8.876B,,,,,,,,,,,,250.00M,250.00M,,,,,3.610B,738.20M,,4.598B,4.920B,8.10M,2.152B,1.770B,,,,,,3.956B
1998-12,,,,347.80M,,347.80M,,347.80M,,535.90M,535.90M,,,8.364B,8.834B,,,,,,,,,,,,250.00M,250.00M,,,,,3.678B,705.70M,,4.634B,4.925B,8.10M,2.041B,1.767B,,,,,,3.910B
1998-09,,,,347.80M,,347.80M,,347.80M,,535.90M,535.90M,,,8.364B,8.834B,,,,,,,,,,,,250.00M,250.00M,,,,,,705.70M,,955.70M,4.925B,8.10M,2.041B,1.767B,,,,,,3.910B
1998-06,,,,256.60M,,256.60M,,256.60M,,497.50M,497.50M,,,7.627B,7.972B,,,,,,,,,,,,250.00M,250.00M,,,,,3.404B,616.20M,,4.270B,4.464B,7.50M,1.708B,1.689B,,,0.80M,,0.80M,3.508B
1998-03,,,,189.00M,,189.00M,,189.00M,,194.10M,194.10M,,,6.727B,6.993B,,,,,,,,,,,,250.00M,250.00M,,,,,3.325B,461.50M,,4.036B,4.212B,6.80M,1.553B,1.082B,,,0.80M,,0.80M,2.781B
