,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2004-12,36.99M,,-11.18M,,,32.96M,32.96M,33.99M,,,,63.37M,-1.015M,0.01M,,,-37.50M,24.86M,117.63M,-54.70M,8.693M,-46.00M,0.00,,,-46.00M,,,3.627M,1.50M,-41.07M,-39.57M,,-9.536M,,,-45.48M,135.48M,26.14M,161.62M,1.50M,,,-41.07M,,
2004-09,54.00M,,-4.447M,,,33.09M,33.09M,-3.048M,,,,-26.14M,19.38M,12.46M,,,12.02M,17.72M,97.32M,-38.41M,10.89M,-27.52M,0.00,,,-27.52M,,,-5.717M,0.396M,-5.413M,-5.017M,,-9.636M,,0.253M,-20.12M,85.80M,49.68M,135.48M,0.396M,,,-5.413M,,
2004-06,44.72M,,-0.953M,,,33.19M,33.19M,3.952M,,,,-34.01M,-1.14M,6.071M,,,16.66M,-12.42M,68.48M,-40.56M,14.18M,-26.38M,0.00,,,-26.38M,,,-0.936M,0.775M,0.00,0.775M,,-8.667M,,-0.253M,-9.081M,52.78M,33.02M,85.80M,0.775M,,,0.00,,
2004-03,-6.545M,,-2.519M,,,33.61M,33.61M,3.647M,,,,8.697M,-16.44M,-5.164M,,,-31.88M,-44.78M,-16.58M,-29.78M,11.92M,-17.85M,-5.567M,,,-23.42M,,,0.224M,1.116M,-25.02M,-23.90M,,-8.668M,,,-32.35M,125.13M,-72.35M,52.78M,1.116M,,,-25.02M,,
2003-12,36.22M,,-11.60M,,,35.79M,35.79M,4.441M,,,,76.44M,-3.899M,-6.125M,,,-25.51M,40.90M,105.76M,-38.20M,29.48M,-8.726M,-0.095M,,-14.92M,-23.74M,,,-3.864M,0.651M,,-12.60M,,-8.798M,,0.00,-25.26M,53.57M,56.76M,125.13M,0.651M,,,,,
2003-09,38.65M,,5.553M,,,35.76M,35.76M,4.696M,,,,-15.30M,21.74M,7.808M,,,11.48M,25.73M,110.39M,-25.78M,-6.196M,-31.98M,0.093M,,14.92M,-16.97M,,,-38.16M,0.201M,,0.201M,,-8.795M,,0.00,-46.76M,6.907M,46.67M,53.57M,0.201M,,,,,
2003-06,46.52M,,-6.239M,,,34.61M,34.61M,4.099M,,,,-74.11M,9.941M,10.99M,,,15.60M,-37.58M,41.41M,-28.64M,6.196M,-22.44M,0.289M,,-6.158M,-28.31M,,,-14.38M,0.185M,,0.185M,,-8.794M,,12.58M,-10.41M,4.226M,2.681M,6.907M,0.185M,,,,,
2003-03,-20.89M,,7.583M,,,33.44M,33.44M,3.415M,,,,11.08M,-9.744M,-8.628M,,,3.348M,-3.94M,19.61M,-28.01M,,-28.01M,-8.905M,,6.158M,-30.76M,,,23.00M,,,,,-7.327M,,,15.68M,-0.304M,4.53M,4.226M,,,,,,
2002-12,16.08M,,-0.447M,,,35.72M,35.72M,6.04M,,,,53.50M,-0.233M,-8.517M,,,-30.91M,13.84M,71.23M,-43.41M,,-43.41M,11.16M,,-97.24M,-31.76M,,,-45.92M,-0.035M,,-0.035M,,-7.323M,,,-53.27M,6.077M,-13.80M,14.50M,-0.035M,,,,,
2002-09,27.42M,,11.33M,,,34.65M,34.65M,5.628M,,,,0.908M,10.50M,1.346M,,,-7.098M,5.658M,84.67M,-41.42M,-68.53M,-109.95M,-23.38M,,97.24M,-36.10M,,,-40.00M,0.065M,,0.065M,,-7.323M,,,-47.26M,4.756M,1.321M,6.077M,0.065M,,,,,
2002-06,64.87M,,-34.16M,,,34.39M,34.39M,9.151M,,,,-80.24M,-2.085M,4.69M,,,31.62M,-46.01M,28.24M,-39.75M,68.53M,28.78M,-34.19M,,-1.353M,-6.764M,,,-21.49M,0.46M,,0.46M,,-6.834M,,,-27.86M,11.14M,-6.381M,4.756M,0.46M,,,,,
2002-03,-22.06M,,11.76M,,,33.94M,33.94M,3.67M,,,,14.60M,-22.51M,-5.05M,,,5.067M,-7.898M,19.41M,-28.11M,,-28.11M,-1.55M,,1.353M,-28.30M,,,25.30M,0.15M,,0.15M,,-6.798M,,,18.65M,1.379M,9.758M,11.14M,0.15M,,,,,
2001-12,-53.70M,,,,,,,,,,,,,,,,,,93.88M,-44.73M,,-44.73M,-4.343M,,-44.11M,-47.21M,,,-31.09M,1.134M,,1.134M,,-6.795M,,2.15M,-34.60M,-3.672M,12.07M,23.60M,1.134M,,,,,
2001-09,124.71M,,,,,,,,,,-9.914M,,,,,,,,114.80M,-47.52M,,-47.52M,-8.713M,,6.421M,-49.81M,,,-61.82M,0.909M,,0.909M,,-6.779M,,-0.108M,-67.79M,-0.863M,-2.809M,-3.672M,0.909M,,,,,
2001-06,39.00M,,,,,,,,,,8.668M,,,,,,,,47.67M,-50.97M,,-50.97M,-195.42M,,39.41M,-206.98M,,,-69.09M,0.143M,,0.143M,,-6.731M,,-0.417M,-76.09M,234.53M,-235.40M,-0.863M,0.143M,,,,,
2001-03,-4.652M,,,,,,,,,,1.246M,,,,,,,,-3.406M,-51.16M,,-51.16M,-13.30M,,-1.725M,-66.18M,,,316.72M,0.435M,,0.435M,,-6.622M,,-1.625M,308.90M,-4.778M,239.31M,234.53M,0.435M,,,,,
2000-12,20.52M,,,,,,,,,,,,,,,,-93.46M,-106.56M,57.46M,-52.92M,,-52.92M,-2.656M,,1.396M,-54.18M,,,-7.542M,0.67M,,0.67M,,-6.548M,,,-13.42M,5.355M,-10.13M,-4.778M,0.67M,,,,,
2000-09,42.05M,,,,,,,,,,,,,,,,41.09M,41.09M,83.14M,-44.58M,,-44.58M,0.00,,2.755M,-41.82M,,,-32.91M,0.133M,,0.133M,,-6.547M,,,-39.33M,3.363M,1.992M,5.355M,0.133M,,,,,
2000-06,42.12M,,,,,,,,,,,,,,,,3.409M,3.409M,45.53M,-39.30M,,-39.30M,-22.45M,,1.97M,-59.79M,,,23.76M,0.605M,,0.605M,,-6.078M,,,18.28M,-0.662M,4.025M,3.363M,0.605M,,,,,
2000-03,7.33M,,,,,,,,,,,,,,,,19.41M,19.41M,26.74M,-34.00M,,-34.00M,-14.22M,,2.205M,-46.02M,,,20.65M,0.631M,,0.631M,,-6.075M,,,15.21M,3.403M,-4.065M,-0.662M,0.631M,,,,,
1999-12,32.58M,,,,,,,,,,-51.94M,,,,,,14.20M,-17.30M,78.50M,-112.20M,,-112.20M,,,60.80M,-51.40M,,,-10.40M,-1.00M,-6.80M,-7.80M,,-6.10M,,,-24.30M,0.60M,2.80M,3.40M,-1.00M,,,-6.80M,,
1999-09,44.00M,,,,,,,,,,45.10M,,,,,,,,89.10M,-40.00M,,-40.00M,,,-52.70M,-92.70M,,,16.00M,0.30M,-5.90M,-5.60M,,-6.10M,,,4.30M,-0.20M,0.70M,0.60M,0.30M,,,-5.90M,,
1999-06,41.26M,,,,,,,,,,6.90M,,,,,,-21.28M,-21.28M,26.88M,-33.70M,-0.184M,-33.88M,,,-8.53M,-42.41M,,,10.46M,2.008M,,2.008M,,-6.037M,,,6.431M,8.987M,-9.101M,-0.20M,2.008M,,,,,
1999-03,7.94M,,,,,,,,,,,,,,,,21.28M,21.28M,29.22M,-29.00M,0.184M,-28.82M,,,0.73M,-28.09M,,,-1.36M,0.692M,,0.692M,,-6.063M,,,-6.731M,14.59M,-5.599M,8.987M,0.692M,,,,,
1998-12,30.71M,,-3.90M,,,28.16M,28.16M,,,,-31.58M,32.80M,8.60M,5.40M,,25.90M,,72.70M,92.60M,-329.00M,,-329.00M,,,-36.80M,-365.80M,,,283.30M,0.20M,,0.20M,,-6.00M,,-1.80M,275.70M,0.00,2.50M,14.60M,0.20M,,,,,
1998-09,45.90M,,-0.40M,,,24.30M,24.30M,,,,31.60M,-15.00M,9.60M,-3.10M,,-12.70M,,-21.20M,80.20M,-57.30M,,-57.30M,,,-1.30M,-58.60M,,,-20.70M,1.40M,,1.40M,,-6.10M,,0.10M,-25.30M,15.90M,-3.70M,0.00,1.40M,,,,,
1998-06,36.40M,,-0.10M,,,23.70M,23.70M,,,,3.80M,-44.90M,-3.10M,8.40M,,12.70M,,-26.90M,36.90M,-31.00M,,-31.00M,,,1.50M,-29.50M,,,9.90M,0.10M,,0.10M,,-5.60M,,0.00,4.40M,0.00,11.80M,15.90M,0.10M,,,,,
