,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-03,314.30M,314.30M,293.26M,21.04M,31.00M,0.058M,0.935M,,,-1.242M,29.82M,-8.779M,,,0.935M,,-19.21M,-7.248M,-11.96M,-2.059M,-6.874M,,-20.89M,-12.54M,24.66M,33.44M,-8.779M,-0.25,-0.04,0.0,,-0.2619,-0.43,-0.25,-0.04,-0.1406,,-0.2619,-0.43,48.89M,48.89M,0.15
2002-12,340.59M,340.59M,286.42M,54.18M,28.10M,0.137M,1.582M,,,-4.089M,24.14M,30.03M,,,1.582M,,17.02M,-0.475M,17.50M,-1.42M,0.00,,16.08M,16.55M,65.75M,35.72M,30.03M,0.37,-0.04,0.0,,0.3506,0.32,0.37,-0.05,0.0003,,0.3506,0.32,48.94M,48.94M,0.15
2002-09,473.04M,473.04M,375.72M,97.32M,28.83M,0.012M,-0.493M,,,-0.065M,28.78M,68.54M,,,-0.493M,,56.81M,18.00M,38.81M,0.114M,,,38.92M,39.15M,103.19M,34.65M,68.54M,0.8,0.0,,,0.8069,0.8,0.8,0.0,,,0.8069,0.8,48.80M,49.00M,0.15
2002-06,464.35M,464.35M,355.27M,109.08M,28.49M,0.136M,-8.065M,,,-0.455M,28.17M,80.91M,,,-8.065M,,61.18M,18.35M,42.83M,10.54M,,,53.36M,48.47M,115.30M,34.39M,80.91M,0.88,0.22,,,0.9959,1.1,0.88,0.21,,,0.9956,1.09,48.70M,48.85M,0.14
2002-03,324.18M,324.18M,296.17M,28.00M,28.18M,0.084M,0.246M,,,,28.27M,-0.266M,,,0.246M,,-11.15M,-3.43M,-7.723M,-2.826M,-11.51M,,-22.06M,-7.893M,33.67M,33.94M,-0.266M,-0.16,-0.06,0.0,,-0.1635,-0.45,-0.16,-0.06,-0.2371,,-0.1635,-0.45,48.55M,48.72M,0.14
2001-12,316.42M,316.42M,247.64M,68.79M,12.08M,0.066M,-12.04M,,,,12.14M,56.64M,,,-12.04M,,33.74M,13.00M,20.74M,,,,25.10M,28.13M,56.64M,,56.64M,0.46,0.06,,,0.6122,0.52,0.46,0.05,,,0.6116,0.51,48.58M,48.78M,0.14
2001-09,499.70M,499.70M,393.82M,105.88M,26.25M,-0.179M,-0.964M,,,0.001M,26.08M,79.81M,,,-0.964M,,66.72M,20.81M,45.92M,,,,45.92M,46.58M,79.81M,,79.81M,0.95,0.0,,,0.9637,0.95,0.95,0.0,,,0.9637,0.95,48.34M,48.57M,0.14
2001-06,477.41M,477.41M,383.95M,93.46M,28.73M,0.259M,7.939M,,,,28.99M,64.47M,,,7.939M,,59.10M,20.09M,39.00M,,,,39.00M,33.76M,64.47M,,64.47M,0.82,0.0,,,0.7098,0.82,0.82,0.0,,,0.7104,0.82,47.56M,47.80M,0.14
2001-03,300.83M,300.83M,273.67M,27.16M,24.56M,0.409M,1.283M,,,,24.96M,2.20M,,,1.283M,,-7.011M,-2.359M,-4.652M,,,,-4.652M,-5.503M,2.20M,,2.20M,-0.1,0.0,,,-0.1181,-0.1,-0.1,0.0,,,-0.118,-0.1,47.07M,47.28M,0.14
2000-12,359.27M,359.27M,292.32M,66.96M,26.50M,0.543M,1.395M,,,,27.04M,39.91M,,,1.395M,,30.91M,10.39M,20.52M,,,,20.52M,19.60M,39.91M,,39.91M,0.3,0.14,,,0.2801,0.44,0.3,0.14,,,0.2801,0.44,46.47M,46.60M,0.14
2000-09,430.46M,430.46M,335.04M,95.43M,24.01M,0.57M,1.688M,,,,24.58M,70.84M,,,1.688M,,61.85M,19.80M,42.05M,,,,42.05M,40.90M,70.84M,,70.84M,0.9,0.0,,,0.8754,0.9,0.9,0.0,,,0.8756,0.9,46.75M,46.96M,0.14
2000-06,362.47M,362.47M,265.64M,96.83M,24.66M,0.593M,3.81M,,,,25.26M,71.58M,,,3.81M,,64.73M,22.61M,42.12M,,,,42.12M,39.64M,71.58M,,71.58M,0.9,0.0,,,0.847,0.9,0.9,0.0,,,0.8473,0.9,46.75M,47.05M,0.13
2000-03,276.13M,276.13M,231.77M,44.36M,23.59M,0.62M,1.346M,,,,24.21M,20.15M,,,1.346M,,11.32M,3.993M,7.33M,,,,7.33M,6.459M,20.15M,,20.15M,0.16,0.0,,,0.1414,0.16,0.16,0.0,,,0.1414,0.16,46.73M,46.89M,0.13
1999-12,510.38M,510.38M,304.57M,205.82M,21.62M,0.689M,2.135M,,,,147.06M,58.75M,,,2.135M,,50.31M,17.73M,32.58M,,,,32.58M,31.20M,58.75M,,58.75M,0.7,0.0,,,0.6705,0.7,0.7,0.0,,,0.6705,0.7,46.87M,46.87M,0.13
1999-09,353.79M,353.79M,254.10M,99.69M,23.40M,0.70M,2.20M,,,,24.10M,75.59M,,,2.20M,,68.10M,24.10M,44.00M,,,,44.00M,42.58M,75.59M,,75.59M,0.94,0.0,,,0.9095,0.94,0.94,0.0,,,0.9097,0.94,46.67M,46.97M,0.13
1999-06,328.90M,328.90M,238.60M,90.30M,24.90M,0.50M,8.70M,,,,25.40M,64.90M,,,8.70M,,63.80M,22.50M,41.30M,,,,41.30M,35.67M,64.90M,,64.90M,0.88,0.0,,,0.7593,0.88,0.88,0.0,,,0.7601,0.88,46.66M,46.97M,0.13
1999-03,241.06M,241.06M,201.32M,39.74M,22.75M,0.932M,5.378M,,,,23.68M,16.06M,,,5.378M,,12.20M,4.256M,7.94M,,,,7.94M,4.439M,16.06M,,16.06M,0.17,0.0,,,0.0949,0.17,0.17,0.0,,,0.0953,0.17,46.64M,46.90M,0.13
1998-12,424.80M,424.80M,323.48M,101.32M,22.14M,0.553M,1.247M,,,,50.86M,50.46M,,,1.247M,,44.94M,14.23M,30.71M,,,,30.71M,29.86M,78.62M,28.16M,50.46M,0.66,0.0,,,0.6417,0.66,0.66,0.0,,,0.6418,0.66,46.64M,46.89M,0.13
1998-09,312.40M,312.40M,192.30M,120.10M,19.70M,0.90M,0.40M,,,,44.90M,75.20M,,,0.40M,,69.80M,23.90M,45.90M,,,,45.90M,45.64M,99.50M,24.30M,75.20M,0.99,0.0,,,0.9843,0.99,0.98,0.0,,,0.9744,0.98,46.36M,46.84M,0.13
1998-06,277.70M,277.70M,170.80M,106.90M,20.90M,0.90M,-0.30M,,,,45.50M,61.40M,,,-0.30M,,55.30M,18.90M,36.40M,,,,36.40M,36.60M,85.10M,23.70M,61.40M,0.78,0.0,,,0.7842,0.78,0.78,0.0,,,0.7842,0.78,46.67M,46.67M,0.12
