,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1992-03,671.00M,,671.00M,,,,679.80M,1.202B,,,399.20M,2.952B,,,,,,5.096B,-2.136B,2.960B,,,,,1.080B,4.040B,6.993B,,439.10M,,,439.10M,,439.10M,,218.40M,,218.40M,,,472.60M,1.130B,961.10M,961.10M,,,,,530.30M,1.491B,2.622B,,,1.667B,,,,,,4.371B,,,
1991-12,737.00M,,737.00M,,,,716.30M,1.211B,,,355.80M,3.020B,,,,,,5.042B,-2.136B,2.906B,,,,,1.038B,3.943B,6.964B,,582.20M,,,582.20M,,582.20M,,196.60M,,196.60M,,,408.20M,1.187B,969.90M,969.90M,,,,,524.80M,1.495B,2.682B,,,1.617B,,,,,,4.282B,,,
1991-09,874.40M,,874.40M,,,,718.20M,943.00M,,,485.80M,3.021B,,,,,,4.967B,-2.136B,2.831B,,,,,973.90M,3.805B,6.826B,,510.90M,,,510.90M,,510.90M,,255.00M,,255.00M,,,460.60M,1.226B,987.00M,987.00M,,,,,507.40M,1.494B,2.721B,,,1.448B,,,,,,4.105B,,,
1991-06,647.60M,,647.60M,,,,639.00M,917.50M,,,327.50M,2.532B,,,,,,4.832B,-2.136B,2.696B,,,,,1.033B,3.729B,6.261B,,362.60M,,,362.60M,,362.60M,,136.80M,,136.80M,,,357.50M,856.90M,980.30M,980.30M,452.70M,452.70M,,,48.40M,1.481B,2.338B,,,1.285B,,,,,,3.922B,,,
1991-03,478.90M,,478.90M,,,,585.80M,1.001B,,,282.70M,2.348B,,,,,,4.402B,-1.846B,2.557B,,,,,1.117B,3.674B,6.022B,,391.00M,,,391.00M,,391.00M,,94.50M,,94.50M,,,432.20M,917.70M,793.00M,793.00M,,,,,461.90M,1.255B,2.173B,,,1.568B,,,,,,3.849B,,,
1990-12,364.60M,,364.60M,,,,626.90M,1.225B,,,260.50M,2.477B,,,,,,4.306B,-1.846B,2.460B,,,,,1.136B,3.596B,6.073B,,503.40M,,,503.40M,,503.40M,,89.10M,,89.10M,,,373.20M,965.70M,779.60M,779.60M,,,,,457.90M,1.238B,2.203B,,,1.503B,,,,,,3.870B,,,
1990-09,754.50M,,754.50M,,,,693.10M,874.80M,,,311.60M,2.634B,,,,,,4.076B,-1.846B,2.230B,,,,,1.054B,3.284B,5.918B,,433.20M,,,433.20M,,433.20M,,88.80M,,88.80M,,,426.50M,948.50M,763.70M,763.70M,,,,,454.70M,1.218B,2.167B,,,1.378B,,,,,,3.751B,,,
1990-06,408.40M,,408.40M,,,,632.90M,771.20M,,,491.30M,2.304B,,,,,,3.978B,-1.846B,2.132B,,,,,1.014B,3.146B,5.45B,,315.40M,,,315.40M,,315.40M,,20.20M,,20.20M,,,340.70M,676.30M,750.90M,750.90M,403.80M,403.80M,,,45.80M,1.200B,1.877B,,,1.258B,,,,,,3.573B,,,
1990-03,400.50M,,400.50M,,,,773.00M,879.90M,,,413.20M,2.467B,,,,,,3.544B,-1.449B,2.094B,,,,,962.20M,3.057B,5.523B,,370.10M,,,370.10M,,370.10M,,108.30M,,108.30M,,,402.10M,880.50M,746.60M,746.60M,,,,,446.30M,1.193B,2.073B,,,1.479B,,,,,,3.450B,,,
1989-12,517.80M,,517.80M,,,,522.40M,933.50M,,,499.50M,2.473B,,,,,,3.330B,-1.449B,1.881B,,,,,907.40M,2.788B,5.262B,,391.10M,,,391.10M,,391.10M,,109.80M,,109.80M,,,303.10M,804.00M,709.70M,709.70M,,,,,405.40M,1.115B,1.919B,,,1.369B,,,,,,3.342B,,,
1989-09,668.90M,,668.90M,,,,601.80M,526.90M,,,450.10M,2.248B,,,,,,3.291B,-1.449B,1.841B,,,,,899.10M,2.740B,4.988B,,290.90M,,,290.90M,,290.90M,,112.00M,,112.00M,,,337.40M,740.30M,696.30M,696.30M,,,,,395.70M,1.092B,1.832B,,,1.223B,,,,,,3.156B,,,
1989-06,433.60M,,433.60M,,,,510.90M,695.00M,,,466.20M,2.106B,,,,,,3.282B,-1.449B,1.832B,,,,,790.30M,2.623B,4.728B,,283.40M,,,283.40M,,283.40M,,15.30M,,15.30M,,,319.80M,618.50M,690.10M,690.10M,382.80M,382.80M,,,3.40M,1.076B,1.695B,,,1.10B,,,,,,3.034B,,,
1988-06,644.40M,,644.40M,,,,637.80M,773.70M,,,62.90M,2.119B,,,,,,2.852B,-1.191B,1.661B,,,,,617.60M,2.279B,4.398B,,,,,,,,,16.70M,,16.70M,,,693.40M,710.10M,692.90M,692.90M,360.00M,360.00M,,,4.10M,1.057B,1.767B,,,982.70M,,,,,,2.630B,,,
1987-06,465.10M,,465.10M,,,,450.70M,784.30M,,,49.60M,1.750B,,,,,,2.468B,-989.30M,1.478B,,,,,633.90M,2.112B,3.862B,,,,,,,,,13.70M,,13.70M,,,483.60M,497.30M,657.50M,657.50M,335.10M,335.10M,,,4.50M,997.10M,1.494B,,,801.00M,,,,,,2.368B,,,
1986-06,595.40M,,595.40M,,,,361.70M,521.60M,,,32.30M,1.511B,,,,,,2.160B,-845.30M,1.315B,,,,,489.30M,1.804B,3.315B,,,,,,,,,12.70M,,12.70M,,,350.50M,363.20M,570.20M,570.20M,301.00M,301.00M,,,5.10M,876.30M,1.240B,,,722.00M,,,,,,2.076B,,,
1985-06,418.80M,,418.80M,,,,370.90M,551.60M,,,26.50M,1.368B,,,,,,1.828B,-702.30M,1.126B,,,,,473.40M,1.599B,2.967B,,,,,,,,,11.90M,,11.90M,,,316.90M,328.80M,569.30M,569.30M,258.00M,258.00M,,,7.60M,834.90M,1.164B,,,625.90M,,,,,,1.803B,,,
1984-06,344.00M,,344.00M,,,,376.30M,487.70M,,,25.40M,1.233B,,,,,,1.679B,-592.40M,1.086B,,,,,273.00M,1.359B,2.593B,,,,,,,,,12.00M,,12.00M,,,237.30M,249.30M,475.00M,475.00M,210.20M,210.20M,,,8.20M,693.40M,942.70M,,,584.30M,,,,,,1.65B,,,
