,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-09,88.46M,83.48M,,,,4.56M,4.56M,,,,0.00,-55.15M,,,,85.32M,55.05M,28.43M,,,,0.00,,9.824M,1.185M,8.639M,0.108M,,-4.918M,-0.488M,8.747M,8.639M,48.75M,20.32M,28.43M,,0.36,0.00,,,0.36,0.36,,0.35,0.00,,,0.35,0.35,,23.11M,23.41M,0.81,,AOR,Restated
2005-06,91.02M,80.59M,,,,4.573M,4.573M,,,,5.276M,-53.97M,,,,83.33M,53.97M,26.62M,,,,10.55M,,13.54M,1.10M,12.44M,26.44M,,-5.36M,0.488M,38.88M,2.742M,46.66M,20.04M,26.62M,,0.52,1.14,,,0.0998,1.66,,0.51,1.13,,,0.0952,1.64,,23.07M,23.37M,0.81,,AOR,Restated
2005-03,101.20M,84.85M,,,,4.441M,4.441M,,,,1.115M,-51.56M,,,,79.11M,51.56M,33.29M,,,,2.23M,,25.04M,0.101M,24.94M,1.941M,,-6.452M,0.489M,26.88M,22.72M,52.87M,19.58M,33.29M,,1.07,0.08,,,0.9736,1.15,,1.05,0.08,,,0.9548,1.13,,23.04M,23.33M,0.81,,AOR,Restated
2004-12,38.10M,64.56M,,,,4.057M,4.057M,,,,-4.832M,,,,,-115.18M,40.78M,23.78M,,,,-12.74M,,26.52M,0.049M,26.47M,6.042M,,-7.545M,0.488M,32.51M,31.29M,36.77M,12.99M,23.78M,,1.43,-0.04,,,1.640,1.39,,1.43,-0.04,,,1.638,1.39,,22.99M,23.23M,0.79,,AOR,Restated
2004-09,111.54M,87.43M,,,,7.639M,7.639M,,,,7.909M,-51.08M,,,,76.45M,51.08M,36.36M,,,,15.82M,,34.57M,0.122M,34.44M,0.586M,,-9.509M,0.488M,35.03M,18.68M,54.42M,18.06M,36.36M,,1.48,0.03,,,0.7929,1.51,,1.46,0.03,,,0.7808,1.49,,22.94M,23.21M,0.79,,AOR,Restated
2004-06,71.64M,70.95M,,,,3.479M,3.479M,,,,0.00,-45.26M,,,,69.51M,45.25M,25.70M,,,,0.00,,0.00,-5.737M,5.737M,-0.037M,,-5.543M,0.488M,5.70M,5.737M,43.23M,17.53M,25.70M,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,22.91M,23.13M,0.79,,AOR,Restated
2004-03,69.26M,66.31M,,,0.84M,9.842M,10.68M,,,,0.00,-43.38M,,,,57.73M,43.38M,22.93M,,,,0.00,,,,6.043M,0.407M,,-5.53M,0.488M,6.45M,6.043M,41.28M,18.35M,22.93M,,0.24,0.02,,,0.24,0.26,,0.24,0.02,,,0.24,0.26,,22.84M,23.10M,0.79,,AOR,Restated
2003-12,50.90M,50.90M,,,,-14.56M,-17.67M,,,,0.668M,,,,,36.81M,29.96M,20.94M,,,,,,,,-0.562M,,,-6.31M,,6.916M,-1.400M,31.76M,10.82M,20.94M,,0.26,-0.02,,,0.2424,0.24,,0.26,-0.02,,,0.2425,0.24,,22.71M,22.92M,0.78,,AOR,Restated
2003-09,62.94M,62.94M,,,1.115M,7.404M,8.519M,,,,0.00,,,,,14.70M,37.72M,25.22M,,,,0.00,,,,8.754M,,,-6.173M,,8.735M,8.735M,39.73M,14.51M,25.22M,,0.41,0.00,,,0.41,0.41,,0.41,0.00,,,0.41,0.41,,21.13M,21.38M,0.78,,AOR,Restated
2003-06,65.32M,65.32M,,,1.086M,1.276M,2.362M,,,,,-36.07M,,,,53.83M,33.34M,31.97M,,,,,,,,9.756M,0.041M,,-6.577M,,9.797M,9.756M,45.20M,13.22M,31.97M,,0.47,0.00,,,0.47,0.47,,0.46,0.00,,,0.46,0.46,,21.04M,23.56M,0.78,,AOR,Restated
2003-03,66.28M,66.28M,,,0.963M,9.15M,10.11M,,,,,-36.62M,,,,49.83M,36.62M,29.66M,,,,,,,,9.645M,,,-6.812M,,9.645M,9.645M,42.97M,13.30M,29.66M,,0.46,0.00,,,0.46,0.46,,0.45,0.00,,,0.45,0.45,,21.00M,21.21M,0.78,,AOR,Restated
2002-12,79.95M,59.04M,,,1.486M,-9.683M,-8.197M,,,,,-48.21M,,,,128.13M,86.00M,-26.95M,,,,,,,,5.30M,0.071M,,45.94M,,5.371M,5.30M,-12.68M,14.27M,-26.95M,,0.73,-0.45,,,0.73,0.28,,0.72,-0.45,,,0.72,0.28,,18.68M,18.98M,0.77,,AOR,Restated
2002-09,48.80M,48.80M,,,0.658M,4.885M,5.543M,,,,,-23.60M,,,,32.52M,23.60M,25.20M,,,,,,,,10.61M,0.00,,-5.964M,,10.61M,10.61M,34.33M,9.129M,25.20M,,0.58,0.00,,,0.58,0.58,,0.57,0.00,,,0.57,0.57,,18.35M,18.51M,0.77,,AOR,Restated
2002-06,50.98M,50.98M,,,0.732M,4.61M,5.342M,,,,8.064M,-22.82M,,,,48.49M,40.12M,10.86M,,,,8.064M,,,,13.22M,8.133M,,-6.285M,,21.36M,8.387M,19.97M,9.114M,10.86M,,0.71,0.44,,,0.4499,1.15,,0.71,0.43,,,0.4526,1.14,,18.60M,18.79M,0.77,,AOR,
2002-03,49.41M,49.41M,,,0.622M,5.326M,5.948M,,,,,-23.42M,,,,,-17.47M,66.88M,,,,,,,,11.14M,0.152M,,6.064M,,11.30M,11.14M,66.88M,,66.88M,,0.60,0.01,,,0.60,0.61,,0.60,0.01,,,0.60,0.61,,18.50M,18.68M,0.77,,AOR,
2001-12,24.29M,24.29M,,,,,-10.87M,,,,,,,,,,186.20M,-161.92M,,,,,,,,9.382M,,,-42.40M,,11.07M,11.51M,-161.92M,,-161.92M,,0.60,-0.02,,,0.60,0.58,,0.60,-0.02,,,0.60,0.58,,18.45M,21.00M,0.70,,AOR,Restated
2001-09,55.02M,55.02M,,,0.646M,5.462M,6.108M,,,,,-23.83M,,,,,-17.72M,72.74M,,,,3.788M,,,,14.76M,0.141M,,6.422M,,14.90M,12.49M,72.74M,,72.74M,,0.80,0.01,,,0.6771,0.81,,0.78,0.01,,,0.6723,0.79,,18.49M,21.09M,0.70,,AOR,
2001-06,50.52M,50.52M,,,0.641M,5.46M,6.101M,,,,,-23.61M,,,,,-17.51M,68.03M,,,,,,,,11.37M,0.156M,,5.991M,,11.53M,11.37M,68.03M,,68.03M,,0.61,0.01,,,0.61,0.62,,0.60,0.01,,,0.60,0.61,,18.46M,18.78M,0.70,,AOR,
2001-03,50.11M,50.11M,,,0.71M,5.497M,6.207M,,,,,-23.77M,,,,51.35M,42.61M,7.496M,,,,,,,,11.05M,,,-5.871M,,11.05M,11.05M,16.32M,8.826M,7.496M,,0.60,0.00,,,0.60,0.60,,0.59,0.00,,,0.59,0.59,,18.43M,18.81M,0.70,,AOR,
2000-12,49.43M,53.46M,,,0.542M,4.967M,5.509M,,,,,-22.56M,,,,,-93.35M,146.80M,,,,0.00,,,,10.52M,,,-5.85M,0.00,11.08M,10.64M,154.94M,8.136M,146.80M,,0.60,0.00,,,0.60,0.60,,0.58,0.00,,,0.58,0.58,,18.43M,19.03M,0.61,,AOR,Restated
2000-09,47.36M,47.36M,,,0.657M,5.723M,6.38M,,,,,-23.07M,,,,31.06M,23.07M,24.29M,,,,,,,,10.25M,,0.00,-5.697M,,10.25M,10.25M,32.98M,8.689M,24.29M,,0.56,0.00,0.00,,0.56,0.56,,0.54,0.00,0.00,,0.54,0.54,,18.33M,20.89M,0.61,,AOR,
2000-06,42.41M,42.41M,,,0.515M,4.61M,5.125M,,,,,-19.73M,,,,27.38M,19.73M,22.68M,,,,,,,,10.27M,,0.00,-5.945M,0.129M,10.27M,10.27M,29.64M,6.95M,22.68M,,0.56,0.00,0.00,,0.56,0.56,,0.55,0.00,0.00,,0.55,0.55,,18.11M,18.62M,0.61,,AOR,
2000-03,39.54M,39.54M,,,0.497M,4.457M,4.954M,,,,,,,,,7.185M,18.81M,20.73M,,,,,,,,12.63M,,,-6.194M,0.117M,12.75M,12.75M,27.40M,6.667M,20.73M,,0.70,0.00,,,0.70,0.70,,0.69,0.00,,,0.69,0.69,,18.07M,18.50M,0.55,,AOR,
1999-12,44.30M,34.84M,,,0.687M,3.945M,4.632M,,,,,-19.40M,,,,,113.68M,-78.84M,,,,4.80M,,,,13.28M,,,-29.54M,0.133M,13.16M,10.60M,-78.84M,,-78.84M,,0.73,0.00,,-0.0057,0.5695,0.73,,0.70,0.00,,-0.0057,0.5641,0.70,,17.94M,21.19M,0.55,,AOR,Restated
1999-09,42.50M,42.50M,,,0.50M,3.70M,4.20M,,,,,-18.80M,,,,,-14.60M,57.10M,,,,4.70M,,,,13.10M,,,5.10M,0.10M,13.10M,10.28M,57.10M,,57.10M,,0.72,0.00,,,0.5638,0.72,,0.71,0.00,,,0.5560,0.71,,18.06M,18.31M,0.55,,,
1999-06,34.90M,34.90M,,,0.492M,3.467M,3.959M,,,,,-17.31M,,,,,-13.35M,48.25M,,,,,,,,8.966M,,,3.369M,0.236M,8.876M,8.966M,48.25M,,48.25M,,0.51,-0.01,,-0.0052,0.51,0.50,,0.49,-0.01,,-0.0052,0.49,0.49,,17.24M,18.45M,0.55,,,
1999-03,33.89M,33.89M,,,0.509M,3.754M,4.263M,,,,,-17.27M,,,,,-13.00M,46.89M,,,,,,,,8.454M,,,3.236M,0.831M,8.454M,8.454M,46.89M,,46.89M,,0.46,0.00,,,0.46,0.46,,0.45,0.00,,,0.45,0.45,,16.74M,16.89M,0.50,,,
1998-12,33.06M,33.06M,,,0.542M,10.19M,10.74M,,,,,,,,,,109.59M,-76.54M,,,,,,,,8.046M,,,-16.25M,0.90M,4.128M,8.046M,-76.54M,,-76.54M,,0.43,-0.23,,,0.43,0.20,,0.43,-0.23,,,0.43,0.20,,16.27M,16.55M,0.50,,AOR,Restated
1998-09,32.70M,32.70M,,,0.30M,1.00M,1.30M,,,,,-17.40M,,,,,-16.10M,48.80M,,,,,,,,7.50M,,,2.50M,0.90M,6.70M,7.50M,48.80M,,48.80M,,0.40,-0.05,,-0.0483,0.40,0.35,,0.40,-0.05,,-0.0483,0.40,0.35,,16.57M,16.57M,0.50,,,
1998-06,31.60M,31.60M,,,0.50M,1.00M,1.50M,,,,,-16.50M,,,,,-15.00M,46.60M,,,,,,,,7.50M,,,2.50M,,7.50M,7.50M,46.60M,,46.60M,,0.40,0.00,,,0.40,0.40,,0.40,0.00,,,0.40,0.40,,18.75M,18.75M,0.50,,,
1998-03,27.80M,27.80M,,,0.40M,1.90M,2.30M,,,,,-14.40M,,,,,-12.10M,39.90M,,,,,,,,7.90M,,,1.70M,0.90M,7.90M,7.90M,39.90M,,39.90M,,0.42,0.00,,,0.42,0.42,,0.42,0.00,,,0.42,0.42,,16.67M,16.67M,0.45,,,
1997-12,24.50M,19.37M,,,,,,,,,,-12.50M,,,,,73.18M,-53.81M,,,,,,,,7.477M,,,-7.969M,,7.216M,7.877M,-53.81M,,-53.81M,,0.41,-0.01,,-0.0223,0.41,0.40,,0.41,-0.01,,-0.0223,0.41,0.40,,12.08M,17.52M,0.45,,AOR,Restated
1997-09,26.70M,26.70M,,,,,,,,,,-10.90M,,,,,-10.90M,37.60M,,,,,,,,11.00M,,,1.60M,,11.00M,11.00M,37.60M,,37.60M,,0.73,0.00,,,0.73,0.73,,0.69,0.00,,,0.69,0.69,,15.07M,15.94M,0.45,,,
1997-06,20.00M,20.00M,,,0.30M,0.50M,0.80M,,,,,-9.80M,,,,,-9.00M,29.00M,,,,,,,,6.40M,,,1.00M,,6.30M,6.40M,29.00M,,29.00M,,0.43,-0.01,,-0.0067,0.43,0.42,,0.43,-0.01,,-0.0067,0.43,0.42,,15.00M,15.00M,0.435,,,
1997-03,18.60M,18.60M,,,0.30M,1.70M,2.00M,,,,,-9.40M,,,,,-7.40M,26.00M,,,,,,,,4.90M,,,0.90M,,4.90M,4.90M,26.00M,,26.00M,,0.39,0.00,,,0.39,0.39,,0.39,0.00,,,0.39,0.39,,12.56M,12.56M,0.435,,,
1996-12,14.60M,12.09M,,,0.153M,3.328M,3.481M,,,,,-7.30M,,,,,44.46M,-32.36M,,,,,,,,3.722M,,,-4.448M,,3.581M,7.122M,-32.36M,,-32.36M,,0.33,0.03,,0.0126,0.33,0.36,,0.31,0.03,,0.0126,0.31,0.35,,8.483M,8.741M,0.435,,AOR,Restated
1996-09,12.90M,12.90M,,,0.20M,0.40M,0.60M,,,,,-6.70M,,,,,-6.10M,19.00M,,,,,,,,2.70M,,,0.70M,,2.20M,2.70M,19.00M,,19.00M,,0.33,-0.06,,-0.0614,0.33,0.27,,0.33,-0.06,,-0.0614,0.33,0.27,,8.148M,8.148M,0.435,,,
1996-06,14.20M,14.20M,,,0.10M,0.50M,0.60M,,,,,-6.30M,,,,,-5.70M,19.90M,,,,,,,,3.80M,,,1.00M,,3.10M,3.80M,19.90M,,19.90M,,0.61,-0.10,,-0.1152,0.61,0.51,,0.61,-0.10,,-0.1152,0.61,0.51,,6.078M,6.078M,0.425,,,
1996-03,11.60M,11.60M,,,0.20M,1.10M,1.30M,,,,,-6.50M,,,,,-5.20M,16.80M,,,,,,,,2.10M,,,0.10M,,-0.10M,2.10M,16.80M,,16.80M,,0.34,-0.35,,-0.3506,0.34,-0.01,,0.34,-0.35,,-0.3506,0.34,-0.01,,6.275M,6.275M,0.425,,,
1995-12,16.30M,16.30M,,,0.10M,0.40M,0.50M,,,,,-6.40M,,,,,-5.90M,22.20M,,,,,,,,5.50M,,,1.70M,,5.90M,5.50M,22.20M,,22.20M,,0.90,0.00,,0.0659,0.90,0.90,,0.90,0.00,,0.0659,0.90,0.90,,7.260M,7.260M,0.425,,,
1995-09,11.00M,11.00M,,,0.10M,0.40M,0.50M,,,,,-6.20M,,,,,-5.70M,16.70M,,,,,,,,1.60M,,,0.60M,,1.60M,1.60M,16.70M,,16.70M,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,6.40M,6.40M,0.425,,,
1995-06,11.70M,11.70M,,,0.10M,0.40M,0.50M,,,,,-6.10M,,,,,-5.60M,17.30M,,,,,,,,2.00M,,,0.70M,,1.80M,2.00M,17.30M,,17.30M,,0.32,0.02,,-0.0378,0.32,0.34,,0.32,0.02,,-0.0378,0.32,0.34,,5.294M,5.294M,0.418,,,
1995-03,10.90M,10.90M,,,0.10M,0.40M,0.50M,,,,,-6.20M,,,,,-5.70M,16.60M,,,,,,,,1.50M,,,0.50M,,1.50M,1.50M,16.60M,,16.60M,,0.18,0.00,,,0.18,0.18,,0.18,0.00,,,0.18,0.18,,6.275M,6.275M,0.418,,,
1994-09,8.80M,8.80M,,,0.10M,0.80M,0.90M,,,,-0.10M,-4.90M,,,,,-4.00M,12.80M,,,,-0.10M,,,,1.60M,,,0.60M,,1.60M,1.66M,14.80M,2.00M,12.80M,,0.26,0.00,,,0.2698,0.26,,0.26,0.00,,,0.2698,0.26,,6.154M,6.154M,0.4175,,,
1994-06,1.70M,1.70M,,,,0.10M,0.10M,,,,,-0.90M,,,,,-0.80M,2.50M,,,,,,,,0.30M,,,0.10M,,0.30M,0.30M,2.90M,0.40M,2.50M,,0.05,0.00,,,0.05,0.05,,0.05,0.00,,,0.05,0.05,,6.00M,6.00M,0.08,,,
