,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-12,33.81M,,,,,,,,,,,,-96.54M,,,,,,,17.96M,,-76.08M,,-7.493M,30.97M,,-35.10M,-11.63M,,-387.52M,-387.52M,0.346M,-25.00M,-24.65M,0.00,,0.00,,-19.23M,,420.05M,-11.36M,,19.36M,-5.028M,14.34M,,0.346M,277.12M,-664.65M,-25.00M,,,AOR,Restated
2005-09,-20.73M,,,,,,,,,,,,60.75M,,,,,,,40.02M,,-61.99M,,-61.99M,-17.15M,,48.06M,-31.08M,,1.369M,1.369M,-2.204M,4.466M,2.262M,0.00,,0.00,,-19.20M,,-7.087M,-22.65M,,33.08M,-13.71M,19.36M,,-2.204M,56.34M,-54.97M,4.466M,,,AOR,Restated
2005-06,39.75M,,,,,,,,,,,,-11.60M,,,,,,,28.15M,,-13.79M,,-13.79M,-13.82M,,50.13M,22.52M,,-4.443M,-4.443M,2.409M,-1.182M,1.227M,,,,,-19.37M,,-7.523M,-30.11M,,12.52M,20.56M,33.08M,,2.409M,55.04M,-59.48M,-1.182M,,,AOR,Restated
2005-03,26.88M,,,,,,,,,,,,11.60M,,,,,,,38.48M,,-1.24M,,-1.24M,,,-9.412M,-10.65M,,1.232M,1.232M,3.938M,-3.284M,0.654M,,,,,-18.47M,,-9.373M,-25.96M,,10.64M,1.873M,12.52M,,3.938M,41.59M,-40.36M,-3.284M,,,AOR,Restated
2004-12,33.41M,,,,,,,,,,,,-87.28M,,,,,,,33.83M,,-133.26M,,-133.26M,129.46M,8.688M,-73.74M,-68.85M,,53.86M,53.86M,-53.54M,55.00M,1.461M,,,,,-17.76M,,-8.123M,29.43M,,16.22M,-5.58M,10.64M,,-53.54M,126.17M,-72.31M,55.00M,,,AOR,Restated
2004-09,34.14M,,,,,,,,,,,,-5.716M,,,,,,,28.42M,,-3.512M,,-3.512M,-129.46M,-3.679M,218.38M,81.72M,,-24.40M,-24.40M,49.91M,-49.54M,0.365M,,,,,-18.56M,,-62.95M,-105.54M,,11.63M,4.598M,16.22M,,49.91M,97.28M,-121.69M,-49.54M,,,AOR,Restated
2004-06,5.70M,,,,,,,,,,,,17.79M,,,,,,,23.49M,,89.03M,,89.03M,83.07M,1.129M,-205.26M,-32.03M,,32.64M,32.64M,7.45M,-5.455M,1.995M,,,,,-18.07M,,-14.11M,2.457M,,17.71M,-6.083M,11.63M,,7.45M,99.99M,-67.35M,-5.455M,,,AOR,Restated
2004-03,6.45M,,,,,,,,,,,,29.51M,,,,,,,35.96M,,-97.22M,,-97.22M,-83.07M,-6.138M,80.56M,-105.87M,,98.41M,98.41M,1.662M,,1.662M,,,,,-18.33M,,-8.899M,72.85M,,14.77M,2.941M,17.71M,,1.662M,124.42M,-26.01M,,,,AOR,Restated
2003-12,37.95M,,,,,,,,,,,,25.02M,,,,,,,29.57M,,22.17M,,22.17M,,,-28.24M,-84.58M,,4.933M,4.933M,98.92M,-25.77M,73.15M,,,,,-18.19M,,-30.80M,53.75M,,10.40M,-1.253M,9.146M,,123.58M,208.31M,-203.37M,-25.77M,,,AOR,Restated
2003-09,-19.44M,,,,,,,,,,,,-33.43M,,,,,,,20.88M,,-11.07M,,-11.07M,,,-19.25M,-30.32M,,0.192M,0.192M,3.016M,0.884M,3.90M,,,,,-17.18M,,21.38M,8.292M,,15.07M,-1.153M,10.40M,,3.016M,40.71M,-40.52M,0.884M,,,AOR,Restated
2003-06,9.794M,,,,,,,,,,,,13.02M,,,,,,,22.82M,,-11.94M,,-11.94M,,,-3.867M,-15.81M,,15.52M,15.52M,1.595M,-0.884M,0.711M,,,,,-17.66M,,-5.579M,-7.017M,,15.08M,-0.01M,15.07M,,1.595M,21.69M,-6.177M,-0.884M,,,AOR,Restated
2003-03,9.645M,,,,,,,,,,,,20.41M,,,,,,,30.06M,,-10.20M,,-10.20M,,,-2.225M,-12.42M,,7.525M,7.525M,0.409M,,0.409M,,,,,-15.34M,,-7.231M,-14.63M,,12.08M,3.00M,15.08M,,0.409M,27.45M,-19.92M,,,,AOR,Restated
2002-12,9.605M,,,,,,,,,,,,-2.596M,,,,,,,17.84M,,10.96M,,10.96M,,,-59.46M,-48.50M,,57.56M,57.56M,-19.65M,-0.309M,-19.96M,,,,,-14.06M,,13.53M,37.08M,,2.147M,6.415M,8.562M,,-19.65M,123.14M,-65.58M,-0.309M,,,AOR,Restated
2002-09,10.61M,,,,,,,,,,,,11.92M,,,,,,,22.53M,,-32.67M,,-32.67M,,,28.22M,-4.448M,,14.18M,14.18M,20.83M,-18.91M,1.919M,0.00,,0.00,,-14.34M,,-26.36M,-24.60M,,8.664M,-6.517M,2.147M,,20.83M,59.50M,-45.32M,-18.91M,,,AOR,Restated
2002-06,21.36M,,,,,,,,,,,,-2.751M,,,,,,,18.61M,,-25.56M,,-25.56M,,,9.041M,-16.52M,,20.33M,20.33M,1.318M,-0.309M,1.009M,,,,,-13.03M,,-8.597M,-0.293M,,6.868M,1.796M,8.664M,,1.318M,22.00M,-1.671M,-0.309M,,,AOR,
2002-03,11.30M,,,,,,,,,,,,15.46M,,,,,,,26.75M,,-4.642M,,-4.642M,,,-11.61M,-16.25M,,8.69M,8.69M,0.878M,-0.499M,0.379M,,,,,-14.17M,,-4.972M,-10.08M,,6.44M,0.428M,6.868M,,0.878M,17.00M,-8.31M,-0.499M,,,AOR,
2001-12,-37.48M,,,,,,,,,,,,-43.24M,,,,,,,-80.71M,,17.44M,,17.44M,,,80.30M,97.75M,,-71.23M,-71.23M,-2.703M,,-2.703M,,,,,37.03M,,14.78M,-22.12M,,12.34M,-5.741M,,,-2.703M,-226.90M,155.68M,,,,AOR,Restated
2001-09,14.90M,,,,,,,,,,,,16.16M,,,,,,,31.07M,,-3.787M,,-3.787M,,,-21.42M,-25.20M,,11.72M,11.72M,1.176M,,1.176M,,,,,-12.93M,,-6.159M,-6.188M,,12.67M,-0.325M,12.34M,,1.176M,57.61M,-45.89M,,,,AOR,
2001-06,11.53M,,,,,,,,,,,,15.90M,,,,,,,27.43M,,1.028M,,1.028M,,-0.535M,-79.50M,-79.01M,,71.13M,71.13M,0.537M,,0.537M,,,,,-12.87M,,-6.383M,52.42M,,11.83M,0.839M,12.67M,,0.537M,97.29M,-26.16M,,,,AOR,
2001-03,11.05M,,,,,,,,,,,,11.83M,,,,,,,22.88M,,-14.69M,,-14.69M,,0.535M,20.62M,6.465M,,-11.63M,-11.63M,0.99M,,0.99M,,,,,-11.23M,,-2.24M,-24.12M,,6.60M,5.227M,11.83M,,0.99M,72.00M,-83.63M,,,,AOR,
2000-12,11.20M,,,,,,,,,,,,-13.73M,,,,,,,24.66M,,-15.02M,,-15.02M,,31.94M,-65.34M,-48.42M,,41.08M,41.08M,0.415M,,0.415M,,,,,-11.23M,,-6.64M,23.63M,,6.724M,-0.124M,6.60M,,0.415M,116.65M,-75.56M,,,,AOR,Restated
2000-09,10.25M,,,,,,,,,,,,20.86M,,,,,,,31.11M,,-55.95M,,-55.95M,,-0.761M,-26.48M,-83.19M,,70.03M,70.03M,1.072M,,1.072M,,,,,-11.21M,,-6.322M,53.57M,,5.237M,1.487M,6.724M,,1.072M,145.95M,-75.92M,,,,AOR,
2000-06,10.27M,,,,,,,,,,,,4.09M,,,,,,,14.36M,,-31.49M,,-31.49M,,0.99M,-34.28M,-64.78M,,48.26M,48.26M,0.777M,,0.777M,,,,,-9.944M,,-6.528M,32.57M,,23.09M,-17.85M,5.237M,,0.777M,71.60M,-23.33M,,,,AOR,
2000-03,12.75M,,,,,,,,,,,,9.282M,,,,,,,22.03M,,-15.07M,,-15.07M,,-0.866M,30.73M,14.79M,,-11.19M,-11.19M,1.08M,,1.08M,,,,,-10.04M,,-5.932M,-26.09M,,12.35M,10.74M,23.09M,,1.08M,17.00M,-28.19M,,,,AOR,
1999-12,13.28M,,,,,,,,,,,,-23.31M,,,,,,,22.27M,,-27.01M,,-27.01M,,,16.83M,53.22M,,-48.02M,-48.02M,102.30M,,95.20M,0.00,,0.00,,-9.934M,,-104.63M,-67.38M,,4.30M,8.10M,12.35M,,102.30M,24.45M,-72.47M,,,,AOR,Restated
1999-09,13.17M,,,,,,,,,,,,10.30M,,,,,,,23.48M,,-106.34M,,-106.34M,,,-0.555M,-106.90M,,-3.77M,-3.77M,0.538M,,0.538M,103.20M,,103.20M,,-10.14M,,-3.947M,85.88M,,1.795M,2.453M,4.30M,,103.74M,99.05M,-102.82M,,,,,
1999-06,8.875M,,,,,,,,,,,,10.09M,,,,,,,18.96M,,0.151M,,0.151M,,,-37.66M,-37.51M,,39.91M,39.91M,0.323M,,0.323M,,,,,-9.239M,,-12.89M,18.10M,,2.245M,-0.45M,1.795M,,0.323M,64.65M,-24.74M,,,,,
1999-03,8.454M,,,,,,,,,,,,10.41M,,,,,,,18.86M,,-29.71M,,-29.71M,,,0.12M,-29.59M,,23.26M,23.26M,0.039M,,0.039M,,,,,-9.316M,,-3.563M,10.42M,,2.548M,-0.303M,2.245M,,0.039M,53.00M,-29.74M,,,,,
1998-12,8.046M,,,,,,,,,,,,-15.71M,,,,,,,10.33M,,-43.58M,,-43.58M,,,22.97M,-20.60M,,1.575M,1.575M,-78.20M,,-78.20M,,,,,-3.574M,,89.93M,9.733M,,3.10M,-0.534M,2.548M,,-78.20M,147.34M,-145.76M,,,,AOR,Restated
1998-09,7.50M,,,,,,,,,,,,13.00M,,,,,,,20.50M,,-26.10M,,-26.10M,,,-1.40M,-27.50M,,17.40M,17.40M,77.90M,,77.90M,-77.80M,,-77.80M,,-14.90M,,2.60M,5.20M,,5.00M,-1.80M,3.10M,,0.10M,51.90M,-34.50M,,,,,
1998-06,7.60M,,,,,,,,,,,,6.90M,,,,,,,14.50M,,-16.60M,,-16.60M,,,-21.20M,-37.80M,,13.80M,13.80M,0.30M,,0.30M,77.80M,,77.80M,,-8.30M,,-61.00M,22.60M,,,0.60M,5.00M,,78.10M,76.00M,-62.20M,,,,,
1998-03,7.90M,,,,,,,,,,,,5.80M,,,,,,,13.70M,,-110.00M,,-110.00M,,,16.00M,-94.00M,,33.70M,33.70M,,,,,,,,-8.30M,,56.20M,81.60M,,4.30M,,,,,74.30M,-40.60M,,,,,
1997-12,7.477M,,,,,,,,,,,,-8.389M,,,,,,,16.10M,,-152.61M,,-137.14M,,,-0.581M,-139.65M,,66.45M,66.45M,49.51M,,49.51M,,,,,-4.846M,,-1.987M,109.13M,,,,4.282M,,49.51M,118.33M,-51.88M,,,,AOR,Restated
1997-09,11.00M,,,,,,,,,,,,-3.10M,,,,,,,7.90M,,-29.40M,,-29.40M,,,-10.20M,-39.60M,,-3.30M,-3.30M,46.10M,,46.10M,,,,,-6.70M,,-1.40M,34.70M,,,,,,46.10M,37.80M,-41.10M,,,,,
1997-06,6.30M,,,,,,,,,,,,3.90M,,,,,,,10.20M,,-42.30M,,-42.30M,,,3.50M,-38.80M,,-35.10M,-35.10M,78.40M,,78.40M,,,,,-7.20M,,-0.50M,35.60M,,,,,,78.40M,13.00M,-48.10M,,,,,
1997-03,4.90M,,,,,,,,,,,,7.80M,,,,,,,12.70M,,-51.00M,,-51.00M,,,-0.90M,-51.90M,,12.30M,12.30M,,,,,,,,-6.30M,,-0.80M,5.20M,,46.90M,,,,,35.80M,-23.50M,,,,,
1996-12,3.722M,,,,,,,,,,,,-8.495M,,,,,,,3.335M,,-28.83M,,-15.48M,,,-10.90M,-30.29M,,-2.652M,-2.652M,90.04M,,90.04M,-18.00M,,-18.00M,,-1.609M,,-4.299M,63.48M,,,,42.70M,,72.04M,20.75M,-23.40M,,,,AOR,Restated
1996-09,2.70M,,,,,,,,,,,,6.00M,,,,,,,8.70M,,-59.20M,,-59.20M,,,-0.20M,-59.40M,,-17.10M,-17.10M,54.00M,,54.00M,18.00M,,18.00M,,-3.50M,,-0.30M,51.10M,,,,,,72.00M,20.70M,-37.80M,,,,,
1996-06,3.80M,,,,,,,,,,,,-1.40M,,,,,,,2.40M,,-0.70M,,-0.70M,,,13.80M,13.10M,,-8.60M,-8.60M,,,,,,,,-3.40M,,-0.40M,-12.40M,,,,,,,2.30M,-10.90M,,,,,
1996-03,2.10M,,,,,,,,,,,,3.60M,,,,,,,5.70M,,-12.70M,,-12.70M,,,0.10M,-12.60M,,9.30M,9.30M,,,,,,,,-3.50M,,-0.20M,5.60M,,4.00M,,,,,47.50M,-38.20M,,,,,
1995-12,5.50M,,,,,,,,,,,,-11.30M,,,,,,,2.60M,,-7.50M,,-7.50M,,,4.20M,-3.30M,,6.70M,6.70M,,,,,,,,-0.30M,,-3.50M,2.90M,,,,,,,5.30M,1.40M,,,,,
1995-09,1.60M,,,,,,,,,,,,3.70M,,,,,,,5.30M,,-0.60M,,-0.60M,,,0.30M,1.10M,,1.00M,1.00M,,,,,,,,-3.40M,,-0.10M,-2.50M,,,,,,,0.00,1.00M,,,,,
1995-06,2.00M,,,,,,,,,,,,2.30M,,,,,,,4.30M,,-0.90M,,-0.90M,,,,-2.30M,,-2.50M,-2.50M,,,,,,,,-3.40M,,-0.30M,-6.20M,,,,,,,16.40M,-18.90M,,,,,
1995-03,1.50M,,,,,,,,,,,,2.90M,,,,,,,4.40M,,-0.50M,,-0.50M,,,,-0.50M,,-0.70M,-0.70M,,,,,,,,-3.40M,,-0.20M,-4.30M,,2.40M,,,,,,-0.70M,,,,,
1994-09,1.70M,,,,,,,2.00M,2.00M,,,,4.60M,-3.50M,,,-3.50M,,-7.00M,1.30M,,,,,,-39.10M,21.30M,-17.80M,,13.10M,13.10M,0.00,,0.00,,,,,,,4.10M,17.20M,,,,,,0.00,14.50M,-1.40M,,,,,
1994-06,0.30M,,,,,,,0.40M,0.40M,,,,-0.60M,,,,,,,0.10M,,,,,,,-31.20M,-31.20M,,-77.50M,-77.50M,112.10M,,112.10M,,,,,,,-4.80M,29.80M,,2.80M,,,,112.10M,69.90M,-147.40M,,,,,
